lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,3296,[8; 9],262,147.272694,0.711361,2,[X3 == 14 OR X6 == 12],{'0': {'precision': 0.7724980436483784; 'recall': 0.8874294561254558; 'f1-score': 0.8259848925043579; 'support': 20023}; '1': {'precision': 0.33155397390272834; 'recall': 0.17603527003621477; 'f1-score': 0.22997017381466625; 'support': 6351}; 'accuracy': 0.7161219382725411; 'macro avg': {'precision': 0.5520260087755533; 'recall': 0.5317323630808353; 'f1-score': 0.5279775331595121; 'support': 26374}; 'weighted avg': {'precision': 0.6663163576335673; 'recall': 0.7161219382725411; 'f1-score': 0.6824613663650453; 'support': 26374}},{'0': {'precision': 0.7726374060893634; 'recall': 0.8782022471910113; 'f1-score': 0.8220445940260833; 'support': 2225}; '1': {'precision': 0.32587064676616917; 'recall': 0.18555240793201133; 'f1-score': 0.2364620938628159; 'support': 706}; 'accuracy': 0.7113613101330604; 'macro avg': {'precision': 0.5492540264277663; 'recall': 0.5318773275615113; 'f1-score': 0.5292533439444496; 'support': 2931}; 'weighted avg': {'precision': 0.6650231679173486; 'recall': 0.7113613101330604; 'f1-score': 0.6809933333248664; 'support': 2931}}
5,1,CNF,1,26374,2931,3296,[8; 9],262,124.503647,0.746162,5,[X1 == 1 OR X1 == 5 OR X3 == 7 OR X3 == 10 OR X5 == 1],{'0': {'precision': 0.7809777552228707; 'recall': 0.9222893672276882; 'f1-score': 0.8457715999908403; 'support': 20023}; '1': {'precision': 0.42961876832844575; 'recall': 0.18453786805227523; 'f1-score': 0.25817821345963216; 'support': 6351}; 'accuracy': 0.7446348676727079; 'macro avg': {'precision': 0.6052982617756583; 'recall': 0.5534136176399818; 'f1-score': 0.5519749067252362; 'support': 26374}; 'weighted avg': {'precision': 0.6963686354167551; 'recall': 0.7446348676727079; 'f1-score': 0.7042759755933389; 'support': 26374}},{'0': {'precision': 0.7849172758753367; 'recall': 0.9168539325842696; 'f1-score': 0.8457711442786068; 'support': 2225}; '1': {'precision': 0.4427710843373494; 'recall': 0.20821529745042494; 'f1-score': 0.2832369942196532; 'support': 706}; 'accuracy': 0.7461617195496417; 'macro avg': {'precision': 0.613844180106343; 'recall': 0.5625346150173473; 'f1-score': 0.56450406924913; 'support': 2931}; 'weighted avg': {'precision': 0.7025033518815397; 'recall': 0.7461617195496417; 'f1-score': 0.7102716185393979; 'support': 2931}}
5,1,CNF,2,26374,2931,3296,[8; 9],262,116.563376,0.658820,2,[X2 < 106648.000000 OR X13 == 2],{'0': {'precision': 0.7575916230366492; 'recall': 0.794935823802627; 'f1-score': 0.775814588258231; 'support': 20023}; '1': {'precision': 0.23452647278150635; 'recall': 0.1980790426704456; 'f1-score': 0.21476739223218097; 'support': 6351}; 'accuracy': 0.6512095245317358; 'macro avg': {'precision': 0.49605904790907773; 'recall': 0.4965074332365363; 'f1-score': 0.495290990245206; 'support': 26374}; 'weighted avg': {'precision': 0.6316347424242881; 'recall': 0.6512095245317358; 'f1-score': 0.6407114282536264; 'support': 26374}},{'0': {'precision': 0.7605274351339856; 'recall': 0.8035955056179775; 'f1-score': 0.7814685314685313; 'support': 2225}; '1': {'precision': 0.24655172413793103; 'recall': 0.20254957507082152; 'f1-score': 0.2223950233281493; 'support': 706}; 'accuracy': 0.6588195155237121; 'macro avg': {'precision': 0.5035395796359583; 'recall': 0.5030725403443995; 'f1-score': 0.5019317773983403; 'support': 2931}; 'weighted avg': {'precision': 0.6367243467807906; 'recall': 0.6588195155237121; 'f1-score': 0.6468025823907048; 'support': 2931}}
5,1,CNF,3,26374,2931,3296,[8; 9],262,113.855197,0.724326,3,[X1 == 5 OR X2 >= 329054.000000 OR X3 == 14],{'0': {'precision': 0.7762901223621209; 'recall': 0.8744943315187534; 'f1-score': 0.8224711712346461; 'support': 20023}; '1': {'precision': 0.3418019905709796; 'recall': 0.2054794520547945; 'f1-score': 0.2566624053495919; 'support': 6351}; 'accuracy': 0.7133919769469933; 'macro avg': {'precision': 0.5590460564665503; 'recall': 0.539986891786774; 'f1-score': 0.539566788292119; 'support': 26374}; 'weighted avg': {'precision': 0.6716630606723681; 'recall': 0.7133919769469933; 'f1-score': 0.6862213997879191; 'support': 26374}},{'0': {'precision': 0.782608695652174; 'recall': 0.8817977528089888; 'f1-score': 0.8292476754015216; 'support': 2225}; '1': {'precision': 0.37971698113207547; 'recall': 0.22804532577903683; 'f1-score': 0.28495575221238933; 'support': 706}; 'accuracy': 0.7243261685431593; 'macro avg': {'precision': 0.5811628383921247; 'recall': 0.5549215392940128; 'f1-score': 0.5571017138069554; 'support': 2931}; 'weighted avg': {'precision': 0.6855627896640506; 'recall': 0.7243261685431593; 'f1-score': 0.6981422172740813; 'support': 2931}}
5,1,CNF,4,26374,2931,3296,[8; 9],262,115.391650,0.737973,3,[X3 == 12 OR X3 == 14 OR X6 == 14],{'0': {'precision': 0.7855144812153032; 'recall': 0.9116016580931928; 'f1-score': 0.8438742487286177; 'support': 20023}; '1': {'precision': 0.43576665604080334; 'recall': 0.21524169422138245; 'f1-score': 0.2881534569983137; 'support': 6351}; 'accuracy': 0.7439144612117995; 'macro avg': {'precision': 0.6106405686280533; 'recall': 0.5634216761572877; 'f1-score': 0.5660138528634657; 'support': 26374}; 'weighted avg': {'precision': 0.7012933377526791; 'recall': 0.7439144612117995; 'f1-score': 0.7100537153139229; 'support': 26374}},{'0': {'precision': 0.7842372220054623; 'recall': 0.903370786516854; 'f1-score': 0.8395989974937345; 'support': 2225}; '1': {'precision': 0.4157608695652174; 'recall': 0.21671388101983002; 'f1-score': 0.2849162011173184; 'support': 706}; 'accuracy': 0.7379733879222109; 'macro avg': {'precision': 0.5999990457853399; 'recall': 0.560042333768342; 'f1-score': 0.5622575993055264; 'support': 2931}; 'weighted avg': {'precision': 0.6954810620522679; 'recall': 0.7379733879222109; 'f1-score': 0.7059906541836868; 'support': 2931}}
5,1,CNF,5,26375,2930,3296,[8; 9],262,128.275532,0.689078,4,[X3 == 7 OR X3 == 14 OR X8 == 0 OR X12 >= 48.000000],{'0': {'precision': 0.8147732489925011; 'recall': 0.7976826649353244; 'f1-score': 0.8061373845455003; 'support': 20023}; '1': {'precision': 0.40180153573538097; 'recall': 0.42836901763224183; 'f1-score': 0.4146601645839683; 'support': 6352}; 'accuracy': 0.708739336492891; 'macro avg': {'precision': 0.608287392363941; 'recall': 0.6130258412837831; 'f1-score': 0.6103987745647343; 'support': 26375}; 'weighted avg': {'precision': 0.7153155685144262; 'recall': 0.708739336492891; 'f1-score': 0.7118563115143854; 'support': 26375}},{'0': {'precision': 0.8072965388213283; 'recall': 0.7757303370786517; 'f1-score': 0.7911987164794867; 'support': 2225}; '1': {'precision': 0.369949494949495; 'recall': 0.4156028368794326; 'f1-score': 0.3914495657982632; 'support': 705}; 'accuracy': 0.6890784982935153; 'macro avg': {'precision': 0.5886230168854116; 'recall': 0.5956665869790422; 'f1-score': 0.591324141138875; 'support': 2930}; 'weighted avg': {'precision': 0.7020645709272524; 'recall': 0.6890784982935153; 'f1-score': 0.6950133406329807; 'support': 2930}}
5,1,CNF,6,26375,2930,3296,[8; 9],262,143.855108,0.765529,5,[X1 == 1 OR X1 == 5 OR X3 == 10 OR X3 == 14 OR X13 == 21],{'0': {'precision': 0.788188221564623; 'recall': 0.9444638665534635; 'f1-score': 0.8592784442021082; 'support': 20023}; '1': {'precision': 0.5331654072208228; 'recall': 0.19993702770780855; 'f1-score': 0.29081749484772157; 'support': 6352}; 'accuracy': 0.7651563981042654; 'macro avg': {'precision': 0.6606768143927229; 'recall': 0.572200447130636; 'f1-score': 0.5750479695249149; 'support': 26375}; 'weighted avg': {'precision': 0.726770025670336; 'recall': 0.7651563981042654; 'f1-score': 0.722373649877973; 'support': 26375}},{'0': {'precision': 0.7852373887240356; 'recall': 0.9514606741573034; 'f1-score': 0.8603942288152815; 'support': 2225}; '1': {'precision': 0.5384615384615384; 'recall': 0.17872340425531916; 'f1-score': 0.268370607028754; 'support': 705}; 'accuracy': 0.7655290102389078; 'macro avg': {'precision': 0.661849463592787; 'recall': 0.5650920392063112; 'f1-score': 0.5643824179220177; 'support': 2930}; 'weighted avg': {'precision': 0.7258595817496123; 'recall': 0.7655290102389078; 'f1-score': 0.7179448590680113; 'support': 2930}}
5,1,CNF,7,26375,2930,3296,[8; 9],262,228.060723,0.665188,3,[X3 == 10 OR X5 == 2 OR X6 == 3],{'0': {'precision': 0.9382620175506717; 'recall': 0.6034060830045448; 'f1-score': 0.734468085106383; 'support': 20023}; '1': {'precision': 0.41169062083271596; 'recall': 0.8748425692695214; 'f1-score': 0.5598992443324937; 'support': 6352}; 'accuracy': 0.6687772511848341; 'macro avg': {'precision': 0.6749763191916939; 'recall': 0.739124326137033; 'f1-score': 0.6471836647194383; 'support': 26375}; 'weighted avg': {'precision': 0.8114456569079247; 'recall': 0.6687772511848341; 'f1-score': 0.6924259513965917; 'support': 26375}},{'0': {'precision': 0.9331476323119777; 'recall': 0.6022471910112359; 'f1-score': 0.7320404261130838; 'support': 2225}; '1': {'precision': 0.40763052208835343; 'recall': 0.8638297872340426; 'f1-score': 0.5538881309686221; 'support': 705}; 'accuracy': 0.6651877133105802; 'macro avg': {'precision': 0.6703890772001656; 'recall': 0.7330384891226392; 'f1-score': 0.6429642785408529; 'support': 2930}; 'weighted avg': {'precision': 0.8067006825824026; 'recall': 0.6651877133105802; 'f1-score': 0.6891744301824199; 'support': 2930}}
5,1,CNF,8,26375,2930,3296,[8; 9],262,356.772109,0.660410,2,[X0 >= 45.000000 OR X13 == 10],{'0': {'precision': 0.8124061196105702; 'recall': 0.729274870155813; 'f1-score': 0.7685991736624648; 'support': 20024}; '1': {'precision': 0.35464285714285715; 'recall': 0.4690599905526689; 'f1-score': 0.40390482001220257; 'support': 6351}; 'accuracy': 0.6666161137440758; 'macro avg': {'precision': 0.5835244883767137; 'recall': 0.5991674303542409; 'f1-score': 0.5862519968373336; 'support': 26375}; 'weighted avg': {'precision': 0.7021784616036528; 'recall': 0.6666161137440758; 'f1-score': 0.6807821560308889; 'support': 26375}},{'0': {'precision': 0.8061783756851021; 'recall': 0.7275179856115108; 'f1-score': 0.7648310092176789; 'support': 2224}; '1': {'precision': 0.3434452871072589; 'recall': 0.4490084985835694; 'f1-score': 0.38919582565991406; 'support': 706}; 'accuracy': 0.6604095563139932; 'macro avg': {'precision': 0.5748118313961805; 'recall': 0.5882632420975401; 'f1-score': 0.5770134174387964; 'support': 2930}; 'weighted avg': {'precision': 0.6946802321574715; 'recall': 0.6604095563139932; 'f1-score': 0.6743195963877192; 'support': 2930}}
5,1,CNF,9,26375,2930,3296,[8; 9],262,292.855771,0.670307,4,[X1 == 1 OR X1 == 7 OR X3 == 10 OR X6 == 3],{'0': {'precision': 0.7692890636100981; 'recall': 0.8111266480223731; 'f1-score': 0.7896540826992733; 'support': 20024}; '1': {'precision': 0.28126187761307486; 'recall': 0.23303416784758305; 'f1-score': 0.25488676483251527; 'support': 6351}; 'accuracy': 0.6719241706161138; 'macro avg': {'precision': 0.5252754706115865; 'recall': 0.5220804079349781; 'f1-score': 0.5222704237658943; 'support': 26375}; 'weighted avg': {'precision': 0.6517739675620566; 'recall': 0.6719241706161138; 'f1-score': 0.6608841401107698; 'support': 26375}},{'0': {'precision': 0.7713546160483176; 'recall': 0.8039568345323741; 'f1-score': 0.7873183619550859; 'support': 2224}; '1': {'precision': 0.2875816993464052; 'recall': 0.24929178470254956; 'f1-score': 0.26707132018209406; 'support': 706}; 'accuracy': 0.6703071672354949; 'macro avg': {'precision': 0.5294681576973614; 'recall': 0.5266243096174619; 'f1-score': 0.5271948410685899; 'support': 2930}; 'weighted avg': {'precision': 0.6547868074505189; 'recall': 0.6703071672354949; 'f1-score': 0.6619619075210477; 'support': 2930}}
5,1,CNF,0,26374,2931,1648,[16; 17],262,175.004450,0.735926,6,[X1 == 2 OR X3 == 10 OR X3 == 14 OR X5 == 1 OR X6 == 13 OR X13 == 10],{'0': {'precision': 0.7812742812742812; 'recall': 0.9039105029216401; 'f1-score': 0.8381300794183704; 'support': 20023}; '1': {'precision': 0.4002493765586035; 'recall': 0.2021728861596599; 'f1-score': 0.2686473480489591; 'support': 6351}; 'accuracy': 0.7349283385152043; 'macro avg': {'precision': 0.5907618289164424; 'recall': 0.55304169454065; 'f1-score': 0.5533887137336647; 'support': 26374}; 'weighted avg': {'precision': 0.6895214500826049; 'recall': 0.7349283385152043; 'f1-score': 0.7009955974692109; 'support': 26374}},{'0': {'precision': 0.7821859198755348; 'recall': 0.9038202247191012; 'f1-score': 0.8386155129274395; 'support': 2225}; '1': {'precision': 0.40555555555555556; 'recall': 0.20679886685552407; 'f1-score': 0.273921200750469; 'support': 706}; 'accuracy': 0.7359263050153532; 'macro avg': {'precision': 0.5938707377155452; 'recall': 0.5553095457873126; 'f1-score': 0.5562683568389543; 'support': 2931}; 'weighted avg': {'precision': 0.6914656751775119; 'recall': 0.7359263050153532; 'f1-score': 0.7025956615467022; 'support': 2931}}
