lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,3296,[8; 9],262,116.220046,0.743773,3,[X3 == 9 OR X3 == 10 OR X3 == 14],{'0': {'precision': 0.8123412661085505; 'recall': 0.8626080007990811; 'f1-score': 0.8367203584837107; 'support': 20023}; '1': {'precision': 0.4618544600938967; 'recall': 0.37175247992442134; 'f1-score': 0.4119340486783564; 'support': 6351}; 'accuracy': 0.744407370895579; 'macro avg': {'precision': 0.6370978631012236; 'recall': 0.6171802403617512; 'f1-score': 0.6243272035810336; 'support': 26374}; 'weighted avg': {'precision': 0.7279421721145007; 'recall': 0.744407370895579; 'f1-score': 0.7344295473221953; 'support': 26374}},{'0': {'precision': 0.814151747655584; 'recall': 0.8584269662921349; 'f1-score': 0.8357033471887989; 'support': 2225}; '1': {'precision': 0.46153846153846156; 'recall': 0.38243626062322944; 'f1-score': 0.418280402788536; 'support': 706}; 'accuracy': 0.7437734561583077; 'macro avg': {'precision': 0.6378451045970228; 'recall': 0.6204316134576822; 'f1-score': 0.6269918749886675; 'support': 2931}; 'weighted avg': {'precision': 0.7292165787716915; 'recall': 0.7437734561583077; 'f1-score': 0.7351572541329867; 'support': 2931}}
5,1,CNF,1,26374,2931,3296,[8; 9],262,109.666209,0.687479,5,[X0 >= 50.000000 OR X3 == 8 OR X3 == 10 OR X3 == 14 OR X5 == 1],{'0': {'precision': 0.8000313185092389; 'recall': 0.7654697098336912; 'f1-score': 0.7823690053852632; 'support': 20023}; '1': {'precision': 0.3492239467849224; 'recall': 0.39678790741615494; 'f1-score': 0.3714896439890912; 'support': 6351}; 'accuracy': 0.6766891635701827; 'macro avg': {'precision': 0.5746276326470807; 'recall': 0.5811288086249231; 'f1-score': 0.5769293246871772; 'support': 26374}; 'weighted avg': {'precision': 0.6914744967218297; 'recall': 0.6766891635701827; 'f1-score': 0.6834270616441891; 'support': 26374}},{'0': {'precision': 0.808; 'recall': 0.771685393258427; 'f1-score': 0.7894252873563218; 'support': 2225}; '1': {'precision': 0.369727047146402; 'recall': 0.42209631728045327; 'f1-score': 0.39417989417989413; 'support': 706}; 'accuracy': 0.6874786762197203; 'macro avg': {'precision': 0.588863523573201; 'recall': 0.5968908552694401; 'f1-score': 0.5918025907681079; 'support': 2931}; 'weighted avg': {'precision': 0.7024316940584646; 'recall': 0.6874786762197203; 'f1-score': 0.694221176956268; 'support': 2931}}
5,1,CNF,2,26374,2931,3296,[8; 9],262,118.194590,0.697032,6,[X1 == 5 OR X1 == 6 OR X1 == 7 OR X3 == 7 OR X3 == 12 OR X5 == 1],{'0': {'precision': 0.797134053895437; 'recall': 0.8140138840333616; 'f1-score': 0.8054855448480356; 'support': 20023}; '1': {'precision': 0.371688881390248; 'recall': 0.3468745079515037; 'f1-score': 0.35885323342563935; 'support': 6351}; 'accuracy': 0.7015242284067642; 'macro avg': {'precision': 0.5844114676428425; 'recall': 0.5804441959924327; 'f1-score': 0.5821693891368375; 'support': 26374}; 'weighted avg': {'precision': 0.6946845850784029; 'recall': 0.7015242284067642; 'f1-score': 0.6979340998702681; 'support': 26374}},{'0': {'precision': 0.7930732135028496; 'recall': 0.8130337078651685; 'f1-score': 0.8029294274300932; 'support': 2225}; '1': {'precision': 0.36; 'recall': 0.3314447592067989; 'f1-score': 0.34513274336283184; 'support': 706}; 'accuracy': 0.6970317297850563; 'macro avg': {'precision': 0.5765366067514248; 'recall': 0.5722392335359837; 'f1-score': 0.5740310853964625; 'support': 2931}; 'weighted avg': {'precision': 0.6887573865724465; 'recall': 0.6970317297850562; 'f1-score': 0.6926583735401285; 'support': 2931}}
5,1,CNF,3,26374,2931,3296,[8; 9],262,112.791934,0.734562,4,[X1 == 5 OR X1 == 6 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.8001832340815391; 'recall': 0.8723967437446936; 'f1-score': 0.834731082598619; 'support': 20023}; '1': {'precision': 0.4377200704225352; 'recall': 0.31317902692489374; 'f1-score': 0.3651216154199174; 'support': 6351}; 'accuracy': 0.7377341320997952; 'macro avg': {'precision': 0.6189516522520372; 'recall': 0.5927878853347937; 'f1-score': 0.5999263490092681; 'support': 26374}; 'weighted avg': {'precision': 0.7129001692298543; 'recall': 0.7377341320997952; 'f1-score': 0.7216466158490954; 'support': 26374}},{'0': {'precision': 0.7968814115716044; 'recall': 0.8728089887640449; 'f1-score': 0.8331188331188331; 'support': 2225}; '1': {'precision': 0.4271255060728745; 'recall': 0.2988668555240793; 'f1-score': 0.3516666666666667; 'support': 706}; 'accuracy': 0.734561583077448; 'macro avg': {'precision': 0.6120034588222394; 'recall': 0.5858379221440622; 'f1-score': 0.5923927498927499; 'support': 2931}; 'weighted avg': {'precision': 0.7078170412945306; 'recall': 0.734561583077448; 'f1-score': 0.7171498022368032; 'support': 2931}}
5,1,CNF,4,26374,2931,3296,[8; 9],262,108.868914,0.618560,5,[X1 == 0 OR X2 < 106648.000000 OR X3 == 3 OR X3 == 10 OR X6 == 4],{'0': {'precision': 0.7908016232429571; 'recall': 0.6715277430954403; 'f1-score': 0.726300437530384; 'support': 20023}; '1': {'precision': 0.29815387898836837; 'recall': 0.439930719571721; 'f1-score': 0.35542551838188524; 'support': 6351}; 'accuracy': 0.6157579434291347; 'macro avg': {'precision': 0.5444777511156628; 'recall': 0.5557292313335807; 'f1-score': 0.5408629779561346; 'support': 26374}; 'weighted avg': {'precision': 0.6721694163816205; 'recall': 0.6157579434291347; 'f1-score': 0.6369917770499064; 'support': 26374}},{'0': {'precision': 0.7905511811023622; 'recall': 0.6768539325842696; 'f1-score': 0.7292978208232445; 'support': 2225}; '1': {'precision': 0.29922027290448344; 'recall': 0.4348441926345609; 'f1-score': 0.3545034642032333; 'support': 706}; 'accuracy': 0.6185602183555101; 'macro avg': {'precision': 0.5448857270034229; 'recall': 0.5558490626094152; 'f1-score': 0.5419006425132389; 'support': 2931}; 'weighted avg': {'precision': 0.6722026238905907; 'recall': 0.6185602183555101; 'f1-score': 0.639019821582805; 'support': 2931}}
5,1,CNF,5,26375,2930,3296,[8; 9],262,114.440145,0.653584,5,[X0 >= 50.000000 OR X1 == 5 OR X3 == 9 OR X3 == 10 OR X3 == 14],{'0': {'precision': 0.8433497536945813; 'recall': 0.6840133846077011; 'f1-score': 0.7553704878250559; 'support': 20023}; '1': {'precision': 0.37572767636901827; 'recall': 0.5994962216624685; 'f1-score': 0.4619397100746042; 'support': 6352}; 'accuracy': 0.6636587677725119; 'macro avg': {'precision': 0.6095387150317998; 'recall': 0.6417548031350848; 'f1-score': 0.60865509894983; 'support': 26375}; 'weighted avg': {'precision': 0.7307304007022788; 'recall': 0.6636587677725119; 'f1-score': 0.6847023437389564; 'support': 26375}},{'0': {'precision': 0.8406531531531531; 'recall': 0.6710112359550562; 'f1-score': 0.7463134216445889; 'support': 2225}; '1': {'precision': 0.36568457538994803; 'recall': 0.5985815602836879; 'f1-score': 0.45400753093060786; 'support': 705}; 'accuracy': 0.6535836177474402; 'macro avg': {'precision': 0.6031688642715506; 'recall': 0.634796398119372; 'f1-score': 0.6001604762875984; 'support': 2930}; 'weighted avg': {'precision': 0.7263689049200269; 'recall': 0.6535836177474402; 'f1-score': 0.6759804342884945; 'support': 2930}}
5,1,CNF,6,26375,2930,3296,[8; 9],262,122.628641,0.703754,3,[X2 >= 329054.000000 OR X3 == 10 OR X13 == 8],{'0': {'precision': 0.7659046151211576; 'recall': 0.89347250661739; 'f1-score': 0.8247850441437495; 'support': 20023}; '1': {'precision': 0.29300629764666886; 'recall': 0.13916876574307305; 'f1-score': 0.18870743942790053; 'support': 6352}; 'accuracy': 0.7118104265402844; 'macro avg': {'precision': 0.5294554563839132; 'recall': 0.5163206361802315; 'f1-score': 0.5067462417858251; 'support': 26375}; 'weighted avg': {'precision': 0.6520145634586759; 'recall': 0.7118104265402844; 'f1-score': 0.6715958519103818; 'support': 26375}},{'0': {'precision': 0.7606607760276604; 'recall': 0.8898876404494382; 'f1-score': 0.8202154101077049; 'support': 2225}; '1': {'precision': 0.25076452599388377; 'recall': 0.11631205673758865; 'f1-score': 0.15891472868217055; 'support': 705}; 'accuracy': 0.7037542662116041; 'macro avg': {'precision': 0.5057126510107721; 'recall': 0.5030998485935134; 'f1-score': 0.4895650693949377; 'support': 2930}; 'weighted avg': {'precision': 0.6379724291765297; 'recall': 0.7037542662116041; 'f1-score': 0.6610969867612879; 'support': 2930}}
5,1,CNF,7,26375,2930,3296,[8; 9],262,138.566328,0.696246,4,[X3 == 10 OR X6 == 7 OR X6 == 14 OR X13 == 11],{'0': {'precision': 0.7558240611961057; 'recall': 0.8685012235928682; 'f1-score': 0.8082545141874462; 'support': 20023}; '1': {'precision': 0.217998217998218; 'recall': 0.11555415617128463; 'f1-score': 0.15104434612614467; 'support': 6352}; 'accuracy': 0.6871658767772512; 'macro avg': {'precision': 0.4869111395971618; 'recall': 0.4920276898820764; 'f1-score': 0.47964943015679545; 'support': 26375}; 'weighted avg': {'precision': 0.6262972458030067; 'recall': 0.6871658767772512; 'f1-score': 0.6499758795893271; 'support': 26375}},{'0': {'precision': 0.7604369879047991; 'recall': 0.8759550561797753; 'f1-score': 0.8141186299081035; 'support': 2225}; '1': {'precision': 0.24795640326975477; 'recall': 0.12907801418439716; 'f1-score': 0.1697761194029851; 'support': 705}; 'accuracy': 0.6962457337883959; 'macro avg': {'precision': 0.504196695587277; 'recall': 0.5025165351820863; 'f1-score': 0.4919473746555443; 'support': 2930}; 'weighted avg': {'precision': 0.6371268131035341; 'recall': 0.6962457337883959; 'f1-score': 0.6590805855715477; 'support': 2930}}
5,1,CNF,8,26375,2930,3296,[8; 9],262,311.400410,0.748805,2,[X6 == 4 OR X13 == 2],{'0': {'precision': 0.7947991985364579; 'recall': 0.9112564922093488; 'f1-score': 0.8490530919919966; 'support': 20024}; '1': {'precision': 0.4799531752999707; 'recall': 0.2582270508581326; 'f1-score': 0.3357903357903358; 'support': 6351}; 'accuracy': 0.7540094786729857; 'macro avg': {'precision': 0.6373761869182143; 'recall': 0.5847417715337406; 'f1-score': 0.5924217138911663; 'support': 26375}; 'weighted avg': {'precision': 0.7189854698701098; 'recall': 0.7540094786729857; 'f1-score': 0.7254613663185654; 'support': 26375}},{'0': {'precision': 0.7881487219209915; 'recall': 0.9150179856115108; 'f1-score': 0.8468580940491053; 'support': 2224}; '1': {'precision': 0.45689655172413796; 'recall': 0.22521246458923513; 'f1-score': 0.30170777988614805; 'support': 706}; 'accuracy': 0.7488054607508532; 'macro avg': {'precision': 0.6225226368225647; 'recall': 0.5701152251003729; 'f1-score': 0.5742829369676267; 'support': 2930}; 'weighted avg': {'precision': 0.7083316460988145; 'recall': 0.7488054607508532; 'f1-score': 0.7155010558924337; 'support': 2930}}
5,1,CNF,9,26375,2930,3296,[8; 9],262,347.718978,0.719795,2,[X3 == 3 OR X3 == 9],{'0': {'precision': 0.7916609706083391; 'recall': 0.8676088693567718; 'f1-score': 0.8278967809573734; 'support': 20024}; '1': {'precision': 0.40158013544018056; 'recall': 0.28011336797354747; 'f1-score': 0.33002504405899263; 'support': 6351}; 'accuracy': 0.7261421800947867; 'macro avg': {'precision': 0.5966205530242599; 'recall': 0.5738611186651597; 'f1-score': 0.578960912508183; 'support': 26375}; 'weighted avg': {'precision': 0.6977309844793164; 'recall': 0.7261421800947867; 'f1-score': 0.7080111543775964; 'support': 26375}},{'0': {'precision': 0.7895171275278581; 'recall': 0.8601618705035972; 'f1-score': 0.8233268775554121; 'support': 2224}; '1': {'precision': 0.3865877712031558; 'recall': 0.2776203966005666; 'f1-score': 0.32316570486397367; 'support': 706}; 'accuracy': 0.7197952218430034; 'macro avg': {'precision': 0.5880524493655069; 'recall': 0.5688911335520819; 'f1-score': 0.573246291209693; 'support': 2930}; 'weighted avg': {'precision': 0.6924290300653189; 'recall': 0.7197952218430034; 'f1-score': 0.7028102263881235; 'support': 2930}}
5,1,CNF,0,26374,2931,1648,[16; 17],262,196.603610,0.755032,5,[X1 == 1 OR X1 == 5 OR X3 == 10 OR X5 == 1 OR X7 == 5],{'0': {'precision': 0.7932178559117545; 'recall': 0.9193926983968437; 'f1-score': 0.8516573754944368; 'support': 20023}; '1': {'precision': 0.4902084649399874; 'recall': 0.24437096520233034; 'f1-score': 0.3261531995376694; 'support': 6351}; 'accuracy': 0.7568438613786305; 'macro avg': {'precision': 0.641713160425871; 'recall': 0.581881831799587; 'f1-score': 0.5889052875160531; 'support': 26374}; 'weighted avg': {'precision': 0.7202515769225344; 'recall': 0.7568438613786305; 'f1-score': 0.7251131644721637; 'support': 26374}},{'0': {'precision': 0.7903660886319845; 'recall': 0.9217977528089888; 'f1-score': 0.8510373443983403; 'support': 2225}; '1': {'precision': 0.48214285714285715; 'recall': 0.22946175637393768; 'f1-score': 0.31094049904030713; 'support': 706}; 'accuracy': 0.7550324121460252; 'macro avg': {'precision': 0.6362544728874209; 'recall': 0.5756297545914633; 'f1-score': 0.5809889217193237; 'support': 2931}; 'weighted avg': {'precision': 0.7161233041108914; 'recall': 0.7550324121460252; 'f1-score': 0.7209423690238022; 'support': 2931}}
