lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,58,[8; 9],14,1.227558,0.603774,3,[X2 >= 1.650000 OR X3 >= 1.250000 OR X9 < 0.895000],{'0.0': {'precision': 0.45145631067961167; 'recall': 0.6940298507462687; 'f1-score': 0.5470588235294118; 'support': 134}; '1.0': {'precision': 0.8435114503816794; 'recall': 0.6616766467065869; 'f1-score': 0.7416107382550337; 'support': 334}; 'accuracy': 0.6709401709401709; 'macro avg': {'precision': 0.6474838805306455; 'recall': 0.6778532487264277; 'f1-score': 0.6443347808922227; 'support': 468}; 'weighted avg': {'precision': 0.7312563462789505; 'recall': 0.6709401709401709; 'f1-score': 0.6859057028421419; 'support': 468}},{'0.0': {'precision': 0.38461538461538464; 'recall': 0.6666666666666666; 'f1-score': 0.4878048780487804; 'support': 15}; '1.0': {'precision': 0.8148148148148148; 'recall': 0.5789473684210527; 'f1-score': 0.6769230769230768; 'support': 38}; 'accuracy': 0.6037735849056604; 'macro avg': {'precision': 0.5997150997150997; 'recall': 0.6228070175438596; 'f1-score': 0.5823639774859286; 'support': 53}; 'weighted avg': {'precision': 0.6930602590979948; 'recall': 0.6037735849056604; 'f1-score': 0.6233990583737476; 'support': 53}}
5,1,CNF,1,469,52,58,[8; 9],14,1.147222,0.711538,4,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000],{'0.0': {'precision': 0.43333333333333335; 'recall': 0.5777777777777777; 'f1-score': 0.4952380952380952; 'support': 135}; '1.0': {'precision': 0.8027681660899654; 'recall': 0.6946107784431138; 'f1-score': 0.7447833065810593; 'support': 334}; 'accuracy': 0.6609808102345416; 'macro avg': {'precision': 0.6180507497116494; 'recall': 0.6361942781104457; 'f1-score': 0.6200107009095772; 'support': 469}; 'weighted avg': {'precision': 0.6964276491983975; 'recall': 0.6609808102345416; 'f1-score': 0.6729525954269011; 'support': 469}},{'0.0': {'precision': 0.47368421052631576; 'recall': 0.6428571428571429; 'f1-score': 0.5454545454545454; 'support': 14}; '1.0': {'precision': 0.8484848484848485; 'recall': 0.7368421052631579; 'f1-score': 0.7887323943661972; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6610845295055822; 'recall': 0.6898496240601504; 'f1-score': 0.6670934699103713; 'support': 52}; 'weighted avg': {'precision': 0.7475769844190896; 'recall': 0.7115384615384616; 'f1-score': 0.7232345119669064; 'support': 52}}
5,1,CNF,2,469,52,58,[8; 9],14,1.121943,0.730769,4,[(NOT X1) OR X3 >= 1.250000 OR X4 >= 211.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4434782608695652; 'recall': 0.3805970149253731; 'f1-score': 0.40963855421686746; 'support': 134}; '1.0': {'precision': 0.7655367231638418; 'recall': 0.808955223880597; 'f1-score': 0.7866473149492017; 'support': 335}; 'accuracy': 0.6865671641791045; 'macro avg': {'precision': 0.6045074920167035; 'recall': 0.594776119402985; 'f1-score': 0.5981429345830346; 'support': 469}; 'weighted avg': {'precision': 0.6735200196511913; 'recall': 0.6865671641791045; 'f1-score': 0.6789305261685348; 'support': 469}},{'0.0': {'precision': 0.5333333333333333; 'recall': 0.5333333333333333; 'f1-score': 0.5333333333333333; 'support': 15}; '1.0': {'precision': 0.8108108108108109; 'recall': 0.8108108108108109; 'f1-score': 0.8108108108108109; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6720720720720721; 'recall': 0.6720720720720721; 'f1-score': 0.6720720720720721; 'support': 52}; 'weighted avg': {'precision': 0.7307692307692307; 'recall': 0.7307692307692307; 'f1-score': 0.7307692307692307; 'support': 52}}
5,1,CNF,3,469,52,58,[8; 9],14,1.248588,0.673077,5,[X1 OR X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5416666666666666; 'recall': 0.19402985074626866; 'f1-score': 0.2857142857142857; 'support': 134}; '1.0': {'precision': 0.7434679334916865; 'recall': 0.9343283582089552; 'f1-score': 0.828042328042328; 'support': 335}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.6425673000791765; 'recall': 0.5641791044776119; 'f1-score': 0.5568783068783069; 'support': 469}; 'weighted avg': {'precision': 0.685810428684538; 'recall': 0.7228144989339019; 'f1-score': 0.6730914588057445; 'support': 469}},{'0.0': {'precision': 0.25; 'recall': 0.06666666666666667; 'f1-score': 0.10526315789473685; 'support': 15}; '1.0': {'precision': 0.7083333333333334; 'recall': 0.918918918918919; 'f1-score': 0.8000000000000002; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.4791666666666667; 'recall': 0.4927927927927928; 'f1-score': 0.4526315789473685; 'support': 52}; 'weighted avg': {'precision': 0.5761217948717949; 'recall': 0.6730769230769231; 'f1-score': 0.599595141700405; 'support': 52}}
5,1,CNF,4,469,52,58,[8; 9],14,1.189509,0.711538,5,[X2 >= 1.650000 OR X4 >= 211.500000 OR X4 < 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
5,1,CNF,5,469,52,58,[8; 9],14,1.237414,0.692308,4,[(NOT X1) OR X2 < 1.650000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.1111111111111111; 'recall': 0.022388059701492536; 'f1-score': 0.03726708074534161; 'support': 134}; '1.0': {'precision': 0.7036199095022625; 'recall': 0.9283582089552239; 'f1-score': 0.8005148005148005; 'support': 335}; 'accuracy': 0.6695095948827292; 'macro avg': {'precision': 0.4073655103066868; 'recall': 0.4753731343283582; 'f1-score': 0.41889094063007104; 'support': 469}; 'weighted avg': {'precision': 0.5343316813905049; 'recall': 0.6695095948827292; 'f1-score': 0.5824440234378122; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
5,1,CNF,6,469,52,58,[8; 9],14,1.209080,0.711538,3,[X2 >= 1.650000 OR X4 >= 211.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5064935064935064; 'recall': 0.582089552238806; 'f1-score': 0.5416666666666666; 'support': 134}; '1.0': {'precision': 0.8222222222222222; 'recall': 0.7731343283582089; 'f1-score': 0.7969230769230768; 'support': 335}; 'accuracy': 0.7185501066098081; 'macro avg': {'precision': 0.6643578643578643; 'recall': 0.6776119402985075; 'f1-score': 0.6692948717948717; 'support': 469}; 'weighted avg': {'precision': 0.7320140177283034; 'recall': 0.7185501066098081; 'f1-score': 0.723992673992674; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.4; 'f1-score': 0.4444444444444445; 'support': 15}; '1.0': {'precision': 0.775; 'recall': 0.8378378378378378; 'f1-score': 0.8051948051948051; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6375; 'recall': 0.6189189189189189; 'f1-score': 0.6248196248196248; 'support': 52}; 'weighted avg': {'precision': 0.6956730769230769; 'recall': 0.7115384615384616; 'f1-score': 0.7011322011322011; 'support': 52}}
5,1,CNF,7,469,52,58,[8; 9],14,1.216616,0.519231,3,[(NOT X1) OR X3 >= 1.250000 OR X5 >= 61.500000],{'0.0': {'precision': 0.4142857142857143; 'recall': 0.6492537313432836; 'f1-score': 0.505813953488372; 'support': 134}; '1.0': {'precision': 0.8185328185328186; 'recall': 0.6328358208955224; 'f1-score': 0.7138047138047138; 'support': 335}; 'accuracy': 0.6375266524520256; 'macro avg': {'precision': 0.6164092664092664; 'recall': 0.6410447761194029; 'f1-score': 0.6098093336465429; 'support': 469}; 'weighted avg': {'precision': 0.7030336458907889; 'recall': 0.6375266524520256; 'f1-score': 0.6543787822857591; 'support': 469}},{'0.0': {'precision': 0.2916666666666667; 'recall': 0.4666666666666667; 'f1-score': 0.35897435897435903; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.5405405405405406; 'f1-score': 0.6153846153846154; 'support': 37}; 'accuracy': 0.5192307692307693; 'macro avg': {'precision': 0.5029761904761905; 'recall': 0.5036036036036036; 'f1-score': 0.4871794871794872; 'support': 52}; 'weighted avg': {'precision': 0.5923763736263736; 'recall': 0.5192307692307693; 'f1-score': 0.5414201183431953; 'support': 52}}
5,1,CNF,8,469,52,58,[8; 9],14,1.174770,0.653846,3,[X3 >= 1.250000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.3684210526315789; 'recall': 0.208955223880597; 'f1-score': 0.2666666666666666; 'support': 134}; '1.0': {'precision': 0.7302798982188295; 'recall': 0.8567164179104477; 'f1-score': 0.7884615384615385; 'support': 335}; 'accuracy': 0.6716417910447762; 'macro avg': {'precision': 0.5493504754252042; 'recall': 0.5328358208955224; 'f1-score': 0.5275641025641026; 'support': 469}; 'weighted avg': {'precision': 0.6268916566224721; 'recall': 0.6716417910447762; 'f1-score': 0.6393772893772894; 'support': 469}},{'0.0': {'precision': 0.38461538461538464; 'recall': 0.3333333333333333; 'f1-score': 0.3571428571428571; 'support': 15}; '1.0': {'precision': 0.7435897435897436; 'recall': 0.7837837837837838; 'f1-score': 0.7631578947368421; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5641025641025641; 'recall': 0.5585585585585585; 'f1-score': 0.5601503759398496; 'support': 52}; 'weighted avg': {'precision': 0.6400394477317555; 'recall': 0.6538461538461539; 'f1-score': 0.6460381723539619; 'support': 52}}
5,1,CNF,9,469,52,58,[8; 9],14,1.154162,0.750000,3,[(NOT X1) OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.4276729559748428; 'recall': 0.5074626865671642; 'f1-score': 0.4641638225255973; 'support': 134}; '1.0': {'precision': 0.7870967741935484; 'recall': 0.7283582089552239; 'f1-score': 0.7565891472868217; 'support': 335}; 'accuracy': 0.6652452025586354; 'macro avg': {'precision': 0.6073848650841955; 'recall': 0.6179104477611941; 'f1-score': 0.6103764849062094; 'support': 469}; 'weighted avg': {'precision': 0.6844042547024897; 'recall': 0.6652452025586354; 'f1-score': 0.6730390544979005; 'support': 469}},{'0.0': {'precision': 0.5714285714285714; 'recall': 0.5333333333333333; 'f1-score': 0.5517241379310344; 'support': 15}; '1.0': {'precision': 0.8157894736842105; 'recall': 0.8378378378378378; 'f1-score': 0.8266666666666665; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6936090225563909; 'recall': 0.6855855855855856; 'f1-score': 0.6891954022988505; 'support': 52}; 'weighted avg': {'precision': 0.7453007518796991; 'recall': 0.75; 'f1-score': 0.7473563218390804; 'support': 52}}
5,1,CNF,0,468,53,29,[16; 17],14,0.592409,0.660377,5,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4700854700854701; 'recall': 0.41044776119402987; 'f1-score': 0.4382470119521912; 'support': 134}; '1.0': {'precision': 0.7749287749287749; 'recall': 0.8143712574850299; 'f1-score': 0.7941605839416058; 'support': 334}; 'accuracy': 0.6987179487179487; 'macro avg': {'precision': 0.6225071225071225; 'recall': 0.6124095093395299; 'f1-score': 0.6162037979468985; 'support': 468}; 'weighted avg': {'precision': 0.6876445808069739; 'recall': 0.6987179487179487; 'f1-score': 0.6922537064916452; 'support': 468}},{'0.0': {'precision': 0.42105263157894735; 'recall': 0.5333333333333333; 'f1-score': 0.47058823529411764; 'support': 15}; '1.0': {'precision': 0.7941176470588235; 'recall': 0.7105263157894737; 'f1-score': 0.7499999999999999; 'support': 38}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.6075851393188854; 'recall': 0.6219298245614036; 'f1-score': 0.6102941176470588; 'support': 53}; 'weighted avg': {'precision': 0.6885332087154623; 'recall': 0.660377358490566; 'f1-score': 0.6709211986681465; 'support': 53}}
