lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,1,[26374; 26374],296,1048.742740,0.828386,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8215397559949517; 'recall': 0.9752784298057234; 'f1-score': 0.8918320279496723; 'support': 20023}; '1': {'precision': 0.8099078341013825; 'recall': 0.33207368918280583; 'f1-score': 0.47102177554438857; 'support': 6351}; 'accuracy': 0.8203912944566618; 'macro avg': {'precision': 0.815723795048167; 'recall': 0.6536760594942647; 'f1-score': 0.6814269017470305; 'support': 26374}; 'weighted avg': {'precision': 0.8187387271049062; 'recall': 0.8203912944566618; 'f1-score': 0.7904986726366384; 'support': 26374}},{'0': {'precision': 0.8278750952018279; 'recall': 0.9770786516853932; 'f1-score': 0.8963100391671819; 'support': 2225}; '1': {'precision': 0.8327868852459016; 'recall': 0.3597733711048159; 'f1-score': 0.5024727992087042; 'support': 706}; 'accuracy': 0.8283862163084271; 'macro avg': {'precision': 0.8303309902238647; 'recall': 0.6684260113951046; 'f1-score': 0.6993914191879431; 'support': 2931}; 'weighted avg': {'precision': 0.8290582148780872; 'recall': 0.8283862163084271; 'f1-score': 0.8014451154514926; 'support': 2931}}
5,1,CNF,1,26374,2931,1,[26374; 26374],296,1044.342794,0.816445,4,[X3 == 10 OR X3 == 14 OR X10 >= 4668.500000 OR X11 >= 1820.500000],{'0': {'precision': 0.8225554382259768; 'recall': 0.9725815312390751; 'f1-score': 0.8912993729690145; 'support': 20023}; '1': {'precision': 0.7965913301222675; 'recall': 0.33852936545425916; 'f1-score': 0.4751381215469612; 'support': 6351}; 'accuracy': 0.8198983847728823; 'macro avg': {'precision': 0.8095733841741222; 'recall': 0.6555554483466671; 'f1-score': 0.6832187472579878; 'support': 26374}; 'weighted avg': {'precision': 0.8163031423828488; 'recall': 0.8198983847728823; 'f1-score': 0.7910855219118575; 'support': 26374}},{'0': {'precision': 0.8213333333333334; 'recall': 0.9689887640449438; 'f1-score': 0.8890721649484536; 'support': 2225}; '1': {'precision': 0.7745098039215687; 'recall': 0.3356940509915014; 'f1-score': 0.4683794466403163; 'support': 706}; 'accuracy': 0.8164448993517571; 'macro avg': {'precision': 0.797921568627451; 'recall': 0.6523414075182226; 'f1-score': 0.678725805794385; 'support': 2931}; 'weighted avg': {'precision': 0.8100547895719189; 'recall': 0.8164448993517571; 'f1-score': 0.7877384702621537; 'support': 2931}}
5,1,CNF,2,26374,2931,1,[26374; 26374],296,1031.303236,0.817127,6,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1],{'0': {'precision': 0.8226221079691517; 'recall': 0.974878889277331; 'f1-score': 0.89230206619126; 'support': 20023}; '1': {'precision': 0.8098298676748582; 'recall': 0.3372697213037317; 'f1-score': 0.4762116496220542; 'support': 6351}; 'accuracy': 0.8213391976946993; 'macro avg': {'precision': 0.816225987822005; 'recall': 0.6560743052905313; 'f1-score': 0.684256857906657; 'support': 26374}; 'weighted avg': {'precision': 0.8195416682137465; 'recall': 0.8213391976946993; 'f1-score': 0.7921052725448269; 'support': 26374}},{'0': {'precision': 0.8212248003042982; 'recall': 0.9703370786516854; 'f1-score': 0.8895756077461887; 'support': 2225}; '1': {'precision': 0.7814569536423841; 'recall': 0.3342776203966006; 'f1-score': 0.4682539682539683; 'support': 706}; 'accuracy': 0.8171272603207097; 'macro avg': {'precision': 0.8013408769733412; 'recall': 0.6523073495241429; 'f1-score': 0.6789147880000785; 'support': 2931}; 'weighted avg': {'precision': 0.8116457829916707; 'recall': 0.8171272603207097; 'f1-score': 0.7880904226620852; 'support': 2931}}
5,1,CNF,3,26374,2931,1,[26374; 26374],296,1184.537470,0.821904,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8222240936460482; 'recall': 0.9752284872396744; 'f1-score': 0.8922142008589967; 'support': 20023}; '1': {'precision': 0.811047619047619; 'recall': 0.33522279955912454; 'f1-score': 0.4743761140819964; 'support': 6351}; 'accuracy': 0.8211117009175704; 'macro avg': {'precision': 0.8166358563468337; 'recall': 0.6552256433993995; 'f1-score': 0.6832951574704966; 'support': 26374}; 'weighted avg': {'precision': 0.8195327388961193; 'recall': 0.8211117009175704; 'f1-score': 0.7915965588964303; 'support': 26374}},{'0': {'precision': 0.8216849263316962; 'recall': 0.9775280898876404; 'f1-score': 0.8928571428571429; 'support': 2225}; '1': {'precision': 0.823943661971831; 'recall': 0.3314447592067989; 'f1-score': 0.4727272727272727; 'support': 706}; 'accuracy': 0.8219037871033776; 'macro avg': {'precision': 0.8228142941517635; 'recall': 0.6544864245472196; 'f1-score': 0.6827922077922078; 'support': 2931}; 'weighted avg': {'precision': 0.8222289957148199; 'recall': 0.8219037871033776; 'f1-score': 0.7916590233376314; 'support': 2931}}
5,1,CNF,4,26374,2931,1,[26374; 26374],296,1190.098005,0.819857,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8223232705991327; 'recall': 0.9754282575038705; 'f1-score': 0.8923561931740303; 'support': 20023}; '1': {'precision': 0.8124285169653069; 'recall': 0.3355377105967564; 'f1-score': 0.47492756853131274; 'support': 6351}; 'accuracy': 0.8213391976946993; 'macro avg': {'precision': 0.8173758937822198; 'recall': 0.6554829840503135; 'f1-score': 0.6836418808526715; 'support': 26374}; 'weighted avg': {'precision': 0.8199405611000644; 'recall': 0.8213391976946993; 'f1-score': 0.79183715187935; 'support': 26374}},{'0': {'precision': 0.8207939508506616; 'recall': 0.9757303370786516; 'f1-score': 0.8915811088295688; 'support': 2225}; '1': {'precision': 0.8111888111888111; 'recall': 0.3286118980169972; 'f1-score': 0.46774193548387094; 'support': 706}; 'accuracy': 0.81985670419652; 'macro avg': {'precision': 0.8159913810197363; 'recall': 0.6521711175478244; 'f1-score': 0.6796615221567198; 'support': 2931}; 'weighted avg': {'precision': 0.8184803279911371; 'recall': 0.81985670419652; 'f1-score': 0.7894895167510758; 'support': 2931}}
5,1,CNF,5,26375,2930,1,[26375; 26375],296,1176.727221,0.819113,4,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 10],{'0': {'precision': 0.822266200682134; 'recall': 0.9752784298057234; 'f1-score': 0.8922598921685095; 'support': 20023}; '1': {'precision': 0.8115003808073115; 'recall': 0.3354848866498741; 'f1-score': 0.4747159723769213; 'support': 6352}; 'accuracy': 0.8211943127962086; 'macro avg': {'precision': 0.8168832907447228; 'recall': 0.6553816582277987; 'f1-score': 0.6834879322727154; 'support': 26375}; 'weighted avg': {'precision': 0.8196734238918071; 'recall': 0.8211943127962086; 'f1-score': 0.7917010683385127; 'support': 26375}},{'0': {'precision': 0.8228571428571428; 'recall': 0.9707865168539326; 'f1-score': 0.8907216494845361; 'support': 2225}; '1': {'precision': 0.7868852459016393; 'recall': 0.3404255319148936; 'f1-score': 0.4752475247524752; 'support': 705}; 'accuracy': 0.8191126279863481; 'macro avg': {'precision': 0.8048711943793911; 'recall': 0.6556060243844131; 'f1-score': 0.6829845871185056; 'support': 2930}; 'weighted avg': {'precision': 0.8142017888115354; 'recall': 0.8191126279863481; 'f1-score': 0.7907526194722144; 'support': 2930}}
5,1,CNF,6,26375,2930,1,[26375; 26375],296,1038.880288,0.812287,4,[X4 >= 14.500000 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8233011346859578; 'recall': 0.974779004145233; 'f1-score': 0.8926595014863938; 'support': 20023}; '1': {'precision': 0.81071964017991; 'recall': 0.34052267002518893; 'f1-score': 0.47960088691796005; 'support': 6352}; 'accuracy': 0.8220284360189574; 'macro avg': {'precision': 0.817010387432934; 'recall': 0.657650837085211; 'f1-score': 0.6861301942021769; 'support': 26375}; 'weighted avg': {'precision': 0.8202710814877618; 'recall': 0.8220284360189574; 'f1-score': 0.7931808922072019; 'support': 26375}},{'0': {'precision': 0.8140232470941132; 'recall': 0.9757303370786516; 'f1-score': 0.8875715453802124; 'support': 2225}; '1': {'precision': 0.7946768060836502; 'recall': 0.29645390070921984; 'f1-score': 0.43181818181818177; 'support': 705}; 'accuracy': 0.8122866894197952; 'macro avg': {'precision': 0.8043500265888817; 'recall': 0.6360921188939357; 'f1-score': 0.659694863599197; 'support': 2930}; 'weighted avg': {'precision': 0.8093682160659985; 'recall': 0.8122866894197952; 'f1-score': 0.7779107531238194; 'support': 2930}}
5,1,CNF,7,26375,2930,1,[26375; 26375],296,1025.345550,0.824573,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8220827894049775; 'recall': 0.9749787744094291; 'f1-score': 0.8920265021704364; 'support': 20023}; '1': {'precision': 0.8093607305936074; 'recall': 0.3348551637279597; 'f1-score': 0.47371937639198225; 'support': 6352}; 'accuracy': 0.8208151658767773; 'macro avg': {'precision': 0.8157217599992924; 'recall': 0.6549169690686945; 'f1-score': 0.6828729392812094; 'support': 26375}; 'weighted avg': {'precision': 0.8190188835255529; 'recall': 0.8208151658767773; 'f1-score': 0.7912838722957544; 'support': 26375}},{'0': {'precision': 0.8229520573801434; 'recall': 0.9797752808988764; 'f1-score': 0.8945424702503078; 'support': 2225}; '1': {'precision': 0.8398576512455516; 'recall': 0.3347517730496454; 'f1-score': 0.47870182555780927; 'support': 705}; 'accuracy': 0.8245733788395905; 'macro avg': {'precision': 0.8314048543128475; 'recall': 0.6572635269742609; 'f1-score': 0.6866221479040585; 'support': 2930}; 'weighted avg': {'precision': 0.8270197855969054; 'recall': 0.8245733788395905; 'f1-score': 0.7944852502816349; 'support': 2930}}
5,1,CNF,8,26375,2930,1,[26375; 26375],296,1024.774128,0.831058,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 34],{'0': {'precision': 0.821488716739643; 'recall': 0.9744306831801838; 'f1-score': 0.8914473684210527; 'support': 20024}; '1': {'precision': 0.8048036599313763; 'recall': 0.3323886002204377; 'f1-score': 0.4704702473813237; 'support': 6351}; 'accuracy': 0.8198293838862559; 'macro avg': {'precision': 0.8131461883355096; 'recall': 0.6534096417003108; 'f1-score': 0.6809588079011881; 'support': 26375}; 'weighted avg': {'precision': 0.8174710183210911; 'recall': 0.8198293838862559; 'f1-score': 0.7900776737964718; 'support': 26375}},{'0': {'precision': 0.8283327003418154; 'recall': 0.9806654676258992; 'f1-score': 0.8980852378011117; 'support': 2224}; '1': {'precision': 0.8552188552188552; 'recall': 0.3597733711048159; 'f1-score': 0.506480558325025; 'support': 706}; 'accuracy': 0.8310580204778157; 'macro avg': {'precision': 0.8417757777803353; 'recall': 0.6702194193653576; 'f1-score': 0.7022828980630684; 'support': 2930}; 'weighted avg': {'precision': 0.8348110707661124; 'recall': 0.8310580204778157; 'f1-score': 0.8037258849990239; 'support': 2930}}
5,1,CNF,9,26375,2930,1,[26375; 26375],296,1022.976582,0.817747,6,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1],{'0': {'precision': 0.8225058982136838; 'recall': 0.9749800239712345; 'f1-score': 0.8922760511882999; 'support': 20024}; '1': {'precision': 0.8101553618794998; 'recall': 0.33663989922846793; 'f1-score': 0.4756395995550611; 'support': 6351}; 'accuracy': 0.8212701421800948; 'macro avg': {'precision': 0.8163306300465918; 'recall': 0.6558099615998512; 'f1-score': 0.6839578253716805; 'support': 26375}; 'weighted avg': {'precision': 0.8195319358910903; 'recall': 0.8212701421800948; 'f1-score': 0.7919515732992877; 'support': 26375}},{'0': {'precision': 0.8222730739893211; 'recall': 0.9694244604316546; 'f1-score': 0.889806025588114; 'support': 2224}; '1': {'precision': 0.7792207792207793; 'recall': 0.33994334277620397; 'f1-score': 0.47337278106508873; 'support': 706}; 'accuracy': 0.8177474402730376; 'macro avg': {'precision': 0.8007469266050502; 'recall': 0.6546839016039293; 'f1-score': 0.6815894033266013; 'support': 2930}; 'weighted avg': {'precision': 0.8118993811201776; 'recall': 0.8177474402730376; 'f1-score': 0.789464090218402; 'support': 2930}}
5,1,DNF,0,26374,2931,1,[26374; 26374],296,1027.630127,0.805868,51,[X0 >= 29.500000 AND X1 != 6 AND X3 != 0 AND X3 != 1 AND X3 != 2 AND X3 != 3 AND X3 != 4 AND X3 != 5 AND X3 != 6 AND X3 != 7 AND X3 != 8 AND X3 != 11 AND X3 != 15 AND X6 != 0 AND X6 != 1 AND X6 != 3 AND X6 != 5 AND X6 != 6 AND X6 != 7 AND X6 != 8 AND X6 != 11 AND X6 != 14 AND X7 != 1 AND X7 != 2 AND X7 != 3 AND X7 != 4 AND X8 != 0 AND X8 != 2 AND X8 != 3 AND X11 < 1978.500000 AND X12 < 65.500000 AND X12 >= 39.500000 AND X13 != 0 AND X13 != 2 AND X13 != 3 AND X13 != 4 AND X13 != 7 AND X13 != 9 AND X13 != 10 AND X13 != 11 AND X13 != 12 AND X13 != 19 AND X13 != 20 AND X13 != 22 AND X13 != 23 AND X13 != 24 AND X13 != 33 AND X13 != 35 AND X13 != 36 AND X13 != 40 AND X13 != 41],{'0': {'precision': 0.8024354483994461; 'recall': 0.9840183788643061; 'f1-score': 0.8839984745496557; 'support': 20023}; '1': {'precision': 0.8241758241758241; 'recall': 0.23618327822390175; 'f1-score': 0.3671521233631135; 'support': 6351}; 'accuracy': 0.8039356942443315; 'macro avg': {'precision': 0.8133056362876352; 'recall': 0.610100828544104; 'f1-score': 0.6255752989563846; 'support': 26374}; 'weighted avg': {'precision': 0.8076706469493732; 'recall': 0.8039356942443315; 'f1-score': 0.7595391139526386; 'support': 26374}},{'0': {'precision': 0.8030746705710102; 'recall': 0.9860674157303371; 'f1-score': 0.885212830340932; 'support': 2225}; '1': {'precision': 0.8442211055276382; 'recall': 0.23796033994334279; 'f1-score': 0.37127071823204416; 'support': 706}; 'accuracy': 0.8058683043329922; 'macro avg': {'precision': 0.8236478880493242; 'recall': 0.6120138778368399; 'f1-score': 0.6282417742864881; 'support': 2931}; 'weighted avg': {'precision': 0.8129857531637702; 'recall': 0.8058683043329922; 'f1-score': 0.7614178350666656; 'support': 2931}}
