lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,1,[26374; 26374],296,1061.563222,0.818151,5,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8234847205807868; 'recall': 0.9743794636168406; 'f1-score': 0.8925997941210111; 'support': 20023}; '1': {'precision': 0.8087248322147651; 'recall': 0.3415210203117619; 'f1-score': 0.4802391232148787; 'support': 6351}; 'accuracy': 0.8219837718965648; 'macro avg': {'precision': 0.816104776397776; 'recall': 0.6579502419643013; 'f1-score': 0.6864194586679448; 'support': 26374}; 'weighted avg': {'precision': 0.8199304606652411; 'recall': 0.8219837718965648; 'f1-score': 0.7933011431418328; 'support': 26374}},{'0': {'precision': 0.8192452830188679; 'recall': 0.9757303370786516; 'f1-score': 0.8906666666666667; 'support': 2225}; '1': {'precision': 0.8078291814946619; 'recall': 0.32152974504249293; 'f1-score': 0.4599797365754812; 'support': 706}; 'accuracy': 0.8181508017741386; 'macro avg': {'precision': 0.8135372322567649; 'recall': 0.6486300410605723; 'f1-score': 0.675323201621074; 'support': 2931}; 'weighted avg': {'precision': 0.8164954475783733; 'recall': 0.8181508017741386; 'f1-score': 0.7869256319875889; 'support': 2931}}
5,1,CNF,1,26374,2931,1,[26374; 26374],296,1044.445877,0.822586,4,[X4 >= 14.500000 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8231421698949234; 'recall': 0.9741796933526444; 'f1-score': 0.8923147301006404; 'support': 20023}; '1': {'precision': 0.8068733657078819; 'recall': 0.3401039206424185; 'f1-score': 0.4785112981834293; 'support': 6351}; 'accuracy': 0.8214908622127853; 'macro avg': {'precision': 0.8150077678014027; 'recall': 0.6571418069975314; 'f1-score': 0.6854130141420349; 'support': 26374}; 'weighted avg': {'precision': 0.8192245549941916; 'recall': 0.8214908622127853; 'f1-score': 0.7926686545676835; 'support': 26374}},{'0': {'precision': 0.8223062381852552; 'recall': 0.9775280898876404; 'f1-score': 0.8932238193018479; 'support': 2225}; '1': {'precision': 0.8251748251748252; 'recall': 0.3342776203966006; 'f1-score': 0.47580645161290325; 'support': 706}; 'accuracy': 0.8225861480723302; 'macro avg': {'precision': 0.8237405316800401; 'recall': 0.6559028551421204; 'f1-score': 0.6845151354573755; 'support': 2931}; 'weighted avg': {'precision': 0.822997204549853; 'recall': 0.8225861480723302; 'f1-score': 0.7926790695275746; 'support': 2931}}
5,1,CNF,2,26374,2931,1,[26374; 26374],296,1038.176255,0.818151,5,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.823457415379421; 'recall': 0.9744294061828896; 'f1-score': 0.8926047075508383; 'support': 20023}; '1': {'precision': 0.808955223880597; 'recall': 0.341363564792946; 'f1-score': 0.4801240172738346; 'support': 6351}; 'accuracy': 0.8219837718965648; 'macro avg': {'precision': 0.816206319630009; 'recall': 0.6578964854879178; 'f1-score': 0.6863643624123364; 'support': 26374}; 'weighted avg': {'precision': 0.8199652102452346; 'recall': 0.8219837718965648; 'f1-score': 0.79327715526642; 'support': 26374}},{'0': {'precision': 0.8194864048338368; 'recall': 0.9752808988764045; 'f1-score': 0.8906217935563308; 'support': 2225}; '1': {'precision': 0.8056537102473498; 'recall': 0.32294617563739375; 'f1-score': 0.46107178968655205; 'support': 706}; 'accuracy': 0.8181508017741386; 'macro avg': {'precision': 0.8125700575405933; 'recall': 0.6491135372568991; 'f1-score': 0.6758467916214415; 'support': 2931}; 'weighted avg': {'precision': 0.816154476352752; 'recall': 0.8181508017741386; 'f1-score': 0.7871546141868105; 'support': 2931}}
5,1,CNF,3,26374,2931,1,[26374; 26374],296,1173.932088,0.817810,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1],{'0': {'precision': 0.8230013907033588; 'recall': 0.9753283723717725; 'f1-score': 0.8927134759553849; 'support': 20023}; '1': {'precision': 0.8132325141776937; 'recall': 0.3386868209730751; 'f1-score': 0.4782125389061806; 'support': 6351}; 'accuracy': 0.8220216880260863; 'macro avg': {'precision': 0.8181169524405263; 'recall': 0.6570075966724238; 'f1-score': 0.6854630074307827; 'support': 26374}; 'weighted avg': {'precision': 0.8206489930839419; 'recall': 0.8220216880260863; 'f1-score': 0.7928994374629493; 'support': 26374}},{'0': {'precision': 0.823079862437906; 'recall': 0.9680898876404495; 'f1-score': 0.8897149938042132; 'support': 2225}; '1': {'precision': 0.7738853503184714; 'recall': 0.34419263456090654; 'f1-score': 0.47647058823529415; 'support': 706}; 'accuracy': 0.8178096212896623; 'macro avg': {'precision': 0.7984826063781887; 'recall': 0.656141261100678; 'f1-score': 0.6830927910197536; 'support': 2931}; 'weighted avg': {'precision': 0.8112302119580967; 'recall': 0.8178096212896623; 'f1-score': 0.7901753996958348; 'support': 2931}}
5,1,CNF,4,26374,2931,1,[26374; 26374],296,1191.447984,0.823269,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8225779275484415; 'recall': 0.9752784298057234; 'f1-score': 0.8924433882503485; 'support': 20023}; '1': {'precision': 0.8120728929384966; 'recall': 0.3367973547472839; 'f1-score': 0.4761268781302171; 'support': 6351}; 'accuracy': 0.8215287783423069; 'macro avg': {'precision': 0.817325410243469; 'recall': 0.6560378922765037; 'f1-score': 0.6842851331902828; 'support': 26374}; 'weighted avg': {'precision': 0.8200482591322832; 'recall': 0.8215287783423069; 'f1-score': 0.7921921500698316; 'support': 26374}},{'0': {'precision': 0.8256390690576116; 'recall': 0.9725842696629213; 'f1-score': 0.893107717705324; 'support': 2225}; '1': {'precision': 0.8032258064516129; 'recall': 0.3526912181303116; 'f1-score': 0.49015748031496065; 'support': 706}; 'accuracy': 0.8232685090412828; 'macro avg': {'precision': 0.8144324377546123; 'recall': 0.6626377438966164; 'f1-score': 0.6916325990101424; 'support': 2931}; 'weighted avg': {'precision': 0.8202403097946178; 'recall': 0.8232685090412828; 'f1-score': 0.7960477151131724; 'support': 2931}}
5,1,CNF,5,26375,2930,1,[26375; 26375],296,1160.800213,0.830034,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.822021052631579; 'recall': 0.9750287169754782; 'f1-score': 0.8920110570442968; 'support': 20023}; '1': {'precision': 0.8095238095238095; 'recall': 0.33454030226700254; 'f1-score': 0.47343210426645876; 'support': 6352}; 'accuracy': 0.8207772511848341; 'macro avg': {'precision': 0.8157724310776943; 'recall': 0.6547845096212404; 'f1-score': 0.6827215806553778; 'support': 26375}; 'weighted avg': {'precision': 0.8190112900450178; 'recall': 0.8207772511848341; 'f1-score': 0.7912029619525499; 'support': 26375}},{'0': {'precision': 0.830716200689391; 'recall': 0.9748314606741573; 'f1-score': 0.8970223325062036; 'support': 2225}; '1': {'precision': 0.8244514106583072; 'recall': 0.3730496453900709; 'f1-score': 0.513671875; 'support': 705}; 'accuracy': 0.8300341296928327; 'macro avg': {'precision': 0.8275838056738491; 'recall': 0.6739405530321141; 'f1-score': 0.7053471037531018; 'support': 2930}; 'weighted avg': {'precision': 0.8292088024054614; 'recall': 0.8300341296928327; 'f1-score': 0.8047827173041989; 'support': 2930}}
5,1,CNF,6,26375,2930,1,[26375; 26375],296,1041.212799,0.822184,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8217513768024551; 'recall': 0.9762273385606552; 'f1-score': 0.8923533439853915; 'support': 20023}; '1': {'precision': 0.8160741885625966; 'recall': 0.33249370277078083; 'f1-score': 0.47248322147651006; 'support': 6352}; 'accuracy': 0.8211943127962086; 'macro avg': {'precision': 0.8189127826825259; 'recall': 0.654360520665718; 'f1-score': 0.6824182827309507; 'support': 26375}; 'weighted avg': {'precision': 0.8203841161503382; 'recall': 0.8211943127962086; 'f1-score': 0.7912342911635368; 'support': 26375}},{'0': {'precision': 0.8203007518796992; 'recall': 0.9806741573033708; 'f1-score': 0.8933469805527123; 'support': 2225}; '1': {'precision': 0.8407407407407408; 'recall': 0.3219858156028369; 'f1-score': 0.46564102564102566; 'support': 705}; 'accuracy': 0.822184300341297; 'macro avg': {'precision': 0.83052074631022; 'recall': 0.6513299864531039; 'f1-score': 0.679494003096869; 'support': 2930}; 'weighted avg': {'precision': 0.8252189061960931; 'recall': 0.822184300341297; 'f1-score': 0.7904347968623576; 'support': 2930}}
5,1,CNF,7,26375,2930,1,[26375; 26375],296,1019.470249,0.823549,5,[X4 >= 14.500000 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 34],{'0': {'precision': 0.8229461158698679; 'recall': 0.9740298656544973; 'f1-score': 0.892136681762042; 'support': 20023}; '1': {'precision': 0.8056801195814649; 'recall': 0.3394206549118388; 'f1-score': 0.47762516614975636; 'support': 6352}; 'accuracy': 0.8211943127962086; 'macro avg': {'precision': 0.8143131177256664; 'recall': 0.6567252602831681; 'f1-score': 0.6848809239558992; 'support': 26375}; 'weighted avg': {'precision': 0.8187878747921832; 'recall': 0.8211943127962086; 'f1-score': 0.7923081643338246; 'support': 26375}},{'0': {'precision': 0.8242217160212605; 'recall': 0.9757303370786516; 'f1-score': 0.8935995060712081; 'support': 2225}; '1': {'precision': 0.8175675675675675; 'recall': 0.3432624113475177; 'f1-score': 0.48351648351648346; 'support': 705}; 'accuracy': 0.8235494880546075; 'macro avg': {'precision': 0.8208946417944141; 'recall': 0.6594963742130847; 'f1-score': 0.6885579947938458; 'support': 2930}; 'weighted avg': {'precision': 0.822620632519604; 'recall': 0.8235494880546075; 'f1-score': 0.7949276525213511; 'support': 2930}}
5,1,CNF,8,26375,2930,1,[26375; 26375],296,1026.829115,0.812628,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8234971756175702; 'recall': 0.975579304834199; 'f1-score': 0.8931102272207745; 'support': 20024}; '1': {'precision': 0.8156803618545043; 'recall': 0.34073374271768225; 'f1-score': 0.4806752554420258; 'support': 6351}; 'accuracy': 0.8227109004739337; 'macro avg': {'precision': 0.8195887687360373; 'recall': 0.6581565237759406; 'f1-score': 0.6868927413314001; 'support': 26375}; 'weighted avg': {'precision': 0.8216149165006326; 'recall': 0.8227109004739337; 'f1-score': 0.7937974497509419; 'support': 26375}},{'0': {'precision': 0.8173550587343691; 'recall': 0.9698741007194245; 'f1-score': 0.8871067242442936; 'support': 2224}; '1': {'precision': 0.7697594501718213; 'recall': 0.31728045325779036; 'f1-score': 0.44934804413239726; 'support': 706}; 'accuracy': 0.8126279863481228; 'macro avg': {'precision': 0.7935572544530952; 'recall': 0.6435772769886074; 'f1-score': 0.6682273841883455; 'support': 2930}; 'weighted avg': {'precision': 0.8058866288213457; 'recall': 0.8126279863481228; 'f1-score': 0.7816263050773997; 'support': 2930}}
5,1,CNF,9,26375,2930,1,[26375; 26375],296,1028.666232,0.826280,5,[X4 >= 14.500000 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 10],{'0': {'precision': 0.8228788518362178; 'recall': 0.9735317618857371; 'f1-score': 0.8918881822757011; 'support': 20024}; '1': {'precision': 0.8026070763500931; 'recall': 0.33931664304833886; 'f1-score': 0.47698096502877385; 'support': 6351}; 'accuracy': 0.8208151658767773; 'macro avg': {'precision': 0.8127429640931554; 'recall': 0.6564242024670379; 'f1-score': 0.6844345736522375; 'support': 26375}; 'weighted avg': {'precision': 0.8179974851589712; 'recall': 0.8208151658767773; 'f1-score': 0.7919800974705736; 'support': 26375}},{'0': {'precision': 0.8259217027746104; 'recall': 0.977068345323741; 'f1-score': 0.8951596292481977; 'support': 2224}; '1': {'precision': 0.8294314381270903; 'recall': 0.35127478753541075; 'f1-score': 0.4935323383084577; 'support': 706}; 'accuracy': 0.8262798634812286; 'macro avg': {'precision': 0.8276765704508504; 'recall': 0.6641715664295759; 'f1-score': 0.6943459837783277; 'support': 2930}; 'weighted avg': {'precision': 0.8267673932725117; 'recall': 0.8262798634812286; 'f1-score': 0.7983852717726154; 'support': 2930}}
5,1,DNF,0,26374,2931,1,[26374; 26374],296,1025.756131,0.802798,40,[X0 < 61.500000 AND X0 >= 27.500000 AND X4 >= 12.500000 AND X5 != 0 AND X5 != 3 AND X5 != 4 AND X5 != 5 AND X5 != 6 AND X6 != 1 AND X6 != 3 AND X6 != 5 AND X6 != 6 AND X6 != 7 AND X6 != 8 AND X6 != 11 AND X6 != 14 AND X7 != 2 AND X7 != 3 AND X7 != 5 AND X8 != 0 AND X8 != 2 AND X8 != 3 AND X12 < 65.500000 AND X12 >= 39.500000 AND X13 != 2 AND X13 != 3 AND X13 != 4 AND X13 != 7 AND X13 != 10 AND X13 != 11 AND X13 != 19 AND X13 != 20 AND X13 != 22 AND X13 != 23 AND X13 != 24 AND X13 != 30 AND X13 != 31 AND X13 != 35 AND X13 != 40 AND X13 != 41],{'0': {'precision': 0.8051368179583811; 'recall': 0.9816211356939519; 'f1-score': 0.8846629908855631; 'support': 20023}; '1': {'precision': 0.8124362895005097; 'recall': 0.2509840969925996; 'f1-score': 0.38349572958017564; 'support': 6351}; 'accuracy': 0.8056798362023204; 'macro avg': {'precision': 0.8087865537294454; 'recall': 0.6163026163432758; 'f1-score': 0.6340793602328694; 'support': 26374}; 'weighted avg': {'precision': 0.806894569674619; 'recall': 0.8056798362023204; 'f1-score': 0.7639792388361768; 'support': 26374}},{'0': {'precision': 0.8033149171270718; 'recall': 0.9802247191011236; 'f1-score': 0.882995951417004; 'support': 2225}; '1': {'precision': 0.7962962962962963; 'recall': 0.24362606232294617; 'f1-score': 0.37310195227765725; 'support': 706}; 'accuracy': 0.8027976799727056; 'macro avg': {'precision': 0.7998056067116841; 'recall': 0.6119253907120349; 'f1-score': 0.6280489518473307; 'support': 2931}; 'weighted avg': {'precision': 0.80162431790956; 'recall': 0.8027976799727056; 'f1-score': 0.7601760389665166; 'support': 2931}}
