lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,58,[8; 9],158,2.044323,0.528302,2,[X3 >= 1.000000 OR X6 >= 34.000000],{'0.0': {'precision': 0.47058823529411764; 'recall': 0.5970149253731343; 'f1-score': 0.5263157894736841; 'support': 134}; '1.0': {'precision': 0.8187919463087249; 'recall': 0.7305389221556886; 'f1-score': 0.7721518987341772; 'support': 334}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6446900908014213; 'recall': 0.6637769237644114; 'f1-score': 0.6492338441039307; 'support': 468}; 'weighted avg': {'precision': 0.7190925931549699; 'recall': 0.6923076923076923; 'f1-score': 0.7017629272792498; 'support': 468}},{'0.0': {'precision': 0.2222222222222222; 'recall': 0.26666666666666666; 'f1-score': 0.2424242424242424; 'support': 15}; '1.0': {'precision': 0.6857142857142857; 'recall': 0.631578947368421; 'f1-score': 0.6575342465753424; 'support': 38}; 'accuracy': 0.5283018867924528; 'macro avg': {'precision': 0.45396825396825397; 'recall': 0.4491228070175438; 'f1-score': 0.44997924449979243; 'support': 53}; 'weighted avg': {'precision': 0.5545372866127583; 'recall': 0.5283018867924528; 'f1-score': 0.540050283136352; 'support': 53}}
5,1,CNF,1,469,52,58,[8; 9],158,1.957942,0.346154,2,[X0 < 23.000000 OR X7 < 6.200000],{'0.0': {'precision': 0.2702702702702703; 'recall': 0.5185185185185185; 'f1-score': 0.3553299492385787; 'support': 135}; '1.0': {'precision': 0.6904761904761905; 'recall': 0.4341317365269461; 'f1-score': 0.5330882352941176; 'support': 334}; 'accuracy': 0.4584221748400853; 'macro avg': {'precision': 0.4803732303732304; 'recall': 0.47632512752273226; 'f1-score': 0.4442090922663482; 'support': 469}; 'weighted avg': {'precision': 0.5695213946813094; 'recall': 0.4584221748400853; 'f1-score': 0.48192113802866404; 'support': 469}},{'0.0': {'precision': 0.16666666666666666; 'recall': 0.35714285714285715; 'f1-score': 0.22727272727272724; 'support': 14}; '1.0': {'precision': 0.5909090909090909; 'recall': 0.34210526315789475; 'f1-score': 0.43333333333333335; 'support': 38}; 'accuracy': 0.34615384615384615; 'macro avg': {'precision': 0.3787878787878788; 'recall': 0.34962406015037595; 'f1-score': 0.3303030303030303; 'support': 52}; 'weighted avg': {'precision': 0.4766899766899767; 'recall': 0.34615384615384615; 'f1-score': 0.37785547785547785; 'support': 52}}
5,1,CNF,2,469,52,58,[8; 9],158,2.123266,0.673077,2,[X2 >= 0.800000 OR X4 >= 182.000000],{'0.0': {'precision': 0.5; 'recall': 0.17164179104477612; 'f1-score': 0.2555555555555556; 'support': 134}; '1.0': {'precision': 0.7375886524822695; 'recall': 0.9313432835820895; 'f1-score': 0.8232189973614774; 'support': 335}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.6187943262411347; 'recall': 0.5514925373134328; 'f1-score': 0.5393872764585165; 'support': 469}; 'weighted avg': {'precision': 0.6697061803444783; 'recall': 0.7142857142857143; 'f1-score': 0.6610294425597855; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.13333333333333333; 'f1-score': 0.19047619047619044; 'support': 15}; '1.0': {'precision': 0.717391304347826; 'recall': 0.8918918918918919; 'f1-score': 0.7951807228915664; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5253623188405797; 'recall': 0.5126126126126126; 'f1-score': 0.4928284566838784; 'support': 52}; 'weighted avg': {'precision': 0.6066053511705685; 'recall': 0.6730769230769231; 'f1-score': 0.6207467231563618; 'support': 52}}
5,1,CNF,3,469,52,58,[8; 9],158,2.185385,0.615385,2,[X1 OR X5 < 18.000000],{'0.0': {'precision': 0.34782608695652173; 'recall': 0.23880597014925373; 'f1-score': 0.2831858407079646; 'support': 134}; '1.0': {'precision': 0.7294429708222812; 'recall': 0.8208955223880597; 'f1-score': 0.7724719101123594; 'support': 335}; 'accuracy': 0.6545842217484008; 'macro avg': {'precision': 0.5386345288894014; 'recall': 0.5298507462686567; 'f1-score': 0.527828875410162; 'support': 469}; 'weighted avg': {'precision': 0.6204095754320642; 'recall': 0.6545842217484008; 'f1-score': 0.6326758902825323; 'support': 469}},{'0.0': {'precision': 0.2222222222222222; 'recall': 0.13333333333333333; 'f1-score': 0.16666666666666669; 'support': 15}; '1.0': {'precision': 0.6976744186046512; 'recall': 0.8108108108108109; 'f1-score': 0.75; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.4599483204134367; 'recall': 0.4720720720720721; 'f1-score': 0.45833333333333337; 'support': 52}; 'weighted avg': {'precision': 0.5605247465712582; 'recall': 0.6153846153846154; 'f1-score': 0.5817307692307693; 'support': 52}}
5,1,CNF,4,469,52,58,[8; 9],158,2.202428,0.692308,3,[X2 < 0.700000 OR X4 >= 182.000000 OR X9 < 0.700000],{'0.0': {'precision': 0.46153846153846156; 'recall': 0.3582089552238806; 'f1-score': 0.40336134453781514; 'support': 134}; '1.0': {'precision': 0.7643835616438356; 'recall': 0.8328358208955224; 'f1-score': 0.7971428571428573; 'support': 335}; 'accuracy': 0.697228144989339; 'macro avg': {'precision': 0.6129610115911486; 'recall': 0.5955223880597015; 'f1-score': 0.6002521008403362; 'support': 469}; 'weighted avg': {'precision': 0.6778563901851573; 'recall': 0.697228144989339; 'f1-score': 0.6846338535414166; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.26666666666666666; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7441860465116279; 'recall': 0.8648648648648649; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5943152454780362; 'recall': 0.5657657657657658; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.6577221228384018; 'recall': 0.6923076923076923; 'f1-score': 0.6653846153846155; 'support': 52}}
5,1,CNF,5,469,52,58,[8; 9],158,2.255489,0.615385,2,[X0 >= 40.000000 OR X2 >= 1.000000],{'0.0': {'precision': 0.449438202247191; 'recall': 0.29850746268656714; 'f1-score': 0.35874439461883406; 'support': 134}; '1.0': {'precision': 0.7526315789473684; 'recall': 0.8537313432835821; 'f1-score': 0.8; 'support': 335}; 'accuracy': 0.6950959488272921; 'macro avg': {'precision': 0.6010348905972798; 'recall': 0.5761194029850747; 'f1-score': 0.579372197309417; 'support': 469}; 'weighted avg': {'precision': 0.6660048998901749; 'recall': 0.6950959488272921; 'f1-score': 0.6739269698910955; 'support': 469}},{'0.0': {'precision': 0.35294117647058826; 'recall': 0.4; 'f1-score': 0.37500000000000006; 'support': 15}; '1.0': {'precision': 0.7428571428571429; 'recall': 0.7027027027027027; 'f1-score': 0.7222222222222223; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5478991596638656; 'recall': 0.5513513513513514; 'f1-score': 0.5486111111111112; 'support': 52}; 'weighted avg': {'precision': 0.6303813833225599; 'recall': 0.6153846153846154; 'f1-score': 0.6220619658119659; 'support': 52}}
5,1,CNF,6,469,52,58,[8; 9],158,2.329353,0.750000,3,[X0 >= 49.000000 OR X2 >= 0.900000 OR X3 >= 4.100000],{'0.0': {'precision': 0.40350877192982454; 'recall': 0.34328358208955223; 'f1-score': 0.3709677419354838; 'support': 134}; '1.0': {'precision': 0.752112676056338; 'recall': 0.7970149253731343; 'f1-score': 0.773913043478261; 'support': 335}; 'accuracy': 0.6673773987206824; 'macro avg': {'precision': 0.5778107239930813; 'recall': 0.5701492537313433; 'f1-score': 0.5724403927068724; 'support': 469}; 'weighted avg': {'precision': 0.6525115605916199; 'recall': 0.6673773987206824; 'f1-score': 0.6587858144660389; 'support': 469}},{'0.0': {'precision': 0.625; 'recall': 0.3333333333333333; 'f1-score': 0.43478260869565216; 'support': 15}; '1.0': {'precision': 0.7727272727272727; 'recall': 0.918918918918919; 'f1-score': 0.8395061728395061; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6988636363636364; 'recall': 0.6261261261261262; 'f1-score': 0.6371443907675791; 'support': 52}; 'weighted avg': {'precision': 0.7301136363636365; 'recall': 0.75; 'f1-score': 0.7227589908749329; 'support': 52}}
5,1,CNF,7,469,52,58,[8; 9],158,2.057978,0.557692,2,[X0 < 49.000000 OR X3 < 0.200000],{'0.0': {'precision': 0.25; 'recall': 0.31343283582089554; 'f1-score': 0.27814569536423844; 'support': 134}; '1.0': {'precision': 0.6943521594684385; 'recall': 0.6238805970149254; 'f1-score': 0.6572327044025157; 'support': 335}; 'accuracy': 0.535181236673774; 'macro avg': {'precision': 0.47217607973421927; 'recall': 0.46865671641791046; 'f1-score': 0.4676891998833771; 'support': 469}; 'weighted avg': {'precision': 0.5673943996203132; 'recall': 0.535181236673774; 'f1-score': 0.5489221303915793; 'support': 469}},{'0.0': {'precision': 0.25; 'recall': 0.26666666666666666; 'f1-score': 0.2580645161290323; 'support': 15}; '1.0': {'precision': 0.6944444444444444; 'recall': 0.6756756756756757; 'f1-score': 0.684931506849315; 'support': 37}; 'accuracy': 0.5576923076923077; 'macro avg': {'precision': 0.4722222222222222; 'recall': 0.47117117117117113; 'f1-score': 0.4714980114891737; 'support': 52}; 'weighted avg': {'precision': 0.5662393162393162; 'recall': 0.5576923076923077; 'f1-score': 0.561796797987695; 'support': 52}}
5,1,CNF,8,469,52,58,[8; 9],158,1.970293,0.673077,2,[X4 >= 182.000000 OR X4 < 167.600000],{'0.0': {'precision': 0.40476190476190477; 'recall': 0.12686567164179105; 'f1-score': 0.19318181818181818; 'support': 134}; '1.0': {'precision': 0.7259953161592506; 'recall': 0.9253731343283582; 'f1-score': 0.8136482939632547; 'support': 335}; 'accuracy': 0.697228144989339; 'macro avg': {'precision': 0.5653786104605777; 'recall': 0.5261194029850746; 'f1-score': 0.5034150560725364; 'support': 469}; 'weighted avg': {'precision': 0.6342143414742948; 'recall': 0.697228144989339; 'f1-score': 0.6363721580257014; 'support': 469}},{'0.0': {'precision': 0.25; 'recall': 0.06666666666666667; 'f1-score': 0.10526315789473685; 'support': 15}; '1.0': {'precision': 0.7083333333333334; 'recall': 0.918918918918919; 'f1-score': 0.8000000000000002; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.4791666666666667; 'recall': 0.4927927927927928; 'f1-score': 0.4526315789473685; 'support': 52}; 'weighted avg': {'precision': 0.5761217948717949; 'recall': 0.6730769230769231; 'f1-score': 0.599595141700405; 'support': 52}}
5,1,CNF,9,469,52,58,[8; 9],158,1.923361,0.692308,3,[(NOT X1) OR X2 >= 0.900000 OR X3 < 0.200000],{'0.0': {'precision': 0.4588235294117647; 'recall': 0.291044776119403; 'f1-score': 0.35616438356164387; 'support': 134}; '1.0': {'precision': 0.7526041666666666; 'recall': 0.8626865671641791; 'f1-score': 0.8038942976356049; 'support': 335}; 'accuracy': 0.6993603411513859; 'macro avg': {'precision': 0.6057138480392157; 'recall': 0.576865671641791; 'f1-score': 0.5800293405986244; 'support': 469}; 'weighted avg': {'precision': 0.6686668417366947; 'recall': 0.6993603411513859; 'f1-score': 0.6759714650430447; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.26666666666666666; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7441860465116279; 'recall': 0.8648648648648649; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5943152454780362; 'recall': 0.5657657657657658; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.6577221228384018; 'recall': 0.6923076923076923; 'f1-score': 0.6653846153846155; 'support': 52}}
5,1,CNF,0,468,53,29,[16; 17],158,1.021321,0.698113,3,[X3 >= 1.000000 OR X4 >= 195.000000 OR X4 < 182.000000],{'0.0': {'precision': 0.5121951219512195; 'recall': 0.15671641791044777; 'f1-score': 0.24000000000000002; 'support': 134}; '1.0': {'precision': 0.7353629976580797; 'recall': 0.9401197604790419; 'f1-score': 0.8252299605781865; 'support': 334}; 'accuracy': 0.7158119658119658; 'macro avg': {'precision': 0.6237790598046495; 'recall': 0.5484180891947448; 'f1-score': 0.5326149802890933; 'support': 468}; 'weighted avg': {'precision': 0.6714645033317564; 'recall': 0.7158119658119658; 'f1-score': 0.6576641171647742; 'support': 468}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9210526315789473; 'f1-score': 0.8139534883720931; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5645833333333333; 'recall': 0.5271929824561403; 'f1-score': 0.5069767441860465; 'support': 53}; 'weighted avg': {'precision': 0.636006289308176; 'recall': 0.6981132075471698; 'f1-score': 0.6401930671347082; 'support': 53}}
