l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.684230,0.754717,3,[X0 >= 49.000000 OR X2 >= 1.000000 OR X5 >= 43.000000],{'0.0': {'precision': 0.49056603773584906; 'recall': 0.39097744360902253; 'f1-score': 0.4351464435146443; 'support': 133}; '1.0': {'precision': 0.7762430939226519; 'recall': 0.8388059701492537; 'f1-score': 0.8063127690100431; 'support': 335}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6334045658292504; 'recall': 0.6148917068791382; 'f1-score': 0.6207296062623437; 'support': 468}; 'weighted avg': {'precision': 0.6950570929122998; 'recall': 0.7115384615384616; 'f1-score': 0.7008317406107096; 'support': 468}},{'0.0': {'precision': 0.5833333333333334; 'recall': 0.4666666666666667; 'f1-score': 0.5185185185185186; 'support': 15}; '1.0': {'precision': 0.8048780487804879; 'recall': 0.868421052631579; 'f1-score': 0.8354430379746836; 'support': 38}; 'accuracy': 0.7547169811320755; 'macro avg': {'precision': 0.6941056910569106; 'recall': 0.6675438596491228; 'f1-score': 0.6769807782466011; 'support': 53}; 'weighted avg': {'precision': 0.7421767142199724; 'recall': 0.7547169811320755; 'f1-score': 0.7457474192606746; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],158,1.695550,0.673077,2,[X3 >= 0.300000 OR X7 < 6.000000],{'0.0': {'precision': 0.4370860927152318; 'recall': 0.4925373134328358; 'f1-score': 0.4631578947368421; 'support': 134}; '1.0': {'precision': 0.7861635220125787; 'recall': 0.746268656716418; 'f1-score': 0.7656967840735069; 'support': 335}; 'accuracy': 0.673773987206823; 'macro avg': {'precision': 0.6116248073639052; 'recall': 0.6194029850746269; 'f1-score': 0.6144273394051745; 'support': 469}; 'weighted avg': {'precision': 0.6864271136419081; 'recall': 0.673773987206823; 'f1-score': 0.6792571014058885; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.42857142857142855; 'f1-score': 0.4137931034482759; 'support': 14}; '1.0': {'precision': 0.7837837837837838; 'recall': 0.7631578947368421; 'f1-score': 0.7733333333333334; 'support': 38}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5918918918918918; 'recall': 0.5958646616541353; 'f1-score': 0.5935632183908046; 'support': 52}; 'weighted avg': {'precision': 0.6804573804573805; 'recall': 0.6730769230769231; 'f1-score': 0.6765340406719719; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],158,1.640767,0.711538,4,[X0 < 35.000000 OR X1 OR X2 < 0.700000 OR X9 >= 1.060000],{'0.0': {'precision': 0.26666666666666666; 'recall': 0.11940298507462686; 'f1-score': 0.16494845360824742; 'support': 134}; '1.0': {'precision': 0.7114914425427873; 'recall': 0.8686567164179104; 'f1-score': 0.7822580645161289; 'support': 335}; 'accuracy': 0.6545842217484008; 'macro avg': {'precision': 0.489079054604727; 'recall': 0.49402985074626865; 'f1-score': 0.47360325906218814; 'support': 469}; 'weighted avg': {'precision': 0.5843986494353243; 'recall': 0.6545842217484008; 'f1-score': 0.6058838899710198; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.14285714285714285; 'f1-score': 0.21052631578947364; 'support': 14}; '1.0': {'precision': 0.7446808510638298; 'recall': 0.9210526315789473; 'f1-score': 0.8235294117647057; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.5723404255319149; 'recall': 0.5319548872180451; 'f1-score': 0.5170278637770896; 'support': 52}; 'weighted avg': {'precision': 0.6518821603927987; 'recall': 0.7115384615384616; 'f1-score': 0.6584901166944509; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],158,1.617015,0.711538,1,[X0 >= 31.000000],{'0.0': {'precision': 0.42857142857142855; 'recall': 0.2932330827067669; 'f1-score': 0.3482142857142857; 'support': 133}; '1.0': {'precision': 0.7513227513227513; 'recall': 0.8452380952380952; 'f1-score': 0.7955182072829131; 'support': 336}; 'accuracy': 0.6886993603411514; 'macro avg': {'precision': 0.5899470899470899; 'recall': 0.5692355889724311; 'f1-score': 0.5718662464985994; 'support': 469}; 'weighted avg': {'precision': 0.6597962568111823; 'recall': 0.6886993603411514; 'f1-score': 0.668670826539571; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.3333333333333333; 'f1-score': 0.4; 'support': 15}; '1.0': {'precision': 0.7619047619047619; 'recall': 0.8648648648648649; 'f1-score': 0.810126582278481; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6309523809523809; 'recall': 0.5990990990990991; 'f1-score': 0.6050632911392405; 'support': 52}; 'weighted avg': {'precision': 0.6863553113553114; 'recall': 0.7115384615384616; 'f1-score': 0.6918208373904577; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],158,1.816936,0.634615,3,[X0 < 49.000000 OR X5 >= 53.600000 OR X7 >= 7.100000],{'0.0': {'precision': 0.2702702702702703; 'recall': 0.22556390977443608; 'f1-score': 0.2459016393442623; 'support': 133}; '1.0': {'precision': 0.7122905027932961; 'recall': 0.7589285714285714; 'f1-score': 0.7348703170028819; 'support': 336}; 'accuracy': 0.6076759061833689; 'macro avg': {'precision': 0.4912803865317832; 'recall': 0.49224624060150374; 'f1-score': 0.4903859781735721; 'support': 469}; 'weighted avg': {'precision': 0.58694148163005; 'recall': 0.6076759061833689; 'f1-score': 0.5962075576668555; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.26666666666666666; 'f1-score': 0.2962962962962963; 'support': 15}; '1.0': {'precision': 0.725; 'recall': 0.7837837837837838; 'f1-score': 0.7532467532467533; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5291666666666667; 'recall': 0.5252252252252252; 'f1-score': 0.5247715247715248; 'support': 52}; 'weighted avg': {'precision': 0.6120192307692307; 'recall': 0.6346153846153846; 'f1-score': 0.6214341214341215; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],158,1.600240,0.711538,4,[X0 >= 60.000000 OR X3 >= 4.100000 OR X5 >= 30.000000 OR X8 < 2.700000],{'0.0': {'precision': 0.42857142857142855; 'recall': 0.3383458646616541; 'f1-score': 0.37815126050420167; 'support': 133}; '1.0': {'precision': 0.7582417582417582; 'recall': 0.8214285714285714; 'f1-score': 0.7885714285714285; 'support': 336}; 'accuracy': 0.6844349680170576; 'macro avg': {'precision': 0.5934065934065934; 'recall': 0.5798872180451128; 'f1-score': 0.5833613445378151; 'support': 469}; 'weighted avg': {'precision': 0.6647531572904707; 'recall': 0.6844349680170576; 'f1-score': 0.6721836197165433; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.4666666666666667; 'f1-score': 0.4827586206896552; 'support': 15}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.8108108108108109; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6447368421052632; 'recall': 0.6387387387387388; 'f1-score': 0.6413793103448276; 'support': 52}; 'weighted avg': {'precision': 0.7059716599190283; 'recall': 0.7115384615384616; 'f1-score': 0.7084880636604775; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],158,1.670844,0.557692,2,[X2 >= 1.000000 OR X4 < 195.000000],{'0.0': {'precision': 0.3238095238095238; 'recall': 0.2556390977443609; 'f1-score': 0.2857142857142857; 'support': 133}; '1.0': {'precision': 0.728021978021978; 'recall': 0.7886904761904762; 'f1-score': 0.7571428571428571; 'support': 336}; 'accuracy': 0.6375266524520256; 'macro avg': {'precision': 0.5259157509157509; 'recall': 0.5221647869674185; 'f1-score': 0.5214285714285714; 'support': 469}; 'weighted avg': {'precision': 0.6133945656333717; 'recall': 0.6375266524520256; 'f1-score': 0.6234541577825159; 'support': 469}},{'0.0': {'precision': 0.1; 'recall': 0.06666666666666667; 'f1-score': 0.08; 'support': 15}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.7567567567567568; 'f1-score': 0.7088607594936708; 'support': 37}; 'accuracy': 0.5576923076923077; 'macro avg': {'precision': 0.3833333333333333; 'recall': 0.4117117117117117; 'f1-score': 0.39443037974683537; 'support': 52}; 'weighted avg': {'precision': 0.5032051282051282; 'recall': 0.5576923076923077; 'f1-score': 0.527458617332035; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],158,1.650703,0.673077,3,[X2 >= 1.000000 OR X2 < 0.700000 OR X6 < 34.000000],{'0.0': {'precision': 0.3888888888888889; 'recall': 0.21052631578947367; 'f1-score': 0.2731707317073171; 'support': 133}; '1.0': {'precision': 0.7355163727959698; 'recall': 0.8690476190476191; 'f1-score': 0.7967257844474762; 'support': 336}; 'accuracy': 0.6823027718550106; 'macro avg': {'precision': 0.5622026308424294; 'recall': 0.5397869674185464; 'f1-score': 0.5349482580773967; 'support': 469}; 'weighted avg': {'precision': 0.6372190266133647; 'recall': 0.6823027718550106; 'f1-score': 0.6482549485957892; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.26666666666666666; 'f1-score': 0.32; 'support': 15}; '1.0': {'precision': 0.7380952380952381; 'recall': 0.8378378378378378; 'f1-score': 0.7848101265822786; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.569047619047619; 'recall': 0.5522522522522523; 'f1-score': 0.5524050632911393; 'support': 52}; 'weighted avg': {'precision': 0.6405677655677656; 'recall': 0.6730769230769231; 'f1-score': 0.650730282375852; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],158,1.573219,0.500000,2,[X0 >= 49.000000 OR X0 < 23.000000],{'0.0': {'precision': 0.2850877192982456; 'recall': 0.48872180451127817; 'f1-score': 0.3601108033240997; 'support': 133}; '1.0': {'precision': 0.7178423236514523; 'recall': 0.5148809523809523; 'f1-score': 0.5996533795493935; 'support': 336}; 'accuracy': 0.5074626865671642; 'macro avg': {'precision': 0.501465021474849; 'recall': 0.5018013784461153; 'f1-score': 0.4798820914367466; 'support': 469}; 'weighted avg': {'precision': 0.5951208686856175; 'recall': 0.5074626865671641; 'f1-score': 0.5317233952466982; 'support': 469}},{'0.0': {'precision': 0.2962962962962963; 'recall': 0.5333333333333333; 'f1-score': 0.38095238095238093; 'support': 15}; '1.0': {'precision': 0.72; 'recall': 0.4864864864864865; 'f1-score': 0.5806451612903226; 'support': 37}; 'accuracy': 0.5; 'macro avg': {'precision': 0.5081481481481481; 'recall': 0.5099099099099099; 'f1-score': 0.4807987711213518; 'support': 52}; 'weighted avg': {'precision': 0.5977777777777777; 'recall': 0.5; 'f1-score': 0.5230414746543779; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],158,1.763368,0.673077,2,[X0 >= 60.000000 OR X2 >= 0.900000],{'0.0': {'precision': 0.3877551020408163; 'recall': 0.42857142857142855; 'f1-score': 0.4071428571428571; 'support': 133}; '1.0': {'precision': 0.7639751552795031; 'recall': 0.7321428571428571; 'f1-score': 0.7477203647416413; 'support': 336}; 'accuracy': 0.6460554371002132; 'macro avg': {'precision': 0.5758651286601597; 'recall': 0.5803571428571428; 'f1-score': 0.5774316109422492; 'support': 469}; 'weighted avg': {'precision': 0.6572858864506218; 'recall': 0.6460554371002132; 'f1-score': 0.6511386834822847; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.4; 'f1-score': 0.4137931034482759; 'support': 15}; '1.0': {'precision': 0.7631578947368421; 'recall': 0.7837837837837838; 'f1-score': 0.7733333333333334; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5958646616541353; 'recall': 0.5918918918918918; 'f1-score': 0.5935632183908046; 'support': 52}; 'weighted avg': {'precision': 0.6666425679583574; 'recall': 0.6730769230769231; 'f1-score': 0.6696198054818745; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.660087 (+- 0.073596), (mean training time) 1.671287 (+- 0.070295)
