l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],296,607.465236,0.803139,4,[X3 == 12 OR X3 == 14 OR X10 >= 4243.500000 OR X13 == 30],{'0': {'precision': 0.8198108726628957; 'recall': 0.9482095590071418; 'f1-score': 0.879347876429994; 'support': 20023}; '1': {'precision': 0.6774494556765164; 'recall': 0.34293811998110535; 'f1-score': 0.4553627430482961; 'support': 6351}; 'accuracy': 0.8024569651929931; 'macro avg': {'precision': 0.748630164169706; 'recall': 0.6455738394941235; 'f1-score': 0.667355309739145; 'support': 26374}; 'weighted avg': {'precision': 0.7855294834431908; 'recall': 0.8024569651929931; 'f1-score': 0.7772499928284484; 'support': 26374}},{'0': {'precision': 0.8174114021571649; 'recall': 0.9537078651685393; 'f1-score': 0.8803152872847957; 'support': 2225}; '1': {'precision': 0.6925373134328359; 'recall': 0.3286118980169972; 'f1-score': 0.4457252641690682; 'support': 706}; 'accuracy': 0.8031388604571819; 'macro avg': {'precision': 0.7549743577950003; 'recall': 0.6411598815927683; 'f1-score': 0.6630202757269319; 'support': 2931}; 'weighted avg': {'precision': 0.7873325530819768; 'recall': 0.8031388604571819; 'f1-score': 0.775634101232355; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],296,106.221186,0.650631,6,[X1 == 5 OR X3 == 1 OR X3 == 9 OR X3 == 12 OR X6 == 11 OR X6 == 12],{'0': {'precision': 0.8247021493144944; 'recall': 0.6879588473255756; 'f1-score': 0.7501497576648696; 'support': 20023}; '1': {'precision': 0.35394478337297075; 'recall': 0.5389702409069438; 'f1-score': 0.4272874797153913; 'support': 6351}; 'accuracy': 0.6520815955107303; 'macro avg': {'precision': 0.5893234663437326; 'recall': 0.6134645441162596; 'f1-score': 0.5887186186901304; 'support': 26374}; 'weighted avg': {'precision': 0.7113412624147213; 'recall': 0.6520815955107303; 'f1-score': 0.672402797504972; 'support': 26374}},{'0': {'precision': 0.8192450824029771; 'recall': 0.6925842696629213; 'f1-score': 0.7506088650754993; 'support': 2225}; '1': {'precision': 0.3485714285714286; 'recall': 0.5184135977337111; 'f1-score': 0.4168564920273349; 'support': 706}; 'accuracy': 0.6506311838962812; 'macro avg': {'precision': 0.5839082554872028; 'recall': 0.6054989336983162; 'f1-score': 0.5837326785514171; 'support': 2931}; 'weighted avg': {'precision': 0.7058723087403797; 'recall': 0.6506311838962812; 'f1-score': 0.6702167888653308; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],296,107.551714,0.684749,6,[X1 == 5 OR X3 == 6 OR X3 == 10 OR X3 == 12 OR X5 == 2 OR X13 == 20],{'0': {'precision': 0.9470592722557022; 'recall': 0.6200369574988763; 'f1-score': 0.749426536279126; 'support': 20023}; '1': {'precision': 0.42646061062947604; 'recall': 0.8907258699417414; 'f1-score': 0.5767740619902121; 'support': 6351}; 'accuracy': 0.6852202927125199; 'macro avg': {'precision': 0.6867599414425891; 'recall': 0.7553814137203089; 'f1-score': 0.6631002991346691; 'support': 26374}; 'weighted avg': {'precision': 0.8216963352727583; 'recall': 0.6852202927125199; 'f1-score': 0.7078508987494039; 'support': 26374}},{'0': {'precision': 0.9476944253269098; 'recall': 0.618876404494382; 'f1-score': 0.7487765089722676; 'support': 2225}; '1': {'precision': 0.42625169147496617; 'recall': 0.8923512747875354; 'f1-score': 0.5769230769230769; 'support': 706}; 'accuracy': 0.6847492323439099; 'macro avg': {'precision': 0.686973058400938; 'recall': 0.7556138396409586; 'f1-score': 0.6628497929476722; 'support': 2931}; 'weighted avg': {'precision': 0.822092729625964; 'recall': 0.6847492323439098; 'f1-score': 0.7073815847052158; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],296,107.030505,0.694302,3,[X0 >= 54.500000 OR X12 >= 65.500000 OR X13 == 14],{'0': {'precision': 0.7699932111337406; 'recall': 0.8496728761923787; 'f1-score': 0.8078731183816895; 'support': 20023}; '1': {'precision': 0.29656461790137884; 'recall': 0.1998110533774209; 'f1-score': 0.238758231420508; 'support': 6351}; 'accuracy': 0.6931826799120345; 'macro avg': {'precision': 0.5332789145175597; 'recall': 0.5247419647848999; 'f1-score': 0.5233156749010988; 'support': 26374}; 'weighted avg': {'precision': 0.6559890784417436; 'recall': 0.6931826799120345; 'f1-score': 0.6708272153298027; 'support': 26374}},{'0': {'precision': 0.7700121901665989; 'recall': 0.851685393258427; 'f1-score': 0.8087921468203159; 'support': 2225}; '1': {'precision': 0.2978723404255319; 'recall': 0.19830028328611898; 'f1-score': 0.2380952380952381; 'support': 706}; 'accuracy': 0.694302285909246; 'macro avg': {'precision': 0.5339422652960655; 'recall': 0.5249928382722729; 'f1-score': 0.523443692457777; 'support': 2931}; 'weighted avg': {'precision': 0.6562862488778943; 'recall': 0.694302285909246; 'f1-score': 0.6713264294679089; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],296,106.817557,0.743773,5,[X1 == 5 OR X3 == 7 OR X3 == 8 OR X3 == 10 OR X3 == 14],{'0': {'precision': 0.7864587895243934; 'recall': 0.896868601108725; 'f1-score': 0.8380427934759782; 'support': 20023}; '1': {'precision': 0.4166666666666667; 'recall': 0.2322468902535034; 'f1-score': 0.29825093519361034; 'support': 6351}; 'accuracy': 0.7368241449912792; 'macro avg': {'precision': 0.60156272809553; 'recall': 0.5645577456811142; 'f1-score': 0.5681468643347942; 'support': 26374}; 'weighted avg': {'precision': 0.6974108721713403; 'recall': 0.7368241449912792; 'f1-score': 0.7080580322736078; 'support': 26374}},{'0': {'precision': 0.7901574803149606; 'recall': 0.9020224719101123; 'f1-score': 0.8423924449108079; 'support': 2225}; '1': {'precision': 0.4424552429667519; 'recall': 0.24504249291784702; 'f1-score': 0.31540565177757524; 'support': 706}; 'accuracy': 0.7437734561583077; 'macro avg': {'precision': 0.6163063616408563; 'recall': 0.5735324824139797; 'f1-score': 0.5788990483441916; 'support': 2931}; 'weighted avg': {'precision': 0.706405252553843; 'recall': 0.7437734561583077; 'f1-score': 0.7154553326787838; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],296,105.446344,0.647099,3,[X0 >= 43.500000 OR X1 == 5 OR X5 == 3],{'0': {'precision': 0.8219642857142857; 'recall': 0.689656894571243; 'f1-score': 0.7500203677049669; 'support': 20023}; '1': {'precision': 0.3510182767624021; 'recall': 0.529124685138539; 'f1-score': 0.4220506058893703; 'support': 6352}; 'accuracy': 0.6509952606635071; 'macro avg': {'precision': 0.5864912812383439; 'recall': 0.609390789854891; 'f1-score': 0.5860354867971687; 'support': 26375}; 'weighted avg': {'precision': 0.708544416563106; 'recall': 0.6509952606635071; 'f1-score': 0.671034057674534; 'support': 26375}},{'0': {'precision': 0.822065981611682; 'recall': 0.6831460674157304; 'f1-score': 0.7461953853706431; 'support': 2225}; '1': {'precision': 0.34782608695652173; 'recall': 0.5333333333333333; 'f1-score': 0.4210526315789474; 'support': 705}; 'accuracy': 0.647098976109215; 'macro avg': {'precision': 0.5849460342841019; 'recall': 0.6082397003745319; 'f1-score': 0.5836240084747952; 'support': 2930}; 'weighted avg': {'precision': 0.7079570649796384; 'recall': 0.647098976109215; 'f1-score': 0.6679613780589894; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],296,105.275940,0.732082,2,[X3 == 9 OR X3 == 12],{'0': {'precision': 0.8171157201007947; 'recall': 0.8421315487189732; 'f1-score': 0.8294350574288596; 'support': 20023}; '1': {'precision': 0.4492071789510368; 'recall': 0.40585642317380355; 'f1-score': 0.4264328839632785; 'support': 6352}; 'accuracy': 0.7370616113744076; 'macro avg': {'precision': 0.6331614495259157; 'recall': 0.6239939859463883; 'f1-score': 0.627933970696069; 'support': 26375}; 'weighted avg': {'precision': 0.7285107891668322; 'recall': 0.7370616113744076; 'f1-score': 0.7323783823254142; 'support': 26375}},{'0': {'precision': 0.8174603174603174; 'recall': 0.8332584269662922; 'f1-score': 0.825283774760739; 'support': 2225}; '1': {'precision': 0.4395770392749245; 'recall': 0.4127659574468085; 'f1-score': 0.42574981711777615; 'support': 705}; 'accuracy': 0.7320819112627986; 'macro avg': {'precision': 0.628518678367621; 'recall': 0.6230121922065504; 'f1-score': 0.6255167959392576; 'support': 2930}; 'weighted avg': {'precision': 0.7265361839720232; 'recall': 0.7320819112627986; 'f1-score': 0.7291501774439169; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],296,107.677827,0.702048,5,[X1 == 6 OR X1 == 7 OR X3 == 10 OR X3 == 14 OR X6 == 13],{'0': {'precision': 0.7796040682891391; 'recall': 0.8575138590620787; 'f1-score': 0.8167051157038553; 'support': 20023}; '1': {'precision': 0.34428866927143187; 'recall': 0.23583123425692695; 'f1-score': 0.27992151733158926; 'support': 6352}; 'accuracy': 0.7077914691943128; 'macro avg': {'precision': 0.5619463687802855; 'recall': 0.5466725466595028; 'f1-score': 0.5483133165177223; 'support': 26375}; 'weighted avg': {'precision': 0.6747652658413484; 'recall': 0.7077914691943128; 'f1-score': 0.6874293084295184; 'support': 26375}},{'0': {'precision': 0.776595744680851; 'recall': 0.8530337078651685; 'f1-score': 0.8130220603983722; 'support': 2225}; '1': {'precision': 0.3271604938271605; 'recall': 0.225531914893617; 'f1-score': 0.26700251889168763; 'support': 705}; 'accuracy': 0.7020477815699658; 'macro avg': {'precision': 0.5518781192540058; 'recall': 0.5392828113793928; 'f1-score': 0.5400122896450299; 'support': 2930}; 'weighted avg': {'precision': 0.6684551809088879; 'recall': 0.7020477815699658; 'f1-score': 0.6816419318105863; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],296,291.025540,0.748805,4,[X3 == 10 OR X6 == 10 OR X13 == 1 OR X13 == 9],{'0': {'precision': 0.7921446711620983; 'recall': 0.9034658409908111; 'f1-score': 0.8441509962204284; 'support': 20024}; '1': {'precision': 0.45349165959852983; 'recall': 0.25255865218075896; 'f1-score': 0.3244336569579288; 'support': 6351}; 'accuracy': 0.7467298578199052; 'macro avg': {'precision': 0.6228181653803141; 'recall': 0.578012246585785; 'f1-score': 0.5842923265891786; 'support': 26375}; 'weighted avg': {'precision': 0.710598309970052; 'recall': 0.7467298578199052; 'f1-score': 0.7190050314183001; 'support': 26375}},{'0': {'precision': 0.7901716068642746; 'recall': 0.9109712230215827; 'f1-score': 0.8462823725981621; 'support': 2224}; '1': {'precision': 0.45901639344262296; 'recall': 0.23796033994334279; 'f1-score': 0.31343283582089554; 'support': 706}; 'accuracy': 0.7488054607508532; 'macro avg': {'precision': 0.6245940001534488; 'recall': 0.5744657814824627; 'f1-score': 0.5798576042095288; 'support': 2930}; 'weighted avg': {'precision': 0.7103778933230849; 'recall': 0.7488054607508532; 'f1-score': 0.7178892760231621; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],296,89.573700,0.736519,4,[X1 == 6 OR X3 == 10 OR X3 == 14 OR X7 == 5],{'0': {'precision': 0.7892374688944188; 'recall': 0.8869856172592888; 'f1-score': 0.8352614747930776; 'support': 20024}; '1': {'precision': 0.4153965383621803; 'recall': 0.2531884742560227; 'f1-score': 0.3146155351203287; 'support': 6351}; 'accuracy': 0.7343696682464455; 'macro avg': {'precision': 0.6023170036282995; 'recall': 0.5700870457576558; 'f1-score': 0.5749385049567031; 'support': 26375}; 'weighted avg': {'precision': 0.6992179902286275; 'recall': 0.7343696682464455; 'f1-score': 0.709891906532921; 'support': 26375}},{'0': {'precision': 0.7874109263657957; 'recall': 0.8943345323741008; 'f1-score': 0.8374736842105263; 'support': 2224}; '1': {'precision': 0.4183168316831683; 'recall': 0.23937677053824363; 'f1-score': 0.3045045045045045; 'support': 706}; 'accuracy': 0.736518771331058; 'macro avg': {'precision': 0.602863879024482; 'recall': 0.5668556514561722; 'f1-score': 0.5709890943575153; 'support': 2930}; 'weighted avg': {'precision': 0.6984756257357838; 'recall': 0.736518771331058; 'f1-score': 0.7090517589980855; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.714315 (+- 0.045557), (mean training time) 173.408555 (+- 155.093635)
