lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,1,[26374; 26374],296,1068.119129,0.821563,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8228152270140382; 'recall': 0.974779004145233; 'f1-score': 0.8923738112655449; 'support': 20023}; '1': {'precision': 0.8096494534489257; 'recall': 0.3382144544166273; 'f1-score': 0.4771212794313638; 'support': 6351}; 'accuracy': 0.8214908622127853; 'macro avg': {'precision': 0.816232340231482; 'recall': 0.6564967292809302; 'f1-score': 0.6847475453484544; 'support': 26374}; 'weighted avg': {'precision': 0.8196448384528784; 'recall': 0.8214908622127853; 'f1-score': 0.7923787847364298; 'support': 26374}},{'0': {'precision': 0.8208898944193062; 'recall': 0.9784269662921349; 'f1-score': 0.892761943817921; 'support': 2225}; '1': {'precision': 0.8279569892473119; 'recall': 0.3271954674220963; 'f1-score': 0.4690355329949238; 'support': 706}; 'accuracy': 0.8215626066189013; 'macro avg': {'precision': 0.824423441833309; 'recall': 0.6528112168571156; 'f1-score': 0.6808987384064223; 'support': 2931}; 'weighted avg': {'precision': 0.822592169734411; 'recall': 0.8215626066189013; 'f1-score': 0.7906975132341488; 'support': 2931}}
5,1,CNF,1,26374,2931,1,[26374; 26374],296,1042.602246,0.820880,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8213355732885342; 'recall': 0.9766768216550966; 'f1-score': 0.8922957589031095; 'support': 20023}; '1': {'precision': 0.8178627145085804; 'recall': 0.33018422295701466; 'f1-score': 0.47044307347167696; 'support': 6351}; 'accuracy': 0.8209979525290059; 'macro avg': {'precision': 0.8195991438985573; 'recall': 0.6534305223060557; 'f1-score': 0.6813694161873932; 'support': 26374}; 'weighted avg': {'precision': 0.8204992903541486; 'recall': 0.8209979525290059; 'f1-score': 0.7907113801522554; 'support': 26374}},{'0': {'precision': 0.8214826021180031; 'recall': 0.9761797752808988; 'f1-score': 0.8921749845964265; 'support': 2225}; '1': {'precision': 0.8153310104529616; 'recall': 0.3314447592067989; 'f1-score': 0.47129909365558914; 'support': 706}; 'accuracy': 0.8208802456499488; 'macro avg': {'precision': 0.8184068062854823; 'recall': 0.6538122672438489; 'f1-score': 0.6817370391260078; 'support': 2931}; 'weighted avg': {'precision': 0.8200008471826502; 'recall': 0.8208802456499488; 'f1-score': 0.790797168491264; 'support': 2931}}
5,1,CNF,2,26374,2931,1,[26374; 26374],296,1037.245063,0.823951,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 10],{'0': {'precision': 0.8212454828136818; 'recall': 0.9760775108625082; 'f1-score': 0.8919924237237853; 'support': 20023}; '1': {'precision': 0.8140527950310559; 'recall': 0.33018422295701466; 'f1-score': 0.46981068668085585; 'support': 6351}; 'accuracy': 0.8205429589747478; 'macro avg': {'precision': 0.8176491389223688; 'recall': 0.6531308669097614; 'f1-score': 0.6809015552023205; 'support': 26374}; 'weighted avg': {'precision': 0.8195134451968071; 'recall': 0.8205429589747478; 'f1-score': 0.7903288075882108; 'support': 26374}},{'0': {'precision': 0.8242884250474384; 'recall': 0.9761797752808988; 'f1-score': 0.8938271604938272; 'support': 2225}; '1': {'precision': 0.8209459459459459; 'recall': 0.34419263456090654; 'f1-score': 0.48502994011976047; 'support': 706}; 'accuracy': 0.8239508700102354; 'macro avg': {'precision': 0.8226171854966922; 'recall': 0.6601862049209026; 'f1-score': 0.6894285503067938; 'support': 2931}; 'weighted avg': {'precision': 0.8234833106681638; 'recall': 0.8239508700102354; 'f1-score': 0.7953587751017797; 'support': 2931}}
5,1,CNF,3,26374,2931,1,[26374; 26374],296,1209.655122,0.817127,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8217963266506956; 'recall': 0.9765269939569495; 'f1-score': 0.8925050209968961; 'support': 20023}; '1': {'precision': 0.8179000387446727; 'recall': 0.3323886002204377; 'f1-score': 0.47268248992386924; 'support': 6351}; 'accuracy': 0.8214150299537423; 'macro avg': {'precision': 0.8198481826976841; 'recall': 0.6544577970886936; 'f1-score': 0.6825937554603827; 'support': 26374}; 'weighted avg': {'precision': 0.8208580797222376; 'recall': 0.8214150299537423; 'f1-score': 0.7914095142537099; 'support': 26374}},{'0': {'precision': 0.8173618940248027; 'recall': 0.9775280898876404; 'f1-score': 0.8902988129349162; 'support': 2225}; '1': {'precision': 0.8148148148148148; 'recall': 0.311614730878187; 'f1-score': 0.45081967213114754; 'support': 706}; 'accuracy': 0.8171272603207097; 'macro avg': {'precision': 0.8160883544198088; 'recall': 0.6445714103829137; 'f1-score': 0.6705592425330319; 'support': 2931}; 'weighted avg': {'precision': 0.8167483703392854; 'recall': 0.8171272603207097; 'f1-score': 0.7844399683741995; 'support': 2931}}
5,1,CNF,4,26374,2931,1,[26374; 26374],296,1182.057806,0.826680,4,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 10],{'0': {'precision': 0.820996471181314; 'recall': 0.9760275682964591; 'f1-score': 0.8918246742875398; 'support': 20023}; '1': {'precision': 0.8132295719844358; 'recall': 0.3290820343253031; 'f1-score': 0.468557336621455; 'support': 6351}; 'accuracy': 0.8202396299385759; 'macro avg': {'precision': 0.8171130215828749; 'recall': 0.6525548013108811; 'f1-score': 0.6801910054544974; 'support': 26374}; 'weighted avg': {'precision': 0.8191261603904074; 'recall': 0.8202396299385759; 'f1-score': 0.7898996397263316; 'support': 26374}},{'0': {'precision': 0.8265500190186382; 'recall': 0.976629213483146; 'f1-score': 0.8953440461475072; 'support': 2225}; '1': {'precision': 0.8278145695364238; 'recall': 0.35410764872521244; 'f1-score': 0.49603174603174605; 'support': 706}; 'accuracy': 0.8266803138860457; 'macro avg': {'precision': 0.8271822942775311; 'recall': 0.6653684311041792; 'f1-score': 0.6956878960896267; 'support': 2931}; 'weighted avg': {'precision': 0.8268546156292; 'recall': 0.8266803138860457; 'f1-score': 0.7991603259558567; 'support': 2931}}
5,1,CNF,5,26375,2930,1,[26375; 26375],296,1175.293804,0.820478,5,[X4 >= 14.500000 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 41],{'0': {'precision': 0.821506642004372; 'recall': 0.97597762573041; 'f1-score': 0.8921047225582617; 'support': 20023}; '1': {'precision': 0.8140703517587939; 'recall': 0.33154911838790935; 'f1-score': 0.47119364582168033; 'support': 6352}; 'accuracy': 0.8207772511848341; 'macro avg': {'precision': 0.817788496881583; 'recall': 0.6537633720591597; 'f1-score': 0.681649184189971; 'support': 26375}; 'weighted avg': {'precision': 0.8197157295630483; 'recall': 0.8207772511848341; 'f1-score': 0.790734972437664; 'support': 26375}},{'0': {'precision': 0.8223908918406072; 'recall': 0.9739325842696629; 'f1-score': 0.8917695473251029; 'support': 2225}; '1': {'precision': 0.8033898305084746; 'recall': 0.33617021276595743; 'f1-score': 0.474; 'support': 705}; 'accuracy': 0.8204778156996587; 'macro avg': {'precision': 0.8128903611745408; 'recall': 0.6550513985178101; 'f1-score': 0.6828847736625514; 'support': 2930}; 'weighted avg': {'precision': 0.8178189641139336; 'recall': 0.8204778156996587; 'f1-score': 0.7912482057332266; 'support': 2930}}
5,1,CNF,6,26375,2930,1,[26375; 26375],296,1037.358176,0.820819,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8215246259875609; 'recall': 0.9763272236927534; 'f1-score': 0.8922613478171569; 'support': 20023}; '1': {'precision': 0.8162078324932144; 'recall': 0.3313916876574307; 'f1-score': 0.4713917814354495; 'support': 6352}; 'accuracy': 0.8210047393364929; 'macro avg': {'precision': 0.8188662292403877; 'recall': 0.6538594556750921; 'f1-score': 0.6818265646263032; 'support': 26375}; 'weighted avg': {'precision': 0.8202441606879936; 'recall': 0.8210047393364929; 'f1-score': 0.7909015948064799; 'support': 26375}},{'0': {'precision': 0.8197893152746426; 'recall': 0.9793258426966293; 'f1-score': 0.8924841286094614; 'support': 2225}; '1': {'precision': 0.8308823529411765; 'recall': 0.32056737588652484; 'f1-score': 0.46264073694984653; 'support': 705}; 'accuracy': 0.8208191126279863; 'macro avg': {'precision': 0.8253358341079096; 'recall': 0.6499466092915771; 'f1-score': 0.6775624327796539; 'support': 2930}; 'weighted avg': {'precision': 0.8224584591500372; 'recall': 0.8208191126279863; 'f1-score': 0.7890576469985301; 'support': 2930}}
5,1,CNF,7,26375,2930,1,[26375; 26375],296,1020.032111,0.823208,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 41],{'0': {'precision': 0.8211525537634409; 'recall': 0.9763771662588023; 'f1-score': 0.8920626953526044; 'support': 20023}; '1': {'precision': 0.8157382158161278; 'recall': 0.32965994962216627; 'f1-score': 0.46955936764211237; 'support': 6352}; 'accuracy': 0.8206255924170616; 'macro avg': {'precision': 0.8184453847897843; 'recall': 0.6530185579404844; 'f1-score': 0.6808110314973583; 'support': 26375}; 'weighted avg': {'precision': 0.819848596431068; 'recall': 0.8206255924170616; 'f1-score': 0.7903094768647543; 'support': 26375}},{'0': {'precision': 0.8241549563235853; 'recall': 0.9752808988764045; 'f1-score': 0.893371757925072; 'support': 2225}; '1': {'precision': 0.8148148148148148; 'recall': 0.3432624113475177; 'f1-score': 0.48303393213572854; 'support': 705}; 'accuracy': 0.8232081911262799; 'macro avg': {'precision': 0.8194848855692001; 'recall': 0.6592716551119611; 'f1-score': 0.6882028450304003; 'support': 2930}; 'weighted avg': {'precision': 0.8219075843905875; 'recall': 0.8232081911262799; 'f1-score': 0.7946385950644962; 'support': 2930}}
5,1,CNF,8,26375,2930,1,[26375; 26375],296,1038.506211,0.820478,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8212696280124275; 'recall': 0.9768777467039552; 'f1-score': 0.8923406778887825; 'support': 20024}; '1': {'precision': 0.818928431755964; 'recall': 0.3297118564005668; 'f1-score': 0.47013920071845533; 'support': 6351}; 'accuracy': 0.821042654028436; 'macro avg': {'precision': 0.8200990298841957; 'recall': 0.653294801552261; 'f1-score': 0.6812399393036189; 'support': 26375}; 'weighted avg': {'precision': 0.8207058768304447; 'recall': 0.821042654028436; 'f1-score': 0.7906761629500622; 'support': 26375}},{'0': {'precision': 0.8220789074355084; 'recall': 0.9743705035971223; 'f1-score': 0.8917695473251029; 'support': 2224}; '1': {'precision': 0.8061224489795918; 'recall': 0.3356940509915014; 'f1-score': 0.474; 'support': 706}; 'accuracy': 0.8204778156996587; 'macro avg': {'precision': 0.8141006782075502; 'recall': 0.6550322772943118; 'f1-score': 0.6828847736625514; 'support': 2930}; 'weighted avg': {'precision': 0.8182341089133659; 'recall': 0.8204778156996587; 'f1-score': 0.7911056222699758; 'support': 2930}}
5,1,CNF,9,26375,2930,1,[26375; 26375],296,1021.195365,0.812969,5,[X4 >= 14.500000 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 10],{'0': {'precision': 0.8235294117647058; 'recall': 0.9746304434678386; 'f1-score': 0.8927313480627601; 'support': 20024}; '1': {'precision': 0.8102353380649981; 'recall': 0.3415210203117619; 'f1-score': 0.48050509525919355; 'support': 6351}; 'accuracy': 0.8221800947867298; 'macro avg': {'precision': 0.8168823749148519; 'recall': 0.6580757318898003; 'f1-score': 0.6866182216609769; 'support': 26375}; 'weighted avg': {'precision': 0.8203282492218871; 'recall': 0.8221800947867298; 'f1-score': 0.7934688293308; 'support': 26375}},{'0': {'precision': 0.8179059180576631; 'recall': 0.9694244604316546; 'f1-score': 0.8872427983539094; 'support': 2224}; '1': {'precision': 0.7687074829931972; 'recall': 0.32011331444759206; 'f1-score': 0.45199999999999996; 'support': 706}; 'accuracy': 0.8129692832764505; 'macro avg': {'precision': 0.7933067005254302; 'recall': 0.6447688874396234; 'f1-score': 0.6696213991769546; 'support': 2930}; 'weighted avg': {'precision': 0.8060512780728464; 'recall': 0.8129692832764505; 'f1-score': 0.7823685950645374; 'support': 2930}}
5,1,DNF,0,26374,2931,1,[26374; 26374],296,1033.213212,0.800751,47,[X0 < 61.500000 AND X0 >= 29.500000 AND X1 != 6 AND X3 != 0 AND X3 != 1 AND X3 != 2 AND X3 != 3 AND X3 != 4 AND X3 != 5 AND X3 != 6 AND X3 != 7 AND X3 != 8 AND X3 != 11 AND X3 != 15 AND X5 == 2 AND X6 != 0 AND X6 != 1 AND X6 != 3 AND X6 != 5 AND X6 != 6 AND X6 != 7 AND X6 != 8 AND X6 != 11 AND X6 != 14 AND X7 != 2 AND X8 != 0 AND X8 != 3 AND X11 < 1978.500000 AND X12 < 65.500000 AND X12 >= 39.500000 AND X13 != 0 AND X13 != 2 AND X13 != 3 AND X13 != 11 AND X13 != 12 AND X13 != 14 AND X13 != 17 AND X13 != 19 AND X13 != 20 AND X13 != 22 AND X13 != 23 AND X13 != 24 AND X13 != 31 AND X13 != 33 AND X13 != 35 AND X13 != 40 AND X13 != 41],{'0': {'precision': 0.8021473016389442; 'recall': 0.9850671727513359; 'f1-score': 0.8842463911055323; 'support': 20023}; '1': {'precision': 0.8324929971988796; 'recall': 0.23397890096047866; 'f1-score': 0.36529006882989185; 'support': 6351}; 'accuracy': 0.804201107150982; 'macro avg': {'precision': 0.817320149418912; 'recall': 0.6095230368559073; 'f1-score': 0.6247682299677121; 'support': 26374}; 'weighted avg': {'precision': 0.809454707133035; 'recall': 0.804201107150982; 'f1-score': 0.7592789382059876; 'support': 26374}},{'0': {'precision': 0.8019874861980125; 'recall': 0.9793258426966293; 'f1-score': 0.8818292189397007; 'support': 2225}; '1': {'precision': 0.7850467289719626; 'recall': 0.23796033994334279; 'f1-score': 0.3652173913043478; 'support': 706}; 'accuracy': 0.8007505970658478; 'macro avg': {'precision': 0.7935171075849876; 'recall': 0.6086430913199861; 'f1-score': 0.6235233051220243; 'support': 2931}; 'weighted avg': {'precision': 0.7979069080330207; 'recall': 0.8007505970658478; 'f1-score': 0.7573911601507007; 'support': 2931}}
