l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.528326,0.754717,2,[X0 >= 45.000000 OR X2 >= 0.800000],{'0.0': {'precision': 0.3673469387755102; 'recall': 0.13432835820895522; 'f1-score': 0.19672131147540983; 'support': 134}; '1.0': {'precision': 0.7231503579952268; 'recall': 0.907185628742515; 'f1-score': 0.8047808764940239; 'support': 334}; 'accuracy': 0.6858974358974359; 'macro avg': {'precision': 0.5452486483853685; 'recall': 0.5207569934757351; 'f1-score': 0.5007510939847168; 'support': 468}; 'weighted avg': {'precision': 0.6212750200135131; 'recall': 0.6858974358974359; 'f1-score': 0.6306783514673266; 'support': 468}},{'0.0': {'precision': 0.6; 'recall': 0.4; 'f1-score': 0.48; 'support': 15}; '1.0': {'precision': 0.7906976744186046; 'recall': 0.8947368421052632; 'f1-score': 0.8395061728395061; 'support': 38}; 'accuracy': 0.7547169811320755; 'macro avg': {'precision': 0.6953488372093023; 'recall': 0.6473684210526316; 'f1-score': 0.659753086419753; 'support': 53}; 'weighted avg': {'precision': 0.7367266344888109; 'recall': 0.7547169811320755; 'f1-score': 0.7377591427905893; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],158,1.641383,0.692308,2,[X0 >= 35.000000 OR X2 < 0.700000],{'0.0': {'precision': 0.3008130081300813; 'recall': 0.2740740740740741; 'f1-score': 0.2868217054263566; 'support': 135}; '1.0': {'precision': 0.7167630057803468; 'recall': 0.7425149700598802; 'f1-score': 0.7294117647058823; 'support': 334}; 'accuracy': 0.6076759061833689; 'macro avg': {'precision': 0.5087880069552141; 'recall': 0.5082945220669771; 'f1-score': 0.5081167350661194; 'support': 469}; 'weighted avg': {'precision': 0.597033262320249; 'recall': 0.6076759061833689; 'f1-score': 0.6020137732288334; 'support': 469}},{'0.0': {'precision': 0.4166666666666667; 'recall': 0.35714285714285715; 'f1-score': 0.3846153846153846; 'support': 14}; '1.0': {'precision': 0.775; 'recall': 0.8157894736842105; 'f1-score': 0.7948717948717949; 'support': 38}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5958333333333333; 'recall': 0.5864661654135338; 'f1-score': 0.5897435897435898; 'support': 52}; 'weighted avg': {'precision': 0.678525641025641; 'recall': 0.6923076923076923; 'f1-score': 0.6844181459566075; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],158,1.770718,0.711538,2,[X2 >= 1.400000 OR X3 < 0.300000],{'0.0': {'precision': 0.35294117647058826; 'recall': 0.1791044776119403; 'f1-score': 0.2376237623762376; 'support': 134}; '1.0': {'precision': 0.7256857855361596; 'recall': 0.8686567164179104; 'f1-score': 0.7907608695652174; 'support': 335}; 'accuracy': 0.6716417910447762; 'macro avg': {'precision': 0.539313481003374; 'recall': 0.5238805970149254; 'f1-score': 0.5141923159707276; 'support': 469}; 'weighted avg': {'precision': 0.6191873258031393; 'recall': 0.6716417910447762; 'f1-score': 0.6327216960826517; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.4; 'f1-score': 0.4444444444444445; 'support': 15}; '1.0': {'precision': 0.775; 'recall': 0.8378378378378378; 'f1-score': 0.8051948051948051; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6375; 'recall': 0.6189189189189189; 'f1-score': 0.6248196248196248; 'support': 52}; 'weighted avg': {'precision': 0.6956730769230769; 'recall': 0.7115384615384616; 'f1-score': 0.7011322011322011; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],158,1.693357,0.615385,2,[X0 >= 45.000000 OR X0 < 40.000000],{'0.0': {'precision': 0.275; 'recall': 0.08208955223880597; 'f1-score': 0.1264367816091954; 'support': 134}; '1.0': {'precision': 0.7132867132867133; 'recall': 0.9134328358208955; 'f1-score': 0.8010471204188483; 'support': 335}; 'accuracy': 0.67590618336887; 'macro avg': {'precision': 0.4941433566433567; 'recall': 0.49776119402985075; 'f1-score': 0.4637419510140218; 'support': 469}; 'weighted avg': {'precision': 0.5880619380619382; 'recall': 0.67590618336887; 'f1-score': 0.608301309330376; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6808510638297872; 'recall': 0.8648648648648649; 'f1-score': 0.7619047619047619; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.3404255319148936; 'recall': 0.43243243243243246; 'f1-score': 0.38095238095238093; 'support': 52}; 'weighted avg': {'precision': 0.4844517184942717; 'recall': 0.6153846153846154; 'f1-score': 0.5421245421245421; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],158,1.749953,0.442308,3,[X0 < 40.000000 OR X7 >= 7.300000 OR X8 < 3.000000],{'0.0': {'precision': 0.3047619047619048; 'recall': 0.23880597014925373; 'f1-score': 0.26778242677824265; 'support': 134}; '1.0': {'precision': 0.7197802197802198; 'recall': 0.7820895522388059; 'f1-score': 0.7496423462088698; 'support': 335}; 'accuracy': 0.6268656716417911; 'macro avg': {'precision': 0.5122710622710622; 'recall': 0.5104477611940298; 'f1-score': 0.5087123864935562; 'support': 469}; 'weighted avg': {'precision': 0.6012035583464155; 'recall': 0.6268656716417911; 'f1-score': 0.6119680835144049; 'support': 469}},{'0.0': {'precision': 0.0625; 'recall': 0.06666666666666667; 'f1-score': 0.06451612903225808; 'support': 15}; '1.0': {'precision': 0.6111111111111112; 'recall': 0.5945945945945946; 'f1-score': 0.6027397260273972; 'support': 37}; 'accuracy': 0.4423076923076923; 'macro avg': {'precision': 0.3368055555555556; 'recall': 0.33063063063063064; 'f1-score': 0.3336279275298277; 'support': 52}; 'weighted avg': {'precision': 0.45285790598290604; 'recall': 0.4423076923076923; 'f1-score': 0.44748291920187633; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],158,1.699919,0.711538,2,[X0 >= 45.000000 OR X2 >= 1.400000],{'0.0': {'precision': 0.4305555555555556; 'recall': 0.4626865671641791; 'f1-score': 0.44604316546762596; 'support': 134}; '1.0': {'precision': 0.7784615384615384; 'recall': 0.755223880597015; 'f1-score': 0.7666666666666666; 'support': 335}; 'accuracy': 0.6716417910447762; 'macro avg': {'precision': 0.604508547008547; 'recall': 0.6089552238805971; 'f1-score': 0.6063549160671463; 'support': 469}; 'weighted avg': {'precision': 0.6790598290598291; 'recall': 0.6716417910447762; 'f1-score': 0.6750599520383693; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.5333333333333333; 'f1-score': 0.5161290322580646; 'support': 15}; '1.0': {'precision': 0.8055555555555556; 'recall': 0.7837837837837838; 'f1-score': 0.7945205479452055; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6527777777777778; 'recall': 0.6585585585585585; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.7174145299145299; 'recall': 0.7115384615384616; 'f1-score': 0.7142153030354533; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],158,1.683603,0.557692,2,[X2 >= 0.800000 OR X3 >= 1.600000],{'0.0': {'precision': 0.4752475247524752; 'recall': 0.3582089552238806; 'f1-score': 0.4085106382978724; 'support': 134}; '1.0': {'precision': 0.7663043478260869; 'recall': 0.8417910447761194; 'f1-score': 0.802275960170697; 'support': 335}; 'accuracy': 0.7036247334754797; 'macro avg': {'precision': 0.6207759362892811; 'recall': 0.6; 'f1-score': 0.6053932992342848; 'support': 469}; 'weighted avg': {'precision': 0.6831452555193408; 'recall': 0.7036247334754797; 'f1-score': 0.6897715824927472; 'support': 469}},{'0.0': {'precision': 0.21428571428571427; 'recall': 0.2; 'f1-score': 0.20689655172413796; 'support': 15}; '1.0': {'precision': 0.6842105263157895; 'recall': 0.7027027027027027; 'f1-score': 0.6933333333333334; 'support': 37}; 'accuracy': 0.5576923076923077; 'macro avg': {'precision': 0.4492481203007519; 'recall': 0.4513513513513514; 'f1-score': 0.45011494252873563; 'support': 52}; 'weighted avg': {'precision': 0.5486552920763448; 'recall': 0.5576923076923077; 'f1-score': 0.5530150309460655; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],158,1.690195,0.538462,2,[(NOT X1) OR X2 >= 1.400000],{'0.0': {'precision': 0.4074074074074074; 'recall': 0.5746268656716418; 'f1-score': 0.4767801857585139; 'support': 134}; '1.0': {'precision': 0.7964285714285714; 'recall': 0.6656716417910448; 'f1-score': 0.7252032520325203; 'support': 335}; 'accuracy': 0.6396588486140725; 'macro avg': {'precision': 0.6019179894179894; 'recall': 0.6201492537313433; 'f1-score': 0.6009917188955172; 'support': 469}; 'weighted avg': {'precision': 0.6852796674225246; 'recall': 0.6396588486140725; 'f1-score': 0.6542252330970898; 'support': 469}},{'0.0': {'precision': 0.32; 'recall': 0.5333333333333333; 'f1-score': 0.4; 'support': 15}; '1.0': {'precision': 0.7407407407407407; 'recall': 0.5405405405405406; 'f1-score': 0.625; 'support': 37}; 'accuracy': 0.5384615384615384; 'macro avg': {'precision': 0.5303703703703704; 'recall': 0.536936936936937; 'f1-score': 0.5125; 'support': 52}; 'weighted avg': {'precision': 0.6193732193732193; 'recall': 0.5384615384615384; 'f1-score': 0.5600961538461539; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],158,1.805400,0.673077,2,[X0 < 23.000000 OR X6 >= 19.000000],{'0.0': {'precision': 0.35; 'recall': 0.1044776119402985; 'f1-score': 0.16091954022988506; 'support': 134}; '1.0': {'precision': 0.7202797202797203; 'recall': 0.9223880597014925; 'f1-score': 0.8089005235602095; 'support': 335}; 'accuracy': 0.6886993603411514; 'macro avg': {'precision': 0.5351398601398601; 'recall': 0.5134328358208955; 'f1-score': 0.4849100318950473; 'support': 469}; 'weighted avg': {'precision': 0.6144855144855145; 'recall': 0.6886993603411514; 'f1-score': 0.6237630997515453; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.2; 'f1-score': 0.26086956521739135; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8648648648648649; 'f1-score': 0.7901234567901235; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5511363636363636; 'recall': 0.5324324324324324; 'f1-score': 0.5254965110037575; 'support': 52}; 'weighted avg': {'precision': 0.6256555944055944; 'recall': 0.6730769230769231; 'f1-score': 0.6374540649902969; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],158,1.841532,0.653846,4,[X0 < 31.000000 OR X3 >= 4.100000 OR X6 >= 34.000000 OR X8 < 2.700000],{'0.0': {'precision': 0.40540540540540543; 'recall': 0.3358208955223881; 'f1-score': 0.3673469387755102; 'support': 134}; '1.0': {'precision': 0.7513966480446927; 'recall': 0.8029850746268656; 'f1-score': 0.7763347763347764; 'support': 335}; 'accuracy': 0.6695095948827292; 'macro avg': {'precision': 0.5784010267250491; 'recall': 0.5694029850746268; 'f1-score': 0.5718408575551434; 'support': 469}; 'weighted avg': {'precision': 0.6525420072906107; 'recall': 0.6695095948827292; 'f1-score': 0.6594811084607004; 'support': 469}},{'0.0': {'precision': 0.38461538461538464; 'recall': 0.3333333333333333; 'f1-score': 0.3571428571428571; 'support': 15}; '1.0': {'precision': 0.7435897435897436; 'recall': 0.7837837837837838; 'f1-score': 0.7631578947368421; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5641025641025641; 'recall': 0.5585585585585585; 'f1-score': 0.5601503759398496; 'support': 52}; 'weighted avg': {'precision': 0.6400394477317555; 'recall': 0.6538461538461539; 'f1-score': 0.6460381723539619; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.635087 (+- 0.091624), (mean training time) 1.710438 (+- 0.084181)
