l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,605,68,75,[8; 9],64,1.307719,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
l: 5,1,CNF,1,605,68,75,[8; 9],64,1.459242,0.720588,1,[X1 >= 12.000000],{'0': {'precision': 0.7792207792207793; 'recall': 0.911062906724512; 'f1-score': 0.8400000000000001; 'support': 461}; '1': {'precision': 0.3787878787878788; 'recall': 0.1736111111111111; 'f1-score': 0.2380952380952381; 'support': 144}; 'accuracy': 0.7355371900826446; 'macro avg': {'precision': 0.579004329004329; 'recall': 0.5423370089178116; 'f1-score': 0.5390476190476191; 'support': 605}; 'weighted avg': {'precision': 0.683911130192122; 'recall': 0.7355371900826446; 'f1-score': 0.6967367178276269; 'support': 605}},{'0': {'precision': 0.7796610169491526; 'recall': 0.8846153846153846; 'f1-score': 0.8288288288288288; 'support': 52}; '1': {'precision': 0.3333333333333333; 'recall': 0.1875; 'f1-score': 0.24000000000000005; 'support': 16}; 'accuracy': 0.7205882352941176; 'macro avg': {'precision': 0.556497175141243; 'recall': 0.5360576923076923; 'f1-score': 0.5344144144144144; 'support': 68}; 'weighted avg': {'precision': 0.6746427384513127; 'recall': 0.7205882352941176; 'f1-score': 0.6902808691043986; 'support': 68}}
l: 5,1,CNF,2,605,68,75,[8; 9],64,1.532270,0.676471,1,[X3 < 14.000000],{'0': {'precision': 0.7706237424547284; 'recall': 0.8308026030368764; 'f1-score': 0.7995824634655533; 'support': 461}; '1': {'precision': 0.2777777777777778; 'recall': 0.20833333333333334; 'f1-score': 0.2380952380952381; 'support': 144}; 'accuracy': 0.6826446280991736; 'macro avg': {'precision': 0.524200760116253; 'recall': 0.5195679681851049; 'f1-score': 0.5188388507803957; 'support': 605}; 'weighted avg': {'precision': 0.653318256647322; 'recall': 0.6826446280991736; 'f1-score': 0.6659392230468336; 'support': 605}},{'0': {'precision': 0.7884615384615384; 'recall': 0.7884615384615384; 'f1-score': 0.7884615384615384; 'support': 52}; '1': {'precision': 0.3125; 'recall': 0.3125; 'f1-score': 0.3125; 'support': 16}; 'accuracy': 0.6764705882352942; 'macro avg': {'precision': 0.5504807692307692; 'recall': 0.5504807692307692; 'f1-score': 0.5504807692307692; 'support': 68}; 'weighted avg': {'precision': 0.6764705882352942; 'recall': 0.6764705882352942; 'f1-score': 0.6764705882352942; 'support': 68}}
l: 5,1,CNF,3,606,67,75,[8; 9],64,1.580932,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,4,606,67,75,[8; 9],64,1.663960,0.761194,1,[X0 < 2.000000],{'0': {'precision': 0.7639123102866779; 'recall': 0.9805194805194806; 'f1-score': 0.8587677725118484; 'support': 462}; '1': {'precision': 0.3076923076923077; 'recall': 0.027777777777777776; 'f1-score': 0.050955414012738856; 'support': 144}; 'accuracy': 0.7541254125412541; 'macro avg': {'precision': 0.5358023089894928; 'recall': 0.5041486291486291; 'f1-score': 0.45486159326229364; 'support': 606}; 'weighted avg': {'precision': 0.6555035967989068; 'recall': 0.7541254125412541; 'f1-score': 0.6668123605912679; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,5,606,67,75,[8; 9],64,1.665843,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,6,606,67,75,[8; 9],64,1.597019,0.716418,1,[X1 >= 8.000000],{'0': {'precision': 0.7893617021276595; 'recall': 0.803030303030303; 'f1-score': 0.796137339055794; 'support': 462}; '1': {'precision': 0.33088235294117646; 'recall': 0.3125; 'f1-score': 0.32142857142857145; 'support': 144}; 'accuracy': 0.6864686468646864; 'macro avg': {'precision': 0.560122027534418; 'recall': 0.5577651515151515; 'f1-score': 0.5587829552421827; 'support': 606}; 'weighted avg': {'precision': 0.6804161142021585; 'recall': 0.6864686468646864; 'f1-score': 0.6833352556592263; 'support': 606}},{'0': {'precision': 0.82; 'recall': 0.803921568627451; 'f1-score': 0.8118811881188118; 'support': 51}; '1': {'precision': 0.4117647058823529; 'recall': 0.4375; 'f1-score': 0.42424242424242425; 'support': 16}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.6158823529411764; 'recall': 0.6207107843137255; 'f1-score': 0.618061806180618; 'support': 67}; 'weighted avg': {'precision': 0.7225109745390693; 'recall': 0.7164179104477612; 'f1-score': 0.7193107370438536; 'support': 67}}
l: 5,1,CNF,7,606,67,75,[8; 9],64,1.628192,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,8,606,67,75,[8; 9],64,1.651682,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,9,606,67,75,[8; 9],64,1.589343,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 75}, (mean val acc cv) 0.744535 (+- 0.028406), (mean training time) 1.567620 (+- 0.105699)
