l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],262,1014.759483,0.783692,4,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.8024033749520604; 'recall': 0.940418518703491; 'f1-score': 0.8659461945274776; 'support': 20023}; '1': {'precision': 0.5896112831097351; 'recall': 0.26987875925051175; 'f1-score': 0.3702743573125945; 'support': 6351}; 'accuracy': 0.778948964889664; 'macro avg': {'precision': 0.6960073290308977; 'recall': 0.6051486389770013; 'f1-score': 0.6181102759200361; 'support': 26374}; 'weighted avg': {'precision': 0.7511619032264744; 'recall': 0.778948964889664; 'f1-score': 0.7465857699369064; 'support': 26374}},{'0': {'precision': 0.8084528887165569; 'recall': 0.9370786516853933; 'f1-score': 0.8680266444629475; 'support': 2225}; '1': {'precision': 0.6022727272727273; 'recall': 0.3002832861189802; 'f1-score': 0.4007561436672969; 'support': 706}; 'accuracy': 0.7836915728420334; 'macro avg': {'precision': 0.7053628079946421; 'recall': 0.6186809689021867; 'f1-score': 0.6343913940651222; 'support': 2931}; 'weighted avg': {'precision': 0.7587895676727685; 'recall': 0.7836915728420334; 'f1-score': 0.7554735999178334; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],262,1016.537587,0.775844,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1 OR X13 == 34],{'0': {'precision': 0.8034516638899568; 'recall': 0.939319782250412; 'f1-score': 0.8660895192484803; 'support': 20023}; '1': {'precision': 0.5902192242833052; 'recall': 0.27554715792788537; 'f1-score': 0.37569772434521254; 'support': 6351}; 'accuracy': 0.779479790702965; 'macro avg': {'precision': 0.696835444086631; 'recall': 0.6074334700891487; 'f1-score': 0.6208936217968464; 'support': 26374}; 'weighted avg': {'precision': 0.7521041540718842; 'recall': 0.779479790702965; 'f1-score': 0.7480005570345328; 'support': 26374}},{'0': {'precision': 0.8003831417624521; 'recall': 0.938876404494382; 'f1-score': 0.8641158221302999; 'support': 2225}; '1': {'precision': 0.5763239875389408; 'recall': 0.26203966005665724; 'f1-score': 0.36027263875365145; 'support': 706}; 'accuracy': 0.7758444216990789; 'macro avg': {'precision': 0.6883535646506964; 'recall': 0.6004580322755196; 'f1-score': 0.6121942304419756; 'support': 2931}; 'weighted avg': {'precision': 0.7464132465451886; 'recall': 0.7758444216990789; 'f1-score': 0.7427533903787088; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],262,1013.966723,0.773797,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.794120082815735; 'recall': 0.9577985316885581; 'f1-score': 0.8683132230095306; 'support': 20023}; '1': {'precision': 0.6200539568345323; 'recall': 0.21713116044717368; 'f1-score': 0.3216326530612245; 'support': 6351}; 'accuracy': 0.7794418745734435; 'macro avg': {'precision': 0.7070870198251337; 'recall': 0.5874648460678659; 'f1-score': 0.5949729380353775; 'support': 26374}; 'weighted avg': {'precision': 0.7522040304116014; 'recall': 0.7794418745734435; 'f1-score': 0.7366696232619879; 'support': 26374}},{'0': {'precision': 0.7925093632958802; 'recall': 0.9510112359550562; 'f1-score': 0.8645556690500511; 'support': 2225}; '1': {'precision': 0.5823754789272031; 'recall': 0.21529745042492918; 'f1-score': 0.31437435367114785; 'support': 706}; 'accuracy': 0.7737973387922211; 'macro avg': {'precision': 0.6874424211115416; 'recall': 0.5831543431899927; 'f1-score': 0.5894650113605995; 'support': 2931}; 'weighted avg': {'precision': 0.7418936954813847; 'recall': 0.7737973387922211; 'f1-score': 0.7320316128721236; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],262,1014.014131,0.776527,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 1 OR X13 == 41],{'0': {'precision': 0.8035042735042736; 'recall': 0.9390201268541177; 'f1-score': 0.8659926766920757; 'support': 20023}; '1': {'precision': 0.5894418291862811; 'recall': 0.2760195244843332; 'f1-score': 0.3759785522788204; 'support': 6351}; 'accuracy': 0.7793660423144005; 'macro avg': {'precision': 0.6964730513452773; 'recall': 0.6075198256692255; 'f1-score': 0.620985614485448; 'support': 26374}; 'weighted avg': {'precision': 0.7519568941206545; 'recall': 0.7793660423144005; 'f1-score': 0.7479946595483514; 'support': 26374}},{'0': {'precision': 0.8000764525993884; 'recall': 0.9406741573033708; 'f1-score': 0.8646973765750877; 'support': 2225}; '1': {'precision': 0.580952380952381; 'recall': 0.25920679886685555; 'f1-score': 0.35847208619000986; 'support': 706}; 'accuracy': 0.7765267826680314; 'macro avg': {'precision': 0.6905144167758848; 'recall': 0.5999404780851132; 'f1-score': 0.6115847313825488; 'support': 2931}; 'weighted avg': {'precision': 0.7472952876103787; 'recall': 0.7765267826680314; 'f1-score': 0.7427611585567101; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],262,1012.636775,0.778574,7,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1 OR X13 == 18],{'0': {'precision': 0.8029973101063148; 'recall': 0.939269839684363; 'f1-score': 0.8658042537519566; 'support': 20023}; '1': {'precision': 0.5882153741957331; 'recall': 0.27350023618327823; 'f1-score': 0.3733877901977644; 'support': 6351}; 'accuracy': 0.778948964889664; 'macro avg': {'precision': 0.6956063421510239; 'recall': 0.6063850379338206; 'f1-score': 0.6195960219748605; 'support': 26374}; 'weighted avg': {'precision': 0.7512766733061288; 'recall': 0.778948964889664; 'f1-score': 0.7472277405179885; 'support': 26374}},{'0': {'precision': 0.8061383061383062; 'recall': 0.9325842696629213; 'f1-score': 0.8647634923942488; 'support': 2225}; '1': {'precision': 0.5798319327731093; 'recall': 0.29320113314447593; 'f1-score': 0.38946378174976487; 'support': 706}; 'accuracy': 0.7785738655748892; 'macro avg': {'precision': 0.6929851194557077; 'recall': 0.6128927014036987; 'f1-score': 0.6271136370720068; 'support': 2931}; 'weighted avg': {'precision': 0.7516271155563106; 'recall': 0.7785738655748892; 'f1-score': 0.750276424596567; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],262,1023.162346,0.770990,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 18 OR X13 == 41],{'0': {'precision': 0.7945370140097819; 'recall': 0.9573490485941167; 'f1-score': 0.8683775396951232; 'support': 20023}; '1': {'precision': 0.6202756780791463; 'recall': 0.21961586901763225; 'f1-score': 0.324380885943495; 'support': 6352}; 'accuracy': 0.7796777251184834; 'macro avg': {'precision': 0.7074063460444642; 'recall': 0.5884824588058745; 'f1-score': 0.5963792128193091; 'support': 26375}; 'weighted avg': {'precision': 0.7525689379593025; 'recall': 0.7796777251184834; 'f1-score': 0.7373645825527405; 'support': 26375}},{'0': {'precision': 0.7886329866270431; 'recall': 0.9541573033707865; 'f1-score': 0.8635346756152125; 'support': 2225}; '1': {'precision': 0.5714285714285714; 'recall': 0.19290780141843972; 'f1-score': 0.288441145281018; 'support': 705}; 'accuracy': 0.7709897610921501; 'macro avg': {'precision': 0.6800307790278073; 'recall': 0.5735325523946131; 'f1-score': 0.5759879104481153; 'support': 2930}; 'weighted avg': {'precision': 0.7363704908199022; 'recall': 0.7709897610921501; 'f1-score': 0.7251589285552783; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],262,1067.437747,0.776109,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 20],{'0': {'precision': 0.7944506656712704; 'recall': 0.9566498526694301; 'f1-score': 0.8680382471563873; 'support': 20023}; '1': {'precision': 0.6166077738515902; 'recall': 0.21977329974811083; 'f1-score': 0.3240482822655525; 'support': 6352}; 'accuracy': 0.7791848341232227; 'macro avg': {'precision': 0.7055292197614302; 'recall': 0.5882115762087705; 'f1-score': 0.5960432647109699; 'support': 26375}; 'weighted avg': {'precision': 0.7516200287484794; 'recall': 0.7791848341232227; 'f1-score': 0.7370269009199292; 'support': 26375}},{'0': {'precision': 0.7898042113040266; 'recall': 0.9608988764044943; 'f1-score': 0.8669910786699108; 'support': 2225}; '1': {'precision': 0.6098654708520179; 'recall': 0.19290780141843972; 'f1-score': 0.29310344827586204; 'support': 705}; 'accuracy': 0.7761092150170649; 'macro avg': {'precision': 0.6998348410780222; 'recall': 0.5769033389114671; 'f1-score': 0.5800472634728864; 'support': 2930}; 'weighted avg': {'precision': 0.7465083710246183; 'recall': 0.7761092150170649; 'f1-score': 0.7289054884215134; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],262,1044.241281,0.782253,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 9],{'0': {'precision': 0.7939565000830151; 'recall': 0.955301403386106; 'f1-score': 0.8671880312818769; 'support': 20023}; '1': {'precision': 0.6079719667104687; 'recall': 0.21851385390428213; 'f1-score': 0.32148233931673426; 'support': 6352}; 'accuracy': 0.7778578199052133; 'macro avg': {'precision': 0.7009642333967419; 'recall': 0.5869076286451941; 'f1-score': 0.5943351852993056; 'support': 26375}; 'weighted avg': {'precision': 0.7491650780552458; 'recall': 0.7778578199052133; 'f1-score': 0.7357634794197885; 'support': 26375}},{'0': {'precision': 0.7955307262569833; 'recall': 0.96; 'f1-score': 0.870061099796334; 'support': 2225}; '1': {'precision': 0.636734693877551; 'recall': 0.22127659574468084; 'f1-score': 0.32842105263157895; 'support': 705}; 'accuracy': 0.7822525597269625; 'macro avg': {'precision': 0.7161327100672672; 'recall': 0.5906382978723403; 'f1-score': 0.5992410762139564; 'support': 2930}; 'weighted avg': {'precision': 0.7573221246093725; 'recall': 0.7822525597269625; 'f1-score': 0.739734740324951; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],262,1012.363530,0.779522,6,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1],{'0': {'precision': 0.8029359050951609; 'recall': 0.9396723931282461; 'f1-score': 0.8659395278199641; 'support': 20024}; '1': {'precision': 0.5892553553213192; 'recall': 0.2728704141080145; 'f1-score': 0.37300904003443824; 'support': 6351}; 'accuracy': 0.7791090047393365; 'macro avg': {'precision': 0.6960956302082401; 'recall': 0.6062714036181303; 'f1-score': 0.6194742839272012; 'support': 26375}; 'weighted avg': {'precision': 0.7514824388728417; 'recall': 0.7791090047393365; 'f1-score': 0.7472437352919687; 'support': 26375}},{'0': {'precision': 0.8067651632970451; 'recall': 0.9330035971223022; 'f1-score': 0.8653044203502919; 'support': 2224}; '1': {'precision': 0.5837988826815642; 'recall': 0.29603399433427763; 'f1-score': 0.3928571428571428; 'support': 706}; 'accuracy': 0.7795221843003413; 'macro avg': {'precision': 0.6952820229893046; 'recall': 0.6145187957282899; 'f1-score': 0.6290807816037174; 'support': 2930}; 'weighted avg': {'precision': 0.7530401823705845; 'recall': 0.7795221843003413; 'f1-score': 0.7514655882990415; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],262,1012.252347,0.778157,5,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 1],{'0': {'precision': 0.7940433287767699; 'recall': 0.9573012385137835; 'f1-score': 0.8680629457715386; 'support': 20024}; '1': {'precision': 0.61727842435094; 'recall': 0.21713116044717368; 'f1-score': 0.3212580081537566; 'support': 6351}; 'accuracy': 0.7790710900473934; 'macro avg': {'precision': 0.705660876563855; 'recall': 0.5872161994804785; 'f1-score': 0.5946604769626476; 'support': 26375}; 'weighted avg': {'precision': 0.7514790099897198; 'recall': 0.7790710900473934; 'f1-score': 0.736394389987253; 'support': 26375}},{'0': {'precision': 0.7930007446016382; 'recall': 0.9577338129496403; 'f1-score': 0.8676171079429736; 'support': 2224}; '1': {'precision': 0.6147540983606558; 'recall': 0.21246458923512748; 'f1-score': 0.3157894736842105; 'support': 706}; 'accuracy': 0.7781569965870307; 'macro avg': {'precision': 0.703877421481147; 'recall': 0.5850992010923839; 'f1-score': 0.5917032908135921; 'support': 2930}; 'weighted avg': {'precision': 0.7500512114118315; 'recall': 0.7781569965870307; 'f1-score': 0.7346511319065618; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.777546 (+- 0.003582), (mean training time) 1023.137195 (+- 17.417811)
