lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,1,[26374; 26374],296,1049.288651,0.818833,5,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1 OR X13 == 41],{'0': {'precision': 0.8232389313299286; 'recall': 0.9741297507865954; 'f1-score': 0.8923506267728063; 'support': 20023}; '1': {'precision': 0.8067885117493473; 'recall': 0.34057628719886635; 'f1-score': 0.4789636846767051; 'support': 6351}; 'accuracy': 0.8215666944718283; 'macro avg': {'precision': 0.815013721539638; 'recall': 0.6573530189927308; 'f1-score': 0.6856571557247557; 'support': 26374}; 'weighted avg': {'precision': 0.8192775824728622; 'recall': 0.8215666944718283; 'f1-score': 0.7928048442122414; 'support': 26374}},{'0': {'precision': 0.8203479576399395; 'recall': 0.9748314606741573; 'f1-score': 0.8909426987060999; 'support': 2225}; '1': {'precision': 0.8048780487804879; 'recall': 0.3271954674220963; 'f1-score': 0.4652567975830816; 'support': 706}; 'accuracy': 0.8188331627430911; 'macro avg': {'precision': 0.8126130032102137; 'recall': 0.6510134640481268; 'f1-score': 0.6780997481445907; 'support': 2931}; 'weighted avg': {'precision': 0.8166216677543126; 'recall': 0.8188331627430911; 'f1-score': 0.7884062789883071; 'support': 2931}}
5,1,CNF,1,26374,2931,1,[26374; 26374],296,1048.020498,0.822245,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8227805412697075; 'recall': 0.974779004145233; 'f1-score': 0.8923534118184936; 'support': 20023}; '1': {'precision': 0.8095776772247361; 'recall': 0.3380569988978114; 'f1-score': 0.4769521270687549; 'support': 6351}; 'accuracy': 0.8214529460832638; 'macro avg': {'precision': 0.8161791092472217; 'recall': 0.6564180015215222; 'f1-score': 0.6846527694436242; 'support': 26374}; 'weighted avg': {'precision': 0.8196012211229867; 'recall': 0.8214529460832638; 'f1-score': 0.7923225647931811; 'support': 26374}},{'0': {'precision': 0.8222390317700454; 'recall': 0.9770786516853932; 'f1-score': 0.8929965085233107; 'support': 2225}; '1': {'precision': 0.8222996515679443; 'recall': 0.3342776203966006; 'f1-score': 0.4753272910372609; 'support': 706}; 'accuracy': 0.8222449675878539; 'macro avg': {'precision': 0.8222693416689948; 'recall': 0.6556781360409969; 'f1-score': 0.6841618997802859; 'support': 2931}; 'weighted avg': {'precision': 0.8222536334682087; 'recall': 0.8222449675878539; 'f1-score': 0.7923910948265687; 'support': 2931}}
5,1,CNF,2,26374,2931,1,[26374; 26374],296,1036.764887,0.817127,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 41],{'0': {'precision': 0.8217888365837256; 'recall': 0.9764770513909005; 'f1-score': 0.8924797443797786; 'support': 20023}; '1': {'precision': 0.8175832687838884; 'recall': 0.3323886002204377; 'f1-score': 0.47262957573043773; 'support': 6351}; 'accuracy': 0.8213771138242209; 'macro avg': {'precision': 0.819686052683807; 'recall': 0.6544328258056691; 'f1-score': 0.6825546600551082; 'support': 26374}; 'weighted avg': {'precision': 0.8207761134057183; 'recall': 0.8213771138242209; 'f1-score': 0.7913775823606704; 'support': 26374}},{'0': {'precision': 0.8190404231205138; 'recall': 0.9743820224719101; 'f1-score': 0.8899835796387521; 'support': 2225}; '1': {'precision': 0.7992957746478874; 'recall': 0.32152974504249293; 'f1-score': 0.4585858585858586; 'support': 706}; 'accuracy': 0.8171272603207097; 'macro avg': {'precision': 0.8091680988842006; 'recall': 0.6479558837572015; 'f1-score': 0.6742847191123054; 'support': 2931}; 'weighted avg': {'precision': 0.8142844620759303; 'recall': 0.8171272603207097; 'f1-score': 0.7860713343083725; 'support': 2931}}
5,1,CNF,3,26374,2931,1,[26374; 26374],296,1192.880903,0.824633,5,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8210760636734008; 'recall': 0.9763272236927534; 'f1-score': 0.8919967147289652; 'support': 20023}; '1': {'precision': 0.8152046783625732; 'recall': 0.32923948984411905; 'f1-score': 0.46904441453566625; 'support': 6351}; 'accuracy': 0.8205050428452264; 'macro avg': {'precision': 0.818140371017987; 'recall': 0.6527833567684362; 'f1-score': 0.6805205646323158; 'support': 26374}; 'weighted avg': {'precision': 0.8196622027456286; 'recall': 0.8205050428452264; 'f1-score': 0.7901475428730601; 'support': 26374}},{'0': {'precision': 0.8264021365890881; 'recall': 0.9734831460674157; 'f1-score': 0.8939331407346265; 'support': 2225}; '1': {'precision': 0.8096774193548387; 'recall': 0.3555240793201133; 'f1-score': 0.4940944881889763; 'support': 706}; 'accuracy': 0.824633230979188; 'macro avg': {'precision': 0.8180397779719635; 'recall': 0.6645036126937645; 'f1-score': 0.6940138144618013; 'support': 2931}; 'weighted avg': {'precision': 0.8223735967162187; 'recall': 0.824633230979188; 'f1-score': 0.7976226362319894; 'support': 2931}}
5,1,CNF,4,26374,2931,1,[26374; 26374],296,1190.894465,0.823610,6,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 41],{'0': {'precision': 0.8227255472605339; 'recall': 0.9741796933526444; 'f1-score': 0.8920698801792737; 'support': 20023}; '1': {'precision': 0.8060037523452157; 'recall': 0.3382144544166273; 'f1-score': 0.4764862466725821; 'support': 6351}; 'accuracy': 0.8210358686585273; 'macro avg': {'precision': 0.8143646498028748; 'recall': 0.6561970738846359; 'f1-score': 0.6842780634259279; 'support': 26374}; 'weighted avg': {'precision': 0.8186988497741009; 'recall': 0.8210358686585273; 'f1-score': 0.7919951225998015; 'support': 26374}},{'0': {'precision': 0.8257055682684973; 'recall': 0.9730337078651685; 'f1-score': 0.8933360841757788; 'support': 2225}; '1': {'precision': 0.8058252427184466; 'recall': 0.3526912181303116; 'f1-score': 0.49064039408866994; 'support': 706}; 'accuracy': 0.8236096895257591; 'macro avg': {'precision': 0.815765405493472; 'recall': 0.6628624629977401; 'f1-score': 0.6919882391322244; 'support': 2931}; 'weighted avg': {'precision': 0.8209169262219822; 'recall': 0.8236096895257591; 'f1-score': 0.7963373952636331; 'support': 2931}}
5,1,CNF,5,26375,2930,1,[26375; 26375],296,1169.422865,0.820819,4,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 41],{'0': {'precision': 0.8227335946390189; 'recall': 0.9749288318433801; 'f1-score': 0.8923885714285713; 'support': 20023}; '1': {'precision': 0.8104229607250756; 'recall': 0.3378463476070529; 'f1-score': 0.47688888888888886; 'support': 6352}; 'accuracy': 0.8214976303317536; 'macro avg': {'precision': 0.8165782776820472; 'recall': 0.6563875897252165; 'f1-score': 0.6846387301587301; 'support': 26375}; 'weighted avg': {'precision': 0.8197687739140381; 'recall': 0.8214976303317536; 'f1-score': 0.7923220696847963; 'support': 26375}},{'0': {'precision': 0.8236862147753237; 'recall': 0.9721348314606741; 'f1-score': 0.8917748917748917; 'support': 2225}; '1': {'precision': 0.7960526315789473; 'recall': 0.3432624113475177; 'f1-score': 0.4796828543111992; 'support': 705}; 'accuracy': 0.8208191126279863; 'macro avg': {'precision': 0.8098694231771355; 'recall': 0.657698621404096; 'f1-score': 0.6857288730430454; 'support': 2930}; 'weighted avg': {'precision': 0.8170371785454789; 'recall': 0.8208191126279863; 'f1-score': 0.7926196404397711; 'support': 2930}}
5,1,CNF,6,26375,2930,1,[26375; 26375],296,1044.596610,0.817747,5,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1 OR X13 == 37],{'0': {'precision': 0.8229685258627963; 'recall': 0.9741796933526444; 'f1-score': 0.8922126929674099; 'support': 20023}; '1': {'precision': 0.8065843621399177; 'recall': 0.3394206549118388; 'f1-score': 0.4777839335180055; 'support': 6352}; 'accuracy': 0.8213080568720379; 'macro avg': {'precision': 0.814776444001357; 'recall': 0.6568001741322416; 'f1-score': 0.6849983132427078; 'support': 26375}; 'weighted avg': {'precision': 0.819022660157859; 'recall': 0.8213080568720379; 'f1-score': 0.7924041060471212; 'support': 26375}},{'0': {'precision': 0.8213606993538578; 'recall': 0.9712359550561798; 'f1-score': 0.8900329489291599; 'support': 2225}; '1': {'precision': 0.7859531772575251; 'recall': 0.3333333333333333; 'f1-score': 0.4681274900398406; 'support': 705}; 'accuracy': 0.8177474402730376; 'macro avg': {'precision': 0.8036569383056915; 'recall': 0.6522846441947565; 'f1-score': 0.6790802194845003; 'support': 2930}; 'weighted avg': {'precision': 0.8128411419893818; 'recall': 0.8177474402730376; 'f1-score': 0.7885164477288288; 'support': 2930}}
5,1,CNF,7,26375,2930,1,[26375; 26375],296,1019.443706,0.822184,5,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1 OR X13 == 41],{'0': {'precision': 0.8229461158698679; 'recall': 0.9740298656544973; 'f1-score': 0.892136681762042; 'support': 20023}; '1': {'precision': 0.8056801195814649; 'recall': 0.3394206549118388; 'f1-score': 0.47762516614975636; 'support': 6352}; 'accuracy': 0.8211943127962086; 'macro avg': {'precision': 0.8143131177256664; 'recall': 0.6567252602831681; 'f1-score': 0.6848809239558992; 'support': 26375}; 'weighted avg': {'precision': 0.8187878747921832; 'recall': 0.8211943127962086; 'f1-score': 0.7923081643338246; 'support': 26375}},{'0': {'precision': 0.8229719484457922; 'recall': 0.9757303370786516; 'f1-score': 0.8928644869422168; 'support': 2225}; '1': {'precision': 0.815068493150685; 'recall': 0.3375886524822695; 'f1-score': 0.477432296890672; 'support': 705}; 'accuracy': 0.822184300341297; 'macro avg': {'precision': 0.8190202207982387; 'recall': 0.6566594947804606; 'f1-score': 0.6851483919164444; 'support': 2930}; 'weighted avg': {'precision': 0.8210702638099387; 'recall': 0.822184300341297; 'f1-score': 0.7929055470151387; 'support': 2930}}
5,1,CNF,8,26375,2930,1,[26375; 26375],296,1024.973665,0.818089,7,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 1 OR X13 == 10],{'0': {'precision': 0.8223420841936707; 'recall': 0.9745805033959248; 'f1-score': 0.8920123414466918; 'support': 20024}; '1': {'precision': 0.8074886535552194; 'recall': 0.33616753267202015; 'f1-score': 0.47470817120622577; 'support': 6351}; 'accuracy': 0.8208530805687204; 'macro avg': {'precision': 0.814915368874445; 'recall': 0.6553740180339724; 'f1-score': 0.6833602563264588; 'support': 26375}; 'weighted avg': {'precision': 0.8187654344122565; 'recall': 0.8208530805687204; 'f1-score': 0.7915270794486937; 'support': 26375}},{'0': {'precision': 0.8179766829635201; 'recall': 0.9779676258992805; 'f1-score': 0.8908457915216055; 'support': 2224}; '1': {'precision': 0.8191881918819188; 'recall': 0.31444759206798867; 'f1-score': 0.45445240532241554; 'support': 706}; 'accuracy': 0.8180887372013652; 'macro avg': {'precision': 0.8185824374227195; 'recall': 0.6462076089836346; 'f1-score': 0.6726490984220105; 'support': 2930}; 'weighted avg': {'precision': 0.8182686028598988; 'recall': 0.8180887372013652; 'f1-score': 0.7856943476114935; 'support': 2930}}
5,1,CNF,9,26375,2930,1,[26375; 26375],296,1037.896307,0.822184,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8213010793330814; 'recall': 0.9766280463443867; 'f1-score': 0.8922550473366032; 'support': 20024}; '1': {'precision': 0.8174726989079563; 'recall': 0.3300267674381987; 'f1-score': 0.4702187324733595; 'support': 6351}; 'accuracy': 0.8209289099526066; 'macro avg': {'precision': 0.8193868891205188; 'recall': 0.6533274068912927; 'f1-score': 0.6812368899049813; 'support': 26375}; 'weighted avg': {'precision': 0.8203792198418977; 'recall': 0.8209289099526066; 'f1-score': 0.7906303028552208; 'support': 26375}},{'0': {'precision': 0.822415751609239; 'recall': 0.9766187050359713; 'f1-score': 0.8929085303186022; 'support': 2224}; '1': {'precision': 0.8200692041522492; 'recall': 0.3356940509915014; 'f1-score': 0.47638190954773874; 'support': 706}; 'accuracy': 0.822184300341297; 'macro avg': {'precision': 0.8212424778807441; 'recall': 0.6561563780137363; 'f1-score': 0.6846452199331705; 'support': 2930}; 'weighted avg': {'precision': 0.8218503377851315; 'recall': 0.822184300341297; 'f1-score': 0.7925440954161347; 'support': 2930}}
5,1,DNF,0,26374,2931,1,[26374; 26374],296,1019.657489,0.791198,52,[X0 < 61.500000 AND X0 >= 27.500000 AND X1 != 1 AND X1 != 6 AND X3 != 0 AND X3 != 1 AND X3 != 2 AND X3 != 3 AND X3 != 4 AND X3 != 5 AND X3 != 6 AND X3 != 7 AND X3 != 8 AND X3 != 11 AND X3 != 15 AND X5 != 0 AND X5 != 3 AND X5 != 4 AND X5 != 5 AND X5 != 6 AND X6 != 1 AND X6 != 3 AND X6 != 5 AND X6 != 6 AND X6 != 7 AND X6 != 8 AND X6 != 11 AND X6 != 12 AND X6 != 13 AND X6 != 14 AND X7 != 2 AND X7 != 3 AND X7 != 5 AND X8 != 0 AND X8 != 3 AND X11 < 1978.500000 AND X12 < 65.500000 AND X12 >= 34.500000 AND X13 != 0 AND X13 != 2 AND X13 != 3 AND X13 != 4 AND X13 != 10 AND X13 != 11 AND X13 != 14 AND X13 != 17 AND X13 != 19 AND X13 != 20 AND X13 != 23 AND X13 != 24 AND X13 != 35 AND X13 != 41],{'0': {'precision': 0.7929679669646794; 'recall': 0.9878140138840333; 'f1-score': 0.879731352577503; 'support': 20023}; '1': {'precision': 0.8294898672257163; 'recall': 0.18689970083451424; 'f1-score': 0.3050629658185556; 'support': 6351}; 'accuracy': 0.7949495715477364; 'macro avg': {'precision': 0.8112289170951978; 'recall': 0.5873568573592738; 'f1-score': 0.5923971591980293; 'support': 26374}; 'weighted avg': {'precision': 0.8017626355230265; 'recall': 0.7949495715477364; 'f1-score': 0.7413481371264499; 'support': 26374}},{'0': {'precision': 0.7906306306306307; 'recall': 0.9860674157303371; 'f1-score': 0.8776; 'support': 2225}; '1': {'precision': 0.8012820512820513; 'recall': 0.17705382436260622; 'f1-score': 0.2900232018561485; 'support': 706}; 'accuracy': 0.7911975435005117; 'macro avg': {'precision': 0.795956340956341; 'recall': 0.5815606200464717; 'f1-score': 0.5838116009280743; 'support': 2931}; 'weighted avg': {'precision': 0.7931962747725287; 'recall': 0.7911975435005117; 'f1-score': 0.7360683659196318; 'support': 2931}}
