l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,461,52,57,[8; 9],540,2.879919,0.788462,1,[X1 >= 21.272000],{'0.0': {'precision': 0.7476340694006309; 'recall': 0.8172413793103448; 'f1-score': 0.7808896210873147; 'support': 290}; '1.0': {'precision': 0.6319444444444444; 'recall': 0.5321637426900585; 'f1-score': 0.5777777777777777; 'support': 171}; 'accuracy': 0.7114967462039046; 'macro avg': {'precision': 0.6897892569225377; 'recall': 0.6747025610002017; 'f1-score': 0.6793336994325463; 'support': 461}; 'weighted avg': {'precision': 0.7047209981045184; 'recall': 0.7114967462039046; 'f1-score': 0.7055487854996123; 'support': 461}},{'0.0': {'precision': 0.7692307692307693; 'recall': 0.9375; 'f1-score': 0.8450704225352113; 'support': 32}; '1.0': {'precision': 0.8461538461538461; 'recall': 0.55; 'f1-score': 0.6666666666666667; 'support': 20}; 'accuracy': 0.7884615384615384; 'macro avg': {'precision': 0.8076923076923077; 'recall': 0.74375; 'f1-score': 0.755868544600939; 'support': 52}; 'weighted avg': {'precision': 0.7988165680473374; 'recall': 0.7884615384615384; 'f1-score': 0.7764535933550019; 'support': 52}}
l: 5,1,CNF,1,461,52,57,[8; 9],540,2.820102,0.730769,2,[X0 >= 15.056000 OR X7 >= 0.027982],{'0.0': {'precision': 0.994413407821229; 'recall': 0.615916955017301; 'f1-score': 0.7606837606837606; 'support': 289}; '1.0': {'precision': 0.6063829787234043; 'recall': 0.9941860465116279; 'f1-score': 0.7533039647577093; 'support': 172}; 'accuracy': 0.7570498915401301; 'macro avg': {'precision': 0.8003981932723166; 'recall': 0.8050515007644645; 'f1-score': 0.756993862720735; 'support': 461}; 'weighted avg': {'precision': 0.8496384971816936; 'recall': 0.7570498915401301; 'f1-score': 0.7579303444163401; 'support': 461}},{'0.0': {'precision': 0.9523809523809523; 'recall': 0.6060606060606061; 'f1-score': 0.7407407407407407; 'support': 33}; '1.0': {'precision': 0.5806451612903226; 'recall': 0.9473684210526315; 'f1-score': 0.72; 'support': 19}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.7665130568356375; 'recall': 0.7767145135566188; 'f1-score': 0.7303703703703703; 'support': 52}; 'weighted avg': {'precision': 0.8165544133286069; 'recall': 0.7307692307692307; 'f1-score': 0.7331623931623932; 'support': 52}}
l: 5,1,CNF,2,461,52,57,[8; 9],540,2.842915,0.903846,1,[X0 >= 15.056000],{'0.0': {'precision': 0.86875; 'recall': 0.9619377162629758; 'f1-score': 0.9129720853858785; 'support': 289}; '1.0': {'precision': 0.9219858156028369; 'recall': 0.7558139534883721; 'f1-score': 0.8306709265175719; 'support': 172}; 'accuracy': 0.8850325379609545; 'macro avg': {'precision': 0.8953679078014185; 'recall': 0.858875834875674; 'f1-score': 0.8718215059517251; 'support': 461}; 'weighted avg': {'precision': 0.8886123867325117; 'recall': 0.8850325379609545; 'f1-score': 0.8822653623373996; 'support': 461}},{'0.0': {'precision': 0.868421052631579; 'recall': 1.0; 'f1-score': 0.9295774647887324; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 0.7368421052631579; 'f1-score': 0.8484848484848484; 'support': 19}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9342105263157895; 'recall': 0.868421052631579; 'f1-score': 0.8890311566367903; 'support': 52}; 'weighted avg': {'precision': 0.9164979757085021; 'recall': 0.9038461538461539; 'f1-score': 0.8999474703700054; 'support': 52}}
l: 5,1,CNF,3,462,51,57,[8; 9],540,2.843730,0.764706,1,[X0 >= 13.370000],{'0.0': {'precision': 0.9439655172413793; 'recall': 0.7551724137931034; 'f1-score': 0.8390804597701148; 'support': 290}; '1.0': {'precision': 0.691304347826087; 'recall': 0.9244186046511628; 'f1-score': 0.7910447761194029; 'support': 172}; 'accuracy': 0.8181818181818182; 'macro avg': {'precision': 0.8176349325337331; 'recall': 0.8397955092221331; 'f1-score': 0.8150626179447589; 'support': 462}; 'weighted avg': {'precision': 0.849901185770751; 'recall': 0.8181818181818182; 'f1-score': 0.8211970450776419; 'support': 462}},{'0.0': {'precision': 0.9166666666666666; 'recall': 0.6875; 'f1-score': 0.7857142857142857; 'support': 32}; '1.0': {'precision': 0.6296296296296297; 'recall': 0.8947368421052632; 'f1-score': 0.7391304347826088; 'support': 19}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.7731481481481481; 'recall': 0.7911184210526316; 'f1-score': 0.7624223602484472; 'support': 51}; 'weighted avg': {'precision': 0.8097312999273784; 'recall': 0.7647058823529411; 'f1-score': 0.7683595177201316; 'support': 51}}
l: 5,1,CNF,4,462,51,57,[8; 9],540,2.719939,0.921569,2,[X0 >= 15.056000 OR X6 >= 0.111920],{'0.0': {'precision': 0.9310344827586207; 'recall': 0.9310344827586207; 'f1-score': 0.9310344827586207; 'support': 290}; '1.0': {'precision': 0.8837209302325582; 'recall': 0.8837209302325582; 'f1-score': 0.8837209302325582; 'support': 172}; 'accuracy': 0.9134199134199135; 'macro avg': {'precision': 0.9073777064955895; 'recall': 0.9073777064955895; 'f1-score': 0.9073777064955895; 'support': 462}; 'weighted avg': {'precision': 0.9134199134199135; 'recall': 0.9134199134199135; 'f1-score': 0.9134199134199135; 'support': 462}},{'0.0': {'precision': 1.0; 'recall': 0.875; 'f1-score': 0.9333333333333333; 'support': 32}; '1.0': {'precision': 0.8260869565217391; 'recall': 1.0; 'f1-score': 0.9047619047619047; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9130434782608696; 'recall': 0.9375; 'f1-score': 0.919047619047619; 'support': 51}; 'weighted avg': {'precision': 0.9352088661551577; 'recall': 0.9215686274509803; 'f1-score': 0.922689075630252; 'support': 51}}
l: 5,1,CNF,5,462,51,57,[8; 9],540,2.839703,0.882353,1,[X0 >= 15.056000],{'0.0': {'precision': 0.8695652173913043; 'recall': 0.9655172413793104; 'f1-score': 0.9150326797385621; 'support': 290}; '1.0': {'precision': 0.9285714285714286; 'recall': 0.7558139534883721; 'f1-score': 0.8333333333333334; 'support': 172}; 'accuracy': 0.8874458874458875; 'macro avg': {'precision': 0.8990683229813665; 'recall': 0.8606655974338413; 'f1-score': 0.8741830065359477; 'support': 462}; 'weighted avg': {'precision': 0.8915328977440778; 'recall': 0.8874458874458875; 'f1-score': 0.8846164728517669; 'support': 462}},{'0.0': {'precision': 0.8611111111111112; 'recall': 0.96875; 'f1-score': 0.911764705882353; 'support': 32}; '1.0': {'precision': 0.9333333333333333; 'recall': 0.7368421052631579; 'f1-score': 0.8235294117647058; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8972222222222223; 'recall': 0.852796052631579; 'f1-score': 0.8676470588235294; 'support': 51}; 'weighted avg': {'precision': 0.8880174291938998; 'recall': 0.8823529411764706; 'f1-score': 0.8788927335640139; 'support': 51}}
l: 5,1,CNF,6,462,51,57,[8; 9],540,2.755958,0.843137,1,[X20 >= 17.386000],{'0.0': {'precision': 0.8909657320872274; 'recall': 0.9862068965517241; 'f1-score': 0.9361702127659575; 'support': 290}; '1.0': {'precision': 0.9716312056737588; 'recall': 0.7965116279069767; 'f1-score': 0.8753993610223642; 'support': 172}; 'accuracy': 0.9155844155844156; 'macro avg': {'precision': 0.9312984688804931; 'recall': 0.8913592622293505; 'f1-score': 0.9057847868941609; 'support': 462}; 'weighted avg': {'precision': 0.9209970339419533; 'recall': 0.9155844155844156; 'f1-score': 0.913545566662282; 'support': 462}},{'0.0': {'precision': 0.8157894736842105; 'recall': 0.96875; 'f1-score': 0.8857142857142857; 'support': 32}; '1.0': {'precision': 0.9230769230769231; 'recall': 0.631578947368421; 'f1-score': 0.7499999999999999; 'support': 19}; 'accuracy': 0.8431372549019608; 'macro avg': {'precision': 0.8694331983805668; 'recall': 0.8001644736842105; 'f1-score': 0.8178571428571428; 'support': 51}; 'weighted avg': {'precision': 0.8557593077716916; 'recall': 0.8431372549019608; 'f1-score': 0.8351540616246499; 'support': 51}}
l: 5,1,CNF,7,462,51,57,[8; 9],540,2.539577,0.784314,1,[X6 >= 0.111920],{'0.0': {'precision': 0.8706624605678234; 'recall': 0.9517241379310345; 'f1-score': 0.9093904448105437; 'support': 290}; '1.0': {'precision': 0.903448275862069; 'recall': 0.7616279069767442; 'f1-score': 0.8264984227129337; 'support': 172}; 'accuracy': 0.8809523809523809; 'macro avg': {'precision': 0.8870553682149462; 'recall': 0.8566760224538894; 'f1-score': 0.8679444337617387; 'support': 462}; 'weighted avg': {'precision': 0.8828684350929538; 'recall': 0.8809523809523809; 'f1-score': 0.8785302114755027; 'support': 462}},{'0.0': {'precision': 0.7560975609756098; 'recall': 0.96875; 'f1-score': 0.8493150684931506; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.47368421052631576; 'f1-score': 0.6206896551724138; 'support': 19}; 'accuracy': 0.7843137254901961; 'macro avg': {'precision': 0.828048780487805; 'recall': 0.7212171052631579; 'f1-score': 0.7350023618327822; 'support': 51}; 'weighted avg': {'precision': 0.8097082735533238; 'recall': 0.7843137254901961; 'f1-score': 0.7641408949030722; 'support': 51}}
l: 5,1,CNF,8,462,51,57,[8; 9],540,2.573189,0.862745,2,[X0 >= 13.370000 OR X27 >= 0.150800],{'0.0': {'precision': 0.9813084112149533; 'recall': 0.7241379310344828; 'f1-score': 0.8333333333333333; 'support': 290}; '1.0': {'precision': 0.6774193548387096; 'recall': 0.9767441860465116; 'f1-score': 0.8; 'support': 172}; 'accuracy': 0.8181818181818182; 'macro avg': {'precision': 0.8293638830268315; 'recall': 0.8504410585404971; 'f1-score': 0.8166666666666667; 'support': 462}; 'weighted avg': {'precision': 0.8681722257242305; 'recall': 0.8181818181818182; 'f1-score': 0.8209235209235209; 'support': 462}},{'0.0': {'precision': 0.9629629629629629; 'recall': 0.8125; 'f1-score': 0.8813559322033898; 'support': 32}; '1.0': {'precision': 0.75; 'recall': 0.9473684210526315; 'f1-score': 0.8372093023255814; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8564814814814814; 'recall': 0.8799342105263157; 'f1-score': 0.8592826172644856; 'support': 51}; 'weighted avg': {'precision': 0.8836238198983296; 'recall': 0.8627450980392157; 'f1-score': 0.864909148523422; 'support': 51}}
l: 5,1,CNF,9,462,51,57,[8; 9],540,2.758648,0.705882,3,[X1 >= 18.840000 OR X22 >= 115.900000 OR X23 >= 781.180000],{'0.0': {'precision': 0.9826589595375722; 'recall': 0.5862068965517241; 'f1-score': 0.7343412526997839; 'support': 290}; '1.0': {'precision': 0.5847750865051903; 'recall': 0.9825581395348837; 'f1-score': 0.7331887201735359; 'support': 172}; 'accuracy': 0.7337662337662337; 'macro avg': {'precision': 0.7837170230213812; 'recall': 0.784382518043304; 'f1-score': 0.7337649864366599; 'support': 462}; 'weighted avg': {'precision': 0.8345290327809278; 'recall': 0.7337662337662337; 'f1-score': 0.7339121713263755; 'support': 462}},{'0.0': {'precision': 0.9473684210526315; 'recall': 0.5625; 'f1-score': 0.7058823529411765; 'support': 32}; '1.0': {'precision': 0.5625; 'recall': 0.9473684210526315; 'f1-score': 0.7058823529411765; 'support': 19}; 'accuracy': 0.7058823529411765; 'macro avg': {'precision': 0.7549342105263157; 'recall': 0.7549342105263157; 'f1-score': 0.7058823529411765; 'support': 51}; 'weighted avg': {'precision': 0.803986068111455; 'recall': 0.7058823529411765; 'f1-score': 0.7058823529411765; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 57}, (mean val acc cv) 0.818778 (+- 0.070635), (mean training time) 2.757368 (+- 0.111027)
