l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,605,68,75,[8; 9],6,1.303949,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
l: 5,1,CNF,1,605,68,75,[8; 9],6,1.228527,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
l: 5,1,CNF,2,605,68,75,[8; 9],6,1.323411,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
l: 5,1,CNF,3,606,67,75,[8; 9],6,1.354399,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,4,606,67,75,[8; 9],6,1.268242,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,5,606,67,75,[8; 9],6,1.280556,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,6,606,67,75,[8; 9],6,1.262230,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,7,606,67,75,[8; 9],6,1.267035,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,8,606,67,75,[8; 9],6,1.265483,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
l: 5,1,CNF,9,606,67,75,[8; 9],6,1.274401,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 75}, (mean val acc cv) 0.762248 (+- 0.001609), (mean training time) 1.282823 (+- 0.033805)
