l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.420558,0.641509,4,[X0 < 23.000000 OR X2 >= 2.000000 OR X6 >= 192.000000 OR X8 < 3.000000],{'0.0': {'precision': 0.37894736842105264; 'recall': 0.5373134328358209; 'f1-score': 0.4444444444444444; 'support': 134}; '1.0': {'precision': 0.7769784172661871; 'recall': 0.6467065868263473; 'f1-score': 0.7058823529411765; 'support': 334}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5779628928436199; 'recall': 0.5920100098310841; 'f1-score': 0.5751633986928104; 'support': 468}; 'weighted avg': {'precision': 0.6630122622549733; 'recall': 0.6153846153846154; 'f1-score': 0.6310261996536507; 'support': 468}},{'0.0': {'precision': 0.35714285714285715; 'recall': 0.3333333333333333; 'f1-score': 0.3448275862068965; 'support': 15}; '1.0': {'precision': 0.7435897435897436; 'recall': 0.7631578947368421; 'f1-score': 0.7532467532467534; 'support': 38}; 'accuracy': 0.6415094339622641; 'macro avg': {'precision': 0.5503663003663004; 'recall': 0.5482456140350878; 'f1-score': 0.5490371697268249; 'support': 53}; 'weighted avg': {'precision': 0.634217983274587; 'recall': 0.6415094339622641; 'f1-score': 0.6376564229524542; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],158,1.537184,0.461538,3,[X0 >= 49.000000 OR X0 < 31.000000 OR X2 < 0.700000],{'0.0': {'precision': 0.25766871165644173; 'recall': 0.3111111111111111; 'f1-score': 0.28187919463087246; 'support': 135}; '1.0': {'precision': 0.696078431372549; 'recall': 0.6377245508982036; 'f1-score': 0.6656249999999999; 'support': 334}; 'accuracy': 0.5437100213219617; 'macro avg': {'precision': 0.4768735715144954; 'recall': 0.47441783100465734; 'f1-score': 0.4737520973154362; 'support': 469}; 'weighted avg': {'precision': 0.5698837359318785; 'recall': 0.5437100213219617; 'f1-score': 0.5551651199896968; 'support': 469}},{'0.0': {'precision': 0.20833333333333334; 'recall': 0.35714285714285715; 'f1-score': 0.2631578947368421; 'support': 14}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.5; 'f1-score': 0.5757575757575758; 'support': 38}; 'accuracy': 0.46153846153846156; 'macro avg': {'precision': 0.443452380952381; 'recall': 0.4285714285714286; 'f1-score': 0.419457735247209; 'support': 52}; 'weighted avg': {'precision': 0.5519688644688645; 'recall': 0.46153846153846156; 'f1-score': 0.49159612317507057; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],158,1.573928,0.730769,3,[X5 >= 74.000000 OR X6 >= 192.000000 OR X9 < 1.200000],{'0.0': {'precision': 0.43209876543209874; 'recall': 0.26119402985074625; 'f1-score': 0.32558139534883723; 'support': 134}; '1.0': {'precision': 0.7448453608247423; 'recall': 0.8626865671641791; 'f1-score': 0.7994467496542185; 'support': 335}; 'accuracy': 0.6908315565031983; 'macro avg': {'precision': 0.5884720631284205; 'recall': 0.5619402985074626; 'f1-score': 0.5625140725015279; 'support': 469}; 'weighted avg': {'precision': 0.6554891907125584; 'recall': 0.6908315565031983; 'f1-score': 0.6640566484241096; 'support': 469}},{'0.0': {'precision': 0.5555555555555556; 'recall': 0.3333333333333333; 'f1-score': 0.4166666666666667; 'support': 15}; '1.0': {'precision': 0.7674418604651163; 'recall': 0.8918918918918919; 'f1-score': 0.825; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.661498708010336; 'recall': 0.6126126126126126; 'f1-score': 0.6208333333333333; 'support': 52}; 'weighted avg': {'precision': 0.7063208109719739; 'recall': 0.7307692307692307; 'f1-score': 0.7072115384615384; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],158,1.684300,0.557692,2,[X0 >= 66.000000 OR X3 >= 0.600000],{'0.0': {'precision': 0.41935483870967744; 'recall': 0.7761194029850746; 'f1-score': 0.544502617801047; 'support': 134}; '1.0': {'precision': 0.8642533936651584; 'recall': 0.5701492537313433; 'f1-score': 0.6870503597122302; 'support': 335}; 'accuracy': 0.6289978678038379; 'macro avg': {'precision': 0.641804116187418; 'recall': 0.673134328358209; 'f1-score': 0.6157764887566386; 'support': 469}; 'weighted avg': {'precision': 0.7371395208207353; 'recall': 0.6289978678038379; 'f1-score': 0.6463224334518921; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.8; 'f1-score': 0.5106382978723405; 'support': 15}; '1.0': {'precision': 0.85; 'recall': 0.4594594594594595; 'f1-score': 0.5964912280701754; 'support': 37}; 'accuracy': 0.5576923076923077; 'macro avg': {'precision': 0.6125; 'recall': 0.6297297297297297; 'f1-score': 0.5535647629712579; 'support': 52}; 'weighted avg': {'precision': 0.7129807692307693; 'recall': 0.5576923076923077; 'f1-score': 0.5717259597438769; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],158,1.723889,0.692308,2,[X5 >= 30.000000 OR X7 < 6.200000],{'0.0': {'precision': 0.39166666666666666; 'recall': 0.35074626865671643; 'f1-score': 0.3700787401574804; 'support': 134}; '1.0': {'precision': 0.7507163323782235; 'recall': 0.7820895522388059; 'f1-score': 0.7660818713450291; 'support': 335}; 'accuracy': 0.6588486140724946; 'macro avg': {'precision': 0.5711914995224451; 'recall': 0.5664179104477611; 'f1-score': 0.5680803057512548; 'support': 469}; 'weighted avg': {'precision': 0.648130713603493; 'recall': 0.6588486140724946; 'f1-score': 0.6529381195771582; 'support': 469}},{'0.0': {'precision': 0.47058823529411764; 'recall': 0.5333333333333333; 'f1-score': 0.5; 'support': 15}; '1.0': {'precision': 0.8; 'recall': 0.7567567567567568; 'f1-score': 0.7777777777777778; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6352941176470588; 'recall': 0.6450450450450451; 'f1-score': 0.6388888888888888; 'support': 52}; 'weighted avg': {'precision': 0.7049773755656108; 'recall': 0.6923076923076923; 'f1-score': 0.6976495726495726; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],158,1.723200,0.596154,4,[X3 < 0.200000 OR X4 >= 208.000000 OR X4 < 150.000000 OR X7 < 5.600000],{'0.0': {'precision': 0.456; 'recall': 0.4253731343283582; 'f1-score': 0.44015444015444016; 'support': 134}; '1.0': {'precision': 0.7761627906976745; 'recall': 0.7970149253731343; 'f1-score': 0.7864506627393226; 'support': 335}; 'accuracy': 0.6908315565031983; 'macro avg': {'precision': 0.6160813953488372; 'recall': 0.6111940298507463; 'f1-score': 0.6133025514468814; 'support': 469}; 'weighted avg': {'precision': 0.684687707641196; 'recall': 0.6908315565031983; 'f1-score': 0.6875088848579277; 'support': 469}},{'0.0': {'precision': 0.35; 'recall': 0.4666666666666667; 'f1-score': 0.4; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.6486486486486487; 'f1-score': 0.6956521739130435; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.55; 'recall': 0.5576576576576577; 'f1-score': 0.5478260869565217; 'support': 52}; 'weighted avg': {'precision': 0.6346153846153846; 'recall': 0.5961538461538461; 'f1-score': 0.6103678929765887; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],158,1.789990,0.673077,2,[X1 OR X3 >= 0.600000],{'0.0': {'precision': 0.4111111111111111; 'recall': 0.27611940298507465; 'f1-score': 0.3303571428571429; 'support': 134}; '1.0': {'precision': 0.7440633245382586; 'recall': 0.8417910447761194; 'f1-score': 0.7899159663865546; 'support': 335}; 'accuracy': 0.6801705756929638; 'macro avg': {'precision': 0.5775872178246848; 'recall': 0.558955223880597; 'f1-score': 0.5601365546218487; 'support': 469}; 'weighted avg': {'precision': 0.6489341207019308; 'recall': 0.6801705756929638; 'f1-score': 0.6586134453781513; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.26666666666666666; 'f1-score': 0.32; 'support': 15}; '1.0': {'precision': 0.7380952380952381; 'recall': 0.8378378378378378; 'f1-score': 0.7848101265822786; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.569047619047619; 'recall': 0.5522522522522523; 'f1-score': 0.5524050632911393; 'support': 52}; 'weighted avg': {'precision': 0.6405677655677656; 'recall': 0.6730769230769231; 'f1-score': 0.650730282375852; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],158,1.744468,0.730769,4,[X0 >= 66.000000 OR X0 < 35.000000 OR X2 >= 0.900000 OR X8 < 3.100000],{'0.0': {'precision': 0.425531914893617; 'recall': 0.14925373134328357; 'f1-score': 0.22099447513812157; 'support': 134}; '1.0': {'precision': 0.7298578199052133; 'recall': 0.9194029850746268; 'f1-score': 0.8137384412153236; 'support': 335}; 'accuracy': 0.6993603411513859; 'macro avg': {'precision': 0.5776948673994151; 'recall': 0.5343283582089552; 'f1-score': 0.5173664581767226; 'support': 469}; 'weighted avg': {'precision': 0.6429075613304714; 'recall': 0.6993603411513859; 'f1-score': 0.644383022336123; 'support': 469}},{'0.0': {'precision': 0.5454545454545454; 'recall': 0.4; 'f1-score': 0.4615384615384615; 'support': 15}; '1.0': {'precision': 0.7804878048780488; 'recall': 0.8648648648648649; 'f1-score': 0.8205128205128206; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6629711751662971; 'recall': 0.6324324324324324; 'f1-score': 0.6410256410256411; 'support': 52}; 'weighted avg': {'precision': 0.7126897492751152; 'recall': 0.7307692307692307; 'f1-score': 0.7169625246548323; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],158,1.723145,0.673077,3,[X0 >= 35.000000 OR X6 >= 105.000000 OR X9 < 0.546000],{'0.0': {'precision': 0.4205607476635514; 'recall': 0.3358208955223881; 'f1-score': 0.3734439834024897; 'support': 134}; '1.0': {'precision': 0.7541436464088398; 'recall': 0.8149253731343283; 'f1-score': 0.7833572453371592; 'support': 335}; 'accuracy': 0.6780383795309168; 'macro avg': {'precision': 0.5873521970361956; 'recall': 0.5753731343283582; 'f1-score': 0.5784006143698245; 'support': 469}; 'weighted avg': {'precision': 0.6588342467673289; 'recall': 0.6780383795309168; 'f1-score': 0.6662391704986822; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.2; 'f1-score': 0.26086956521739135; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8648648648648649; 'f1-score': 0.7901234567901235; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5511363636363636; 'recall': 0.5324324324324324; 'f1-score': 0.5254965110037575; 'support': 52}; 'weighted avg': {'precision': 0.6256555944055944; 'recall': 0.6730769230769231; 'f1-score': 0.6374540649902969; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],158,1.759001,0.634615,2,[X4 >= 167.600000 OR X6 >= 105.000000],{'0.0': {'precision': 0.5194805194805194; 'recall': 0.29850746268656714; 'f1-score': 0.3791469194312796; 'support': 134}; '1.0': {'precision': 0.7602040816326531; 'recall': 0.8895522388059701; 'f1-score': 0.8198074277854196; 'support': 335}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6398423005565863; 'recall': 0.5940298507462687; 'f1-score': 0.5994771736083496; 'support': 469}; 'weighted avg': {'precision': 0.6914259210177577; 'recall': 0.720682302771855; 'f1-score': 0.6939044253985225; 'support': 469}},{'0.0': {'precision': 0.35714285714285715; 'recall': 0.3333333333333333; 'f1-score': 0.3448275862068965; 'support': 15}; '1.0': {'precision': 0.7368421052631579; 'recall': 0.7567567567567568; 'f1-score': 0.7466666666666667; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5469924812030075; 'recall': 0.545045045045045; 'f1-score': 0.5457471264367816; 'support': 52}; 'weighted avg': {'precision': 0.6273134759976865; 'recall': 0.6346153846153846; 'f1-score': 0.6307515473032714; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.639151 (+- 0.078722), (mean training time) 1.667966 (+- 0.112106)
