lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,1,[26374; 26374],296,1058.750540,0.825316,5,[X4 >= 14.500000 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 10],{'0': {'precision': 0.8211628200277462; 'recall': 0.9755281426359687; 'f1-score': 0.8917142204976032; 'support': 20023}; '1': {'precision': 0.8105914186316197; 'recall': 0.33018422295701466; 'f1-score': 0.4692324904900425; 'support': 6351}; 'accuracy': 0.8201258815500114; 'macro avg': {'precision': 0.815877119329683; 'recall': 0.6528561827964916; 'f1-score': 0.6804733554938228; 'support': 26374}; 'weighted avg': {'precision': 0.8186171701351702; 'recall': 0.8201258815500114; 'f1-score': 0.7899783644546057; 'support': 26374}},{'0': {'precision': 0.8262857142857143; 'recall': 0.9748314606741573; 'f1-score': 0.8944329896907217; 'support': 2225}; '1': {'precision': 0.8169934640522876; 'recall': 0.35410764872521244; 'f1-score': 0.4940711462450593; 'support': 706}; 'accuracy': 0.8253155919481405; 'macro avg': {'precision': 0.8216395891690009; 'recall': 0.6644695546996848; 'f1-score': 0.6942520679678905; 'support': 2931}; 'weighted avg': {'precision': 0.8240474581735343; 'recall': 0.8253155919481405; 'f1-score': 0.7979964624056184; 'support': 2931}}
5,1,CNF,1,26374,2931,1,[26374; 26374],296,1044.453995,0.826680,5,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8221538720822449; 'recall': 0.9745292913149878; 'f1-score': 0.8918801563178463; 'support': 20023}; '1': {'precision': 0.8068181818181818; 'recall': 0.3353802550779405; 'f1-score': 0.4738071404738071; 'support': 6351}; 'accuracy': 0.8206187912337909; 'macro avg': {'precision': 0.8144860269502133; 'recall': 0.6549547731964641; 'f1-score': 0.6828436483958267; 'support': 26374}; 'weighted avg': {'precision': 0.8184609559956799; 'recall': 0.8206187912337909; 'f1-score': 0.7912059421817466; 'support': 26374}},{'0': {'precision': 0.8288012255840674; 'recall': 0.9725842696629213; 'f1-score': 0.8949545078577337; 'support': 2225}; '1': {'precision': 0.809375; 'recall': 0.3668555240793201; 'f1-score': 0.5048732943469786; 'support': 706}; 'accuracy': 0.8266803138860457; 'macro avg': {'precision': 0.8190881127920338; 'recall': 0.6697198968711207; 'f1-score': 0.6999139011023561; 'support': 2931}; 'weighted avg': {'precision': 0.824121964150307; 'recall': 0.8266803138860457; 'f1-score': 0.8009943110857811; 'support': 2931}}
5,1,CNF,2,26374,2931,1,[26374; 26374],296,1040.025951,0.821221,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1],{'0': {'precision': 0.8226935402260077; 'recall': 0.9744294061828896; 'f1-score': 0.8921557420151351; 'support': 20023}; '1': {'precision': 0.8073739653875094; 'recall': 0.3378995433789954; 'f1-score': 0.4764124764124763; 'support': 6351}; 'accuracy': 0.8211496170470919; 'macro avg': {'precision': 0.8150337528067586; 'recall': 0.6561644747809425; 'f1-score': 0.6842841092138057; 'support': 26374}; 'weighted avg': {'precision': 0.8190045048199525; 'recall': 0.8211496170470919; 'f1-score': 0.7920425441747436; 'support': 26374}},{'0': {'precision': 0.8230155715913406; 'recall': 0.9739325842696629; 'f1-score': 0.892136681762042; 'support': 2225}; '1': {'precision': 0.8053691275167785; 'recall': 0.33994334277620397; 'f1-score': 0.4780876494023904; 'support': 706}; 'accuracy': 0.8212214261344251; 'macro avg': {'precision': 0.8141923495540595; 'recall': 0.6569379635229334; 'f1-score': 0.6851121655822162; 'support': 2931}; 'weighted avg': {'precision': 0.8187650122202589; 'recall': 0.8212214261344251; 'f1-score': 0.7924032744451147; 'support': 2931}}
5,1,CNF,3,26374,2931,1,[26374; 26374],296,1181.102717,0.816104,6,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 10],{'0': {'precision': 0.8233903314333967; 'recall': 0.9739799230884483; 'f1-score': 0.8923766816143499; 'support': 20023}; '1': {'precision': 0.8062476757158795; 'recall': 0.341363564792946; 'f1-score': 0.4796460176991151; 'support': 6351}; 'accuracy': 0.8216425267308713; 'macro avg': {'precision': 0.8148190035746381; 'recall': 0.6576717439406972; 'f1-score': 0.6860113496567325; 'support': 26374}; 'weighted avg': {'precision': 0.8192622884189903; 'recall': 0.8216425267308713; 'f1-score': 0.7929889343433384; 'support': 26374}},{'0': {'precision': 0.8193181818181818; 'recall': 0.9721348314606741; 'f1-score': 0.8892086330935252; 'support': 2225}; '1': {'precision': 0.7869415807560137; 'recall': 0.3243626062322946; 'f1-score': 0.4593781344032096; 'support': 706}; 'accuracy': 0.8161037188672808; 'macro avg': {'precision': 0.8031298812870977; 'recall': 0.6482487188464844; 'f1-score': 0.6742933837483673; 'support': 2931}; 'weighted avg': {'precision': 0.8115195191263052; 'recall': 0.8161037188672808; 'f1-score': 0.7856738899767176; 'support': 2931}}
5,1,CNF,4,26374,2931,1,[26374; 26374],296,1186.024650,0.822586,5,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8214691165958878; 'recall': 0.9757279129001648; 'f1-score': 0.891978267817194; 'support': 20023}; '1': {'precision': 0.8124276341181011; 'recall': 0.33144386710754214; 'f1-score': 0.47081189890404834; 'support': 6351}; 'accuracy': 0.8205808751042694; 'macro avg': {'precision': 0.8169483753569945; 'recall': 0.6535858900038535; 'f1-score': 0.6813950833606212; 'support': 26374}; 'weighted avg': {'precision': 0.8192918793464594; 'recall': 0.8205808751042694; 'f1-score': 0.7905591577479065; 'support': 26374}},{'0': {'precision': 0.8218195545488863; 'recall': 0.9784269662921349; 'f1-score': 0.8933114485022569; 'support': 2225}; '1': {'precision': 0.8297872340425532; 'recall': 0.3314447592067989; 'f1-score': 0.47368421052631576; 'support': 706}; 'accuracy': 0.8225861480723302; 'macro avg': {'precision': 0.8258033942957197; 'recall': 0.6549358627494669; 'f1-score': 0.6834978295142863; 'support': 2931}; 'weighted avg': {'precision': 0.8237387567742459; 'recall': 0.8225861480723302; 'f1-score': 0.7922343997096896; 'support': 2931}}
5,1,CNF,5,26375,2930,1,[26375; 26375],296,1171.059756,0.816041,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8231275303643725; 'recall': 0.974779004145233; 'f1-score': 0.8925574482679777; 'support': 20023}; '1': {'precision': 0.8103642508449117; 'recall': 0.339735516372796; 'f1-score': 0.4787576261785913; 'support': 6352}; 'accuracy': 0.8218388625592417; 'macro avg': {'precision': 0.8167458906046421; 'recall': 0.6572572602590145; 'f1-score': 0.6856575372232845; 'support': 26375}; 'weighted avg': {'precision': 0.8200536971318564; 'recall': 0.8218388625592417; 'f1-score': 0.7929003309253508; 'support': 26375}},{'0': {'precision': 0.8178733031674208; 'recall': 0.9748314606741573; 'f1-score': 0.8894812384662701; 'support': 2225}; '1': {'precision': 0.7985611510791367; 'recall': 0.3148936170212766; 'f1-score': 0.4516785350966429; 'support': 705}; 'accuracy': 0.8160409556313993; 'macro avg': {'precision': 0.8082172271232788; 'recall': 0.6448625388477169; 'f1-score': 0.6705798867814565; 'support': 2930}; 'weighted avg': {'precision': 0.8132265225454958; 'recall': 0.8160409556313993; 'f1-score': 0.7841396323653871; 'support': 2930}}
5,1,CNF,6,26375,2930,1,[26375; 26375],296,1041.877829,0.816041,7,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1 OR X13 == 10],{'0': {'precision': 0.8238328822733424; 'recall': 0.9729810717674674; 'f1-score': 0.8922168029126881; 'support': 20023}; '1': {'precision': 0.8016134946828016; 'recall': 0.34414357682619645; 'f1-score': 0.4815508315893821; 'support': 6352}; 'accuracy': 0.8215355450236966; 'macro avg': {'precision': 0.812723188478072; 'recall': 0.6585623242968319; 'f1-score': 0.6868838172510351; 'support': 26375}; 'weighted avg': {'precision': 0.8184816955444282; 'recall': 0.8215355450236966; 'f1-score': 0.7933144237716212; 'support': 26375}},{'0': {'precision': 0.816679188580015; 'recall': 0.9770786516853932; 'f1-score': 0.8897073869449559; 'support': 2225}; '1': {'precision': 0.8097014925373134; 'recall': 0.3078014184397163; 'f1-score': 0.44604316546762585; 'support': 705}; 'accuracy': 0.8160409556313993; 'macro avg': {'precision': 0.8131903405586642; 'recall': 0.6424400350625548; 'f1-score': 0.6678752762062908; 'support': 2930}; 'weighted avg': {'precision': 0.8150002548905596; 'recall': 0.8160409556313993; 'f1-score': 0.7829554155655983; 'support': 2930}}
5,1,CNF,7,26375,2930,1,[26375; 26375],296,1022.332636,0.818089,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 10],{'0': {'precision': 0.8229711489792475; 'recall': 0.9744294061828896; 'f1-score': 0.8923189499439755; 'support': 20023}; '1': {'precision': 0.808023997000375; 'recall': 0.3392632241813602; 'f1-score': 0.4778800310455705; 'support': 6352}; 'accuracy': 0.8214597156398105; 'macro avg': {'precision': 0.8154975729898113; 'recall': 0.6568463151821249; 'f1-score': 0.685099490494773; 'support': 26375}; 'weighted avg': {'precision': 0.8193713647377386; 'recall': 0.8214597156398105; 'f1-score': 0.7925079162816943; 'support': 26375}},{'0': {'precision': 0.8209408194233687; 'recall': 0.9725842696629213; 'f1-score': 0.8903517794692449; 'support': 2225}; '1': {'precision': 0.7925170068027211; 'recall': 0.3304964539007092; 'f1-score': 0.46646646646646645; 'support': 705}; 'accuracy': 0.8180887372013652; 'macro avg': {'precision': 0.8067289131130448; 'recall': 0.6515403617818153; 'f1-score': 0.6784091229678557; 'support': 2930}; 'weighted avg': {'precision': 0.8141016426665234; 'recall': 0.8180887372013652; 'f1-score': 0.7883588969890543; 'support': 2930}}
5,1,CNF,8,26375,2930,1,[26375; 26375],296,1022.602607,0.816041,6,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1 OR X13 == 10],{'0': {'precision': 0.8233555686903656; 'recall': 0.9739312824610468; 'f1-score': 0.8923358499199269; 'support': 20024}; '1': {'precision': 0.8058757902566009; 'recall': 0.34120610927413003; 'f1-score': 0.4794247787610618; 'support': 6351}; 'accuracy': 0.8215734597156398; 'macro avg': {'precision': 0.8146156794734833; 'recall': 0.6575686958675884; 'f1-score': 0.6858803143404943; 'support': 26375}; 'weighted avg': {'precision': 0.8191465043175566; 'recall': 0.8215734597156398; 'f1-score': 0.7929084295244784; 'support': 26375}},{'0': {'precision': 0.8187665531592887; 'recall': 0.9730215827338129; 'f1-score': 0.8892541606739265; 'support': 2224}; '1': {'precision': 0.7909407665505227; 'recall': 0.32152974504249293; 'f1-score': 0.4572004028197382; 'support': 706}; 'accuracy': 0.8160409556313993; 'macro avg': {'precision': 0.8048536598549056; 'recall': 0.6472756638881529; 'f1-score': 0.6732272817468323; 'support': 2930}; 'weighted avg': {'precision': 0.8120617731777908; 'recall': 0.8160409556313993; 'f1-score': 0.7851483746517228; 'support': 2930}}
5,1,CNF,9,26375,2930,1,[26375; 26375],296,1037.704673,0.828669,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8217984339479667; 'recall': 0.9748801438274071; 'f1-score': 0.8918178080314313; 'support': 20024}; '1': {'precision': 0.8080885158336513; 'recall': 0.3334907888521493; 'f1-score': 0.47213553276861353; 'support': 6351}; 'accuracy': 0.820436018957346; 'macro avg': {'precision': 0.814943474890809; 'recall': 0.6541854663397781; 'f1-score': 0.6819766704000224; 'support': 26375}; 'weighted avg': {'precision': 0.8184971376467718; 'recall': 0.820436018957346; 'f1-score': 0.7907599073605629; 'support': 26375}},{'0': {'precision': 0.8298850574712644; 'recall': 0.9739208633093526; 'f1-score': 0.8961522548613985; 'support': 2224}; '1': {'precision': 0.81875; 'recall': 0.37110481586402266; 'f1-score': 0.5107212475633528; 'support': 706}; 'accuracy': 0.8286689419795222; 'macro avg': {'precision': 0.8243175287356321; 'recall': 0.6725128395866876; 'f1-score': 0.7034367512123756; 'support': 2930}; 'weighted avg': {'precision': 0.8272020026676082; 'recall': 0.8286689419795222; 'f1-score': 0.8032804831370229; 'support': 2930}}
5,1,DNF,0,26374,2931,1,[26374; 26374],296,1021.399587,0.804845,41,[X0 < 61.500000 AND X0 >= 29.500000 AND X3 != 7 AND X3 != 8 AND X3 != 11 AND X3 != 15 AND X4 >= 8.500000 AND X6 != 0 AND X6 != 1 AND X6 != 3 AND X6 != 5 AND X6 != 6 AND X6 != 7 AND X6 != 8 AND X6 != 11 AND X6 != 14 AND X7 == 0 AND X8 != 0 AND X8 != 2 AND X8 != 3 AND X11 < 1978.500000 AND X12 < 65.500000 AND X12 >= 34.500000 AND X13 != 0 AND X13 != 2 AND X13 != 3 AND X13 != 4 AND X13 != 7 AND X13 != 9 AND X13 != 11 AND X13 != 12 AND X13 != 17 AND X13 != 19 AND X13 != 20 AND X13 != 22 AND X13 != 23 AND X13 != 24 AND X13 != 31 AND X13 != 35 AND X13 != 40 AND X13 != 41],{'0': {'precision': 0.8032131789267656; 'recall': 0.9837686660340609; 'f1-score': 0.8843693177991784; 'support': 20023}; '1': {'precision': 0.8243243243243243; 'recall': 0.2401196661943001; 'f1-score': 0.37190586513839774; 'support': 6351}; 'accuracy': 0.8046940168347615; 'macro avg': {'precision': 0.813768751625545; 'recall': 0.6119441661141805; 'f1-score': 0.6281375914687881; 'support': 26374}; 'weighted avg': {'precision': 0.8082968554422693; 'recall': 0.8046940168347615; 'f1-score': 0.7609653825656674; 'support': 26374}},{'0': {'precision': 0.8046443051971987; 'recall': 0.981123595505618; 'f1-score': 0.8841636289995949; 'support': 2225}; '1': {'precision': 0.8073394495412844; 'recall': 0.24929178470254956; 'f1-score': 0.380952380952381; 'support': 706}; 'accuracy': 0.8048447628795633; 'macro avg': {'precision': 0.8059918773692416; 'recall': 0.6152076901040838; 'f1-score': 0.6325580049759879; 'support': 2931}; 'weighted avg': {'precision': 0.805293493838251; 'recall': 0.8048447628795633; 'f1-score': 0.7629534136733127; 'support': 2931}}
