l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],262,109.907713,0.749232,5,[X3 == 9 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X6 == 11],{'0': {'precision': 0.8425615356829558; 'recall': 0.8154622184487839; 'f1-score': 0.8287904167301151; 'support': 20023}; '1': {'precision': 0.47176554681915656; 'recall': 0.5196032120925839; 'f1-score': 0.4945301963135022; 'support': 6351}; 'accuracy': 0.7442177902479715; 'macro avg': {'precision': 0.6571635412510561; 'recall': 0.6675327152706838; 'f1-score': 0.6616603065218086; 'support': 26374}; 'weighted avg': {'precision': 0.7532718820364104; 'recall': 0.7442177902479715; 'f1-score': 0.7482987711751782; 'support': 26374}},{'0': {'precision': 0.8433179723502304; 'recall': 0.8224719101123595; 'f1-score': 0.832764505119454; 'support': 2225}; '1': {'precision': 0.480946123521682; 'recall': 0.5184135977337111; 'f1-score': 0.49897750511247446; 'support': 706}; 'accuracy': 0.7492323439099283; 'macro avg': {'precision': 0.6621320479359563; 'recall': 0.6704427539230353; 'f1-score': 0.6658710051159642; 'support': 2931}; 'weighted avg': {'precision': 0.7560322250718424; 'recall': 0.7492323439099283; 'f1-score': 0.7523640881952207; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],262,115.634707,0.729103,3,[X1 == 2 OR X3 == 10 OR X6 == 4],{'0': {'precision': 0.806433435078657; 'recall': 0.8576636867602258; 'f1-score': 0.8312599835422818; 'support': 20023}; '1': {'precision': 0.4388659184878913; 'recall': 0.350968351440718; 'f1-score': 0.3900262467191601; 'support': 6351}; 'accuracy': 0.7356487449761129; 'macro avg': {'precision': 0.6226496767832741; 'recall': 0.6043160191004718; 'f1-score': 0.610643115130721; 'support': 26374}; 'weighted avg': {'precision': 0.7179212147909512; 'recall': 0.7356487449761129; 'f1-score': 0.7250085441488017; 'support': 26374}},{'0': {'precision': 0.8022813688212928; 'recall': 0.8534831460674157; 'f1-score': 0.8270905923344947; 'support': 2225}; '1': {'precision': 0.4219858156028369; 'recall': 0.3371104815864023; 'f1-score': 0.3748031496062992; 'support': 706}; 'accuracy': 0.7291026953258274; 'macro avg': {'precision': 0.6121335922120648; 'recall': 0.595296813826909; 'f1-score': 0.6009468709703969; 'support': 2931}; 'weighted avg': {'precision': 0.7106782775308697; 'recall': 0.7291026953258274; 'f1-score': 0.7181465682587165; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],262,107.978514,0.754691,5,[X1 == 2 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 41],{'0': {'precision': 0.7958780969085727; 'recall': 0.9064575737901414; 'f1-score': 0.8475763519193051; 'support': 20023}; '1': {'precision': 0.47520313813393106; 'recall': 0.2670445599118249; 'f1-score': 0.3419354838709677; 'support': 6351}; 'accuracy': 0.7524835064836581; 'macro avg': {'precision': 0.6355406175212519; 'recall': 0.5867510668509831; 'f1-score': 0.5947559178951365; 'support': 26374}; 'weighted avg': {'precision': 0.7186578548831783; 'recall': 0.7524835064836581; 'f1-score': 0.7258153314834597; 'support': 26374}},{'0': {'precision': 0.7995226730310262; 'recall': 0.903370786516854; 'f1-score': 0.8482802278961806; 'support': 2225}; '1': {'precision': 0.4844124700239808; 'recall': 0.28611898016997167; 'f1-score': 0.3597506678539626; 'support': 706}; 'accuracy': 0.754691231661549; 'macro avg': {'precision': 0.6419675715275035; 'recall': 0.5947448833434128; 'f1-score': 0.6040154478750717; 'support': 2931}; 'weighted avg': {'precision': 0.7236210001129184; 'recall': 0.754691231661549; 'f1-score': 0.7306064410009893; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],262,106.554769,0.648584,4,[X0 >= 50.000000 OR X2 >= 329054.000000 OR X3 == 10 OR X3 == 12],{'0': {'precision': 0.8057192374350086; 'recall': 0.6965489686860111; 'f1-score': 0.7471673854230841; 'support': 20023}; '1': {'precision': 0.3296557811120918; 'recall': 0.4704770902220123; 'f1-score': 0.38767434317223487; 'support': 6351}; 'accuracy': 0.6421096534465762; 'macro avg': {'precision': 0.5676875092735503; 'recall': 0.5835130294540117; 'f1-score': 0.5674208642976595; 'support': 26374}; 'weighted avg': {'precision': 0.6910806156443495; 'recall': 0.6421096534465762; 'f1-score': 0.6605995416627465; 'support': 26374}},{'0': {'precision': 0.8100674623767514; 'recall': 0.7015730337078652; 'f1-score': 0.751926782273603; 'support': 2225}; '1': {'precision': 0.3386454183266932; 'recall': 0.48158640226628896; 'f1-score': 0.39766081871345027; 'support': 706}; 'accuracy': 0.6485841009894234; 'macro avg': {'precision': 0.5743564403517223; 'recall': 0.5915797179870771; 'f1-score': 0.5747938004935267; 'support': 2931}; 'weighted avg': {'precision': 0.6965144214012001; 'recall': 0.6485841009894234; 'f1-score': 0.6665935273184792; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],262,104.311151,0.609690,5,[X2 < 65716.000000 OR X3 == 10 OR X3 == 12 OR X3 == 14 OR X3 == 15],{'0': {'precision': 0.7865304395139351; 'recall': 0.6497527842980573; 'f1-score': 0.7116289246253145; 'support': 20023}; '1': {'precision': 0.2867893826909387; 'recall': 0.4440245630609353; 'f1-score': 0.34849233811171526; 'support': 6351}; 'accuracy': 0.6002123303253204; 'macro avg': {'precision': 0.5366599111024368; 'recall': 0.5468886736794962; 'f1-score': 0.5300606313685149; 'support': 26374}; 'weighted avg': {'precision': 0.666190125117831; 'recall': 0.6002123303253204; 'f1-score': 0.6241836959551139; 'support': 26374}},{'0': {'precision': 0.7904352498656636; 'recall': 0.661123595505618; 'f1-score': 0.720019579050416; 'support': 2225}; '1': {'precision': 0.2953271028037383; 'recall': 0.4475920679886686; 'f1-score': 0.35585585585585583; 'support': 706}; 'accuracy': 0.6096895257591266; 'macro avg': {'precision': 0.542881176334701; 'recall': 0.5543578317471433; 'f1-score': 0.5379377174531359; 'support': 2931}; 'weighted avg': {'precision': 0.6711768562028457; 'recall': 0.6096895257591266; 'f1-score': 0.6323022168616206; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],262,111.750374,0.680205,3,[X1 == 5 OR X1 == 6 OR X6 == 3],{'0': {'precision': 0.775830258302583; 'recall': 0.7980322628976677; 'f1-score': 0.7867746621039416; 'support': 20023}; '1': {'precision': 0.30022495241391245; 'recall': 0.27314231738035266; 'f1-score': 0.2860440194542907; 'support': 6352}; 'accuracy': 0.6716208530805687; 'macro avg': {'precision': 0.5380276053582478; 'recall': 0.5355872901390102; 'f1-score': 0.5364093407791162; 'support': 26375}; 'weighted avg': {'precision': 0.6612882714587979; 'recall': 0.6716208530805687; 'f1-score': 0.6661816368106493; 'support': 26375}},{'0': {'precision': 0.7783059636992221; 'recall': 0.809438202247191; 'f1-score': 0.7935668649482265; 'support': 2225}; '1': {'precision': 0.3116883116883117; 'recall': 0.2723404255319149; 'f1-score': 0.29068887206661614; 'support': 705}; 'accuracy': 0.6802047781569965; 'macro avg': {'precision': 0.5449971376937669; 'recall': 0.540889313889553; 'f1-score': 0.5421278685074213; 'support': 2930}; 'weighted avg': {'precision': 0.666031067908201; 'recall': 0.6802047781569965; 'f1-score': 0.6725672113709107; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],262,126.397182,0.652560,5,[X0 >= 45.000000 OR X1 == 6 OR X3 == 7 OR X3 == 14 OR X13 == 41],{'0': {'precision': 0.8214952108471203; 'recall': 0.6596414123757679; 'f1-score': 0.7317248829672309; 'support': 20023}; '1': {'precision': 0.33815674468291734; 'recall': 0.5481738035264484; 'f1-score': 0.4182833803832062; 'support': 6352}; 'accuracy': 0.6327962085308056; 'macro avg': {'precision': 0.5798259777650188; 'recall': 0.6039076079511081; 'f1-score': 0.5750041316752186; 'support': 26375}; 'weighted avg': {'precision': 0.7050908151286363; 'recall': 0.6327962085308056; 'f1-score': 0.6562374735107864; 'support': 26375}},{'0': {'precision': 0.8403835307388607; 'recall': 0.6696629213483146; 'f1-score': 0.7453726863431717; 'support': 2225}; '1': {'precision': 0.3647363872082973; 'recall': 0.5985815602836879; 'f1-score': 0.4532760472610096; 'support': 705}; 'accuracy': 0.6525597269624573; 'macro avg': {'precision': 0.6025599589735791; 'recall': 0.6341222408160012; 'f1-score': 0.5993243668020907; 'support': 2930}; 'weighted avg': {'precision': 0.7259360098552268; 'recall': 0.6525597269624573; 'f1-score': 0.6750900479292044; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],262,120.178595,0.683276,2,[X2 < 65716.000000 OR X3 == 1],{'0': {'precision': 0.7487650273224044; 'recall': 0.8554162712880188; 'f1-score': 0.798545386731316; 'support': 20023}; '1': {'precision': 0.17285714285714285; 'recall': 0.0952455919395466; 'f1-score': 0.12281770198944376; 'support': 6352}; 'accuracy': 0.6723412322274882; 'macro avg': {'precision': 0.4608110850897736; 'recall': 0.4753309316137827; 'f1-score': 0.4606815443603799; 'support': 26375}; 'weighted avg': {'precision': 0.610066756910145; 'recall': 0.6723412322274882; 'f1-score': 0.6358071022391691; 'support': 26375}},{'0': {'precision': 0.7538160469667319; 'recall': 0.8656179775280899; 'f1-score': 0.805857740585774; 'support': 2225}; '1': {'precision': 0.20266666666666666; 'recall': 0.10780141843971631; 'f1-score': 0.14074074074074075; 'support': 705}; 'accuracy': 0.6832764505119454; 'macro avg': {'precision': 0.47824135681669927; 'recall': 0.4867096979839031; 'f1-score': 0.47329924066325735; 'support': 2930}; 'weighted avg': {'precision': 0.6212016056317332; 'recall': 0.6832764505119454; 'f1-score': 0.6458210563227199; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],262,293.774572,0.747440,3,[X1 == 2 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.7884357566059768; 'recall': 0.9104574510587295; 'f1-score': 0.8450645467819315; 'support': 20024}; '1': {'precision': 0.4486469864698647; 'recall': 0.22972760195244843; 'f1-score': 0.3038633760283245; 'support': 6351}; 'accuracy': 0.7465402843601896; 'macro avg': {'precision': 0.6185413715379207; 'recall': 0.570092526505589; 'f1-score': 0.574463961405128; 'support': 26375}; 'weighted avg': {'precision': 0.7066159090558555; 'recall': 0.7465402843601896; 'f1-score': 0.7147453568120299; 'support': 26375}},{'0': {'precision': 0.7900703674745895; 'recall': 0.9087230215827338; 'f1-score': 0.8452530322040986; 'support': 2224}; '1': {'precision': 0.4543010752688172; 'recall': 0.23937677053824363; 'f1-score': 0.313543599257885; 'support': 706}; 'accuracy': 0.7474402730375427; 'macro avg': {'precision': 0.6221857213717034; 'recall': 0.5740498960604887; 'f1-score': 0.5793983157309919; 'support': 2930}; 'weighted avg': {'precision': 0.7091648656666456; 'recall': 0.7474402730375427; 'f1-score': 0.7171346500675708; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],262,329.157662,0.729010,5,[X1 == 1 OR X1 == 5 OR X1 == 6 OR X3 == 10 OR X5 == 1],{'0': {'precision': 0.7876669355561531; 'recall': 0.8777467039552537; 'f1-score': 0.830270678822807; 'support': 20024}; '1': {'precision': 0.39719280965279485; 'recall': 0.25397575185010235; 'f1-score': 0.3098348059930849; 'support': 6351}; 'accuracy': 0.7275450236966825; 'macro avg': {'precision': 0.592429872604474; 'recall': 0.565861227902678; 'f1-score': 0.570052742407946; 'support': 26375}; 'weighted avg': {'precision': 0.693642246509244; 'recall': 0.7275450236966825; 'f1-score': 0.7049516938619894; 'support': 26375}},{'0': {'precision': 0.7850877192982456; 'recall': 0.885341726618705; 'f1-score': 0.8322062552831784; 'support': 2224}; '1': {'precision': 0.3957345971563981; 'recall': 0.23654390934844194; 'f1-score': 0.29609929078014185; 'support': 706}; 'accuracy': 0.7290102389078499; 'macro avg': {'precision': 0.5904111582273218; 'recall': 0.5609428179835735; 'f1-score': 0.5641527730316601; 'support': 2930}; 'weighted avg': {'precision': 0.6912708919152613; 'recall': 0.7290102389078499; 'f1-score': 0.7030282631537779; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.698379 (+- 0.048010), (mean training time) 152.564524 (+- 80.088326)
