lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,283,32,35,[8; 9],564,0.831852,0.781250,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9661016949152542; 'recall': 0.5588235294117647; 'f1-score': 0.7080745341614907; 'support': 102}; '1.0': {'precision': 0.7991071428571429; 'recall': 0.988950276243094; 'f1-score': 0.8839506172839506; 'support': 181}; 'accuracy': 0.833922261484099; 'macro avg': {'precision': 0.8826044188861986; 'recall': 0.7738869028274293; 'f1-score': 0.7960125757227207; 'support': 283}; 'weighted avg': {'precision': 0.8592959920088297; 'recall': 0.833922261484099; 'f1-score': 0.8205606509288591; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
5,1,CNF,1,283,32,35,[8; 9],564,0.905389,0.750000,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9666666666666667; 'recall': 0.5686274509803921; 'f1-score': 0.7160493827160493; 'support': 102}; '1.0': {'precision': 0.8026905829596412; 'recall': 0.988950276243094; 'f1-score': 0.8861386138613861; 'support': 181}; 'accuracy': 0.8374558303886925; 'macro avg': {'precision': 0.884678624813154; 'recall': 0.778788863611743; 'f1-score': 0.8010939982887177; 'support': 283}; 'weighted avg': {'precision': 0.8617915035890285; 'recall': 0.8374558303886925; 'f1-score': 0.8248343680068831; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7241379310344828; 'recall': 1.0; 'f1-score': 0.8400000000000001; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8620689655172413; 'recall': 0.6363636363636364; 'f1-score': 0.6342857142857143; 'support': 32}; 'weighted avg': {'precision': 0.8189655172413793; 'recall': 0.75; 'f1-score': 0.6985714285714286; 'support': 32}}
5,1,CNF,2,283,32,35,[8; 9],564,0.933410,0.812500,1,[X2 >= 0.328340],{'0.0': {'precision': 0.8703703703703703; 'recall': 0.46534653465346537; 'f1-score': 0.6064516129032258; 'support': 101}; '1.0': {'precision': 0.7641921397379913; 'recall': 0.9615384615384616; 'f1-score': 0.851581508515815; 'support': 182}; 'accuracy': 0.784452296819788; 'macro avg': {'precision': 0.8172812550541808; 'recall': 0.7134424980959635; 'f1-score': 0.7290165607095205; 'support': 283}; 'weighted avg': {'precision': 0.8020861372428333; 'recall': 0.784452296819788; 'f1-score': 0.7640969874667991; 'support': 283}},{'0.0': {'precision': 0.875; 'recall': 0.5833333333333334; 'f1-score': 0.7000000000000001; 'support': 12}; '1.0': {'precision': 0.7916666666666666; 'recall': 0.95; 'f1-score': 0.8636363636363635; 'support': 20}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.7666666666666666; 'f1-score': 0.7818181818181817; 'support': 32}; 'weighted avg': {'precision': 0.8229166666666666; 'recall': 0.8125; 'f1-score': 0.8022727272727272; 'support': 32}}
5,1,CNF,3,283,32,35,[8; 9],564,0.880012,0.843750,1,[X2 >= 0.328340],{'0.0': {'precision': 0.8679245283018868; 'recall': 0.45544554455445546; 'f1-score': 0.5974025974025974; 'support': 101}; '1.0': {'precision': 0.7608695652173914; 'recall': 0.9615384615384616; 'f1-score': 0.8495145631067962; 'support': 182}; 'accuracy': 0.7809187279151943; 'macro avg': {'precision': 0.8143970467596391; 'recall': 0.7084920030464585; 'f1-score': 0.7234585802546968; 'support': 283}; 'weighted avg': {'precision': 0.7990764601698084; 'recall': 0.7809187279151943; 'f1-score': 0.7595382078554744; 'support': 283}},{'0.0': {'precision': 0.8888888888888888; 'recall': 0.6666666666666666; 'f1-score': 0.761904761904762; 'support': 12}; '1.0': {'precision': 0.8260869565217391; 'recall': 0.95; 'f1-score': 0.8837209302325583; 'support': 20}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.857487922705314; 'recall': 0.8083333333333333; 'f1-score': 0.8228128460686601; 'support': 32}; 'weighted avg': {'precision': 0.8496376811594202; 'recall': 0.84375; 'f1-score': 0.8380398671096347; 'support': 32}}
5,1,CNF,4,283,32,35,[8; 9],564,0.892367,0.625000,1,[X13 < 0.525170],{'0.0': {'precision': 0.3448275862068966; 'recall': 0.19801980198019803; 'f1-score': 0.2515723270440252; 'support': 101}; '1.0': {'precision': 0.64; 'recall': 0.7912087912087912; 'f1-score': 0.7076167076167076; 'support': 182}; 'accuracy': 0.5795053003533569; 'macro avg': {'precision': 0.4924137931034483; 'recall': 0.49461429659449463; 'f1-score': 0.4795945173303664; 'support': 283}; 'weighted avg': {'precision': 0.5346557816498112; 'recall': 0.5795053003533569; 'f1-score': 0.5448588191437714; 'support': 283}},{'0.0': {'precision': 0.5; 'recall': 0.16666666666666666; 'f1-score': 0.25; 'support': 12}; '1.0': {'precision': 0.6428571428571429; 'recall': 0.9; 'f1-score': 0.75; 'support': 20}; 'accuracy': 0.625; 'macro avg': {'precision': 0.5714285714285714; 'recall': 0.5333333333333333; 'f1-score': 0.5; 'support': 32}; 'weighted avg': {'precision': 0.5892857142857143; 'recall': 0.625; 'f1-score': 0.5625; 'support': 32}}
5,1,CNF,5,284,31,35,[8; 9],564,0.907238,0.645161,1,[X7 >= -0.018220],{'0.0': {'precision': 0.4318181818181818; 'recall': 0.37254901960784315; 'f1-score': 0.4; 'support': 102}; '1.0': {'precision': 0.673469387755102; 'recall': 0.7252747252747253; 'f1-score': 0.6984126984126984; 'support': 182}; 'accuracy': 0.5985915492957746; 'macro avg': {'precision': 0.5526437847866419; 'recall': 0.5489118724412843; 'f1-score': 0.5492063492063493; 'support': 284}; 'weighted avg': {'precision': 0.586679165904518; 'recall': 0.5985915492957746; 'f1-score': 0.5912363067292644; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.36363636363636365; 'f1-score': 0.4210526315789474; 'support': 11}; '1.0': {'precision': 0.6956521739130435; 'recall': 0.8; 'f1-score': 0.7441860465116279; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.5978260869565217; 'recall': 0.5818181818181818; 'f1-score': 0.5826193390452876; 'support': 31}; 'weighted avg': {'precision': 0.626227208976157; 'recall': 0.6451612903225806; 'f1-score': 0.6295258025032574; 'support': 31}}
5,1,CNF,6,284,31,35,[8; 9],564,0.897411,0.774194,1,[X4 >= 0.000000],{'0.0': {'precision': 1.0; 'recall': 0.21568627450980393; 'f1-score': 0.3548387096774193; 'support': 102}; '1.0': {'precision': 0.6946564885496184; 'recall': 1.0; 'f1-score': 0.8198198198198199; 'support': 182}; 'accuracy': 0.7183098591549296; 'macro avg': {'precision': 0.8473282442748091; 'recall': 0.607843137254902; 'f1-score': 0.5873292647486196; 'support': 284}; 'weighted avg': {'precision': 0.804322115901516; 'recall': 0.7183098591549296; 'f1-score': 0.6528195619517746; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.6818181818181819; 'f1-score': 0.6921985815602837; 'support': 31}; 'weighted avg': {'precision': 0.8327359617682197; 'recall': 0.7741935483870968; 'f1-score': 0.738320750400366; 'support': 31}}
5,1,CNF,7,284,31,35,[8; 9],564,0.921733,0.612903,1,[X3 < 0.136450],{'0.0': {'precision': 0.36046511627906974; 'recall': 0.30392156862745096; 'f1-score': 0.32978723404255317; 'support': 102}; '1.0': {'precision': 0.6414141414141414; 'recall': 0.6978021978021978; 'f1-score': 0.6684210526315789; 'support': 182}; 'accuracy': 0.5563380281690141; 'macro avg': {'precision': 0.5009396288466056; 'recall': 0.5008618832148244; 'f1-score': 0.49910414333706604; 'support': 284}; 'weighted avg': {'precision': 0.5405099140768973; 'recall': 0.5563380281690141; 'f1-score': 0.5467990473636893; 'support': 284}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.36363636363636365; 'f1-score': 0.39999999999999997; 'support': 11}; '1.0': {'precision': 0.6818181818181818; 'recall': 0.75; 'f1-score': 0.7142857142857143; 'support': 20}; 'accuracy': 0.6129032258064516; 'macro avg': {'precision': 0.5631313131313131; 'recall': 0.5568181818181819; 'f1-score': 0.5571428571428572; 'support': 31}; 'weighted avg': {'precision': 0.5975887911371781; 'recall': 0.6129032258064516; 'f1-score': 0.6027649769585254; 'support': 31}}
5,1,CNF,8,284,31,35,[8; 9],564,0.890125,0.645161,2,[X3 >= -0.500000 OR X4 < 0.809200],{'0.0': {'precision': 0.8666666666666667; 'recall': 0.12745098039215685; 'f1-score': 0.2222222222222222; 'support': 102}; '1.0': {'precision': 0.6691449814126395; 'recall': 0.989010989010989; 'f1-score': 0.7982261640798227; 'support': 182}; 'accuracy': 0.6795774647887324; 'macro avg': {'precision': 0.767905824039653; 'recall': 0.558230984701573; 'f1-score': 0.5102241931510225; 'support': 284}; 'weighted avg': {'precision': 0.7400858683700717; 'recall': 0.6795774647887324; 'f1-score': 0.591351508905614; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.09090909090909091; 'f1-score': 0.15384615384615385; 'support': 11}; '1.0': {'precision': 0.6551724137931034; 'recall': 0.95; 'f1-score': 0.7755102040816326; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.5775862068965517; 'recall': 0.5204545454545454; 'f1-score': 0.46467817896389324; 'support': 31}; 'weighted avg': {'precision': 0.600111234705228; 'recall': 0.6451612903225806; 'f1-score': 0.554919734643237; 'support': 31}}
5,1,CNF,9,284,31,35,[8; 9],564,0.916439,0.612903,1,[X15 < 0.771280],{'0.0': {'precision': 0.5517241379310345; 'recall': 0.1568627450980392; 'f1-score': 0.24427480916030533; 'support': 102}; '1.0': {'precision': 0.6627450980392157; 'recall': 0.9285714285714286; 'f1-score': 0.7734553775743707; 'support': 182}; 'accuracy': 0.6514084507042254; 'macro avg': {'precision': 0.6072346179851251; 'recall': 0.542717086834734; 'f1-score': 0.508865093367338; 'support': 284}; 'weighted avg': {'precision': 0.6228713729299393; 'recall': 0.6514084507042254; 'f1-score': 0.5833975677918543; 'support': 284}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.09090909090909091; 'f1-score': 0.14285714285714288; 'support': 11}; '1.0': {'precision': 0.6428571428571429; 'recall': 0.9; 'f1-score': 0.75; 'support': 20}; 'accuracy': 0.6129032258064516; 'macro avg': {'precision': 0.48809523809523814; 'recall': 0.4954545454545455; 'f1-score': 0.44642857142857145; 'support': 31}; 'weighted avg': {'precision': 0.5330261136712751; 'recall': 0.6129032258064516; 'f1-score': 0.5345622119815668; 'support': 31}}
5,1,CNF,0,283,32,17,[16; 17],564,0.563860,0.562500,3,[X7 >= 0.636360 OR X15 < -0.047620 OR X20 >= 0.684590],{'0.0': {'precision': 0.5; 'recall': 0.45098039215686275; 'f1-score': 0.4742268041237114; 'support': 102}; '1.0': {'precision': 0.7068062827225131; 'recall': 0.7458563535911602; 'f1-score': 0.7258064516129032; 'support': 181}; 'accuracy': 0.6395759717314488; 'macro avg': {'precision': 0.6034031413612566; 'recall': 0.5984183728740115; 'f1-score': 0.6000166278683073; 'support': 283}; 'weighted avg': {'precision': 0.6322683292324202; 'recall': 0.6395759717314488; 'f1-score': 0.6351311016344666; 'support': 283}},{'0.0': {'precision': 0.2857142857142857; 'recall': 0.18181818181818182; 'f1-score': 0.2222222222222222; 'support': 11}; '1.0': {'precision': 0.64; 'recall': 0.7619047619047619; 'f1-score': 0.6956521739130435; 'support': 21}; 'accuracy': 0.5625; 'macro avg': {'precision': 0.46285714285714286; 'recall': 0.47186147186147187; 'f1-score': 0.45893719806763283; 'support': 32}; 'weighted avg': {'precision': 0.5182142857142857; 'recall': 0.5625; 'f1-score': 0.5329106280193237; 'support': 32}}
5,1,CNF,1,283,32,17,[16; 17],564,0.614653,0.812500,2,[X14 >= 0.601940 OR X26 < 0.565880],{'0.0': {'precision': 0.7; 'recall': 0.3431372549019608; 'f1-score': 0.46052631578947373; 'support': 102}; '1.0': {'precision': 0.7124463519313304; 'recall': 0.9171270718232044; 'f1-score': 0.8019323671497585; 'support': 181}; 'accuracy': 0.7102473498233216; 'macro avg': {'precision': 0.7062231759656652; 'recall': 0.6301321633625826; 'f1-score': 0.6312293414696161; 'support': 283}; 'weighted avg': {'precision': 0.7079603876309922; 'recall': 0.7102473498233216; 'f1-score': 0.6788814228432248; 'support': 283}},{'0.0': {'precision': 0.7777777777777778; 'recall': 0.6363636363636364; 'f1-score': 0.7000000000000001; 'support': 11}; '1.0': {'precision': 0.8260869565217391; 'recall': 0.9047619047619048; 'f1-score': 0.8636363636363636; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8019323671497585; 'recall': 0.7705627705627706; 'f1-score': 0.7818181818181819; 'support': 32}; 'weighted avg': {'precision': 0.8094806763285025; 'recall': 0.8125; 'f1-score': 0.8073863636363636; 'support': 32}}
5,1,CNF,2,283,32,17,[16; 17],564,0.623344,0.656250,3,[X15 < -0.156160 OR X16 >= 0.750000 OR X17 >= 0.027780],{'0.0': {'precision': 0.5; 'recall': 0.3465346534653465; 'f1-score': 0.4093567251461988; 'support': 101}; '1.0': {'precision': 0.6901408450704225; 'recall': 0.8076923076923077; 'f1-score': 0.7443037974683544; 'support': 182}; 'accuracy': 0.6431095406360424; 'macro avg': {'precision': 0.5950704225352113; 'recall': 0.5771134805788272; 'f1-score': 0.5768302613072767; 'support': 283}; 'weighted avg': {'precision': 0.6222813915293883; 'recall': 0.6431095406360424; 'f1-score': 0.6247643829646876; 'support': 283}},{'0.0': {'precision': 0.5714285714285714; 'recall': 0.3333333333333333; 'f1-score': 0.4210526315789474; 'support': 12}; '1.0': {'precision': 0.68; 'recall': 0.85; 'f1-score': 0.7555555555555556; 'support': 20}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.6257142857142857; 'recall': 0.5916666666666667; 'f1-score': 0.5883040935672516; 'support': 32}; 'weighted avg': {'precision': 0.6392857142857143; 'recall': 0.65625; 'f1-score': 0.6301169590643275; 'support': 32}}
5,1,CNF,3,283,32,17,[16; 17],564,0.601625,0.687500,1,[X31 >= -0.780570],{'0.0': {'precision': 0.7142857142857143; 'recall': 0.19801980198019803; 'f1-score': 0.31007751937984496; 'support': 101}; '1.0': {'precision': 0.6823529411764706; 'recall': 0.9560439560439561; 'f1-score': 0.7963386727688787; 'support': 182}; 'accuracy': 0.6855123674911661; 'macro avg': {'precision': 0.6983193277310924; 'recall': 0.5770318790120771; 'f1-score': 0.5532080960743618; 'support': 283}; 'weighted avg': {'precision': 0.6937494432401936; 'recall': 0.6855123674911661; 'f1-score': 0.6227967063650186; 'support': 283}},{'0.0': {'precision': 0.75; 'recall': 0.25; 'f1-score': 0.375; 'support': 12}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.95; 'f1-score': 0.7916666666666667; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.7142857142857143; 'recall': 0.6; 'f1-score': 0.5833333333333334; 'support': 32}; 'weighted avg': {'precision': 0.7053571428571429; 'recall': 0.6875; 'f1-score': 0.6354166666666667; 'support': 32}}
5,1,CNF,4,283,32,17,[16; 17],564,0.586425,0.718750,3,[X6 >= 0.554320 OR X13 < -0.023810 OR X15 < -0.156160],{'0.0': {'precision': 0.4782608695652174; 'recall': 0.32673267326732675; 'f1-score': 0.38823529411764707; 'support': 101}; '1.0': {'precision': 0.6822429906542056; 'recall': 0.8021978021978022; 'f1-score': 0.7373737373737373; 'support': 182}; 'accuracy': 0.6325088339222615; 'macro avg': {'precision': 0.5802519301097115; 'recall': 0.5644652377325645; 'f1-score': 0.5628045157456922; 'support': 283}; 'weighted avg': {'precision': 0.6094437177567221; 'recall': 0.6325088339222615; 'f1-score': 0.6127695579784543; 'support': 283}},{'0.0': {'precision': 0.7142857142857143; 'recall': 0.4166666666666667; 'f1-score': 0.5263157894736842; 'support': 12}; '1.0': {'precision': 0.72; 'recall': 0.9; 'f1-score': 0.7999999999999999; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7171428571428571; 'recall': 0.6583333333333333; 'f1-score': 0.6631578947368421; 'support': 32}; 'weighted avg': {'precision': 0.7178571428571427; 'recall': 0.71875; 'f1-score': 0.6973684210526315; 'support': 32}}
5,1,CNF,5,284,31,17,[16; 17],564,0.598077,0.645161,2,[X7 >= 0.014710 OR X10 >= 0.501880],{'0.0': {'precision': 0.8863636363636364; 'recall': 0.38235294117647056; 'f1-score': 0.5342465753424658; 'support': 102}; '1.0': {'precision': 0.7375; 'recall': 0.9725274725274725; 'f1-score': 0.8388625592417062; 'support': 182}; 'accuracy': 0.7605633802816901; 'macro avg': {'precision': 0.8119318181818183; 'recall': 0.6774402068519716; 'f1-score': 0.686554567292086; 'support': 284}; 'weighted avg': {'precision': 0.7909651088348271; 'recall': 0.7605633802816901; 'f1-score': 0.7294582269962042; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.09090909090909091; 'f1-score': 0.15384615384615385; 'support': 11}; '1.0': {'precision': 0.6551724137931034; 'recall': 0.95; 'f1-score': 0.7755102040816326; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.5775862068965517; 'recall': 0.5204545454545454; 'f1-score': 0.46467817896389324; 'support': 31}; 'weighted avg': {'precision': 0.600111234705228; 'recall': 0.6451612903225806; 'f1-score': 0.554919734643237; 'support': 31}}
5,1,CNF,6,284,31,17,[16; 17],564,0.593950,0.612903,2,[X2 >= 0.749160 OR X27 < -0.017690],{'0.0': {'precision': 0.4838709677419355; 'recall': 0.29411764705882354; 'f1-score': 0.36585365853658536; 'support': 102}; '1.0': {'precision': 0.6756756756756757; 'recall': 0.8241758241758241; 'f1-score': 0.7425742574257425; 'support': 182}; 'accuracy': 0.6338028169014085; 'macro avg': {'precision': 0.5797733217088056; 'recall': 0.5591467356173239; 'f1-score': 0.5542139579811639; 'support': 284}; 'weighted avg': {'precision': 0.6067880693051071; 'recall': 0.6338028169014085; 'f1-score': 0.6072731972613268; 'support': 284}},{'0.0': {'precision': 0.4; 'recall': 0.18181818181818182; 'f1-score': 0.25000000000000006; 'support': 11}; '1.0': {'precision': 0.6538461538461539; 'recall': 0.85; 'f1-score': 0.7391304347826088; 'support': 20}; 'accuracy': 0.6129032258064516; 'macro avg': {'precision': 0.5269230769230769; 'recall': 0.5159090909090909; 'f1-score': 0.49456521739130443; 'support': 31}; 'weighted avg': {'precision': 0.563771712158809; 'recall': 0.6129032258064516; 'f1-score': 0.5655680224403927; 'support': 31}}
5,1,CNF,7,284,31,17,[16; 17],564,0.619743,0.451613,3,[X11 < -0.020280 OR X27 < 0.020330 OR X31 >= 0.324920],{'0.0': {'precision': 0.39285714285714285; 'recall': 0.21568627450980393; 'f1-score': 0.27848101265822783; 'support': 102}; '1.0': {'precision': 0.6491228070175439; 'recall': 0.8131868131868132; 'f1-score': 0.7219512195121952; 'support': 182}; 'accuracy': 0.5985915492957746; 'macro avg': {'precision': 0.5209899749373433; 'recall': 0.5144365438483085; 'f1-score': 0.5002161160852115; 'support': 284}; 'weighted avg': {'precision': 0.5570837304528927; 'recall': 0.5985915492957746; 'f1-score': 0.5626767085998549; 'support': 284}},{'0.0': {'precision': 0.2; 'recall': 0.18181818181818182; 'f1-score': 0.1904761904761905; 'support': 11}; '1.0': {'precision': 0.5714285714285714; 'recall': 0.6; 'f1-score': 0.5853658536585366; 'support': 20}; 'accuracy': 0.45161290322580644; 'macro avg': {'precision': 0.3857142857142857; 'recall': 0.3909090909090909; 'f1-score': 0.3879210220673635; 'support': 31}; 'weighted avg': {'precision': 0.43963133640552987; 'recall': 0.45161290322580644; 'f1-score': 0.44524371510996213; 'support': 31}}
5,1,CNF,8,284,31,17,[16; 17],564,0.601670,0.645161,3,[X5 >= 0.222800 OR X18 >= 0.712540 OR X29 < -0.173650],{'0.0': {'precision': 0.550561797752809; 'recall': 0.4803921568627451; 'f1-score': 0.5130890052356021; 'support': 102}; '1.0': {'precision': 0.7282051282051282; 'recall': 0.7802197802197802; 'f1-score': 0.753315649867374; 'support': 182}; 'accuracy': 0.6725352112676056; 'macro avg': {'precision': 0.6393834629789685; 'recall': 0.6303059685412626; 'f1-score': 0.633202327551488; 'support': 284}; 'weighted avg': {'precision': 0.6644036503666192; 'recall': 0.6725352112676056; 'f1-score': 0.6670370662320192; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.2727272727272727; 'f1-score': 0.3529411764705882; 'support': 11}; '1.0': {'precision': 0.68; 'recall': 0.85; 'f1-score': 0.7555555555555556; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.5900000000000001; 'recall': 0.5613636363636363; 'f1-score': 0.5542483660130719; 'support': 31}; 'weighted avg': {'precision': 0.6161290322580646; 'recall': 0.6451612903225806; 'f1-score': 0.6126923887834704; 'support': 31}}
5,1,CNF,9,284,31,17,[16; 17],564,0.601221,0.774194,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9824561403508771; 'recall': 0.5490196078431373; 'f1-score': 0.7044025157232705; 'support': 102}; '1.0': {'precision': 0.7973568281938326; 'recall': 0.9945054945054945; 'f1-score': 0.8850855745721271; 'support': 182}; 'accuracy': 0.8345070422535211; 'macro avg': {'precision': 0.8899064842723549; 'recall': 0.7717625511743159; 'f1-score': 0.7947440451476988; 'support': 284}; 'weighted avg': {'precision': 0.863836158616433; 'recall': 0.8345070422535211; 'f1-score': 0.8201923632954251; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.76; 'recall': 0.95; 'f1-score': 0.8444444444444444; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.7966666666666666; 'recall': 0.7022727272727273; 'f1-score': 0.7163398692810458; 'support': 31}; 'weighted avg': {'precision': 0.7860215053763441; 'recall': 0.7741935483870968; 'f1-score': 0.7535315201349357; 'support': 31}}
5,1,CNF,0,283,32,8,[35; 36],564,0.456109,0.781250,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9661016949152542; 'recall': 0.5588235294117647; 'f1-score': 0.7080745341614907; 'support': 102}; '1.0': {'precision': 0.7991071428571429; 'recall': 0.988950276243094; 'f1-score': 0.8839506172839506; 'support': 181}; 'accuracy': 0.833922261484099; 'macro avg': {'precision': 0.8826044188861986; 'recall': 0.7738869028274293; 'f1-score': 0.7960125757227207; 'support': 283}; 'weighted avg': {'precision': 0.8592959920088297; 'recall': 0.833922261484099; 'f1-score': 0.8205606509288591; 'support': 283}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
5,1,CNF,1,283,32,8,[35; 36],564,0.442611,0.625000,5,[X16 < -0.094830 OR X22 < -0.148150 OR X25 < -0.015050 OR X27 >= 0.258350 OR X28 >= 0.496640],{'0.0': {'precision': 0.6666666666666666; 'recall': 0.2549019607843137; 'f1-score': 0.36879432624113473; 'support': 102}; '1.0': {'precision': 0.6885245901639344; 'recall': 0.9281767955801105; 'f1-score': 0.7905882352941176; 'support': 181}; 'accuracy': 0.6855123674911661; 'macro avg': {'precision': 0.6775956284153005; 'recall': 0.591539378182212; 'f1-score': 0.5796912807676262; 'support': 283}; 'weighted avg': {'precision': 0.6806464693274633; 'recall': 0.6855123674911661; 'f1-score': 0.6385635754941026; 'support': 283}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.09090909090909091; 'f1-score': 0.14285714285714288; 'support': 11}; '1.0': {'precision': 0.6551724137931034; 'recall': 0.9047619047619048; 'f1-score': 0.7599999999999999; 'support': 21}; 'accuracy': 0.625; 'macro avg': {'precision': 0.49425287356321834; 'recall': 0.49783549783549785; 'f1-score': 0.4514285714285714; 'support': 32}; 'weighted avg': {'precision': 0.5445402298850575; 'recall': 0.625; 'f1-score': 0.5478571428571428; 'support': 32}}
