lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26373,2931,3296,[8; 9],262,124.897881,0.758444,4,[X1 == 5 OR X3 == 7 OR X3 == 14 OR X13 == 7],{'0': {'precision': 0.7787380086007277; 'recall': 0.9405683464016381; 'f1-score': 0.8520370077137106; 'support': 20023}; '1': {'precision': 0.4563727729556875; 'recall': 0.1573228346456693; 'f1-score': 0.23398524417379085; 'support': 6350}; 'accuracy': 0.7519811928866644; 'macro avg': {'precision': 0.6175553907782076; 'recall': 0.5489455905236537; 'f1-score': 0.5430111259437507; 'support': 26373}; 'weighted avg': {'precision': 0.701120018749516; 'recall': 0.7519811928866644; 'f1-score': 0.7032246352692223; 'support': 26373}},{'0': {'precision': 0.7797860568056068; 'recall': 0.9501123595505618; 'f1-score': 0.8565640194489466; 'support': 2225}; '1': {'precision': 0.4954545454545455; 'recall': 0.15439093484419264; 'f1-score': 0.23542116630669546; 'support': 706}; 'accuracy': 0.7584442169907881; 'macro avg': {'precision': 0.6376203011300761; 'recall': 0.5522516471973773; 'f1-score': 0.545992592877821; 'support': 2931}; 'weighted avg': {'precision': 0.7112981526725979; 'recall': 0.7584442169907881; 'f1-score': 0.7069472148367224; 'support': 2931}}
5,1,CNF,1,26373,2931,3296,[8; 9],262,124.626494,0.594678,1,[X2 >= 219632.000000],{'0': {'precision': 0.7530670702048317; 'recall': 0.6958997153273735; 'f1-score': 0.7233556559206771; 'support': 20023}; '1': {'precision': 0.22630241423125794; 'recall': 0.2804724409448819; 'f1-score': 0.25049226441631506; 'support': 6350}; 'accuracy': 0.595874568687673; 'macro avg': {'precision': 0.4896847422180448; 'recall': 0.4881860781361277; 'f1-score': 0.48692396016849604; 'support': 26373}; 'weighted avg': {'precision': 0.6262344927418129; 'recall': 0.595874568687673; 'f1-score': 0.609501239052945; 'support': 26373}},{'0': {'precision': 0.7557967439565861; 'recall': 0.6885393258426966; 'f1-score': 0.7206020696142992; 'support': 2225}; '1': {'precision': 0.2334070796460177; 'recall': 0.2988668555240793; 'f1-score': 0.26211180124223604; 'support': 706}; 'accuracy': 0.5946775844421699; 'macro avg': {'precision': 0.4946019118013019; 'recall': 0.49370309068338797; 'f1-score': 0.49135693542826764; 'support': 2931}; 'weighted avg': {'precision': 0.6299669578756373; 'recall': 0.5946775844421699; 'f1-score': 0.6101639496993635; 'support': 2931}}
5,1,CNF,2,26373,2931,3296,[8; 9],262,126.274650,0.683043,3,[X3 == 14 OR X6 == 7 OR X12 >= 48.000000],{'0': {'precision': 0.8079654863997474; 'recall': 0.7669679868151625; 'f1-score': 0.7869331283627977; 'support': 20023}; '1': {'precision': 0.3665490089600869; 'recall': 0.4251968503937008; 'f1-score': 0.3937007874015749; 'support': 6350}; 'accuracy': 0.6846775110908884; 'macro avg': {'precision': 0.5872572476799172; 'recall': 0.5960824186044317; 'f1-score': 0.5903169578821863; 'support': 26373}; 'weighted avg': {'precision': 0.7016827490645241; 'recall': 0.6846775110908884; 'f1-score': 0.692252001259178; 'support': 26373}},{'0': {'precision': 0.8036551077788191; 'recall': 0.7707865168539326; 'f1-score': 0.7868777242486809; 'support': 2225}; '1': {'precision': 0.3601003764115433; 'recall': 0.4065155807365439; 'f1-score': 0.3819028609447771; 'support': 706}; 'accuracy': 0.6830433299215285; 'macro avg': {'precision': 0.5818777420951812; 'recall': 0.5886510487952383; 'f1-score': 0.584390292596729; 'support': 2931}; 'weighted avg': {'precision': 0.6968145617722354; 'recall': 0.6830433299215285; 'f1-score': 0.6893300430843834; 'support': 2931}}
5,1,CNF,3,26373,2931,3296,[8; 9],262,117.344618,0.611737,2,[X0 >= 50.000000 OR X5 == 0],{'0': {'precision': 0.7680779944289694; 'recall': 0.6885581581181641; 'f1-score': 0.726147525873647; 'support': 20023}; '1': {'precision': 0.2596462068146741; 'recall': 0.3444094488188976; 'f1-score': 0.29608068774114943; 'support': 6350}; 'accuracy': 0.6056952185947749; 'macro avg': {'precision': 0.5138621006218218; 'recall': 0.5164838034685308; 'f1-score': 0.5111141068073982; 'support': 26373}; 'weighted avg': {'precision': 0.6456595417936691; 'recall': 0.6056952185947749; 'f1-score': 0.6225975155547087; 'support': 26373}},{'0': {'precision': 0.7670761670761671; 'recall': 0.7015730337078652; 'f1-score': 0.7328638497652583; 'support': 2225}; '1': {'precision': 0.25892857142857145; 'recall': 0.3286118980169972; 'f1-score': 0.2896379525593009; 'support': 706}; 'accuracy': 0.6117366086659843; 'macro avg': {'precision': 0.5130023692523693; 'recall': 0.5150924658624312; 'f1-score': 0.5112509011622797; 'support': 2931}; 'weighted avg': {'precision': 0.6446769168110008; 'recall': 0.6117366086659843; 'f1-score': 0.6261025111683951; 'support': 2931}}
5,1,CNF,4,26374,2930,3296,[8; 9],262,113.834287,0.725597,3,[X1 == 1 OR X3 == 8 OR X13 == 21],{'0': {'precision': 0.7654361319830121; 'recall': 0.9361234580232732; 'f1-score': 0.8422187773808723; 'support': 20023}; '1': {'precision': 0.32184517497348886; 'recall': 0.09557549992127225; 'f1-score': 0.14738375622192545; 'support': 6351}; 'accuracy': 0.7337150223705164; 'macro avg': {'precision': 0.5436406534782505; 'recall': 0.5158494789722727; 'f1-score': 0.49480126680139885; 'support': 26374}; 'weighted avg': {'precision': 0.6586170613844119; 'recall': 0.7337150223705164; 'f1-score': 0.674898794845782; 'support': 26374}},{'0': {'precision': 0.7609254498714653; 'recall': 0.9312359550561797; 'f1-score': 0.8375101050929668; 'support': 2225}; '1': {'precision': 0.2608695652173913; 'recall': 0.07659574468085106; 'f1-score': 0.11842105263157895; 'support': 705}; 'accuracy': 0.7255972696245734; 'macro avg': {'precision': 0.5108975075444283; 'recall': 0.5039158498685155; 'f1-score': 0.47796557886227287; 'support': 2930}; 'weighted avg': {'precision': 0.6406048359871233; 'recall': 0.7255972696245734; 'f1-score': 0.6644869713095953; 'support': 2930}}
5,1,CNF,5,26374,2930,3296,[8; 9],262,118.720634,0.739590,5,[X1 == 1 OR X1 == 5 OR X1 == 7 OR X3 == 10 OR X5 == 1],{'0': {'precision': 0.7823710283566792; 'recall': 0.9149478100184788; 'f1-score': 0.8434816639425402; 'support': 20023}; '1': {'precision': 0.4242731575388776; 'recall': 0.1976066761139978; 'f1-score': 0.26963153937050166; 'support': 6351}; 'accuracy': 0.742208235383332; 'macro avg': {'precision': 0.6033220929477784; 'recall': 0.5562772430662383; 'f1-score': 0.5565566016565209; 'support': 26374}; 'weighted avg': {'precision': 0.6961391493256692; 'recall': 0.742208235383332; 'f1-score': 0.7052954903944619; 'support': 26374}},{'0': {'precision': 0.7811538461538462; 'recall': 0.9128089887640449; 'f1-score': 0.8418652849740932; 'support': 2225}; '1': {'precision': 0.4121212121212121; 'recall': 0.19290780141843972; 'f1-score': 0.26280193236714977; 'support': 705}; 'accuracy': 0.7395904436860068; 'macro avg': {'precision': 0.5966375291375292; 'recall': 0.5528583950912423; 'f1-score': 0.5523336086706214; 'support': 2930}; 'weighted avg': {'precision': 0.6923593045180076; 'recall': 0.7395904436860068; 'f1-score': 0.7025343417700335; 'support': 2930}}
5,1,CNF,6,26374,2930,3296,[8; 9],262,123.753808,0.764505,5,[X1 == 5 OR X3 == 12 OR X3 == 14 OR X8 == 0 OR X13 == 20],{'0': {'precision': 0.795774047882764; 'recall': 0.9329271337961345; 'f1-score': 0.8589098098719452; 'support': 20023}; '1': {'precision': 0.536896551724138; 'recall': 0.24515824279641002; 'f1-score': 0.33661225813425577; 'support': 6351}; 'accuracy': 0.767308713126564; 'macro avg': {'precision': 0.666335299803451; 'recall': 0.5890426882962723; 'f1-score': 0.5977610340031005; 'support': 26374}; 'weighted avg': {'precision': 0.7334349647666862; 'recall': 0.767308713126564; 'f1-score': 0.7331377710804815; 'support': 26374}},{'0': {'precision': 0.7955333076626877; 'recall': 0.9285393258426966; 'f1-score': 0.8569058481957694; 'support': 2225}; '1': {'precision': 0.5225225225225225; 'recall': 0.24680851063829787; 'f1-score': 0.3352601156069364; 'support': 705}; 'accuracy': 0.764505119453925; 'macro avg': {'precision': 0.659027915092605; 'recall': 0.5876739182404972; 'f1-score': 0.5960829819013529; 'support': 2930}; 'weighted avg': {'precision': 0.7298429992927845; 'recall': 0.764505119453925; 'f1-score': 0.7313904074192755; 'support': 2930}}
5,1,CNF,7,26374,2930,3296,[8; 9],262,149.410814,0.766212,3,[X3 == 10 OR X6 == 4 OR X13 == 7],{'0': {'precision': 0.7994474168932549; 'recall': 0.9104030365080158; 'f1-score': 0.8513251605370694; 'support': 20023}; '1': {'precision': 0.4977603583426652; 'recall': 0.27995591245473156; 'f1-score': 0.358359367126877; 'support': 6351}; 'accuracy': 0.7585880033366194; 'macro avg': {'precision': 0.6486038876179601; 'recall': 0.5951794744813736; 'f1-score': 0.6048422638319733; 'support': 26374}; 'weighted avg': {'precision': 0.7267995626104463; 'recall': 0.7585880033366194; 'f1-score': 0.732616365741129; 'support': 26374}},{'0': {'precision': 0.8057982525814138; 'recall': 0.9119101123595506; 'f1-score': 0.8555766392578537; 'support': 2225}; '1': {'precision': 0.5242718446601942; 'recall': 0.30638297872340425; 'f1-score': 0.38675022381378693; 'support': 705}; 'accuracy': 0.7662116040955631; 'macro avg': {'precision': 0.665035048620804; 'recall': 0.6091465455414774; 'f1-score': 0.6211634315358203; 'support': 2930}; 'weighted avg': {'precision': 0.7380589633034411; 'recall': 0.7662116040955631; 'f1-score': 0.7427702833233598; 'support': 2930}}
5,1,CNF,8,26374,2930,3296,[8; 9],262,279.906432,0.739249,2,[X3 == 14 OR X6 == 14],{'0': {'precision': 0.7665475513684723; 'recall': 0.942718737514982; 'f1-score': 0.8455543113101902; 'support': 20024}; '1': {'precision': 0.3438215102974828; 'recall': 0.09464566929133858; 'f1-score': 0.148431711533712; 'support': 6350}; 'accuracy': 0.7385303708197467; 'macro avg': {'precision': 0.5551845308329776; 'recall': 0.5186822034031603; 'f1-score': 0.4969930114219511; 'support': 26374}; 'weighted avg': {'precision': 0.6647688920524496; 'recall': 0.7385303708197467; 'f1-score': 0.6777098998223372; 'support': 26374}},{'0': {'precision': 0.7658412235979607; 'recall': 0.9455935251798561; 'f1-score': 0.8462776659959758; 'support': 2224}; '1': {'precision': 0.3423913043478261; 'recall': 0.08923512747875353; 'f1-score': 0.14157303370786514; 'support': 706}; 'accuracy': 0.7392491467576792; 'macro avg': {'precision': 0.5541162639728934; 'recall': 0.5174143263293048; 'f1-score': 0.49392534985192044; 'support': 2930}; 'weighted avg': {'precision': 0.6638085809390546; 'recall': 0.7392491467576792; 'f1-score': 0.6764751163729702; 'support': 2930}}
5,1,CNF,9,26374,2930,3296,[8; 9],262,316.524803,0.727645,2,[X1 == 2 OR X6 == 11],{'0': {'precision': 0.7628481194372667; 'recall': 0.9288353975229724; 'f1-score': 0.8376984573809255; 'support': 20024}; '1': {'precision': 0.28499749121926743; 'recall': 0.0894488188976378; 'f1-score': 0.1361620520196572; 'support': 6350}; 'accuracy': 0.7267384545385607; 'macro avg': {'precision': 0.5239228053282671; 'recall': 0.5091421082103051; 'f1-score': 0.4869302547002914; 'support': 26374}; 'weighted avg': {'precision': 0.6477972553596033; 'recall': 0.7267384545385607; 'f1-score': 0.6687913452991764; 'support': 26374}},{'0': {'precision': 0.7632939438700148; 'recall': 0.9294064748201439; 'f1-score': 0.838199513381995; 'support': 2224}; '1': {'precision': 0.2927927927927928; 'recall': 0.09206798866855524; 'f1-score': 0.14008620689655174; 'support': 706}; 'accuracy': 0.7276450511945393; 'macro avg': {'precision': 0.5280433683314039; 'recall': 0.5107372317443496; 'f1-score': 0.4891428601392734; 'support': 2930}; 'weighted avg': {'precision': 0.6499240419380972; 'recall': 0.7276450511945393; 'f1-score': 0.66998518082953; 'support': 2930}}
5,1,CNF,0,26373,2931,1648,[16; 17],262,169.505167,0.684408,7,[X1 == 5 OR X3 == 9 OR X3 == 12 OR X6 == 7 OR X6 == 13 OR X13 == 0 OR X13 == 2],{'0': {'precision': 0.8269593551706397; 'recall': 0.7224691604654647; 'f1-score': 0.771190958524363; 'support': 20023}; '1': {'precision': 0.3742117117117117; 'recall': 0.5233070866141732; 'f1-score': 0.4363755745239658; 'support': 6350}; 'accuracy': 0.6745156030789065; 'macro avg': {'precision': 0.6005855334411757; 'recall': 0.6228881235398189; 'f1-score': 0.6037832665241645; 'support': 26373}; 'weighted avg': {'precision': 0.7179483387536907; 'recall': 0.6745156030789065; 'f1-score': 0.6905752648830433; 'support': 26373}},{'0': {'precision': 0.8221010901883052; 'recall': 0.7456179775280899; 'f1-score': 0.7819938722601932; 'support': 2225}; '1': {'precision': 0.380065717415115; 'recall': 0.4915014164305949; 'f1-score': 0.4286596664607783; 'support': 706}; 'accuracy': 0.6844080518594337; 'macro avg': {'precision': 0.6010834038017101; 'recall': 0.6185596969793424; 'f1-score': 0.6053267693604858; 'support': 2931}; 'weighted avg': {'precision': 0.7156265172855852; 'recall': 0.6844080518594337; 'f1-score': 0.6968850529854109; 'support': 2931}}
