l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,1,[468; 468],14,0.303048,0.660377,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.532608695652174; 'recall': 0.3684210526315789; 'f1-score': 0.4355555555555556; 'support': 133}; '1.0': {'precision': 0.776595744680851; 'recall': 0.8716417910447761; 'f1-score': 0.8213783403656821; 'support': 335}; 'accuracy': 0.7286324786324786; 'macro avg': {'precision': 0.6546022201665125; 'recall': 0.6200314218381775; 'f1-score': 0.6284669479606189; 'support': 468}; 'weighted avg': {'precision': 0.7072575448500518; 'recall': 0.7286324786324786; 'f1-score': 0.7117321216055393; 'support': 468}},{'0.0': {'precision': 0.36363636363636365; 'recall': 0.26666666666666666; 'f1-score': 0.30769230769230765; 'support': 15}; '1.0': {'precision': 0.7380952380952381; 'recall': 0.8157894736842105; 'f1-score': 0.775; 'support': 38}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.550865800865801; 'recall': 0.5412280701754386; 'f1-score': 0.5413461538461538; 'support': 53}; 'weighted avg': {'precision': 0.6321163113615944; 'recall': 0.660377358490566; 'f1-score': 0.6427431059506531; 'support': 53}}
l: 5,1,CNF,1,469,52,1,[469; 469],14,0.236186,0.711538,4,[X2 >= 1.650000 OR X5 >= 61.500000 OR X6 < 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5714285714285714; 'recall': 0.05970149253731343; 'f1-score': 0.10810810810810811; 'support': 134}; '1.0': {'precision': 0.7230769230769231; 'recall': 0.982089552238806; 'f1-score': 0.8329113924050632; 'support': 335}; 'accuracy': 0.7185501066098081; 'macro avg': {'precision': 0.6472527472527472; 'recall': 0.5208955223880597; 'f1-score': 0.47050975025658565; 'support': 469}; 'weighted avg': {'precision': 0.6797488226059654; 'recall': 0.7185501066098081; 'f1-score': 0.6258247397487904; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.07142857142857142; 'f1-score': 0.11764705882352941; 'support': 14}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.9473684210526315; 'f1-score': 0.8275862068965517; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.5340136054421769; 'recall': 0.5093984962406015; 'f1-score': 0.4726166328600406; 'support': 52}; 'weighted avg': {'precision': 0.6266352694924124; 'recall': 0.7115384615384616; 'f1-score': 0.6364487439538149; 'support': 52}}
l: 5,1,CNF,2,469,52,1,[469; 469],14,0.156268,0.653846,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5384615384615384; 'recall': 0.3656716417910448; 'f1-score': 0.4355555555555556; 'support': 134}; '1.0': {'precision': 0.7751322751322751; 'recall': 0.8746268656716418; 'f1-score': 0.8218793828892006; 'support': 335}; 'accuracy': 0.7292110874200426; 'macro avg': {'precision': 0.6567969067969068; 'recall': 0.6201492537313433; 'f1-score': 0.628717469222378; 'support': 469}; 'weighted avg': {'precision': 0.7075120646549217; 'recall': 0.7292110874200426; 'f1-score': 0.7115011465081592; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.2857142857142857; 'f1-score': 0.30769230769230765; 'support': 14}; '1.0': {'precision': 0.75; 'recall': 0.7894736842105263; 'f1-score': 0.7692307692307692; 'support': 38}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5416666666666666; 'recall': 0.5375939849624061; 'f1-score': 0.5384615384615384; 'support': 52}; 'weighted avg': {'precision': 0.6378205128205128; 'recall': 0.6538461538461539; 'f1-score': 0.6449704142011833; 'support': 52}}
l: 5,1,CNF,3,469,52,1,[469; 469],14,0.159207,0.692308,5,[X1 OR X2 < 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.75; 'recall': 0.022556390977443608; 'f1-score': 0.043795620437956206; 'support': 133}; '1.0': {'precision': 0.7204301075268817; 'recall': 0.9970238095238095; 'f1-score': 0.83645443196005; 'support': 336}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.7352150537634409; 'recall': 0.5097901002506265; 'f1-score': 0.44012502619900307; 'support': 469}; 'weighted avg': {'precision': 0.7288155994222436; 'recall': 0.720682302771855; 'f1-score': 0.6116705898866203; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
l: 5,1,CNF,4,469,52,1,[469; 469],14,0.253664,0.692308,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5212765957446809; 'recall': 0.3684210526315789; 'f1-score': 0.43171806167400884; 'support': 133}; '1.0': {'precision': 0.776; 'recall': 0.8660714285714286; 'f1-score': 0.818565400843882; 'support': 336}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.6486382978723404; 'recall': 0.6172462406015038; 'f1-score': 0.6251417312589453; 'support': 469}; 'weighted avg': {'precision': 0.703765004763417; 'recall': 0.7249466950959488; 'f1-score': 0.7088624240643657; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.26666666666666666; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7441860465116279; 'recall': 0.8648648648648649; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5943152454780362; 'recall': 0.5657657657657658; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.6577221228384018; 'recall': 0.6923076923076923; 'f1-score': 0.6653846153846155; 'support': 52}}
l: 5,1,CNF,5,469,52,1,[469; 469],14,0.321358,0.673077,4,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.5135135135135135; 'recall': 0.42857142857142855; 'f1-score': 0.4672131147540984; 'support': 133}; '1.0': {'precision': 0.7877094972067039; 'recall': 0.8392857142857143; 'f1-score': 0.8126801152737751; 'support': 336}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.6506115053601087; 'recall': 0.6339285714285714; 'f1-score': 0.6399466150139368; 'support': 469}; 'weighted avg': {'precision': 0.7099524272041573; 'recall': 0.7228144989339019; 'f1-score': 0.7147118613950608; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.26666666666666666; 'f1-score': 0.32; 'support': 15}; '1.0': {'precision': 0.7380952380952381; 'recall': 0.8378378378378378; 'f1-score': 0.7848101265822786; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.569047619047619; 'recall': 0.5522522522522523; 'f1-score': 0.5524050632911393; 'support': 52}; 'weighted avg': {'precision': 0.6405677655677656; 'recall': 0.6730769230769231; 'f1-score': 0.650730282375852; 'support': 52}}
l: 5,1,CNF,6,469,52,1,[469; 469],14,0.186706,0.634615,5,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5384615384615384; 'recall': 0.3684210526315789; 'f1-score': 0.4375; 'support': 133}; '1.0': {'precision': 0.7777777777777778; 'recall': 0.875; 'f1-score': 0.823529411764706; 'support': 336}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6581196581196581; 'recall': 0.6217105263157895; 'f1-score': 0.630514705882353; 'support': 469}; 'weighted avg': {'precision': 0.7099119785686949; 'recall': 0.7313432835820896; 'f1-score': 0.7140583845478491; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.26666666666666666; 'f1-score': 0.2962962962962963; 'support': 15}; '1.0': {'precision': 0.725; 'recall': 0.7837837837837838; 'f1-score': 0.7532467532467533; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5291666666666667; 'recall': 0.5252252252252252; 'f1-score': 0.5247715247715248; 'support': 52}; 'weighted avg': {'precision': 0.6120192307692307; 'recall': 0.6346153846153846; 'f1-score': 0.6214341214341215; 'support': 52}}
l: 5,1,CNF,7,469,52,1,[469; 469],14,0.253840,0.596154,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5285714285714286; 'recall': 0.556390977443609; 'f1-score': 0.5421245421245421; 'support': 133}; '1.0': {'precision': 0.8206686930091185; 'recall': 0.8035714285714286; 'f1-score': 0.8120300751879699; 'support': 336}; 'accuracy': 0.7334754797441365; 'macro avg': {'precision': 0.6746200607902735; 'recall': 0.6799812030075187; 'f1-score': 0.677077308656256; 'support': 469}; 'weighted avg': {'precision': 0.7378351404073856; 'recall': 0.7334754797441365; 'f1-score': 0.735489700140132; 'support': 469}},{'0.0': {'precision': 0.3125; 'recall': 0.3333333333333333; 'f1-score': 0.3225806451612903; 'support': 15}; '1.0': {'precision': 0.7222222222222222; 'recall': 0.7027027027027027; 'f1-score': 0.7123287671232876; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.5173611111111112; 'recall': 0.5180180180180181; 'f1-score': 0.517454706142289; 'support': 52}; 'weighted avg': {'precision': 0.6040331196581197; 'recall': 0.5961538461538461; 'f1-score': 0.5999014242496346; 'support': 52}}
l: 5,1,CNF,8,469,52,1,[469; 469],14,0.162180,0.692308,6,[X1 OR X2 < 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 1.0; 'recall': 0.022556390977443608; 'f1-score': 0.04411764705882353; 'support': 133}; '1.0': {'precision': 0.721030042918455; 'recall': 1.0; 'f1-score': 0.8379052369077308; 'support': 336}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.8605150214592274; 'recall': 0.5112781954887218; 'f1-score': 0.44101144198327713; 'support': 469}; 'weighted avg': {'precision': 0.8001409262699379; 'recall': 0.7228144989339019; 'f1-score': 0.6128012935177423; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
l: 5,1,CNF,9,469,52,1,[469; 469],14,0.342963,0.692308,4,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.5092592592592593; 'recall': 0.41353383458646614; 'f1-score': 0.4564315352697096; 'support': 133}; '1.0': {'precision': 0.7839335180055401; 'recall': 0.8422619047619048; 'f1-score': 0.812051649928264; 'support': 336}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6465963886323998; 'recall': 0.6278978696741855; 'f1-score': 0.6342415925989868; 'support': 469}; 'weighted avg': {'precision': 0.7060408177640575; 'recall': 0.720682302771855; 'f1-score': 0.7112041547265843; 'support': 469}},{'0.0': {'precision': 0.46153846153846156; 'recall': 0.4; 'f1-score': 0.42857142857142855; 'support': 15}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.8108108108108109; 'f1-score': 0.7894736842105263; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6153846153846154; 'recall': 0.6054054054054054; 'f1-score': 0.6090225563909775; 'support': 52}; 'weighted avg': {'precision': 0.6804733727810651; 'recall': 0.6923076923076923; 'f1-score': 0.6853672643146328; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [469, 469], 'n_partitions': 1}, (mean val acc cv) 0.669884 (+- 0.032839), (mean training time) 0.237542 (+- 0.066304)
