l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,0.854283,0.377358,2,[X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.6124567474048442; 'recall': 0.5299401197604791; 'f1-score': 0.5682182985553772; 'support': 334}; '1.0': {'precision': 0.12290502793296089; 'recall': 0.16417910447761194; 'f1-score': 0.14057507987220444; 'support': 134}; 'accuracy': 0.4252136752136752; 'macro avg': {'precision': 0.36768088766890256; 'recall': 0.3470596121190455; 'f1-score': 0.3543966892137908; 'support': 468}; 'weighted avg': {'precision': 0.4722859559321255; 'recall': 0.4252136752136752; 'f1-score': 0.4457734453426739; 'support': 468}},{'0.0': {'precision': 0.5757575757575758; 'recall': 0.5; 'f1-score': 0.5352112676056339; 'support': 38}; '1.0': {'precision': 0.05; 'recall': 0.06666666666666667; 'f1-score': 0.05714285714285715; 'support': 15}; 'accuracy': 0.37735849056603776; 'macro avg': {'precision': 0.3128787878787879; 'recall': 0.2833333333333333; 'f1-score': 0.2961770623742455; 'support': 53}; 'weighted avg': {'precision': 0.4269582618639222; 'recall': 0.37735849056603776; 'f1-score': 0.3999088872859801; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],14,0.794621,0.634615,1,[(NOT X1)],{'0.0': {'precision': 0.7323943661971831; 'recall': 0.7784431137724551; 'f1-score': 0.7547169811320755; 'support': 334}; '1.0': {'precision': 0.3508771929824561; 'recall': 0.2962962962962963; 'f1-score': 0.321285140562249; 'support': 135}; 'accuracy': 0.6396588486140725; 'macro avg': {'precision': 0.5416357795898197; 'recall': 0.5373697050343758; 'f1-score': 0.5380010608471623; 'support': 469}; 'weighted avg': {'precision': 0.6225759901119206; 'recall': 0.6396588486140725; 'f1-score': 0.6299551506908675; 'support': 469}},{'0.0': {'precision': 0.7567567567567568; 'recall': 0.7368421052631579; 'f1-score': 0.7466666666666667; 'support': 38}; '1.0': {'precision': 0.3333333333333333; 'recall': 0.35714285714285715; 'f1-score': 0.3448275862068965; 'support': 14}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.545045045045045; 'recall': 0.5469924812030075; 'f1-score': 0.5457471264367816; 'support': 52}; 'weighted avg': {'precision': 0.6427581427581427; 'recall': 0.6346153846153846; 'f1-score': 0.6384792219274978; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],14,0.959440,0.557692,1,[X4 < 211.500000],{'0.0': {'precision': 0.8497854077253219; 'recall': 0.591044776119403; 'f1-score': 0.6971830985915493; 'support': 335}; '1.0': {'precision': 0.4194915254237288; 'recall': 0.7388059701492538; 'f1-score': 0.5351351351351351; 'support': 134}; 'accuracy': 0.6332622601279317; 'macro avg': {'precision': 0.6346384665745253; 'recall': 0.6649253731343283; 'f1-score': 0.6161591168633422; 'support': 469}; 'weighted avg': {'precision': 0.7268442984962953; 'recall': 0.6332622601279317; 'f1-score': 0.6508836804611452; 'support': 469}},{'0.0': {'precision': 0.7916666666666666; 'recall': 0.5135135135135135; 'f1-score': 0.6229508196721311; 'support': 37}; '1.0': {'precision': 0.35714285714285715; 'recall': 0.6666666666666666; 'f1-score': 0.46511627906976744; 'support': 15}; 'accuracy': 0.5576923076923077; 'macro avg': {'precision': 0.5744047619047619; 'recall': 0.5900900900900901; 'f1-score': 0.5440335493709493; 'support': 52}; 'weighted avg': {'precision': 0.6663232600732599; 'recall': 0.5576923076923077; 'f1-score': 0.5774216252676031; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],14,0.796053,0.500000,1,[X3 >= 1.250000],{'0.0': {'precision': 0.6350574712643678; 'recall': 0.6597014925373135; 'f1-score': 0.6471449487554904; 'support': 335}; '1.0': {'precision': 0.05785123966942149; 'recall': 0.05223880597014925; 'f1-score': 0.054901960784313725; 'support': 134}; 'accuracy': 0.4861407249466951; 'macro avg': {'precision': 0.3464543554668947; 'recall': 0.3559701492537314; 'f1-score': 0.3510234547699021; 'support': 469}; 'weighted avg': {'precision': 0.4701414050943832; 'recall': 0.4861407249466951; 'f1-score': 0.47793266647801136; 'support': 469}},{'0.0': {'precision': 0.6341463414634146; 'recall': 0.7027027027027027; 'f1-score': 0.6666666666666667; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.5; 'macro avg': {'precision': 0.3170731707317073; 'recall': 0.35135135135135137; 'f1-score': 0.33333333333333337; 'support': 52}; 'weighted avg': {'precision': 0.45121951219512196; 'recall': 0.5; 'f1-score': 0.4743589743589744; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],14,0.806791,0.711538,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],14,0.839721,0.480769,1,[X4 < 211.500000],{'0.0': {'precision': 0.8553191489361702; 'recall': 0.6; 'f1-score': 0.7052631578947368; 'support': 335}; '1.0': {'precision': 0.42735042735042733; 'recall': 0.746268656716418; 'f1-score': 0.5434782608695653; 'support': 134}; 'accuracy': 0.6417910447761194; 'macro avg': {'precision': 0.6413347881432988; 'recall': 0.673134328358209; 'f1-score': 0.6243707093821511; 'support': 469}; 'weighted avg': {'precision': 0.7330423713402436; 'recall': 0.6417910447761194; 'f1-score': 0.6590389016018307; 'support': 469}},{'0.0': {'precision': 0.7272727272727273; 'recall': 0.43243243243243246; 'f1-score': 0.5423728813559323; 'support': 37}; '1.0': {'precision': 0.3; 'recall': 0.6; 'f1-score': 0.4; 'support': 15}; 'accuracy': 0.4807692307692308; 'macro avg': {'precision': 0.5136363636363637; 'recall': 0.5162162162162163; 'f1-score': 0.47118644067796617; 'support': 52}; 'weighted avg': {'precision': 0.6040209790209791; 'recall': 0.4807692307692308; 'f1-score': 0.501303780964798; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],14,0.917787,0.634615,1,[X4 < 211.500000],{'0.0': {'precision': 0.8412017167381974; 'recall': 0.5850746268656717; 'f1-score': 0.6901408450704226; 'support': 335}; '1.0': {'precision': 0.4110169491525424; 'recall': 0.7238805970149254; 'f1-score': 0.5243243243243244; 'support': 134}; 'accuracy': 0.6247334754797441; 'macro avg': {'precision': 0.62610933294537; 'recall': 0.6544776119402985; 'f1-score': 0.6072325846973735; 'support': 469}; 'weighted avg': {'precision': 0.718291783142296; 'recall': 0.6247334754797441; 'f1-score': 0.6427646962858231; 'support': 469}},{'0.0': {'precision': 0.875; 'recall': 0.5675675675675675; 'f1-score': 0.6885245901639344; 'support': 37}; '1.0': {'precision': 0.42857142857142855; 'recall': 0.8; 'f1-score': 0.5581395348837209; 'support': 15}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.6517857142857143; 'recall': 0.6837837837837838; 'f1-score': 0.6233320625238277; 'support': 52}; 'weighted avg': {'precision': 0.7462225274725275; 'recall': 0.6346153846153846; 'f1-score': 0.6509135165254113; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],14,0.889205,0.711538,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],14,0.796814,0.711538,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],14,0.982398,0.596154,1,[X4 < 211.500000],{'0.0': {'precision': 0.8454935622317596; 'recall': 0.5880597014925373; 'f1-score': 0.6936619718309859; 'support': 335}; '1.0': {'precision': 0.4152542372881356; 'recall': 0.7313432835820896; 'f1-score': 0.5297297297297298; 'support': 134}; 'accuracy': 0.6289978678038379; 'macro avg': {'precision': 0.6303738997599476; 'recall': 0.6597014925373135; 'f1-score': 0.6116958507803578; 'support': 469}; 'weighted avg': {'precision': 0.7225680408192956; 'recall': 0.6289978678038379; 'f1-score': 0.6468241883734841; 'support': 469}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.5405405405405406; 'f1-score': 0.6557377049180328; 'support': 37}; '1.0': {'precision': 0.39285714285714285; 'recall': 0.7333333333333333; 'f1-score': 0.5116279069767441; 'support': 15}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.6130952380952381; 'recall': 0.6369369369369369; 'f1-score': 0.5836828059473884; 'support': 52}; 'weighted avg': {'precision': 0.7062728937728939; 'recall': 0.5961538461538461; 'f1-score': 0.6141675708965073; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.591582 (+- 0.107052), (mean training time) 0.863711 (+- 0.066750)
