l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,35,[8; 9],564,1.238718,0.875000,1,[X2 >= 0.328340],{'0.0': {'precision': 0.875; 'recall': 0.4803921568627451; 'f1-score': 0.620253164556962; 'support': 102}; '1.0': {'precision': 0.7675438596491229; 'recall': 0.9615384615384616; 'f1-score': 0.8536585365853658; 'support': 182}; 'accuracy': 0.7887323943661971; 'macro avg': {'precision': 0.8212719298245614; 'recall': 0.7209653092006033; 'f1-score': 0.736955850571164; 'support': 284}; 'weighted avg': {'precision': 0.8061372621695083; 'recall': 0.7887323943661971; 'f1-score': 0.7698298466315026; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.84; 'recall': 1.0; 'f1-score': 0.9130434782608696; 'support': 21}; 'accuracy': 0.875; 'macro avg': {'precision': 0.9199999999999999; 'recall': 0.8181818181818181; 'f1-score': 0.8454106280193237; 'support': 32}; 'weighted avg': {'precision': 0.895; 'recall': 0.875; 'f1-score': 0.8665458937198067; 'support': 32}}
l: 5,1,CNF,1,284,32,35,[8; 9],564,1.251435,0.656250,1,[X2 >= 0.328340],{'0.0': {'precision': 0.9152542372881356; 'recall': 0.5294117647058824; 'f1-score': 0.670807453416149; 'support': 102}; '1.0': {'precision': 0.7866666666666666; 'recall': 0.9725274725274725; 'f1-score': 0.8697788697788696; 'support': 182}; 'accuracy': 0.8133802816901409; 'macro avg': {'precision': 0.8509604519774011; 'recall': 0.7509696186166774; 'f1-score': 0.7702931615975093; 'support': 284}; 'weighted avg': {'precision': 0.8328495265377575; 'recall': 0.8133802816901409; 'f1-score': 0.7983173047471883; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.18181818181818182; 'f1-score': 0.26666666666666666; 'support': 11}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.9047619047619048; 'f1-score': 0.7755102040816326; 'support': 21}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.5892857142857143; 'recall': 0.5432900432900433; 'f1-score': 0.5210884353741496; 'support': 32}; 'weighted avg': {'precision': 0.6171875; 'recall': 0.65625; 'f1-score': 0.6005952380952381; 'support': 32}}
l: 5,1,CNF,2,284,32,35,[8; 9],564,2.727154,0.750000,1,[X2 >= 0.600000],{'0.0': {'precision': 0.6823529411764706; 'recall': 0.5686274509803921; 'f1-score': 0.6203208556149732; 'support': 102}; '1.0': {'precision': 0.7788944723618091; 'recall': 0.8516483516483516; 'f1-score': 0.8136482939632547; 'support': 182}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7306237067691399; 'recall': 0.7101379013143718; 'f1-score': 0.7169845747891139; 'support': 284}; 'weighted avg': {'precision': 0.7442211055276383; 'recall': 0.75; 'f1-score': 0.744213791457886; 'support': 284}},{'0.0': {'precision': 0.6363636363636364; 'recall': 0.6363636363636364; 'f1-score': 0.6363636363636364; 'support': 11}; '1.0': {'precision': 0.8095238095238095; 'recall': 0.8095238095238095; 'f1-score': 0.8095238095238095; 'support': 21}; 'accuracy': 0.75; 'macro avg': {'precision': 0.722943722943723; 'recall': 0.722943722943723; 'f1-score': 0.722943722943723; 'support': 32}; 'weighted avg': {'precision': 0.75; 'recall': 0.75; 'f1-score': 0.75; 'support': 32}}
l: 5,1,CNF,3,284,32,35,[8; 9],564,1.895813,0.656250,1,[X11 >= -0.351510],{'0.0': {'precision': 0.84; 'recall': 0.2079207920792079; 'f1-score': 0.3333333333333333; 'support': 101}; '1.0': {'precision': 0.6911196911196911; 'recall': 0.9781420765027322; 'f1-score': 0.8099547511312217; 'support': 183}; 'accuracy': 0.704225352112676; 'macro avg': {'precision': 0.7655598455598456; 'recall': 0.59303143429097; 'f1-score': 0.5716440422322775; 'support': 284}; 'weighted avg': {'precision': 0.7440665615313503; 'recall': 0.704225352112676; 'f1-score': 0.6404520638157755; 'support': 284}},{'0.0': {'precision': 0.6; 'recall': 0.25; 'f1-score': 0.35294117647058826; 'support': 12}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.9; 'f1-score': 0.7659574468085106; 'support': 20}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.6333333333333333; 'recall': 0.575; 'f1-score': 0.5594493116395495; 'support': 32}; 'weighted avg': {'precision': 0.6416666666666666; 'recall': 0.65625; 'f1-score': 0.6110763454317897; 'support': 32}}
l: 5,1,CNF,4,284,32,35,[8; 9],564,1.309418,0.781250,1,[X2 >= 0.328340],{'0.0': {'precision': 0.8928571428571429; 'recall': 0.49504950495049505; 'f1-score': 0.6369426751592357; 'support': 101}; '1.0': {'precision': 0.7763157894736842; 'recall': 0.9672131147540983; 'f1-score': 0.8613138686131387; 'support': 183}; 'accuracy': 0.7992957746478874; 'macro avg': {'precision': 0.8345864661654135; 'recall': 0.7311313098522967; 'f1-score': 0.7491282718861872; 'support': 284}; 'weighted avg': {'precision': 0.8177618341628718; 'recall': 0.7992957746478874; 'f1-score': 0.7815198878425607; 'support': 284}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5; 'f1-score': 0.631578947368421; 'support': 12}; '1.0': {'precision': 0.76; 'recall': 0.95; 'f1-score': 0.8444444444444444; 'support': 20}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8085714285714285; 'recall': 0.725; 'f1-score': 0.7380116959064327; 'support': 32}; 'weighted avg': {'precision': 0.7964285714285714; 'recall': 0.78125; 'f1-score': 0.7646198830409356; 'support': 32}}
l: 5,1,CNF,5,284,32,35,[8; 9],564,1.125046,0.656250,1,[X17 >= -0.686270],{'0.0': {'precision': 0.92; 'recall': 0.22772277227722773; 'f1-score': 0.36507936507936506; 'support': 101}; '1.0': {'precision': 0.6988416988416989; 'recall': 0.9890710382513661; 'f1-score': 0.8190045248868778; 'support': 183}; 'accuracy': 0.7183098591549296; 'macro avg': {'precision': 0.8094208494208495; 'recall': 0.6083969052642969; 'f1-score': 0.5920419449831215; 'support': 284}; 'weighted avg': {'precision': 0.777493066507151; 'recall': 0.7183098591549296; 'f1-score': 0.6575733941102624; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.16666666666666666; 'f1-score': 0.26666666666666666; 'support': 12}; '1.0': {'precision': 0.6551724137931034; 'recall': 0.95; 'f1-score': 0.7755102040816326; 'support': 20}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.6609195402298851; 'recall': 0.5583333333333333; 'f1-score': 0.5210884353741496; 'support': 32}; 'weighted avg': {'precision': 0.6594827586206896; 'recall': 0.65625; 'f1-score': 0.5846938775510204; 'support': 32}}
l: 5,1,CNF,6,285,31,35,[8; 9],564,1.166299,0.903226,1,[X2 >= 0.328340],{'0.0': {'precision': 0.8727272727272727; 'recall': 0.47058823529411764; 'f1-score': 0.6114649681528662; 'support': 102}; '1.0': {'precision': 0.7652173913043478; 'recall': 0.9617486338797814; 'f1-score': 0.8523002421307506; 'support': 183}; 'accuracy': 0.7859649122807018; 'macro avg': {'precision': 0.8189723320158102; 'recall': 0.7161684345869495; 'f1-score': 0.7318826051418084; 'support': 285}; 'weighted avg': {'precision': 0.8036946120241314; 'recall': 0.7859649122807018; 'f1-score': 0.7661065651281395; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.7272727272727273; 'f1-score': 0.8421052631578948; 'support': 11}; '1.0': {'precision': 0.8695652173913043; 'recall': 1.0; 'f1-score': 0.9302325581395349; 'support': 20}; 'accuracy': 0.9032258064516129; 'macro avg': {'precision': 0.9347826086956521; 'recall': 0.8636363636363636; 'f1-score': 0.8861689106487148; 'support': 31}; 'weighted avg': {'precision': 0.9158485273492286; 'recall': 0.9032258064516129; 'f1-score': 0.8989615825008884; 'support': 31}}
l: 5,1,CNF,7,285,31,35,[8; 9],564,1.250050,0.806452,1,[X2 >= 0.328340],{'0.0': {'precision': 0.8793103448275862; 'recall': 0.5; 'f1-score': 0.6375; 'support': 102}; '1.0': {'precision': 0.775330396475771; 'recall': 0.9617486338797814; 'f1-score': 0.8585365853658538; 'support': 183}; 'accuracy': 0.7964912280701755; 'macro avg': {'precision': 0.8273203706516785; 'recall': 0.7308743169398907; 'f1-score': 0.7480182926829269; 'support': 285}; 'weighted avg': {'precision': 0.8125442727279997; 'recall': 0.7964912280701755; 'f1-score': 0.7794287548138639; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7692307692307693; 'recall': 1.0; 'f1-score': 0.8695652173913044; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.8846153846153846; 'recall': 0.7272727272727273; 'f1-score': 0.7472826086956522; 'support': 31}; 'weighted avg': {'precision': 0.8511166253101737; 'recall': 0.8064516129032258; 'f1-score': 0.7827840112201965; 'support': 31}}
l: 5,1,CNF,8,285,31,35,[8; 9],564,1.146723,0.580645,2,[X2 < 0.871110 OR X3 < 0.136450],{'0.0': {'precision': 0.2653061224489796; 'recall': 0.12745098039215685; 'f1-score': 0.17218543046357615; 'support': 102}; '1.0': {'precision': 0.6228813559322034; 'recall': 0.8032786885245902; 'f1-score': 0.701670644391408; 'support': 183}; 'accuracy': 0.5614035087719298; 'macro avg': {'precision': 0.4440937391905915; 'recall': 0.4653648344583735; 'f1-score': 0.4369280374274921; 'support': 285}; 'weighted avg': {'precision': 0.4949070618434707; 'recall': 0.5614035087719298; 'f1-score': 0.5121706730909208; 'support': 285}},{'0.0': {'precision': 0.25; 'recall': 0.09090909090909091; 'f1-score': 0.13333333333333333; 'support': 11}; '1.0': {'precision': 0.6296296296296297; 'recall': 0.85; 'f1-score': 0.723404255319149; 'support': 20}; 'accuracy': 0.5806451612903226; 'macro avg': {'precision': 0.4398148148148148; 'recall': 0.47045454545454546; 'f1-score': 0.42836879432624114; 'support': 31}; 'weighted avg': {'precision': 0.49492234169653526; 'recall': 0.5806451612903226; 'f1-score': 0.514024250743537; 'support': 31}}
l: 5,1,CNF,9,285,31,35,[8; 9],564,1.104575,0.870968,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9666666666666667; 'recall': 0.5686274509803921; 'f1-score': 0.7160493827160493; 'support': 102}; '1.0': {'precision': 0.8044444444444444; 'recall': 0.9890710382513661; 'f1-score': 0.8872549019607843; 'support': 183}; 'accuracy': 0.8385964912280702; 'macro avg': {'precision': 0.8855555555555555; 'recall': 0.7788492446158791; 'f1-score': 0.8016521423384169; 'support': 285}; 'weighted avg': {'precision': 0.8625029239766082; 'recall': 0.8385964912280702; 'f1-score': 0.8259813477047738; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8181818181818181; 'f1-score': 0.8434343434343434; 'support': 31}; 'weighted avg': {'precision': 0.8924731182795699; 'recall': 0.8709677419354839; 'f1-score': 0.862495927012056; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 35}, (mean val acc cv) 0.753629 (+- 0.106215), (mean training time) 1.421523 (+- 0.486102)
