l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],296,1074.953578,0.827021,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8213428751841717; 'recall': 0.9744294061828896; 'f1-score': 0.8913609575585911; 'support': 20023}; '1': {'precision': 0.8045055364642993; 'recall': 0.331758778145174; 'f1-score': 0.4697881828316611; 'support': 6351}; 'accuracy': 0.8196708879957534; 'macro avg': {'precision': 0.8129242058242355; 'recall': 0.6530940921640318; 'f1-score': 0.6805745701951261; 'support': 26374}; 'weighted avg': {'precision': 0.8172883541327608; 'recall': 0.8196708879957534; 'f1-score': 0.7898439827997099; 'support': 26374}},{'0': {'precision': 0.8273628048780488; 'recall': 0.9757303370786516; 'f1-score': 0.8954423592493298; 'support': 2225}; '1': {'precision': 0.8241042345276873; 'recall': 0.358356940509915; 'f1-score': 0.4995064165844027; 'support': 706}; 'accuracy': 0.827021494370522; 'macro avg': {'precision': 0.8257335197028681; 'recall': 0.6670436387942833; 'f1-score': 0.6974743879168662; 'support': 2931}; 'weighted avg': {'precision': 0.8265779018867984; 'recall': 0.827021494370522; 'f1-score': 0.8000719138308929; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],296,1042.148227,0.828386,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8215022959935965; 'recall': 0.9738800379563501; 'f1-score': 0.8912248628884826; 'support': 20023}; '1': {'precision': 0.801668562760713; 'recall': 0.33286096677688554; 'f1-score': 0.470404984423676; 'support': 6351}; 'accuracy': 0.8195192234776674; 'macro avg': {'precision': 0.8115854293771547; 'recall': 0.6533705023666179; 'f1-score': 0.6808149236560793; 'support': 26374}; 'weighted avg': {'precision': 0.8167262271469278; 'recall': 0.8195192234776674; 'f1-score': 0.789889189568926; 'support': 26374}},{'0': {'precision': 0.825889477668433; 'recall': 0.9806741573033708; 'f1-score': 0.896650914320937; 'support': 2225}; '1': {'precision': 0.8512110726643599; 'recall': 0.34844192634560905; 'f1-score': 0.49447236180904525; 'support': 706}; 'accuracy': 0.8283862163084271; 'macro avg': {'precision': 0.8385502751663965; 'recall': 0.66455804182449; 'f1-score': 0.6955616380649912; 'support': 2931}; 'weighted avg': {'precision': 0.8319887769066194; 'recall': 0.8283862163084271; 'f1-score': 0.7997767901061995; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],296,1055.993854,0.812351,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.822533074913626; 'recall': 0.9749787744094291; 'f1-score': 0.8922915190712344; 'support': 20023}; '1': {'precision': 0.8102272727272727; 'recall': 0.3367973547472839; 'f1-score': 0.4758091424758092; 'support': 6351}; 'accuracy': 0.8213012815651778; 'macro avg': {'precision': 0.8163801738204494; 'recall': 0.6558880645783565; 'f1-score': 0.6840503307735217; 'support': 26374}; 'weighted avg': {'precision': 0.8195697720515069; 'recall': 0.8213012815651778; 'f1-score': 0.7920003393579735; 'support': 26374}},{'0': {'precision': 0.8166351606805293; 'recall': 0.9707865168539326; 'f1-score': 0.8870636550308008; 'support': 2225}; '1': {'precision': 0.7727272727272727; 'recall': 0.3130311614730878; 'f1-score': 0.4455645161290322; 'support': 706}; 'accuracy': 0.8123507335380417; 'macro avg': {'precision': 0.794681216703901; 'recall': 0.6419088391635102; 'f1-score': 0.6663140855799164; 'support': 2931}; 'weighted avg': {'precision': 0.8060589174546682; 'recall': 0.8123507335380417; 'f1-score': 0.7807182466157039; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],296,1192.993124,0.816104,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1862.000000],{'0': {'precision': 0.8205160531181711; 'recall': 0.9751286021075762; 'f1-score': 0.891165932586321; 'support': 20023}; '1': {'precision': 0.8068269976726145; 'recall': 0.32750747913714373; 'f1-score': 0.46589763691342806; 'support': 6351}; 'accuracy': 0.8191779783119739; 'macro avg': {'precision': 0.8136715253953928; 'recall': 0.65131804062236; 'f1-score': 0.6785317847498745; 'support': 26374}; 'weighted avg': {'precision': 0.8172196554866124; 'recall': 0.8191779783119739; 'f1-score': 0.788759056654777; 'support': 26374}},{'0': {'precision': 0.820532319391635; 'recall': 0.9698876404494382; 'f1-score': 0.8889804325437693; 'support': 2225}; '1': {'precision': 0.7774086378737541; 'recall': 0.3314447592067989; 'f1-score': 0.46474677259185704; 'support': 706}; 'accuracy': 0.8161037188672808; 'macro avg': {'precision': 0.7989704786326945; 'recall': 0.6506661998281186; 'f1-score': 0.6768636025678132; 'support': 2931}; 'weighted avg': {'precision': 0.8101449706534486; 'recall': 0.8161037188672808; 'f1-score': 0.7867938191264885; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],296,1167.029045,0.822586,4,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 10],{'0': {'precision': 0.8221547287606513; 'recall': 0.9733806122958598; 'f1-score': 0.8913993002355417; 'support': 20023}; '1': {'precision': 0.8002248875562219; 'recall': 0.33616753267202015; 'f1-score': 0.473444949550948; 'support': 6351}; 'accuracy': 0.8199363009024039; 'macro avg': {'precision': 0.8111898081584366; 'recall': 0.6547740724839399; 'f1-score': 0.6824221248932448; 'support': 26374}; 'weighted avg': {'precision': 0.816873905924171; 'recall': 0.8199363009024039; 'f1-score': 0.7907536613033413; 'support': 26374}},{'0': {'precision': 0.8215767634854771; 'recall': 0.9788764044943821; 'f1-score': 0.8933552091878589; 'support': 2225}; '1': {'precision': 0.8321428571428572; 'recall': 0.330028328611898; 'f1-score': 0.4726166328600406; 'support': 706}; 'accuracy': 0.8225861480723302; 'macro avg': {'precision': 0.8268598103141671; 'recall': 0.6544523665531401; 'f1-score': 0.6829859210239497; 'support': 2931}; 'weighted avg': {'precision': 0.8241218546223281; 'recall': 0.8225861480723302; 'f1-score': 0.7920104685234305; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],296,1142.179157,0.821160,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8210097103703392; 'recall': 0.9754282575038705; 'f1-score': 0.8915822149182873; 'support': 20023}; '1': {'precision': 0.8097447795823666; 'recall': 0.32965994962216627; 'f1-score': 0.46856119937346163; 'support': 6352}; 'accuracy': 0.8199052132701422; 'macro avg': {'precision': 0.8153772449763529; 'recall': 0.6525441035630184; 'f1-score': 0.6800717071458744; 'support': 26375}; 'weighted avg': {'precision': 0.8182967306408528; 'recall': 0.8199052132701422; 'f1-score': 0.7897043195347524; 'support': 26375}},{'0': {'precision': 0.8184200673904904; 'recall': 0.9824719101123596; 'f1-score': 0.8929738562091504; 'support': 2225}; '1': {'precision': 0.8494208494208494; 'recall': 0.3120567375886525; 'f1-score': 0.4564315352697095; 'support': 705}; 'accuracy': 0.821160409556314; 'macro avg': {'precision': 0.8339204584056699; 'recall': 0.647264323850506; 'f1-score': 0.67470269573943; 'support': 2930}; 'weighted avg': {'precision': 0.8258792999268055; 'recall': 0.821160409556314; 'f1-score': 0.7879355161878856; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],296,1046.437151,0.817747,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 41],{'0': {'precision': 0.8208854910526758; 'recall': 0.97597762573041; 'f1-score': 0.8917383467567136; 'support': 20023}; '1': {'precision': 0.8127676138575322; 'recall': 0.32871536523929473; 'f1-score': 0.468108956395023; 'support': 6352}; 'accuracy': 0.8200947867298578; 'macro avg': {'precision': 0.8168265524551039; 'recall': 0.6523464954848524; 'f1-score': 0.6799236515758683; 'support': 26375}; 'weighted avg': {'precision': 0.8189304292159535; 'recall': 0.8200947867298578; 'f1-score': 0.7897139339575683; 'support': 26375}},{'0': {'precision': 0.8203865100416825; 'recall': 0.9730337078651685; 'f1-score': 0.8902138157894737; 'support': 2225}; '1': {'precision': 0.7938144329896907; 'recall': 0.3276595744680851; 'f1-score': 0.4638554216867469; 'support': 705}; 'accuracy': 0.8177474402730376; 'macro avg': {'precision': 0.8071004715156866; 'recall': 0.6503466411666268; 'f1-score': 0.6770346187381103; 'support': 2930}; 'weighted avg': {'precision': 0.8139928874063057; 'recall': 0.8177474402730376; 'f1-score': 0.7876258745463262; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],296,1019.839965,0.814676,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8221819866099626; 'recall': 0.9751785446736253; 'f1-score': 0.8921685095494837; 'support': 20023}; '1': {'precision': 0.8107387661843107; 'recall': 0.33517002518891686; 'f1-score': 0.4742704388505235; 'support': 6352}; 'accuracy': 0.821042654028436; 'macro avg': {'precision': 0.8164603763971366; 'recall': 0.6551742849312711; 'f1-score': 0.6832194742000036; 'support': 26375}; 'weighted avg': {'precision': 0.819426068651906; 'recall': 0.821042654028436; 'f1-score': 0.7915243940962212; 'support': 26375}},{'0': {'precision': 0.8197718631178708; 'recall': 0.9689887640449438; 'f1-score': 0.8881565396498456; 'support': 2225}; '1': {'precision': 0.77; 'recall': 0.3276595744680851; 'f1-score': 0.4597014925373134; 'support': 705}; 'accuracy': 0.8146757679180887; 'macro avg': {'precision': 0.7948859315589354; 'recall': 0.6483241692565145; 'f1-score': 0.6739290160935796; 'support': 2930}; 'weighted avg': {'precision': 0.8077960393983831; 'recall': 0.8146757679180887; 'f1-score': 0.7850641136381272; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],296,1019.513721,0.827986,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8211926103606447; 'recall': 0.9745305633240112; 'f1-score': 0.891314773791308; 'support': 20024}; '1': {'precision': 0.8047473200612557; 'recall': 0.3309715005510943; 'f1-score': 0.4690393841347763; 'support': 6351}; 'accuracy': 0.819563981042654; 'macro avg': {'precision': 0.8129699652109502; 'recall': 0.6527510319375528; 'f1-score': 0.6801770789630421; 'support': 26375}; 'weighted avg': {'precision': 0.8172326468083634; 'recall': 0.819563981042654; 'f1-score': 0.7896324610061465; 'support': 26375}},{'0': {'precision': 0.8287461773700305; 'recall': 0.9748201438848921; 'f1-score': 0.8958677685950414; 'support': 2224}; '1': {'precision': 0.821656050955414; 'recall': 0.3654390934844193; 'f1-score': 0.5058823529411766; 'support': 706}; 'accuracy': 0.8279863481228669; 'macro avg': {'precision': 0.8252011141627222; 'recall': 0.6701296186846557; 'f1-score': 0.7008750607681089; 'support': 2930}; 'weighted avg': {'precision': 0.8270377714830957; 'recall': 0.8279863481228669; 'f1-score': 0.8018985865296392; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],296,1070.197890,0.812628,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.822533074913626; 'recall': 0.9749300838993208; 'f1-score': 0.8922711275652452; 'support': 20024}; '1': {'precision': 0.8099204846648996; 'recall': 0.3367973547472839; 'f1-score': 0.4757562277580071; 'support': 6351}; 'accuracy': 0.8212701421800948; 'macro avg': {'precision': 0.8162267797892628; 'recall': 0.6558637193233023; 'f1-score': 0.6840136776616261; 'support': 26375}; 'weighted avg': {'precision': 0.8194960110019801; 'recall': 0.8212701421800948; 'f1-score': 0.7919759188950738; 'support': 26375}},{'0': {'precision': 0.8166351606805293; 'recall': 0.9712230215827338; 'f1-score': 0.8872458410351202; 'support': 2224}; '1': {'precision': 0.775438596491228; 'recall': 0.3130311614730878; 'f1-score': 0.4460141271442986; 'support': 706}; 'accuracy': 0.8126279863481228; 'macro avg': {'precision': 0.7960368785858787; 'recall': 0.6421270915279108; 'f1-score': 0.6666299840897094; 'support': 2930}; 'weighted avg': {'precision': 0.8067086165448137; 'recall': 0.8126279863481228; 'f1-score': 0.7809285748211543; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.820065 (+- 0.005940), (mean training time) 1083.128571 (+- 58.859793)
