l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.917161,0.566038,2,[X2 >= 1.400000 OR X2 < 0.800000],{'0.0': {'precision': 0.3712574850299401; 'recall': 0.46616541353383456; 'f1-score': 0.41333333333333333; 'support': 133}; '1.0': {'precision': 0.7641196013289037; 'recall': 0.6865671641791045; 'f1-score': 0.7232704402515723; 'support': 335}; 'accuracy': 0.6239316239316239; 'macro avg': {'precision': 0.5676885431794219; 'recall': 0.5763662888564696; 'f1-score': 0.5683018867924527; 'support': 468}; 'weighted avg': {'precision': 0.6524728887909503; 'recall': 0.6239316239316239; 'f1-score': 0.6351900231145514; 'support': 468}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.5333333333333333; 'f1-score': 0.4102564102564102; 'support': 15}; '1.0': {'precision': 0.7586206896551724; 'recall': 0.5789473684210527; 'f1-score': 0.6567164179104478; 'support': 38}; 'accuracy': 0.5660377358490566; 'macro avg': {'precision': 0.5459770114942528; 'recall': 0.5561403508771929; 'f1-score': 0.533486414083429; 'support': 53}; 'weighted avg': {'precision': 0.6382563435263501; 'recall': 0.5660377358490566; 'f1-score': 0.5869635855555314; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],158,2.042084,0.711538,2,[X5 >= 30.000000 OR X5 < 18.000000],{'0.0': {'precision': 0.38848920863309355; 'recall': 0.40298507462686567; 'f1-score': 0.3956043956043956; 'support': 134}; '1.0': {'precision': 0.7575757575757576; 'recall': 0.746268656716418; 'f1-score': 0.7518796992481201; 'support': 335}; 'accuracy': 0.6481876332622601; 'macro avg': {'precision': 0.5730324831044256; 'recall': 0.5746268656716418; 'f1-score': 0.5737420474262579; 'support': 469}; 'weighted avg': {'precision': 0.6521224578778536; 'recall': 0.6481876332622601; 'f1-score': 0.6500867553499131; 'support': 469}},{'0.0': {'precision': 0.4666666666666667; 'recall': 0.5; 'f1-score': 0.4827586206896552; 'support': 14}; '1.0': {'precision': 0.8108108108108109; 'recall': 0.7894736842105263; 'f1-score': 0.8; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6387387387387388; 'recall': 0.6447368421052632; 'f1-score': 0.6413793103448276; 'support': 52}; 'weighted avg': {'precision': 0.7181566181566181; 'recall': 0.7115384615384616; 'f1-score': 0.7145888594164457; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],158,1.939753,0.576923,3,[X0 < 35.000000 OR X2 >= 1.000000 OR X5 >= 74.000000],{'0.0': {'precision': 0.43283582089552236; 'recall': 0.43283582089552236; 'f1-score': 0.43283582089552236; 'support': 134}; '1.0': {'precision': 0.7731343283582089; 'recall': 0.7731343283582089; 'f1-score': 0.7731343283582089; 'support': 335}; 'accuracy': 0.67590618336887; 'macro avg': {'precision': 0.6029850746268657; 'recall': 0.6029850746268657; 'f1-score': 0.6029850746268657; 'support': 469}; 'weighted avg': {'precision': 0.67590618336887; 'recall': 0.67590618336887; 'f1-score': 0.67590618336887; 'support': 469}},{'0.0': {'precision': 0.21428571428571427; 'recall': 0.21428571428571427; 'f1-score': 0.21428571428571427; 'support': 14}; '1.0': {'precision': 0.7105263157894737; 'recall': 0.7105263157894737; 'f1-score': 0.7105263157894737; 'support': 38}; 'accuracy': 0.5769230769230769; 'macro avg': {'precision': 0.462406015037594; 'recall': 0.462406015037594; 'f1-score': 0.462406015037594; 'support': 52}; 'weighted avg': {'precision': 0.5769230769230769; 'recall': 0.5769230769230769; 'f1-score': 0.5769230769230769; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],158,2.098610,0.750000,4,[(NOT X1) OR X2 >= 3.300000 OR X3 >= 4.100000 OR X5 >= 21.000000],{'0.0': {'precision': 0.40384615384615385; 'recall': 0.15789473684210525; 'f1-score': 0.227027027027027; 'support': 133}; '1.0': {'precision': 0.7314148681055156; 'recall': 0.9077380952380952; 'f1-score': 0.8100929614873839; 'support': 336}; 'accuracy': 0.6950959488272921; 'macro avg': {'precision': 0.5676305109758347; 'recall': 0.5328164160401002; 'f1-score': 0.5185599942572054; 'support': 469}; 'weighted avg': {'precision': 0.6385222476439055; 'recall': 0.6950959488272921; 'f1-score': 0.6447459054463871; 'support': 469}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.26666666666666666; 'f1-score': 0.3809523809523809; 'support': 15}; '1.0': {'precision': 0.7608695652173914; 'recall': 0.9459459459459459; 'f1-score': 0.8433734939759038; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.713768115942029; 'recall': 0.6063063063063063; 'f1-score': 0.6121629374641423; 'support': 52}; 'weighted avg': {'precision': 0.7336956521739132; 'recall': 0.75; 'f1-score': 0.7099827882960413; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],158,2.061967,0.615385,2,[X0 >= 66.000000 OR X4 >= 182.000000],{'0.0': {'precision': 0.45081967213114754; 'recall': 0.41353383458646614; 'f1-score': 0.4313725490196078; 'support': 133}; '1.0': {'precision': 0.7752161383285303; 'recall': 0.8005952380952381; 'f1-score': 0.7877013177159591; 'support': 336}; 'accuracy': 0.6908315565031983; 'macro avg': {'precision': 0.6130179052298389; 'recall': 0.6070645363408521; 'f1-score': 0.6095369333677835; 'support': 469}; 'weighted avg': {'precision': 0.6832231106009142; 'recall': 0.6908315565031983; 'f1-score': 0.6866528609214714; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.3333333333333333; 'f1-score': 0.3333333333333333; 'support': 15}; '1.0': {'precision': 0.7297297297297297; 'recall': 0.7297297297297297; 'f1-score': 0.7297297297297297; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5315315315315315; 'recall': 0.5315315315315315; 'f1-score': 0.5315315315315315; 'support': 52}; 'weighted avg': {'precision': 0.6153846153846154; 'recall': 0.6153846153846154; 'f1-score': 0.6153846153846154; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],158,2.055291,0.576923,3,[X0 < 23.000000 OR X2 >= 0.900000 OR X4 < 182.000000],{'0.0': {'precision': 0.41025641025641024; 'recall': 0.24060150375939848; 'f1-score': 0.3033175355450237; 'support': 133}; '1.0': {'precision': 0.7416879795396419; 'recall': 0.8630952380952381; 'f1-score': 0.7977991746905089; 'support': 336}; 'accuracy': 0.6865671641791045; 'macro avg': {'precision': 0.5759721948980261; 'recall': 0.5518483709273183; 'f1-score': 0.5505583551177663; 'support': 469}; 'weighted avg': {'precision': 0.6476999225787254; 'recall': 0.6865671641791045; 'f1-score': 0.6575730382164161; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.8108108108108109; 'f1-score': 0.7317073170731707; 'support': 37}; 'accuracy': 0.5769230769230769; 'macro avg': {'precision': 0.3333333333333333; 'recall': 0.40540540540540543; 'f1-score': 0.36585365853658536; 'support': 52}; 'weighted avg': {'precision': 0.47435897435897434; 'recall': 0.5769230769230769; 'f1-score': 0.5206378986866792; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],158,1.794263,0.615385,2,[X1 OR X2 < 0.800000],{'0.0': {'precision': 0.2839506172839506; 'recall': 0.17293233082706766; 'f1-score': 0.21495327102803738; 'support': 133}; '1.0': {'precision': 0.7164948453608248; 'recall': 0.8273809523809523; 'f1-score': 0.7679558011049724; 'support': 336}; 'accuracy': 0.6417910447761194; 'macro avg': {'precision': 0.5002227313223877; 'recall': 0.50015664160401; 'f1-score': 0.4914545360665049; 'support': 469}; 'weighted avg': {'precision': 0.5938330493390246; 'recall': 0.6417910447761194; 'f1-score': 0.6111341880980804; 'support': 469}},{'0.0': {'precision': 0.14285714285714285; 'recall': 0.06666666666666667; 'f1-score': 0.09090909090909091; 'support': 15}; '1.0': {'precision': 0.6888888888888889; 'recall': 0.8378378378378378; 'f1-score': 0.7560975609756098; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.41587301587301584; 'recall': 0.45225225225225224; 'f1-score': 0.42350332594235035; 'support': 52}; 'weighted avg': {'precision': 0.5313797313797314; 'recall': 0.6153846153846154; 'f1-score': 0.5642162715333447; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],158,1.711067,0.596154,4,[X0 >= 49.000000 OR X0 < 23.000000 OR X2 >= 2.000000 OR X6 < 19.000000],{'0.0': {'precision': 0.36363636363636365; 'recall': 0.3609022556390977; 'f1-score': 0.36226415094339626; 'support': 133}; '1.0': {'precision': 0.7477744807121661; 'recall': 0.75; 'f1-score': 0.7488855869242198; 'support': 336}; 'accuracy': 0.6396588486140725; 'macro avg': {'precision': 0.5557054221742649; 'recall': 0.5554511278195489; 'f1-score': 0.555574868933808; 'support': 469}; 'weighted avg': {'precision': 0.6388397907951474; 'recall': 0.6396588486140725; 'f1-score': 0.6392466722430907; 'support': 469}},{'0.0': {'precision': 0.3125; 'recall': 0.3333333333333333; 'f1-score': 0.3225806451612903; 'support': 15}; '1.0': {'precision': 0.7222222222222222; 'recall': 0.7027027027027027; 'f1-score': 0.7123287671232876; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.5173611111111112; 'recall': 0.5180180180180181; 'f1-score': 0.517454706142289; 'support': 52}; 'weighted avg': {'precision': 0.6040331196581197; 'recall': 0.5961538461538461; 'f1-score': 0.5999014242496346; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],158,1.844692,0.769231,2,[(NOT X1) OR X2 >= 1.400000],{'0.0': {'precision': 0.37433155080213903; 'recall': 0.5263157894736842; 'f1-score': 0.43749999999999994; 'support': 133}; '1.0': {'precision': 0.776595744680851; 'recall': 0.6517857142857143; 'f1-score': 0.7087378640776699; 'support': 336}; 'accuracy': 0.6162046908315565; 'macro avg': {'precision': 0.575463647741495; 'recall': 0.5890507518796992; 'f1-score': 0.5731189320388349; 'support': 469}; 'weighted avg': {'precision': 0.6625208240286791; 'recall': 0.6162046908315565; 'f1-score': 0.6318196638168381; 'support': 469}},{'0.0': {'precision': 0.5789473684210527; 'recall': 0.7333333333333333; 'f1-score': 0.6470588235294117; 'support': 15}; '1.0': {'precision': 0.8787878787878788; 'recall': 0.7837837837837838; 'f1-score': 0.8285714285714285; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.7288676236044658; 'recall': 0.7585585585585586; 'f1-score': 0.7378151260504201; 'support': 52}; 'weighted avg': {'precision': 0.7922954238743712; 'recall': 0.7692307692307693; 'f1-score': 0.7762120232708468; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],158,1.773072,0.692308,2,[X2 >= 1.400000 OR X4 >= 236.800000],{'0.0': {'precision': 0.43; 'recall': 0.6466165413533834; 'f1-score': 0.5165165165165165; 'support': 133}; '1.0': {'precision': 0.8252788104089219; 'recall': 0.6607142857142857; 'f1-score': 0.7338842975206611; 'support': 336}; 'accuracy': 0.6567164179104478; 'macro avg': {'precision': 0.6276394052044609; 'recall': 0.6536654135338346; 'f1-score': 0.6252004070185888; 'support': 469}; 'weighted avg': {'precision': 0.7131848193974366; 'recall': 0.6567164179104478; 'f1-score': 0.6722426879821723; 'support': 469}},{'0.0': {'precision': 0.4782608695652174; 'recall': 0.7333333333333333; 'f1-score': 0.5789473684210527; 'support': 15}; '1.0': {'precision': 0.8620689655172413; 'recall': 0.6756756756756757; 'f1-score': 0.7575757575757576; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6701649175412294; 'recall': 0.7045045045045044; 'f1-score': 0.6682615629984051; 'support': 52}; 'weighted avg': {'precision': 0.7513550916849266; 'recall': 0.6923076923076923; 'f1-score': 0.706048337627285; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.646988 (+- 0.072614), (mean training time) 1.923796 (+- 0.131240)
