l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],262,122.534993,0.669396,3,[X3 == 12 OR X6 == 1 OR X6 == 10],{'0': {'precision': 0.7915567282321899; 'recall': 0.7641212605503671; 'f1-score': 0.7775970725757267; 'support': 20023}; '1': {'precision': 0.32959545777146915; 'recall': 0.3656117146905999; 'f1-score': 0.34667064795461333; 'support': 6351}; 'accuracy': 0.6681580344278456; 'macro avg': {'precision': 0.5605760930018295; 'recall': 0.5648664876204835; 'f1-score': 0.56213386026517; 'support': 26374}; 'weighted avg': {'precision': 0.6803139880829506; 'recall': 0.6681580344278456; 'f1-score': 0.6738276889870146; 'support': 26374}},{'0': {'precision': 0.7979127134724858; 'recall': 0.7559550561797753; 'f1-score': 0.7763674128779137; 'support': 2225}; '1': {'precision': 0.3402187120291616; 'recall': 0.39660056657223797; 'f1-score': 0.3662524525833878; 'support': 706}; 'accuracy': 0.6693961105424769; 'macro avg': {'precision': 0.5690657127508237; 'recall': 0.5762778113760066; 'f1-score': 0.5713099327306508; 'support': 2931}; 'weighted avg': {'precision': 0.687666393097533; 'recall': 0.6693961105424769; 'f1-score': 0.6775816189618662; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],262,116.387053,0.550324,4,[X1 == 5 OR X3 == 10 OR X3 == 11 OR X3 == 12],{'0': {'precision': 0.7663737250625441; 'recall': 0.5966638365879239; 'f1-score': 0.6709536111423116; 'support': 20023}; '1': {'precision': 0.25118219749652293; 'recall': 0.42654700047236654; 'f1-score': 0.3161764705882352; 'support': 6351}; 'accuracy': 0.5556987942670812; 'macro avg': {'precision': 0.5087779612795336; 'recall': 0.5116054185301452; 'f1-score': 0.4935650408652734; 'support': 26374}; 'weighted avg': {'precision': 0.642312854827775; 'recall': 0.5556987942670812; 'f1-score': 0.5855213816868274; 'support': 26374}},{'0': {'precision': 0.7619872905834778; 'recall': 0.592808988764045; 'f1-score': 0.666835187057634; 'support': 2225}; '1': {'precision': 0.245; 'recall': 0.4164305949008499; 'f1-score': 0.30849947534102834; 'support': 706}; 'accuracy': 0.5503241214602524; 'macro avg': {'precision': 0.5034936452917389; 'recall': 0.5046197918324474; 'f1-score': 0.48766733119933114; 'support': 2931}; 'weighted avg': {'precision': 0.6374587927493136; 'recall': 0.5503241214602524; 'f1-score': 0.5805216379372233; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],262,108.025821,0.721938,4,[X1 == 1 OR X3 == 9 OR X3 == 14 OR X7 == 5],{'0': {'precision': 0.821675518589037; 'recall': 0.819008140638266; 'f1-score': 0.820339661339136; 'support': 20023}; '1': {'precision': 0.43516209476309226; 'recall': 0.4396158085340891; 'f1-score': 0.4373776141615101; 'support': 6351}; 'accuracy': 0.7276484416470766; 'macro avg': {'precision': 0.6284188066760646; 'recall': 0.6293119745861775; 'f1-score': 0.6288586377503231; 'support': 26374}; 'weighted avg': {'precision': 0.7286010226946494; 'recall': 0.7276484416470766; 'f1-score': 0.7281203559010112; 'support': 26374}},{'0': {'precision': 0.8113957597173145; 'recall': 0.8256179775280899; 'f1-score': 0.8184450879928714; 'support': 2225}; '1': {'precision': 0.41829085457271364; 'recall': 0.3951841359773371; 'f1-score': 0.40640932265112895; 'support': 706}; 'accuracy': 0.7219379051518253; 'macro avg': {'precision': 0.6148433071450141; 'recall': 0.6104010567527135; 'f1-score': 0.6124272053220001; 'support': 2931}; 'weighted avg': {'precision': 0.716707235994323; 'recall': 0.7219379051518253; 'f1-score': 0.7191966231920287; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],262,105.211094,0.640396,3,[X0 >= 50.000000 OR X5 == 2 OR X6 == 13],{'0': {'precision': 0.9439563251727373; 'recall': 0.5526644358987165; 'f1-score': 0.697158697158697; 'support': 20023}; '1': {'precision': 0.38864241348713396; 'recall': 0.896551724137931; 'f1-score': 0.5422340729454337; 'support': 6351}; 'accuracy': 0.6354743307803139; 'macro avg': {'precision': 0.6662993693299356; 'recall': 0.7246080800183238; 'f1-score': 0.6196963850520654; 'support': 26374}; 'weighted avg': {'precision': 0.8102337706449727; 'recall': 0.6354743307803139; 'f1-score': 0.6598520205689331; 'support': 26374}},{'0': {'precision': 0.9479724560061209; 'recall': 0.5568539325842696; 'f1-score': 0.7015855039637598; 'support': 2225}; '1': {'precision': 0.39285714285714285; 'recall': 0.9036827195467422; 'f1-score': 0.5476394849785408; 'support': 706}; 'accuracy': 0.6403957693619925; 'macro avg': {'precision': 0.6704147994316318; 'recall': 0.7302683260655058; 'f1-score': 0.6246124944711503; 'support': 2931}; 'weighted avg': {'precision': 0.8142599309009763; 'recall': 0.6403957693619925; 'f1-score': 0.6645039995613155; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],262,105.205728,0.655749,6,[X1 == 1 OR X5 == 1 OR X6 == 8 OR X7 == 5 OR X13 == 22 OR X13 == 34],{'0': {'precision': 0.7538715293686429; 'recall': 0.8217549817709634; 'f1-score': 0.7863509283375946; 'support': 20023}; '1': {'precision': 0.215259454705365; 'recall': 0.1541489529207999; 'f1-score': 0.1796495091292779; 'support': 6351}; 'accuracy': 0.6609918859482824; 'macro avg': {'precision': 0.48456549203700394; 'recall': 0.48795196734588164; 'f1-score': 0.48300021873343624; 'support': 26374}; 'weighted avg': {'precision': 0.6241708663601315; 'recall': 0.6609918859482824; 'f1-score': 0.6402539876614735; 'support': 26374}},{'0': {'precision': 0.7529118136439268; 'recall': 0.8134831460674158; 'f1-score': 0.7820263555843594; 'support': 2225}; '1': {'precision': 0.2125237191650854; 'recall': 0.15864022662889518; 'f1-score': 0.18167072181670718; 'support': 706}; 'accuracy': 0.6557488911634255; 'macro avg': {'precision': 0.4827177664045061; 'recall': 0.4860616863481555; 'f1-score': 0.4818485387005333; 'support': 2931}; 'weighted avg': {'precision': 0.6227466840969933; 'recall': 0.6557488911634255; 'f1-score': 0.6374166396375963; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],262,120.885292,0.734471,2,[X1 == 7 OR X6 == 11],{'0': {'precision': 0.7622411301974634; 'recall': 0.948509214403436; 'f1-score': 0.8452346514163643; 'support': 20023}; '1': {'precision': 0.29335161069225496; 'recall': 0.06738035264483627; 'f1-score': 0.10958904109589042; 'support': 6352}; 'accuracy': 0.736303317535545; 'macro avg': {'precision': 0.5277963704448592; 'recall': 0.5079447835241362; 'f1-score': 0.47741184625612737; 'support': 26375}; 'weighted avg': {'precision': 0.6493165338790906; 'recall': 0.736303317535545; 'f1-score': 0.6680660858521691; 'support': 26375}},{'0': {'precision': 0.7622326930047119; 'recall': 0.9451685393258427; 'f1-score': 0.843900481540931; 'support': 2225}; '1': {'precision': 0.28654970760233917; 'recall': 0.06950354609929078; 'f1-score': 0.11187214611872148; 'support': 705}; 'accuracy': 0.7344709897610922; 'macro avg': {'precision': 0.5243912003035255; 'recall': 0.5073360427125667; 'f1-score': 0.47788631382982627; 'support': 2930}; 'weighted avg': {'precision': 0.6477765480529464; 'recall': 0.7344709897610922; 'f1-score': 0.6677639707994096; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],262,127.231122,0.715700,4,[X3 == 0 OR X3 == 10 OR X6 == 11 OR X6 == 13],{'0': {'precision': 0.7646814000915637; 'recall': 0.9175947660190781; 'f1-score': 0.834188422247446; 'support': 20023}; '1': {'precision': 0.2972742759795571; 'recall': 0.10988664987405541; 'f1-score': 0.16045977011494253; 'support': 6352}; 'accuracy': 0.7230710900473933; 'macro avg': {'precision': 0.5309778380355604; 'recall': 0.5137407079465668; 'f1-score': 0.4973240961811943; 'support': 26375}; 'weighted avg': {'precision': 0.652113815167982; 'recall': 0.7230710900473933; 'f1-score': 0.6719315730210702; 'support': 26375}},{'0': {'precision': 0.7624434389140271; 'recall': 0.9087640449438202; 'f1-score': 0.8291982776296903; 'support': 2225}; '1': {'precision': 0.2697841726618705; 'recall': 0.10638297872340426; 'f1-score': 0.1525940996948118; 'support': 705}; 'accuracy': 0.7156996587030716; 'macro avg': {'precision': 0.5161138057879489; 'recall': 0.5075735118336122; 'f1-score': 0.49089618866225104; 'support': 2930}; 'weighted avg': {'precision': 0.6439025574437983; 'recall': 0.7156996587030716; 'f1-score': 0.6663976136555984; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],262,158.725335,0.582935,4,[X0 >= 37.000000 OR X1 == 2 OR X3 == 10 OR X5 == 1],{'0': {'precision': 0.8792891655065105; 'recall': 0.5362333316685811; 'f1-score': 0.6661909784699387; 'support': 20023}; '1': {'precision': 0.3443942389155606; 'recall': 0.7679471032745592; 'f1-score': 0.4755312926496393; 'support': 6352}; 'accuracy': 0.5920379146919431; 'macro avg': {'precision': 0.6118417022110355; 'recall': 0.6520902174715701; 'f1-score': 0.570861135559789; 'support': 26375}; 'weighted avg': {'precision': 0.7504682148446825; 'recall': 0.5920379146919431; 'f1-score': 0.6202736202014821; 'support': 26375}},{'0': {'precision': 0.87509349289454; 'recall': 0.5258426966292135; 'f1-score': 0.6569343065693432; 'support': 2225}; '1': {'precision': 0.33772755806654114; 'recall': 0.7631205673758865; 'f1-score': 0.46823324630113144; 'support': 705}; 'accuracy': 0.5829351535836177; 'macro avg': {'precision': 0.6064105254805405; 'recall': 0.6444816320025499; 'f1-score': 0.5625837764352373; 'support': 2930}; 'weighted avg': {'precision': 0.7457955461185197; 'recall': 0.5829351535836177; 'f1-score': 0.6115301265389372; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],262,291.325926,0.544027,2,[X1 == 1 OR X2 >= 196338.000000],{'0': {'precision': 0.7549089960206146; 'recall': 0.5779065121853776; 'f1-score': 0.6546544847679123; 'support': 20024}; '1': {'precision': 0.23483613977910556; 'recall': 0.4084396158085341; 'f1-score': 0.2982123354601368; 'support': 6351}; 'accuracy': 0.5370995260663507; 'macro avg': {'precision': 0.49487256789986006; 'recall': 0.4931730639969558; 'f1-score': 0.47643341011402457; 'support': 26375}; 'weighted avg': {'precision': 0.6296774240778724; 'recall': 0.5370995260663507; 'f1-score': 0.5688245666540286; 'support': 26375}},{'0': {'precision': 0.7566473988439306; 'recall': 0.5885791366906474; 'f1-score': 0.6621143146181082; 'support': 2224}; '1': {'precision': 0.2375; 'recall': 0.40368271954674223; 'f1-score': 0.2990556138509968; 'support': 706}; 'accuracy': 0.5440273037542662; 'macro avg': {'precision': 0.49707369942196533; 'recall': 0.49613092811869486; 'f1-score': 0.48058496423455255; 'support': 2930}; 'weighted avg': {'precision': 0.631555909566178; 'recall': 0.5440273037542662; 'f1-score': 0.574633276139753; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],262,303.207286,0.744369,3,[X1 == 5 OR X3 == 12 OR X6 == 4],{'0': {'precision': 0.8139319601943994; 'recall': 0.8781961646024771; 'f1-score': 0.8448437387398209; 'support': 20024}; '1': {'precision': 0.48867924528301887; 'recall': 0.36702881435994333; 'f1-score': 0.4192069058537901; 'support': 6351}; 'accuracy': 0.7551090047393365; 'macro avg': {'precision': 0.6513056027387092; 'recall': 0.6226124894812102; 'f1-score': 0.6320253222968055; 'support': 26375}; 'weighted avg': {'precision': 0.735612339629388; 'recall': 0.7551090047393365; 'f1-score': 0.7423520031698045; 'support': 26375}},{'0': {'precision': 0.815036309269543; 'recall': 0.8579136690647482; 'f1-score': 0.8359255202628697; 'support': 2224}; '1': {'precision': 0.4634974533106961; 'recall': 0.386685552407932; 'f1-score': 0.4216216216216216; 'support': 706}; 'accuracy': 0.7443686006825938; 'macro avg': {'precision': 0.6392668812901195; 'recall': 0.6222996107363401; 'f1-score': 0.6287735709422456; 'support': 2930}; 'weighted avg': {'precision': 0.7303310422705853; 'recall': 0.7443686006825938; 'f1-score': 0.7360966627745689; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.655930 (+- 0.071656), (mean training time) 155.873965 (+- 72.250423)
