lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,460,52,57,[8; 9],540,2.701249,0.769231,1,[X0 >= 13.370000],{'0.0': {'precision': 0.9393939393939394; 'recall': 0.7508650519031141; 'f1-score': 0.8346153846153845; 'support': 289}; '1.0': {'precision': 0.6855895196506551; 'recall': 0.9181286549707602; 'f1-score': 0.785; 'support': 171}; 'accuracy': 0.8130434782608695; 'macro avg': {'precision': 0.8124917295222973; 'recall': 0.8344968534369372; 'f1-score': 0.8098076923076922; 'support': 460}; 'weighted avg': {'precision': 0.8450449050980663; 'recall': 0.8130434782608695; 'f1-score': 0.8161714046822742; 'support': 460}},{'0.0': {'precision': 0.8846153846153846; 'recall': 0.71875; 'f1-score': 0.7931034482758621; 'support': 32}; '1.0': {'precision': 0.6538461538461539; 'recall': 0.85; 'f1-score': 0.7391304347826088; 'support': 20}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.7692307692307692; 'recall': 0.784375; 'f1-score': 0.7661169415292355; 'support': 52}; 'weighted avg': {'precision': 0.7958579881656805; 'recall': 0.7692307692307693; 'f1-score': 0.7723445969323031; 'support': 52}}
5,1,CNF,1,460,52,57,[8; 9],540,3.119531,0.942308,1,[X20 >= 17.386000],{'0.0': {'precision': 0.8792569659442725; 'recall': 0.9861111111111112; 'f1-score': 0.9296235679214404; 'support': 288}; '1.0': {'precision': 0.9708029197080292; 'recall': 0.7732558139534884; 'f1-score': 0.8608414239482202; 'support': 172}; 'accuracy': 0.9065217391304348; 'macro avg': {'precision': 0.9250299428261508; 'recall': 0.8796834625322998; 'f1-score': 0.8952324959348303; 'support': 460}; 'weighted avg': {'precision': 0.913487192134199; 'recall': 0.9065217391304348; 'f1-score': 0.9039050271314537; 'support': 460}},{'0.0': {'precision': 0.9166666666666666; 'recall': 1.0; 'f1-score': 0.9565217391304348; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 0.8421052631578947; 'f1-score': 0.9142857142857143; 'support': 19}; 'accuracy': 0.9423076923076923; 'macro avg': {'precision': 0.9583333333333333; 'recall': 0.9210526315789473; 'f1-score': 0.9354037267080746; 'support': 52}; 'weighted avg': {'precision': 0.9471153846153846; 'recall': 0.9423076923076923; 'f1-score': 0.9410893454371715; 'support': 52}}
5,1,CNF,2,461,51,57,[8; 9],540,2.827323,0.843137,2,[X10 >= 0.431020 OR X21 >= 30.908000],{'0.0': {'precision': 0.8566176470588235; 'recall': 0.8062283737024222; 'f1-score': 0.8306595365418895; 'support': 289}; '1.0': {'precision': 0.7037037037037037; 'recall': 0.7732558139534884; 'f1-score': 0.7368421052631579; 'support': 172}; 'accuracy': 0.7939262472885033; 'macro avg': {'precision': 0.7801606753812635; 'recall': 0.7897420938279553; 'f1-score': 0.7837508209025237; 'support': 461}; 'weighted avg': {'precision': 0.7995651562625533; 'recall': 0.7939262472885033; 'f1-score': 0.7956560697741198; 'support': 461}},{'0.0': {'precision': 0.875; 'recall': 0.875; 'f1-score': 0.875; 'support': 32}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.7894736842105263; 'f1-score': 0.7894736842105263; 'support': 19}; 'accuracy': 0.8431372549019608; 'macro avg': {'precision': 0.8322368421052632; 'recall': 0.8322368421052632; 'f1-score': 0.8322368421052632; 'support': 51}; 'weighted avg': {'precision': 0.8431372549019608; 'recall': 0.8431372549019608; 'f1-score': 0.8431372549019608; 'support': 51}}
5,1,CNF,3,461,51,57,[8; 9],540,2.801640,0.862745,1,[X0 >= 15.056000],{'0.0': {'precision': 0.8703703703703703; 'recall': 0.9757785467128027; 'f1-score': 0.9200652528548123; 'support': 289}; '1.0': {'precision': 0.948905109489051; 'recall': 0.7558139534883721; 'f1-score': 0.8414239482200647; 'support': 172}; 'accuracy': 0.8937093275488069; 'macro avg': {'precision': 0.9096377399297106; 'recall': 0.8657962501005874; 'f1-score': 0.8807446005374385; 'support': 461}; 'weighted avg': {'precision': 0.8996718348571665; 'recall': 0.8937093275488069; 'f1-score': 0.8907240285659261; 'support': 461}},{'0.0': {'precision': 0.8378378378378378; 'recall': 0.96875; 'f1-score': 0.8985507246376812; 'support': 32}; '1.0': {'precision': 0.9285714285714286; 'recall': 0.6842105263157895; 'f1-score': 0.7878787878787878; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8832046332046333; 'recall': 0.8264802631578947; 'f1-score': 0.8432147562582345; 'support': 51}; 'weighted avg': {'precision': 0.8716405481111363; 'recall': 0.8627450980392157; 'f1-score': 0.8573200031000542; 'support': 51}}
5,1,CNF,4,461,51,57,[8; 9],540,2.771836,0.705882,2,[X4 >= 0.103260 OR X27 >= 0.177540],{'0.0': {'precision': 0.7965517241379311; 'recall': 0.7993079584775087; 'f1-score': 0.7979274611398964; 'support': 289}; '1.0': {'precision': 0.6608187134502924; 'recall': 0.6569767441860465; 'f1-score': 0.6588921282798834; 'support': 172}; 'accuracy': 0.7462039045553145; 'macro avg': {'precision': 0.7286852187941117; 'recall': 0.7281423513317775; 'f1-score': 0.72840979470989; 'support': 461}; 'weighted avg': {'precision': 0.745909472861849; 'recall': 0.7462039045553145; 'f1-score': 0.7460531070142516; 'support': 461}},{'0.0': {'precision': 0.7741935483870968; 'recall': 0.75; 'f1-score': 0.7619047619047619; 'support': 32}; '1.0': {'precision': 0.6; 'recall': 0.631578947368421; 'f1-score': 0.6153846153846154; 'support': 19}; 'accuracy': 0.7058823529411765; 'macro avg': {'precision': 0.6870967741935483; 'recall': 0.6907894736842105; 'f1-score': 0.6886446886446886; 'support': 51}; 'weighted avg': {'precision': 0.7092979127134724; 'recall': 0.7058823529411765; 'f1-score': 0.7073188249658838; 'support': 51}}
5,1,CNF,5,461,51,57,[8; 9],540,3.101769,0.901961,2,[X10 >= 0.431020 OR X20 >= 17.386000],{'0.0': {'precision': 0.896551724137931; 'recall': 0.8996539792387543; 'f1-score': 0.8981001727115717; 'support': 289}; '1.0': {'precision': 0.8304093567251462; 'recall': 0.8255813953488372; 'f1-score': 0.8279883381924199; 'support': 172}; 'accuracy': 0.8720173535791758; 'macro avg': {'precision': 0.8634805404315387; 'recall': 0.8626176872937958; 'f1-score': 0.8630442554519958; 'support': 461}; 'weighted avg': {'precision': 0.8718738777279549; 'recall': 0.8720173535791758; 'f1-score': 0.8719413103747081; 'support': 461}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9116071428571428; 'recall': 0.8791118421052632; 'f1-score': 0.8912579957356077; 'support': 51}; 'weighted avg': {'precision': 0.9050070028011205; 'recall': 0.9019607843137255; 'f1-score': 0.8999540114553285; 'support': 51}}
5,1,CNF,6,461,51,57,[8; 9],540,2.730505,0.745098,2,[X0 >= 14.058000 OR X25 >= 0.251400],{'0.0': {'precision': 0.9769585253456221; 'recall': 0.7335640138408305; 'f1-score': 0.8379446640316206; 'support': 289}; '1.0': {'precision': 0.6844262295081968; 'recall': 0.9709302325581395; 'f1-score': 0.8028846153846155; 'support': 172}; 'accuracy': 0.8221258134490239; 'macro avg': {'precision': 0.8306923774269095; 'recall': 0.852247123199485; 'f1-score': 0.820414639708118; 'support': 461}; 'weighted avg': {'precision': 0.8678141546644135; 'recall': 0.8221258134490239; 'f1-score': 0.8248636914344732; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.59375; 'f1-score': 0.7450980392156863; 'support': 32}; '1.0': {'precision': 0.59375; 'recall': 1.0; 'f1-score': 0.7450980392156863; 'support': 19}; 'accuracy': 0.7450980392156863; 'macro avg': {'precision': 0.796875; 'recall': 0.796875; 'f1-score': 0.7450980392156863; 'support': 51}; 'weighted avg': {'precision': 0.8486519607843137; 'recall': 0.7450980392156863; 'f1-score': 0.7450980392156863; 'support': 51}}
5,1,CNF,7,461,51,57,[8; 9],540,2.925458,0.843137,2,[X0 >= 15.056000 OR X10 >= 0.546140],{'0.0': {'precision': 0.887459807073955; 'recall': 0.9550173010380623; 'f1-score': 0.92; 'support': 289}; '1.0': {'precision': 0.9133333333333333; 'recall': 0.7965116279069767; 'f1-score': 0.8509316770186336; 'support': 172}; 'accuracy': 0.89587852494577; 'macro avg': {'precision': 0.9003965702036442; 'recall': 0.8757644644725195; 'f1-score': 0.8854658385093168; 'support': 461}; 'weighted avg': {'precision': 0.8971132702336363; 'recall': 0.89587852494577; 'f1-score': 0.8942304738551085; 'support': 461}},{'0.0': {'precision': 0.8157894736842105; 'recall': 0.96875; 'f1-score': 0.8857142857142857; 'support': 32}; '1.0': {'precision': 0.9230769230769231; 'recall': 0.631578947368421; 'f1-score': 0.7499999999999999; 'support': 19}; 'accuracy': 0.8431372549019608; 'macro avg': {'precision': 0.8694331983805668; 'recall': 0.8001644736842105; 'f1-score': 0.8178571428571428; 'support': 51}; 'weighted avg': {'precision': 0.8557593077716916; 'recall': 0.8431372549019608; 'f1-score': 0.8351540616246499; 'support': 51}}
5,1,CNF,8,461,51,57,[8; 9],540,3.164526,0.882353,1,[X0 >= 17.068000],{'0.0': {'precision': 0.7783783783783784; 'recall': 0.9965397923875432; 'f1-score': 0.8740515933232169; 'support': 289}; '1.0': {'precision': 0.989010989010989; 'recall': 0.5232558139534884; 'f1-score': 0.6844106463878328; 'support': 172}; 'accuracy': 0.8199566160520607; 'macro avg': {'precision': 0.8836946836946837; 'recall': 0.7598978031705158; 'f1-score': 0.7792311198555248; 'support': 461}; 'weighted avg': {'precision': 0.856965816618745; 'recall': 0.8199566160520607; 'f1-score': 0.8032961857898415; 'support': 461}},{'0.0': {'precision': 0.8421052631578947; 'recall': 1.0; 'f1-score': 0.9142857142857143; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.6842105263157895; 'f1-score': 0.8125000000000001; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.9210526315789473; 'recall': 0.8421052631578947; 'f1-score': 0.8633928571428572; 'support': 51}; 'weighted avg': {'precision': 0.9009287925696594; 'recall': 0.8823529411764706; 'f1-score': 0.8763655462184875; 'support': 51}}
5,1,CNF,9,461,51,57,[8; 9],540,3.162536,0.921569,2,[X0 >= 15.056000 OR X7 >= 0.048318],{'0.0': {'precision': 0.9699248120300752; 'recall': 0.8927335640138409; 'f1-score': 0.9297297297297297; 'support': 289}; '1.0': {'precision': 0.841025641025641; 'recall': 0.9534883720930233; 'f1-score': 0.8937329700272479; 'support': 172}; 'accuracy': 0.9154013015184381; 'macro avg': {'precision': 0.9054752265278581; 'recall': 0.9231109680534321; 'f1-score': 0.9117313498784888; 'support': 461}; 'weighted avg': {'precision': 0.9218322796813492; 'recall': 0.9154013015184381; 'f1-score': 0.9162992684090641; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.875; 'f1-score': 0.9333333333333333; 'support': 32}; '1.0': {'precision': 0.8260869565217391; 'recall': 1.0; 'f1-score': 0.9047619047619047; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9130434782608696; 'recall': 0.9375; 'f1-score': 0.919047619047619; 'support': 51}; 'weighted avg': {'precision': 0.9352088661551577; 'recall': 0.9215686274509803; 'f1-score': 0.922689075630252; 'support': 51}}
5,1,CNF,0,460,52,28,[16; 17],540,1.812147,0.692308,2,[X12 >= 5.123200 OR X18 < 0.013012],{'0.0': {'precision': 0.7189189189189189; 'recall': 0.9204152249134948; 'f1-score': 0.8072837632776934; 'support': 289}; '1.0': {'precision': 0.7444444444444445; 'recall': 0.391812865497076; 'f1-score': 0.5134099616858236; 'support': 171}; 'accuracy': 0.7239130434782609; 'macro avg': {'precision': 0.7316816816816817; 'recall': 0.6561140452052854; 'f1-score': 0.6603468624817586; 'support': 460}; 'weighted avg': {'precision': 0.7284077555816686; 'recall': 0.7239130434782609; 'f1-score': 0.6980393718163679; 'support': 460}},{'0.0': {'precision': 0.6818181818181818; 'recall': 0.9375; 'f1-score': 0.7894736842105263; 'support': 32}; '1.0': {'precision': 0.75; 'recall': 0.3; 'f1-score': 0.4285714285714285; 'support': 20}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.7159090909090908; 'recall': 0.61875; 'f1-score': 0.6090225563909775; 'support': 52}; 'weighted avg': {'precision': 0.7080419580419579; 'recall': 0.6923076923076923; 'f1-score': 0.6506651243493349; 'support': 52}}
