lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,605,68,75,[8; 9],64,1.414539,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
5,1,CNF,1,605,68,75,[8; 9],64,1.551768,0.602941,1,[X3 < 16.000000],{'0': {'precision': 0.7648351648351648; 'recall': 0.754880694143167; 'f1-score': 0.759825327510917; 'support': 461}; '1': {'precision': 0.24666666666666667; 'recall': 0.2569444444444444; 'f1-score': 0.2517006802721088; 'support': 144}; 'accuracy': 0.6363636363636364; 'macro avg': {'precision': 0.5057509157509157; 'recall': 0.5059125692938058; 'f1-score': 0.5057630038915129; 'support': 605}; 'weighted avg': {'precision': 0.6415024975024974; 'recall': 0.6363636363636364; 'f1-score': 0.6388832627135809; 'support': 605}},{'0': {'precision': 0.7450980392156863; 'recall': 0.7307692307692307; 'f1-score': 0.7378640776699028; 'support': 52}; '1': {'precision': 0.17647058823529413; 'recall': 0.1875; 'f1-score': 0.1818181818181818; 'support': 16}; 'accuracy': 0.6029411764705882; 'macro avg': {'precision': 0.4607843137254902; 'recall': 0.45913461538461536; 'f1-score': 0.4598411297440423; 'support': 68}; 'weighted avg': {'precision': 0.6113033448673587; 'recall': 0.6029411764705882; 'f1-score': 0.6070297492342037; 'support': 68}}
5,1,CNF,2,605,68,75,[8; 9],64,1.582981,0.764706,0,[],{'0': {'precision': 0.7619834710743801; 'recall': 1.0; 'f1-score': 0.8649155722326454; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7619834710743801; 'macro avg': {'precision': 0.38099173553719007; 'recall': 0.5; 'f1-score': 0.4324577861163227; 'support': 605}; 'weighted avg': {'precision': 0.5806188101905607; 'recall': 0.7619834710743801; 'f1-score': 0.6590513699161149; 'support': 605}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
5,1,CNF,3,606,67,75,[8; 9],64,1.685128,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
5,1,CNF,4,606,67,75,[8; 9],64,1.688885,0.567164,1,[X0 < 7.000000],{'0': {'precision': 0.8986928104575164; 'recall': 0.5952380952380952; 'f1-score': 0.7161458333333334; 'support': 462}; '1': {'precision': 0.37666666666666665; 'recall': 0.7847222222222222; 'f1-score': 0.509009009009009; 'support': 144}; 'accuracy': 0.6402640264026402; 'macro avg': {'precision': 0.6376797385620915; 'recall': 0.6899801587301587; 'f1-score': 0.6125774211711712; 'support': 606}; 'weighted avg': {'precision': 0.7746469941111759; 'recall': 0.6402640264026402; 'f1-score': 0.6669252018107216; 'support': 606}},{'0': {'precision': 0.84375; 'recall': 0.5294117647058824; 'f1-score': 0.6506024096385543; 'support': 51}; '1': {'precision': 0.3142857142857143; 'recall': 0.6875; 'f1-score': 0.43137254901960786; 'support': 16}; 'accuracy': 0.5671641791044776; 'macro avg': {'precision': 0.5790178571428571; 'recall': 0.6084558823529411; 'f1-score': 0.5409874793290811; 'support': 67}; 'weighted avg': {'precision': 0.7173107675906183; 'recall': 0.5671641791044776; 'f1-score': 0.5982490100877611; 'support': 67}}
5,1,CNF,5,606,67,75,[8; 9],64,1.628081,0.701493,1,[X0 < 4.000000],{'0': {'precision': 0.8140589569160998; 'recall': 0.7770562770562771; 'f1-score': 0.7951273532668881; 'support': 462}; '1': {'precision': 0.37575757575757573; 'recall': 0.4305555555555556; 'f1-score': 0.40129449838187703; 'support': 144}; 'accuracy': 0.6947194719471947; 'macro avg': {'precision': 0.5949082663368377; 'recall': 0.6038059163059164; 'f1-score': 0.5982109258243826; 'support': 606}; 'weighted avg': {'precision': 0.7099081336705099; 'recall': 0.6947194719471947; 'f1-score': 0.701543308541737; 'support': 606}},{'0': {'precision': 0.8163265306122449; 'recall': 0.7843137254901961; 'f1-score': 0.8; 'support': 51}; '1': {'precision': 0.3888888888888889; 'recall': 0.4375; 'f1-score': 0.411764705882353; 'support': 16}; 'accuracy': 0.7014925373134329; 'macro avg': {'precision': 0.6026077097505669; 'recall': 0.610906862745098; 'f1-score': 0.6058823529411765; 'support': 67}; 'weighted avg': {'precision': 0.7142518699021897; 'recall': 0.7014925373134329; 'f1-score': 0.7072870939420545; 'support': 67}}
5,1,CNF,6,606,67,75,[8; 9],64,1.660428,0.582090,1,[X1 >= 4.000000],{'0': {'precision': 0.8631578947368421; 'recall': 0.5324675324675324; 'f1-score': 0.6586345381526104; 'support': 462}; '1': {'precision': 0.32710280373831774; 'recall': 0.7291666666666666; 'f1-score': 0.4516129032258064; 'support': 144}; 'accuracy': 0.5792079207920792; 'macro avg': {'precision': 0.5951303492375799; 'recall': 0.6308170995670995; 'f1-score': 0.5551237206892083; 'support': 606}; 'weighted avg': {'precision': 0.7357784671728363; 'recall': 0.5792079207920792; 'f1-score': 0.6094412783680232; 'support': 606}},{'0': {'precision': 0.8484848484848485; 'recall': 0.5490196078431373; 'f1-score': 0.6666666666666667; 'support': 51}; '1': {'precision': 0.3235294117647059; 'recall': 0.6875; 'f1-score': 0.44000000000000006; 'support': 16}; 'accuracy': 0.582089552238806; 'macro avg': {'precision': 0.5860071301247772; 'recall': 0.6182598039215687; 'f1-score': 0.5533333333333335; 'support': 67}; 'weighted avg': {'precision': 0.7231223561337697; 'recall': 0.582089552238806; 'f1-score': 0.6125373134328359; 'support': 67}}
5,1,CNF,7,606,67,75,[8; 9],64,1.620943,0.716418,1,[X1 >= 8.000000],{'0': {'precision': 0.8072805139186295; 'recall': 0.816017316017316; 'f1-score': 0.8116254036598493; 'support': 462}; '1': {'precision': 0.38848920863309355; 'recall': 0.375; 'f1-score': 0.38162544169611307; 'support': 144}; 'accuracy': 0.7112211221122112; 'macro avg': {'precision': 0.5978848612758616; 'recall': 0.5955086580086579; 'f1-score': 0.5966254226779811; 'support': 606}; 'weighted avg': {'precision': 0.707765748306225; 'recall': 0.7112211221122112; 'f1-score': 0.7094471948763872; 'support': 606}},{'0': {'precision': 0.82; 'recall': 0.803921568627451; 'f1-score': 0.8118811881188118; 'support': 51}; '1': {'precision': 0.4117647058823529; 'recall': 0.4375; 'f1-score': 0.42424242424242425; 'support': 16}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.6158823529411764; 'recall': 0.6207107843137255; 'f1-score': 0.618061806180618; 'support': 67}; 'weighted avg': {'precision': 0.7225109745390693; 'recall': 0.7164179104477612; 'f1-score': 0.7193107370438536; 'support': 67}}
5,1,CNF,8,606,67,75,[8; 9],64,1.603576,0.716418,1,[X1 >= 8.000000],{'0': {'precision': 0.8086021505376344; 'recall': 0.8138528138528138; 'f1-score': 0.8112189859762675; 'support': 462}; '1': {'precision': 0.3900709219858156; 'recall': 0.3819444444444444; 'f1-score': 0.38596491228070173; 'support': 144}; 'accuracy': 0.7112211221122112; 'macro avg': {'precision': 0.599336536261725; 'recall': 0.5978986291486291; 'f1-score': 0.5985919491284846; 'support': 606}; 'weighted avg': {'precision': 0.7091491853372022; 'recall': 0.7112211221122112; 'f1-score': 0.7101685130189053; 'support': 606}},{'0': {'precision': 0.8076923076923077; 'recall': 0.8235294117647058; 'f1-score': 0.8155339805825242; 'support': 51}; '1': {'precision': 0.4; 'recall': 0.375; 'f1-score': 0.38709677419354843; 'support': 16}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.6038461538461539; 'recall': 0.5992647058823529; 'f1-score': 0.6013153773880363; 'support': 67}; 'weighted avg': {'precision': 0.7103329506314581; 'recall': 0.7164179104477612; 'f1-score': 0.7132206178627688; 'support': 67}}
5,1,CNF,9,606,67,75,[8; 9],64,1.688128,0.761194,0,[],{'0': {'precision': 0.7623762376237624; 'recall': 1.0; 'f1-score': 0.8651685393258427; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 144}; 'accuracy': 0.7623762376237624; 'macro avg': {'precision': 0.3811881188118812; 'recall': 0.5; 'f1-score': 0.43258426966292135; 'support': 606}; 'weighted avg': {'precision': 0.5812175276933634; 'recall': 0.7623762376237624; 'f1-score': 0.6595839359216821; 'support': 606}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
5,1,CNF,0,605,68,37,[16; 17],64,0.960074,0.676471,1,[X2 >= 2000.000000],{'0': {'precision': 0.8094218415417559; 'recall': 0.8199566160520607; 'f1-score': 0.8146551724137931; 'support': 461}; '1': {'precision': 0.39855072463768115; 'recall': 0.3819444444444444; 'f1-score': 0.39007092198581556; 'support': 144}; 'accuracy': 0.715702479338843; 'macro avg': {'precision': 0.6039862830897185; 'recall': 0.6009505302482525; 'f1-score': 0.6023630471998044; 'support': 605}; 'weighted avg': {'precision': 0.7116277244604554; 'recall': 0.715702479338843; 'f1-score': 0.7135971028904399; 'support': 605}},{'0': {'precision': 0.8; 'recall': 0.7692307692307693; 'f1-score': 0.7843137254901961; 'support': 52}; '1': {'precision': 0.3333333333333333; 'recall': 0.375; 'f1-score': 0.35294117647058826; 'support': 16}; 'accuracy': 0.6764705882352942; 'macro avg': {'precision': 0.5666666666666667; 'recall': 0.5721153846153846; 'f1-score': 0.5686274509803921; 'support': 68}; 'weighted avg': {'precision': 0.6901960784313727; 'recall': 0.6764705882352942; 'f1-score': 0.6828143021914648; 'support': 68}}
