l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],296,1067.362235,0.816445,4,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 10],{'0': {'precision': 0.8225922023182297; 'recall': 0.9746791190131349; 'f1-score': 0.8922007863216604; 'support': 20023}; '1': {'precision': 0.8086070215175538; 'recall': 0.3372697213037317; 'f1-score': 0.476; 'support': 6351}; 'accuracy': 0.8211875331766133; 'macro avg': {'precision': 0.8155996119178918; 'recall': 0.6559744201584332; 'f1-score': 0.6841003931608303; 'support': 26374}; 'weighted avg': {'precision': 0.819224496120266; 'recall': 0.8211875331766133; 'f1-score': 0.7919774150496174; 'support': 26374}},{'0': {'precision': 0.8186626369474878; 'recall': 0.9739325842696629; 'f1-score': 0.8895730706075533; 'support': 2225}; '1': {'precision': 0.795774647887324; 'recall': 0.32011331444759206; 'f1-score': 0.45656565656565656; 'support': 706}; 'accuracy': 0.8164448993517571; 'macro avg': {'precision': 0.8072186424174059; 'recall': 0.6470229493586275; 'f1-score': 0.673069363586605; 'support': 2931}; 'weighted avg': {'precision': 0.8131495286989462; 'recall': 0.8164448993517571; 'f1-score': 0.7852730930184781; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],296,1043.809109,0.827021,4,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 17],{'0': {'precision': 0.820413816258866; 'recall': 0.9762772811267043; 'f1-score': 0.8915849486887115; 'support': 20023}; '1': {'precision': 0.8135060855908912; 'recall': 0.3262478349866163; 'f1-score': 0.4657226342998426; 'support': 6351}; 'accuracy': 0.8197467202547963; 'macro avg': {'precision': 0.8169599509248786; 'recall': 0.6512625580566603; 'f1-score': 0.6786537914942771; 'support': 26374}; 'weighted avg': {'precision': 0.8187503978364686; 'recall': 0.8197467202547963; 'f1-score': 0.7890350298791374; 'support': 26374}},{'0': {'precision': 0.8263677811550152; 'recall': 0.9775280898876404; 'f1-score': 0.8956145768993206; 'support': 2225}; '1': {'precision': 0.8327759197324415; 'recall': 0.3526912181303116; 'f1-score': 0.49552238805970156; 'support': 706}; 'accuracy': 0.827021494370522; 'macro avg': {'precision': 0.8295718504437284; 'recall': 0.665109654008976; 'f1-score': 0.6955684824795111; 'support': 2931}; 'weighted avg': {'precision': 0.827911331423068; 'recall': 0.827021494370522; 'f1-score': 0.799243002241944; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],296,1041.603116,0.819857,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1],{'0': {'precision': 0.8221838402561295; 'recall': 0.9747290615791839; 'f1-score': 0.8919814446653413; 'support': 20023}; '1': {'precision': 0.8080424886191199; 'recall': 0.3353802550779405; 'f1-score': 0.47401802603760995; 'support': 6351}; 'accuracy': 0.8207704557518768; 'macro avg': {'precision': 0.8151131644376246; 'recall': 0.6550546583285622; 'f1-score': 0.6829997353514756; 'support': 26374}; 'weighted avg': {'precision': 0.8187785272870445; 'recall': 0.8207704557518768; 'f1-score': 0.7913336221240234; 'support': 26374}},{'0': {'precision': 0.821523304281925; 'recall': 0.9743820224719101; 'f1-score': 0.8914473684210528; 'support': 2225}; '1': {'precision': 0.8047945205479452; 'recall': 0.3328611898016997; 'f1-score': 0.470941883767535; 'support': 706}; 'accuracy': 0.81985670419652; 'macro avg': {'precision': 0.8131589124149351; 'recall': 0.6536216061368049; 'f1-score': 0.6811946260942938; 'support': 2931}; 'weighted avg': {'precision': 0.8174937848973499; 'recall': 0.81985670419652; 'f1-score': 0.7901587733458623; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],296,1185.715179,0.816445,6,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1 OR X13 == 17],{'0': {'precision': 0.8222830665543387; 'recall': 0.9749288318433801; 'f1-score': 0.8921234833078171; 'support': 20023}; '1': {'precision': 0.809415337889142; 'recall': 0.3356951661155724; 'f1-score': 0.4745687256538676; 'support': 6351}; 'accuracy': 0.8209979525290059; 'macro avg': {'precision': 0.8158492022217403; 'recall': 0.6553119989794762; 'f1-score': 0.6833461044808423; 'support': 26374}; 'weighted avg': {'precision': 0.8191844487962184; 'recall': 0.8209979525290059; 'f1-score': 0.7915740685106596; 'support': 26374}},{'0': {'precision': 0.8215783454060236; 'recall': 0.9685393258426966; 'f1-score': 0.8890264026402641; 'support': 2225}; '1': {'precision': 0.7727272727272727; 'recall': 0.3371104815864023; 'f1-score': 0.4694280078895463; 'support': 706}; 'accuracy': 0.8164448993517571; 'macro avg': {'precision': 0.7971528090666482; 'recall': 0.6528249037145495; 'f1-score': 0.6792272052649052; 'support': 2931}; 'weighted avg': {'precision': 0.8098114203595553; 'recall': 0.8164448993517571; 'f1-score': 0.7879563014140591; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],296,1193.537431,0.818151,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 10],{'0': {'precision': 0.8223917073992921; 'recall': 0.9747290615791839; 'f1-score': 0.8921037595703348; 'support': 20023}; '1': {'precision': 0.8084784254352763; 'recall': 0.3363249881908361; 'f1-score': 0.4750361392193928; 'support': 6351}; 'accuracy': 0.8209979525290059; 'macro avg': {'precision': 0.8154350664172842; 'recall': 0.65552702488501; 'f1-score': 0.6835699493948638; 'support': 26374}; 'weighted avg': {'precision': 0.8190413148250346; 'recall': 0.8209979525290059; 'f1-score': 0.7916716500363683; 'support': 26374}},{'0': {'precision': 0.8204545454545454; 'recall': 0.9734831460674157; 'f1-score': 0.8904419321685508; 'support': 2225}; '1': {'precision': 0.7972508591065293; 'recall': 0.3286118980169972; 'f1-score': 0.46539618856569714; 'support': 706}; 'accuracy': 0.8181508017741386; 'macro avg': {'precision': 0.8088527022805374; 'recall': 0.6510475220422065; 'f1-score': 0.677919060367124; 'support': 2931}; 'weighted avg': {'precision': 0.81486539411995; 'recall': 0.8181508017741386; 'f1-score': 0.7880597093832848; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],296,1168.183967,0.824915,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.821586366505365; 'recall': 0.9751286021075762; 'f1-score': 0.8917968393167078; 'support': 20023}; '1': {'precision': 0.8091954022988506; 'recall': 0.33249370277078083; 'f1-score': 0.471323365320241; 'support': 6352}; 'accuracy': 0.8203601895734597; 'macro avg': {'precision': 0.8153908844021078; 'recall': 0.6538111524391785; 'f1-score': 0.6815601023184744; 'support': 26375}; 'weighted avg': {'precision': 0.8186021995048046; 'recall': 0.8203601895734597; 'f1-score': 0.7905324788683454; 'support': 26375}},{'0': {'precision': 0.8257229832572298; 'recall': 0.9752808988764045; 'f1-score': 0.8942921903976921; 'support': 2225}; '1': {'precision': 0.8178807947019867; 'recall': 0.350354609929078; 'f1-score': 0.490566037735849; 'support': 705}; 'accuracy': 0.8249146757679181; 'macro avg': {'precision': 0.8218018889796083; 'recall': 0.6628177544027413; 'f1-score': 0.6924291140667705; 'support': 2930}; 'weighted avg': {'precision': 0.8238360402772139; 'recall': 0.8249146757679181; 'f1-score': 0.7971498908664295; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],296,1034.019155,0.824573,5,[X4 >= 14.500000 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 1],{'0': {'precision': 0.8218860610146638; 'recall': 0.9741297507865954; 'f1-score': 0.8915552508284766; 'support': 20023}; '1': {'precision': 0.8040105940219447; 'recall': 0.33454030226700254; 'f1-score': 0.4724847137298499; 'support': 6352}; 'accuracy': 0.8200947867298578; 'macro avg': {'precision': 0.8129483275183043; 'recall': 0.654335026526799; 'f1-score': 0.6820199822791633; 'support': 26375}; 'weighted avg': {'precision': 0.8175810385942751; 'recall': 0.8200947867298578; 'f1-score': 0.7906287654578424; 'support': 26375}},{'0': {'precision': 0.8259047619047619; 'recall': 0.9743820224719101; 'f1-score': 0.8940206185567011; 'support': 2225}; '1': {'precision': 0.8131147540983606; 'recall': 0.3517730496453901; 'f1-score': 0.4910891089108911; 'support': 705}; 'accuracy': 0.8245733788395905; 'macro avg': {'precision': 0.8195097580015613; 'recall': 0.66307753605865; 'f1-score': 0.6925548637337962; 'support': 2930}; 'weighted avg': {'precision': 0.822827302688546; 'recall': 0.8245733788395905; 'f1-score': 0.7970695215258833; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],296,1024.027657,0.815358,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 10],{'0': {'precision': 0.8227234401349073; 'recall': 0.9746291764470858; 'f1-score': 0.8922570468417804; 'support': 20023}; '1': {'precision': 0.8086629001883239; 'recall': 0.3380037783375315; 'f1-score': 0.4767403130898191; 'support': 6352}; 'accuracy': 0.8213080568720379; 'macro avg': {'precision': 0.8156931701616156; 'recall': 0.6563164773923087; 'f1-score': 0.6844986799657997; 'support': 26375}; 'weighted avg': {'precision': 0.8193371823248334; 'recall': 0.8213080568720379; 'f1-score': 0.7921864385842464; 'support': 26375}},{'0': {'precision': 0.8174962292609351; 'recall': 0.9743820224719101; 'f1-score': 0.8890711502973139; 'support': 2225}; '1': {'precision': 0.7949640287769785; 'recall': 0.31347517730496455; 'f1-score': 0.44964394710071215; 'support': 705}; 'accuracy': 0.8153583617747441; 'macro avg': {'precision': 0.8062301290189569; 'recall': 0.6439285998884373; 'f1-score': 0.669357548699013; 'support': 2930}; 'weighted avg': {'precision': 0.812074658837321; 'recall': 0.8153583617747441; 'f1-score': 0.7833386662517151; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],296,1022.783407,0.823891,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1881.500000 OR X13 == 17],{'0': {'precision': 0.8211628200277462; 'recall': 0.9754794246903715; 'f1-score': 0.8916938668370957; 'support': 20024}; '1': {'precision': 0.8102782071097373; 'recall': 0.33018422295701466; 'f1-score': 0.4691799977626134; 'support': 6351}; 'accuracy': 0.8200947867298578; 'macro avg': {'precision': 0.8157205135687418; 'recall': 0.6528318238236931; 'f1-score': 0.6804369322998546; 'support': 26375}; 'weighted avg': {'precision': 0.8185418465057642; 'recall': 0.8200947867298578; 'f1-score': 0.7899541291122791; 'support': 26375}},{'0': {'precision': 0.8196107784431138; 'recall': 0.9847122302158273; 'f1-score': 0.8946078431372548; 'support': 2224}; '1': {'precision': 0.8682170542635659; 'recall': 0.31728045325779036; 'f1-score': 0.4647302904564315; 'support': 706}; 'accuracy': 0.8238907849829351; 'macro avg': {'precision': 0.8439139163533398; 'recall': 0.6509963417368089; 'f1-score': 0.6796690667968431; 'support': 2930}; 'weighted avg': {'precision': 0.8313227343234003; 'recall': 0.8238907849829351; 'f1-score': 0.7910264260066537; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],296,1024.179708,0.815700,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 10],{'0': {'precision': 0.8224243955858815; 'recall': 0.9751298441869757; 'f1-score': 0.8922908193574922; 'support': 20024}; '1': {'precision': 0.8108621344473984; 'recall': 0.33616753267202015; 'f1-score': 0.4752894033837934; 'support': 6351}; 'accuracy': 0.8212701421800948; 'macro avg': {'precision': 0.81664326501664; 'recall': 0.6556486884294979; 'f1-score': 0.6837901113706428; 'support': 26375}; 'weighted avg': {'precision': 0.8196402469416918; 'recall': 0.8212701421800948; 'f1-score': 0.7918784594390482; 'support': 26375}},{'0': {'precision': 0.8201520912547529; 'recall': 0.9698741007194245; 'f1-score': 0.8887515451174289; 'support': 2224}; '1': {'precision': 0.7766666666666666; 'recall': 0.330028328611898; 'f1-score': 0.4632206759443341; 'support': 706}; 'accuracy': 0.8156996587030717; 'macro avg': {'precision': 0.7984093789607097; 'recall': 0.6499512146656612; 'f1-score': 0.6759861105308815; 'support': 2930}; 'weighted avg': {'precision': 0.8096740333164631; 'recall': 0.8156996587030717; 'f1-score': 0.7862174858559255; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.820236 (+- 0.004216), (mean training time) 1080.522096 (+- 68.132762)
