l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,1.187240,0.622642,3,[(NOT X1) OR X3 >= 1.250000 OR X4 < 211.500000],{'0.0': {'precision': 0.21153846153846154; 'recall': 0.16541353383458646; 'f1-score': 0.18565400843881855; 'support': 133}; '1.0': {'precision': 0.695054945054945; 'recall': 0.755223880597015; 'f1-score': 0.7238912732474962; 'support': 335}; 'accuracy': 0.5876068376068376; 'macro avg': {'precision': 0.4532967032967033; 'recall': 0.4603187072158007; 'f1-score': 0.4547726408431574; 'support': 468}; 'weighted avg': {'precision': 0.5576453461068845; 'recall': 0.5876068376068376; 'f1-score': 0.5709306830347738; 'support': 468}},{'0.0': {'precision': 0.2727272727272727; 'recall': 0.2; 'f1-score': 0.23076923076923075; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.7894736842105263; 'f1-score': 0.7500000000000001; 'support': 38}; 'accuracy': 0.6226415094339622; 'macro avg': {'precision': 0.4935064935064935; 'recall': 0.49473684210526314; 'f1-score': 0.4903846153846154; 'support': 53}; 'weighted avg': {'precision': 0.5893163440333251; 'recall': 0.6226415094339622; 'f1-score': 0.6030478955007257; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],14,1.184603,0.769231,4,[X1 OR X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.5; 'recall': 0.22388059701492538; 'f1-score': 0.30927835051546393; 'support': 134}; '1.0': {'precision': 0.7457212713936431; 'recall': 0.9104477611940298; 'f1-score': 0.8198924731182796; 'support': 335}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.6228606356968216; 'recall': 0.5671641791044776; 'f1-score': 0.5645854118168718; 'support': 469}; 'weighted avg': {'precision': 0.6755151938526022; 'recall': 0.7142857142857143; 'f1-score': 0.6740027238031894; 'support': 469}},{'0.0': {'precision': 0.625; 'recall': 0.35714285714285715; 'f1-score': 0.45454545454545453; 'support': 14}; '1.0': {'precision': 0.7954545454545454; 'recall': 0.9210526315789473; 'f1-score': 0.8536585365853658; 'support': 38}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.7102272727272727; 'recall': 0.6390977443609023; 'f1-score': 0.6541019955654102; 'support': 52}; 'weighted avg': {'precision': 0.7495629370629371; 'recall': 0.7692307692307693; 'f1-score': 0.7462050144976973; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],14,1.175489,0.615385,2,[X2 >= 1.650000 OR X5 >= 61.500000],{'0.0': {'precision': 0.44787644787644787; 'recall': 0.8656716417910447; 'f1-score': 0.5903307888040713; 'support': 134}; '1.0': {'precision': 0.9142857142857143; 'recall': 0.573134328358209; 'f1-score': 0.7045871559633028; 'support': 335}; 'accuracy': 0.6567164179104478; 'macro avg': {'precision': 0.681081081081081; 'recall': 0.7194029850746269; 'f1-score': 0.647458972383687; 'support': 469}; 'weighted avg': {'precision': 0.7810259238830667; 'recall': 0.6567164179104478; 'f1-score': 0.6719424796320937; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.6428571428571429; 'f1-score': 0.4736842105263159; 'support': 14}; '1.0': {'precision': 0.8214285714285714; 'recall': 0.6052631578947368; 'f1-score': 0.6969696969696969; 'support': 38}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5982142857142857; 'recall': 0.6240601503759399; 'f1-score': 0.5853269537480064; 'support': 52}; 'weighted avg': {'precision': 0.7012362637362636; 'recall': 0.6153846153846154; 'f1-score': 0.6368543736964789; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],14,1.169849,0.673077,5,[(NOT X1) OR X2 >= 1.650000 OR X5 >= 61.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.45; 'recall': 0.40601503759398494; 'f1-score': 0.4268774703557312; 'support': 133}; '1.0': {'precision': 0.7736389684813754; 'recall': 0.8035714285714286; 'f1-score': 0.7883211678832117; 'support': 336}; 'accuracy': 0.6908315565031983; 'macro avg': {'precision': 0.6118194842406877; 'recall': 0.6047932330827068; 'f1-score': 0.6075993191194715; 'support': 469}; 'weighted avg': {'precision': 0.6818607535388957; 'recall': 0.6908315565031983; 'f1-score': 0.6858222088828814; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.4; 'f1-score': 0.4137931034482759; 'support': 15}; '1.0': {'precision': 0.7631578947368421; 'recall': 0.7837837837837838; 'f1-score': 0.7733333333333334; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5958646616541353; 'recall': 0.5918918918918918; 'f1-score': 0.5935632183908046; 'support': 52}; 'weighted avg': {'precision': 0.6666425679583574; 'recall': 0.6730769230769231; 'f1-score': 0.6696198054818745; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],14,1.165962,0.692308,3,[X3 >= 1.250000 OR X4 >= 211.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.48502994011976047; 'recall': 0.6090225563909775; 'f1-score': 0.54; 'support': 133}; '1.0': {'precision': 0.8278145695364238; 'recall': 0.7440476190476191; 'f1-score': 0.7836990595611286; 'support': 336}; 'accuracy': 0.7057569296375267; 'macro avg': {'precision': 0.6564222548280921; 'recall': 0.6765350877192983; 'f1-score': 0.6618495297805643; 'support': 469}; 'weighted avg': {'precision': 0.7306069880600565; 'recall': 0.7057569296375267; 'f1-score': 0.7145903710288682; 'support': 469}},{'0.0': {'precision': 0.4666666666666667; 'recall': 0.4666666666666667; 'f1-score': 0.4666666666666667; 'support': 15}; '1.0': {'precision': 0.7837837837837838; 'recall': 0.7837837837837838; 'f1-score': 0.7837837837837838; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6252252252252253; 'recall': 0.6252252252252253; 'f1-score': 0.6252252252252253; 'support': 52}; 'weighted avg': {'precision': 0.6923076923076923; 'recall': 0.6923076923076923; 'f1-score': 0.6923076923076923; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],14,1.131718,0.692308,2,[X2 >= 1.650000 OR X9 < 0.895000],{'0.0': {'precision': 0.43601895734597157; 'recall': 0.6917293233082706; 'f1-score': 0.5348837209302325; 'support': 133}; '1.0': {'precision': 0.8410852713178295; 'recall': 0.6458333333333334; 'f1-score': 0.7306397306397306; 'support': 336}; 'accuracy': 0.6588486140724946; 'macro avg': {'precision': 0.6385521143319005; 'recall': 0.668781328320802; 'f1-score': 0.6327617257849816; 'support': 469}; 'weighted avg': {'precision': 0.7262157195944668; 'recall': 0.6588486140724946; 'f1-score': 0.6751268323639028; 'support': 469}},{'0.0': {'precision': 0.48; 'recall': 0.8; 'f1-score': 0.6; 'support': 15}; '1.0': {'precision': 0.8888888888888888; 'recall': 0.6486486486486487; 'f1-score': 0.75; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6844444444444444; 'recall': 0.7243243243243244; 'f1-score': 0.675; 'support': 52}; 'weighted avg': {'precision': 0.770940170940171; 'recall': 0.6923076923076923; 'f1-score': 0.7067307692307693; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],14,1.204696,0.653846,3,[(NOT X1) OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.45112781954887216; 'recall': 0.45112781954887216; 'f1-score': 0.45112781954887216; 'support': 133}; '1.0': {'precision': 0.7827380952380952; 'recall': 0.7827380952380952; 'f1-score': 0.7827380952380952; 'support': 336}; 'accuracy': 0.6886993603411514; 'macro avg': {'precision': 0.6169329573934836; 'recall': 0.6169329573934836; 'f1-score': 0.6169329573934836; 'support': 469}; 'weighted avg': {'precision': 0.6886993603411514; 'recall': 0.6886993603411514; 'f1-score': 0.6886993603411514; 'support': 469}},{'0.0': {'precision': 0.4117647058823529; 'recall': 0.4666666666666667; 'f1-score': 0.43749999999999994; 'support': 15}; '1.0': {'precision': 0.7714285714285715; 'recall': 0.7297297297297297; 'f1-score': 0.75; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5915966386554622; 'recall': 0.5981981981981982; 'f1-score': 0.59375; 'support': 52}; 'weighted avg': {'precision': 0.6676793794440853; 'recall': 0.6538461538461539; 'f1-score': 0.6598557692307693; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],14,1.125320,0.653846,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.549618320610687; 'recall': 0.5413533834586466; 'f1-score': 0.5454545454545454; 'support': 133}; '1.0': {'precision': 0.8195266272189349; 'recall': 0.8244047619047619; 'f1-score': 0.8219584569732938; 'support': 336}; 'accuracy': 0.744136460554371; 'macro avg': {'precision': 0.6845724739148109; 'recall': 0.6828790726817042; 'f1-score': 0.6837065012139196; 'support': 469}; 'weighted avg': {'precision': 0.7429854656434616; 'recall': 0.744136460554371; 'f1-score': 0.7435468999754399; 'support': 469}},{'0.0': {'precision': 0.43478260869565216; 'recall': 0.6666666666666666; 'f1-score': 0.5263157894736841; 'support': 15}; '1.0': {'precision': 0.8275862068965517; 'recall': 0.6486486486486487; 'f1-score': 0.7272727272727273; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.631184407796102; 'recall': 0.6576576576576576; 'f1-score': 0.6267942583732057; 'support': 52}; 'weighted avg': {'precision': 0.7142774766462922; 'recall': 0.6538461538461539; 'f1-score': 0.6693043798306957; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],14,1.070850,0.750000,3,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.49714285714285716; 'recall': 0.6541353383458647; 'f1-score': 0.564935064935065; 'support': 133}; '1.0': {'precision': 0.8435374149659864; 'recall': 0.7380952380952381; 'f1-score': 0.7873015873015874; 'support': 336}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.6703401360544218; 'recall': 0.6961152882205515; 'f1-score': 0.6761183261183261; 'support': 469}; 'weighted avg': {'precision': 0.7453061224489796; 'recall': 0.7142857142857143; 'f1-score': 0.7242424242424242; 'support': 469}},{'0.0': {'precision': 0.55; 'recall': 0.7333333333333333; 'f1-score': 0.6285714285714286; 'support': 15}; '1.0': {'precision': 0.875; 'recall': 0.7567567567567568; 'f1-score': 0.8115942028985507; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7125; 'recall': 0.745045045045045; 'f1-score': 0.7200828157349897; 'support': 52}; 'weighted avg': {'precision': 0.78125; 'recall': 0.75; 'f1-score': 0.7587991718426501; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],14,1.087372,0.519231,3,[(NOT X1) OR X4 < 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.20535714285714285; 'recall': 0.17293233082706766; 'f1-score': 0.18775510204081633; 'support': 133}; '1.0': {'precision': 0.6918767507002801; 'recall': 0.7351190476190477; 'f1-score': 0.7128427128427128; 'support': 336}; 'accuracy': 0.5756929637526652; 'macro avg': {'precision': 0.44861694677871145; 'recall': 0.45402568922305764; 'f1-score': 0.4502989074417646; 'support': 469}; 'weighted avg': {'precision': 0.5539085036999876; 'recall': 0.5756929637526652; 'f1-score': 0.5639372709735183; 'support': 469}},{'0.0': {'precision': 0.08333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.07407407407407407; 'support': 15}; '1.0': {'precision': 0.65; 'recall': 0.7027027027027027; 'f1-score': 0.6753246753246753; 'support': 37}; 'accuracy': 0.5192307692307693; 'macro avg': {'precision': 0.3666666666666667; 'recall': 0.3846846846846847; 'f1-score': 0.3746993746993747; 'support': 52}; 'weighted avg': {'precision': 0.48653846153846153; 'recall': 0.5192307692307693; 'f1-score': 0.5018870018870019; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.664187 (+- 0.067374), (mean training time) 1.150310 (+- 0.042431)
l: 5,1,CNF,0,468,53,29,[16; 17],14,0.600552,0.679245,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.5176470588235295; 'recall': 0.6616541353383458; 'f1-score': 0.5808580858085809; 'support': 133}; '1.0': {'precision': 0.8489932885906041; 'recall': 0.755223880597015; 'f1-score': 0.7993680884676145; 'support': 335}; 'accuracy': 0.7286324786324786; 'macro avg': {'precision': 0.6833201737070668; 'recall': 0.7084390079676803; 'f1-score': 0.6901130871380977; 'support': 468}; 'weighted avg': {'precision': 0.7548286549174825; 'recall': 0.7286324786324786; 'f1-score': 0.7372701603615217; 'support': 468}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.5333333333333333; 'f1-score': 0.4848484848484848; 'support': 15}; '1.0': {'precision': 0.8; 'recall': 0.7368421052631579; 'f1-score': 0.7671232876712328; 'support': 38}; 'accuracy': 0.6792452830188679; 'macro avg': {'precision': 0.6222222222222222; 'recall': 0.6350877192982456; 'f1-score': 0.6259858862598588; 'support': 53}; 'weighted avg': {'precision': 0.69937106918239; 'recall': 0.6792452830188679; 'f1-score': 0.6872341925327192; 'support': 53}}
