l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,1,[468; 468],14,0.154726,0.660377,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5488721804511278; 'recall': 0.5488721804511278; 'f1-score': 0.5488721804511278; 'support': 133}; '1.0': {'precision': 0.8208955223880597; 'recall': 0.8208955223880597; 'f1-score': 0.8208955223880597; 'support': 335}; 'accuracy': 0.7435897435897436; 'macro avg': {'precision': 0.6848838514195938; 'recall': 0.6848838514195938; 'f1-score': 0.6848838514195938; 'support': 468}; 'weighted avg': {'precision': 0.7435897435897436; 'recall': 0.7435897435897436; 'f1-score': 0.7435897435897436; 'support': 468}},{'0.0': {'precision': 0.4; 'recall': 0.4; 'f1-score': 0.4000000000000001; 'support': 15}; '1.0': {'precision': 0.7631578947368421; 'recall': 0.7631578947368421; 'f1-score': 0.7631578947368421; 'support': 38}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.5815789473684211; 'recall': 0.5815789473684211; 'f1-score': 0.5815789473684211; 'support': 53}; 'weighted avg': {'precision': 0.660377358490566; 'recall': 0.660377358490566; 'f1-score': 0.660377358490566; 'support': 53}}
l: 5,1,CNF,1,469,52,1,[469; 469],14,0.227667,0.826923,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5177304964539007; 'recall': 0.5447761194029851; 'f1-score': 0.5309090909090908; 'support': 134}; '1.0': {'precision': 0.8140243902439024; 'recall': 0.7970149253731343; 'f1-score': 0.8054298642533936; 'support': 335}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.6658774433489015; 'recall': 0.6708955223880597; 'f1-score': 0.6681694775812421; 'support': 469}; 'weighted avg': {'precision': 0.7293689920181876; 'recall': 0.7249466950959488; 'f1-score': 0.7269953575835928; 'support': 469}},{'0.0': {'precision': 0.6923076923076923; 'recall': 0.6428571428571429; 'f1-score': 0.6666666666666666; 'support': 14}; '1.0': {'precision': 0.8717948717948718; 'recall': 0.8947368421052632; 'f1-score': 0.8831168831168831; 'support': 38}; 'accuracy': 0.8269230769230769; 'macro avg': {'precision': 0.782051282051282; 'recall': 0.768796992481203; 'f1-score': 0.7748917748917749; 'support': 52}; 'weighted avg': {'precision': 0.8234714003944774; 'recall': 0.8269230769230769; 'f1-score': 0.8248418248418248; 'support': 52}}
l: 5,1,CNF,2,469,52,1,[469; 469],14,0.234508,0.769231,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.528169014084507; 'recall': 0.5597014925373134; 'f1-score': 0.5434782608695652; 'support': 134}; '1.0': {'precision': 0.8195718654434251; 'recall': 0.8; 'f1-score': 0.8096676737160122; 'support': 335}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6738704397639661; 'recall': 0.6798507462686567; 'f1-score': 0.6765729672927887; 'support': 469}; 'weighted avg': {'precision': 0.7363139079123058; 'recall': 0.7313432835820896; 'f1-score': 0.7336135557598845; 'support': 469}},{'0.0': {'precision': 0.5833333333333334; 'recall': 0.5; 'f1-score': 0.5384615384615384; 'support': 14}; '1.0': {'precision': 0.825; 'recall': 0.868421052631579; 'f1-score': 0.8461538461538461; 'support': 38}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.7041666666666666; 'recall': 0.6842105263157895; 'f1-score': 0.6923076923076923; 'support': 52}; 'weighted avg': {'precision': 0.7599358974358974; 'recall': 0.7692307692307693; 'f1-score': 0.7633136094674556; 'support': 52}}
l: 5,1,CNF,3,469,52,1,[469; 469],14,0.188098,0.673077,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5447761194029851; 'recall': 0.5488721804511278; 'f1-score': 0.546816479400749; 'support': 133}; '1.0': {'precision': 0.8208955223880597; 'recall': 0.8184523809523809; 'f1-score': 0.819672131147541; 'support': 336}; 'accuracy': 0.7420042643923241; 'macro avg': {'precision': 0.6828358208955224; 'recall': 0.6836622807017544; 'f1-score': 0.683244305274145; 'support': 469}; 'weighted avg': {'precision': 0.7425930051236356; 'recall': 0.7420042643923241; 'f1-score': 0.7422951552790478; 'support': 469}},{'0.0': {'precision': 0.45; 'recall': 0.6; 'f1-score': 0.5142857142857143; 'support': 15}; '1.0': {'precision': 0.8125; 'recall': 0.7027027027027027; 'f1-score': 0.7536231884057971; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.63125; 'recall': 0.6513513513513514; 'f1-score': 0.6339544513457558; 'support': 52}; 'weighted avg': {'precision': 0.7079326923076923; 'recall': 0.6730769230769231; 'f1-score': 0.6845835324096193; 'support': 52}}
l: 5,1,CNF,4,469,52,1,[469; 469],14,0.136601,0.730769,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5328467153284672; 'recall': 0.5488721804511278; 'f1-score': 0.5407407407407409; 'support': 133}; '1.0': {'precision': 0.8192771084337349; 'recall': 0.8095238095238095; 'f1-score': 0.8143712574850299; 'support': 336}; 'accuracy': 0.7356076759061834; 'macro avg': {'precision': 0.6760619118811011; 'recall': 0.6791979949874687; 'f1-score': 0.6775559991128854; 'support': 469}; 'weighted avg': {'precision': 0.7380505790456738; 'recall': 0.7356076759061834; 'f1-score': 0.7367745437814255; 'support': 469}},{'0.0': {'precision': 0.5454545454545454; 'recall': 0.4; 'f1-score': 0.4615384615384615; 'support': 15}; '1.0': {'precision': 0.7804878048780488; 'recall': 0.8648648648648649; 'f1-score': 0.8205128205128206; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6629711751662971; 'recall': 0.6324324324324324; 'f1-score': 0.6410256410256411; 'support': 52}; 'weighted avg': {'precision': 0.7126897492751152; 'recall': 0.7307692307692307; 'f1-score': 0.7169625246548323; 'support': 52}}
l: 5,1,CNF,5,469,52,1,[469; 469],14,0.156458,0.750000,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5303030303030303; 'recall': 0.5263157894736842; 'f1-score': 0.5283018867924529; 'support': 133}; '1.0': {'precision': 0.8130563798219584; 'recall': 0.8154761904761905; 'f1-score': 0.8142644873699851; 'support': 336}; 'accuracy': 0.7334754797441365; 'macro avg': {'precision': 0.6716797050624943; 'recall': 0.6708959899749374; 'f1-score': 0.671283187081219; 'support': 469}; 'weighted avg': {'precision': 0.7328725941374864; 'recall': 0.7334754797441365; 'f1-score': 0.7331706155644163; 'support': 469}},{'0.0': {'precision': 0.5625; 'recall': 0.6; 'f1-score': 0.5806451612903225; 'support': 15}; '1.0': {'precision': 0.8333333333333334; 'recall': 0.8108108108108109; 'f1-score': 0.8219178082191781; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6979166666666667; 'recall': 0.7054054054054054; 'f1-score': 0.7012814847547504; 'support': 52}; 'weighted avg': {'precision': 0.7552083333333334; 'recall': 0.75; 'f1-score': 0.7523199292973929; 'support': 52}}
l: 5,1,CNF,6,469,52,1,[469; 469],14,0.202159,0.673077,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5407407407407407; 'recall': 0.5488721804511278; 'f1-score': 0.5447761194029851; 'support': 133}; '1.0': {'precision': 0.8203592814371258; 'recall': 0.8154761904761905; 'f1-score': 0.817910447761194; 'support': 336}; 'accuracy': 0.7398720682302772; 'macro avg': {'precision': 0.6805500110889333; 'recall': 0.6821741854636592; 'f1-score': 0.6813432835820896; 'support': 469}; 'weighted avg': {'precision': 0.7410644713888972; 'recall': 0.7398720682302772; 'f1-score': 0.740454444196926; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.4; 'f1-score': 0.4137931034482759; 'support': 15}; '1.0': {'precision': 0.7631578947368421; 'recall': 0.7837837837837838; 'f1-score': 0.7733333333333334; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5958646616541353; 'recall': 0.5918918918918918; 'f1-score': 0.5935632183908046; 'support': 52}; 'weighted avg': {'precision': 0.6666425679583574; 'recall': 0.6730769230769231; 'f1-score': 0.6696198054818745; 'support': 52}}
l: 5,1,CNF,7,469,52,1,[469; 469],14,0.175873,0.653846,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.549618320610687; 'recall': 0.5413533834586466; 'f1-score': 0.5454545454545454; 'support': 133}; '1.0': {'precision': 0.8195266272189349; 'recall': 0.8244047619047619; 'f1-score': 0.8219584569732938; 'support': 336}; 'accuracy': 0.744136460554371; 'macro avg': {'precision': 0.6845724739148109; 'recall': 0.6828790726817042; 'f1-score': 0.6837065012139196; 'support': 469}; 'weighted avg': {'precision': 0.7429854656434616; 'recall': 0.744136460554371; 'f1-score': 0.7435468999754399; 'support': 469}},{'0.0': {'precision': 0.43478260869565216; 'recall': 0.6666666666666666; 'f1-score': 0.5263157894736841; 'support': 15}; '1.0': {'precision': 0.8275862068965517; 'recall': 0.6486486486486487; 'f1-score': 0.7272727272727273; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.631184407796102; 'recall': 0.6576576576576576; 'f1-score': 0.6267942583732057; 'support': 52}; 'weighted avg': {'precision': 0.7142774766462922; 'recall': 0.6538461538461539; 'f1-score': 0.6693043798306957; 'support': 52}}
l: 5,1,CNF,8,469,52,1,[469; 469],14,0.224560,0.730769,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5338345864661654; 'recall': 0.5338345864661654; 'f1-score': 0.5338345864661654; 'support': 133}; '1.0': {'precision': 0.8154761904761905; 'recall': 0.8154761904761905; 'f1-score': 0.8154761904761905; 'support': 336}; 'accuracy': 0.7356076759061834; 'macro avg': {'precision': 0.6746553884711779; 'recall': 0.6746553884711779; 'f1-score': 0.6746553884711779; 'support': 469}; 'weighted avg': {'precision': 0.7356076759061834; 'recall': 0.7356076759061834; 'f1-score': 0.7356076759061834; 'support': 469}},{'0.0': {'precision': 0.5333333333333333; 'recall': 0.5333333333333333; 'f1-score': 0.5333333333333333; 'support': 15}; '1.0': {'precision': 0.8108108108108109; 'recall': 0.8108108108108109; 'f1-score': 0.8108108108108109; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6720720720720721; 'recall': 0.6720720720720721; 'f1-score': 0.6720720720720721; 'support': 52}; 'weighted avg': {'precision': 0.7307692307692307; 'recall': 0.7307692307692307; 'f1-score': 0.7307692307692307; 'support': 52}}
l: 5,1,CNF,9,469,52,1,[469; 469],14,0.281689,0.750000,5,[X1 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5625; 'recall': 0.20300751879699247; 'f1-score': 0.2983425414364641; 'support': 133}; '1.0': {'precision': 0.7482185273159145; 'recall': 0.9375; 'f1-score': 0.8322324966974901; 'support': 336}; 'accuracy': 0.7292110874200426; 'macro avg': {'precision': 0.6553592636579573; 'recall': 0.5702537593984962; 'f1-score': 0.565287519066977; 'support': 469}; 'weighted avg': {'precision': 0.695552079271103; 'recall': 0.7292110874200426; 'f1-score': 0.6808308675936171; 'support': 469}},{'0.0': {'precision': 0.75; 'recall': 0.2; 'f1-score': 0.31578947368421056; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.972972972972973; 'f1-score': 0.8470588235294119; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.75; 'recall': 0.5864864864864865; 'f1-score': 0.5814241486068112; 'support': 52}; 'weighted avg': {'precision': 0.75; 'recall': 0.75; 'f1-score': 0.6938080495356037; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [469, 469], 'n_partitions': 1}, (mean val acc cv) 0.721807 (+- 0.053094), (mean training time) 0.198234 (+- 0.042302)
