l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,2.060384,0.622642,5,[X0 >= 66.000000 OR X0 < 23.000000 OR X2 >= 1.400000 OR X5 >= 30.000000 OR X6 < 19.000000],{'0.0': {'precision': 0.5324675324675324; 'recall': 0.3082706766917293; 'f1-score': 0.3904761904761905; 'support': 133}; '1.0': {'precision': 0.7647058823529411; 'recall': 0.8925373134328358; 'f1-score': 0.8236914600550964; 'support': 335}; 'accuracy': 0.7264957264957265; 'macro avg': {'precision': 0.6485867074102367; 'recall': 0.6004039950622826; 'f1-score': 0.6070838252656434; 'support': 468}; 'weighted avg': {'precision': 0.698706522235934; 'recall': 0.7264957264957265; 'f1-score': 0.700576864213228; 'support': 468}},{'0.0': {'precision': 0.3076923076923077; 'recall': 0.26666666666666666; 'f1-score': 0.28571428571428575; 'support': 15}; '1.0': {'precision': 0.725; 'recall': 0.7631578947368421; 'f1-score': 0.7435897435897436; 'support': 38}; 'accuracy': 0.6226415094339622; 'macro avg': {'precision': 0.5163461538461538; 'recall': 0.5149122807017544; 'f1-score': 0.5146520146520147; 'support': 53}; 'weighted avg': {'precision': 0.6068940493468796; 'recall': 0.6226415094339622; 'f1-score': 0.6140023498514064; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],158,2.108737,0.711538,2,[X2 >= 0.800000 OR X5 >= 30.000000],{'0.0': {'precision': 0.5573770491803278; 'recall': 0.2537313432835821; 'f1-score': 0.3487179487179487; 'support': 134}; '1.0': {'precision': 0.7549019607843137; 'recall': 0.9194029850746268; 'f1-score': 0.82907133243607; 'support': 335}; 'accuracy': 0.7292110874200426; 'macro avg': {'precision': 0.6561395049823208; 'recall': 0.5865671641791045; 'f1-score': 0.5888946405770094; 'support': 469}; 'weighted avg': {'precision': 0.6984662717546034; 'recall': 0.7292110874200426; 'f1-score': 0.6918275085166067; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.2857142857142857; 'f1-score': 0.34782608695652173; 'support': 14}; '1.0': {'precision': 0.7674418604651163; 'recall': 0.868421052631579; 'f1-score': 0.8148148148148148; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6059431524547804; 'recall': 0.5770676691729324; 'f1-score': 0.5813204508856682; 'support': 52}; 'weighted avg': {'precision': 0.68048101769032; 'recall': 0.7115384615384616; 'f1-score': 0.6890870803914282; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],158,2.242231,0.769231,3,[X0 >= 66.000000 OR X0 < 31.000000 OR X4 >= 167.600000],{'0.0': {'precision': 0.41935483870967744; 'recall': 0.19402985074626866; 'f1-score': 0.2653061224489796; 'support': 134}; '1.0': {'precision': 0.7346437346437347; 'recall': 0.8925373134328358; 'f1-score': 0.8059299191374664; 'support': 335}; 'accuracy': 0.6929637526652452; 'macro avg': {'precision': 0.5769992866767061; 'recall': 0.5432835820895523; 'f1-score': 0.535618020793223; 'support': 469}; 'weighted avg': {'precision': 0.6445611929482897; 'recall': 0.6929637526652452; 'f1-score': 0.6514659772264701; 'support': 469}},{'0.0': {'precision': 0.75; 'recall': 0.21428571428571427; 'f1-score': 0.3333333333333333; 'support': 14}; '1.0': {'precision': 0.7708333333333334; 'recall': 0.9736842105263158; 'f1-score': 0.8604651162790697; 'support': 38}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.7604166666666667; 'recall': 0.5939849624060151; 'f1-score': 0.5968992248062015; 'support': 52}; 'weighted avg': {'precision': 0.765224358974359; 'recall': 0.7692307692307693; 'f1-score': 0.7185450208706021; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],158,2.217382,0.653846,2,[X0 >= 45.000000 OR X2 >= 2.000000],{'0.0': {'precision': 0.4125; 'recall': 0.49624060150375937; 'f1-score': 0.45051194539249145; 'support': 133}; '1.0': {'precision': 0.7831715210355987; 'recall': 0.7202380952380952; 'f1-score': 0.7503875968992249; 'support': 336}; 'accuracy': 0.6567164179104478; 'macro avg': {'precision': 0.5978357605177993; 'recall': 0.6082393483709273; 'f1-score': 0.6004497711458582; 'support': 469}; 'weighted avg': {'precision': 0.678055716562817; 'recall': 0.6567164179104478; 'f1-score': 0.6653482330391064; 'support': 469}},{'0.0': {'precision': 0.42105263157894735; 'recall': 0.5333333333333333; 'f1-score': 0.47058823529411764; 'support': 15}; '1.0': {'precision': 0.7878787878787878; 'recall': 0.7027027027027027; 'f1-score': 0.7428571428571429; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.6044657097288676; 'recall': 0.618018018018018; 'f1-score': 0.6067226890756303; 'support': 52}; 'weighted avg': {'precision': 0.6820635504846031; 'recall': 0.6538461538461539; 'f1-score': 0.6643180349062702; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],158,2.216649,0.711538,2,[X3 >= 0.600000 OR X8 < 3.100000],{'0.0': {'precision': 0.3953488372093023; 'recall': 0.5112781954887218; 'f1-score': 0.44590163934426225; 'support': 133}; '1.0': {'precision': 0.7811447811447811; 'recall': 0.6904761904761905; 'f1-score': 0.7330173775671405; 'support': 336}; 'accuracy': 0.6396588486140725; 'macro avg': {'precision': 0.5882468091770418; 'recall': 0.6008771929824561; 'f1-score': 0.5894595084557014; 'support': 469}; 'weighted avg': {'precision': 0.6717399612227797; 'recall': 0.6396588486140725; 'f1-score': 0.651596496578563; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.6666666666666666; 'f1-score': 0.5714285714285715; 'support': 15}; '1.0': {'precision': 0.84375; 'recall': 0.7297297297297297; 'f1-score': 0.7826086956521738; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.671875; 'recall': 0.6981981981981982; 'f1-score': 0.6770186335403727; 'support': 52}; 'weighted avg': {'precision': 0.7445913461538461; 'recall': 0.7115384615384616; 'f1-score': 0.7216913521261348; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],158,2.191154,0.538462,2,[X0 >= 40.000000 OR (NOT X1)],{'0.0': {'precision': 0.35294117647058826; 'recall': 0.3609022556390977; 'f1-score': 0.35687732342007433; 'support': 133}; '1.0': {'precision': 0.7447447447447447; 'recall': 0.7380952380952381; 'f1-score': 0.741405082212257; 'support': 336}; 'accuracy': 0.6311300639658849; 'macro avg': {'precision': 0.5488429606076665; 'recall': 0.5494987468671679; 'f1-score': 0.5491412028161656; 'support': 469}; 'weighted avg': {'precision': 0.6336362701595362; 'recall': 0.6311300639658849; 'f1-score': 0.6323598968831305; 'support': 469}},{'0.0': {'precision': 0.2; 'recall': 0.2; 'f1-score': 0.20000000000000004; 'support': 15}; '1.0': {'precision': 0.6756756756756757; 'recall': 0.6756756756756757; 'f1-score': 0.6756756756756757; 'support': 37}; 'accuracy': 0.5384615384615384; 'macro avg': {'precision': 0.4378378378378378; 'recall': 0.4378378378378378; 'f1-score': 0.43783783783783786; 'support': 52}; 'weighted avg': {'precision': 0.5384615384615384; 'recall': 0.5384615384615384; 'f1-score': 0.5384615384615384; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],158,2.104522,0.673077,3,[X0 >= 40.000000 OR X2 < 0.900000 OR X5 < 18.000000],{'0.0': {'precision': 0.2755102040816326; 'recall': 0.20300751879699247; 'f1-score': 0.23376623376623373; 'support': 133}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.7886904761904762; 'f1-score': 0.7496463932107497; 'support': 336}; 'accuracy': 0.6226012793176973; 'macro avg': {'precision': 0.49489795918367346; 'recall': 0.49584899749373434; 'f1-score': 0.4917063134884917; 'support': 469}; 'weighted avg': {'precision': 0.5898568382576911; 'recall': 0.6226012793176973; 'f1-score': 0.6033520196369317; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.2; 'f1-score': 0.26086956521739135; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8648648648648649; 'f1-score': 0.7901234567901235; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5511363636363636; 'recall': 0.5324324324324324; 'f1-score': 0.5254965110037575; 'support': 52}; 'weighted avg': {'precision': 0.6256555944055944; 'recall': 0.6730769230769231; 'f1-score': 0.6374540649902969; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],158,1.957924,0.711538,4,[X0 >= 35.000000 OR (NOT X1) OR X2 >= 3.300000 OR X2 < 0.700000],{'0.0': {'precision': 0.3939393939393939; 'recall': 0.19548872180451127; 'f1-score': 0.26130653266331655; 'support': 133}; '1.0': {'precision': 0.7344913151364765; 'recall': 0.8809523809523809; 'f1-score': 0.8010825439783492; 'support': 336}; 'accuracy': 0.6865671641791045; 'macro avg': {'precision': 0.5642153545379351; 'recall': 0.5382205513784462; 'f1-score': 0.5311945383208329; 'support': 469}; 'weighted avg': {'precision': 0.6379168897223784; 'recall': 0.6865671641791045; 'f1-score': 0.6480117347994594; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.2; 'f1-score': 0.28571428571428575; 'support': 15}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.918918918918919; 'f1-score': 0.8192771084337348; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6195652173913043; 'recall': 0.5594594594594595; 'f1-score': 0.5524956970740103; 'support': 52}; 'weighted avg': {'precision': 0.6701505016722407; 'recall': 0.7115384615384616; 'f1-score': 0.6653647557262014; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],158,2.134754,0.596154,1,[X0 >= 40.000000],{'0.0': {'precision': 0.36464088397790057; 'recall': 0.49624060150375937; 'f1-score': 0.42038216560509556; 'support': 133}; '1.0': {'precision': 0.7673611111111112; 'recall': 0.6577380952380952; 'f1-score': 0.7083333333333333; 'support': 336}; 'accuracy': 0.6119402985074627; 'macro avg': {'precision': 0.5660009975445058; 'recall': 0.5769893483709273; 'f1-score': 0.5643577494692145; 'support': 469}; 'weighted avg': {'precision': 0.6531568675957231; 'recall': 0.6119402985074627; 'f1-score': 0.6266755394999525; 'support': 469}},{'0.0': {'precision': 0.35; 'recall': 0.4666666666666667; 'f1-score': 0.4; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.6486486486486487; 'f1-score': 0.6956521739130435; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.55; 'recall': 0.5576576576576577; 'f1-score': 0.5478260869565217; 'support': 52}; 'weighted avg': {'precision': 0.6346153846153846; 'recall': 0.5961538461538461; 'f1-score': 0.6103678929765887; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],158,1.948052,0.673077,4,[X2 >= 1.000000 OR X3 >= 1.000000 OR X4 < 150.000000 OR X6 < 28.000000],{'0.0': {'precision': 0.3888888888888889; 'recall': 0.3157894736842105; 'f1-score': 0.34854771784232363; 'support': 133}; '1.0': {'precision': 0.7479224376731302; 'recall': 0.8035714285714286; 'f1-score': 0.7747489239598279; 'support': 336}; 'accuracy': 0.6652452025586354; 'macro avg': {'precision': 0.5684056632810095; 'recall': 0.5596804511278195; 'f1-score': 0.5616483209010757; 'support': 469}; 'weighted avg': {'precision': 0.6461069536895394; 'recall': 0.6652452025586354; 'f1-score': 0.6538858953593416; 'support': 469}},{'0.0': {'precision': 0.4166666666666667; 'recall': 0.3333333333333333; 'f1-score': 0.3703703703703704; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.8108108108108109; 'f1-score': 0.7792207792207791; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5833333333333334; 'recall': 0.5720720720720721; 'f1-score': 0.5747955747955747; 'support': 52}; 'weighted avg': {'precision': 0.6538461538461539; 'recall': 0.6730769230769231; 'f1-score': 0.6612831612831612; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.666110 (+- 0.063364), (mean training time) 2.118179 (+- 0.099382)
