lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,284,32,35,[8; 9],222,1.279611,0.718750,1,[X3 >= -0.609635],{'0.0': {'precision': 0.96; 'recall': 0.23529411764705882; 'f1-score': 0.37795275590551175; 'support': 102}; '1.0': {'precision': 0.6988416988416989; 'recall': 0.9945054945054945; 'f1-score': 0.8208616780045351; 'support': 182}; 'accuracy': 0.721830985915493; 'macro avg': {'precision': 0.8294208494208495; 'recall': 0.6148998060762767; 'f1-score': 0.5994072169550234; 'support': 284}; 'weighted avg': {'precision': 0.7926379901027788; 'recall': 0.721830985915493; 'f1-score': 0.6617887552788295; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.7; 'recall': 1.0; 'f1-score': 0.8235294117647058; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.85; 'recall': 0.5909090909090909; 'f1-score': 0.5656108597285068; 'support': 32}; 'weighted avg': {'precision': 0.803125; 'recall': 0.71875; 'f1-score': 0.6462104072398189; 'support': 32}}
5,1,CNF,1,284,32,35,[8; 9],222,1.398024,0.812500,1,[X5 >= -0.217515],{'0.0': {'precision': 0.8571428571428571; 'recall': 0.23529411764705882; 'f1-score': 0.36923076923076925; 'support': 102}; '1.0': {'precision': 0.6953125; 'recall': 0.978021978021978; 'f1-score': 0.8127853881278538; 'support': 182}; 'accuracy': 0.7112676056338029; 'macro avg': {'precision': 0.7762276785714286; 'recall': 0.6066580478345184; 'f1-score': 0.5910080786793115; 'support': 284}; 'weighted avg': {'precision': 0.7534346705231388; 'recall': 0.7112676056338029; 'f1-score': 0.6534805602141122; 'support': 284}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5454545454545454; 'f1-score': 0.6666666666666665; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 0.9523809523809523; 'f1-score': 0.8695652173913043; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8285714285714285; 'recall': 0.7489177489177489; 'f1-score': 0.7681159420289854; 'support': 32}; 'weighted avg': {'precision': 0.8196428571428571; 'recall': 0.8125; 'f1-score': 0.7998188405797101; 'support': 32}}
5,1,CNF,2,284,32,35,[8; 9],222,1.409593,0.812500,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5; 'f1-score': 0.6666666666666666; 'support': 102}; '1.0': {'precision': 0.7811158798283262; 'recall': 1.0; 'f1-score': 0.8771084337349397; 'support': 182}; 'accuracy': 0.8204225352112676; 'macro avg': {'precision': 0.8905579399141631; 'recall': 0.75; 'f1-score': 0.7718875502008031; 'support': 284}; 'weighted avg': {'precision': 0.859729190594209; 'recall': 0.8204225352112676; 'f1-score': 0.8015272357033768; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7777777777777778; 'recall': 1.0; 'f1-score': 0.8750000000000001; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8888888888888888; 'recall': 0.7272727272727273; 'f1-score': 0.75; 'support': 32}; 'weighted avg': {'precision': 0.8541666666666666; 'recall': 0.8125; 'f1-score': 0.7890625000000001; 'support': 32}}
5,1,CNF,3,284,32,35,[8; 9],222,1.500800,0.562500,2,[X11 >= 0.001845 OR X14 >= 0.999140],{'0.0': {'precision': 0.5454545454545454; 'recall': 0.5346534653465347; 'f1-score': 0.54; 'support': 101}; '1.0': {'precision': 0.745945945945946; 'recall': 0.7540983606557377; 'f1-score': 0.75; 'support': 183}; 'accuracy': 0.676056338028169; 'macro avg': {'precision': 0.6457002457002456; 'recall': 0.6443759130011362; 'f1-score': 0.645; 'support': 284}; 'weighted avg': {'precision': 0.6746444267571028; 'recall': 0.676056338028169; 'f1-score': 0.6753169014084508; 'support': 284}},{'0.0': {'precision': 0.4; 'recall': 0.3333333333333333; 'f1-score': 0.3636363636363636; 'support': 12}; '1.0': {'precision': 0.6363636363636364; 'recall': 0.7; 'f1-score': 0.6666666666666666; 'support': 20}; 'accuracy': 0.5625; 'macro avg': {'precision': 0.5181818181818182; 'recall': 0.5166666666666666; 'f1-score': 0.5151515151515151; 'support': 32}; 'weighted avg': {'precision': 0.5477272727272727; 'recall': 0.5625; 'f1-score': 0.553030303030303; 'support': 32}}
5,1,CNF,4,284,32,35,[8; 9],222,1.605175,0.750000,1,[X2 >= 0.190280],{'0.0': {'precision': 1.0; 'recall': 0.44554455445544555; 'f1-score': 0.6164383561643836; 'support': 101}; '1.0': {'precision': 0.7656903765690377; 'recall': 1.0; 'f1-score': 0.8672985781990522; 'support': 183}; 'accuracy': 0.8028169014084507; 'macro avg': {'precision': 0.8828451882845189; 'recall': 0.7227722772277227; 'f1-score': 0.741868467181718; 'support': 284}; 'weighted avg': {'precision': 0.849018798986387; 'recall': 0.8028169014084507; 'f1-score': 0.7780842034613707; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.3333333333333333; 'f1-score': 0.5; 'support': 12}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6666666666666666; 'f1-score': 0.6666666666666666; 'support': 32}; 'weighted avg': {'precision': 0.8214285714285714; 'recall': 0.75; 'f1-score': 0.7083333333333333; 'support': 32}}
5,1,CNF,5,284,32,35,[8; 9],222,1.607416,0.656250,2,[X2 >= 0.739470 OR X5 >= 0.001010],{'0.0': {'precision': 0.7735849056603774; 'recall': 0.40594059405940597; 'f1-score': 0.5324675324675325; 'support': 101}; '1.0': {'precision': 0.7402597402597403; 'recall': 0.9344262295081968; 'f1-score': 0.8260869565217391; 'support': 183}; 'accuracy': 0.7464788732394366; 'macro avg': {'precision': 0.7569223229600588; 'recall': 0.6701834117838014; 'f1-score': 0.6792772444946358; 'support': 284}; 'weighted avg': {'precision': 0.752111295560671; 'recall': 0.7464788732394366; 'f1-score': 0.7216659641644333; 'support': 284}},{'0.0': {'precision': 0.6; 'recall': 0.25; 'f1-score': 0.35294117647058826; 'support': 12}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.9; 'f1-score': 0.7659574468085106; 'support': 20}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.6333333333333333; 'recall': 0.575; 'f1-score': 0.5594493116395495; 'support': 32}; 'weighted avg': {'precision': 0.6416666666666666; 'recall': 0.65625; 'f1-score': 0.6110763454317897; 'support': 32}}
5,1,CNF,6,285,31,35,[8; 9],222,1.789327,0.774194,2,[X2 >= 0.739470 OR X4 >= 0.418075],{'0.0': {'precision': 0.8181818181818182; 'recall': 0.4411764705882353; 'f1-score': 0.5732484076433121; 'support': 102}; '1.0': {'precision': 0.7521739130434782; 'recall': 0.9453551912568307; 'f1-score': 0.837772397094431; 'support': 183}; 'accuracy': 0.7649122807017544; 'macro avg': {'precision': 0.7851778656126482; 'recall': 0.693265830922533; 'f1-score': 0.7055104023688715; 'support': 285}; 'weighted avg': {'precision': 0.775797794882463; 'recall': 0.7649122807017544; 'f1-score': 0.7431006535013989; 'support': 285}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.76; 'recall': 0.95; 'f1-score': 0.8444444444444444; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.7966666666666666; 'recall': 0.7022727272727273; 'f1-score': 0.7163398692810458; 'support': 31}; 'weighted avg': {'precision': 0.7860215053763441; 'recall': 0.7741935483870968; 'f1-score': 0.7535315201349357; 'support': 31}}
5,1,CNF,7,285,31,35,[8; 9],222,1.787924,0.677419,2,[X3 < 0.746850 OR X7 >= 0.000985],{'0.0': {'precision': 1.0; 'recall': 0.14705882352941177; 'f1-score': 0.25641025641025644; 'support': 102}; '1.0': {'precision': 0.6777777777777778; 'recall': 1.0; 'f1-score': 0.8079470198675497; 'support': 183}; 'accuracy': 0.6947368421052632; 'macro avg': {'precision': 0.8388888888888889; 'recall': 0.5735294117647058; 'f1-score': 0.5321786381389031; 'support': 285}; 'weighted avg': {'precision': 0.7930994152046784; 'recall': 0.6947368421052632; 'f1-score': 0.6105549150512553; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.09090909090909091; 'f1-score': 0.16666666666666669; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6774193548387096; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5454545454545454; 'f1-score': 0.4833333333333334; 'support': 31}; 'weighted avg': {'precision': 0.7849462365591398; 'recall': 0.6774193548387096; 'f1-score': 0.575268817204301; 'support': 31}}
5,1,CNF,8,285,31,35,[8; 9],222,1.864578,0.548387,1,[X6 < 0.999995],{'0.0': {'precision': 0.4918032786885246; 'recall': 0.29411764705882354; 'f1-score': 0.3680981595092025; 'support': 102}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.8306010928961749; 'f1-score': 0.746928746928747; 'support': 183}; 'accuracy': 0.6385964912280702; 'macro avg': {'precision': 0.5851873536299765; 'recall': 0.5623593699774992; 'f1-score': 0.5575134532189747; 'support': 285}; 'weighted avg': {'precision': 0.6117280907185998; 'recall': 0.6385964912280702; 'f1-score': 0.611347273536489; 'support': 285}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 11}; '1.0': {'precision': 0.6071428571428571; 'recall': 0.85; 'f1-score': 0.7083333333333333; 'support': 20}; 'accuracy': 0.5483870967741935; 'macro avg': {'precision': 0.30357142857142855; 'recall': 0.425; 'f1-score': 0.35416666666666663; 'support': 31}; 'weighted avg': {'precision': 0.39170506912442393; 'recall': 0.5483870967741935; 'f1-score': 0.4569892473118279; 'support': 31}}
5,1,CNF,9,285,31,35,[8; 9],222,1.666168,0.774194,1,[X4 >= 0.041440],{'0.0': {'precision': 1.0; 'recall': 0.5098039215686274; 'f1-score': 0.6753246753246753; 'support': 102}; '1.0': {'precision': 0.7854077253218884; 'recall': 1.0; 'f1-score': 0.8798076923076923; 'support': 183}; 'accuracy': 0.8245614035087719; 'macro avg': {'precision': 0.8927038626609443; 'recall': 0.7549019607843137; 'f1-score': 0.7775661838161838; 'support': 285}; 'weighted avg': {'precision': 0.8622091709961599; 'recall': 0.8245614035087719; 'f1-score': 0.8066242967558757; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.6818181818181819; 'f1-score': 0.6921985815602837; 'support': 31}; 'weighted avg': {'precision': 0.8327359617682197; 'recall': 0.7741935483870968; 'f1-score': 0.738320750400366; 'support': 31}}
5,1,CNF,0,284,32,17,[16; 17],222,1.056310,0.812500,1,[X4 >= 0.418075],{'0.0': {'precision': 0.821917808219178; 'recall': 0.5882352941176471; 'f1-score': 0.6857142857142857; 'support': 102}; '1.0': {'precision': 0.8009478672985783; 'recall': 0.9285714285714286; 'f1-score': 0.8600508905852418; 'support': 182}; 'accuracy': 0.8063380281690141; 'macro avg': {'precision': 0.8114328377588782; 'recall': 0.7584033613445378; 'f1-score': 0.7728825881497637; 'support': 284}; 'weighted avg': {'precision': 0.8084793249531599; 'recall': 0.8063380281690141; 'f1-score': 0.7974370395400392; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7777777777777778; 'recall': 1.0; 'f1-score': 0.8750000000000001; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8888888888888888; 'recall': 0.7272727272727273; 'f1-score': 0.75; 'support': 32}; 'weighted avg': {'precision': 0.8541666666666666; 'recall': 0.8125; 'f1-score': 0.7890625000000001; 'support': 32}}
