l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,35,[8; 9],564,1.137126,0.781250,1,[X26 < 1.000000],{'0.0': {'precision': 0.8648648648648649; 'recall': 0.6274509803921569; 'f1-score': 0.7272727272727273; 'support': 102}; '1.0': {'precision': 0.819047619047619; 'recall': 0.945054945054945; 'f1-score': 0.8775510204081632; 'support': 182}; 'accuracy': 0.8309859154929577; 'macro avg': {'precision': 0.841956241956242; 'recall': 0.7862529627235509; 'f1-score': 0.8024118738404453; 'support': 284}; 'weighted avg': {'precision': 0.8355031087425454; 'recall': 0.8309859154929577; 'f1-score': 0.8235778306200842; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.9523809523809523; 'f1-score': 0.8510638297872339; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8012820512820513; 'recall': 0.7034632034632035; 'f1-score': 0.7196495619524406; 'support': 32}; 'weighted avg': {'precision': 0.7912660256410257; 'recall': 0.78125; 'f1-score': 0.7607165206508135; 'support': 32}}
l: 5,1,CNF,1,284,32,35,[8; 9],564,1.082327,0.531250,2,[X6 < 0.839040 OR X9 < -0.073980],{'0.0': {'precision': 0.22535211267605634; 'recall': 0.1568627450980392; 'f1-score': 0.18497109826589594; 'support': 102}; '1.0': {'precision': 0.596244131455399; 'recall': 0.6978021978021978; 'f1-score': 0.6430379746835442; 'support': 182}; 'accuracy': 0.5035211267605634; 'macro avg': {'precision': 0.4107981220657277; 'recall': 0.4273324714501185; 'f1-score': 0.4140045364747201; 'support': 284}; 'weighted avg': {'precision': 0.4630364345698605; 'recall': 0.5035211267605634; 'f1-score': 0.4785209979419945; 'support': 284}},{'0.0': {'precision': 0.35714285714285715; 'recall': 0.45454545454545453; 'f1-score': 0.4; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.5714285714285714; 'f1-score': 0.6153846153846153; 'support': 21}; 'accuracy': 0.53125; 'macro avg': {'precision': 0.5119047619047619; 'recall': 0.512987012987013; 'f1-score': 0.5076923076923077; 'support': 32}; 'weighted avg': {'precision': 0.5602678571428572; 'recall': 0.53125; 'f1-score': 0.5413461538461538; 'support': 32}}
l: 5,1,CNF,2,284,32,35,[8; 9],564,1.284868,0.687500,1,[X11 >= 0.028250],{'0.0': {'precision': 0.4444444444444444; 'recall': 0.6274509803921569; 'f1-score': 0.5203252032520325; 'support': 102}; '1.0': {'precision': 0.7285714285714285; 'recall': 0.5604395604395604; 'f1-score': 0.6335403726708075; 'support': 182}; 'accuracy': 0.5845070422535211; 'macro avg': {'precision': 0.5865079365079364; 'recall': 0.5939452704158587; 'f1-score': 0.57693278796142; 'support': 284}; 'weighted avg': {'precision': 0.6265258215962441; 'recall': 0.5845070422535211; 'f1-score': 0.5928785864711066; 'support': 284}},{'0.0': {'precision': 0.5384615384615384; 'recall': 0.6363636363636364; 'f1-score': 0.5833333333333334; 'support': 11}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.7142857142857143; 'f1-score': 0.7500000000000001; 'support': 21}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.6639676113360324; 'recall': 0.6753246753246753; 'f1-score': 0.6666666666666667; 'support': 32}; 'weighted avg': {'precision': 0.7031882591093117; 'recall': 0.6875; 'f1-score': 0.6927083333333334; 'support': 32}}
l: 5,1,CNF,3,284,32,35,[8; 9],564,1.271485,0.812500,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9661016949152542; 'recall': 0.5643564356435643; 'f1-score': 0.7125; 'support': 101}; '1.0': {'precision': 0.8044444444444444; 'recall': 0.9890710382513661; 'f1-score': 0.8872549019607843; 'support': 183}; 'accuracy': 0.8380281690140845; 'macro avg': {'precision': 0.8852730696798493; 'recall': 0.7767137369474653; 'f1-score': 0.7998774509803921; 'support': 284}; 'weighted avg': {'precision': 0.8619352271823029; 'recall': 0.8380281690140845; 'f1-score': 0.8251061516155758; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5; 'f1-score': 0.6666666666666666; 'support': 12}; '1.0': {'precision': 0.7692307692307693; 'recall': 1.0; 'f1-score': 0.8695652173913044; 'support': 20}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8846153846153846; 'recall': 0.75; 'f1-score': 0.7681159420289856; 'support': 32}; 'weighted avg': {'precision': 0.8557692307692308; 'recall': 0.8125; 'f1-score': 0.7934782608695653; 'support': 32}}
l: 5,1,CNF,4,284,32,35,[8; 9],564,1.247256,0.718750,1,[X2 >= 0.000000],{'0.0': {'precision': 1.0; 'recall': 0.15841584158415842; 'f1-score': 0.27350427350427353; 'support': 101}; '1.0': {'precision': 0.6828358208955224; 'recall': 1.0; 'f1-score': 0.811529933481153; 'support': 183}; 'accuracy': 0.7007042253521126; 'macro avg': {'precision': 0.8414179104477613; 'recall': 0.5792079207920792; 'f1-score': 0.5425171034927132; 'support': 284}; 'weighted avg': {'precision': 0.7956301240277486; 'recall': 0.7007042253521126; 'f1-score': 0.6201898220105022; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.25; 'f1-score': 0.4; 'support': 12}; '1.0': {'precision': 0.6896551724137931; 'recall': 1.0; 'f1-score': 0.8163265306122449; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.8448275862068966; 'recall': 0.625; 'f1-score': 0.6081632653061224; 'support': 32}; 'weighted avg': {'precision': 0.8060344827586208; 'recall': 0.71875; 'f1-score': 0.6602040816326531; 'support': 32}}
l: 5,1,CNF,5,284,32,35,[8; 9],564,1.188692,0.687500,2,[X2 >= 0.749160 OR X4 >= 0.067040],{'0.0': {'precision': 0.9787234042553191; 'recall': 0.45544554455445546; 'f1-score': 0.6216216216216216; 'support': 101}; '1.0': {'precision': 0.7679324894514767; 'recall': 0.994535519125683; 'f1-score': 0.8666666666666667; 'support': 183}; 'accuracy': 0.8028169014084507; 'macro avg': {'precision': 0.8733279468533979; 'recall': 0.7249905318400692; 'f1-score': 0.7441441441441441; 'support': 284}; 'weighted avg': {'precision': 0.8428968640824207; 'recall': 0.8028169014084507; 'f1-score': 0.7795203654358583; 'support': 284}},{'0.0': {'precision': 0.75; 'recall': 0.25; 'f1-score': 0.375; 'support': 12}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.95; 'f1-score': 0.7916666666666667; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.7142857142857143; 'recall': 0.6; 'f1-score': 0.5833333333333334; 'support': 32}; 'weighted avg': {'precision': 0.7053571428571429; 'recall': 0.6875; 'f1-score': 0.6354166666666667; 'support': 32}}
l: 5,1,CNF,6,285,31,35,[8; 9],564,1.200259,0.774194,1,[X2 >= 0.600000],{'0.0': {'precision': 0.6987951807228916; 'recall': 0.5686274509803921; 'f1-score': 0.6270270270270271; 'support': 102}; '1.0': {'precision': 0.7821782178217822; 'recall': 0.8633879781420765; 'f1-score': 0.8207792207792207; 'support': 183}; 'accuracy': 0.7578947368421053; 'macro avg': {'precision': 0.7404866992723369; 'recall': 0.7160077145612342; 'f1-score': 0.723903123903124; 'support': 285}; 'weighted avg': {'precision': 0.7523358677021793; 'recall': 0.7578947368421053; 'f1-score': 0.7514363303836988; 'support': 285}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.7272727272727273; 'f1-score': 0.6956521739130435; 'support': 11}; '1.0': {'precision': 0.8421052631578947; 'recall': 0.8; 'f1-score': 0.8205128205128205; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.7543859649122806; 'recall': 0.7636363636363637; 'f1-score': 0.758082497212932; 'support': 31}; 'weighted avg': {'precision': 0.7798528579513299; 'recall': 0.7741935483870968; 'f1-score': 0.7762074297838673; 'support': 31}}
l: 5,1,CNF,7,285,31,35,[8; 9],564,1.217079,0.645161,1,[X2 >= 0.000000],{'0.0': {'precision': 1.0; 'recall': 0.18627450980392157; 'f1-score': 0.3140495867768595; 'support': 102}; '1.0': {'precision': 0.6879699248120301; 'recall': 1.0; 'f1-score': 0.8151447661469934; 'support': 183}; 'accuracy': 0.7087719298245614; 'macro avg': {'precision': 0.8439849624060151; 'recall': 0.5931372549019608; 'f1-score': 0.5645971764619264; 'support': 285}; 'weighted avg': {'precision': 0.7996438464582509; 'recall': 0.7087719298245614; 'f1-score': 0.6358054387934717; 'support': 285}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 11}; '1.0': {'precision': 0.6451612903225806; 'recall': 1.0; 'f1-score': 0.7843137254901961; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.3225806451612903; 'recall': 0.5; 'f1-score': 0.39215686274509803; 'support': 31}; 'weighted avg': {'precision': 0.4162330905306972; 'recall': 0.6451612903225806; 'f1-score': 0.5060088551549652; 'support': 31}}
l: 5,1,CNF,8,285,31,35,[8; 9],564,1.309867,0.774194,1,[X13 >= -0.496390],{'0.0': {'precision': 0.8928571428571429; 'recall': 0.24509803921568626; 'f1-score': 0.38461538461538464; 'support': 102}; '1.0': {'precision': 0.7003891050583657; 'recall': 0.9836065573770492; 'f1-score': 0.8181818181818181; 'support': 183}; 'accuracy': 0.7192982456140351; 'macro avg': {'precision': 0.7966231239577544; 'recall': 0.6143522982963677; 'f1-score': 0.6013986013986014; 'support': 285}; 'weighted avg': {'precision': 0.7692724027968754; 'recall': 0.7192982456140351; 'f1-score': 0.6630106735369893; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.6818181818181819; 'f1-score': 0.6921985815602837; 'support': 31}; 'weighted avg': {'precision': 0.8327359617682197; 'recall': 0.7741935483870968; 'f1-score': 0.738320750400366; 'support': 31}}
l: 5,1,CNF,9,285,31,35,[8; 9],564,1.168360,0.870968,1,[X2 >= 0.328340],{'0.0': {'precision': 0.9074074074074074; 'recall': 0.4803921568627451; 'f1-score': 0.6282051282051282; 'support': 102}; '1.0': {'precision': 0.7705627705627706; 'recall': 0.9726775956284153; 'f1-score': 0.859903381642512; 'support': 183}; 'accuracy': 0.7964912280701755; 'macro avg': {'precision': 0.838985088985089; 'recall': 0.7265348762455802; 'f1-score': 0.74405425492382; 'support': 285}; 'weighted avg': {'precision': 0.8195387458545353; 'recall': 0.7964912280701755; 'f1-score': 0.7769797962017642; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8181818181818181; 'f1-score': 0.8434343434343434; 'support': 31}; 'weighted avg': {'precision': 0.8924731182795699; 'recall': 0.8709677419354839; 'f1-score': 0.862495927012056; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 35}, (mean val acc cv) 0.728327 (+- 0.091445), (mean training time) 1.210732 (+- 0.066847)
