l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,1,[468; 468],158,1000.243901,0.679245,8,[X0 >= 45.000000 OR X2 >= 1.400000 OR X2 < 0.700000 OR X4 >= 328.000000 OR X5 >= 30.000000 OR X6 < 19.000000 OR X7 >= 7.300000 OR X7 < 5.100000],{'0.0': {'precision': 0.8333333333333334; 'recall': 0.15037593984962405; 'f1-score': 0.25477707006369427; 'support': 133}; '1.0': {'precision': 0.7454954954954955; 'recall': 0.9880597014925373; 'f1-score': 0.8498074454428755; 'support': 335}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7894144144144144; 'recall': 0.5692178206710807; 'f1-score': 0.5522922577532848; 'support': 468}; 'weighted avg': {'precision': 0.7704579579579581; 'recall': 0.75; 'f1-score': 0.6807069327816979; 'support': 468}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.13333333333333333; 'f1-score': 0.19047619047619044; 'support': 15}; '1.0': {'precision': 0.723404255319149; 'recall': 0.8947368421052632; 'f1-score': 0.8; 'support': 38}; 'accuracy': 0.6792452830188679; 'macro avg': {'precision': 0.5283687943262412; 'recall': 0.5140350877192983; 'f1-score': 0.49523809523809526; 'support': 53}; 'weighted avg': {'precision': 0.6130068245684465; 'recall': 0.6792452830188679; 'f1-score': 0.6274932614555256; 'support': 53}}
l: 5,1,CNF,1,469,52,1,[469; 469],158,1000.320924,0.730769,7,[X0 >= 45.000000 OR X3 < 0.200000 OR X5 >= 35.000000 OR X6 >= 105.000000 OR X6 < 19.000000 OR X7 >= 7.100000 OR X7 < 6.000000],{'0.0': {'precision': 0.8260869565217391; 'recall': 0.1417910447761194; 'f1-score': 0.24203821656050956; 'support': 134}; '1.0': {'precision': 0.742152466367713; 'recall': 0.9880597014925373; 'f1-score': 0.8476312419974391; 'support': 335}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.784119711444726; 'recall': 0.5649253731343283; 'f1-score': 0.5448347292789744; 'support': 469}; 'weighted avg': {'precision': 0.7661337492688634; 'recall': 0.746268656716418; 'f1-score': 0.6746046633011735; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.07142857142857142; 'f1-score': 0.125; 'support': 14}; '1.0': {'precision': 0.74; 'recall': 0.9736842105263158; 'f1-score': 0.8409090909090909; 'support': 38}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.62; 'recall': 0.5225563909774437; 'f1-score': 0.48295454545454547; 'support': 52}; 'weighted avg': {'precision': 0.6753846153846155; 'recall': 0.7307692307692307; 'f1-score': 0.6481643356643356; 'support': 52}}
l: 5,1,CNF,2,469,52,1,[469; 469],158,1000.678556,0.711538,8,[X0 >= 45.000000 OR X2 < 0.700000 OR X3 >= 0.600000 OR X4 >= 195.000000 OR X4 < 150.000000 OR X6 >= 71.600000 OR X6 < 19.000000 OR X9 < 0.800000],{'0.0': {'precision': 0.8260869565217391; 'recall': 0.1417910447761194; 'f1-score': 0.24203821656050956; 'support': 134}; '1.0': {'precision': 0.742152466367713; 'recall': 0.9880597014925373; 'f1-score': 0.8476312419974391; 'support': 335}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.784119711444726; 'recall': 0.5649253731343283; 'f1-score': 0.5448347292789744; 'support': 469}; 'weighted avg': {'precision': 0.7661337492688634; 'recall': 0.746268656716418; 'f1-score': 0.6746046633011735; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.14285714285714285; 'f1-score': 0.21052631578947364; 'support': 14}; '1.0': {'precision': 0.7446808510638298; 'recall': 0.9210526315789473; 'f1-score': 0.8235294117647057; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.5723404255319149; 'recall': 0.5319548872180451; 'f1-score': 0.5170278637770896; 'support': 52}; 'weighted avg': {'precision': 0.6518821603927987; 'recall': 0.7115384615384616; 'f1-score': 0.6584901166944509; 'support': 52}}
l: 5,1,CNF,3,469,52,1,[469; 469],158,1000.551334,0.711538,9,[X0 >= 40.000000 OR X2 >= 2.000000 OR X3 >= 1.000000 OR X3 < 0.200000 OR X4 >= 208.000000 OR X5 >= 35.000000 OR X6 < 19.000000 OR X8 < 3.000000 OR X9 < 0.800000],{'0.0': {'precision': 0.84; 'recall': 0.15789473684210525; 'f1-score': 0.26582278481012656; 'support': 133}; '1.0': {'precision': 0.7477477477477478; 'recall': 0.9880952380952381; 'f1-score': 0.8512820512820515; 'support': 336}; 'accuracy': 0.7526652452025586; 'macro avg': {'precision': 0.7938738738738739; 'recall': 0.5729949874686717; 'f1-score': 0.558552418046089; 'support': 469}; 'weighted avg': {'precision': 0.7739088342073417; 'recall': 0.7526652452025586; 'f1-score': 0.685256289148222; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.06666666666666667; 'f1-score': 0.11764705882352941; 'support': 15}; '1.0': {'precision': 0.72; 'recall': 0.972972972972973; 'f1-score': 0.8275862068965518; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.61; 'recall': 0.5198198198198198; 'f1-score': 0.47261663286004063; 'support': 52}; 'weighted avg': {'precision': 0.6565384615384615; 'recall': 0.7115384615384616; 'f1-score': 0.6227960680293337; 'support': 52}}
l: 5,1,CNF,4,469,52,1,[469; 469],158,1000.829773,0.711538,10,[X0 >= 66.000000 OR X2 >= 7.920000 OR X2 < 0.700000 OR X3 < 0.200000 OR X4 >= 282.000000 OR X4 < 182.000000 OR X6 >= 34.000000 OR X7 >= 6.600000 OR X9 >= 1.308000 OR X9 < 0.700000],{'0.0': {'precision': 0.9473684210526315; 'recall': 0.13533834586466165; 'f1-score': 0.23684210526315788; 'support': 133}; '1.0': {'precision': 0.7444444444444445; 'recall': 0.9970238095238095; 'f1-score': 0.8524173027989822; 'support': 336}; 'accuracy': 0.7526652452025586; 'macro avg': {'precision': 0.8459064327485379; 'recall': 0.5661810776942355; 'f1-score': 0.54462970403107; 'support': 469}; 'weighted avg': {'precision': 0.8019900497512438; 'recall': 0.7526652452025586; 'f1-score': 0.677851202005241; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.06666666666666667; 'f1-score': 0.11764705882352941; 'support': 15}; '1.0': {'precision': 0.72; 'recall': 0.972972972972973; 'f1-score': 0.8275862068965518; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.61; 'recall': 0.5198198198198198; 'f1-score': 0.47261663286004063; 'support': 52}; 'weighted avg': {'precision': 0.6565384615384615; 'recall': 0.7115384615384616; 'f1-score': 0.6227960680293337; 'support': 52}}
l: 5,1,CNF,5,469,52,1,[469; 469],158,1000.573907,0.730769,10,[X0 >= 66.000000 OR X0 < 23.000000 OR (NOT X1) OR X2 >= 3.300000 OR X4 >= 282.000000 OR X5 >= 35.000000 OR X5 < 18.000000 OR X7 >= 7.100000 OR X7 < 6.000000 OR X9 < 0.800000],{'0.0': {'precision': 0.8095238095238095; 'recall': 0.12781954887218044; 'f1-score': 0.22077922077922077; 'support': 133}; '1.0': {'precision': 0.7410714285714286; 'recall': 0.9880952380952381; 'f1-score': 0.8469387755102041; 'support': 336}; 'accuracy': 0.744136460554371; 'macro avg': {'precision': 0.7752976190476191; 'recall': 0.5579573934837093; 'f1-score': 0.5338589981447125; 'support': 469}; 'weighted avg': {'precision': 0.7604832977967306; 'recall': 0.744136460554371; 'f1-score': 0.6693711405864925; 'support': 469}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.13333333333333333; 'f1-score': 0.2222222222222222; 'support': 15}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.972972972972973; 'f1-score': 0.8372093023255813; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.7006802721088435; 'recall': 0.5531531531531532; 'f1-score': 0.5297157622739017; 'support': 52}; 'weighted avg': {'precision': 0.7150706436420722; 'recall': 0.7307692307692307; 'f1-score': 0.659809183064997; 'support': 52}}
l: 5,1,CNF,6,469,52,1,[469; 469],158,1000.314197,0.692308,11,[X0 >= 55.000000 OR X0 < 23.000000 OR (NOT X1) OR X3 < 0.200000 OR X4 >= 195.000000 OR X5 >= 53.600000 OR X5 < 21.000000 OR X6 >= 105.000000 OR X7 >= 7.300000 OR X7 < 6.000000 OR X8 >= 4.100000],{'0.0': {'precision': 0.8125; 'recall': 0.09774436090225563; 'f1-score': 0.174496644295302; 'support': 133}; '1.0': {'precision': 0.7350993377483444; 'recall': 0.9910714285714286; 'f1-score': 0.8441064638783271; 'support': 336}; 'accuracy': 0.7377398720682303; 'macro avg': {'precision': 0.7737996688741722; 'recall': 0.5444078947368421; 'f1-score': 0.5093015540868145; 'support': 469}; 'weighted avg': {'precision': 0.757048779282396; 'recall': 0.7377398720682303; 'f1-score': 0.6542171120562752; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
l: 5,1,CNF,7,469,52,1,[469; 469],158,1000.429846,0.673077,11,[X0 >= 45.000000 OR X3 >= 0.600000 OR X3 < 0.200000 OR X4 >= 282.000000 OR X4 < 150.000000 OR X5 >= 53.600000 OR X5 < 25.000000 OR X6 >= 71.600000 OR X6 < 19.000000 OR X7 >= 7.900000 OR X9 < 0.700000],{'0.0': {'precision': 0.8; 'recall': 0.12030075187969924; 'f1-score': 0.20915032679738563; 'support': 133}; '1.0': {'precision': 0.7394209354120267; 'recall': 0.9880952380952381; 'f1-score': 0.8458598726114649; 'support': 336}; 'accuracy': 0.7420042643923241; 'macro avg': {'precision': 0.7697104677060134; 'recall': 0.5541979949874687; 'f1-score': 0.5275050997044253; 'support': 469}; 'weighted avg': {'precision': 0.7566000731310042; 'recall': 0.7420042643923241; 'f1-score': 0.6653004491716514; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.2; 'f1-score': 0.26086956521739135; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8648648648648649; 'f1-score': 0.7901234567901235; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5511363636363636; 'recall': 0.5324324324324324; 'f1-score': 0.5254965110037575; 'support': 52}; 'weighted avg': {'precision': 0.6256555944055944; 'recall': 0.6730769230769231; 'f1-score': 0.6374540649902969; 'support': 52}}
l: 5,1,CNF,8,469,52,1,[469; 469],158,1001.284520,0.769231,8,[X0 >= 49.000000 OR (NOT X1) OR X3 >= 1.000000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X5 >= 35.000000 OR X7 < 6.000000 OR X9 < 0.700000],{'0.0': {'precision': 0.8947368421052632; 'recall': 0.12781954887218044; 'f1-score': 0.2236842105263158; 'support': 133}; '1.0': {'precision': 0.7422222222222222; 'recall': 0.9940476190476191; 'f1-score': 0.8498727735368956; 'support': 336}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.8184795321637427; 'recall': 0.5609335839598998; 'f1-score': 0.5367784920316057; 'support': 469}; 'weighted avg': {'precision': 0.7854726368159204; 'recall': 0.7484008528784648; 'f1-score': 0.6722969123846417; 'support': 469}},{'0.0': {'precision': 1.0; 'recall': 0.2; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7551020408163265; 'recall': 1.0; 'f1-score': 0.8604651162790697; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.8775510204081632; 'recall': 0.6; 'f1-score': 0.5968992248062015; 'support': 52}; 'weighted avg': {'precision': 0.82574568288854; 'recall': 0.7692307692307693; 'f1-score': 0.7084078711985689; 'support': 52}}
l: 5,1,CNF,9,469,52,1,[469; 469],158,1000.781924,0.692308,7,[X0 >= 66.000000 OR X2 < 0.700000 OR X4 >= 282.000000 OR X4 < 195.000000 OR X6 >= 42.000000 OR X7 >= 6.600000 OR X9 < 0.700000],{'0.0': {'precision': 0.9375; 'recall': 0.11278195488721804; 'f1-score': 0.20134228187919465; 'support': 133}; '1.0': {'precision': 0.739514348785872; 'recall': 0.9970238095238095; 'f1-score': 0.8491761723700887; 'support': 336}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.838507174392936; 'recall': 0.5549028822055138; 'f1-score': 0.5252592271246417; 'support': 469}; 'weighted avg': {'precision': 0.7956595334585351; 'recall': 0.746268656716418; 'f1-score': 0.6654620840219246; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [469, 469], 'n_partitions': 1}, (mean val acc cv) 0.710232 (+- 0.027042), (mean training time) 1000.600888 (+- 0.296479)
