l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.631963,0.754717,1,[X4 >= 167.600000],{'0.0': {'precision': 0.45555555555555555; 'recall': 0.3082706766917293; 'f1-score': 0.36771300448430494; 'support': 133}; '1.0': {'precision': 0.7566137566137566; 'recall': 0.8537313432835821; 'f1-score': 0.8022440392706873; 'support': 335}; 'accuracy': 0.6987179487179487; 'macro avg': {'precision': 0.6060846560846561; 'recall': 0.5810010099876557; 'f1-score': 0.5849785218774961; 'support': 468}; 'weighted avg': {'precision': 0.6710566182788406; 'recall': 0.6987179487179487; 'f1-score': 0.678755518701053; 'support': 468}},{'0.0': {'precision': 0.5833333333333334; 'recall': 0.4666666666666667; 'f1-score': 0.5185185185185186; 'support': 15}; '1.0': {'precision': 0.8048780487804879; 'recall': 0.868421052631579; 'f1-score': 0.8354430379746836; 'support': 38}; 'accuracy': 0.7547169811320755; 'macro avg': {'precision': 0.6941056910569106; 'recall': 0.6675438596491228; 'f1-score': 0.6769807782466011; 'support': 53}; 'weighted avg': {'precision': 0.7421767142199724; 'recall': 0.7547169811320755; 'f1-score': 0.7457474192606746; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],158,1.610852,0.730769,2,[X0 < 55.000000 OR X9 < 1.060000],{'0.0': {'precision': 0.5483870967741935; 'recall': 0.12686567164179105; 'f1-score': 0.20606060606060606; 'support': 134}; '1.0': {'precision': 0.7328767123287672; 'recall': 0.9582089552238806; 'f1-score': 0.8305304010349289; 'support': 335}; 'accuracy': 0.720682302771855; 'macro avg': {'precision': 0.6406319045514803; 'recall': 0.5425373134328358; 'f1-score': 0.5182955035477674; 'support': 469}; 'weighted avg': {'precision': 0.6801653935988891; 'recall': 0.720682302771855; 'f1-score': 0.6521104596136938; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.21428571428571427; 'f1-score': 0.3; 'support': 14}; '1.0': {'precision': 0.7608695652173914; 'recall': 0.9210526315789473; 'f1-score': 0.8333333333333333; 'support': 38}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6304347826086957; 'recall': 0.5676691729323308; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.6906354515050168; 'recall': 0.7307692307692307; 'f1-score': 0.6897435897435897; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],158,1.791052,0.557692,2,[X0 >= 40.000000 OR X4 >= 236.800000],{'0.0': {'precision': 0.4666666666666667; 'recall': 0.3656716417910448; 'f1-score': 0.4100418410041841; 'support': 134}; '1.0': {'precision': 0.7664835164835165; 'recall': 0.8328358208955224; 'f1-score': 0.7982832618025753; 'support': 335}; 'accuracy': 0.6993603411513859; 'macro avg': {'precision': 0.6165750915750916; 'recall': 0.5992537313432836; 'f1-score': 0.6041625514033797; 'support': 469}; 'weighted avg': {'precision': 0.6808215593929879; 'recall': 0.6993603411513859; 'f1-score': 0.6873571415744636; 'support': 469}},{'0.0': {'precision': 0.23529411764705882; 'recall': 0.2857142857142857; 'f1-score': 0.2580645161290323; 'support': 14}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.6578947368421053; 'f1-score': 0.684931506849315; 'support': 38}; 'accuracy': 0.5576923076923077; 'macro avg': {'precision': 0.47478991596638653; 'recall': 0.4718045112781955; 'f1-score': 0.4714980114891737; 'support': 52}; 'weighted avg': {'precision': 0.5853264382676147; 'recall': 0.5576923076923077; 'f1-score': 0.5700057785784697; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],158,1.753683,0.480769,2,[X2 < 0.700000 OR X5 >= 53.600000],{'0.0': {'precision': 0.34915254237288135; 'recall': 0.7744360902255639; 'f1-score': 0.4813084112149533; 'support': 133}; '1.0': {'precision': 0.8275862068965517; 'recall': 0.42857142857142855; 'f1-score': 0.5647058823529412; 'support': 336}; 'accuracy': 0.5266524520255863; 'macro avg': {'precision': 0.5883693746347165; 'recall': 0.6015037593984962; 'f1-score': 0.5230071467839472; 'support': 469}; 'weighted avg': {'precision': 0.6919109885987945; 'recall': 0.5266524520255863; 'f1-score': 0.5410558532242581; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.8; 'f1-score': 0.47058823529411764; 'support': 15}; '1.0': {'precision': 0.8125; 'recall': 0.35135135135135137; 'f1-score': 0.49056603773584906; 'support': 37}; 'accuracy': 0.4807692307692308; 'macro avg': {'precision': 0.5729166666666666; 'recall': 0.5756756756756757; 'f1-score': 0.48057713651498335; 'support': 52}; 'weighted avg': {'precision': 0.6742788461538461; 'recall': 0.4807692307692308; 'f1-score': 0.4848032101084266; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],158,1.732278,0.673077,2,[X0 < 35.000000 OR X2 >= 1.000000],{'0.0': {'precision': 0.38666666666666666; 'recall': 0.43609022556390975; 'f1-score': 0.40989399293286216; 'support': 133}; '1.0': {'precision': 0.7648902821316614; 'recall': 0.7261904761904762; 'f1-score': 0.7450381679389312; 'support': 336}; 'accuracy': 0.6439232409381663; 'macro avg': {'precision': 0.5757784743991641; 'recall': 0.581140350877193; 'f1-score': 0.5774660804358966; 'support': 469}; 'weighted avg': {'precision': 0.6576328389400957; 'recall': 0.6439232409381663; 'f1-score': 0.649997282489449; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.4; 'f1-score': 0.4137931034482759; 'support': 15}; '1.0': {'precision': 0.7631578947368421; 'recall': 0.7837837837837838; 'f1-score': 0.7733333333333334; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5958646616541353; 'recall': 0.5918918918918918; 'f1-score': 0.5935632183908046; 'support': 52}; 'weighted avg': {'precision': 0.6666425679583574; 'recall': 0.6730769230769231; 'f1-score': 0.6696198054818745; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],158,1.569891,0.730769,3,[X2 >= 1.400000 OR X4 >= 195.000000 OR X4 < 150.000000],{'0.0': {'precision': 0.4722222222222222; 'recall': 0.38345864661654133; 'f1-score': 0.4232365145228215; 'support': 133}; '1.0': {'precision': 0.7728531855955678; 'recall': 0.8303571428571429; 'f1-score': 0.8005738880918222; 'support': 336}; 'accuracy': 0.7036247334754797; 'macro avg': {'precision': 0.6225377039088951; 'recall': 0.6069078947368421; 'f1-score': 0.6119052013073218; 'support': 469}; 'weighted avg': {'precision': 0.6875996288180519; 'recall': 0.7036247334754797; 'f1-score': 0.6935677672289713; 'support': 469}},{'0.0': {'precision': 0.5454545454545454; 'recall': 0.4; 'f1-score': 0.4615384615384615; 'support': 15}; '1.0': {'precision': 0.7804878048780488; 'recall': 0.8648648648648649; 'f1-score': 0.8205128205128206; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6629711751662971; 'recall': 0.6324324324324324; 'f1-score': 0.6410256410256411; 'support': 52}; 'weighted avg': {'precision': 0.7126897492751152; 'recall': 0.7307692307692307; 'f1-score': 0.7169625246548323; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],158,1.645257,0.557692,2,[X0 >= 49.000000 OR X9 < 0.546000],{'0.0': {'precision': 0.3058823529411765; 'recall': 0.5864661654135338; 'f1-score': 0.4020618556701031; 'support': 133}; '1.0': {'precision': 0.7429906542056075; 'recall': 0.4732142857142857; 'f1-score': 0.5781818181818181; 'support': 336}; 'accuracy': 0.5053304904051172; 'macro avg': {'precision': 0.524436503573392; 'recall': 0.5298402255639098; 'f1-score': 0.4901218369259606; 'support': 469}; 'weighted avg': {'precision': 0.6190345687724106; 'recall': 0.5053304904051172; 'f1-score': 0.528237351200884; 'support': 469}},{'0.0': {'precision': 0.36666666666666664; 'recall': 0.7333333333333333; 'f1-score': 0.4888888888888889; 'support': 15}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.4864864864864865; 'f1-score': 0.6101694915254238; 'support': 37}; 'accuracy': 0.5576923076923077; 'macro avg': {'precision': 0.5924242424242424; 'recall': 0.6099099099099099; 'f1-score': 0.5495291902071563; 'support': 52}; 'weighted avg': {'precision': 0.6879370629370629; 'recall': 0.5576923076923077; 'f1-score': 0.5751847023033464; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],158,1.708087,0.750000,3,[X0 < 35.000000 OR X4 >= 208.000000 OR X6 < 19.000000],{'0.0': {'precision': 0.39705882352941174; 'recall': 0.40601503759398494; 'f1-score': 0.4014869888475836; 'support': 133}; '1.0': {'precision': 0.7627627627627628; 'recall': 0.7559523809523809; 'f1-score': 0.7593423019431988; 'support': 336}; 'accuracy': 0.6567164179104478; 'macro avg': {'precision': 0.5799107931460873; 'recall': 0.5809837092731829; 'f1-score': 0.5804146453953912; 'support': 469}; 'weighted avg': {'precision': 0.6590556755174841; 'recall': 0.6567164179104478; 'f1-score': 0.6578609444981736; 'support': 469}},{'0.0': {'precision': 0.5714285714285714; 'recall': 0.5333333333333333; 'f1-score': 0.5517241379310344; 'support': 15}; '1.0': {'precision': 0.8157894736842105; 'recall': 0.8378378378378378; 'f1-score': 0.8266666666666665; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6936090225563909; 'recall': 0.6855855855855856; 'f1-score': 0.6891954022988505; 'support': 52}; 'weighted avg': {'precision': 0.7453007518796991; 'recall': 0.75; 'f1-score': 0.7473563218390804; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],158,1.863342,0.730769,5,[X0 >= 66.000000 OR X0 < 31.000000 OR X2 >= 2.000000 OR X4 >= 236.800000 OR X6 < 23.000000],{'0.0': {'precision': 0.4411764705882353; 'recall': 0.3383458646616541; 'f1-score': 0.38297872340425526; 'support': 133}; '1.0': {'precision': 0.7602179836512262; 'recall': 0.8303571428571429; 'f1-score': 0.7937411095305834; 'support': 336}; 'accuracy': 0.6908315565031983; 'macro avg': {'precision': 0.6006972271197307; 'recall': 0.5843515037593985; 'f1-score': 0.5883599164674194; 'support': 469}; 'weighted avg': {'precision': 0.6697435247229154; 'recall': 0.6908315565031983; 'f1-score': 0.6772562537634158; 'support': 469}},{'0.0': {'precision': 0.5714285714285714; 'recall': 0.26666666666666666; 'f1-score': 0.36363636363636365; 'support': 15}; '1.0': {'precision': 0.7555555555555555; 'recall': 0.918918918918919; 'f1-score': 0.8292682926829269; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6634920634920635; 'recall': 0.5927927927927928; 'f1-score': 0.5964523281596452; 'support': 52}; 'weighted avg': {'precision': 0.7024420024420024; 'recall': 0.7307692307692307; 'f1-score': 0.6949513900733414; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],158,1.664363,0.692308,4,[X0 < 35.000000 OR X2 < 1.000000 OR X5 >= 43.000000 OR X9 < 0.900000],{'0.0': {'precision': 0.3333333333333333; 'recall': 0.11278195488721804; 'f1-score': 0.16853932584269662; 'support': 133}; '1.0': {'precision': 0.7216981132075472; 'recall': 0.9107142857142857; 'f1-score': 0.8052631578947368; 'support': 336}; 'accuracy': 0.6844349680170576; 'macro avg': {'precision': 0.5275157232704403; 'recall': 0.5117481203007519; 'f1-score': 0.4869012418687167; 'support': 469}; 'weighted avg': {'precision': 0.6115648174223223; 'recall': 0.6844349680170576; 'f1-score': 0.6246996831337104; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.665856 (+- 0.092750), (mean training time) 1.697077 (+- 0.085233)
