l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,1,[468; 468],158,1000.238348,0.660377,10,[X0 >= 66.000000 OR X3 >= 0.600000 OR X3 < 0.200000 OR X4 >= 208.000000 OR X4 < 167.600000 OR X5 >= 35.000000 OR X5 < 18.000000 OR X7 < 5.100000 OR X9 >= 1.308000 OR X9 < 0.900000],{'0.0': {'precision': 0.92; 'recall': 0.17293233082706766; 'f1-score': 0.2911392405063291; 'support': 133}; '1.0': {'precision': 0.7516930022573364; 'recall': 0.9940298507462687; 'f1-score': 0.8560411311053985; 'support': 335}; 'accuracy': 0.7606837606837606; 'macro avg': {'precision': 0.8358465011286682; 'recall': 0.5834810907866682; 'f1-score': 0.5735901858058639; 'support': 468}; 'weighted avg': {'precision': 0.7995238370859139; 'recall': 0.7606837606837606; 'f1-score': 0.695502773306945; 'support': 468}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.2; 'f1-score': 0.25; 'support': 15}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8421052631578947; 'f1-score': 0.7804878048780488; 'support': 38}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.5303030303030303; 'recall': 0.5210526315789473; 'f1-score': 0.5152439024390244; 'support': 53}; 'weighted avg': {'precision': 0.6157804459691253; 'recall': 0.660377358490566; 'f1-score': 0.6303497468936953; 'support': 53}}
l: 5,1,CNF,1,469,52,1,[469; 469],158,1000.536815,0.711538,14,[X0 >= 66.000000 OR X0 < 31.000000 OR (NOT X1) OR X2 >= 3.300000 OR X2 < 0.700000 OR X3 < 0.200000 OR X4 >= 328.000000 OR X4 < 150.000000 OR X5 >= 43.000000 OR X5 < 18.000000 OR X7 >= 7.100000 OR X7 < 6.000000 OR X9 >= 1.308000 OR X9 < 0.800000],{'0.0': {'precision': 0.9444444444444444; 'recall': 0.12686567164179105; 'f1-score': 0.2236842105263158; 'support': 134}; '1.0': {'precision': 0.7405764966740577; 'recall': 0.9970149253731343; 'f1-score': 0.8498727735368957; 'support': 335}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.842510470559251; 'recall': 0.5619402985074626; 'f1-score': 0.5367784920316058; 'support': 469}; 'weighted avg': {'precision': 0.798824481751311; 'recall': 0.7484008528784648; 'f1-score': 0.6709617555338728; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.07142857142857142; 'f1-score': 0.11764705882352941; 'support': 14}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.9473684210526315; 'f1-score': 0.8275862068965517; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.5340136054421769; 'recall': 0.5093984962406015; 'f1-score': 0.4726166328600406; 'support': 52}; 'weighted avg': {'precision': 0.6266352694924124; 'recall': 0.7115384615384616; 'f1-score': 0.6364487439538149; 'support': 52}}
l: 5,1,CNF,2,469,52,1,[469; 469],158,1000.501651,0.730769,8,[X0 >= 45.000000 OR (NOT X1) OR X2 < 0.700000 OR X3 >= 1.000000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X5 >= 35.000000 OR X7 < 6.000000],{'0.0': {'precision': 1.0; 'recall': 0.14925373134328357; 'f1-score': 0.2597402597402597; 'support': 134}; '1.0': {'precision': 0.7461024498886414; 'recall': 1.0; 'f1-score': 0.8545918367346937; 'support': 335}; 'accuracy': 0.7569296375266524; 'macro avg': {'precision': 0.8730512249443207; 'recall': 0.5746268656716418; 'f1-score': 0.5571660482374767; 'support': 469}; 'weighted avg': {'precision': 0.8186446070633153; 'recall': 0.7569296375266524; 'f1-score': 0.6846342433077126; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.07142857142857142; 'f1-score': 0.125; 'support': 14}; '1.0': {'precision': 0.74; 'recall': 0.9736842105263158; 'f1-score': 0.8409090909090909; 'support': 38}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.62; 'recall': 0.5225563909774437; 'f1-score': 0.48295454545454547; 'support': 52}; 'weighted avg': {'precision': 0.6753846153846155; 'recall': 0.7307692307692307; 'f1-score': 0.6481643356643356; 'support': 52}}
l: 5,1,CNF,3,469,52,1,[469; 469],158,1000.623126,0.730769,9,[(NOT X1) OR X2 >= 0.900000 OR X2 < 0.700000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X5 >= 43.000000 OR X6 >= 34.000000 OR X7 < 5.100000 OR X9 < 0.800000],{'0.0': {'precision': 0.8260869565217391; 'recall': 0.14285714285714285; 'f1-score': 0.24358974358974358; 'support': 133}; '1.0': {'precision': 0.7443946188340808; 'recall': 0.9880952380952381; 'f1-score': 0.8491048593350384; 'support': 336}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.78524078767791; 'recall': 0.5654761904761905; 'f1-score': 0.546347301462391; 'support': 469}; 'weighted avg': {'precision': 0.767561102655954; 'recall': 0.7484008528784648; 'f1-score': 0.677391617556522; 'support': 469}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.13333333333333333; 'f1-score': 0.2222222222222222; 'support': 15}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.972972972972973; 'f1-score': 0.8372093023255813; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.7006802721088435; 'recall': 0.5531531531531532; 'f1-score': 0.5297157622739017; 'support': 52}; 'weighted avg': {'precision': 0.7150706436420722; 'recall': 0.7307692307692307; 'f1-score': 0.659809183064997; 'support': 52}}
l: 5,1,CNF,4,469,52,1,[469; 469],158,1000.928407,0.634615,8,[X0 >= 66.000000 OR X0 < 35.000000 OR X2 < 0.700000 OR X4 >= 282.000000 OR X6 >= 54.000000 OR X7 >= 7.300000 OR X7 < 5.100000 OR X9 < 1.060000],{'0.0': {'precision': 0.71875; 'recall': 0.17293233082706766; 'f1-score': 0.2787878787878788; 'support': 133}; '1.0': {'precision': 0.7482837528604119; 'recall': 0.9732142857142857; 'f1-score': 0.8460543337645536; 'support': 336}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.733516876430206; 'recall': 0.5730733082706767; 'f1-score': 0.5624211062762162; 'support': 469}; 'weighted avg': {'precision': 0.7399085095119369; 'recall': 0.746268656716418; 'f1-score': 0.6851877271293773; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6875; 'recall': 0.8918918918918919; 'f1-score': 0.7764705882352941; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.34375; 'recall': 0.44594594594594594; 'f1-score': 0.38823529411764707; 'support': 52}; 'weighted avg': {'precision': 0.4891826923076923; 'recall': 0.6346153846153846; 'f1-score': 0.5524886877828055; 'support': 52}}
l: 5,1,CNF,5,469,52,1,[469; 469],158,1000.407601,0.769231,11,[X0 >= 66.000000 OR (NOT X1) OR X2 < 0.700000 OR X3 >= 0.600000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X5 >= 35.000000 OR X5 < 18.000000 OR X7 < 6.000000 OR X8 < 2.700000 OR X9 >= 1.308000],{'0.0': {'precision': 0.7878787878787878; 'recall': 0.19548872180451127; 'f1-score': 0.3132530120481927; 'support': 133}; '1.0': {'precision': 0.7545871559633027; 'recall': 0.9791666666666666; 'f1-score': 0.8523316062176165; 'support': 336}; 'accuracy': 0.7569296375266524; 'macro avg': {'precision': 0.7712329719210453; 'recall': 0.587327694235589; 'f1-score': 0.5827923091329046; 'support': 469}; 'weighted avg': {'precision': 0.7640280665065; 'recall': 0.7569296375266524; 'f1-score': 0.699458572050168; 'support': 469}},{'0.0': {'precision': 1.0; 'recall': 0.2; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7551020408163265; 'recall': 1.0; 'f1-score': 0.8604651162790697; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.8775510204081632; 'recall': 0.6; 'f1-score': 0.5968992248062015; 'support': 52}; 'weighted avg': {'precision': 0.82574568288854; 'recall': 0.7692307692307693; 'f1-score': 0.7084078711985689; 'support': 52}}
l: 5,1,CNF,6,469,52,1,[469; 469],158,1000.311471,0.711538,8,[X2 >= 1.400000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X4 < 182.000000 OR X6 >= 54.000000 OR X6 < 19.000000 OR X7 >= 6.600000 OR X9 < 0.900000],{'0.0': {'precision': 0.9230769230769231; 'recall': 0.09022556390977443; 'f1-score': 0.1643835616438356; 'support': 133}; '1.0': {'precision': 0.7346491228070176; 'recall': 0.9970238095238095; 'f1-score': 0.8459595959595959; 'support': 336}; 'accuracy': 0.7398720682302772; 'macro avg': {'precision': 0.8288630229419703; 'recall': 0.543624686716792; 'f1-score': 0.5051715788017157; 'support': 469}; 'weighted avg': {'precision': 0.7880838721372893; 'recall': 0.7398720682302772; 'f1-score': 0.6526768399596042; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,7,469,52,1,[469; 469],158,1000.387162,0.711538,10,[X0 >= 45.000000 OR (NOT X1) OR X2 >= 1.000000 OR X4 >= 328.000000 OR X4 < 150.000000 OR X5 >= 43.000000 OR X5 < 21.000000 OR X7 >= 7.900000 OR X7 < 5.100000 OR X8 >= 4.100000],{'0.0': {'precision': 0.9333333333333333; 'recall': 0.10526315789473684; 'f1-score': 0.18918918918918917; 'support': 133}; '1.0': {'precision': 0.737885462555066; 'recall': 0.9970238095238095; 'f1-score': 0.8481012658227849; 'support': 336}; 'accuracy': 0.744136460554371; 'macro avg': {'precision': 0.8356093979441996; 'recall': 0.5511434837092732; 'f1-score': 0.5186452275059871; 'support': 469}; 'weighted avg': {'precision': 0.7933109781489031; 'recall': 0.744136460554371; 'f1-score': 0.6612456022998249; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.13333333333333333; 'f1-score': 0.2105263157894737; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9459459459459459; 'f1-score': 0.8235294117647058; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6145833333333333; 'recall': 0.5396396396396397; 'f1-score': 0.5170278637770898; 'support': 52}; 'weighted avg': {'precision': 0.6630608974358974; 'recall': 0.7115384615384616; 'f1-score': 0.6467015956180042; 'support': 52}}
l: 5,1,CNF,8,469,52,1,[469; 469],158,1001.523992,0.730769,9,[(NOT X1) OR X3 >= 0.600000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X4 < 167.600000 OR X5 >= 74.000000 OR X5 < 18.000000 OR X7 >= 7.900000 OR X8 < 3.100000],{'0.0': {'precision': 0.8571428571428571; 'recall': 0.13533834586466165; 'f1-score': 0.23376623376623376; 'support': 133}; '1.0': {'precision': 0.7433035714285714; 'recall': 0.9910714285714286; 'f1-score': 0.8494897959183674; 'support': 336}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.8002232142857142; 'recall': 0.5632048872180451; 'f1-score': 0.5416280148423006; 'support': 469}; 'weighted avg': {'precision': 0.7755863539445629; 'recall': 0.7484008528784648; 'f1-score': 0.6748816215767175; 'support': 469}},{'0.0': {'precision': 1.0; 'recall': 0.06666666666666667; 'f1-score': 0.125; 'support': 15}; '1.0': {'precision': 0.7254901960784313; 'recall': 1.0; 'f1-score': 0.8409090909090908; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.8627450980392157; 'recall': 0.5333333333333333; 'f1-score': 0.4829545454545454; 'support': 52}; 'weighted avg': {'precision': 0.8046757164404224; 'recall': 0.7307692307692307; 'f1-score': 0.6343968531468531; 'support': 52}}
l: 5,1,CNF,9,469,52,1,[469; 469],158,1000.452245,0.730769,11,[X0 >= 66.000000 OR (NOT X1) OR X2 >= 1.400000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X4 < 167.600000 OR X5 >= 140.200000 OR X5 < 18.000000 OR X7 >= 7.900000 OR X7 < 5.600000 OR X9 < 0.800000],{'0.0': {'precision': 0.8947368421052632; 'recall': 0.12781954887218044; 'f1-score': 0.2236842105263158; 'support': 133}; '1.0': {'precision': 0.7422222222222222; 'recall': 0.9940476190476191; 'f1-score': 0.8498727735368956; 'support': 336}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.8184795321637427; 'recall': 0.5609335839598998; 'f1-score': 0.5367784920316057; 'support': 469}; 'weighted avg': {'precision': 0.7854726368159204; 'recall': 0.7484008528784648; 'f1-score': 0.6722969123846417; 'support': 469}},{'0.0': {'precision': 0.6; 'recall': 0.2; 'f1-score': 0.3; 'support': 15}; '1.0': {'precision': 0.7446808510638298; 'recall': 0.9459459459459459; 'f1-score': 0.8333333333333334; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6723404255319149; 'recall': 0.572972972972973; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.7029459901800327; 'recall': 0.7307692307692307; 'f1-score': 0.6794871794871795; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [469, 469], 'n_partitions': 1}, (mean val acc cv) 0.712192 (+- 0.036521), (mean training time) 1000.591082 (+- 0.359612)
