l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],262,264.908865,0.601160,5,[X0 >= 45.000000 OR X1 == 2 OR X1 == 5 OR X3 == 12 OR X6 == 3],{'0': {'precision': 0.835547810934437; 'recall': 0.5747390500923938; 'f1-score': 0.6810273405136702; 'support': 20023}; '1': {'precision': 0.3242599793667169; 'recall': 0.6433632498819084; 'f1-score': 0.4311945968763191; 'support': 6351}; 'accuracy': 0.5912641237582468; 'macro avg': {'precision': 0.5799038951505769; 'recall': 0.6090511499871512; 'f1-score': 0.5561109686949947; 'support': 26374}; 'weighted avg': {'precision': 0.7124269715362952; 'recall': 0.5912641237582468; 'f1-score': 0.6208662820909502; 'support': 26374}},{'0': {'precision': 0.8346007604562737; 'recall': 0.5919101123595506; 'f1-score': 0.692611096502761; 'support': 2225}; '1': {'precision': 0.3288987435328899; 'recall': 0.6303116147308782; 'f1-score': 0.43224866440019427; 'support': 706}; 'accuracy': 0.6011600136472194; 'macro avg': {'precision': 0.5817497519945818; 'recall': 0.6111108635452144; 'f1-score': 0.5624298804514776; 'support': 2931}; 'weighted avg': {'precision': 0.712790585107277; 'recall': 0.6011600136472194; 'f1-score': 0.6298967065114911; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],262,159.343495,0.752644,1,[X6 == 4],{'0': {'precision': 0.7942386831275721; 'recall': 0.9156969485092145; 'f1-score': 0.850654170919551; 'support': 20023}; '1': {'precision': 0.48677409546974765; 'recall': 0.2520862856243111; 'f1-score': 0.3321576763485477; 'support': 6351}; 'accuracy': 0.755895958140593; 'macro avg': {'precision': 0.6405063892986599; 'recall': 0.5838916170667627; 'f1-score': 0.5914059236340493; 'support': 26374}; 'weighted avg': {'precision': 0.7201995689918761; 'recall': 0.755895958140593; 'f1-score': 0.7257974469861149; 'support': 26374}},{'0': {'precision': 0.7891287586738628; 'recall': 0.92; 'f1-score': 0.8495538493463374; 'support': 2225}; '1': {'precision': 0.47181008902077154; 'recall': 0.22521246458923513; 'f1-score': 0.3048897411313519; 'support': 706}; 'accuracy': 0.7526441487546912; 'macro avg': {'precision': 0.6304694238473172; 'recall': 0.5726062322946176; 'f1-score': 0.5772217952388446; 'support': 2931}; 'weighted avg': {'precision': 0.71269512483726; 'recall': 0.7526441487546912; 'f1-score': 0.7183587417380877; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],262,117.903290,0.764927,1,[X3 == 14],{'0': {'precision': 0.768269156570723; 'recall': 0.9944563751685561; 'f1-score': 0.8668509610152151; 'support': 20023}; '1': {'precision': 0.756578947368421; 'recall': 0.0543221539914974; 'f1-score': 0.10136624063464081; 'support': 6351}; 'accuracy': 0.768067035716994; 'macro avg': {'precision': 0.762424051969572; 'recall': 0.5243892645800268; 'f1-score': 0.48410860082492796; 'support': 26374}; 'weighted avg': {'precision': 0.7654540917855626; 'recall': 0.768067035716994; 'f1-score': 0.6825181537377059; 'support': 26374}},{'0': {'precision': 0.7666666666666667; 'recall': 0.9923595505617977; 'f1-score': 0.8650342801175317; 'support': 2225}; '1': {'precision': 0.6666666666666666; 'recall': 0.04815864022662889; 'f1-score': 0.08982826948480845; 'support': 706}; 'accuracy': 0.7649266461958376; 'macro avg': {'precision': 0.7166666666666667; 'recall': 0.5202590953942133; 'f1-score': 0.4774312748011701; 'support': 2931}; 'weighted avg': {'precision': 0.7425793244626407; 'recall': 0.7649266461958376; 'f1-score': 0.67830775555025; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],262,136.647990,0.765268,3,[X3 == 4 OR X3 == 10 OR X3 == 14],{'0': {'precision': 0.7726788041546543; 'recall': 0.977126304749538; 'f1-score': 0.8629587155963304; 'support': 20023}; '1': {'precision': 0.5650522317188984; 'recall': 0.09368603369548102; 'f1-score': 0.16072393300918422; 'support': 6351}; 'accuracy': 0.7643891711534087; 'macro avg': {'precision': 0.6688655179367764; 'recall': 0.5354061692225095; 'f1-score': 0.5118413243027573; 'support': 26374}; 'weighted avg': {'precision': 0.7226812170787658; 'recall': 0.7643891711534087; 'f1-score': 0.6938568310050297; 'support': 26374}},{'0': {'precision': 0.7739750445632798; 'recall': 0.9757303370786516; 'f1-score': 0.863220675944334; 'support': 2225}; '1': {'precision': 0.5714285714285714; 'recall': 0.10198300283286119; 'f1-score': 0.17307692307692304; 'support': 706}; 'accuracy': 0.7652678266803139; 'macro avg': {'precision': 0.6727018079959256; 'recall': 0.5388566699557564; 'f1-score': 0.5181487995106285; 'support': 2931}; 'weighted avg': {'precision': 0.7251869824571372; 'recall': 0.7652678266803139; 'f1-score': 0.6969833884914537; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],262,120.663766,0.733197,6,[X1 == 5 OR X3 == 10 OR X5 == 1 OR X6 == 4 OR X6 == 13 OR X8 == 1],{'0': {'precision': 0.8123351398014483; 'recall': 0.8459271837387005; 'f1-score': 0.8287909184322553; 'support': 20023}; '1': {'precision': 0.4414267608183958; 'recall': 0.3838765548732483; 'f1-score': 0.4106451069563753; 'support': 6351}; 'accuracy': 0.7346629256085538; 'macro avg': {'precision': 0.6268809503099221; 'recall': 0.6149018693059743; 'f1-score': 0.6197180126943153; 'support': 26374}; 'weighted avg': {'precision': 0.7230184220141818; 'recall': 0.7346629256085538; 'f1-score': 0.7280991747193822; 'support': 26374}},{'0': {'precision': 0.812743823146944; 'recall': 0.8426966292134831; 'f1-score': 0.8274492497793469; 'support': 2225}; '1': {'precision': 0.4391025641025641; 'recall': 0.3881019830028329; 'f1-score': 0.4120300751879699; 'support': 706}; 'accuracy': 0.7331968611395429; 'macro avg': {'precision': 0.625923193624754; 'recall': 0.615399306108158; 'f1-score': 0.6197396624836584; 'support': 2931}; 'weighted avg': {'precision': 0.7227435744654933; 'recall': 0.7331968611395429; 'f1-score': 0.727385811614382; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],262,155.118749,0.721160,1,[X5 == 2],{'0': {'precision': 0.9346083532555196; 'recall': 0.6638365879238876; 'f1-score': 0.7762885092714266; 'support': 20023}; '1': {'precision': 0.4461449847774212; 'recall': 0.8535894206549118; 'f1-score': 0.5860037827614158; 'support': 6352}; 'accuracy': 0.7095355450236966; 'macro avg': {'precision': 0.6903766690164704; 'recall': 0.7587130042893997; 'f1-score': 0.6811461460164212; 'support': 26375}; 'weighted avg': {'precision': 0.8169697061816663; 'recall': 0.7095355450236966; 'f1-score': 0.7304614539997076; 'support': 26375}},{'0': {'precision': 0.9433249370277078; 'recall': 0.6732584269662921; 'f1-score': 0.7857330186205087; 'support': 2225}; '1': {'precision': 0.4582712369597616; 'recall': 0.8723404255319149; 'f1-score': 0.6008793356130924; 'support': 705}; 'accuracy': 0.721160409556314; 'macro avg': {'precision': 0.7007980869937347; 'recall': 0.7727994262491036; 'f1-score': 0.6933061771168005; 'support': 2930}; 'weighted avg': {'precision': 0.8266140638031677; 'recall': 0.721160409556314; 'f1-score': 0.741254572709168; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],262,159.100852,0.736860,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X6 == 4 OR X6 == 10 OR X13 == 5],{'0': {'precision': 0.8411016949152542; 'recall': 0.8129151475802827; 'f1-score': 0.826768253968254; 'support': 20023}; '1': {'precision': 0.4666097109497366; 'recall': 0.5159005037783375; 'f1-score': 0.4900186915887851; 'support': 6352}; 'accuracy': 0.7413838862559242; 'macro avg': {'precision': 0.6538557029324954; 'recall': 0.6644078256793101; 'f1-score': 0.6583934727785196; 'support': 26375}; 'weighted avg': {'precision': 0.7509112463029711; 'recall': 0.7413838862559242; 'f1-score': 0.7456674683669503; 'support': 26375}},{'0': {'precision': 0.8416353383458647; 'recall': 0.8049438202247191; 'f1-score': 0.822880771881461; 'support': 2225}; '1': {'precision': 0.45885286783042395; 'recall': 0.5219858156028369; 'f1-score': 0.48838752488387527; 'support': 705}; 'accuracy': 0.7368600682593857; 'macro avg': {'precision': 0.6502441030881443; 'recall': 0.663464817913778; 'f1-score': 0.6556341483826682; 'support': 2930}; 'weighted avg': {'precision': 0.7495323889556307; 'recall': 0.7368600682593857; 'f1-score': 0.7423969018700965; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],262,118.175624,0.743345,2,[X1 == 2 OR X3 == 14],{'0': {'precision': 0.7721503338003791; 'recall': 0.9357738600609299; 'f1-score': 0.8461243198085303; 'support': 20023}; '1': {'precision': 0.39023233760075865; 'recall': 0.12956549118387908; 'f1-score': 0.19453965252334238; 'support': 6352}; 'accuracy': 0.741611374407583; 'macro avg': {'precision': 0.5811913357005689; 'recall': 0.5326696756224045; 'f1-score': 0.5203319861659363; 'support': 26375}; 'weighted avg': {'precision': 0.6801714480426543; 'recall': 0.741611374407583; 'f1-score': 0.6892004977575156; 'support': 26375}},{'0': {'precision': 0.7738936407586463; 'recall': 0.9352808988764045; 'f1-score': 0.846967846967847; 'support': 2225}; '1': {'precision': 0.4024896265560166; 'recall': 0.1375886524822695; 'f1-score': 0.2050739957716702; 'support': 705}; 'accuracy': 0.7433447098976109; 'macro avg': {'precision': 0.5881916336573314; 'recall': 0.5364347756793371; 'f1-score': 0.5260209213697586; 'support': 2930}; 'weighted avg': {'precision': 0.6845285110614265; 'recall': 0.7433447098976109; 'f1-score': 0.6925189851612583; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],262,123.107740,0.769625,1,[X3 == 14],{'0': {'precision': 0.7680700806544978; 'recall': 0.9939572512984419; 'f1-score': 0.8665346017371619; 'support': 20024}; '1': {'precision': 0.7380952380952381; 'recall': 0.05369233191623366; 'f1-score': 0.1001027447526787; 'support': 6351}; 'accuracy': 0.7675450236966824; 'macro avg': {'precision': 0.753082659374868; 'recall': 0.5238247916073377; 'f1-score': 0.4833186732449203; 'support': 26375}; 'weighted avg': {'precision': 0.7608522522149203; 'recall': 0.7675450236966824; 'f1-score': 0.6819807164780737; 'support': 26375}},{'0': {'precision': 0.7684575389948007; 'recall': 0.9968525179856115; 'f1-score': 0.8678802113916617; 'support': 2224}; '1': {'precision': 0.8444444444444444; 'recall': 0.053824362606232294; 'f1-score': 0.10119840213049269; 'support': 706}; 'accuracy': 0.7696245733788396; 'macro avg': {'precision': 0.8064509917196225; 'recall': 0.5253384402959219; 'f1-score': 0.4845393067610772; 'support': 2930}; 'weighted avg': {'precision': 0.7867670117754999; 'recall': 0.7696245733788396; 'f1-score': 0.6831439119587657; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],262,170.674290,0.758362,3,[X1 == 5 OR X3 == 14 OR X6 == 4],{'0': {'precision': 0.8100094769619568; 'recall': 0.8963743507790651; 'f1-score': 0.8510063295640424; 'support': 20024}; '1': {'precision': 0.5078273244781784; 'recall': 0.33711226578491577; 'f1-score': 0.4052238099744488; 'support': 6351}; 'accuracy': 0.7617061611374407; 'macro avg': {'precision': 0.6589184007200676; 'recall': 0.6167433082819904; 'f1-score': 0.6281150697692456; 'support': 26375}; 'weighted avg': {'precision': 0.7372451603581851; 'recall': 0.7617061611374407; 'f1-score': 0.7436635890175587; 'support': 26375}},{'0': {'precision': 0.8039294306335204; 'recall': 0.9015287769784173; 'f1-score': 0.8499364137346334; 'support': 2224}; '1': {'precision': 0.49770642201834864; 'recall': 0.3073654390934844; 'f1-score': 0.38003502626970226; 'support': 706}; 'accuracy': 0.7583617747440273; 'macro avg': {'precision': 0.6508179263259345; 'recall': 0.6044471080359508; 'f1-score': 0.6149857200021678; 'support': 2930}; 'weighted avg': {'precision': 0.7301432722436532; 'recall': 0.7583617747440273; 'f1-score': 0.7367110282226056; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.734655 (+- 0.046955), (mean training time) 152.564466 (+- 41.913137)
