lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,606,68,75,[8; 9],64,1.315933,0.691176,1,[X0 < 4.000000],{'0': {'precision': 0.8108108108108109; 'recall': 0.7792207792207793; 'f1-score': 0.794701986754967; 'support': 462}; '1': {'precision': 0.37037037037037035; 'recall': 0.4166666666666667; 'f1-score': 0.39215686274509803; 'support': 144}; 'accuracy': 0.693069306930693; 'macro avg': {'precision': 0.5905905905905906; 'recall': 0.597943722943723; 'f1-score': 0.5934294247500325; 'support': 606}; 'weighted avg': {'precision': 0.7061516962507062; 'recall': 0.693069306930693; 'f1-score': 0.6990476998615328; 'support': 606}},{'0': {'precision': 0.8; 'recall': 0.7843137254901961; 'f1-score': 0.792079207920792; 'support': 51}; '1': {'precision': 0.3888888888888889; 'recall': 0.4117647058823529; 'f1-score': 0.39999999999999997; 'support': 17}; 'accuracy': 0.6911764705882353; 'macro avg': {'precision': 0.5944444444444444; 'recall': 0.5980392156862745; 'f1-score': 0.596039603960396; 'support': 68}; 'weighted avg': {'precision': 0.6972222222222223; 'recall': 0.6911764705882353; 'f1-score': 0.6940594059405939; 'support': 68}}
5,1,CNF,1,606,68,75,[8; 9],64,1.539135,0.764706,0,[],{'0': {'precision': 0.7607260726072608; 'recall': 1.0; 'f1-score': 0.8641049671977508; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7607260726072608; 'macro avg': {'precision': 0.3803630363036304; 'recall': 0.5; 'f1-score': 0.4320524835988754; 'support': 606}; 'weighted avg': {'precision': 0.5787041575444674; 'recall': 0.7607260726072608; 'f1-score': 0.6573471780167708; 'support': 606}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
5,1,CNF,2,606,68,75,[8; 9],64,1.522532,0.764706,0,[],{'0': {'precision': 0.7607260726072608; 'recall': 1.0; 'f1-score': 0.8641049671977508; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7607260726072608; 'macro avg': {'precision': 0.3803630363036304; 'recall': 0.5; 'f1-score': 0.4320524835988754; 'support': 606}; 'weighted avg': {'precision': 0.5787041575444674; 'recall': 0.7607260726072608; 'f1-score': 0.6573471780167708; 'support': 606}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
5,1,CNF,3,606,68,75,[8; 9],64,1.570601,0.764706,0,[],{'0': {'precision': 0.7607260726072608; 'recall': 1.0; 'f1-score': 0.8641049671977508; 'support': 461}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7607260726072608; 'macro avg': {'precision': 0.3803630363036304; 'recall': 0.5; 'f1-score': 0.4320524835988754; 'support': 606}; 'weighted avg': {'precision': 0.5787041575444674; 'recall': 0.7607260726072608; 'f1-score': 0.6573471780167708; 'support': 606}},{'0': {'precision': 0.7647058823529411; 'recall': 1.0; 'f1-score': 0.8666666666666666; 'support': 52}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.38235294117647056; 'recall': 0.5; 'f1-score': 0.4333333333333333; 'support': 68}; 'weighted avg': {'precision': 0.5847750865051903; 'recall': 0.7647058823529411; 'f1-score': 0.6627450980392157; 'support': 68}}
5,1,CNF,4,607,67,75,[8; 9],64,1.488622,0.671642,1,[X1 >= 12.000000],{'0': {'precision': 0.7868852459016393; 'recall': 0.935064935064935; 'f1-score': 0.85459940652819; 'support': 462}; '1': {'precision': 0.4827586206896552; 'recall': 0.19310344827586207; 'f1-score': 0.27586206896551724; 'support': 145}; 'accuracy': 0.7578253706754531; 'macro avg': {'precision': 0.6348219332956473; 'recall': 0.5640841916703986; 'f1-score': 0.5652307377468536; 'support': 607}; 'weighted avg': {'precision': 0.7142355578361735; 'recall': 0.7578253706754531; 'f1-score': 0.716350783881423; 'support': 607}},{'0': {'precision': 0.7636363636363637; 'recall': 0.8235294117647058; 'f1-score': 0.7924528301886793; 'support': 51}; '1': {'precision': 0.25; 'recall': 0.1875; 'f1-score': 0.21428571428571427; 'support': 16}; 'accuracy': 0.6716417910447762; 'macro avg': {'precision': 0.5068181818181818; 'recall': 0.5055147058823529; 'f1-score': 0.5033692722371967; 'support': 67}; 'weighted avg': {'precision': 0.6409769335142469; 'recall': 0.6716417910447762; 'f1-score': 0.6543830711670757; 'support': 67}}
5,1,CNF,5,607,67,75,[8; 9],64,1.540949,0.731343,1,[X0 < 2.000000],{'0': {'precision': 0.7634228187919463; 'recall': 0.9848484848484849; 'f1-score': 0.8601134215500945; 'support': 462}; '1': {'precision': 0.36363636363636365; 'recall': 0.027586206896551724; 'f1-score': 0.05128205128205129; 'support': 145}; 'accuracy': 0.7561779242174629; 'macro avg': {'precision': 0.5635295912141549; 'recall': 0.5062173458725183; 'f1-score': 0.4556977364160729; 'support': 607}; 'weighted avg': {'precision': 0.6679219357646655; 'recall': 0.7561779242174629; 'f1-score': 0.6668999970214846; 'support': 607}},{'0': {'precision': 0.7538461538461538; 'recall': 0.9607843137254902; 'f1-score': 0.8448275862068965; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.3769230769230769; 'recall': 0.4803921568627451; 'f1-score': 0.42241379310344823; 'support': 67}; 'weighted avg': {'precision': 0.5738231917336395; 'recall': 0.7313432835820896; 'f1-score': 0.6430777148739063; 'support': 67}}
5,1,CNF,6,607,67,75,[8; 9],64,1.482657,0.761194,0,[],{'0': {'precision': 0.7611202635914333; 'recall': 1.0; 'f1-score': 0.8643592142188962; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7611202635914333; 'macro avg': {'precision': 0.3805601317957166; 'recall': 0.5; 'f1-score': 0.4321796071094481; 'support': 607}; 'weighted avg': {'precision': 0.5793040556494928; 'recall': 0.7611202635914333; 'f1-score': 0.6578813129639705; 'support': 607}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
5,1,CNF,7,607,67,75,[8; 9],64,1.492662,0.761194,0,[],{'0': {'precision': 0.7611202635914333; 'recall': 1.0; 'f1-score': 0.8643592142188962; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7611202635914333; 'macro avg': {'precision': 0.3805601317957166; 'recall': 0.5; 'f1-score': 0.4321796071094481; 'support': 607}; 'weighted avg': {'precision': 0.5793040556494928; 'recall': 0.7611202635914333; 'f1-score': 0.6578813129639705; 'support': 607}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
5,1,CNF,8,607,67,75,[8; 9],64,1.541102,0.761194,0,[],{'0': {'precision': 0.7611202635914333; 'recall': 1.0; 'f1-score': 0.8643592142188962; 'support': 462}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 145}; 'accuracy': 0.7611202635914333; 'macro avg': {'precision': 0.3805601317957166; 'recall': 0.5; 'f1-score': 0.4321796071094481; 'support': 607}; 'weighted avg': {'precision': 0.5793040556494928; 'recall': 0.7611202635914333; 'f1-score': 0.6578813129639705; 'support': 607}},{'0': {'precision': 0.7611940298507462; 'recall': 1.0; 'f1-score': 0.864406779661017; 'support': 51}; '1': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 16}; 'accuracy': 0.7611940298507462; 'macro avg': {'precision': 0.3805970149253731; 'recall': 0.5; 'f1-score': 0.4322033898305085; 'support': 67}; 'weighted avg': {'precision': 0.5794163510804188; 'recall': 0.7611940298507462; 'f1-score': 0.6579812800404756; 'support': 67}}
5,1,CNF,9,607,67,75,[8; 9],64,1.484964,0.507463,1,[X0 >= 16.000000],{'0': {'precision': 0.7109207708779444; 'recall': 0.7186147186147186; 'f1-score': 0.7147470398277718; 'support': 462}; '1': {'precision': 0.07142857142857142; 'recall': 0.06896551724137931; 'f1-score': 0.07017543859649124; 'support': 145}; 'accuracy': 0.5634266886326195; 'macro avg': {'precision': 0.3911746711532579; 'recall': 0.39379011792804897; 'f1-score': 0.3924612392121315; 'support': 607}; 'weighted avg': {'precision': 0.5581590428381435; 'recall': 0.5634266886326195; 'f1-score': 0.5607719456291956; 'support': 607}},{'0': {'precision': 0.6875; 'recall': 0.6470588235294118; 'f1-score': 0.6666666666666667; 'support': 51}; '1': {'precision': 0.05263157894736842; 'recall': 0.0625; 'f1-score': 0.05714285714285714; 'support': 16}; 'accuracy': 0.5074626865671642; 'macro avg': {'precision': 0.3700657894736842; 'recall': 0.3547794117647059; 'f1-score': 0.36190476190476195; 'support': 67}; 'weighted avg': {'precision': 0.5358896307934015; 'recall': 0.5074626865671642; 'f1-score': 0.5211087420042645; 'support': 67}}
5,1,CNF,0,606,68,37,[16; 17],64,0.824194,0.691176,2,[X0 < 4.000000 OR X3 < 4.000000],{'0': {'precision': 0.8108108108108109; 'recall': 0.7792207792207793; 'f1-score': 0.794701986754967; 'support': 462}; '1': {'precision': 0.37037037037037035; 'recall': 0.4166666666666667; 'f1-score': 0.39215686274509803; 'support': 144}; 'accuracy': 0.693069306930693; 'macro avg': {'precision': 0.5905905905905906; 'recall': 0.597943722943723; 'f1-score': 0.5934294247500325; 'support': 606}; 'weighted avg': {'precision': 0.7061516962507062; 'recall': 0.693069306930693; 'f1-score': 0.6990476998615328; 'support': 606}},{'0': {'precision': 0.8; 'recall': 0.7843137254901961; 'f1-score': 0.792079207920792; 'support': 51}; '1': {'precision': 0.3888888888888889; 'recall': 0.4117647058823529; 'f1-score': 0.39999999999999997; 'support': 17}; 'accuracy': 0.6911764705882353; 'macro avg': {'precision': 0.5944444444444444; 'recall': 0.5980392156862745; 'f1-score': 0.596039603960396; 'support': 68}; 'weighted avg': {'precision': 0.6972222222222223; 'recall': 0.6911764705882353; 'f1-score': 0.6940594059405939; 'support': 68}}
