l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,57,[8; 9],122,1.138382,0.903846,3,[X2 >= 98.755000 OR X5 >= 0.155250 OR X6 >= 0.089420],{'0.0': {'precision': 0.97265625; 'recall': 0.8615916955017301; 'f1-score': 0.9137614678899082; 'support': 289}; '1.0': {'precision': 0.803921568627451; 'recall': 0.9590643274853801; 'f1-score': 0.8746666666666666; 'support': 171}; 'accuracy': 0.8978260869565218; 'macro avg': {'precision': 0.8882889093137255; 'recall': 0.910328011493555; 'f1-score': 0.8942140672782874; 'support': 460}; 'weighted avg': {'precision': 0.9099309662723786; 'recall': 0.8978260869565218; 'f1-score': 0.8992284004786596; 'support': 460}},{'0.0': {'precision': 0.9354838709677419; 'recall': 0.90625; 'f1-score': 0.9206349206349206; 'support': 32}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.9; 'f1-score': 0.8780487804878048; 'support': 20}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.8963133640552995; 'recall': 0.903125; 'f1-score': 0.8993418505613626; 'support': 52}; 'weighted avg': {'precision': 0.9053527118043246; 'recall': 0.9038461538461539; 'f1-score': 0.904255635962953; 'support': 52}}
l: 5,1,CNF,1,460,52,57,[8; 9],122,1.221022,0.884615,3,[X0 >= 17.880000 OR X6 >= 0.119200 OR X21 >= 29.295000],{'0.0': {'precision': 0.928030303030303; 'recall': 0.8506944444444444; 'f1-score': 0.8876811594202898; 'support': 288}; '1.0': {'precision': 0.7806122448979592; 'recall': 0.8895348837209303; 'f1-score': 0.8315217391304349; 'support': 172}; 'accuracy': 0.8652173913043478; 'macro avg': {'precision': 0.854321273964131; 'recall': 0.8701146640826873; 'f1-score': 0.8596014492753623; 'support': 460}; 'weighted avg': {'precision': 0.8729087682503831; 'recall': 0.8652173913043478; 'f1-score': 0.8666824196597354; 'support': 460}},{'0.0': {'precision': 1.0; 'recall': 0.8181818181818182; 'f1-score': 0.9; 'support': 33}; '1.0': {'precision': 0.76; 'recall': 1.0; 'f1-score': 0.8636363636363636; 'support': 19}; 'accuracy': 0.8846153846153846; 'macro avg': {'precision': 0.88; 'recall': 0.9090909090909092; 'f1-score': 0.8818181818181818; 'support': 52}; 'weighted avg': {'precision': 0.9123076923076923; 'recall': 0.8846153846153846; 'f1-score': 0.8867132867132868; 'support': 52}}
l: 5,1,CNF,2,461,51,57,[8; 9],122,1.310793,0.862745,2,[X6 >= 0.119200 OR X10 >= 0.420250],{'0.0': {'precision': 0.9169675090252708; 'recall': 0.8788927335640139; 'f1-score': 0.8975265017667845; 'support': 289}; '1.0': {'precision': 0.8097826086956522; 'recall': 0.8662790697674418; 'f1-score': 0.8370786516853933; 'support': 172}; 'accuracy': 0.8741865509761388; 'macro avg': {'precision': 0.8633750588604615; 'recall': 0.8725859016657278; 'f1-score': 0.8673025767260889; 'support': 461}; 'weighted avg': {'precision': 0.8769766134576039; 'recall': 0.8741865509761388; 'f1-score': 0.8749732908904303; 'support': 461}},{'0.0': {'precision': 0.9032258064516129; 'recall': 0.875; 'f1-score': 0.8888888888888888; 'support': 32}; '1.0': {'precision': 0.8; 'recall': 0.8421052631578947; 'f1-score': 0.8205128205128205; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8516129032258064; 'recall': 0.8585526315789473; 'f1-score': 0.8547008547008547; 'support': 51}; 'weighted avg': {'precision': 0.8647691334598355; 'recall': 0.8627450980392157; 'f1-score': 0.8634154516507457; 'support': 51}}
l: 5,1,CNF,3,461,51,57,[8; 9],122,1.269088,0.921569,2,[X0 >= 15.045000 OR X8 >= 0.208650],{'0.0': {'precision': 0.9049295774647887; 'recall': 0.889273356401384; 'f1-score': 0.8970331588132636; 'support': 289}; '1.0': {'precision': 0.8192090395480226; 'recall': 0.8430232558139535; 'f1-score': 0.830945558739255; 'support': 172}; 'accuracy': 0.8720173535791758; 'macro avg': {'precision': 0.8620693085064057; 'recall': 0.8661483061076688; 'f1-score': 0.8639893587762593; 'support': 461}; 'weighted avg': {'precision': 0.8729470774177523; 'recall': 0.8720173535791758; 'f1-score': 0.872375746204306; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,4,461,51,57,[8; 9],122,1.267924,0.882353,1,[X0 >= 15.045000],{'0.0': {'precision': 0.8746081504702194; 'recall': 0.9653979238754326; 'f1-score': 0.9177631578947368; 'support': 289}; '1.0': {'precision': 0.9295774647887324; 'recall': 0.7674418604651163; 'f1-score': 0.840764331210191; 'support': 172}; 'accuracy': 0.8915401301518439; 'macro avg': {'precision': 0.9020928076294759; 'recall': 0.8664198921702744; 'f1-score': 0.8792637445524639; 'support': 461}; 'weighted avg': {'precision': 0.8951173089578208; 'recall': 0.8915401301518439; 'f1-score': 0.8890347453356439; 'support': 461}},{'0.0': {'precision': 0.8611111111111112; 'recall': 0.96875; 'f1-score': 0.911764705882353; 'support': 32}; '1.0': {'precision': 0.9333333333333333; 'recall': 0.7368421052631579; 'f1-score': 0.8235294117647058; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8972222222222223; 'recall': 0.852796052631579; 'f1-score': 0.8676470588235294; 'support': 51}; 'weighted avg': {'precision': 0.8880174291938998; 'recall': 0.8823529411764706; 'f1-score': 0.8788927335640139; 'support': 51}}
l: 5,1,CNF,5,461,51,57,[8; 9],122,1.257877,0.941176,1,[X2 >= 98.755000],{'0.0': {'precision': 0.8722741433021807; 'recall': 0.9688581314878892; 'f1-score': 0.9180327868852459; 'support': 289}; '1.0': {'precision': 0.9357142857142857; 'recall': 0.7616279069767442; 'f1-score': 0.8397435897435899; 'support': 172}; 'accuracy': 0.8915401301518439; 'macro avg': {'precision': 0.9039942145082331; 'recall': 0.8652430192323167; 'f1-score': 0.878888188314418; 'support': 461}; 'weighted avg': {'precision': 0.8959437842889096; 'recall': 0.8915401301518439; 'f1-score': 0.8888229345894437; 'support': 461}},{'0.0': {'precision': 0.9142857142857143; 'recall': 1.0; 'f1-score': 0.955223880597015; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.8421052631578947; 'f1-score': 0.9142857142857143; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9571428571428571; 'recall': 0.9210526315789473; 'f1-score': 0.9347547974413646; 'support': 51}; 'weighted avg': {'precision': 0.9462184873949578; 'recall': 0.9411764705882353; 'f1-score': 0.939972406873197; 'support': 51}}
l: 5,1,CNF,6,461,51,57,[8; 9],122,1.282676,0.921569,4,[X0 >= 17.880000 OR X3 >= 696.250000 OR X7 >= 0.079005 OR X20 >= 16.795000],{'0.0': {'precision': 0.9489795918367347; 'recall': 0.9653979238754326; 'f1-score': 0.9571183533447686; 'support': 289}; '1.0': {'precision': 0.9401197604790419; 'recall': 0.9127906976744186; 'f1-score': 0.9262536873156341; 'support': 172}; 'accuracy': 0.9457700650759219; 'macro avg': {'precision': 0.9445496761578883; 'recall': 0.9390943107749256; 'f1-score': 0.9416860203302013; 'support': 461}; 'weighted avg': {'precision': 0.9456739714603286; 'recall': 0.9457700650759219; 'f1-score': 0.9456026861929006; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
l: 5,1,CNF,7,461,51,57,[8; 9],122,1.301284,0.843137,2,[X3 >= 696.250000 OR X20 >= 18.225000],{'0.0': {'precision': 0.8924050632911392; 'recall': 0.9757785467128027; 'f1-score': 0.9322314049586777; 'support': 289}; '1.0': {'precision': 0.9517241379310345; 'recall': 0.8023255813953488; 'f1-score': 0.8706624605678234; 'support': 172}; 'accuracy': 0.911062906724512; 'macro avg': {'precision': 0.9220646006110869; 'recall': 0.8890520640540758; 'f1-score': 0.9014469327632506; 'support': 461}; 'weighted avg': {'precision': 0.9145371258465882; 'recall': 0.911062906724512; 'f1-score': 0.9092599116067754; 'support': 461}},{'0.0': {'precision': 0.8529411764705882; 'recall': 0.90625; 'f1-score': 0.8787878787878787; 'support': 32}; '1.0': {'precision': 0.8235294117647058; 'recall': 0.7368421052631579; 'f1-score': 0.7777777777777778; 'support': 19}; 'accuracy': 0.8431372549019608; 'macro avg': {'precision': 0.838235294117647; 'recall': 0.821546052631579; 'f1-score': 0.8282828282828283; 'support': 51}; 'weighted avg': {'precision': 0.8419838523644751; 'recall': 0.8431372549019608; 'f1-score': 0.8411566646860764; 'support': 51}}
l: 5,1,CNF,8,461,51,57,[8; 9],122,1.343321,0.941176,3,[X3 >= 883.250000 OR X5 >= 0.155250 OR X22 >= 117.450000],{'0.0': {'precision': 0.9087947882736156; 'recall': 0.9653979238754326; 'f1-score': 0.9362416107382551; 'support': 289}; '1.0': {'precision': 0.935064935064935; 'recall': 0.8372093023255814; 'f1-score': 0.8834355828220859; 'support': 172}; 'accuracy': 0.9175704989154013; 'macro avg': {'precision': 0.9219298616692753; 'recall': 0.901303613100507; 'f1-score': 0.9098385967801705; 'support': 461}; 'weighted avg': {'precision': 0.9185962313280776; 'recall': 0.9175704989154013; 'f1-score': 0.9165395786307038; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,CNF,9,461,51,57,[8; 9],122,1.253910,0.823529,1,[X6 >= 0.089420],{'0.0': {'precision': 0.9225352112676056; 'recall': 0.9065743944636678; 'f1-score': 0.9144851657940664; 'support': 289}; '1.0': {'precision': 0.847457627118644; 'recall': 0.872093023255814; 'f1-score': 0.8595988538681948; 'support': 172}; 'accuracy': 0.8937093275488069; 'macro avg': {'precision': 0.8849964191931248; 'recall': 0.8893337088597408; 'f1-score': 0.8870420098311306; 'support': 461}; 'weighted avg': {'precision': 0.8945236180493381; 'recall': 0.8937093275488069; 'f1-score': 0.8940069756612032; 'support': 461}},{'0.0': {'precision': 0.96; 'recall': 0.75; 'f1-score': 0.8421052631578947; 'support': 32}; '1.0': {'precision': 0.6923076923076923; 'recall': 0.9473684210526315; 'f1-score': 0.7999999999999999; 'support': 19}; 'accuracy': 0.8235294117647058; 'macro avg': {'precision': 0.8261538461538461; 'recall': 0.8486842105263157; 'f1-score': 0.8210526315789473; 'support': 51}; 'weighted avg': {'precision': 0.8602714932126696; 'recall': 0.8235294117647058; 'f1-score': 0.8264189886480908; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 57}, (mean val acc cv) 0.892572 (+- 0.038473), (mean training time) 1.264628 (+- 0.052938)
