l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,1.011547,0.471698,1,[X9 >= 0.895000],{'0.0': {'precision': 0.8219895287958116; 'recall': 0.46865671641791046; 'f1-score': 0.596958174904943; 'support': 335}; '1.0': {'precision': 0.3574007220216607; 'recall': 0.7443609022556391; 'f1-score': 0.48292682926829267; 'support': 133}; 'accuracy': 0.5470085470085471; 'macro avg': {'precision': 0.5896951254087361; 'recall': 0.6065088093367748; 'f1-score': 0.5399425020866178; 'support': 468}; 'weighted avg': {'precision': 0.6899589490929012; 'recall': 0.5470085470085471; 'f1-score': 0.564551830952647; 'support': 468}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.3157894736842105; 'f1-score': 0.46153846153846156; 'support': 38}; '1.0': {'precision': 0.3333333333333333; 'recall': 0.8666666666666667; 'f1-score': 0.48148148148148145; 'support': 15}; 'accuracy': 0.4716981132075472; 'macro avg': {'precision': 0.5952380952380952; 'recall': 0.5912280701754387; 'f1-score': 0.47150997150997154; 'support': 53}; 'weighted avg': {'precision': 0.7088948787061994; 'recall': 0.4716981132075472; 'f1-score': 0.46718271246573134; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],14,1.064198,0.730769,0,[],{'0.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 335}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 134}; 'accuracy': 0.7142857142857143; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.5; 'f1-score': 0.41666666666666663; 'support': 469}; 'weighted avg': {'precision': 0.5102040816326531; 'recall': 0.7142857142857143; 'f1-score': 0.5952380952380951; 'support': 469}},{'0.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 38}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.36538461538461536; 'recall': 0.5; 'f1-score': 0.42222222222222217; 'support': 52}; 'weighted avg': {'precision': 0.5340236686390532; 'recall': 0.7307692307692307; 'f1-score': 0.6170940170940169; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],14,1.109507,0.596154,1,[X4 < 211.500000],{'0.0': {'precision': 0.8482142857142857; 'recall': 0.5671641791044776; 'f1-score': 0.6797853309481217; 'support': 335}; '1.0': {'precision': 0.40816326530612246; 'recall': 0.746268656716418; 'f1-score': 0.5277044854881267; 'support': 134}; 'accuracy': 0.6183368869936035; 'macro avg': {'precision': 0.628188775510204; 'recall': 0.6567164179104478; 'f1-score': 0.6037449082181241; 'support': 469}; 'weighted avg': {'precision': 0.7224854227405249; 'recall': 0.6183368869936035; 'f1-score': 0.6363336608166946; 'support': 469}},{'0.0': {'precision': 0.7931034482758621; 'recall': 0.6052631578947368; 'f1-score': 0.6865671641791046; 'support': 38}; '1.0': {'precision': 0.34782608695652173; 'recall': 0.5714285714285714; 'f1-score': 0.4324324324324324; 'support': 14}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.5704647676161919; 'recall': 0.5883458646616542; 'f1-score': 0.5594997983057685; 'support': 52}; 'weighted avg': {'precision': 0.673221081766809; 'recall': 0.5961538461538461; 'f1-score': 0.6181462748626928; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],14,1.059455,0.711538,0,[],{'0.0': {'precision': 0.7164179104477612; 'recall': 1.0; 'f1-score': 0.8347826086956522; 'support': 336}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 133}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.3582089552238806; 'recall': 0.5; 'f1-score': 0.4173913043478261; 'support': 469}; 'weighted avg': {'precision': 0.5132546224103364; 'recall': 0.7164179104477612; 'f1-score': 0.5980532121998703; 'support': 469}},{'0.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; '1.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],14,1.017377,0.384615,1,[X4 >= 211.500000],{'0.0': {'precision': 0.5983263598326359; 'recall': 0.4255952380952381; 'f1-score': 0.49739130434782614; 'support': 336}; '1.0': {'precision': 0.1608695652173913; 'recall': 0.2781954887218045; 'f1-score': 0.20385674931129472; 'support': 133}; 'accuracy': 0.3837953091684435; 'macro avg': {'precision': 0.3795979625250136; 'recall': 0.3518953634085213; 'f1-score': 0.3506240268295604; 'support': 469}; 'weighted avg': {'precision': 0.4742714479268203; 'recall': 0.3837953091684435; 'f1-score': 0.4141501618747799; 'support': 469}},{'0.0': {'precision': 0.5862068965517241; 'recall': 0.4594594594594595; 'f1-score': 0.5151515151515151; 'support': 37}; '1.0': {'precision': 0.13043478260869565; 'recall': 0.2; 'f1-score': 0.15789473684210528; 'support': 15}; 'accuracy': 0.38461538461538464; 'macro avg': {'precision': 0.3583208395802099; 'recall': 0.32972972972972975; 'f1-score': 0.3365231259968102; 'support': 52}; 'weighted avg': {'precision': 0.4547341713758505; 'recall': 0.38461538461538464; 'f1-score': 0.41209667525456994; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],14,1.130725,0.423077,2,[(NOT X1) OR X5 >= 61.500000],{'0.0': {'precision': 0.6692307692307692; 'recall': 0.5178571428571429; 'f1-score': 0.5838926174496644; 'support': 336}; '1.0': {'precision': 0.22488038277511962; 'recall': 0.3533834586466165; 'f1-score': 0.27485380116959063; 'support': 133}; 'accuracy': 0.47121535181236673; 'macro avg': {'precision': 0.44705557600294443; 'recall': 0.43562030075187974; 'f1-score': 0.4293732093096275; 'support': 469}; 'weighted avg': {'precision': 0.5432209581463313; 'recall': 0.4712153518123668; 'f1-score': 0.49625474417621057; 'support': 469}},{'0.0': {'precision': 0.6206896551724138; 'recall': 0.4864864864864865; 'f1-score': 0.5454545454545455; 'support': 37}; '1.0': {'precision': 0.17391304347826086; 'recall': 0.26666666666666666; 'f1-score': 0.2105263157894737; 'support': 15}; 'accuracy': 0.4230769230769231; 'macro avg': {'precision': 0.39730134932533734; 'recall': 0.3765765765765766; 'f1-score': 0.3779904306220096; 'support': 52}; 'weighted avg': {'precision': 0.4918117864144851; 'recall': 0.4230769230769231; 'f1-score': 0.4488406330511594; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],14,1.048826,0.692308,1,[(NOT X1)],{'0.0': {'precision': 0.7298050139275766; 'recall': 0.7797619047619048; 'f1-score': 0.7539568345323742; 'support': 336}; '1.0': {'precision': 0.32727272727272727; 'recall': 0.2706766917293233; 'f1-score': 0.2962962962962963; 'support': 133}; 'accuracy': 0.6353944562899787; 'macro avg': {'precision': 0.5285388706001519; 'recall': 0.5252192982456141; 'f1-score': 0.5251265654143352; 'support': 469}; 'weighted avg': {'precision': 0.6156540669657536; 'recall': 0.6353944562899787; 'f1-score': 0.6241725027937849; 'support': 469}},{'0.0': {'precision': 0.7692307692307693; 'recall': 0.8108108108108109; 'f1-score': 0.7894736842105263; 'support': 37}; '1.0': {'precision': 0.46153846153846156; 'recall': 0.4; 'f1-score': 0.42857142857142855; 'support': 15}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6153846153846154; 'recall': 0.6054054054054054; 'f1-score': 0.6090225563909775; 'support': 52}; 'weighted avg': {'precision': 0.6804733727810651; 'recall': 0.6923076923076923; 'f1-score': 0.6853672643146328; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],14,1.126552,0.538462,1,[X6 < 59.500000],{'0.0': {'precision': 0.8922155688622755; 'recall': 0.44345238095238093; 'f1-score': 0.592445328031809; 'support': 336}; '1.0': {'precision': 0.38079470198675497; 'recall': 0.8646616541353384; 'f1-score': 0.5287356321839081; 'support': 133}; 'accuracy': 0.5628997867803838; 'macro avg': {'precision': 0.6365051354245153; 'recall': 0.6540570175438596; 'f1-score': 0.5605904801078585; 'support': 469}; 'weighted avg': {'precision': 0.747185770793098; 'recall': 0.5628997867803838; 'f1-score': 0.5743783993585236; 'support': 469}},{'0.0': {'precision': 0.8421052631578947; 'recall': 0.43243243243243246; 'f1-score': 0.5714285714285715; 'support': 37}; '1.0': {'precision': 0.36363636363636365; 'recall': 0.8; 'f1-score': 0.5000000000000001; 'support': 15}; 'accuracy': 0.5384615384615384; 'macro avg': {'precision': 0.6028708133971292; 'recall': 0.6162162162162163; 'f1-score': 0.5357142857142858; 'support': 52}; 'weighted avg': {'precision': 0.7040853882959145; 'recall': 0.5384615384615384; 'f1-score': 0.5508241758241759; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],14,1.059646,0.538462,1,[(NOT X1)],{'0.0': {'precision': 0.739612188365651; 'recall': 0.7946428571428571; 'f1-score': 0.7661406025824965; 'support': 336}; '1.0': {'precision': 0.3611111111111111; 'recall': 0.2932330827067669; 'f1-score': 0.3236514522821577; 'support': 133}; 'accuracy': 0.652452025586354; 'macro avg': {'precision': 0.5503616497383811; 'recall': 0.543937969924812; 'f1-score': 0.5448960274323271; 'support': 469}; 'weighted avg': {'precision': 0.6322760619800353; 'recall': 0.652452025586354; 'f1-score': 0.6406586047361317; 'support': 469}},{'0.0': {'precision': 0.6756756756756757; 'recall': 0.6756756756756757; 'f1-score': 0.6756756756756757; 'support': 37}; '1.0': {'precision': 0.2; 'recall': 0.2; 'f1-score': 0.20000000000000004; 'support': 15}; 'accuracy': 0.5384615384615384; 'macro avg': {'precision': 0.4378378378378378; 'recall': 0.4378378378378378; 'f1-score': 0.43783783783783786; 'support': 52}; 'weighted avg': {'precision': 0.5384615384615384; 'recall': 0.5384615384615384; 'f1-score': 0.5384615384615384; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],14,1.039271,0.423077,2,[(NOT X1) OR X5 >= 61.500000],{'0.0': {'precision': 0.6654135338345865; 'recall': 0.5267857142857143; 'f1-score': 0.5880398671096345; 'support': 336}; '1.0': {'precision': 0.21674876847290642; 'recall': 0.3308270676691729; 'f1-score': 0.2619047619047619; 'support': 133}; 'accuracy': 0.47121535181236673; 'macro avg': {'precision': 0.44108115115374646; 'recall': 0.4288063909774436; 'f1-score': 0.4249723145071982; 'support': 469}; 'weighted avg': {'precision': 0.5381802421648563; 'recall': 0.47121535181236673; 'f1-score': 0.49555379249929754; 'support': 469}},{'0.0': {'precision': 0.6521739130434783; 'recall': 0.40540540540540543; 'f1-score': 0.5; 'support': 37}; '1.0': {'precision': 0.2413793103448276; 'recall': 0.4666666666666667; 'f1-score': 0.3181818181818182; 'support': 15}; 'accuracy': 0.4230769230769231; 'macro avg': {'precision': 0.44677661169415295; 'recall': 0.436036036036036; 'f1-score': 0.40909090909090906; 'support': 52}; 'weighted avg': {'precision': 0.533675469957329; 'recall': 0.4230769230769231; 'f1-score': 0.44755244755244755; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.551016 (+- 0.121290), (mean training time) 1.066710 (+- 0.040211)
