lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,1,[468; 468],158,1000.115827,0.735849,9,[X0 >= 45.000000 OR X2 >= 1.400000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X5 < 18.000000 OR X6 >= 71.600000 OR X6 < 19.000000 OR X7 >= 7.900000 OR X7 < 6.000000],{'0.0': {'precision': 0.9166666666666666; 'recall': 0.16417910447761194; 'f1-score': 0.2784810126582279; 'support': 134}; '1.0': {'precision': 0.7477477477477478; 'recall': 0.9940119760479041; 'f1-score': 0.8534704370179949; 'support': 334}; 'accuracy': 0.7564102564102564; 'macro avg': {'precision': 0.8322072072072072; 'recall': 0.579095540262758; 'f1-score': 0.5659757248381114; 'support': 468}; 'weighted avg': {'precision': 0.7961134211134211; 'recall': 0.7564102564102564; 'f1-score': 0.6888367129491726; 'support': 468}},{'0.0': {'precision': 1.0; 'recall': 0.06666666666666667; 'f1-score': 0.125; 'support': 15}; '1.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 38}; 'accuracy': 0.7358490566037735; 'macro avg': {'precision': 0.8653846153846154; 'recall': 0.5333333333333333; 'f1-score': 0.48472222222222217; 'support': 53}; 'weighted avg': {'precision': 0.8069666182873729; 'recall': 0.7358490566037735; 'f1-score': 0.6408280922431865; 'support': 53}}
5,1,CNF,1,469,52,1,[469; 469],158,1000.440625,0.750000,9,[X0 >= 45.000000 OR (NOT X1) OR X2 >= 1.400000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X4 < 150.000000 OR X5 >= 74.000000 OR X7 >= 7.900000 OR X7 < 5.100000],{'0.0': {'precision': 0.95; 'recall': 0.14074074074074075; 'f1-score': 0.24516129032258066; 'support': 135}; '1.0': {'precision': 0.7416481069042317; 'recall': 0.9970059880239521; 'f1-score': 0.8505747126436781; 'support': 334}; 'accuracy': 0.7505330490405118; 'macro avg': {'precision': 0.8458240534521158; 'recall': 0.5688733643823465; 'f1-score': 0.5478680014831294; 'support': 469}; 'weighted avg': {'precision': 0.8016214663241223; 'recall': 0.7505330490405118; 'f1-score': 0.6763085889478399; 'support': 469}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.14285714285714285; 'f1-score': 0.23529411764705882; 'support': 14}; '1.0': {'precision': 0.7551020408163265; 'recall': 0.9736842105263158; 'f1-score': 0.8505747126436782; 'support': 38}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7108843537414966; 'recall': 0.5582706766917294; 'f1-score': 0.5429344151453686; 'support': 52}; 'weighted avg': {'precision': 0.7312925170068026; 'recall': 0.75; 'f1-score': 0.6849222447599731; 'support': 52}}
5,1,CNF,2,469,52,1,[469; 469],158,1000.436617,0.711538,8,[X0 >= 45.000000 OR (NOT X1) OR X3 >= 0.600000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X5 >= 35.000000 OR X7 < 5.600000 OR X9 < 0.700000],{'0.0': {'precision': 0.9545454545454546; 'recall': 0.15671641791044777; 'f1-score': 0.2692307692307692; 'support': 134}; '1.0': {'precision': 0.7472035794183445; 'recall': 0.9970149253731343; 'f1-score': 0.8542199488491047; 'support': 335}; 'accuracy': 0.7569296375266524; 'macro avg': {'precision': 0.8508745169818995; 'recall': 0.576865671641791; 'f1-score': 0.5617253590399369; 'support': 469}; 'weighted avg': {'precision': 0.8064441151689473; 'recall': 0.7569296375266524; 'f1-score': 0.6870801832438661; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.13333333333333333; 'f1-score': 0.2105263157894737; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9459459459459459; 'f1-score': 0.8235294117647058; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6145833333333333; 'recall': 0.5396396396396397; 'f1-score': 0.5170278637770898; 'support': 52}; 'weighted avg': {'precision': 0.6630608974358974; 'recall': 0.7115384615384616; 'f1-score': 0.6467015956180042; 'support': 52}}
5,1,CNF,3,469,52,1,[469; 469],158,1000.655436,0.711538,10,[X0 >= 49.000000 OR X2 < 0.700000 OR X3 >= 0.600000 OR X4 >= 512.600000 OR X5 >= 35.000000 OR X5 < 21.000000 OR X6 >= 42.000000 OR X6 < 19.000000 OR X7 < 5.600000 OR X9 < 0.900000],{'0.0': {'precision': 0.8275862068965517; 'recall': 0.1791044776119403; 'f1-score': 0.294478527607362; 'support': 134}; '1.0': {'precision': 0.75; 'recall': 0.9850746268656716; 'f1-score': 0.8516129032258065; 'support': 335}; 'accuracy': 0.7547974413646056; 'macro avg': {'precision': 0.7887931034482758; 'recall': 0.582089552238806; 'f1-score': 0.5730457154165842; 'support': 469}; 'weighted avg': {'precision': 0.772167487684729; 'recall': 0.7547974413646056; 'f1-score': 0.692431653049108; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7115384615384616; 'recall': 1.0; 'f1-score': 0.8314606741573033; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.3557692307692308; 'recall': 0.5; 'f1-score': 0.41573033707865165; 'support': 52}; 'weighted avg': {'precision': 0.5062869822485208; 'recall': 0.7115384615384616; 'f1-score': 0.5916162489196196; 'support': 52}}
5,1,CNF,4,469,52,1,[469; 469],158,1000.760277,0.692308,10,[X0 >= 66.000000 OR X2 < 0.700000 OR X3 >= 0.300000 OR X4 >= 236.800000 OR X4 < 150.000000 OR X5 >= 74.000000 OR X5 < 21.000000 OR X6 < 28.000000 OR X8 < 2.000000 OR X9 >= 1.060000],{'0.0': {'precision': 0.8181818181818182; 'recall': 0.13432835820895522; 'f1-score': 0.23076923076923075; 'support': 134}; '1.0': {'precision': 0.7404921700223713; 'recall': 0.9880597014925373; 'f1-score': 0.846547314578005; 'support': 335}; 'accuracy': 0.744136460554371; 'macro avg': {'precision': 0.7793369941020948; 'recall': 0.5611940298507463; 'f1-score': 0.5386582726736179; 'support': 469}; 'weighted avg': {'precision': 0.7626892123536418; 'recall': 0.744136460554371; 'f1-score': 0.6706107192040694; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
5,1,CNF,5,469,52,1,[469; 469],158,1000.544525,0.692308,9,[X0 >= 55.000000 OR X2 < 0.900000 OR X3 >= 0.600000 OR X4 >= 236.800000 OR X5 >= 53.600000 OR X6 < 19.000000 OR X7 >= 7.900000 OR X7 < 5.600000 OR X9 >= 1.308000],{'0.0': {'precision': 0.8823529411764706; 'recall': 0.11194029850746269; 'f1-score': 0.19867549668874174; 'support': 134}; '1.0': {'precision': 0.7367256637168141; 'recall': 0.9940298507462687; 'f1-score': 0.8462515883100381; 'support': 335}; 'accuracy': 0.7420042643923241; 'macro avg': {'precision': 0.8095393024466424; 'recall': 0.5529850746268657; 'f1-score': 0.52246354249939; 'support': 469}; 'weighted avg': {'precision': 0.7783334572767159; 'recall': 0.7420042643923241; 'f1-score': 0.6612298478468105; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
5,1,CNF,6,469,52,1,[469; 469],158,1000.497724,0.730769,8,[X0 >= 49.000000 OR X3 >= 0.600000 OR X4 >= 182.000000 OR X5 >= 35.000000 OR X5 < 18.000000 OR X6 < 19.000000 OR X7 < 5.600000 OR X8 < 2.700000],{'0.0': {'precision': 0.8095238095238095; 'recall': 0.12686567164179105; 'f1-score': 0.21935483870967742; 'support': 134}; '1.0': {'precision': 0.7388392857142857; 'recall': 0.9880597014925373; 'f1-score': 0.8454661558109834; 'support': 335}; 'accuracy': 0.7420042643923241; 'macro avg': {'precision': 0.7741815476190477; 'recall': 0.5574626865671641; 'f1-score': 0.5324104972603304; 'support': 469}; 'weighted avg': {'precision': 0.7590348639455783; 'recall': 0.7420042643923241; 'f1-score': 0.6665772080677531; 'support': 469}},{'0.0': {'precision': 1.0; 'recall': 0.06666666666666667; 'f1-score': 0.125; 'support': 15}; '1.0': {'precision': 0.7254901960784313; 'recall': 1.0; 'f1-score': 0.8409090909090908; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.8627450980392157; 'recall': 0.5333333333333333; 'f1-score': 0.4829545454545454; 'support': 52}; 'weighted avg': {'precision': 0.8046757164404224; 'recall': 0.7307692307692307; 'f1-score': 0.6343968531468531; 'support': 52}}
5,1,CNF,7,469,52,1,[469; 469],158,1000.393760,0.692308,9,[X0 >= 45.000000 OR (NOT X1) OR X2 >= 1.400000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X6 >= 71.600000 OR X7 >= 7.900000 OR X7 < 6.000000 OR X9 < 0.700000],{'0.0': {'precision': 1.0; 'recall': 0.14925373134328357; 'f1-score': 0.2597402597402597; 'support': 134}; '1.0': {'precision': 0.7461024498886414; 'recall': 1.0; 'f1-score': 0.8545918367346937; 'support': 335}; 'accuracy': 0.7569296375266524; 'macro avg': {'precision': 0.8730512249443207; 'recall': 0.5746268656716418; 'f1-score': 0.5571660482374767; 'support': 469}; 'weighted avg': {'precision': 0.8186446070633153; 'recall': 0.7569296375266524; 'f1-score': 0.6846342433077126; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
5,1,CNF,8,469,52,1,[469; 469],158,1000.901872,0.692308,9,[X0 >= 45.000000 OR X2 < 0.700000 OR X3 >= 1.000000 OR X4 >= 208.000000 OR X5 >= 35.000000 OR X6 < 19.000000 OR X7 < 5.600000 OR X8 >= 3.900000 OR X9 >= 1.308000],{'0.0': {'precision': 0.92; 'recall': 0.17164179104477612; 'f1-score': 0.2893081761006289; 'support': 134}; '1.0': {'precision': 0.75; 'recall': 0.9940298507462687; 'f1-score': 0.8549422336328626; 'support': 335}; 'accuracy': 0.7590618336886994; 'macro avg': {'precision': 0.835; 'recall': 0.5828358208955224; 'f1-score': 0.5721252048667458; 'support': 469}; 'weighted avg': {'precision': 0.7985714285714285; 'recall': 0.7590618336886994; 'f1-score': 0.6933325029093673; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
5,1,CNF,9,469,52,1,[469; 469],158,1000.731576,0.769231,7,[X0 >= 45.000000 OR (NOT X1) OR X3 < 0.200000 OR X4 >= 195.000000 OR X5 >= 35.000000 OR X7 < 6.000000 OR X9 < 0.700000],{'0.0': {'precision': 0.9523809523809523; 'recall': 0.14925373134328357; 'f1-score': 0.25806451612903225; 'support': 134}; '1.0': {'precision': 0.7455357142857143; 'recall': 0.9970149253731343; 'f1-score': 0.8531289910600256; 'support': 335}; 'accuracy': 0.7547974413646056; 'macro avg': {'precision': 0.8489583333333333; 'recall': 0.5731343283582089; 'f1-score': 0.555596753594529; 'support': 469}; 'weighted avg': {'precision': 0.8046343537414965; 'recall': 0.7547974413646056; 'f1-score': 0.6831105696511702; 'support': 469}},{'0.0': {'precision': 1.0; 'recall': 0.2; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7551020408163265; 'recall': 1.0; 'f1-score': 0.8604651162790697; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.8775510204081632; 'recall': 0.6; 'f1-score': 0.5968992248062015; 'support': 52}; 'weighted avg': {'precision': 0.82574568288854; 'recall': 0.7692307692307693; 'f1-score': 0.7084078711985689; 'support': 52}}
5,1,DNF,0,468,53,1,[468; 468],158,29.056399,0.698113,1,[X8 < 4.100000],{'0.0': {'precision': 0.5081967213114754; 'recall': 0.23134328358208955; 'f1-score': 0.31794871794871793; 'support': 134}; '1.0': {'precision': 0.7469287469287469; 'recall': 0.9101796407185628; 'f1-score': 0.8205128205128205; 'support': 334}; 'accuracy': 0.7158119658119658; 'macro avg': {'precision': 0.6275627341201111; 'recall': 0.5707614621503262; 'f1-score': 0.5692307692307692; 'support': 468}; 'weighted avg': {'precision': 0.6785738507049982; 'recall': 0.7158119658119658; 'f1-score': 0.6766162612316459; 'support': 468}},{'0.0': {'precision': 0.4; 'recall': 0.13333333333333333; 'f1-score': 0.2; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9210526315789473; 'f1-score': 0.8139534883720931; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5645833333333333; 'recall': 0.5271929824561403; 'f1-score': 0.5069767441860465; 'support': 53}; 'weighted avg': {'precision': 0.636006289308176; 'recall': 0.6981132075471698; 'f1-score': 0.6401930671347082; 'support': 53}}
