l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,1.172090,0.716981,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.5; 'recall': 0.6343283582089553; 'f1-score': 0.5592105263157895; 'support': 134}; '1.0': {'precision': 0.8355704697986577; 'recall': 0.7455089820359282; 'f1-score': 0.7879746835443038; 'support': 334}; 'accuracy': 0.7136752136752137; 'macro avg': {'precision': 0.6677852348993288; 'recall': 0.6899186701224418; 'f1-score': 0.6735926049300467; 'support': 468}; 'weighted avg': {'precision': 0.7394883267366489; 'recall': 0.7136752136752138; 'f1-score': 0.7224738351070796; 'support': 468}},{'0.0': {'precision': 0.5; 'recall': 0.6666666666666666; 'f1-score': 0.5714285714285715; 'support': 15}; '1.0': {'precision': 0.8484848484848485; 'recall': 0.7368421052631579; 'f1-score': 0.7887323943661972; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6742424242424243; 'recall': 0.7017543859649122; 'f1-score': 0.6800804828973843; 'support': 53}; 'weighted avg': {'precision': 0.7498570611778159; 'recall': 0.7169811320754716; 'f1-score': 0.7272313124027183; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],14,1.162245,0.750000,4,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000],{'0.0': {'precision': 0.47619047619047616; 'recall': 0.4444444444444444; 'f1-score': 0.45977011494252873; 'support': 135}; '1.0': {'precision': 0.7813411078717201; 'recall': 0.8023952095808383; 'f1-score': 0.7917282127031019; 'support': 334}; 'accuracy': 0.6993603411513859; 'macro avg': {'precision': 0.6287657920310981; 'recall': 0.6234198270126414; 'f1-score': 0.6257491638228153; 'support': 469}; 'weighted avg': {'precision': 0.6935045720999334; 'recall': 0.6993603411513859; 'f1-score': 0.6961752421323613; 'support': 469}},{'0.0': {'precision': 0.5384615384615384; 'recall': 0.5; 'f1-score': 0.5185185185185186; 'support': 14}; '1.0': {'precision': 0.8205128205128205; 'recall': 0.8421052631578947; 'f1-score': 0.8311688311688312; 'support': 38}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6794871794871795; 'recall': 0.6710526315789473; 'f1-score': 0.6748436748436749; 'support': 52}; 'weighted avg': {'precision': 0.7445759368836291; 'recall': 0.75; 'f1-score': 0.7469937469937471; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],14,1.214374,0.519231,2,[(NOT X1) OR X9 < 0.895000],{'0.0': {'precision': 0.32547169811320753; 'recall': 0.5149253731343284; 'f1-score': 0.3988439306358382; 'support': 134}; '1.0': {'precision': 0.7470817120622568; 'recall': 0.573134328358209; 'f1-score': 0.6486486486486486; 'support': 335}; 'accuracy': 0.5565031982942431; 'macro avg': {'precision': 0.5362767050877322; 'recall': 0.5440298507462686; 'f1-score': 0.5237462896422433; 'support': 469}; 'weighted avg': {'precision': 0.6266217080768142; 'recall': 0.5565031982942431; 'f1-score': 0.5772758720735599; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.6666666666666666; 'f1-score': 0.4444444444444444; 'support': 15}; '1.0': {'precision': 0.7727272727272727; 'recall': 0.4594594594594595; 'f1-score': 0.576271186440678; 'support': 37}; 'accuracy': 0.5192307692307693; 'macro avg': {'precision': 0.553030303030303; 'recall': 0.5630630630630631; 'f1-score': 0.5103578154425612; 'support': 52}; 'weighted avg': {'precision': 0.645979020979021; 'recall': 0.5192307692307693; 'f1-score': 0.5382442416340721; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],14,1.152322,0.692308,4,[(NOT X1) OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.464; 'recall': 0.43283582089552236; 'f1-score': 0.44787644787644787; 'support': 134}; '1.0': {'precision': 0.7790697674418605; 'recall': 0.8; 'f1-score': 0.7893961708394699; 'support': 335}; 'accuracy': 0.6950959488272921; 'macro avg': {'precision': 0.6215348837209302; 'recall': 0.6164179104477612; 'f1-score': 0.6186363093579589; 'support': 469}; 'weighted avg': {'precision': 0.6890498338870432; 'recall': 0.6950959488272921; 'f1-score': 0.6918191071357493; 'support': 469}},{'0.0': {'precision': 0.4666666666666667; 'recall': 0.4666666666666667; 'f1-score': 0.4666666666666667; 'support': 15}; '1.0': {'precision': 0.7837837837837838; 'recall': 0.7837837837837838; 'f1-score': 0.7837837837837838; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6252252252252253; 'recall': 0.6252252252252253; 'f1-score': 0.6252252252252253; 'support': 52}; 'weighted avg': {'precision': 0.6923076923076923; 'recall': 0.6923076923076923; 'f1-score': 0.6923076923076923; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],14,1.140254,0.480769,2,[X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.43137254901960786; 'recall': 0.6567164179104478; 'f1-score': 0.5207100591715977; 'support': 134}; '1.0': {'precision': 0.8264150943396227; 'recall': 0.6537313432835821; 'f1-score': 0.73; 'support': 335}; 'accuracy': 0.6545842217484008; 'macro avg': {'precision': 0.6288938216796153; 'recall': 0.655223880597015; 'f1-score': 0.6253550295857988; 'support': 469}; 'weighted avg': {'precision': 0.7135457956767614; 'recall': 0.6545842217484008; 'f1-score': 0.6702028740490278; 'support': 469}},{'0.0': {'precision': 0.2857142857142857; 'recall': 0.5333333333333333; 'f1-score': 0.37209302325581395; 'support': 15}; '1.0': {'precision': 0.7083333333333334; 'recall': 0.4594594594594595; 'f1-score': 0.5573770491803279; 'support': 37}; 'accuracy': 0.4807692307692308; 'macro avg': {'precision': 0.49702380952380953; 'recall': 0.49639639639639643; 'f1-score': 0.46473503621807094; 'support': 52}; 'weighted avg': {'precision': 0.5864239926739927; 'recall': 0.4807692307692308; 'f1-score': 0.503929734009795; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],14,1.223420,0.653846,5,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.5081967213114754; 'recall': 0.4626865671641791; 'f1-score': 0.484375; 'support': 134}; '1.0': {'precision': 0.792507204610951; 'recall': 0.8208955223880597; 'f1-score': 0.8064516129032259; 'support': 335}; 'accuracy': 0.7185501066098081; 'macro avg': {'precision': 0.6503519629612132; 'recall': 0.6417910447761195; 'f1-score': 0.645413306451613; 'support': 469}; 'weighted avg': {'precision': 0.711275637953958; 'recall': 0.7185501066098081; 'f1-score': 0.7144297235023042; 'support': 469}},{'0.0': {'precision': 0.2857142857142857; 'recall': 0.13333333333333333; 'f1-score': 0.18181818181818182; 'support': 15}; '1.0': {'precision': 0.7111111111111111; 'recall': 0.8648648648648649; 'f1-score': 0.7804878048780488; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.4984126984126984; 'recall': 0.4990990990990991; 'f1-score': 0.48115299334811534; 'support': 52}; 'weighted avg': {'precision': 0.5884004884004884; 'recall': 0.6538461538461539; 'f1-score': 0.6077946443800102; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],14,1.165907,0.750000,3,[X1 OR X2 >= 1.650000 OR X5 >= 61.500000],{'0.0': {'precision': 0.4146341463414634; 'recall': 0.2537313432835821; 'f1-score': 0.3148148148148148; 'support': 134}; '1.0': {'precision': 0.7416020671834626; 'recall': 0.8567164179104477; 'f1-score': 0.7950138504155124; 'support': 335}; 'accuracy': 0.6844349680170576; 'macro avg': {'precision': 0.578118106762463; 'recall': 0.5552238805970149; 'f1-score': 0.5549143326151637; 'support': 469}; 'weighted avg': {'precision': 0.6481826612286057; 'recall': 0.6844349680170576; 'f1-score': 0.6578141259581701; 'support': 469}},{'0.0': {'precision': 0.625; 'recall': 0.3333333333333333; 'f1-score': 0.43478260869565216; 'support': 15}; '1.0': {'precision': 0.7727272727272727; 'recall': 0.918918918918919; 'f1-score': 0.8395061728395061; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.6988636363636364; 'recall': 0.6261261261261262; 'f1-score': 0.6371443907675791; 'support': 52}; 'weighted avg': {'precision': 0.7301136363636365; 'recall': 0.75; 'f1-score': 0.7227589908749329; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],14,1.265783,0.615385,4,[(NOT X1) OR X2 >= 1.650000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.48760330578512395; 'recall': 0.44029850746268656; 'f1-score': 0.46274509803921565; 'support': 134}; '1.0': {'precision': 0.7844827586206896; 'recall': 0.8149253731343283; 'f1-score': 0.7994143484626647; 'support': 335}; 'accuracy': 0.7078891257995735; 'macro avg': {'precision': 0.6360430322029068; 'recall': 0.6276119402985074; 'f1-score': 0.6310797232509402; 'support': 469}; 'weighted avg': {'precision': 0.6996600578105281; 'recall': 0.7078891257995735; 'f1-score': 0.703223134055965; 'support': 469}},{'0.0': {'precision': 0.391304347826087; 'recall': 0.6; 'f1-score': 0.47368421052631576; 'support': 15}; '1.0': {'precision': 0.7931034482758621; 'recall': 0.6216216216216216; 'f1-score': 0.696969696969697; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5922038980509745; 'recall': 0.6108108108108108; 'f1-score': 0.5853269537480064; 'support': 52}; 'weighted avg': {'precision': 0.6771998616076578; 'recall': 0.6153846153846154; 'f1-score': 0.6325604220341062; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],14,1.171059,0.653846,2,[X3 >= 1.250000 OR X5 >= 61.500000],{'0.0': {'precision': 0.41156462585034015; 'recall': 0.9029850746268657; 'f1-score': 0.5654205607476636; 'support': 134}; '1.0': {'precision': 0.9257142857142857; 'recall': 0.4835820895522388; 'f1-score': 0.6352941176470589; 'support': 335}; 'accuracy': 0.603411513859275; 'macro avg': {'precision': 0.668639455782313; 'recall': 0.6932835820895522; 'f1-score': 0.6003573391973612; 'support': 469}; 'weighted avg': {'precision': 0.7788143828960156; 'recall': 0.603411513859275; 'f1-score': 0.6153302442472316; 'support': 469}},{'0.0': {'precision': 0.45454545454545453; 'recall': 1.0; 'f1-score': 0.625; 'support': 15}; '1.0': {'precision': 1.0; 'recall': 0.5135135135135135; 'f1-score': 0.6785714285714285; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.7272727272727273; 'recall': 0.7567567567567568; 'f1-score': 0.6517857142857142; 'support': 52}; 'weighted avg': {'precision': 0.8426573426573427; 'recall': 0.6538461538461539; 'f1-score': 0.6631181318681318; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],14,1.214659,0.769231,4,[(NOT X1) OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.43795620437956206; 'recall': 0.44776119402985076; 'f1-score': 0.44280442804428044; 'support': 134}; '1.0': {'precision': 0.7771084337349398; 'recall': 0.7701492537313432; 'f1-score': 0.7736131934032983; 'support': 335}; 'accuracy': 0.6780383795309168; 'macro avg': {'precision': 0.6075323190572509; 'recall': 0.608955223880597; 'f1-score': 0.6082088107237893; 'support': 469}; 'weighted avg': {'precision': 0.6802077967762603; 'recall': 0.6780383795309168; 'f1-score': 0.6790964033007217; 'support': 469}},{'0.0': {'precision': 0.6153846153846154; 'recall': 0.5333333333333333; 'f1-score': 0.5714285714285715; 'support': 15}; '1.0': {'precision': 0.8205128205128205; 'recall': 0.8648648648648649; 'f1-score': 0.8421052631578947; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.717948717948718; 'recall': 0.6990990990990991; 'f1-score': 0.7067669172932332; 'support': 52}; 'weighted avg': {'precision': 0.7613412228796844; 'recall': 0.7692307692307693; 'f1-score': 0.7640254482359746; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.660160 (+- 0.092966), (mean training time) 1.188211 (+- 0.037356)
