l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.352684,0.698113,3,[(NOT X1) OR X5 >= 35.000000 OR X6 >= 71.600000],{'0.0': {'precision': 0.4206896551724138; 'recall': 0.45864661654135336; 'f1-score': 0.43884892086330934; 'support': 133}; '1.0': {'precision': 0.7770897832817337; 'recall': 0.7492537313432835; 'f1-score': 0.7629179331306991; 'support': 335}; 'accuracy': 0.6666666666666666; 'macro avg': {'precision': 0.5988897192270738; 'recall': 0.6039501739423184; 'f1-score': 0.6008834269970043; 'support': 468}; 'weighted avg': {'precision': 0.6758051314899826; 'recall': 0.6666666666666666; 'f1-score': 0.6708213975931716; 'support': 468}},{'0.0': {'precision': 0.4666666666666667; 'recall': 0.4666666666666667; 'f1-score': 0.4666666666666667; 'support': 15}; '1.0': {'precision': 0.7894736842105263; 'recall': 0.7894736842105263; 'f1-score': 0.7894736842105263; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.6280701754385964; 'recall': 0.6280701754385964; 'f1-score': 0.6280701754385964; 'support': 53}; 'weighted avg': {'precision': 0.6981132075471698; 'recall': 0.6981132075471698; 'f1-score': 0.6981132075471698; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],158,1.484161,0.596154,2,[X7 >= 6.200000 OR X7 < 5.100000],{'0.0': {'precision': 0.3188405797101449; 'recall': 0.3283582089552239; 'f1-score': 0.3235294117647059; 'support': 134}; '1.0': {'precision': 0.7280966767371602; 'recall': 0.7194029850746269; 'f1-score': 0.7237237237237237; 'support': 335}; 'accuracy': 0.6076759061833689; 'macro avg': {'precision': 0.5234686282236525; 'recall': 0.5238805970149254; 'f1-score': 0.5236265677442148; 'support': 469}; 'weighted avg': {'precision': 0.6111663633008702; 'recall': 0.6076759061833689; 'f1-score': 0.6093824917354329; 'support': 469}},{'0.0': {'precision': 0.23076923076923078; 'recall': 0.21428571428571427; 'f1-score': 0.22222222222222224; 'support': 14}; '1.0': {'precision': 0.717948717948718; 'recall': 0.7368421052631579; 'f1-score': 0.7272727272727273; 'support': 38}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.47435897435897434; 'recall': 0.4755639097744361; 'f1-score': 0.47474747474747475; 'support': 52}; 'weighted avg': {'precision': 0.5867850098619329; 'recall': 0.5961538461538461; 'f1-score': 0.5912975912975913; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],158,1.584243,0.653846,3,[X0 >= 35.000000 OR (NOT X1) OR X8 < 3.000000],{'0.0': {'precision': 0.42028985507246375; 'recall': 0.21641791044776118; 'f1-score': 0.28571428571428575; 'support': 134}; '1.0': {'precision': 0.7375; 'recall': 0.8805970149253731; 'f1-score': 0.8027210884353743; 'support': 335}; 'accuracy': 0.6908315565031983; 'macro avg': {'precision': 0.5788949275362318; 'recall': 0.5485074626865671; 'f1-score': 0.54421768707483; 'support': 469}; 'weighted avg': {'precision': 0.646868530020704; 'recall': 0.6908315565031983; 'f1-score': 0.6550048590864918; 'support': 469}},{'0.0': {'precision': 0.3; 'recall': 0.21428571428571427; 'f1-score': 0.25; 'support': 14}; '1.0': {'precision': 0.7380952380952381; 'recall': 0.8157894736842105; 'f1-score': 0.775; 'support': 38}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5190476190476191; 'recall': 0.5150375939849624; 'f1-score': 0.5125; 'support': 52}; 'weighted avg': {'precision': 0.6201465201465203; 'recall': 0.6538461538461539; 'f1-score': 0.6336538461538462; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],158,1.593734,0.615385,1,[X4 >= 208.000000],{'0.0': {'precision': 0.415929203539823; 'recall': 0.706766917293233; 'f1-score': 0.5236768802228413; 'support': 133}; '1.0': {'precision': 0.8395061728395061; 'recall': 0.6071428571428571; 'f1-score': 0.7046632124352331; 'support': 336}; 'accuracy': 0.6353944562899787; 'macro avg': {'precision': 0.6277176881896646; 'recall': 0.6569548872180451; 'f1-score': 0.6141700463290372; 'support': 469}; 'weighted avg': {'precision': 0.7193873307992975; 'recall': 0.6353944562899787; 'f1-score': 0.6533387301660474; 'support': 469}},{'0.0': {'precision': 0.41379310344827586; 'recall': 0.8; 'f1-score': 0.5454545454545454; 'support': 15}; '1.0': {'precision': 0.8695652173913043; 'recall': 0.5405405405405406; 'f1-score': 0.6666666666666666; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.6416791604197901; 'recall': 0.6702702702702703; 'f1-score': 0.606060606060606; 'support': 52}; 'weighted avg': {'precision': 0.7380924922154306; 'recall': 0.6153846153846154; 'f1-score': 0.6317016317016316; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],158,1.493924,0.615385,2,[X0 >= 45.000000 OR X0 < 35.000000],{'0.0': {'precision': 0.375; 'recall': 0.22556390977443608; 'f1-score': 0.28169014084507044; 'support': 133}; '1.0': {'precision': 0.7352185089974294; 'recall': 0.8511904761904762; 'f1-score': 0.7889655172413793; 'support': 336}; 'accuracy': 0.673773987206823; 'macro avg': {'precision': 0.5551092544987146; 'recall': 0.5383771929824561; 'f1-score': 0.5353278290432248; 'support': 469}; 'weighted avg': {'precision': 0.6330669915205465; 'recall': 0.673773987206823; 'f1-score': 0.6451113060245156; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.3333333333333333; 'f1-score': 0.3333333333333333; 'support': 15}; '1.0': {'precision': 0.7297297297297297; 'recall': 0.7297297297297297; 'f1-score': 0.7297297297297297; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5315315315315315; 'recall': 0.5315315315315315; 'f1-score': 0.5315315315315315; 'support': 52}; 'weighted avg': {'precision': 0.6153846153846154; 'recall': 0.6153846153846154; 'f1-score': 0.6153846153846154; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],158,1.628051,0.576923,3,[X0 < 31.000000 OR X5 < 30.000000 OR X7 < 6.600000],{'0.0': {'precision': 0.1559633027522936; 'recall': 0.12781954887218044; 'f1-score': 0.14049586776859505; 'support': 133}; '1.0': {'precision': 0.6777777777777778; 'recall': 0.7261904761904762; 'f1-score': 0.7011494252873564; 'support': 336}; 'accuracy': 0.5565031982942431; 'macro avg': {'precision': 0.41687054026503567; 'recall': 0.4270050125313283; 'f1-score': 0.4208226465279757; 'support': 469}; 'weighted avg': {'precision': 0.5298005385914465; 'recall': 0.5565031982942431; 'f1-score': 0.5421581179312898; 'support': 469}},{'0.0': {'precision': 0.26666666666666666; 'recall': 0.26666666666666666; 'f1-score': 0.26666666666666666; 'support': 15}; '1.0': {'precision': 0.7027027027027027; 'recall': 0.7027027027027027; 'f1-score': 0.7027027027027027; 'support': 37}; 'accuracy': 0.5769230769230769; 'macro avg': {'precision': 0.48468468468468473; 'recall': 0.48468468468468473; 'f1-score': 0.48468468468468473; 'support': 52}; 'weighted avg': {'precision': 0.5769230769230769; 'recall': 0.5769230769230769; 'f1-score': 0.5769230769230769; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],158,1.533794,0.615385,2,[X6 >= 71.600000 OR X9 < 0.930000],{'0.0': {'precision': 0.41798941798941797; 'recall': 0.5939849624060151; 'f1-score': 0.4906832298136646; 'support': 133}; '1.0': {'precision': 0.8071428571428572; 'recall': 0.6726190476190477; 'f1-score': 0.7337662337662337; 'support': 336}; 'accuracy': 0.650319829424307; 'macro avg': {'precision': 0.6125661375661375; 'recall': 0.6333020050125313; 'f1-score': 0.6122247317899492; 'support': 469}; 'weighted avg': {'precision': 0.6967859117112849; 'recall': 0.650319829424307; 'f1-score': 0.6648322475707291; 'support': 469}},{'0.0': {'precision': 0.35294117647058826; 'recall': 0.4; 'f1-score': 0.37500000000000006; 'support': 15}; '1.0': {'precision': 0.7428571428571429; 'recall': 0.7027027027027027; 'f1-score': 0.7222222222222223; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.5478991596638656; 'recall': 0.5513513513513514; 'f1-score': 0.5486111111111112; 'support': 52}; 'weighted avg': {'precision': 0.6303813833225599; 'recall': 0.6153846153846154; 'f1-score': 0.6220619658119659; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],158,1.571172,0.653846,2,[X0 >= 31.000000 OR X5 >= 43.000000],{'0.0': {'precision': 0.5862068965517241; 'recall': 0.2556390977443609; 'f1-score': 0.35602094240837695; 'support': 133}; '1.0': {'precision': 0.7591240875912408; 'recall': 0.9285714285714286; 'f1-score': 0.8353413654618475; 'support': 336}; 'accuracy': 0.7377398720682303; 'macro avg': {'precision': 0.6726654920714825; 'recall': 0.5921052631578947; 'f1-score': 0.5956811539351122; 'support': 469}; 'weighted avg': {'precision': 0.7100878692367509; 'recall': 0.7377398720682303; 'f1-score': 0.6994146783272812; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.2; 'f1-score': 0.25; 'support': 15}; '1.0': {'precision': 0.7209302325581395; 'recall': 0.8378378378378378; 'f1-score': 0.7749999999999999; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5271317829457364; 'recall': 0.518918918918919; 'f1-score': 0.5125; 'support': 52}; 'weighted avg': {'precision': 0.60912343470483; 'recall': 0.6538461538461539; 'f1-score': 0.6235576923076922; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],158,1.498177,0.615385,2,[X0 < 55.000000 OR X2 >= 1.400000],{'0.0': {'precision': 0.4305555555555556; 'recall': 0.23308270676691728; 'f1-score': 0.30243902439024395; 'support': 133}; '1.0': {'precision': 0.743073047858942; 'recall': 0.8779761904761905; 'f1-score': 0.8049113233287858; 'support': 336}; 'accuracy': 0.6950959488272921; 'macro avg': {'precision': 0.5868143017072488; 'recall': 0.5555294486215538; 'f1-score': 0.5536751738595149; 'support': 469}; 'weighted avg': {'precision': 0.654448684369922; 'recall': 0.6950959488272921; 'f1-score': 0.662419178853677; 'support': 469}},{'0.0': {'precision': 0.2727272727272727; 'recall': 0.2; 'f1-score': 0.23076923076923075; 'support': 15}; '1.0': {'precision': 0.7073170731707317; 'recall': 0.7837837837837838; 'f1-score': 0.7435897435897435; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.4900221729490022; 'recall': 0.49189189189189186; 'f1-score': 0.4871794871794871; 'support': 52}; 'weighted avg': {'precision': 0.5819546307351184; 'recall': 0.6153846153846154; 'f1-score': 0.5956607495069033; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],158,1.555596,0.711538,3,[X2 >= 1.400000 OR X5 < 18.000000 OR X7 < 6.600000],{'0.0': {'precision': 0.4015748031496063; 'recall': 0.38345864661654133; 'f1-score': 0.3923076923076923; 'support': 133}; '1.0': {'precision': 0.7602339181286549; 'recall': 0.7738095238095238; 'f1-score': 0.7669616519174041; 'support': 336}; 'accuracy': 0.6631130063965884; 'macro avg': {'precision': 0.5809043606391306; 'recall': 0.5786340852130326; 'f1-score': 0.5796346721125482; 'support': 469}; 'weighted avg': {'precision': 0.6585246168659397; 'recall': 0.6631130063965884; 'f1-score': 0.6607164991922619; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.4; 'f1-score': 0.4444444444444445; 'support': 15}; '1.0': {'precision': 0.775; 'recall': 0.8378378378378378; 'f1-score': 0.8051948051948051; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6375; 'recall': 0.6189189189189189; 'f1-score': 0.6248196248196248; 'support': 52}; 'weighted avg': {'precision': 0.6956730769230769; 'recall': 0.7115384615384616; 'f1-score': 0.7011322011322011; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.635196 (+- 0.041198), (mean training time) 1.529554 (+- 0.074052)
