lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,284,32,35,[8; 9],564,1.117079,0.718750,1,[X17 >= -0.686270],{'0.0': {'precision': 0.8928571428571429; 'recall': 0.24271844660194175; 'f1-score': 0.3816793893129771; 'support': 103}; '1.0': {'precision': 0.6953125; 'recall': 0.9834254143646409; 'f1-score': 0.8146453089244852; 'support': 181}; 'accuracy': 0.7147887323943662; 'macro avg': {'precision': 0.7940848214285714; 'recall': 0.6130719304832913; 'f1-score': 0.5981623491187311; 'support': 284}; 'weighted avg': {'precision': 0.7669572120221329; 'recall': 0.7147887323943662; 'f1-score': 0.6576189366710157; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.7; 'recall': 1.0; 'f1-score': 0.8235294117647058; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.85; 'recall': 0.5909090909090909; 'f1-score': 0.5656108597285068; 'support': 32}; 'weighted avg': {'precision': 0.803125; 'recall': 0.71875; 'f1-score': 0.6462104072398189; 'support': 32}}
5,1,CNF,1,284,32,35,[8; 9],564,1.206038,0.812500,1,[X2 >= 0.600000],{'0.0': {'precision': 0.6744186046511628; 'recall': 0.5631067961165048; 'f1-score': 0.6137566137566137; 'support': 103}; '1.0': {'precision': 0.7727272727272727; 'recall': 0.8453038674033149; 'f1-score': 0.8073878627968337; 'support': 181}; 'accuracy': 0.7429577464788732; 'macro avg': {'precision': 0.7235729386892178; 'recall': 0.7042053317599098; 'f1-score': 0.7105722382767237; 'support': 284}; 'weighted avg': {'precision': 0.7370730726855851; 'recall': 0.7429577464788732; 'f1-score': 0.7371624450111202; 'support': 284}},{'0.0': {'precision': 0.7777777777777778; 'recall': 0.6363636363636364; 'f1-score': 0.7000000000000001; 'support': 11}; '1.0': {'precision': 0.8260869565217391; 'recall': 0.9047619047619048; 'f1-score': 0.8636363636363636; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8019323671497585; 'recall': 0.7705627705627706; 'f1-score': 0.7818181818181819; 'support': 32}; 'weighted avg': {'precision': 0.8094806763285025; 'recall': 0.8125; 'f1-score': 0.8073863636363636; 'support': 32}}
5,1,CNF,2,284,32,35,[8; 9],564,1.006588,0.687500,2,[X4 >= 0.067040 OR X29 < 0.000000],{'0.0': {'precision': 0.9512195121951219; 'recall': 0.38235294117647056; 'f1-score': 0.5454545454545454; 'support': 102}; '1.0': {'precision': 0.7407407407407407; 'recall': 0.989010989010989; 'f1-score': 0.8470588235294118; 'support': 182}; 'accuracy': 0.7711267605633803; 'macro avg': {'precision': 0.8459801264679313; 'recall': 0.6856819650937298; 'f1-score': 0.6962566844919786; 'support': 284}; 'weighted avg': {'precision': 0.8163352290799903; 'recall': 0.7711267605633803; 'f1-score': 0.738736160277171; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.16666666666666666; 'f1-score': 0.2857142857142857; 'support': 12}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5833333333333334; 'f1-score': 0.5428571428571429; 'support': 32}; 'weighted avg': {'precision': 0.7916666666666666; 'recall': 0.6875; 'f1-score': 0.6071428571428571; 'support': 32}}
5,1,CNF,3,284,32,35,[8; 9],564,1.155519,0.687500,1,[X4 >= 0.000000],{'0.0': {'precision': 1.0; 'recall': 0.23529411764705882; 'f1-score': 0.38095238095238093; 'support': 102}; '1.0': {'precision': 0.7; 'recall': 1.0; 'f1-score': 0.8235294117647058; 'support': 182}; 'accuracy': 0.7253521126760564; 'macro avg': {'precision': 0.85; 'recall': 0.6176470588235294; 'f1-score': 0.6022408963585434; 'support': 284}; 'weighted avg': {'precision': 0.8077464788732394; 'recall': 0.7253521126760564; 'f1-score': 0.6645756894307019; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.16666666666666666; 'f1-score': 0.2857142857142857; 'support': 12}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5833333333333334; 'f1-score': 0.5428571428571429; 'support': 32}; 'weighted avg': {'precision': 0.7916666666666666; 'recall': 0.6875; 'f1-score': 0.6071428571428571; 'support': 32}}
5,1,CNF,4,284,32,35,[8; 9],564,1.000483,0.656250,1,[X2 >= 0.600000],{'0.0': {'precision': 0.6931818181818182; 'recall': 0.5980392156862745; 'f1-score': 0.6421052631578947; 'support': 102}; '1.0': {'precision': 0.7908163265306123; 'recall': 0.8516483516483516; 'f1-score': 0.82010582010582; 'support': 182}; 'accuracy': 0.7605633802816901; 'macro avg': {'precision': 0.7419990723562153; 'recall': 0.7248437836673131; 'f1-score': 0.7311055416318574; 'support': 284}; 'weighted avg': {'precision': 0.7557504115602707; 'recall': 0.7605633802816901; 'f1-score': 0.7561760426104385; 'support': 284}},{'0.0': {'precision': 0.5714285714285714; 'recall': 0.3333333333333333; 'f1-score': 0.4210526315789474; 'support': 12}; '1.0': {'precision': 0.68; 'recall': 0.85; 'f1-score': 0.7555555555555556; 'support': 20}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.6257142857142857; 'recall': 0.5916666666666667; 'f1-score': 0.5883040935672516; 'support': 32}; 'weighted avg': {'precision': 0.6392857142857143; 'recall': 0.65625; 'f1-score': 0.6301169590643275; 'support': 32}}
5,1,CNF,5,284,32,35,[8; 9],564,1.023704,0.718750,1,[X2 >= 0.328340],{'0.0': {'precision': 0.9298245614035088; 'recall': 0.5196078431372549; 'f1-score': 0.6666666666666666; 'support': 102}; '1.0': {'precision': 0.7841409691629956; 'recall': 0.978021978021978; 'f1-score': 0.8704156479217604; 'support': 182}; 'accuracy': 0.8133802816901409; 'macro avg': {'precision': 0.8569827652832522; 'recall': 0.7488149105796165; 'f1-score': 0.7685411572942136; 'support': 284}; 'weighted avg': {'precision': 0.8364639494747291; 'recall': 0.8133802816901409; 'f1-score': 0.797238196907607; 'support': 284}},{'0.0': {'precision': 0.7142857142857143; 'recall': 0.4166666666666667; 'f1-score': 0.5263157894736842; 'support': 12}; '1.0': {'precision': 0.72; 'recall': 0.9; 'f1-score': 0.7999999999999999; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7171428571428571; 'recall': 0.6583333333333333; 'f1-score': 0.6631578947368421; 'support': 32}; 'weighted avg': {'precision': 0.7178571428571427; 'recall': 0.71875; 'f1-score': 0.6973684210526315; 'support': 32}}
5,1,CNF,6,285,31,35,[8; 9],564,0.989747,0.645161,2,[X3 >= -0.105260 OR X5 < 0.485900],{'0.0': {'precision': 0.8421052631578947; 'recall': 0.1553398058252427; 'f1-score': 0.26229508196721313; 'support': 103}; '1.0': {'precision': 0.6729323308270677; 'recall': 0.9835164835164835; 'f1-score': 0.7991071428571429; 'support': 182}; 'accuracy': 0.6842105263157895; 'macro avg': {'precision': 0.7575187969924813; 'recall': 0.5694281446708631; 'f1-score': 0.530701112412178; 'support': 285}; 'weighted avg': {'precision': 0.7340720221606648; 'recall': 0.6842105263157895; 'f1-score': 0.6051013805004314; 'support': 285}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 11}; '1.0': {'precision': 0.6451612903225806; 'recall': 1.0; 'f1-score': 0.7843137254901961; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.3225806451612903; 'recall': 0.5; 'f1-score': 0.39215686274509803; 'support': 31}; 'weighted avg': {'precision': 0.4162330905306972; 'recall': 0.6451612903225806; 'f1-score': 0.5060088551549652; 'support': 31}}
5,1,CNF,7,285,31,35,[8; 9],564,1.015351,0.838710,1,[X2 >= 0.328340],{'0.0': {'precision': 0.896551724137931; 'recall': 0.5048543689320388; 'f1-score': 0.6459627329192547; 'support': 103}; '1.0': {'precision': 0.775330396475771; 'recall': 0.967032967032967; 'f1-score': 0.8606356968215159; 'support': 182}; 'accuracy': 0.8; 'macro avg': {'precision': 0.835941060306851; 'recall': 0.7359436679825029; 'f1-score': 0.7532992148703852; 'support': 285}; 'weighted avg': {'precision': 0.8191402096308675; 'recall': 0.8; 'f1-score': 0.7830521344287689; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.8387096774193549; 'macro avg': {'precision': 0.9; 'recall': 0.7727272727272727; 'f1-score': 0.7973856209150327; 'support': 31}; 'weighted avg': {'precision': 0.8709677419354839; 'recall': 0.8387096774193549; 'f1-score': 0.8239510858106684; 'support': 31}}
5,1,CNF,8,285,31,35,[8; 9],564,1.048033,0.677419,2,[X3 < -0.027360 OR X25 >= -0.857030],{'0.0': {'precision': 0.7619047619047619; 'recall': 0.1553398058252427; 'f1-score': 0.25806451612903225; 'support': 103}; '1.0': {'precision': 0.6704545454545454; 'recall': 0.9725274725274725; 'f1-score': 0.7937219730941703; 'support': 182}; 'accuracy': 0.6771929824561403; 'macro avg': {'precision': 0.7161796536796536; 'recall': 0.5639336391763576; 'f1-score': 0.5258932446116013; 'support': 285}; 'weighted avg': {'precision': 0.7035049745576061; 'recall': 0.6771929824561403; 'f1-score': 0.6001334886471204; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.09090909090909091; 'f1-score': 0.16666666666666669; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6774193548387096; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5454545454545454; 'f1-score': 0.4833333333333334; 'support': 31}; 'weighted avg': {'precision': 0.7849462365591398; 'recall': 0.6774193548387096; 'f1-score': 0.575268817204301; 'support': 31}}
5,1,CNF,9,285,31,35,[8; 9],564,1.329605,0.838710,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9661016949152542; 'recall': 0.5533980582524272; 'f1-score': 0.7037037037037037; 'support': 103}; '1.0': {'precision': 0.7964601769911505; 'recall': 0.989010989010989; 'f1-score': 0.8823529411764707; 'support': 182}; 'accuracy': 0.8315789473684211; 'macro avg': {'precision': 0.8812809359532023; 'recall': 0.7712045236317081; 'f1-score': 0.7930283224400871; 'support': 285}; 'weighted avg': {'precision': 0.8577692168023177; 'recall': 0.8315789473684211; 'f1-score': 0.817788479914383; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.8387096774193549; 'macro avg': {'precision': 0.9; 'recall': 0.7727272727272727; 'f1-score': 0.7973856209150327; 'support': 31}; 'weighted avg': {'precision': 0.8709677419354839; 'recall': 0.8387096774193549; 'f1-score': 0.8239510858106684; 'support': 31}}
5,1,CNF,0,284,32,17,[16; 17],564,0.601658,0.656250,2,[X22 >= 0.299080 OR X32 < 0.000000],{'0.0': {'precision': 0.5974025974025974; 'recall': 0.44660194174757284; 'f1-score': 0.5111111111111111; 'support': 103}; '1.0': {'precision': 0.7246376811594203; 'recall': 0.8287292817679558; 'f1-score': 0.7731958762886597; 'support': 181}; 'accuracy': 0.6901408450704225; 'macro avg': {'precision': 0.6610201392810089; 'recall': 0.6376656117577644; 'f1-score': 0.6421534936998854; 'support': 284}; 'weighted avg': {'precision': 0.6784925627546571; 'recall': 0.6901408450704225; 'f1-score': 0.6781440072277882; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.18181818181818182; 'f1-score': 0.26666666666666666; 'support': 11}; '1.0': {'precision': 0.6785714285714286; 'recall': 0.9047619047619048; 'f1-score': 0.7755102040816326; 'support': 21}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.5892857142857143; 'recall': 0.5432900432900433; 'f1-score': 0.5210884353741496; 'support': 32}; 'weighted avg': {'precision': 0.6171875; 'recall': 0.65625; 'f1-score': 0.6005952380952381; 'support': 32}}
