l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,1,[460; 460],540,37.029469,0.903846,3,[X20 >= 17.386000 OR X22 >= 115.900000 OR X27 >= 0.177540],{'0.0': {'precision': 0.9375; 'recall': 0.986159169550173; 'f1-score': 0.9612141652613828; 'support': 289}; '1.0': {'precision': 0.9743589743589743; 'recall': 0.8888888888888888; 'f1-score': 0.929663608562691; 'support': 171}; 'accuracy': 0.95; 'macro avg': {'precision': 0.9559294871794872; 'recall': 0.9375240292195309; 'f1-score': 0.9454388869120369; 'support': 460}; 'weighted avg': {'precision': 0.9512019230769231; 'recall': 0.95; 'f1-score': 0.9494855887494779; 'support': 460}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8; 'f1-score': 0.8648648648648648; 'support': 20}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9134453781512605; 'recall': 0.884375; 'f1-score': 0.8951189995966116; 'support': 52}; 'weighted avg': {'precision': 0.9070458952811895; 'recall': 0.9038461538461539; 'f1-score': 0.9021007229962452; 'support': 52}}
l: 5,1,CNF,1,460,52,1,[460; 460],540,33.504086,0.961538,4,[X13 >= 91.314000 OR X20 >= 17.386000 OR X22 >= 115.900000 OR X27 >= 0.150800],{'0.0': {'precision': 0.9584775086505191; 'recall': 0.9618055555555556; 'f1-score': 0.9601386481802427; 'support': 288}; '1.0': {'precision': 0.935672514619883; 'recall': 0.9302325581395349; 'f1-score': 0.9329446064139942; 'support': 172}; 'accuracy': 0.95; 'macro avg': {'precision': 0.947075011635201; 'recall': 0.9460190568475453; 'f1-score': 0.9465416272971185; 'support': 460}; 'weighted avg': {'precision': 0.9499504239260205; 'recall': 0.95; 'f1-score': 0.9499704412589498; 'support': 460}},{'0.0': {'precision': 0.9428571428571428; 'recall': 1.0; 'f1-score': 0.9705882352941176; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 0.8947368421052632; 'f1-score': 0.9444444444444444; 'support': 19}; 'accuracy': 0.9615384615384616; 'macro avg': {'precision': 0.9714285714285714; 'recall': 0.9473684210526316; 'f1-score': 0.957516339869281; 'support': 52}; 'weighted avg': {'precision': 0.9637362637362638; 'recall': 0.9615384615384616; 'f1-score': 0.961035696329814; 'support': 52}}
l: 5,1,CNF,2,461,51,1,[461; 461],540,35.143335,0.882353,3,[X12 >= 5.123200 OR X22 >= 115.900000 OR X27 >= 0.150800],{'0.0': {'precision': 0.9590443686006825; 'recall': 0.972318339100346; 'f1-score': 0.9656357388316152; 'support': 289}; '1.0': {'precision': 0.9523809523809523; 'recall': 0.9302325581395349; 'f1-score': 0.9411764705882352; 'support': 172}; 'accuracy': 0.9566160520607375; 'macro avg': {'precision': 0.9557126604908175; 'recall': 0.9512754486199404; 'f1-score': 0.9534061047099252; 'support': 461}; 'weighted avg': {'precision': 0.9565582350002626; 'recall': 0.9566160520607375; 'f1-score': 0.9565099380987272; 'support': 461}},{'0.0': {'precision': 0.8823529411764706; 'recall': 0.9375; 'f1-score': 0.9090909090909091; 'support': 32}; '1.0': {'precision': 0.8823529411764706; 'recall': 0.7894736842105263; 'f1-score': 0.8333333333333333; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8823529411764706; 'recall': 0.8634868421052632; 'f1-score': 0.8712121212121211; 'support': 51}; 'weighted avg': {'precision': 0.8823529411764706; 'recall': 0.8823529411764706; 'f1-score': 0.8808674985145573; 'support': 51}}
l: 5,1,CNF,3,461,51,1,[461; 461],540,33.026100,0.921569,3,[X13 >= 91.314000 OR X20 >= 17.386000 OR X27 >= 0.150800],{'0.0': {'precision': 0.9556313993174061; 'recall': 0.9688581314878892; 'f1-score': 0.9621993127147765; 'support': 289}; '1.0': {'precision': 0.9464285714285714; 'recall': 0.9244186046511628; 'f1-score': 0.9352941176470587; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9510299853729888; 'recall': 0.9466383680695261; 'f1-score': 0.9487467151809177; 'support': 461}; 'weighted avg': {'precision': 0.9521978062656066; 'recall': 0.9522776572668112; 'f1-score': 0.9521609319085999; 'support': 461}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.8947368421052632; 'recall': 0.8947368421052632; 'f1-score': 0.8947368421052632; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9161184210526316; 'recall': 0.9161184210526316; 'f1-score': 0.9161184210526316; 'support': 51}; 'weighted avg': {'precision': 0.9215686274509803; 'recall': 0.9215686274509803; 'f1-score': 0.9215686274509803; 'support': 51}}
l: 5,1,CNF,4,461,51,1,[461; 461],540,31.915090,0.921569,3,[X13 >= 54.088000 OR X22 >= 115.900000 OR X27 >= 0.150800],{'0.0': {'precision': 0.9587628865979382; 'recall': 0.9653979238754326; 'f1-score': 0.9620689655172414; 'support': 289}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.9302325581395349; 'f1-score': 0.935672514619883; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9499696785930867; 'recall': 0.9478152410074837; 'f1-score': 0.9488707400685622; 'support': 461}; 'weighted avg': {'precision': 0.952201360451151; 'recall': 0.9522776572668112; 'f1-score': 0.9522203981542358; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
l: 5,1,CNF,5,461,51,1,[461; 461],540,35.849294,0.980392,4,[X13 >= 91.314000 OR X20 >= 17.386000 OR X22 >= 115.900000 OR X27 >= 0.150800],{'0.0': {'precision': 0.9553264604810997; 'recall': 0.9619377162629758; 'f1-score': 0.9586206896551724; 'support': 289}; '1.0': {'precision': 0.9352941176470588; 'recall': 0.9244186046511628; 'f1-score': 0.9298245614035087; 'support': 172}; 'accuracy': 0.9479392624728851; 'macro avg': {'precision': 0.9453102890640792; 'recall': 0.9431781604570693; 'f1-score': 0.9442226255293406; 'support': 461}; 'weighted avg': {'precision': 0.9478523542610237; 'recall': 0.9479392624728851; 'f1-score': 0.9478767979864389; 'support': 461}},{'0.0': {'precision': 0.9696969696969697; 'recall': 1.0; 'f1-score': 0.9846153846153847; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.9473684210526315; 'f1-score': 0.972972972972973; 'support': 19}; 'accuracy': 0.9803921568627451; 'macro avg': {'precision': 0.9848484848484849; 'recall': 0.9736842105263157; 'f1-score': 0.9787941787941788; 'support': 51}; 'weighted avg': {'precision': 0.9809863339275104; 'recall': 0.9803921568627451; 'f1-score': 0.9802780155721332; 'support': 51}}
l: 5,1,CNF,6,461,51,1,[461; 461],540,39.271735,0.941176,4,[X12 >= 5.123200 OR X20 >= 17.386000 OR X22 >= 115.900000 OR X27 >= 0.150800],{'0.0': {'precision': 0.9556313993174061; 'recall': 0.9688581314878892; 'f1-score': 0.9621993127147765; 'support': 289}; '1.0': {'precision': 0.9464285714285714; 'recall': 0.9244186046511628; 'f1-score': 0.9352941176470587; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9510299853729888; 'recall': 0.9466383680695261; 'f1-score': 0.9487467151809177; 'support': 461}; 'weighted avg': {'precision': 0.9521978062656066; 'recall': 0.9522776572668112; 'f1-score': 0.9521609319085999; 'support': 461}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
l: 5,1,CNF,7,461,51,1,[461; 461],540,28.342659,0.941176,4,[X13 >= 91.314000 OR X20 >= 17.386000 OR X22 >= 115.900000 OR X27 >= 0.150800],{'0.0': {'precision': 0.9556313993174061; 'recall': 0.9688581314878892; 'f1-score': 0.9621993127147765; 'support': 289}; '1.0': {'precision': 0.9464285714285714; 'recall': 0.9244186046511628; 'f1-score': 0.9352941176470587; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9510299853729888; 'recall': 0.9466383680695261; 'f1-score': 0.9487467151809177; 'support': 461}; 'weighted avg': {'precision': 0.9521978062656066; 'recall': 0.9522776572668112; 'f1-score': 0.9521609319085999; 'support': 461}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
l: 5,1,CNF,8,461,51,1,[461; 461],540,34.519827,0.941176,4,[X12 >= 5.123200 OR X20 >= 17.386000 OR X22 >= 115.900000 OR X27 >= 0.150800],{'0.0': {'precision': 0.9587628865979382; 'recall': 0.9653979238754326; 'f1-score': 0.9620689655172414; 'support': 289}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.9302325581395349; 'f1-score': 0.935672514619883; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9499696785930867; 'recall': 0.9478152410074837; 'f1-score': 0.9488707400685622; 'support': 461}; 'weighted avg': {'precision': 0.952201360451151; 'recall': 0.9522776572668112; 'f1-score': 0.9522203981542358; 'support': 461}},{'0.0': {'precision': 0.9393939393939394; 'recall': 0.96875; 'f1-score': 0.9538461538461539; 'support': 32}; '1.0': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.918918918918919; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9419191919191919; 'recall': 0.9317434210526316; 'f1-score': 0.9363825363825364; 'support': 51}; 'weighted avg': {'precision': 0.9412755000990295; 'recall': 0.9411764705882353; 'f1-score': 0.9408340467163996; 'support': 51}}
l: 5,1,CNF,9,461,51,1,[461; 461],540,32.223052,0.921569,5,[X13 >= 91.314000 OR X20 >= 17.386000 OR X22 >= 115.900000 OR X25 >= 0.447840 OR X27 >= 0.150800],{'0.0': {'precision': 0.9587628865979382; 'recall': 0.9653979238754326; 'f1-score': 0.9620689655172414; 'support': 289}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.9302325581395349; 'f1-score': 0.935672514619883; 'support': 172}; 'accuracy': 0.9522776572668112; 'macro avg': {'precision': 0.9499696785930867; 'recall': 0.9478152410074837; 'f1-score': 0.9488707400685622; 'support': 461}; 'weighted avg': {'precision': 0.952201360451151; 'recall': 0.9522776572668112; 'f1-score': 0.9522203981542358; 'support': 461}},{'0.0': {'precision': 0.9666666666666667; 'recall': 0.90625; 'f1-score': 0.9354838709677419; 'support': 32}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.9473684210526315; 'f1-score': 0.9; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9119047619047619; 'recall': 0.9268092105263157; 'f1-score': 0.917741935483871; 'support': 51}; 'weighted avg': {'precision': 0.9258636788048552; 'recall': 0.9215686274509803; 'f1-score': 0.9222643896268184; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [461, 461], 'n_partitions': 1}, (mean val acc cv) 0.931637 (+- 0.026551), (mean training time) 34.082465 (+- 2.874065)
