l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],262,131.903956,0.699761,4,[X1 == 5 OR X1 == 6 OR X3 == 1 OR X3 == 10],{'0': {'precision': 0.774940537629583; 'recall': 0.8624082305348849; 'f1-score': 0.8163381080697775; 'support': 20023}; '1': {'precision': 0.32657052065509656; 'recall': 0.21036057313808848; 'f1-score': 0.2558896763072208; 'support': 6351}; 'accuracy': 0.7053916736179571; 'macro avg': {'precision': 0.5507555291423398; 'recall': 0.5363844018364867; 'f1-score': 0.5361138921884991; 'support': 26374}; 'weighted avg': {'precision': 0.6669706438779729; 'recall': 0.7053916736179571; 'f1-score': 0.6813791336963796; 'support': 26374}},{'0': {'precision': 0.7730410069021518; 'recall': 0.8557303370786516; 'f1-score': 0.8122866894197953; 'support': 2225}; '1': {'precision': 0.3141025641025641; 'recall': 0.20821529745042494; 'f1-score': 0.25042589437819424; 'support': 706}; 'accuracy': 0.6997611736608667; 'macro avg': {'precision': 0.543571785502358; 'recall': 0.5319728172645383; 'f1-score': 0.5313562918989948; 'support': 2931}; 'weighted avg': {'precision': 0.6624949336791873; 'recall': 0.6997611736608667; 'f1-score': 0.6769493570078641; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],262,123.561786,0.676902,2,[X1 == 0 OR X1 == 6],{'0': {'precision': 0.7542907180385289; 'recall': 0.8604105278929232; 'f1-score': 0.8038634719921611; 'support': 20023}; '1': {'precision': 0.2091114883984154; 'recall': 0.11635962840497559; 'f1-score': 0.14951947395042994; 'support': 6351}; 'accuracy': 0.6812390991127626; 'macro avg': {'precision': 0.48170110321847215; 'recall': 0.4883850781489494; 'f1-score': 0.47669147297129555; 'support': 26374}; 'weighted avg': {'precision': 0.6230086490522408; 'recall': 0.6812390991127626; 'f1-score': 0.6462939439887094; 'support': 26374}},{'0': {'precision': 0.7537728355837967; 'recall': 0.8530337078651685; 'f1-score': 0.80033733923677; 'support': 2225}; '1': {'precision': 0.20823244552058112; 'recall': 0.12181303116147309; 'f1-score': 0.15370866845397677; 'support': 706}; 'accuracy': 0.6769020812009553; 'macro avg': {'precision': 0.4810026405521889; 'recall': 0.4874233695133208; 'f1-score': 0.4770230038453734; 'support': 2931}; 'weighted avg': {'precision': 0.6223666549680922; 'recall': 0.6769020812009553; 'f1-score': 0.6445816785159744; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],262,117.986544,0.760832,3,[X3 == 12 OR X3 == 14 OR X6 == 13],{'0': {'precision': 0.7889688249400479; 'recall': 0.9365729411177146; 'f1-score': 0.856457800511509; 'support': 20023}; '1': {'precision': 0.5124760076775432; 'recall': 0.21020311761927254; 'f1-score': 0.298124162572577; 'support': 6351}; 'accuracy': 0.7616592098278607; 'macro avg': {'precision': 0.6507224163087956; 'recall': 0.5733880293684935; 'f1-score': 0.5772909815420431; 'support': 26374}; 'weighted avg': {'precision': 0.7223878784611609; 'recall': 0.7616592098278607; 'f1-score': 0.7220080797808592; 'support': 26374}},{'0': {'precision': 0.7862509391435011; 'recall': 0.9406741573033708; 'f1-score': 0.8565582156742377; 'support': 2225}; '1': {'precision': 0.5092936802973977; 'recall': 0.19405099150141644; 'f1-score': 0.28102564102564104; 'support': 706}; 'accuracy': 0.7608324803821221; 'macro avg': {'precision': 0.6477723097204494; 'recall': 0.5673625744023936; 'f1-score': 0.5687919283499394; 'support': 2931}; 'weighted avg': {'precision': 0.7195392964463503; 'recall': 0.7608324803821221; 'f1-score': 0.7179277149229892; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],262,117.795012,0.712385,5,[X1 == 1 OR X3 == 7 OR X3 == 9 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.8375923072836423; 'recall': 0.7873944963292214; 'f1-score': 0.8117180662101633; 'support': 20023}; '1': {'precision': 0.4362336114421931; 'recall': 0.5186584789796882; 'f1-score': 0.4738886491152352; 'support': 6351}; 'accuracy': 0.7226814286797604; 'macro avg': {'precision': 0.6369129593629177; 'recall': 0.6530264876544548; 'f1-score': 0.6428033576626992; 'support': 26374}; 'weighted avg': {'precision': 0.7409429906350853; 'recall': 0.7226814286797604; 'f1-score': 0.7303669390406067; 'support': 26374}},{'0': {'precision': 0.8344627299128751; 'recall': 0.7748314606741573; 'f1-score': 0.8035422978326731; 'support': 2225}; '1': {'precision': 0.4208092485549133; 'recall': 0.5155807365439093; 'f1-score': 0.4633991088478676; 'support': 706}; 'accuracy': 0.7123848515864892; 'macro avg': {'precision': 0.6276359892338942; 'recall': 0.6452060986090333; 'f1-score': 0.6334707033402703; 'support': 2931}; 'weighted avg': {'precision': 0.7348246003193162; 'recall': 0.7123848515864892; 'f1-score': 0.7216108439182163; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],262,113.203106,0.747868,5,[X1 == 5 OR X3 == 10 OR X3 == 14 OR X5 == 3 OR X8 == 1],{'0': {'precision': 0.7822845590093506; 'recall': 0.9275832792288867; 'f1-score': 0.8487604249971439; 'support': 20023}; '1': {'precision': 0.4490881458966565; 'recall': 0.1861124232404346; 'f1-score': 0.2631637537570968; 'support': 6351}; 'accuracy': 0.7490331386972018; 'macro avg': {'precision': 0.6156863524530035; 'recall': 0.5568478512346606; 'f1-score': 0.5559620893771203; 'support': 26374}; 'weighted avg': {'precision': 0.7020490839324294; 'recall': 0.7490331386972018; 'f1-score': 0.7077456203014004; 'support': 26374}},{'0': {'precision': 0.7859892224788299; 'recall': 0.917752808988764; 'f1-score': 0.84677586564379; 'support': 2225}; '1': {'precision': 0.45045045045045046; 'recall': 0.21246458923512748; 'f1-score': 0.28873917228103946; 'support': 706}; 'accuracy': 0.7478676219720232; 'macro avg': {'precision': 0.6182198364646402; 'recall': 0.5651086991119457; 'f1-score': 0.5677575189624148; 'support': 2931}; 'weighted avg': {'precision': 0.7051668502331677; 'recall': 0.7478676219720232; 'f1-score': 0.7123596576894735; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],262,124.297967,0.682594,6,[X3 == 9 OR X3 == 14 OR X6 == 4 OR X6 == 12 OR X13 == 2 OR X13 == 31],{'0': {'precision': 0.8364450203192179; 'recall': 0.7092843230285172; 'f1-score': 0.7676341819361115; 'support': 20023}; '1': {'precision': 0.38048105576841207; 'recall': 0.5628148614609572; 'f1-score': 0.4540259080518161; 'support': 6352}; 'accuracy': 0.6740094786729858; 'macro avg': {'precision': 0.608463038043815; 'recall': 0.6360495922447371; 'f1-score': 0.6108300449939639; 'support': 26375}; 'weighted avg': {'precision': 0.726633338695456; 'recall': 0.6740094786729858; 'f1-score': 0.6921066082597876; 'support': 26375}},{'0': {'precision': 0.8398950131233596; 'recall': 0.7191011235955056; 'f1-score': 0.774818401937046; 'support': 2225}; '1': {'precision': 0.3902439024390244; 'recall': 0.5673758865248227; 'f1-score': 0.46242774566473993; 'support': 705}; 'accuracy': 0.6825938566552902; 'macro avg': {'precision': 0.6150694577811919; 'recall': 0.6432385050601641; 'f1-score': 0.618623073800893; 'support': 2930}; 'weighted avg': {'precision': 0.7317025103819069; 'recall': 0.6825938566552902; 'f1-score': 0.6996527320831293; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],262,130.920111,0.697611,3,[X0 >= 50.000000 OR X1 == 1 OR X13 == 24],{'0': {'precision': 0.7875435974090682; 'recall': 0.7893921989711832; 'f1-score': 0.7884668146559249; 'support': 20023}; '1': {'precision': 0.3311657414750198; 'recall': 0.32871536523929473; 'f1-score': 0.32993600379236787; 'support': 6352}; 'accuracy': 0.6784454976303318; 'macro avg': {'precision': 0.559354669442044; 'recall': 0.5590537821052389; 'f1-score': 0.5592014092241464; 'support': 26375}; 'weighted avg': {'precision': 0.6776322366169137; 'recall': 0.6784454976303318; 'f1-score': 0.6780369488509842; 'support': 26375}},{'0': {'precision': 0.8025305015815635; 'recall': 0.7982022471910112; 'f1-score': 0.800360522757999; 'support': 2225}; '1': {'precision': 0.3737796373779637; 'recall': 0.3801418439716312; 'f1-score': 0.37693389592123766; 'support': 705}; 'accuracy': 0.6976109215017064; 'macro avg': {'precision': 0.5881550694797636; 'recall': 0.5891720455813212; 'f1-score': 0.5886472093396183; 'support': 2930}; 'weighted avg': {'precision': 0.6993668977373526; 'recall': 0.6976109215017064; 'f1-score': 0.6984780067443754; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],262,161.398644,0.683618,3,[X1 == 5 OR X3 == 10 OR X6 == 1],{'0': {'precision': 0.7645571905750654; 'recall': 0.8459271837387005; 'f1-score': 0.8031865708798634; 'support': 20023}; '1': {'precision': 0.2691305377872542; 'recall': 0.17884130982367757; 'f1-score': 0.21488697626028563; 'support': 6352}; 'accuracy': 0.6852701421800947; 'macro avg': {'precision': 0.5168438641811598; 'recall': 0.512384246781189; 'f1-score': 0.5090367735700745; 'support': 26375}; 'weighted avg': {'precision': 0.6452415470297317; 'recall': 0.6852701421800947; 'f1-score': 0.6615039538173588; 'support': 26375}},{'0': {'precision': 0.7629659643435981; 'recall': 0.8462921348314607; 'f1-score': 0.8024717664606861; 'support': 2225}; '1': {'precision': 0.2597402597402597; 'recall': 0.1702127659574468; 'f1-score': 0.2056555269922879; 'support': 705}; 'accuracy': 0.683617747440273; 'macro avg': {'precision': 0.5113531120419289; 'recall': 0.5082524503944538; 'f1-score': 0.504063646726487; 'support': 2930}; 'weighted avg': {'precision': 0.641882646341771; 'recall': 0.683617747440273; 'f1-score': 0.6588692241995187; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],262,367.325179,0.614676,4,[X1 == 5 OR X3 == 7 OR X3 == 10 OR X3 == 15],{'0': {'precision': 0.7644430086684972; 'recall': 0.7090491410307631; 'f1-score': 0.7357048475270099; 'support': 20024}; '1': {'precision': 0.25326839271981544; 'recall': 0.31113210518028656; 'f1-score': 0.2792340846463647; 'support': 6351}; 'accuracy': 0.6132322274881516; 'macro avg': {'precision': 0.5088557006941563; 'recall': 0.5100906231055249; 'f1-score': 0.5074694660866873; 'support': 26375}; 'weighted avg': {'precision': 0.641354099250864; 'recall': 0.6132322274881516; 'f1-score': 0.6257884185201861; 'support': 26375}},{'0': {'precision': 0.7586206896551724; 'recall': 0.7221223021582733; 'f1-score': 0.7399216770329416; 'support': 2224}; '1': {'precision': 0.23985239852398524; 'recall': 0.2762039660056657; 'f1-score': 0.2567478604344964; 'support': 706}; 'accuracy': 0.6146757679180888; 'macro avg': {'precision': 0.4992365440895788; 'recall': 0.49916313408196955; 'f1-score': 0.498334768733719; 'support': 2930}; 'weighted avg': {'precision': 0.6336205485157123; 'recall': 0.6146757679180888; 'f1-score': 0.6234982249788453; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],262,554.383616,0.711604,6,[X1 == 5 OR X1 == 7 OR X3 == 8 OR X3 == 10 OR X6 == 13 OR X13 == 19],{'0': {'precision': 0.7809735496777062; 'recall': 0.8773471833799441; 'f1-score': 0.8263599802441262; 'support': 20024}; '1': {'precision': 0.3670103092783505; 'recall': 0.22421665879389072; 'f1-score': 0.27836966083471804; 'support': 6351}; 'accuracy': 0.7200758293838863; 'macro avg': {'precision': 0.5739919294780284; 'recall': 0.5507819210869174; 'f1-score': 0.552364820539422; 'support': 26375}; 'weighted avg': {'precision': 0.6812927709184149; 'recall': 0.7200758293838863; 'f1-score': 0.6944059890187555; 'support': 26375}},{'0': {'precision': 0.7797160243407708; 'recall': 0.8642086330935251; 'f1-score': 0.819791000213265; 'support': 2224}; '1': {'precision': 0.35053763440860214; 'recall': 0.23087818696883852; 'f1-score': 0.2783945345858241; 'support': 706}; 'accuracy': 0.71160409556314; 'macro avg': {'precision': 0.5651268293746865; 'recall': 0.5475434100311818; 'f1-score': 0.5490927673995445; 'support': 2930}; 'weighted avg': {'precision': 0.6763030744117227; 'recall': 0.71160409556314; 'f1-score': 0.6893384730006461; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.698785 (+- 0.038283), (mean training time) 194.277592 (+- 140.267008)
