l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,1,[26374; 26374],296,1051.624060,0.808939,4,[X4 >= 14.500000 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8239814228414608; 'recall': 0.9746791190131349; 'f1-score': 0.8930172966047404; 'support': 20023}; '1': {'precision': 0.8114540721457791; 'recall': 0.3435679420563691; 'f1-score': 0.4827433628318585; 'support': 6351}; 'accuracy': 0.8227041783574732; 'macro avg': {'precision': 0.8177177474936199; 'recall': 0.659123530534752; 'f1-score': 0.6878803297182994; 'support': 26374}; 'weighted avg': {'precision': 0.8209647699155386; 'recall': 0.8227041783574732; 'f1-score': 0.794221143067485; 'support': 26374}},{'0': {'precision': 0.8135593220338984; 'recall': 0.9707865168539326; 'f1-score': 0.8852459016393444; 'support': 2225}; '1': {'precision': 0.7644927536231884; 'recall': 0.2988668555240793; 'f1-score': 0.42973523421588594; 'support': 706}; 'accuracy': 0.8089389286932788; 'macro avg': {'precision': 0.7890260378285434; 'recall': 0.634826686189006; 'f1-score': 0.6574905679276152; 'support': 2931}; 'weighted avg': {'precision': 0.8017404897930381; 'recall': 0.8089389286932788; 'f1-score': 0.7755254884012135; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,1,[26374; 26374],296,1041.257024,0.821904,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8227037052649327; 'recall': 0.9747290615791839; 'f1-score': 0.8922872948383851; 'support': 20023}; '1': {'precision': 0.8091286307053942; 'recall': 0.3377420878601795; 'f1-score': 0.4765607642746057; 'support': 6351}; 'accuracy': 0.8213391976946993; 'macro avg': {'precision': 0.8159161679851634; 'recall': 0.6562355747196817; 'f1-score': 0.6844240295564954; 'support': 26374}; 'weighted avg': {'precision': 0.8194347548392246; 'recall': 0.8213391976946993; 'f1-score': 0.7921781268846974; 'support': 26374}},{'0': {'precision': 0.8229048160788776; 'recall': 0.9752808988764045; 'f1-score': 0.8926367749897162; 'support': 2225}; '1': {'precision': 0.8129251700680272; 'recall': 0.3385269121813031; 'f1-score': 0.478; 'support': 706}; 'accuracy': 0.8219037871033776; 'macro avg': {'precision': 0.8179149930734524; 'recall': 0.6569039055288538; 'f1-score': 0.6853183874948581; 'support': 2931}; 'weighted avg': {'precision': 0.8205009845934936; 'recall': 0.8219037871033776; 'f1-score': 0.7927617960942063; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,1,[26374; 26374],296,1035.861523,0.825316,5,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.822613976635317; 'recall': 0.9741297507865954; 'f1-score': 0.891983353912288; 'support': 20023}; '1': {'precision': 0.8054825384904243; 'recall': 0.3377420878601795; 'f1-score': 0.47592633680940755; 'support': 6351}; 'accuracy': 0.8208842041404414; 'macro avg': {'precision': 0.8140482575628707; 'recall': 0.6559359193233875; 'f1-score': 0.6839548453608477; 'support': 26374}; 'weighted avg': {'precision': 0.8184886348722846; 'recall': 0.8208842041404414; 'f1-score': 0.7917946030356522; 'support': 26374}},{'0': {'precision': 0.8257892734880182; 'recall': 0.9757303370786516; 'f1-score': 0.8945199835187473; 'support': 2225}; '1': {'precision': 0.8211920529801324; 'recall': 0.35127478753541075; 'f1-score': 0.492063492063492; 'support': 706}; 'accuracy': 0.8253155919481405; 'macro avg': {'precision': 0.8234906632340753; 'recall': 0.6635025623070312; 'f1-score': 0.6932917377911196; 'support': 2931}; 'weighted avg': {'precision': 0.8246819252524101; 'recall': 0.8253155919481405; 'f1-score': 0.7975789111996036; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,1,[26374; 26374],296,1201.124696,0.829069,5,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 20],{'0': {'precision': 0.821816802898795; 'recall': 0.9741297507865954; 'f1-score': 0.8915145005370569; 'support': 20023}; '1': {'precision': 0.8037878787878788; 'recall': 0.334120610927413; 'f1-score': 0.47202758313869425; 'support': 6351}; 'accuracy': 0.8200121331614468; 'macro avg': {'precision': 0.8128023408433369; 'recall': 0.6541251808570042; 'f1-score': 0.6817710418378756; 'support': 26374}; 'weighted avg': {'precision': 0.8174753417238338; 'recall': 0.8200121331614468; 'f1-score': 0.790499811358434; 'support': 26374}},{'0': {'precision': 0.8317936874518861; 'recall': 0.9712359550561798; 'f1-score': 0.8961227451793489; 'support': 2225}; '1': {'precision': 0.8078078078078078; 'recall': 0.3810198300283286; 'f1-score': 0.5178055822906641; 'support': 706}; 'accuracy': 0.8290685772773797; 'macro avg': {'precision': 0.819800747629847; 'recall': 0.6761278925422542; 'f1-score': 0.7069641637350065; 'support': 2931}; 'weighted avg': {'precision': 0.8260161265413712; 'recall': 0.8290685772773797; 'f1-score': 0.8049961955377891; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,1,[26374; 26374],296,1190.496345,0.825316,5,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8211194218001513; 'recall': 0.975927683164361; 'f1-score': 0.8918555030693046; 'support': 20023}; '1': {'precision': 0.812888198757764; 'recall': 0.3297118564005668; 'f1-score': 0.4691385683880362; 'support': 6351}; 'accuracy': 0.8203154621976189; 'macro avg': {'precision': 0.8170038102789576; 'recall': 0.6528197697824639; 'f1-score': 0.6804970357286704; 'support': 26374}; 'weighted avg': {'precision': 0.819137299348411; 'recall': 0.8203154621976189; 'f1-score': 0.7900630084852166; 'support': 26374}},{'0': {'precision': 0.8255416191562144; 'recall': 0.9761797752808988; 'f1-score': 0.8945634266886325; 'support': 2225}; '1': {'precision': 0.8233333333333334; 'recall': 0.34985835694050993; 'f1-score': 0.49105367793240556; 'support': 706}; 'accuracy': 0.8253155919481405; 'macro avg': {'precision': 0.8244374762447739; 'recall': 0.6630190661107044; 'f1-score': 0.6928085523105191; 'support': 2931}; 'weighted avg': {'precision': 0.825009701793214; 'recall': 0.8253155919481405; 'f1-score': 0.7973686526791149; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,1,[26375; 26375],296,1166.114383,0.825597,3,[X4 >= 14.500000 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.822403910991234; 'recall': 0.9745792338810368; 'f1-score': 0.8920481817558457; 'support': 20023}; '1': {'precision': 0.8077068379297317; 'recall': 0.3365869017632242; 'f1-score': 0.475163907100789; 'support': 6352}; 'accuracy': 0.8209289099526066; 'macro avg': {'precision': 0.8150553744604829; 'recall': 0.6555830678221305; 'f1-score': 0.6836060444283173; 'support': 26375}; 'weighted avg': {'precision': 0.8188643542865265; 'recall': 0.8209289099526066; 'f1-score': 0.7916482229839436; 'support': 26375}},{'0': {'precision': 0.8256079027355623; 'recall': 0.976629213483146; 'f1-score': 0.8947910232653902; 'support': 2225}; '1': {'precision': 0.825503355704698; 'recall': 0.34893617021276596; 'f1-score': 0.4905284147557328; 'support': 705}; 'accuracy': 0.8255972696245734; 'macro avg': {'precision': 0.8255556292201301; 'recall': 0.662782691847956; 'f1-score': 0.6926597190105614; 'support': 2930}; 'weighted avg': {'precision': 0.82558274722131; 'recall': 0.8255972696245734; 'f1-score': 0.7975196447673327; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,1,[26375; 26375],296,1042.513962,0.808874,6,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000 OR X13 == 18],{'0': {'precision': 0.8239915522703274; 'recall': 0.9742795784847426; 'f1-score': 0.8928555082612476; 'support': 20023}; '1': {'precision': 0.8092592592592592; 'recall': 0.34398614609571787; 'f1-score': 0.48276623950508163; 'support': 6352}; 'accuracy': 0.8224834123222748; 'macro avg': {'precision': 0.8166254057647933; 'recall': 0.6591328622902302; 'f1-score': 0.6878108738831646; 'support': 26375}; 'weighted avg': {'precision': 0.8204435133999461; 'recall': 0.8224834123222748; 'f1-score': 0.7940920187772982; 'support': 26375}},{'0': {'precision': 0.8135593220338984; 'recall': 0.9707865168539326; 'f1-score': 0.8852459016393444; 'support': 2225}; '1': {'precision': 0.7636363636363637; 'recall': 0.2978723404255319; 'f1-score': 0.4285714285714286; 'support': 705}; 'accuracy': 0.8088737201365188; 'macro avg': {'precision': 0.788597842835131; 'recall': 0.6343294286397323; 'f1-score': 0.6569086651053865; 'support': 2930}; 'weighted avg': {'precision': 0.8015471426242526; 'recall': 0.8088737201365188; 'f1-score': 0.775363477232218; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,1,[26375; 26375],296,1018.488798,0.816382,4,[X3 == 10 OR X3 == 14 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.823449964124425; 'recall': 0.9743794636168406; 'f1-score': 0.8925793759721841; 'support': 20023}; '1': {'precision': 0.8087248322147651; 'recall': 0.34146725440806047; 'f1-score': 0.48018596413548825; 'support': 6352}; 'accuracy': 0.8219526066350711; 'macro avg': {'precision': 0.8160873981695951; 'recall': 0.6579233590124505; 'f1-score': 0.6863826700538361; 'support': 26375}; 'weighted avg': {'precision': 0.8199036498916227; 'recall': 0.8219526066350711; 'f1-score': 0.7932609702096554; 'support': 26375}},{'0': {'precision': 0.8162729658792651; 'recall': 0.9784269662921349; 'f1-score': 0.8900245298446443; 'support': 2225}; '1': {'precision': 0.8174904942965779; 'recall': 0.3049645390070922; 'f1-score': 0.44421487603305787; 'support': 705}; 'accuracy': 0.816382252559727; 'macro avg': {'precision': 0.8168817300879215; 'recall': 0.6416957526496135; 'f1-score': 0.6671197029388511; 'support': 2930}; 'weighted avg': {'precision': 0.8165659206690965; 'recall': 0.816382252559727; 'f1-score': 0.782756336692027; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,1,[26375; 26375],296,1024.424676,0.823208,5,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1881.500000],{'0': {'precision': 0.8211450413743857; 'recall': 0.9762784658409908; 'f1-score': 0.8920170655472154; 'support': 20024}; '1': {'precision': 0.8150311526479751; 'recall': 0.3295544008817509; 'f1-score': 0.4693351272564189; 'support': 6351}; 'accuracy': 0.8205497630331754; 'macro avg': {'precision': 0.8180880970111803; 'recall': 0.6529164333613708; 'f1-score': 0.6806760964018171; 'support': 26375}; 'weighted avg': {'precision': 0.8196728401496868; 'recall': 0.8205497630331754; 'f1-score': 0.7902368573923396; 'support': 26375}},{'0': {'precision': 0.8253241800152555; 'recall': 0.9730215827338129; 'f1-score': 0.8931077177053239; 'support': 2224}; '1': {'precision': 0.8051948051948052; 'recall': 0.35127478753541075; 'f1-score': 0.48915187376725844; 'support': 706}; 'accuracy': 0.8232081911262799; 'macro avg': {'precision': 0.8152594926050304; 'recall': 0.6621481851346118; 'f1-score': 0.6911297957362912; 'support': 2930}; 'weighted avg': {'precision': 0.8204738937957203; 'recall': 0.8232081911262799; 'f1-score': 0.7957722822717833; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,1,[26375; 26375],296,1024.940466,0.822526,5,[X3 == 10 OR X3 == 14 OR X5 == 1 OR X10 >= 5119.000000 OR X11 >= 1820.500000],{'0': {'precision': 0.8230353676036127; 'recall': 0.973881342389133; 'f1-score': 0.8921268127544718; 'support': 20024}; '1': {'precision': 0.8049235359940321; 'recall': 0.33978900960478664; 'f1-score': 0.47785651018600533; 'support': 6351}; 'accuracy': 0.8211943127962086; 'macro avg': {'precision': 0.8139794517988224; 'recall': 0.6568351759969598; 'f1-score': 0.6849916614702386; 'support': 26375}; 'weighted avg': {'precision': 0.8186741072224772; 'recall': 0.8211943127962086; 'f1-score': 0.7923720945890753; 'support': 26375}},{'0': {'precision': 0.8219954648526077; 'recall': 0.9779676258992805; 'f1-score': 0.893223819301848; 'support': 2224}; '1': {'precision': 0.8274647887323944; 'recall': 0.3328611898016997; 'f1-score': 0.47474747474747475; 'support': 706}; 'accuracy': 0.8225255972696246; 'macro avg': {'precision': 0.824730126792501; 'recall': 0.6554144078504901; 'f1-score': 0.6839856470246614; 'support': 2930}; 'weighted avg': {'precision': 0.823313329241389; 'recall': 0.8225255972696246; 'f1-score': 0.7923895874740707; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [26375, 26375], 'n_partitions': 1}, (mean val acc cv) 0.820713 (+- 0.006667), (mean training time) 1079.684593 (+- 70.610724)
