lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,284,32,35,[8; 9],564,1.018992,0.812500,2,[X4 >= 0.067040 OR X7 < -0.018220],{'0.0': {'precision': 0.9444444444444444; 'recall': 0.3333333333333333; 'f1-score': 0.49275362318840576; 'support': 102}; '1.0': {'precision': 0.7258064516129032; 'recall': 0.989010989010989; 'f1-score': 0.8372093023255814; 'support': 182}; 'accuracy': 0.7535211267605634; 'macro avg': {'precision': 0.8351254480286738; 'recall': 0.6611721611721612; 'f1-score': 0.6649814627569937; 'support': 284}; 'weighted avg': {'precision': 0.8043313645312737; 'recall': 0.7535211267605634; 'f1-score': 0.7134963471425113; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.45454545454545453; 'f1-score': 0.625; 'support': 11}; '1.0': {'precision': 0.7777777777777778; 'recall': 1.0; 'f1-score': 0.8750000000000001; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8888888888888888; 'recall': 0.7272727272727273; 'f1-score': 0.75; 'support': 32}; 'weighted avg': {'precision': 0.8541666666666666; 'recall': 0.8125; 'f1-score': 0.7890625000000001; 'support': 32}}
5,1,CNF,1,284,32,35,[8; 9],564,1.193984,0.625000,1,[X3 >= 0.016310],{'0.0': {'precision': 0.460431654676259; 'recall': 0.6274509803921569; 'f1-score': 0.5311203319502075; 'support': 102}; '1.0': {'precision': 0.7379310344827587; 'recall': 0.5879120879120879; 'f1-score': 0.654434250764526; 'support': 182}; 'accuracy': 0.602112676056338; 'macro avg': {'precision': 0.5991813445795089; 'recall': 0.6076815341521224; 'f1-score': 0.5927772913573668; 'support': 284}; 'weighted avg': {'precision': 0.6382657642705651; 'recall': 0.602112676056338; 'f1-score': 0.6101454489368483; 'support': 284}},{'0.0': {'precision': 0.4666666666666667; 'recall': 0.6363636363636364; 'f1-score': 0.5384615384615385; 'support': 11}; '1.0': {'precision': 0.7647058823529411; 'recall': 0.6190476190476191; 'f1-score': 0.6842105263157895; 'support': 21}; 'accuracy': 0.625; 'macro avg': {'precision': 0.615686274509804; 'recall': 0.6277056277056277; 'f1-score': 0.6113360323886641; 'support': 32}; 'weighted avg': {'precision': 0.6622549019607843; 'recall': 0.625; 'f1-score': 0.6341093117408907; 'support': 32}}
5,1,CNF,2,284,32,35,[8; 9],564,1.142718,0.656250,1,[X3 < 0.496380],{'0.0': {'precision': 0.7428571428571429; 'recall': 0.2549019607843137; 'f1-score': 0.3795620437956204; 'support': 102}; '1.0': {'precision': 0.6947791164658634; 'recall': 0.9505494505494505; 'f1-score': 0.802784222737819; 'support': 182}; 'accuracy': 0.7007042253521126; 'macro avg': {'precision': 0.7188181296615032; 'recall': 0.6027257056668821; 'f1-score': 0.5911731332667197; 'support': 284}; 'weighted avg': {'precision': 0.7120465766486469; 'recall': 0.7007042253521126; 'f1-score': 0.6507818908642125; 'support': 284}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 11}; '1.0': {'precision': 0.65625; 'recall': 1.0; 'f1-score': 0.7924528301886793; 'support': 21}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.328125; 'recall': 0.5; 'f1-score': 0.39622641509433965; 'support': 32}; 'weighted avg': {'precision': 0.4306640625; 'recall': 0.65625; 'f1-score': 0.5200471698113208; 'support': 32}}
5,1,CNF,3,284,32,35,[8; 9],564,1.130313,0.781250,2,[X2 >= 0.600000 OR X6 >= 0.348160],{'0.0': {'precision': 0.7959183673469388; 'recall': 0.38613861386138615; 'f1-score': 0.52; 'support': 101}; '1.0': {'precision': 0.7361702127659574; 'recall': 0.9453551912568307; 'f1-score': 0.8277511961722488; 'support': 183}; 'accuracy': 0.7464788732394366; 'macro avg': {'precision': 0.7660442900564481; 'recall': 0.6657469025591084; 'f1-score': 0.6738755980861244; 'support': 284}; 'weighted avg': {'precision': 0.7574186761908839; 'recall': 0.7464788732394366; 'f1-score': 0.7183044679560617; 'support': 284}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5; 'f1-score': 0.631578947368421; 'support': 12}; '1.0': {'precision': 0.76; 'recall': 0.95; 'f1-score': 0.8444444444444444; 'support': 20}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8085714285714285; 'recall': 0.725; 'f1-score': 0.7380116959064327; 'support': 32}; 'weighted avg': {'precision': 0.7964285714285714; 'recall': 0.78125; 'f1-score': 0.7646198830409356; 'support': 32}}
5,1,CNF,4,284,32,35,[8; 9],564,1.095632,0.718750,1,[X7 >= -0.672730],{'0.0': {'precision': 0.8709677419354839; 'recall': 0.26732673267326734; 'f1-score': 0.4090909090909091; 'support': 101}; '1.0': {'precision': 0.7075098814229249; 'recall': 0.9781420765027322; 'f1-score': 0.8211009174311927; 'support': 183}; 'accuracy': 0.7253521126760564; 'macro avg': {'precision': 0.7892388116792044; 'recall': 0.6227344045879998; 'f1-score': 0.615095913261051; 'support': 284}; 'weighted avg': {'precision': 0.7656410219573209; 'recall': 0.7253521126760564; 'f1-score': 0.6745762313665143; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.25; 'f1-score': 0.4; 'support': 12}; '1.0': {'precision': 0.6896551724137931; 'recall': 1.0; 'f1-score': 0.8163265306122449; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.8448275862068966; 'recall': 0.625; 'f1-score': 0.6081632653061224; 'support': 32}; 'weighted avg': {'precision': 0.8060344827586208; 'recall': 0.71875; 'f1-score': 0.6602040816326531; 'support': 32}}
5,1,CNF,5,284,32,35,[8; 9],564,1.143575,0.468750,2,[X3 >= 0.291670 OR X6 >= 0.728730],{'0.0': {'precision': 0.5567010309278351; 'recall': 0.5346534653465347; 'f1-score': 0.5454545454545455; 'support': 101}; '1.0': {'precision': 0.7486631016042781; 'recall': 0.7650273224043715; 'f1-score': 0.7567567567567568; 'support': 183}; 'accuracy': 0.6830985915492958; 'macro avg': {'precision': 0.6526820662660566; 'recall': 0.6498403938754531; 'f1-score': 0.6511056511056512; 'support': 284}; 'weighted avg': {'precision': 0.6803949004130078; 'recall': 0.6830985915492958; 'f1-score': 0.6816105478077309; 'support': 284}},{'0.0': {'precision': 0.2727272727272727; 'recall': 0.25; 'f1-score': 0.2608695652173913; 'support': 12}; '1.0': {'precision': 0.5714285714285714; 'recall': 0.6; 'f1-score': 0.5853658536585366; 'support': 20}; 'accuracy': 0.46875; 'macro avg': {'precision': 0.42207792207792205; 'recall': 0.425; 'f1-score': 0.4231177094379639; 'support': 32}; 'weighted avg': {'precision': 0.4594155844155844; 'recall': 0.46875; 'f1-score': 0.4636797454931071; 'support': 32}}
5,1,CNF,6,285,31,35,[8; 9],564,1.137874,0.290323,2,[X4 < 0.700190 OR X7 < 0.000000],{'0.0': {'precision': 0.21782178217821782; 'recall': 0.21568627450980393; 'f1-score': 0.21674876847290642; 'support': 102}; '1.0': {'precision': 0.5652173913043478; 'recall': 0.5683060109289617; 'f1-score': 0.5667574931880108; 'support': 183}; 'accuracy': 0.4421052631578947; 'macro avg': {'precision': 0.3915195867412828; 'recall': 0.3919961427193828; 'f1-score': 0.3917531308304586; 'support': 285}; 'weighted avg': {'precision': 0.44088633119604864; 'recall': 0.4421052631578947; 'f1-score': 0.44149121276365766; 'support': 285}},{'0.0': {'precision': 0.13333333333333333; 'recall': 0.18181818181818182; 'f1-score': 0.15384615384615383; 'support': 11}; '1.0': {'precision': 0.4375; 'recall': 0.35; 'f1-score': 0.38888888888888884; 'support': 20}; 'accuracy': 0.2903225806451613; 'macro avg': {'precision': 0.28541666666666665; 'recall': 0.2659090909090909; 'f1-score': 0.27136752136752135; 'support': 31}; 'weighted avg': {'precision': 0.3295698924731183; 'recall': 0.2903225806451613; 'f1-score': 0.30548662806727317; 'support': 31}}
5,1,CNF,7,285,31,35,[8; 9],564,1.137273,0.645161,2,[X2 >= 0.749160 OR X4 < 0.700190],{'0.0': {'precision': 0.5714285714285714; 'recall': 0.19607843137254902; 'f1-score': 0.291970802919708; 'support': 102}; '1.0': {'precision': 0.672; 'recall': 0.9180327868852459; 'f1-score': 0.7759815242494227; 'support': 183}; 'accuracy': 0.6596491228070176; 'macro avg': {'precision': 0.6217142857142857; 'recall': 0.5570556091288975; 'f1-score': 0.5339761635845653; 'support': 285}; 'weighted avg': {'precision': 0.636006015037594; 'recall': 0.6596491228070176; 'f1-score': 0.6027566345103669; 'support': 285}},{'0.0': {'precision': 0.5; 'recall': 0.09090909090909091; 'f1-score': 0.15384615384615385; 'support': 11}; '1.0': {'precision': 0.6551724137931034; 'recall': 0.95; 'f1-score': 0.7755102040816326; 'support': 20}; 'accuracy': 0.6451612903225806; 'macro avg': {'precision': 0.5775862068965517; 'recall': 0.5204545454545454; 'f1-score': 0.46467817896389324; 'support': 31}; 'weighted avg': {'precision': 0.600111234705228; 'recall': 0.6451612903225806; 'f1-score': 0.554919734643237; 'support': 31}}
5,1,CNF,8,285,31,35,[8; 9],564,1.069117,0.870968,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9615384615384616; 'recall': 0.49019607843137253; 'f1-score': 0.6493506493506493; 'support': 102}; '1.0': {'precision': 0.776824034334764; 'recall': 0.9890710382513661; 'f1-score': 0.8701923076923078; 'support': 183}; 'accuracy': 0.8105263157894737; 'macro avg': {'precision': 0.8691812479366128; 'recall': 0.7396335583413693; 'f1-score': 0.7597714785214786; 'support': 285}; 'weighted avg': {'precision': 0.8429323556497714; 'recall': 0.8105263157894737; 'f1-score': 0.7911542404963458; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8181818181818181; 'f1-score': 0.8434343434343434; 'support': 31}; 'weighted avg': {'precision': 0.8924731182795699; 'recall': 0.8709677419354839; 'f1-score': 0.862495927012056; 'support': 31}}
5,1,CNF,9,285,31,35,[8; 9],564,1.120291,0.741935,2,[X2 >= 0.328340 OR X9 < -0.073980],{'0.0': {'precision': 0.851063829787234; 'recall': 0.39215686274509803; 'f1-score': 0.5369127516778522; 'support': 102}; '1.0': {'precision': 0.7394957983193278; 'recall': 0.9617486338797814; 'f1-score': 0.836104513064133; 'support': 183}; 'accuracy': 0.7578947368421053; 'macro avg': {'precision': 0.7952798140532809; 'recall': 0.6769527483124397; 'f1-score': 0.6865086323709926; 'support': 285}; 'weighted avg': {'precision': 0.7794254095815258; 'recall': 0.7578947368421053; 'f1-score': 0.7290253563574641; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.2727272727272727; 'f1-score': 0.42857142857142855; 'support': 11}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.7419354838709677; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6363636363636364; 'f1-score': 0.6309523809523809; 'support': 31}; 'weighted avg': {'precision': 0.815668202764977; 'recall': 0.7419354838709677; 'f1-score': 0.6897081413210445; 'support': 31}}
5,1,CNF,0,284,32,17,[16; 17],564,0.697354,0.781250,3,[X5 < -0.061510 OR X6 >= 0.037590 OR X10 < 0.000000],{'0.0': {'precision': 1.0; 'recall': 0.35294117647058826; 'f1-score': 0.5217391304347826; 'support': 102}; '1.0': {'precision': 0.7338709677419355; 'recall': 1.0; 'f1-score': 0.8465116279069768; 'support': 182}; 'accuracy': 0.7676056338028169; 'macro avg': {'precision': 0.8669354838709677; 'recall': 0.6764705882352942; 'f1-score': 0.6841253791708797; 'support': 284}; 'weighted avg': {'precision': 0.8294525215810995; 'recall': 0.7676056338028169; 'f1-score': 0.7298679844486535; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.75; 'recall': 1.0; 'f1-score': 0.8571428571428571; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.875; 'recall': 0.6818181818181819; 'f1-score': 0.6952380952380952; 'support': 32}; 'weighted avg': {'precision': 0.8359375; 'recall': 0.78125; 'f1-score': 0.7458333333333333; 'support': 32}}
