l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,460,52,57,[8; 9],540,1.651708,0.903846,2,[X0 >= 15.056000 OR X27 >= 0.177540],{'0.0': {'precision': 0.9150326797385621; 'recall': 0.9688581314878892; 'f1-score': 0.9411764705882352; 'support': 289}; '1.0': {'precision': 0.9415584415584416; 'recall': 0.847953216374269; 'f1-score': 0.8923076923076924; 'support': 171}; 'accuracy': 0.9239130434782609; 'macro avg': {'precision': 0.9282955606485018; 'recall': 0.9084056739310791; 'f1-score': 0.9167420814479638; 'support': 460}; 'weighted avg': {'precision': 0.9248933433716042; 'recall': 0.9239130434782609; 'f1-score': 0.923010033444816; 'support': 460}},{'0.0': {'precision': 0.868421052631579; 'recall': 1.0; 'f1-score': 0.9295774647887324; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 0.7368421052631579; 'f1-score': 0.8484848484848484; 'support': 19}; 'accuracy': 0.9038461538461539; 'macro avg': {'precision': 0.9342105263157895; 'recall': 0.868421052631579; 'f1-score': 0.8890311566367903; 'support': 52}; 'weighted avg': {'precision': 0.9164979757085021; 'recall': 0.9038461538461539; 'f1-score': 0.8999474703700054; 'support': 52}}
l: 5,1,CNF,1,460,52,57,[8; 9],540,1.777879,0.923077,3,[X0 >= 15.056000 OR X3 >= 700.660000 OR X4 >= 0.114820],{'0.0': {'precision': 0.8966666666666666; 'recall': 0.9307958477508651; 'f1-score': 0.9134125636672324; 'support': 289}; '1.0': {'precision': 0.875; 'recall': 0.8187134502923976; 'f1-score': 0.8459214501510574; 'support': 171}; 'accuracy': 0.8891304347826087; 'macro avg': {'precision': 0.8858333333333333; 'recall': 0.8747546490216314; 'f1-score': 0.8796670069091449; 'support': 460}; 'weighted avg': {'precision': 0.8886123188405797; 'recall': 0.8891304347826087; 'f1-score': 0.8883234758166544; 'support': 460}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9090909090909091; 'f1-score': 0.9374999999999999; 'support': 33}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.9473684210526315; 'f1-score': 0.9; 'support': 19}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.9124423963133641; 'recall': 0.9282296650717703; 'f1-score': 0.91875; 'support': 52}; 'weighted avg': {'precision': 0.9273307337823467; 'recall': 0.9230769230769231; 'f1-score': 0.9237980769230768; 'support': 52}}
l: 5,1,CNF,2,461,51,57,[8; 9],540,1.688066,0.764706,2,[X5 >= 0.141900 OR X12 >= 2.590800],{'0.0': {'precision': 0.9126984126984127; 'recall': 0.7931034482758621; 'f1-score': 0.8487084870848709; 'support': 290}; '1.0': {'precision': 0.7129186602870813; 'recall': 0.8713450292397661; 'f1-score': 0.7842105263157894; 'support': 171}; 'accuracy': 0.8221258134490239; 'macro avg': {'precision': 0.812808536492747; 'recall': 0.832224238757814; 'f1-score': 0.8164595067003302; 'support': 461}; 'weighted avg': {'precision': 0.8385935587670946; 'recall': 0.8221258134490239; 'f1-score': 0.8247840808126087; 'support': 461}},{'0.0': {'precision': 0.8125; 'recall': 0.8125; 'f1-score': 0.8125; 'support': 32}; '1.0': {'precision': 0.6842105263157895; 'recall': 0.6842105263157895; 'f1-score': 0.6842105263157895; 'support': 19}; 'accuracy': 0.7647058823529411; 'macro avg': {'precision': 0.7483552631578947; 'recall': 0.7483552631578947; 'f1-score': 0.7483552631578947; 'support': 51}; 'weighted avg': {'precision': 0.7647058823529411; 'recall': 0.7647058823529411; 'f1-score': 0.7647058823529411; 'support': 51}}
l: 5,1,CNF,3,461,51,57,[8; 9],540,1.818816,0.901961,1,[X6 >= 0.111920],{'0.0': {'precision': 0.8409785932721713; 'recall': 0.9482758620689655; 'f1-score': 0.8914100486223663; 'support': 290}; '1.0': {'precision': 0.8880597014925373; 'recall': 0.695906432748538; 'f1-score': 0.7803278688524591; 'support': 171}; 'accuracy': 0.8546637744034707; 'macro avg': {'precision': 0.8645191473823544; 'recall': 0.8220911474087518; 'f1-score': 0.8358689587374126; 'support': 461}; 'weighted avg': {'precision': 0.8584425184471878; 'recall': 0.8546637744034707; 'f1-score': 0.8502060296621621; 'support': 461}},{'0.0': {'precision': 0.8857142857142857; 'recall': 0.96875; 'f1-score': 0.9253731343283582; 'support': 32}; '1.0': {'precision': 0.9375; 'recall': 0.7894736842105263; 'f1-score': 0.8571428571428572; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.9116071428571428; 'recall': 0.8791118421052632; 'f1-score': 0.8912579957356077; 'support': 51}; 'weighted avg': {'precision': 0.9050070028011205; 'recall': 0.9019607843137255; 'f1-score': 0.8999540114553285; 'support': 51}}
l: 5,1,CNF,4,461,51,57,[8; 9],540,1.697878,0.803922,1,[X0 >= 13.370000],{'0.0': {'precision': 0.9439655172413793; 'recall': 0.7551724137931034; 'f1-score': 0.8390804597701148; 'support': 290}; '1.0': {'precision': 0.6899563318777293; 'recall': 0.9239766081871345; 'f1-score': 0.79; 'support': 171}; 'accuracy': 0.8177874186550976; 'macro avg': {'precision': 0.8169609245595544; 'recall': 0.8395745109901189; 'f1-score': 0.8145402298850575; 'support': 461}; 'weighted avg': {'precision': 0.8497451903494397; 'recall': 0.8177874186550976; 'f1-score': 0.820874909616775; 'support': 461}},{'0.0': {'precision': 0.9230769230769231; 'recall': 0.75; 'f1-score': 0.8275862068965517; 'support': 32}; '1.0': {'precision': 0.68; 'recall': 0.8947368421052632; 'f1-score': 0.7727272727272727; 'support': 19}; 'accuracy': 0.803921568627451; 'macro avg': {'precision': 0.8015384615384615; 'recall': 0.8223684210526316; 'f1-score': 0.8001567398119123; 'support': 51}; 'weighted avg': {'precision': 0.8325188536953243; 'recall': 0.803921568627451; 'f1-score': 0.8071485647550557; 'support': 51}}
l: 5,1,CNF,5,461,51,57,[8; 9],540,1.706573,0.921569,1,[X20 >= 17.386000],{'0.0': {'precision': 0.8830769230769231; 'recall': 0.9896551724137931; 'f1-score': 0.9333333333333333; 'support': 290}; '1.0': {'precision': 0.9779411764705882; 'recall': 0.7777777777777778; 'f1-score': 0.8664495114006514; 'support': 171}; 'accuracy': 0.911062906724512; 'macro avg': {'precision': 0.9305090497737556; 'recall': 0.8837164750957854; 'f1-score': 0.8998914223669924; 'support': 461}; 'weighted avg': {'precision': 0.9182651819279356; 'recall': 0.911062906724512; 'f1-score': 0.9085239330068939; 'support': 461}},{'0.0': {'precision': 0.8888888888888888; 'recall': 1.0; 'f1-score': 0.9411764705882353; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.7894736842105263; 'f1-score': 0.8823529411764706; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9444444444444444; 'recall': 0.8947368421052632; 'f1-score': 0.9117647058823529; 'support': 51}; 'weighted avg': {'precision': 0.9302832244008714; 'recall': 0.9215686274509803; 'f1-score': 0.9192618223760093; 'support': 51}}
l: 5,1,CNF,6,461,51,57,[8; 9],540,1.706980,0.843137,2,[X0 >= 15.056000 OR X5 >= 0.122420],{'0.0': {'precision': 0.9514925373134329; 'recall': 0.8793103448275862; 'f1-score': 0.9139784946236559; 'support': 290}; '1.0': {'precision': 0.8186528497409327; 'recall': 0.9239766081871345; 'f1-score': 0.8681318681318682; 'support': 171}; 'accuracy': 0.89587852494577; 'macro avg': {'precision': 0.8850726935271828; 'recall': 0.9016434765073603; 'f1-score': 0.8910551813777621; 'support': 461}; 'weighted avg': {'precision': 0.9022179460446746; 'recall': 0.89587852494577; 'f1-score': 0.8969724791570708; 'support': 461}},{'0.0': {'precision': 0.9; 'recall': 0.84375; 'f1-score': 0.870967741935484; 'support': 32}; '1.0': {'precision': 0.7619047619047619; 'recall': 0.8421052631578947; 'f1-score': 0.8; 'support': 19}; 'accuracy': 0.8431372549019608; 'macro avg': {'precision': 0.8309523809523809; 'recall': 0.8429276315789473; 'f1-score': 0.835483870967742; 'support': 51}; 'weighted avg': {'precision': 0.8485527544351075; 'recall': 0.8431372549019608; 'f1-score': 0.8445287792536371; 'support': 51}}
l: 5,1,CNF,7,461,51,57,[8; 9],540,1.744464,0.784314,1,[X0 >= 17.068000],{'0.0': {'precision': 0.7880434782608695; 'recall': 1.0; 'f1-score': 0.8814589665653495; 'support': 290}; '1.0': {'precision': 1.0; 'recall': 0.543859649122807; 'f1-score': 0.7045454545454546; 'support': 171}; 'accuracy': 0.8308026030368764; 'macro avg': {'precision': 0.8940217391304348; 'recall': 0.7719298245614035; 'f1-score': 0.793002210555402; 'support': 461}; 'weighted avg': {'precision': 0.8666650947844948; 'recall': 0.8308026030368764; 'f1-score': 0.815835950176191; 'support': 461}},{'0.0': {'precision': 0.7560975609756098; 'recall': 0.96875; 'f1-score': 0.8493150684931506; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.47368421052631576; 'f1-score': 0.6206896551724138; 'support': 19}; 'accuracy': 0.7843137254901961; 'macro avg': {'precision': 0.828048780487805; 'recall': 0.7212171052631579; 'f1-score': 0.7350023618327822; 'support': 51}; 'weighted avg': {'precision': 0.8097082735533238; 'recall': 0.7843137254901961; 'f1-score': 0.7641408949030722; 'support': 51}}
l: 5,1,CNF,8,461,51,57,[8; 9],540,1.787947,0.882353,2,[X0 >= 15.056000 OR X27 >= 0.177540],{'0.0': {'precision': 0.9183006535947712; 'recall': 0.9689655172413794; 'f1-score': 0.9429530201342282; 'support': 290}; '1.0': {'precision': 0.9419354838709677; 'recall': 0.8538011695906432; 'f1-score': 0.8957055214723926; 'support': 171}; 'accuracy': 0.9262472885032538; 'macro avg': {'precision': 0.9301180687328694; 'recall': 0.9113833434160112; 'f1-score': 0.9193292708033104; 'support': 461}; 'weighted avg': {'precision': 0.9270675863002583; 'recall': 0.9262472885032538; 'f1-score': 0.9254273752943717; 'support': 461}},{'0.0': {'precision': 0.8421052631578947; 'recall': 1.0; 'f1-score': 0.9142857142857143; 'support': 32}; '1.0': {'precision': 1.0; 'recall': 0.6842105263157895; 'f1-score': 0.8125000000000001; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.9210526315789473; 'recall': 0.8421052631578947; 'f1-score': 0.8633928571428572; 'support': 51}; 'weighted avg': {'precision': 0.9009287925696594; 'recall': 0.8823529411764706; 'f1-score': 0.8763655462184875; 'support': 51}}
l: 5,1,CNF,9,461,51,57,[8; 9],540,1.745285,0.921569,1,[X0 >= 14.058000],{'0.0': {'precision': 0.9028776978417267; 'recall': 0.8655172413793103; 'f1-score': 0.8838028169014084; 'support': 290}; '1.0': {'precision': 0.7868852459016393; 'recall': 0.8421052631578947; 'f1-score': 0.8135593220338982; 'support': 171}; 'accuracy': 0.8568329718004338; 'macro avg': {'precision': 0.844881471871683; 'recall': 0.8538112522686025; 'f1-score': 0.8486810694676533; 'support': 461}; 'weighted avg': {'precision': 0.8598522980982235; 'recall': 0.8568329718004338; 'f1-score': 0.8577472038377549; 'support': 461}},{'0.0': {'precision': 0.9666666666666667; 'recall': 0.90625; 'f1-score': 0.9354838709677419; 'support': 32}; '1.0': {'precision': 0.8571428571428571; 'recall': 0.9473684210526315; 'f1-score': 0.9; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9119047619047619; 'recall': 0.9268092105263157; 'f1-score': 0.917741935483871; 'support': 51}; 'weighted avg': {'precision': 0.9258636788048552; 'recall': 0.9215686274509803; 'f1-score': 0.9222643896268184; 'support': 51}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 57}, (mean val acc cv) 0.865045 (+- 0.058075), (mean training time) 1.732560 (+- 0.048903)
