l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,1.112307,0.698113,3,[X2 >= 1.650000 OR X6 >= 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.3898305084745763; 'recall': 0.17164179104477612; 'f1-score': 0.23834196891191708; 'support': 134}; '1.0': {'precision': 0.7286063569682152; 'recall': 0.8922155688622755; 'f1-score': 0.8021534320323015; 'support': 334}; 'accuracy': 0.6858974358974359; 'macro avg': {'precision': 0.5592184327213957; 'recall': 0.5319286799535258; 'f1-score': 0.5202477004721093; 'support': 468}; 'weighted avg': {'precision': 0.631606434536276; 'recall': 0.6858974358974359; 'f1-score': 0.6407202353268923; 'support': 468}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.26666666666666666; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.868421052631579; 'f1-score': 0.8048780487804879; 'support': 38}; 'accuracy': 0.6981132075471698; 'macro avg': {'precision': 0.5972222222222222; 'recall': 0.5675438596491228; 'f1-score': 0.5691056910569106; 'support': 53}; 'weighted avg': {'precision': 0.6635220125786163; 'recall': 0.6981132075471698; 'f1-score': 0.6714219972388403; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],14,1.165654,0.653846,3,[(NOT X1) OR X3 >= 1.250000 OR X6 >= 59.500000],{'0.0': {'precision': 0.4; 'recall': 0.5777777777777777; 'f1-score': 0.4727272727272727; 'support': 135}; '1.0': {'precision': 0.791970802919708; 'recall': 0.6497005988023952; 'f1-score': 0.7138157894736843; 'support': 334}; 'accuracy': 0.6289978678038379; 'macro avg': {'precision': 0.595985401459854; 'recall': 0.6137391882900864; 'f1-score': 0.5932715311004785; 'support': 469}; 'weighted avg': {'precision': 0.6791433863010287; 'recall': 0.6289978678038379; 'f1-score': 0.6444193081074464; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.5714285714285714; 'f1-score': 0.47058823529411764; 'support': 14}; '1.0': {'precision': 0.8125; 'recall': 0.6842105263157895; 'f1-score': 0.742857142857143; 'support': 38}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.60625; 'recall': 0.6278195488721805; 'f1-score': 0.6067226890756303; 'support': 52}; 'weighted avg': {'precision': 0.7014423076923078; 'recall': 0.6538461538461539; 'f1-score': 0.6695539754363284; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],14,1.160441,0.673077,2,[X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.37543859649122807; 'recall': 0.7985074626865671; 'f1-score': 0.5107398568019093; 'support': 134}; '1.0': {'precision': 0.8532608695652174; 'recall': 0.46865671641791046; 'f1-score': 0.6050096339113681; 'support': 335}; 'accuracy': 0.5628997867803838; 'macro avg': {'precision': 0.6143497330282227; 'recall': 0.6335820895522388; 'f1-score': 0.5578747453566386; 'support': 469}; 'weighted avg': {'precision': 0.7167402201155061; 'recall': 0.5628997867803838; 'f1-score': 0.5780754118800941; 'support': 469}},{'0.0': {'precision': 0.46875; 'recall': 1.0; 'f1-score': 0.6382978723404256; 'support': 15}; '1.0': {'precision': 1.0; 'recall': 0.5405405405405406; 'f1-score': 0.7017543859649124; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.734375; 'recall': 0.7702702702702703; 'f1-score': 0.670026129152669; 'support': 52}; 'weighted avg': {'precision': 0.8467548076923077; 'recall': 0.6730769230769231; 'f1-score': 0.6834496224193873; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],14,1.240442,0.692308,6,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5212765957446809; 'recall': 0.3656716417910448; 'f1-score': 0.42982456140350883; 'support': 134}; '1.0': {'precision': 0.7733333333333333; 'recall': 0.8656716417910447; 'f1-score': 0.8169014084507041; 'support': 335}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.6473049645390071; 'recall': 0.6156716417910447; 'f1-score': 0.6233629849271065; 'support': 469}; 'weighted avg': {'precision': 0.7013171225937183; 'recall': 0.7228144989339019; 'f1-score': 0.7063080235800768; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.26666666666666666; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7441860465116279; 'recall': 0.8648648648648649; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5943152454780362; 'recall': 0.5657657657657658; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.6577221228384018; 'recall': 0.6923076923076923; 'f1-score': 0.6653846153846155; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],14,1.187879,0.653846,6,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.524390243902439; 'recall': 0.3208955223880597; 'f1-score': 0.39814814814814814; 'support': 134}; '1.0': {'precision': 0.7648578811369509; 'recall': 0.8835820895522388; 'f1-score': 0.8199445983379502; 'support': 335}; 'accuracy': 0.7228144989339019; 'macro avg': {'precision': 0.644624062519695; 'recall': 0.6022388059701492; 'f1-score': 0.6090463732430491; 'support': 469}; 'weighted avg': {'precision': 0.6961528419270904; 'recall': 0.7228144989339019; 'f1-score': 0.6994313268551496; 'support': 469}},{'0.0': {'precision': 0.38461538461538464; 'recall': 0.3333333333333333; 'f1-score': 0.3571428571428571; 'support': 15}; '1.0': {'precision': 0.7435897435897436; 'recall': 0.7837837837837838; 'f1-score': 0.7631578947368421; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5641025641025641; 'recall': 0.5585585585585585; 'f1-score': 0.5601503759398496; 'support': 52}; 'weighted avg': {'precision': 0.6400394477317555; 'recall': 0.6538461538461539; 'f1-score': 0.6460381723539619; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],14,1.256708,0.711538,3,[X4 >= 211.500000 OR X5 >= 61.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.375; 'recall': 0.06716417910447761; 'f1-score': 0.1139240506329114; 'support': 134}; '1.0': {'precision': 0.7191011235955056; 'recall': 0.9552238805970149; 'f1-score': 0.8205128205128204; 'support': 335}; 'accuracy': 0.7014925373134329; 'macro avg': {'precision': 0.5470505617977528; 'recall': 0.5111940298507462; 'f1-score': 0.4672184355728659; 'support': 469}; 'weighted avg': {'precision': 0.6207865168539326; 'recall': 0.7014925373134329; 'f1-score': 0.6186303148328464; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.13333333333333333; 'f1-score': 0.2105263157894737; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9459459459459459; 'f1-score': 0.8235294117647058; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6145833333333333; 'recall': 0.5396396396396397; 'f1-score': 0.5170278637770898; 'support': 52}; 'weighted avg': {'precision': 0.6630608974358974; 'recall': 0.7115384615384616; 'f1-score': 0.6467015956180042; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],14,1.178987,0.730769,3,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.48295454545454547; 'recall': 0.6343283582089553; 'f1-score': 0.5483870967741936; 'support': 134}; '1.0': {'precision': 0.8327645051194539; 'recall': 0.7283582089552239; 'f1-score': 0.7770700636942675; 'support': 335}; 'accuracy': 0.7014925373134329; 'macro avg': {'precision': 0.6578595252869996; 'recall': 0.6813432835820896; 'f1-score': 0.6627285802342305; 'support': 469}; 'weighted avg': {'precision': 0.7328188023580514; 'recall': 0.7014925373134329; 'f1-score': 0.7117320731456749; 'support': 469}},{'0.0': {'precision': 0.5217391304347826; 'recall': 0.8; 'f1-score': 0.6315789473684211; 'support': 15}; '1.0': {'precision': 0.896551724137931; 'recall': 0.7027027027027027; 'f1-score': 0.787878787878788; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.7091454272863569; 'recall': 0.7513513513513514; 'f1-score': 0.7097288676236045; 'support': 52}; 'weighted avg': {'precision': 0.7884327067235615; 'recall': 0.7307692307692307; 'f1-score': 0.7427922954238745; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],14,1.131131,0.826923,4,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.47619047619047616; 'recall': 0.5970149253731343; 'f1-score': 0.5298013245033112; 'support': 134}; '1.0': {'precision': 0.8205980066445183; 'recall': 0.7373134328358208; 'f1-score': 0.7767295597484277; 'support': 335}; 'accuracy': 0.697228144989339; 'macro avg': {'precision': 0.6483942414174972; 'recall': 0.6671641791044776; 'f1-score': 0.6532654421258695; 'support': 469}; 'weighted avg': {'precision': 0.7221958550862205; 'recall': 0.697228144989339; 'f1-score': 0.7061786353926801; 'support': 469}},{'0.0': {'precision': 0.65; 'recall': 0.8666666666666667; 'f1-score': 0.7428571428571429; 'support': 15}; '1.0': {'precision': 0.9375; 'recall': 0.8108108108108109; 'f1-score': 0.8695652173913043; 'support': 37}; 'accuracy': 0.8269230769230769; 'macro avg': {'precision': 0.79375; 'recall': 0.8387387387387388; 'f1-score': 0.8062111801242235; 'support': 52}; 'weighted avg': {'precision': 0.8545673076923077; 'recall': 0.8269230769230769; 'f1-score': 0.8330148112756809; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],14,1.150350,0.692308,2,[X1 OR X4 >= 211.500000],{'0.0': {'precision': 0.4583333333333333; 'recall': 0.2462686567164179; 'f1-score': 0.3203883495145631; 'support': 134}; '1.0': {'precision': 0.7455919395465995; 'recall': 0.8835820895522388; 'f1-score': 0.8087431693989071; 'support': 335}; 'accuracy': 0.7014925373134329; 'macro avg': {'precision': 0.6019626364399664; 'recall': 0.5649253731343283; 'f1-score': 0.564565759456735; 'support': 469}; 'weighted avg': {'precision': 0.6635180520570949; 'recall': 0.7014925373134329; 'f1-score': 0.6692132208605232; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],14,1.083426,0.711538,3,[(NOT X1) OR X2 >= 1.650000 OR X4 >= 211.500000],{'0.0': {'precision': 0.472; 'recall': 0.44029850746268656; 'f1-score': 0.4555984555984556; 'support': 134}; '1.0': {'precision': 0.7819767441860465; 'recall': 0.8029850746268656; 'f1-score': 0.792341678939617; 'support': 335}; 'accuracy': 0.6993603411513859; 'macro avg': {'precision': 0.6269883720930232; 'recall': 0.6216417910447761; 'f1-score': 0.6239700672690363; 'support': 469}; 'weighted avg': {'precision': 0.6934119601328903; 'recall': 0.6993603411513859; 'f1-score': 0.696129329413571; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.5333333333333333; 'f1-score': 0.5161290322580646; 'support': 15}; '1.0': {'precision': 0.8055555555555556; 'recall': 0.7837837837837838; 'f1-score': 0.7945205479452055; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6527777777777778; 'recall': 0.6585585585585585; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.7174145299145299; 'recall': 0.7115384615384616; 'f1-score': 0.7142153030354533; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.704427 (+- 0.047153), (mean training time) 1.166733 (+- 0.050601)
