lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,468,53,58,[8; 9],14,1.257981,0.716981,3,[X3 >= 1.250000 OR X4 >= 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.4673913043478261; 'recall': 0.6466165413533834; 'f1-score': 0.5425867507886436; 'support': 133}; '1.0': {'precision': 0.8345070422535211; 'recall': 0.7074626865671642; 'f1-score': 0.765751211631664; 'support': 335}; 'accuracy': 0.6901709401709402; 'macro avg': {'precision': 0.6509491733006736; 'recall': 0.6770396139602738; 'f1-score': 0.6541689812101539; 'support': 468}; 'weighted avg': {'precision': 0.7301771423786121; 'recall': 0.6901709401709402; 'f1-score': 0.7023305422040536; 'support': 468}},{'0.0': {'precision': 0.5; 'recall': 0.6; 'f1-score': 0.5454545454545454; 'support': 15}; '1.0': {'precision': 0.8285714285714286; 'recall': 0.7631578947368421; 'f1-score': 0.7945205479452055; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6642857142857144; 'recall': 0.6815789473684211; 'f1-score': 0.6699875466998755; 'support': 53}; 'weighted avg': {'precision': 0.7355795148247979; 'recall': 0.7169811320754716; 'f1-score': 0.7240301698818111; 'support': 53}}
5,1,CNF,1,469,52,58,[8; 9],14,1.121777,0.653846,3,[(NOT X1) OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.36363636363636365; 'recall': 0.5373134328358209; 'f1-score': 0.43373493975903615; 'support': 134}; '1.0': {'precision': 0.7712177121771218; 'recall': 0.6238805970149254; 'f1-score': 0.6897689768976899; 'support': 335}; 'accuracy': 0.5991471215351812; 'macro avg': {'precision': 0.5674270379067428; 'recall': 0.5805970149253732; 'f1-score': 0.561751958328363; 'support': 469}; 'weighted avg': {'precision': 0.6547658983083338; 'recall': 0.5991471215351812; 'f1-score': 0.6166163948580745; 'support': 469}},{'0.0': {'precision': 0.4; 'recall': 0.5714285714285714; 'f1-score': 0.47058823529411764; 'support': 14}; '1.0': {'precision': 0.8125; 'recall': 0.6842105263157895; 'f1-score': 0.742857142857143; 'support': 38}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.60625; 'recall': 0.6278195488721805; 'f1-score': 0.6067226890756303; 'support': 52}; 'weighted avg': {'precision': 0.7014423076923078; 'recall': 0.6538461538461539; 'f1-score': 0.6695539754363284; 'support': 52}}
5,1,CNF,2,469,52,58,[8; 9],14,1.207722,0.673077,3,[X3 >= 1.250000 OR X5 < 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.14285714285714285; 'recall': 0.03731343283582089; 'f1-score': 0.059171597633136085; 'support': 134}; '1.0': {'precision': 0.7027649769585254; 'recall': 0.9104477611940298; 'f1-score': 0.7932379713914175; 'support': 335}; 'accuracy': 0.6609808102345416; 'macro avg': {'precision': 0.4228110599078341; 'recall': 0.47388059701492535; 'f1-score': 0.4262047845122768; 'support': 469}; 'weighted avg': {'precision': 0.5427913100724161; 'recall': 0.6609808102345416; 'f1-score': 0.5835047217461942; 'support': 469}},{'0.0': {'precision': 0.2; 'recall': 0.07142857142857142; 'f1-score': 0.10526315789473682; 'support': 14}; '1.0': {'precision': 0.723404255319149; 'recall': 0.8947368421052632; 'f1-score': 0.8; 'support': 38}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.4617021276595745; 'recall': 0.4830827067669173; 'f1-score': 0.45263157894736844; 'support': 52}; 'weighted avg': {'precision': 0.5824877250409165; 'recall': 0.6730769230769231; 'f1-score': 0.6129554655870446; 'support': 52}}
5,1,CNF,3,469,52,58,[8; 9],14,1.147652,0.692308,4,[(NOT X1) OR X4 < 211.500000 OR X5 >= 61.500000 OR X6 < 59.500000],{'0.0': {'precision': 0.10810810810810811; 'recall': 0.03007518796992481; 'f1-score': 0.047058823529411764; 'support': 133}; '1.0': {'precision': 0.7013888888888888; 'recall': 0.9017857142857143; 'f1-score': 0.7890624999999999; 'support': 336}; 'accuracy': 0.6545842217484008; 'macro avg': {'precision': 0.4047484984984985; 'recall': 0.46593045112781956; 'f1-score': 0.4180606617647058; 'support': 469}; 'weighted avg': {'precision': 0.5331450853838914; 'recall': 0.6545842217484008; 'f1-score': 0.578643546971027; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
5,1,CNF,4,469,52,58,[8; 9],14,1.140562,0.769231,4,[X1 OR X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000],{'0.0': {'precision': 0.43209876543209874; 'recall': 0.2631578947368421; 'f1-score': 0.32710280373831774; 'support': 133}; '1.0': {'precision': 0.7474226804123711; 'recall': 0.8630952380952381; 'f1-score': 0.8011049723756907; 'support': 336}; 'accuracy': 0.6929637526652452; 'macro avg': {'precision': 0.5897607229222349; 'recall': 0.5631265664160401; 'f1-score': 0.5641038880570042; 'support': 469}; 'weighted avg': {'precision': 0.6580024657164729; 'recall': 0.6929637526652452; 'f1-score': 0.6666864469412117; 'support': 469}},{'0.0': {'precision': 0.6363636363636364; 'recall': 0.4666666666666667; 'f1-score': 0.5384615384615385; 'support': 15}; '1.0': {'precision': 0.8048780487804879; 'recall': 0.8918918918918919; 'f1-score': 0.8461538461538461; 'support': 37}; 'accuracy': 0.7692307692307693; 'macro avg': {'precision': 0.7206208425720622; 'recall': 0.6792792792792792; 'f1-score': 0.6923076923076923; 'support': 52}; 'weighted avg': {'precision': 0.7562681221217807; 'recall': 0.7692307692307693; 'f1-score': 0.7573964497041421; 'support': 52}}
5,1,CNF,5,469,52,58,[8; 9],14,1.157749,0.634615,3,[(NOT X1) OR X4 >= 211.500000 OR X5 >= 61.500000],{'0.0': {'precision': 0.4315068493150685; 'recall': 0.47368421052631576; 'f1-score': 0.45161290322580644; 'support': 133}; '1.0': {'precision': 0.7832817337461301; 'recall': 0.7529761904761905; 'f1-score': 0.7678300455235206; 'support': 336}; 'accuracy': 0.673773987206823; 'macro avg': {'precision': 0.6073942915305993; 'recall': 0.6133302005012531; 'f1-score': 0.6097214743746635; 'support': 469}; 'weighted avg': {'precision': 0.6835246769671723; 'recall': 0.673773987206823; 'f1-score': 0.6781565275584972; 'support': 469}},{'0.0': {'precision': 0.375; 'recall': 0.4; 'f1-score': 0.38709677419354843; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.7297297297297297; 'f1-score': 0.7397260273972601; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.5625; 'recall': 0.5648648648648649; 'f1-score': 0.5634114007954043; 'support': 52}; 'weighted avg': {'precision': 0.6418269230769231; 'recall': 0.6346153846153846; 'f1-score': 0.6380060505115741; 'support': 52}}
5,1,CNF,6,469,52,58,[8; 9],14,1.150368,0.596154,5,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 < 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.32727272727272727; 'recall': 0.13533834586466165; 'f1-score': 0.19148936170212763; 'support': 133}; '1.0': {'precision': 0.7222222222222222; 'recall': 0.8898809523809523; 'f1-score': 0.7973333333333333; 'support': 336}; 'accuracy': 0.67590618336887; 'macro avg': {'precision': 0.5247474747474747; 'recall': 0.5126096491228069; 'f1-score': 0.49441134751773047; 'support': 469}; 'weighted avg': {'precision': 0.610221619176843; 'recall': 0.67590618336887; 'f1-score': 0.6255268339155288; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6739130434782609; 'recall': 0.8378378378378378; 'f1-score': 0.746987951807229; 'support': 37}; 'accuracy': 0.5961538461538461; 'macro avg': {'precision': 0.33695652173913043; 'recall': 0.4189189189189189; 'f1-score': 0.3734939759036145; 'support': 52}; 'weighted avg': {'precision': 0.47951505016722407; 'recall': 0.5961538461538461; 'f1-score': 0.5315106580166822; 'support': 52}}
5,1,CNF,7,469,52,58,[8; 9],14,1.141942,0.653846,2,[X1 OR X5 >= 61.500000],{'0.0': {'precision': 0.41836734693877553; 'recall': 0.3082706766917293; 'f1-score': 0.354978354978355; 'support': 133}; '1.0': {'precision': 0.7520215633423181; 'recall': 0.8303571428571429; 'f1-score': 0.7892503536067893; 'support': 336}; 'accuracy': 0.6823027718550106; 'macro avg': {'precision': 0.5851944551405468; 'recall': 0.5693139097744361; 'f1-score': 0.5721143542925722; 'support': 469}; 'weighted avg': {'precision': 0.6574032034666867; 'recall': 0.6823027718550106; 'f1-score': 0.6660985928017109; 'support': 469}},{'0.0': {'precision': 0.36363636363636365; 'recall': 0.26666666666666666; 'f1-score': 0.30769230769230765; 'support': 15}; '1.0': {'precision': 0.7317073170731707; 'recall': 0.8108108108108109; 'f1-score': 0.7692307692307694; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5476718403547671; 'recall': 0.5387387387387388; 'f1-score': 0.5384615384615385; 'support': 52}; 'weighted avg': {'precision': 0.6255330035817841; 'recall': 0.6538461538461539; 'f1-score': 0.636094674556213; 'support': 52}}
5,1,CNF,8,469,52,58,[8; 9],14,1.174338,0.750000,2,[X3 >= 1.250000 OR X4 >= 211.500000],{'0.0': {'precision': 0.4398148148148148; 'recall': 0.7142857142857143; 'f1-score': 0.5444126074498568; 'support': 133}; '1.0': {'precision': 0.849802371541502; 'recall': 0.6398809523809523; 'f1-score': 0.730050933786078; 'support': 336}; 'accuracy': 0.6609808102345416; 'macro avg': {'precision': 0.6448085931781584; 'recall': 0.6770833333333333; 'f1-score': 0.6372317706179673; 'support': 469}; 'weighted avg': {'precision': 0.733537243514531; 'recall': 0.6609808102345416; 'f1-score': 0.677407229302672; 'support': 469}},{'0.0': {'precision': 0.5555555555555556; 'recall': 0.6666666666666666; 'f1-score': 0.606060606060606; 'support': 15}; '1.0': {'precision': 0.8529411764705882; 'recall': 0.7837837837837838; 'f1-score': 0.8169014084507041; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.7042483660130718; 'recall': 0.7252252252252251; 'f1-score': 0.711481007255655; 'support': 52}; 'weighted avg': {'precision': 0.767156862745098; 'recall': 0.75; 'f1-score': 0.7560819462227912; 'support': 52}}
5,1,CNF,9,469,52,58,[8; 9],14,1.098090,0.711538,3,[X2 >= 1.650000 OR X5 >= 61.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.3424657534246575; 'recall': 0.18796992481203006; 'f1-score': 0.24271844660194175; 'support': 133}; '1.0': {'precision': 0.7272727272727273; 'recall': 0.8571428571428571; 'f1-score': 0.7868852459016394; 'support': 336}; 'accuracy': 0.6673773987206824; 'macro avg': {'precision': 0.5348692403486924; 'recall': 0.5225563909774436; 'f1-score': 0.5148018462517906; 'support': 469}; 'weighted avg': {'precision': 0.6181483615546179; 'recall': 0.6673773987206824; 'f1-score': 0.6325692878912773; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.2; 'f1-score': 0.28571428571428575; 'support': 15}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.918918918918919; 'f1-score': 0.8192771084337348; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6195652173913043; 'recall': 0.5594594594594595; 'f1-score': 0.5524956970740103; 'support': 52}; 'weighted avg': {'precision': 0.6701505016722407; 'recall': 0.7115384615384616; 'f1-score': 0.6653647557262014; 'support': 52}}
5,1,CNF,0,468,53,29,[16; 17],14,0.556151,0.716981,4,[X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.4689265536723164; 'recall': 0.6240601503759399; 'f1-score': 0.5354838709677419; 'support': 133}; '1.0': {'precision': 0.8281786941580757; 'recall': 0.7194029850746269; 'f1-score': 0.7699680511182109; 'support': 335}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.648552623915196; 'recall': 0.6717315677252833; 'f1-score': 0.6527259610429763; 'support': 468}; 'weighted avg': {'precision': 0.7260835345755843; 'recall': 0.6923076923076923; 'f1-score': 0.7033304529130561; 'support': 468}},{'0.0': {'precision': 0.5; 'recall': 0.6; 'f1-score': 0.5454545454545454; 'support': 15}; '1.0': {'precision': 0.8285714285714286; 'recall': 0.7631578947368421; 'f1-score': 0.7945205479452055; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6642857142857144; 'recall': 0.6815789473684211; 'f1-score': 0.6699875466998755; 'support': 53}; 'weighted avg': {'precision': 0.7355795148247979; 'recall': 0.7169811320754716; 'f1-score': 0.7240301698818111; 'support': 53}}
