l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],14,1.100890,0.754717,5,[X2 >= 1.650000 OR X3 >= 1.250000 OR X5 >= 61.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4624277456647399; 'recall': 0.6015037593984962; 'f1-score': 0.5228758169934641; 'support': 133}; '1.0': {'precision': 0.8203389830508474; 'recall': 0.7223880597014926; 'f1-score': 0.7682539682539682; 'support': 335}; 'accuracy': 0.688034188034188; 'macro avg': {'precision': 0.6413833643577936; 'recall': 0.6619459095499944; 'f1-score': 0.6455648926237161; 'support': 468}; 'weighted avg': {'precision': 0.7186248920842827; 'recall': 0.688034188034188; 'f1-score': 0.6985204338145513; 'support': 468}},{'0.0': {'precision': 0.5625; 'recall': 0.6; 'f1-score': 0.5806451612903225; 'support': 15}; '1.0': {'precision': 0.8378378378378378; 'recall': 0.8157894736842105; 'f1-score': 0.8266666666666665; 'support': 38}; 'accuracy': 0.7547169811320755; 'macro avg': {'precision': 0.7001689189189189; 'recall': 0.7078947368421052; 'f1-score': 0.7036559139784946; 'support': 53}; 'weighted avg': {'precision': 0.7599120346761856; 'recall': 0.7547169811320755; 'f1-score': 0.7570379387299654; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],14,1.133242,0.826923,4,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5185185185185185; 'recall': 0.5223880597014925; 'f1-score': 0.5204460966542751; 'support': 134}; '1.0': {'precision': 0.8083832335329342; 'recall': 0.8059701492537313; 'f1-score': 0.8071748878923767; 'support': 335}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.6634508760257263; 'recall': 0.664179104477612; 'f1-score': 0.6638104922733259; 'support': 469}; 'weighted avg': {'precision': 0.7255647435288154; 'recall': 0.7249466950959488; 'f1-score': 0.725252376110062; 'support': 469}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.7142857142857143; 'f1-score': 0.689655172413793; 'support': 14}; '1.0': {'precision': 0.8918918918918919; 'recall': 0.868421052631579; 'f1-score': 0.88; 'support': 38}; 'accuracy': 0.8269230769230769; 'macro avg': {'precision': 0.7792792792792793; 'recall': 0.7913533834586466; 'f1-score': 0.7848275862068965; 'support': 52}; 'weighted avg': {'precision': 0.8312543312543313; 'recall': 0.8269230769230769; 'f1-score': 0.8287533156498673; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],14,1.111851,0.673077,4,[(NOT X1) OR X2 >= 1.650000 OR X4 < 211.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.2857142857142857; 'recall': 0.11940298507462686; 'f1-score': 0.16842105263157894; 'support': 134}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.8805970149253731; 'f1-score': 0.7887700534759358; 'support': 335}; 'accuracy': 0.6631130063965884; 'macro avg': {'precision': 0.5; 'recall': 0.5; 'f1-score': 0.47859555305375734; 'support': 469}; 'weighted avg': {'precision': 0.5918367346938775; 'recall': 0.6631130063965884; 'f1-score': 0.6115274818061194; 'support': 469}},{'0.0': {'precision': 0.2; 'recall': 0.07142857142857142; 'f1-score': 0.10526315789473682; 'support': 14}; '1.0': {'precision': 0.723404255319149; 'recall': 0.8947368421052632; 'f1-score': 0.8; 'support': 38}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.4617021276595745; 'recall': 0.4830827067669173; 'f1-score': 0.45263157894736844; 'support': 52}; 'weighted avg': {'precision': 0.5824877250409165; 'recall': 0.6730769230769231; 'f1-score': 0.6129554655870446; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],14,1.143786,0.653846,5,[(NOT X1) OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5; 'recall': 0.3458646616541353; 'f1-score': 0.40888888888888886; 'support': 133}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.8630952380952381; 'f1-score': 0.8134642356241235; 'support': 336}; 'accuracy': 0.7164179104477612; 'macro avg': {'precision': 0.6346153846153846; 'recall': 0.6044799498746867; 'f1-score': 0.6111765622565062; 'support': 469}; 'weighted avg': {'precision': 0.6928817451205511; 'recall': 0.7164179104477612; 'f1-score': 0.6987339134156241; 'support': 469}},{'0.0': {'precision': 0.4117647058823529; 'recall': 0.4666666666666667; 'f1-score': 0.43749999999999994; 'support': 15}; '1.0': {'precision': 0.7714285714285715; 'recall': 0.7297297297297297; 'f1-score': 0.75; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.5915966386554622; 'recall': 0.5981981981981982; 'f1-score': 0.59375; 'support': 52}; 'weighted avg': {'precision': 0.6676793794440853; 'recall': 0.6538461538461539; 'f1-score': 0.6598557692307693; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],14,1.232311,0.615385,4,[(NOT X1) OR X5 >= 61.500000 OR X6 < 59.500000 OR X9 >= 0.895000],{'0.0': {'precision': 0.029411764705882353; 'recall': 0.007518796992481203; 'f1-score': 0.011976047904191616; 'support': 133}; '1.0': {'precision': 0.696551724137931; 'recall': 0.9017857142857143; 'f1-score': 0.7859922178988327; 'support': 336}; 'accuracy': 0.6481876332622601; 'macro avg': {'precision': 0.36298174442190667; 'recall': 0.4546522556390977; 'f1-score': 0.39898413290151213; 'support': 469}; 'weighted avg': {'precision': 0.5073627804183948; 'recall': 0.6481876332622601; 'f1-score': 0.5664950950645314; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6808510638297872; 'recall': 0.8648648648648649; 'f1-score': 0.7619047619047619; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.3404255319148936; 'recall': 0.43243243243243246; 'f1-score': 0.38095238095238093; 'support': 52}; 'weighted avg': {'precision': 0.4844517184942717; 'recall': 0.6153846153846154; 'f1-score': 0.5421245421245421; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],14,1.172954,0.711538,6,[(NOT X1) OR X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000],{'0.0': {'precision': 0.53; 'recall': 0.39849624060150374; 'f1-score': 0.45493562231759654; 'support': 133}; '1.0': {'precision': 0.7831978319783198; 'recall': 0.8601190476190477; 'f1-score': 0.8198581560283689; 'support': 336}; 'accuracy': 0.7292110874200426; 'macro avg': {'precision': 0.6565989159891599; 'recall': 0.6293076441102757; 'f1-score': 0.6373968891729827; 'support': 469}; 'weighted avg': {'precision': 0.7113954617158113; 'recall': 0.7292110874200426; 'f1-score': 0.7163726613939707; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.4; 'f1-score': 0.4444444444444445; 'support': 15}; '1.0': {'precision': 0.775; 'recall': 0.8378378378378378; 'f1-score': 0.8051948051948051; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6375; 'recall': 0.6189189189189189; 'f1-score': 0.6248196248196248; 'support': 52}; 'weighted avg': {'precision': 0.6956730769230769; 'recall': 0.7115384615384616; 'f1-score': 0.7011322011322011; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],14,1.337244,0.730769,5,[X2 >= 1.650000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.5275590551181102; 'recall': 0.5037593984962406; 'f1-score': 0.5153846153846154; 'support': 133}; '1.0': {'precision': 0.8070175438596491; 'recall': 0.8214285714285714; 'f1-score': 0.8141592920353982; 'support': 336}; 'accuracy': 0.7313432835820896; 'macro avg': {'precision': 0.6672882994888796; 'recall': 0.6625939849624061; 'f1-score': 0.6647719537100067; 'support': 469}; 'weighted avg': {'precision': 0.7277681216792126; 'recall': 0.7313432835820896; 'f1-score': 0.7294321449254747; 'support': 469}},{'0.0': {'precision': 0.5333333333333333; 'recall': 0.5333333333333333; 'f1-score': 0.5333333333333333; 'support': 15}; '1.0': {'precision': 0.8108108108108109; 'recall': 0.8108108108108109; 'f1-score': 0.8108108108108109; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6720720720720721; 'recall': 0.6720720720720721; 'f1-score': 0.6720720720720721; 'support': 52}; 'weighted avg': {'precision': 0.7307692307692307; 'recall': 0.7307692307692307; 'f1-score': 0.7307692307692307; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],14,1.252074,0.711538,3,[X4 >= 211.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.4899328859060403; 'recall': 0.5488721804511278; 'f1-score': 0.5177304964539007; 'support': 133}; '1.0': {'precision': 0.8125; 'recall': 0.7738095238095238; 'f1-score': 0.7926829268292684; 'support': 336}; 'accuracy': 0.7100213219616205; 'macro avg': {'precision': 0.6512164429530202; 'recall': 0.6613408521303259; 'f1-score': 0.6552067116415845; 'support': 469}; 'weighted avg': {'precision': 0.7210257437643995; 'recall': 0.7100213219616205; 'f1-score': 0.7147113420959552; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.5333333333333333; 'f1-score': 0.5161290322580646; 'support': 15}; '1.0': {'precision': 0.8055555555555556; 'recall': 0.7837837837837838; 'f1-score': 0.7945205479452055; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6527777777777778; 'recall': 0.6585585585585585; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.7174145299145299; 'recall': 0.7115384615384616; 'f1-score': 0.7142153030354533; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],14,1.247324,0.807692,6,[X2 >= 1.650000 OR X3 >= 1.250000 OR X4 >= 211.500000 OR X5 >= 61.500000 OR X6 >= 59.500000 OR X9 < 0.895000],{'0.0': {'precision': 0.515625; 'recall': 0.49624060150375937; 'f1-score': 0.5057471264367815; 'support': 133}; '1.0': {'precision': 0.8035190615835777; 'recall': 0.8154761904761905; 'f1-score': 0.8094534711964549; 'support': 336}; 'accuracy': 0.7249466950959488; 'macro avg': {'precision': 0.6595720307917888; 'recall': 0.6558583959899749; 'f1-score': 0.6576002988166183; 'support': 469}; 'weighted avg': {'precision': 0.7218774620300258; 'recall': 0.7249466950959488; 'f1-score': 0.7233277913392342; 'support': 469}},{'0.0': {'precision': 0.6923076923076923; 'recall': 0.6; 'f1-score': 0.6428571428571429; 'support': 15}; '1.0': {'precision': 0.8461538461538461; 'recall': 0.8918918918918919; 'f1-score': 0.868421052631579; 'support': 37}; 'accuracy': 0.8076923076923077; 'macro avg': {'precision': 0.7692307692307692; 'recall': 0.7459459459459459; 'f1-score': 0.755639097744361; 'support': 52}; 'weighted avg': {'precision': 0.8017751479289941; 'recall': 0.8076923076923077; 'f1-score': 0.8033545401966455; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],14,1.257427,0.615385,2,[X2 >= 1.650000 OR X6 >= 59.500000],{'0.0': {'precision': 0.4472573839662447; 'recall': 0.7969924812030075; 'f1-score': 0.572972972972973; 'support': 133}; '1.0': {'precision': 0.8836206896551724; 'recall': 0.6101190476190477; 'f1-score': 0.721830985915493; 'support': 336}; 'accuracy': 0.6631130063965884; 'macro avg': {'precision': 0.6654390368107086; 'recall': 0.7035557644110275; 'f1-score': 0.647401979444233; 'support': 469}; 'weighted avg': {'precision': 0.7598758716239838; 'recall': 0.6631130063965884; 'f1-score': 0.679617519558659; 'support': 469}},{'0.0': {'precision': 0.41935483870967744; 'recall': 0.8666666666666667; 'f1-score': 0.5652173913043478; 'support': 15}; '1.0': {'precision': 0.9047619047619048; 'recall': 0.5135135135135135; 'f1-score': 0.6551724137931034; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.6620583717357911; 'recall': 0.6900900900900901; 'f1-score': 0.6101949025487257; 'support': 52}; 'weighted avg': {'precision': 0.7647406357083776; 'recall': 0.6153846153846154; 'f1-score': 0.6292238496136547; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.710087 (+- 0.069333), (mean training time) 1.198910 (+- 0.073524)
