l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,284,32,1,[284; 284],564,180.674398,0.781250,1,[X26 < 1.000000],{'0.0': {'precision': 0.8648648648648649; 'recall': 0.6274509803921569; 'f1-score': 0.7272727272727273; 'support': 102}; '1.0': {'precision': 0.819047619047619; 'recall': 0.945054945054945; 'f1-score': 0.8775510204081632; 'support': 182}; 'accuracy': 0.8309859154929577; 'macro avg': {'precision': 0.841956241956242; 'recall': 0.7862529627235509; 'f1-score': 0.8024118738404453; 'support': 284}; 'weighted avg': {'precision': 0.8355031087425454; 'recall': 0.8309859154929577; 'f1-score': 0.8235778306200842; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.45454545454545453; 'f1-score': 0.5882352941176471; 'support': 11}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.9523809523809523; 'f1-score': 0.8510638297872339; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8012820512820513; 'recall': 0.7034632034632035; 'f1-score': 0.7196495619524406; 'support': 32}; 'weighted avg': {'precision': 0.7912660256410257; 'recall': 0.78125; 'f1-score': 0.7607165206508135; 'support': 32}}
l: 5,1,CNF,1,284,32,1,[284; 284],564,418.329139,0.718750,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9682539682539683; 'recall': 0.5980392156862745; 'f1-score': 0.7393939393939394; 'support': 102}; '1.0': {'precision': 0.8144796380090498; 'recall': 0.989010989010989; 'f1-score': 0.8933002481389579; 'support': 182}; 'accuracy': 0.8485915492957746; 'macro avg': {'precision': 0.891366803131509; 'recall': 0.7935251023486318; 'f1-score': 0.8163470937664487; 'support': 284}; 'weighted avg': {'precision': 0.8697084467589852; 'recall': 0.8485915492957746; 'f1-score': 0.8380240386601132; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.7; 'recall': 1.0; 'f1-score': 0.8235294117647058; 'support': 21}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.85; 'recall': 0.5909090909090909; 'f1-score': 0.5656108597285068; 'support': 32}; 'weighted avg': {'precision': 0.803125; 'recall': 0.71875; 'f1-score': 0.6462104072398189; 'support': 32}}
l: 5,1,CNF,2,284,32,1,[284; 284],564,195.534401,0.781250,1,[X26 < 1.000000],{'0.0': {'precision': 0.8857142857142857; 'recall': 0.6078431372549019; 'f1-score': 0.7209302325581395; 'support': 102}; '1.0': {'precision': 0.8130841121495327; 'recall': 0.9560439560439561; 'f1-score': 0.8787878787878788; 'support': 182}; 'accuracy': 0.8309859154929577; 'macro avg': {'precision': 0.8493991989319092; 'recall': 0.781943546649429; 'f1-score': 0.7998590556730092; 'support': 284}; 'weighted avg': {'precision': 0.8391695970213805; 'recall': 0.8309859154929577; 'f1-score': 0.8220925269729724; 'support': 284}},{'0.0': {'precision': 0.7; 'recall': 0.6363636363636364; 'f1-score': 0.6666666666666666; 'support': 11}; '1.0': {'precision': 0.8181818181818182; 'recall': 0.8571428571428571; 'f1-score': 0.8372093023255814; 'support': 21}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.759090909090909; 'recall': 0.7467532467532467; 'f1-score': 0.751937984496124; 'support': 32}; 'weighted avg': {'precision': 0.7775568181818182; 'recall': 0.78125; 'f1-score': 0.7785852713178294; 'support': 32}}
l: 5,1,CNF,3,284,32,1,[284; 284],564,156.619772,0.812500,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9661016949152542; 'recall': 0.5643564356435643; 'f1-score': 0.7125; 'support': 101}; '1.0': {'precision': 0.8044444444444444; 'recall': 0.9890710382513661; 'f1-score': 0.8872549019607843; 'support': 183}; 'accuracy': 0.8380281690140845; 'macro avg': {'precision': 0.8852730696798493; 'recall': 0.7767137369474653; 'f1-score': 0.7998774509803921; 'support': 284}; 'weighted avg': {'precision': 0.8619352271823029; 'recall': 0.8380281690140845; 'f1-score': 0.8251061516155758; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.5; 'f1-score': 0.6666666666666666; 'support': 12}; '1.0': {'precision': 0.7692307692307693; 'recall': 1.0; 'f1-score': 0.8695652173913044; 'support': 20}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8846153846153846; 'recall': 0.75; 'f1-score': 0.7681159420289856; 'support': 32}; 'weighted avg': {'precision': 0.8557692307692308; 'recall': 0.8125; 'f1-score': 0.7934782608695653; 'support': 32}}
l: 5,1,CNF,4,284,32,1,[284; 284],564,271.981018,0.718750,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9833333333333333; 'recall': 0.5841584158415841; 'f1-score': 0.732919254658385; 'support': 101}; '1.0': {'precision': 0.8125; 'recall': 0.994535519125683; 'f1-score': 0.8943488943488943; 'support': 183}; 'accuracy': 0.8485915492957746; 'macro avg': {'precision': 0.8979166666666667; 'recall': 0.7893469674836335; 'f1-score': 0.8136340745036397; 'support': 284}; 'weighted avg': {'precision': 0.8732541079812206; 'recall': 0.8485915492957746; 'f1-score': 0.8369390576983963; 'support': 284}},{'0.0': {'precision': 0.8; 'recall': 0.3333333333333333; 'f1-score': 0.47058823529411764; 'support': 12}; '1.0': {'precision': 0.7037037037037037; 'recall': 0.95; 'f1-score': 0.8085106382978724; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7518518518518519; 'recall': 0.6416666666666666; 'f1-score': 0.6395494367959951; 'support': 32}; 'weighted avg': {'precision': 0.7398148148148149; 'recall': 0.71875; 'f1-score': 0.6817897371714643; 'support': 32}}
l: 5,1,CNF,5,284,32,1,[284; 284],564,159.550958,0.781250,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9827586206896551; 'recall': 0.5643564356435643; 'f1-score': 0.7169811320754716; 'support': 101}; '1.0': {'precision': 0.8053097345132744; 'recall': 0.994535519125683; 'f1-score': 0.8899755501222495; 'support': 183}; 'accuracy': 0.8415492957746479; 'macro avg': {'precision': 0.8940341776014648; 'recall': 0.7794459773846236; 'f1-score': 0.8034783410988606; 'support': 284}; 'weighted avg': {'precision': 0.8684165567098041; 'recall': 0.8415492957746479; 'f1-score': 0.8284528873661772; 'support': 284}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5; 'f1-score': 0.631578947368421; 'support': 12}; '1.0': {'precision': 0.76; 'recall': 0.95; 'f1-score': 0.8444444444444444; 'support': 20}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.8085714285714285; 'recall': 0.725; 'f1-score': 0.7380116959064327; 'support': 32}; 'weighted avg': {'precision': 0.7964285714285714; 'recall': 0.78125; 'f1-score': 0.7646198830409356; 'support': 32}}
l: 5,1,CNF,6,285,31,1,[285; 285],564,360.761241,0.903226,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9649122807017544; 'recall': 0.5392156862745098; 'f1-score': 0.6918238993710691; 'support': 102}; '1.0': {'precision': 0.793859649122807; 'recall': 0.9890710382513661; 'f1-score': 0.8807785888077859; 'support': 183}; 'accuracy': 0.8280701754385965; 'macro avg': {'precision': 0.8793859649122807; 'recall': 0.7641433622629379; 'f1-score': 0.7863012440894275; 'support': 285}; 'weighted avg': {'precision': 0.855078485687904; 'recall': 0.8280701754385965; 'f1-score': 0.8131526999567504; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.7272727272727273; 'f1-score': 0.8421052631578948; 'support': 11}; '1.0': {'precision': 0.8695652173913043; 'recall': 1.0; 'f1-score': 0.9302325581395349; 'support': 20}; 'accuracy': 0.9032258064516129; 'macro avg': {'precision': 0.9347826086956521; 'recall': 0.8636363636363636; 'f1-score': 0.8861689106487148; 'support': 31}; 'weighted avg': {'precision': 0.9158485273492286; 'recall': 0.9032258064516129; 'f1-score': 0.8989615825008884; 'support': 31}}
l: 5,1,CNF,7,285,31,1,[285; 285],564,212.436782,0.806452,2,[X5 >= 0.222800 OR X20 >= 0.162450],{'0.0': {'precision': 0.9193548387096774; 'recall': 0.5588235294117647; 'f1-score': 0.6951219512195123; 'support': 102}; '1.0': {'precision': 0.7982062780269058; 'recall': 0.9726775956284153; 'f1-score': 0.876847290640394; 'support': 183}; 'accuracy': 0.8245614035087719; 'macro avg': {'precision': 0.8587805583682916; 'recall': 0.76575056252009; 'f1-score': 0.7859846209299531; 'support': 285}; 'weighted avg': {'precision': 0.8415647102712661; 'recall': 0.8245614035087719; 'f1-score': 0.8118087481108153; 'support': 285}},{'0.0': {'precision': 0.8571428571428571; 'recall': 0.5454545454545454; 'f1-score': 0.6666666666666665; 'support': 11}; '1.0': {'precision': 0.7916666666666666; 'recall': 0.95; 'f1-score': 0.8636363636363635; 'support': 20}; 'accuracy': 0.8064516129032258; 'macro avg': {'precision': 0.8244047619047619; 'recall': 0.7477272727272727; 'f1-score': 0.765151515151515; 'support': 31}; 'weighted avg': {'precision': 0.8149001536098309; 'recall': 0.8064516129032258; 'f1-score': 0.7937438905180839; 'support': 31}}
l: 5,1,CNF,8,285,31,1,[285; 285],564,661.554624,0.870968,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9655172413793104; 'recall': 0.5490196078431373; 'f1-score': 0.7000000000000002; 'support': 102}; '1.0': {'precision': 0.7973568281938326; 'recall': 0.9890710382513661; 'f1-score': 0.8829268292682927; 'support': 183}; 'accuracy': 0.8315789473684211; 'macro avg': {'precision': 0.8814370347865714; 'recall': 0.7690453230472517; 'f1-score': 0.7914634146341464; 'support': 285}; 'weighted avg': {'precision': 0.8575405550181089; 'recall': 0.8315789473684211; 'f1-score': 0.8174582798459564; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.8333333333333334; 'recall': 1.0; 'f1-score': 0.9090909090909091; 'support': 20}; 'accuracy': 0.8709677419354839; 'macro avg': {'precision': 0.9166666666666667; 'recall': 0.8181818181818181; 'f1-score': 0.8434343434343434; 'support': 31}; 'weighted avg': {'precision': 0.8924731182795699; 'recall': 0.8709677419354839; 'f1-score': 0.862495927012056; 'support': 31}}
l: 5,1,CNF,9,285,31,1,[285; 285],564,946.762152,0.838710,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9661016949152542; 'recall': 0.5588235294117647; 'f1-score': 0.7080745341614907; 'support': 102}; '1.0': {'precision': 0.8008849557522124; 'recall': 0.9890710382513661; 'f1-score': 0.8850855745721272; 'support': 183}; 'accuracy': 0.8350877192982457; 'macro avg': {'precision': 0.8834933253337334; 'recall': 0.7739472838315654; 'f1-score': 0.7965800543668089; 'support': 285}; 'weighted avg': {'precision': 0.86001515713688; 'recall': 0.8350877192982457; 'f1-score': 0.8217342548462152; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.5454545454545454; 'f1-score': 0.7058823529411764; 'support': 11}; '1.0': {'precision': 0.8; 'recall': 1.0; 'f1-score': 0.888888888888889; 'support': 20}; 'accuracy': 0.8387096774193549; 'macro avg': {'precision': 0.9; 'recall': 0.7727272727272727; 'f1-score': 0.7973856209150327; 'support': 31}; 'weighted avg': {'precision': 0.8709677419354839; 'recall': 0.8387096774193549; 'f1-score': 0.8239510858106684; 'support': 31}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [285, 285], 'n_partitions': 1}, (mean val acc cv) 0.801310 (+- 0.056240), (mean training time) 356.420448 (+- 246.733041)
