lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,284,32,35,[8; 9],564,1.146441,0.687500,2,[X2 >= 0.749160 OR X3 >= 0.016310],{'0.0': {'precision': 0.68; 'recall': 0.5; 'f1-score': 0.576271186440678; 'support': 102}; '1.0': {'precision': 0.7559808612440191; 'recall': 0.8681318681318682; 'f1-score': 0.8081841432225064; 'support': 182}; 'accuracy': 0.7359154929577465; 'macro avg': {'precision': 0.7179904306220095; 'recall': 0.6840659340659341; 'f1-score': 0.6922276648315921; 'support': 284}; 'weighted avg': {'precision': 0.7286919603746883; 'recall': 0.7359154929577465; 'f1-score': 0.7248914615614273; 'support': 284}},{'0.0': {'precision': 0.5714285714285714; 'recall': 0.36363636363636365; 'f1-score': 0.4444444444444444; 'support': 11}; '1.0': {'precision': 0.72; 'recall': 0.8571428571428571; 'f1-score': 0.782608695652174; 'support': 21}; 'accuracy': 0.6875; 'macro avg': {'precision': 0.6457142857142857; 'recall': 0.6103896103896104; 'f1-score': 0.6135265700483092; 'support': 32}; 'weighted avg': {'precision': 0.6689285714285714; 'recall': 0.6875; 'f1-score': 0.6663647342995169; 'support': 32}}
5,1,CNF,1,284,32,35,[8; 9],564,1.217303,0.656250,1,[X5 >= 0.000000],{'0.0': {'precision': 0.2988505747126437; 'recall': 0.2549019607843137; 'f1-score': 0.2751322751322751; 'support': 102}; '1.0': {'precision': 0.6142131979695431; 'recall': 0.6648351648351648; 'f1-score': 0.6385224274406331; 'support': 182}; 'accuracy': 0.5176056338028169; 'macro avg': {'precision': 0.45653188634109343; 'recall': 0.45986856280973926; 'f1-score': 0.45682735128645413; 'support': 284}; 'weighted avg': {'precision': 0.5009491572223468; 'recall': 0.5176056338028169; 'f1-score': 0.5080090628791807; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.36363636363636365; 'f1-score': 0.4210526315789474; 'support': 11}; '1.0': {'precision': 0.7083333333333334; 'recall': 0.8095238095238095; 'f1-score': 0.7555555555555556; 'support': 21}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.6041666666666667; 'recall': 0.5865800865800865; 'f1-score': 0.5883040935672516; 'support': 32}; 'weighted avg': {'precision': 0.63671875; 'recall': 0.65625; 'f1-score': 0.6405701754385966; 'support': 32}}
5,1,CNF,2,284,32,35,[8; 9],564,1.291015,0.875000,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9649122807017544; 'recall': 0.5392156862745098; 'f1-score': 0.6918238993710691; 'support': 102}; '1.0': {'precision': 0.7929515418502202; 'recall': 0.989010989010989; 'f1-score': 0.8801955990220048; 'support': 182}; 'accuracy': 0.8274647887323944; 'macro avg': {'precision': 0.8789319112759872; 'recall': 0.7641133376427494; 'f1-score': 0.786009749196537; 'support': 284}; 'weighted avg': {'precision': 0.8547120889025318; 'recall': 0.8274647887323944; 'f1-score': 0.8125409744994856; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.6363636363636364; 'f1-score': 0.7777777777777778; 'support': 11}; '1.0': {'precision': 0.84; 'recall': 1.0; 'f1-score': 0.9130434782608696; 'support': 21}; 'accuracy': 0.875; 'macro avg': {'precision': 0.9199999999999999; 'recall': 0.8181818181818181; 'f1-score': 0.8454106280193237; 'support': 32}; 'weighted avg': {'precision': 0.895; 'recall': 0.875; 'f1-score': 0.8665458937198067; 'support': 32}}
5,1,CNF,3,284,32,35,[8; 9],564,1.333712,0.500000,2,[X7 < -0.018220 OR X18 < -0.128080],{'0.0': {'precision': 0.3288590604026846; 'recall': 0.48514851485148514; 'f1-score': 0.392; 'support': 101}; '1.0': {'precision': 0.6148148148148148; 'recall': 0.453551912568306; 'f1-score': 0.5220125786163522; 'support': 183}; 'accuracy': 0.4647887323943662; 'macro avg': {'precision': 0.4718369376087497; 'recall': 0.4693502137098956; 'f1-score': 0.4570062893081761; 'support': 284}; 'weighted avg': {'precision': 0.5131192824358529; 'recall': 0.4647887323943662; 'f1-score': 0.4757757108689875; 'support': 284}},{'0.0': {'precision': 0.375; 'recall': 0.5; 'f1-score': 0.42857142857142855; 'support': 12}; '1.0': {'precision': 0.625; 'recall': 0.5; 'f1-score': 0.5555555555555556; 'support': 20}; 'accuracy': 0.5; 'macro avg': {'precision': 0.5; 'recall': 0.5; 'f1-score': 0.4920634920634921; 'support': 32}; 'weighted avg': {'precision': 0.53125; 'recall': 0.5; 'f1-score': 0.5079365079365079; 'support': 32}}
5,1,CNF,4,284,32,35,[8; 9],564,1.315581,0.781250,1,[X2 >= 0.328340],{'0.0': {'precision': 0.8909090909090909; 'recall': 0.48514851485148514; 'f1-score': 0.6282051282051282; 'support': 101}; '1.0': {'precision': 0.7729257641921398; 'recall': 0.9672131147540983; 'f1-score': 0.8592233009708738; 'support': 183}; 'accuracy': 0.795774647887324; 'macro avg': {'precision': 0.8319174275506154; 'recall': 0.7261808148027917; 'f1-score': 0.743714214588001; 'support': 284}; 'weighted avg': {'precision': 0.8148846233414779; 'recall': 0.795774647887324; 'f1-score': 0.7770654296703798; 'support': 284}},{'0.0': {'precision': 0.7777777777777778; 'recall': 0.5833333333333334; 'f1-score': 0.6666666666666666; 'support': 12}; '1.0': {'precision': 0.782608695652174; 'recall': 0.9; 'f1-score': 0.8372093023255814; 'support': 20}; 'accuracy': 0.78125; 'macro avg': {'precision': 0.7801932367149759; 'recall': 0.7416666666666667; 'f1-score': 0.751937984496124; 'support': 32}; 'weighted avg': {'precision': 0.7807971014492754; 'recall': 0.78125; 'f1-score': 0.7732558139534884; 'support': 32}}
5,1,CNF,5,284,32,35,[8; 9],564,1.335952,0.750000,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9827586206896551; 'recall': 0.5643564356435643; 'f1-score': 0.7169811320754716; 'support': 101}; '1.0': {'precision': 0.8053097345132744; 'recall': 0.994535519125683; 'f1-score': 0.8899755501222495; 'support': 183}; 'accuracy': 0.8415492957746479; 'macro avg': {'precision': 0.8940341776014648; 'recall': 0.7794459773846236; 'f1-score': 0.8034783410988606; 'support': 284}; 'weighted avg': {'precision': 0.8684165567098041; 'recall': 0.8415492957746479; 'f1-score': 0.8284528873661772; 'support': 284}},{'0.0': {'precision': 0.8333333333333334; 'recall': 0.4166666666666667; 'f1-score': 0.5555555555555556; 'support': 12}; '1.0': {'precision': 0.7307692307692307; 'recall': 0.95; 'f1-score': 0.8260869565217392; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.782051282051282; 'recall': 0.6833333333333333; 'f1-score': 0.6908212560386474; 'support': 32}; 'weighted avg': {'precision': 0.7692307692307692; 'recall': 0.75; 'f1-score': 0.7246376811594204; 'support': 32}}
5,1,CNF,6,285,31,35,[8; 9],564,1.309132,0.483871,2,[X3 < 0.136450 OR X13 < -0.127380],{'0.0': {'precision': 0.3; 'recall': 0.20588235294117646; 'f1-score': 0.2441860465116279; 'support': 102}; '1.0': {'precision': 0.6232558139534884; 'recall': 0.73224043715847; 'f1-score': 0.6733668341708543; 'support': 183}; 'accuracy': 0.543859649122807; 'macro avg': {'precision': 0.46162790697674416; 'recall': 0.46906139504982325; 'f1-score': 0.4587764403412411; 'support': 285}; 'weighted avg': {'precision': 0.5075642594859241; 'recall': 0.543859649122807; 'f1-score': 0.519765289113868; 'support': 285}},{'0.0': {'precision': 0.2222222222222222; 'recall': 0.18181818181818182; 'f1-score': 0.19999999999999998; 'support': 11}; '1.0': {'precision': 0.5909090909090909; 'recall': 0.65; 'f1-score': 0.6190476190476191; 'support': 20}; 'accuracy': 0.4838709677419355; 'macro avg': {'precision': 0.4065656565656566; 'recall': 0.4159090909090909; 'f1-score': 0.4095238095238095; 'support': 31}; 'weighted avg': {'precision': 0.4600847181492343; 'recall': 0.4838709677419355; 'f1-score': 0.4703533026113671; 'support': 31}}
5,1,CNF,7,285,31,35,[8; 9],564,1.356706,0.774194,1,[X2 >= 0.328340],{'0.0': {'precision': 0.8666666666666667; 'recall': 0.5098039215686274; 'f1-score': 0.6419753086419753; 'support': 102}; '1.0': {'precision': 0.7777777777777778; 'recall': 0.9562841530054644; 'f1-score': 0.857843137254902; 'support': 183}; 'accuracy': 0.7964912280701755; 'macro avg': {'precision': 0.8222222222222222; 'recall': 0.7330440372870459; 'f1-score': 0.7499092229484386; 'support': 285}; 'weighted avg': {'precision': 0.8095906432748539; 'recall': 0.7964912280701755; 'f1-score': 0.7805851775408019; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.6818181818181819; 'f1-score': 0.6921985815602837; 'support': 31}; 'weighted avg': {'precision': 0.8327359617682197; 'recall': 0.7741935483870968; 'f1-score': 0.738320750400366; 'support': 31}}
5,1,CNF,8,285,31,35,[8; 9],564,1.441856,0.903226,1,[X4 >= 0.067040],{'0.0': {'precision': 0.9642857142857143; 'recall': 0.5294117647058824; 'f1-score': 0.6835443037974683; 'support': 102}; '1.0': {'precision': 0.7903930131004366; 'recall': 0.9890710382513661; 'f1-score': 0.8786407766990291; 'support': 183}; 'accuracy': 0.8245614035087719; 'macro avg': {'precision': 0.8773393636930755; 'recall': 0.7592414014786242; 'f1-score': 0.7810925402482487; 'support': 285}; 'weighted avg': {'precision': 0.8526282956299045; 'recall': 0.8245614035087719; 'f1-score': 0.8088167758711021; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.7272727272727273; 'f1-score': 0.8421052631578948; 'support': 11}; '1.0': {'precision': 0.8695652173913043; 'recall': 1.0; 'f1-score': 0.9302325581395349; 'support': 20}; 'accuracy': 0.9032258064516129; 'macro avg': {'precision': 0.9347826086956521; 'recall': 0.8636363636363636; 'f1-score': 0.8861689106487148; 'support': 31}; 'weighted avg': {'precision': 0.9158485273492286; 'recall': 0.9032258064516129; 'f1-score': 0.8989615825008884; 'support': 31}}
5,1,CNF,9,285,31,35,[8; 9],564,1.339636,0.580645,2,[X9 >= 0.018290 OR X19 < 0.000000],{'0.0': {'precision': 0.5194805194805194; 'recall': 0.39215686274509803; 'f1-score': 0.446927374301676; 'support': 102}; '1.0': {'precision': 0.7019230769230769; 'recall': 0.7978142076502732; 'f1-score': 0.7468030690537084; 'support': 183}; 'accuracy': 0.6526315789473685; 'macro avg': {'precision': 0.6107017982017982; 'recall': 0.5949855351976856; 'f1-score': 0.5968652216776922; 'support': 285}; 'weighted avg': {'precision': 0.6366278458383721; 'recall': 0.6526315789473685; 'f1-score': 0.6394791361950863; 'support': 285}},{'0.0': {'precision': 0.4; 'recall': 0.36363636363636365; 'f1-score': 0.380952380952381; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 0.7; 'f1-score': 0.6829268292682926; 'support': 20}; 'accuracy': 0.5806451612903226; 'macro avg': {'precision': 0.5333333333333333; 'recall': 0.5318181818181817; 'f1-score': 0.5319396051103368; 'support': 31}; 'weighted avg': {'precision': 0.5720430107526882; 'recall': 0.5806451612903226; 'f1-score': 0.575774605672324; 'support': 31}}
5,1,CNF,0,284,32,17,[16; 17],564,0.812791,0.906250,1,[X6 >= 0.037590],{'0.0': {'precision': 0.9482758620689655; 'recall': 0.5392156862745098; 'f1-score': 0.6875; 'support': 102}; '1.0': {'precision': 0.7920353982300885; 'recall': 0.9835164835164835; 'f1-score': 0.877450980392157; 'support': 182}; 'accuracy': 0.823943661971831; 'macro avg': {'precision': 0.870155630149527; 'recall': 0.7613660848954966; 'f1-score': 0.7824754901960784; 'support': 284}; 'weighted avg': {'precision': 0.8481499310172909; 'recall': 0.823943661971831; 'f1-score': 0.8092291494062415; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.7272727272727273; 'f1-score': 0.8421052631578948; 'support': 11}; '1.0': {'precision': 0.875; 'recall': 1.0; 'f1-score': 0.9333333333333333; 'support': 21}; 'accuracy': 0.90625; 'macro avg': {'precision': 0.9375; 'recall': 0.8636363636363636; 'f1-score': 0.8877192982456141; 'support': 32}; 'weighted avg': {'precision': 0.91796875; 'recall': 0.90625; 'f1-score': 0.9019736842105264; 'support': 32}}
