lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,26374,2931,1,[26374; 26374],262,1015.257374,0.779939,3,[X3 == 10 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.7938669094520775; 'recall': 0.9580482445188033; 'f1-score': 0.8682644216624799; 'support': 20023}; '1': {'precision': 0.6199095022624435; 'recall': 0.21571406077783026; 'f1-score': 0.32005606821632987; 'support': 6351}; 'accuracy': 0.7792902100553576; 'macro avg': {'precision': 0.7068882058572605; 'recall': 0.5868811526483168; 'f1-score': 0.5941602449394049; 'support': 26374}; 'weighted avg': {'precision': 0.7519770371133588; 'recall': 0.7792902100553576; 'f1-score': 0.736252923492445; 'support': 26374}},{'0': {'precision': 0.7974397590361446; 'recall': 0.9519101123595506; 'f1-score': 0.8678549477566073; 'support': 2225}; '1': {'precision': 0.610909090909091; 'recall': 0.23796033994334279; 'f1-score': 0.3425076452599388; 'support': 706}; 'accuracy': 0.7799385875127943; 'macro avg': {'precision': 0.7041744249726178; 'recall': 0.5949352261514467; 'f1-score': 0.605181296508273; 'support': 2931}; 'weighted avg': {'precision': 0.7525094786889254; 'recall': 0.7799385875127943; 'f1-score': 0.7413127452446155; 'support': 2931}}
5,1,CNF,1,26374,2931,1,[26374; 26374],262,1013.088176,0.782327,4,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 20],{'0': {'precision': 0.7940944718616514; 'recall': 0.9563002547070869; 'f1-score': 0.8676817110748596; 'support': 20023}; '1': {'precision': 0.6130030959752322; 'recall': 0.21823334907888522; 'f1-score': 0.32187645146307475; 'support': 6351}; 'accuracy': 0.778569803594449; 'macro avg': {'precision': 0.7035487839184418; 'recall': 0.5872668018929861; 'f1-score': 0.5947790812689672; 'support': 26374}; 'weighted avg': {'precision': 0.7504867017754056; 'recall': 0.778569803594449; 'f1-score': 0.736248890729275; 'support': 26374}},{'0': {'precision': 0.7966355140186916; 'recall': 0.957752808988764; 'f1-score': 0.8697959183673469; 'support': 2225}; '1': {'precision': 0.6328125; 'recall': 0.22946175637393768; 'f1-score': 0.3367983367983369; 'support': 706}; 'accuracy': 0.7823268509041282; 'macro avg': {'precision': 0.7147240070093458; 'recall': 0.5936072826813509; 'f1-score': 0.6032971275828419; 'support': 2931}; 'weighted avg': {'precision': 0.75717490402306; 'recall': 0.7823268509041282; 'f1-score': 0.7414109669556372; 'support': 2931}}
5,1,CNF,2,26374,2931,1,[26374; 26374],262,1013.759824,0.779256,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10 OR X13 == 18 OR X13 == 37],{'0': {'precision': 0.7942800215848242; 'recall': 0.9556510013484493; 'f1-score': 0.8675250487373624; 'support': 20023}; '1': {'precision': 0.6110381077529566; 'recall': 0.21965044874822862; 'f1-score': 0.32314107018763033; 'support': 6351}; 'accuracy': 0.778418139076363; 'macro avg': {'precision': 0.7026590646688904; 'recall': 0.5876507250483389; 'f1-score': 0.5953330594624964; 'support': 26374}; 'weighted avg': {'precision': 0.7501543904804718; 'recall': 0.778418139076363; 'f1-score': 0.7364344804591586; 'support': 26374}},{'0': {'precision': 0.7941834451901566; 'recall': 0.9573033707865168; 'f1-score': 0.8681475443244345; 'support': 2225}; '1': {'precision': 0.6184738955823293; 'recall': 0.21813031161473087; 'f1-score': 0.3225130890052356; 'support': 706}; 'accuracy': 0.7792562265438417; 'macro avg': {'precision': 0.706328670386243; 'recall': 0.5877168412006238; 'f1-score': 0.595330316664835; 'support': 2931}; 'weighted avg': {'precision': 0.7518596846909665; 'recall': 0.7792562265438417; 'f1-score': 0.7367187058886261; 'support': 2931}}
5,1,CNF,3,26374,2931,1,[26374; 26374],262,1016.007368,0.778574,4,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1],{'0': {'precision': 0.7944677145108447; 'recall': 0.9567497378015283; 'f1-score': 0.868089541417437; 'support': 20023}; '1': {'precision': 0.616983635559487; 'recall': 0.21965044874822862; 'f1-score': 0.3239665582907571; 'support': 6351}; 'accuracy': 0.7792522939258361; 'macro avg': {'precision': 0.7057256750351659; 'recall': 0.5882000932748784; 'f1-score': 0.5960280498540971; 'support': 26374}; 'weighted avg': {'precision': 0.7517286007844448; 'recall': 0.7792522939258361; 'f1-score': 0.7370618222304519; 'support': 26374}},{'0': {'precision': 0.7933730454207; 'recall': 0.957752808988764; 'f1-score': 0.8678476888617389; 'support': 2225}; '1': {'precision': 0.6163265306122448; 'recall': 0.21388101983002833; 'f1-score': 0.31756046267087273; 'support': 706}; 'accuracy': 0.7785738655748892; 'macro avg': {'precision': 0.7048497880164724; 'recall': 0.5858169144093962; 'f1-score': 0.5927040757663058; 'support': 2931}; 'weighted avg': {'precision': 0.750727245538486; 'recall': 0.7785738655748892; 'f1-score': 0.7352981215841028; 'support': 2931}}
5,1,CNF,4,26374,2931,1,[26374; 26374],262,1011.202688,0.775503,3,[X3 == 10 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.7943673638434459; 'recall': 0.9578984168206562; 'f1-score': 0.8685020829559862; 'support': 20023}; '1': {'precision': 0.6218034993270525; 'recall': 0.21823334907888522; 'f1-score': 0.3230769230769231; 'support': 6351}; 'accuracy': 0.779783119739137; 'macro avg': {'precision': 0.7080854315852492; 'recall': 0.5880658829497707; 'f1-score': 0.5957895030164546; 'support': 26374}; 'weighted avg': {'precision': 0.7528130640199979; 'recall': 0.779783119739137; 'f1-score': 0.7371607926552382; 'support': 26374}},{'0': {'precision': 0.7928971962616822; 'recall': 0.9532584269662921; 'f1-score': 0.8657142857142857; 'support': 2225}; '1': {'precision': 0.59375; 'recall': 0.21529745042492918; 'f1-score': 0.31600831600831597; 'support': 706}; 'accuracy': 0.7755032412146026; 'macro avg': {'precision': 0.6933235981308411; 'recall': 0.5842779386956106; 'f1-score': 0.5908613008613008; 'support': 2931}; 'weighted avg': {'precision': 0.7449279296084077; 'recall': 0.7755032412146026; 'f1-score': 0.7333047276752497; 'support': 2931}}
5,1,CNF,5,26375,2930,1,[26375; 26375],262,1034.935502,0.776109,3,[X3 == 10 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.7947165429436404; 'recall': 0.9570493931978225; 'f1-score': 0.8683614283124886; 'support': 20023}; '1': {'precision': 0.6198054818744474; 'recall': 0.22071788413098237; 'f1-score': 0.3255166008822847; 'support': 6352}; 'accuracy': 0.7797156398104266; 'macro avg': {'precision': 0.7072610124090439; 'recall': 0.5888836386644024; 'f1-score': 0.5969390145973866; 'support': 26375}; 'weighted avg': {'precision': 0.7525919909090807; 'recall': 0.7797156398104266; 'f1-score': 0.7376258702523312; 'support': 26375}},{'0': {'precision': 0.7898042113040266; 'recall': 0.9608988764044943; 'f1-score': 0.8669910786699108; 'support': 2225}; '1': {'precision': 0.6098654708520179; 'recall': 0.19290780141843972; 'f1-score': 0.29310344827586204; 'support': 705}; 'accuracy': 0.7761092150170649; 'macro avg': {'precision': 0.6998348410780222; 'recall': 0.5769033389114671; 'f1-score': 0.5800472634728864; 'support': 2930}; 'weighted avg': {'precision': 0.7465083710246183; 'recall': 0.7761092150170649; 'f1-score': 0.7289054884215134; 'support': 2930}}
5,1,CNF,6,26375,2930,1,[26375; 26375],262,1026.692516,0.787031,4,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X13 == 10],{'0': {'precision': 0.7936363259725733; 'recall': 0.9566997952354792; 'f1-score': 0.867572463768116; 'support': 20023}; '1': {'precision': 0.6126005361930295; 'recall': 0.2158375314861461; 'f1-score': 0.3192083818393481; 'support': 6352}; 'accuracy': 0.7782748815165876; 'macro avg': {'precision': 0.7031184310828014; 'recall': 0.5862686633608126; 'f1-score': 0.5933904228037321; 'support': 26375}; 'weighted avg': {'precision': 0.7500367302690789; 'recall': 0.7782748815165876; 'f1-score': 0.7355076808899536; 'support': 26375}},{'0': {'precision': 0.800375234521576; 'recall': 0.9586516853932584; 'f1-score': 0.8723926380368097; 'support': 2225}; '1': {'precision': 0.6528301886792452; 'recall': 0.2453900709219858; 'f1-score': 0.356701030927835; 'support': 705}; 'accuracy': 0.7870307167235495; 'macro avg': {'precision': 0.7266027116004106; 'recall': 0.6020208781576221; 'f1-score': 0.6145468344823224; 'support': 2930}; 'weighted avg': {'precision': 0.7648737815117318; 'recall': 0.7870307167235495; 'f1-score': 0.7483098452000086; 'support': 2930}}
5,1,CNF,7,26375,2930,1,[26375; 26375],262,1023.017460,0.775427,3,[X3 == 10 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.7944893308473172; 'recall': 0.957648703990411; 'f1-score': 0.8684723039992754; 'support': 20023}; '1': {'precision': 0.6214285714285714; 'recall': 0.21914357682619648; 'f1-score': 0.32402234636871513; 'support': 6352}; 'accuracy': 0.7797914691943127; 'macro avg': {'precision': 0.7079589511379443; 'recall': 0.5883961404083038; 'f1-score': 0.5962473251839953; 'support': 26375}; 'weighted avg': {'precision': 0.7528103945884405; 'recall': 0.7797914691943127; 'f1-score': 0.7373501758146568; 'support': 26375}},{'0': {'precision': 0.791806331471136; 'recall': 0.9555056179775281; 'f1-score': 0.8659877800407333; 'support': 2225}; '1': {'precision': 0.5959183673469388; 'recall': 0.20709219858156028; 'f1-score': 0.3073684210526316; 'support': 705}; 'accuracy': 0.7754266211604095; 'macro avg': {'precision': 0.6938623494090375; 'recall': 0.5812989082795442; 'f1-score': 0.5866781005466825; 'support': 2930}; 'weighted avg': {'precision': 0.7446728793525152; 'recall': 0.7754266211604095; 'f1-score': 0.7315759547552003; 'support': 2930}}
5,1,CNF,8,26375,2930,1,[26375; 26375],262,1011.837514,0.778840,6,[X3 == 10 OR X3 == 12 OR X3 == 14 OR X5 == 1 OR X13 == 34 OR X13 == 41],{'0': {'precision': 0.7946684383174853; 'recall': 0.9557530962844587; 'f1-score': 0.8677987621012537; 'support': 20024}; '1': {'precision': 0.6134380453752182; 'recall': 0.2213824594552039; 'f1-score': 0.3253499942149716; 'support': 6351}; 'accuracy': 0.7789194312796208; 'macro avg': {'precision': 0.7040532418463518; 'recall': 0.5885677778698313; 'f1-score': 0.5965743781581127; 'support': 26375}; 'weighted avg': {'precision': 0.7510288468264393; 'recall': 0.7789194312796208; 'f1-score': 0.7371791554720298; 'support': 26375}},{'0': {'precision': 0.7929368029739777; 'recall': 0.9590827338129496; 'f1-score': 0.868131868131868; 'support': 2224}; '1': {'precision': 0.6208333333333333; 'recall': 0.21104815864022664; 'f1-score': 0.3150105708245243; 'support': 706}; 'accuracy': 0.778839590443686; 'macro avg': {'precision': 0.7068850681536556; 'recall': 0.5850654462265881; 'f1-score': 0.5915712194781961; 'support': 2930}; 'weighted avg': {'precision': 0.7514675027807031; 'recall': 0.778839590443686; 'f1-score': 0.7348541766987676; 'support': 2930}}
5,1,CNF,9,26375,2930,1,[26375; 26375],262,1011.421624,0.776451,4,[X1 == 5 OR X3 == 10 OR X3 == 12 OR X3 == 14],{'0': {'precision': 0.8033424517011455; 'recall': 0.9386236516180583; 'f1-score': 0.8657300783049287; 'support': 20024}; '1': {'precision': 0.5874454514937899; 'recall': 0.27554715792788537; 'f1-score': 0.37513397642015; 'support': 6351}; 'accuracy': 0.778957345971564; 'macro avg': {'precision': 0.6953939515974676; 'recall': 0.6070854047729718; 'f1-score': 0.6204320273625393; 'support': 26375}; 'weighted avg': {'precision': 0.7513552726180397; 'recall': 0.778957345971564; 'f1-score': 0.747596397051081; 'support': 26375}},{'0': {'precision': 0.8020793222949557; 'recall': 0.9366007194244604; 'f1-score': 0.8641360713544908; 'support': 2224}; '1': {'precision': 0.5765765765765766; 'recall': 0.2719546742209632; 'f1-score': 0.36958614051973054; 'support': 706}; 'accuracy': 0.7764505119453925; 'macro avg': {'precision': 0.6893279494357661; 'recall': 0.6042776968227118; 'f1-score': 0.6168611059371106; 'support': 2930}; 'weighted avg': {'precision': 0.747743165818104; 'recall': 0.7764505119453925; 'f1-score': 0.7449714805117124; 'support': 2930}}
5,1,DNF,0,26374,2931,1,[26374; 26374],262,1008.716657,0.763903,25,[X0 < 58.000000 AND X0 >= 41.000000 AND X1 != 0 AND X1 != 6 AND X2 < 158662.000000 AND X2 >= 106648.000000 AND X3 != 5 AND X3 != 7 AND X3 != 8 AND X6 != 1 AND X6 != 3 AND X6 != 4 AND X6 != 5 AND X6 != 6 AND X6 != 7 AND X6 != 8 AND X6 != 11 AND X6 != 12 AND X6 != 13 AND X6 != 14 AND X7 != 1 AND X7 != 2 AND X7 != 3 AND X7 != 4 AND X13 != 19],{'0': {'precision': 0.7631508678237651; 'recall': 0.9991509763771662; 'f1-score': 0.8653488472684805; 'support': 20023}; '1': {'precision': 0.8930817610062893; 'recall': 0.022358683671862698; 'f1-score': 0.04362519201228879; 'support': 6351}; 'accuracy': 0.7639341775991507; 'macro avg': {'precision': 0.8281163144150272; 'recall': 0.5107548300245145; 'f1-score': 0.4544870196403846; 'support': 26374}; 'weighted avg': {'precision': 0.7944389205500186; 'recall': 0.7639341775991507; 'f1-score': 0.6674734042362489; 'support': 26374}},{'0': {'precision': 0.76295025728988; 'recall': 0.9995505617977528; 'f1-score': 0.8653696498054475; 'support': 2225}; '1': {'precision': 0.9375; 'recall': 0.021246458923512748; 'f1-score': 0.04155124653739613; 'support': 706}; 'accuracy': 0.7639031047424087; 'macro avg': {'precision': 0.85022512864494; 'recall': 0.5103985103606328; 'f1-score': 0.45346044817142184; 'support': 2931}; 'weighted avg': {'precision': 0.8049946511327134; 'recall': 0.7639031047424087; 'f1-score': 0.6669336918705296; 'support': 2931}}
