lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,284,32,35,[8; 9],564,1.033669,0.625000,1,[X3 < 0.496380],{'0.0': {'precision': 0.7741935483870968; 'recall': 0.23300970873786409; 'f1-score': 0.3582089552238806; 'support': 103}; '1.0': {'precision': 0.6877470355731226; 'recall': 0.9613259668508287; 'f1-score': 0.8018433179723503; 'support': 181}; 'accuracy': 0.6971830985915493; 'macro avg': {'precision': 0.7309702919801097; 'recall': 0.5971678377943463; 'f1-score': 0.5800261365981154; 'support': 284}; 'weighted avg': {'precision': 0.7190991159246696; 'recall': 0.6971830985915493; 'f1-score': 0.6409477568347012; 'support': 284}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.09090909090909091; 'f1-score': 0.14285714285714288; 'support': 11}; '1.0': {'precision': 0.6551724137931034; 'recall': 0.9047619047619048; 'f1-score': 0.7599999999999999; 'support': 21}; 'accuracy': 0.625; 'macro avg': {'precision': 0.49425287356321834; 'recall': 0.49783549783549785; 'f1-score': 0.4514285714285714; 'support': 32}; 'weighted avg': {'precision': 0.5445402298850575; 'recall': 0.625; 'f1-score': 0.5478571428571428; 'support': 32}}
5,1,CNF,1,284,32,35,[8; 9],564,1.096502,0.656250,1,[X5 < 0.485900],{'0.0': {'precision': 0.39655172413793105; 'recall': 0.22330097087378642; 'f1-score': 0.28571428571428575; 'support': 103}; '1.0': {'precision': 0.6460176991150443; 'recall': 0.8066298342541437; 'f1-score': 0.7174447174447174; 'support': 181}; 'accuracy': 0.5950704225352113; 'macro avg': {'precision': 0.5212847116264876; 'recall': 0.5149654025639651; 'f1-score': 0.5015795015795016; 'support': 284}; 'weighted avg': {'precision': 0.5555423631198236; 'recall': 0.5950704225352113; 'f1-score': 0.5608664270636101; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.2727272727272727; 'f1-score': 0.3529411764705882; 'support': 11}; '1.0': {'precision': 0.6923076923076923; 'recall': 0.8571428571428571; 'f1-score': 0.7659574468085107; 'support': 21}; 'accuracy': 0.65625; 'macro avg': {'precision': 0.5961538461538461; 'recall': 0.5649350649350648; 'f1-score': 0.5594493116395495; 'support': 32}; 'weighted avg': {'precision': 0.6262019230769231; 'recall': 0.65625; 'f1-score': 0.6239831038798499; 'support': 32}}
5,1,CNF,2,284,32,35,[8; 9],564,1.253590,0.625000,2,[X4 < 0.981220 OR X26 < 0.838990],{'0.0': {'precision': 0.559322033898305; 'recall': 0.3235294117647059; 'f1-score': 0.40993788819875776; 'support': 102}; '1.0': {'precision': 0.6933333333333334; 'recall': 0.8571428571428571; 'f1-score': 0.7665847665847666; 'support': 182}; 'accuracy': 0.6654929577464789; 'macro avg': {'precision': 0.6263276836158191; 'recall': 0.5903361344537815; 'f1-score': 0.5882613273917622; 'support': 284}; 'weighted avg': {'precision': 0.6452025145221613; 'recall': 0.6654929577464789; 'f1-score': 0.638493282094017; 'support': 284}},{'0.0': {'precision': 0.5; 'recall': 0.16666666666666666; 'f1-score': 0.25; 'support': 12}; '1.0': {'precision': 0.6428571428571429; 'recall': 0.9; 'f1-score': 0.75; 'support': 20}; 'accuracy': 0.625; 'macro avg': {'precision': 0.5714285714285714; 'recall': 0.5333333333333333; 'f1-score': 0.5; 'support': 32}; 'weighted avg': {'precision': 0.5892857142857143; 'recall': 0.625; 'f1-score': 0.5625; 'support': 32}}
5,1,CNF,3,284,32,35,[8; 9],564,0.998149,0.843750,1,[X2 >= 0.328340],{'0.0': {'precision': 0.8793103448275862; 'recall': 0.5; 'f1-score': 0.6375; 'support': 102}; '1.0': {'precision': 0.7743362831858407; 'recall': 0.9615384615384616; 'f1-score': 0.857843137254902; 'support': 182}; 'accuracy': 0.795774647887324; 'macro avg': {'precision': 0.8268233140067134; 'recall': 0.7307692307692308; 'f1-score': 0.747671568627451; 'support': 284}; 'weighted avg': {'precision': 0.8120382349022421; 'recall': 0.795774647887324; 'f1-score': 0.7787058133112399; 'support': 284}},{'0.0': {'precision': 0.8888888888888888; 'recall': 0.6666666666666666; 'f1-score': 0.761904761904762; 'support': 12}; '1.0': {'precision': 0.8260869565217391; 'recall': 0.95; 'f1-score': 0.8837209302325583; 'support': 20}; 'accuracy': 0.84375; 'macro avg': {'precision': 0.857487922705314; 'recall': 0.8083333333333333; 'f1-score': 0.8228128460686601; 'support': 32}; 'weighted avg': {'precision': 0.8496376811594202; 'recall': 0.84375; 'f1-score': 0.8380398671096347; 'support': 32}}
5,1,CNF,4,284,32,35,[8; 9],564,1.110507,0.750000,1,[X2 >= 0.328340],{'0.0': {'precision': 0.873015873015873; 'recall': 0.5392156862745098; 'f1-score': 0.6666666666666666; 'support': 102}; '1.0': {'precision': 0.7873303167420814; 'recall': 0.9560439560439561; 'f1-score': 0.8635235732009926; 'support': 182}; 'accuracy': 0.8063380281690141; 'macro avg': {'precision': 0.8301730948789772; 'recall': 0.7476298211592329; 'f1-score': 0.7650951199338296; 'support': 284}; 'weighted avg': {'precision': 0.818104706671401; 'recall': 0.8063380281690141; 'f1-score': 0.7928214447978191; 'support': 284}},{'0.0': {'precision': 1.0; 'recall': 0.3333333333333333; 'f1-score': 0.5; 'support': 12}; '1.0': {'precision': 0.7142857142857143; 'recall': 1.0; 'f1-score': 0.8333333333333333; 'support': 20}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8571428571428572; 'recall': 0.6666666666666666; 'f1-score': 0.6666666666666666; 'support': 32}; 'weighted avg': {'precision': 0.8214285714285714; 'recall': 0.75; 'f1-score': 0.7083333333333333; 'support': 32}}
5,1,CNF,5,284,32,35,[8; 9],564,1.090141,0.718750,1,[X3 < 0.136450],{'0.0': {'precision': 0.32941176470588235; 'recall': 0.27450980392156865; 'f1-score': 0.2994652406417112; 'support': 102}; '1.0': {'precision': 0.628140703517588; 'recall': 0.6868131868131868; 'f1-score': 0.6561679790026247; 'support': 182}; 'accuracy': 0.5387323943661971; 'macro avg': {'precision': 0.4787762341117352; 'recall': 0.48066149536737773; 'f1-score': 0.47781660982216795; 'support': 284}; 'weighted avg': {'precision': 0.5208507325359191; 'recall': 0.5387323943661971; 'f1-score': 0.528056432126522; 'support': 284}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.5; 'f1-score': 0.5714285714285715; 'support': 12}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.85; 'f1-score': 0.7906976744186046; 'support': 20}; 'accuracy': 0.71875; 'macro avg': {'precision': 0.7028985507246377; 'recall': 0.675; 'f1-score': 0.6810631229235881; 'support': 32}; 'weighted avg': {'precision': 0.7119565217391304; 'recall': 0.71875; 'f1-score': 0.7084717607973422; 'support': 32}}
5,1,CNF,6,285,31,35,[8; 9],564,1.068036,0.580645,1,[X13 >= 0.030270],{'0.0': {'precision': 0.45255474452554745; 'recall': 0.6019417475728155; 'f1-score': 0.5166666666666667; 'support': 103}; '1.0': {'precision': 0.722972972972973; 'recall': 0.5879120879120879; 'f1-score': 0.6484848484848486; 'support': 182}; 'accuracy': 0.5929824561403508; 'macro avg': {'precision': 0.5877638587492602; 'recall': 0.5949269177424517; 'f1-score': 0.5825757575757576; 'support': 285}; 'weighted avg': {'precision': 0.6252428763761841; 'recall': 0.5929824561403508; 'f1-score': 0.6008452950558214; 'support': 285}},{'0.0': {'precision': 0.4375; 'recall': 0.6363636363636364; 'f1-score': 0.5185185185185185; 'support': 11}; '1.0': {'precision': 0.7333333333333333; 'recall': 0.55; 'f1-score': 0.6285714285714286; 'support': 20}; 'accuracy': 0.5806451612903226; 'macro avg': {'precision': 0.5854166666666667; 'recall': 0.5931818181818183; 'f1-score': 0.5735449735449736; 'support': 31}; 'weighted avg': {'precision': 0.6283602150537634; 'recall': 0.5806451612903226; 'f1-score': 0.5895203959720089; 'support': 31}}
5,1,CNF,7,285,31,35,[8; 9],564,1.144406,0.677419,1,[X5 >= -0.227030],{'0.0': {'precision': 0.896551724137931; 'recall': 0.2524271844660194; 'f1-score': 0.393939393939394; 'support': 103}; '1.0': {'precision': 0.69921875; 'recall': 0.9835164835164835; 'f1-score': 0.8173515981735159; 'support': 182}; 'accuracy': 0.7192982456140351; 'macro avg': {'precision': 0.7978852370689655; 'recall': 0.6179718339912514; 'f1-score': 0.6056454960564549; 'support': 285}; 'weighted avg': {'precision': 0.7705355792498488; 'recall': 0.7192982456140351; 'f1-score': 0.6643289419064473; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.09090909090909091; 'f1-score': 0.16666666666666669; 'support': 11}; '1.0': {'precision': 0.6666666666666666; 'recall': 1.0; 'f1-score': 0.8; 'support': 20}; 'accuracy': 0.6774193548387096; 'macro avg': {'precision': 0.8333333333333333; 'recall': 0.5454545454545454; 'f1-score': 0.4833333333333334; 'support': 31}; 'weighted avg': {'precision': 0.7849462365591398; 'recall': 0.6774193548387096; 'f1-score': 0.575268817204301; 'support': 31}}
5,1,CNF,8,285,31,35,[8; 9],564,1.157096,0.774194,2,[X2 >= 0.328340 OR X5 >= 0.022800],{'0.0': {'precision': 0.9459459459459459; 'recall': 0.33980582524271846; 'f1-score': 0.5; 'support': 103}; '1.0': {'precision': 0.7258064516129032; 'recall': 0.989010989010989; 'f1-score': 0.8372093023255814; 'support': 182}; 'accuracy': 0.7543859649122807; 'macro avg': {'precision': 0.8358761987794245; 'recall': 0.6644084071268538; 'f1-score': 0.6686046511627908; 'support': 285}; 'weighted avg': {'precision': 0.8053656372841431; 'recall': 0.7543859649122807; 'f1-score': 0.7153406772745818; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.36363636363636365; 'f1-score': 0.5333333333333333; 'support': 11}; '1.0': {'precision': 0.7407407407407407; 'recall': 1.0; 'f1-score': 0.851063829787234; 'support': 20}; 'accuracy': 0.7741935483870968; 'macro avg': {'precision': 0.8703703703703703; 'recall': 0.6818181818181819; 'f1-score': 0.6921985815602837; 'support': 31}; 'weighted avg': {'precision': 0.8327359617682197; 'recall': 0.7741935483870968; 'f1-score': 0.738320750400366; 'support': 31}}
5,1,CNF,9,285,31,35,[8; 9],564,1.259830,0.709677,1,[X0],{'0.0': {'precision': 1.0; 'recall': 0.32038834951456313; 'f1-score': 0.4852941176470588; 'support': 103}; '1.0': {'precision': 0.7222222222222222; 'recall': 1.0; 'f1-score': 0.8387096774193548; 'support': 182}; 'accuracy': 0.7543859649122807; 'macro avg': {'precision': 0.8611111111111112; 'recall': 0.6601941747572816; 'f1-score': 0.6620018975332068; 'support': 285}; 'weighted avg': {'precision': 0.8226120857699805; 'recall': 0.7543859649122807; 'f1-score': 0.7109840540630513; 'support': 285}},{'0.0': {'precision': 1.0; 'recall': 0.18181818181818182; 'f1-score': 0.3076923076923077; 'support': 11}; '1.0': {'precision': 0.6896551724137931; 'recall': 1.0; 'f1-score': 0.8163265306122449; 'support': 20}; 'accuracy': 0.7096774193548387; 'macro avg': {'precision': 0.8448275862068966; 'recall': 0.5909090909090909; 'f1-score': 0.5620094191522763; 'support': 31}; 'weighted avg': {'precision': 0.799777530589544; 'recall': 0.7096774193548387; 'f1-score': 0.6358434192535575; 'support': 31}}
5,1,CNF,0,284,32,17,[16; 17],564,0.823435,0.812500,2,[X3 >= 0.016310 OR X7 < -0.018220],{'0.0': {'precision': 0.5384615384615384; 'recall': 0.4077669902912621; 'f1-score': 0.4640883977900553; 'support': 103}; '1.0': {'precision': 0.7038834951456311; 'recall': 0.8011049723756906; 'f1-score': 0.7493540051679586; 'support': 181}; 'accuracy': 0.6584507042253521; 'macro avg': {'precision': 0.6211725168035848; 'recall': 0.6044359813334763; 'f1-score': 0.6067212014790069; 'support': 284}; 'weighted avg': {'precision': 0.6438889122637242; 'recall': 0.6584507042253521; 'f1-score': 0.6458949996752683; 'support': 284}},{'0.0': {'precision': 0.7777777777777778; 'recall': 0.6363636363636364; 'f1-score': 0.7000000000000001; 'support': 11}; '1.0': {'precision': 0.8260869565217391; 'recall': 0.9047619047619048; 'f1-score': 0.8636363636363636; 'support': 21}; 'accuracy': 0.8125; 'macro avg': {'precision': 0.8019323671497585; 'recall': 0.7705627705627706; 'f1-score': 0.7818181818181819; 'support': 32}; 'weighted avg': {'precision': 0.8094806763285025; 'recall': 0.8125; 'f1-score': 0.8073863636363636; 'support': 32}}
