lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
5,1,CNF,0,460,52,57,[8; 9],122,1.179993,0.923077,2,[X13 >= 31.285000 OR X22 >= 117.450000],{'0.0': {'precision': 0.9187279151943463; 'recall': 0.8996539792387543; 'f1-score': 0.9090909090909092; 'support': 289}; '1.0': {'precision': 0.8361581920903954; 'recall': 0.8654970760233918; 'f1-score': 0.8505747126436781; 'support': 171}; 'accuracy': 0.8869565217391304; 'macro avg': {'precision': 0.8774430536423709; 'recall': 0.882575527631073; 'f1-score': 0.8798328108672937; 'support': 460}; 'weighted avg': {'precision': 0.8880335181274429; 'recall': 0.8869565217391304; 'f1-score': 0.8873381491072646; 'support': 460}},{'0.0': {'precision': 0.9375; 'recall': 0.9375; 'f1-score': 0.9375; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9; 'f1-score': 0.9; 'support': 20}; 'accuracy': 0.9230769230769231; 'macro avg': {'precision': 0.91875; 'recall': 0.91875; 'f1-score': 0.91875; 'support': 52}; 'weighted avg': {'precision': 0.9230769230769231; 'recall': 0.9230769230769231; 'f1-score': 0.9230769230769231; 'support': 52}}
5,1,CNF,1,460,52,57,[8; 9],122,1.247885,0.846154,2,[X0 >= 17.880000 OR X27 >= 0.175750],{'0.0': {'precision': 0.8545994065281899; 'recall': 1.0; 'f1-score': 0.9216; 'support': 288}; '1.0': {'precision': 1.0; 'recall': 0.7151162790697675; 'f1-score': 0.8338983050847458; 'support': 172}; 'accuracy': 0.8934782608695652; 'macro avg': {'precision': 0.9272997032640949; 'recall': 0.8575581395348837; 'f1-score': 0.8777491525423728; 'support': 460}; 'weighted avg': {'precision': 0.9089665849567797; 'recall': 0.8934782608695652; 'f1-score': 0.8888071923360354; 'support': 460}},{'0.0': {'precision': 0.8048780487804879; 'recall': 1.0; 'f1-score': 0.8918918918918919; 'support': 33}; '1.0': {'precision': 1.0; 'recall': 0.5789473684210527; 'f1-score': 0.7333333333333334; 'support': 19}; 'accuracy': 0.8461538461538461; 'macro avg': {'precision': 0.9024390243902439; 'recall': 0.7894736842105263; 'f1-score': 0.8126126126126126; 'support': 52}; 'weighted avg': {'precision': 0.876172607879925; 'recall': 0.8461538461538461; 'f1-score': 0.8339570339570339; 'support': 52}}
5,1,CNF,2,461,51,57,[8; 9],122,1.309829,0.882353,2,[X0 >= 15.045000 OR X5 >= 0.102150],{'0.0': {'precision': 0.9694323144104804; 'recall': 0.7681660899653979; 'f1-score': 0.8571428571428572; 'support': 289}; '1.0': {'precision': 0.7112068965517241; 'recall': 0.9593023255813954; 'f1-score': 0.8168316831683168; 'support': 172}; 'accuracy': 0.8394793926247288; 'macro avg': {'precision': 0.8403196054811022; 'recall': 0.8637342077733967; 'f1-score': 0.8369872701555869; 'support': 461}; 'weighted avg': {'precision': 0.8730879068796645; 'recall': 0.8394793926247288; 'f1-score': 0.8421026794343519; 'support': 461}},{'0.0': {'precision': 0.9333333333333333; 'recall': 0.875; 'f1-score': 0.9032258064516129; 'support': 32}; '1.0': {'precision': 0.8095238095238095; 'recall': 0.8947368421052632; 'f1-score': 0.8500000000000001; 'support': 19}; 'accuracy': 0.8823529411764706; 'macro avg': {'precision': 0.8714285714285714; 'recall': 0.8848684210526316; 'f1-score': 0.8766129032258065; 'support': 51}; 'weighted avg': {'precision': 0.8872082166199813; 'recall': 0.8823529411764706; 'f1-score': 0.8833965844402277; 'support': 51}}
5,1,CNF,3,461,51,57,[8; 9],122,1.411053,0.745098,2,[X0 >= 15.045000 OR X6 >= 0.069225],{'0.0': {'precision': 0.9795918367346939; 'recall': 0.8304498269896193; 'f1-score': 0.898876404494382; 'support': 289}; '1.0': {'precision': 0.7731481481481481; 'recall': 0.9709302325581395; 'f1-score': 0.8608247422680412; 'support': 172}; 'accuracy': 0.8828633405639913; 'macro avg': {'precision': 0.876369992441421; 'recall': 0.9006900297738794; 'f1-score': 0.8798505733812116; 'support': 461}; 'weighted avg': {'precision': 0.9025672934876529; 'recall': 0.8828633405639913; 'f1-score': 0.8846792550303244; 'support': 461}},{'0.0': {'precision': 0.9523809523809523; 'recall': 0.625; 'f1-score': 0.7547169811320755; 'support': 32}; '1.0': {'precision': 0.6; 'recall': 0.9473684210526315; 'f1-score': 0.7346938775510204; 'support': 19}; 'accuracy': 0.7450980392156863; 'macro avg': {'precision': 0.7761904761904761; 'recall': 0.7861842105263157; 'f1-score': 0.744705429341548; 'support': 51}; 'weighted avg': {'precision': 0.8211017740429505; 'recall': 0.7450980392156863; 'f1-score': 0.7472573935234472; 'support': 51}}
5,1,CNF,4,461,51,57,[8; 9],122,1.426326,0.843137,3,[X0 >= 15.045000 OR X7 >= 0.079005 OR X21 >= 29.295000],{'0.0': {'precision': 0.9610894941634242; 'recall': 0.8546712802768166; 'f1-score': 0.9047619047619048; 'support': 289}; '1.0': {'precision': 0.7941176470588235; 'recall': 0.9418604651162791; 'f1-score': 0.8617021276595744; 'support': 172}; 'accuracy': 0.8872017353579176; 'macro avg': {'precision': 0.8776035706111238; 'recall': 0.8982658726965478; 'f1-score': 0.8832320162107397; 'support': 461}; 'weighted avg': {'precision': 0.8987919720332912; 'recall': 0.8872017353579176; 'f1-score': 0.8886962178603846; 'support': 461}},{'0.0': {'precision': 0.9285714285714286; 'recall': 0.8125; 'f1-score': 0.8666666666666666; 'support': 32}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.8947368421052632; 'f1-score': 0.8095238095238095; 'support': 19}; 'accuracy': 0.8431372549019608; 'macro avg': {'precision': 0.8338509316770186; 'recall': 0.8536184210526316; 'f1-score': 0.838095238095238; 'support': 51}; 'weighted avg': {'precision': 0.8579953720618682; 'recall': 0.8431372549019608; 'f1-score': 0.8453781512605042; 'support': 51}}
5,1,CNF,5,461,51,57,[8; 9],122,1.388701,0.941176,3,[X0 >= 15.045000 OR X3 >= 696.250000 OR X7 >= 0.051420],{'0.0': {'precision': 0.9703703703703703; 'recall': 0.9065743944636678; 'f1-score': 0.9373881932021466; 'support': 289}; '1.0': {'precision': 0.8586387434554974; 'recall': 0.9534883720930233; 'f1-score': 0.9035812672176308; 'support': 172}; 'accuracy': 0.9240780911062907; 'macro avg': {'precision': 0.9145045569129339; 'recall': 0.9300313832783456; 'f1-score': 0.9204847302098886; 'support': 461}; 'weighted avg': {'precision': 0.9286830822372725; 'recall': 0.9240780911062907; 'f1-score': 0.9247747631168174; 'support': 461}},{'0.0': {'precision': 0.967741935483871; 'recall': 0.9375; 'f1-score': 0.9523809523809523; 'support': 32}; '1.0': {'precision': 0.9; 'recall': 0.9473684210526315; 'f1-score': 0.9230769230769231; 'support': 19}; 'accuracy': 0.9411764705882353; 'macro avg': {'precision': 0.9338709677419355; 'recall': 0.9424342105263157; 'f1-score': 0.9377289377289377; 'support': 51}; 'weighted avg': {'precision': 0.9425047438330171; 'recall': 0.9411764705882353; 'f1-score': 0.9414637649931767; 'support': 51}}
5,1,CNF,6,461,51,57,[8; 9],122,1.371427,0.921569,2,[X0 >= 15.045000 OR X5 >= 0.155250],{'0.0': {'precision': 0.9075907590759076; 'recall': 0.9515570934256056; 'f1-score': 0.9290540540540542; 'support': 289}; '1.0': {'precision': 0.9113924050632911; 'recall': 0.8372093023255814; 'f1-score': 0.8727272727272727; 'support': 172}; 'accuracy': 0.9088937093275488; 'macro avg': {'precision': 0.9094915820695993; 'recall': 0.8943831978755935; 'f1-score': 0.9008906633906635; 'support': 461}; 'weighted avg': {'precision': 0.9090091606156688; 'recall': 0.9088937093275488; 'f1-score': 0.9080384219755154; 'support': 461}},{'0.0': {'precision': 0.9117647058823529; 'recall': 0.96875; 'f1-score': 0.9393939393939394; 'support': 32}; '1.0': {'precision': 0.9411764705882353; 'recall': 0.8421052631578947; 'f1-score': 0.8888888888888888; 'support': 19}; 'accuracy': 0.9215686274509803; 'macro avg': {'precision': 0.9264705882352942; 'recall': 0.9054276315789473; 'f1-score': 0.9141414141414141; 'support': 51}; 'weighted avg': {'precision': 0.9227220299884661; 'recall': 0.9215686274509803; 'f1-score': 0.9205783323430382; 'support': 51}}
5,1,CNF,7,461,51,57,[8; 9],122,1.329867,0.862745,1,[X6 >= 0.069225],{'0.0': {'precision': 0.9523809523809523; 'recall': 0.8304498269896193; 'f1-score': 0.88724584103512; 'support': 289}; '1.0': {'precision': 0.7655502392344498; 'recall': 0.9302325581395349; 'f1-score': 0.8398950131233596; 'support': 172}; 'accuracy': 0.8676789587852495; 'macro avg': {'precision': 0.858965595807701; 'recall': 0.8803411925645771; 'f1-score': 0.8635704270792398; 'support': 461}; 'weighted avg': {'precision': 0.8826740485605653; 'recall': 0.8676789587852495; 'f1-score': 0.8695791546992789; 'support': 461}},{'0.0': {'precision': 0.9310344827586207; 'recall': 0.84375; 'f1-score': 0.8852459016393444; 'support': 32}; '1.0': {'precision': 0.7727272727272727; 'recall': 0.8947368421052632; 'f1-score': 0.8292682926829269; 'support': 19}; 'accuracy': 0.8627450980392157; 'macro avg': {'precision': 0.8518808777429467; 'recall': 0.8692434210526316; 'f1-score': 0.8572570971611356; 'support': 51}; 'weighted avg': {'precision': 0.8720572868645892; 'recall': 0.8627450980392157; 'f1-score': 0.8643914983026398; 'support': 51}}
5,1,CNF,8,461,51,57,[8; 9],122,1.416832,0.549020,3,[X3 >= 883.250000 OR X8 < 0.171550 OR X22 >= 101.650000],{'0.0': {'precision': 0.9703703703703703; 'recall': 0.4532871972318339; 'f1-score': 0.6179245283018868; 'support': 289}; '1.0': {'precision': 0.5153374233128835; 'recall': 0.9767441860465116; 'f1-score': 0.6746987951807228; 'support': 172}; 'accuracy': 0.648590021691974; 'macro avg': {'precision': 0.742853896841627; 'recall': 0.7150156916391728; 'f1-score': 0.6463116617413048; 'support': 461}; 'weighted avg': {'precision': 0.8005966894725661; 'recall': 0.648590021691974; 'f1-score': 0.6391071181135132; 'support': 461}},{'0.0': {'precision': 0.9090909090909091; 'recall': 0.3125; 'f1-score': 0.4651162790697674; 'support': 32}; '1.0': {'precision': 0.45; 'recall': 0.9473684210526315; 'f1-score': 0.6101694915254237; 'support': 19}; 'accuracy': 0.5490196078431373; 'macro avg': {'precision': 0.6795454545454546; 'recall': 0.6299342105263157; 'f1-score': 0.5376428852975955; 'support': 51}; 'weighted avg': {'precision': 0.7380570409982175; 'recall': 0.5490196078431373; 'f1-score': 0.5191557111610904; 'support': 51}}
5,1,CNF,9,461,51,57,[8; 9],122,1.362768,0.901961,4,[X3 >= 696.250000 OR X7 >= 0.051420 OR X13 >= 31.285000 OR X23 >= 884.550000],{'0.0': {'precision': 0.9838056680161943; 'recall': 0.8408304498269896; 'f1-score': 0.9067164179104477; 'support': 289}; '1.0': {'precision': 0.7850467289719626; 'recall': 0.9767441860465116; 'f1-score': 0.8704663212435232; 'support': 172}; 'accuracy': 0.8915401301518439; 'macro avg': {'precision': 0.8844261984940784; 'recall': 0.9087873179367506; 'f1-score': 0.8885913695769854; 'support': 461}; 'weighted avg': {'precision': 0.9096483198261556; 'recall': 0.8915401301518439; 'f1-score': 0.8931914360737644; 'support': 461}},{'0.0': {'precision': 1.0; 'recall': 0.84375; 'f1-score': 0.9152542372881356; 'support': 32}; '1.0': {'precision': 0.7916666666666666; 'recall': 1.0; 'f1-score': 0.8837209302325582; 'support': 19}; 'accuracy': 0.9019607843137255; 'macro avg': {'precision': 0.8958333333333333; 'recall': 0.921875; 'f1-score': 0.8994875837603469; 'support': 51}; 'weighted avg': {'precision': 0.9223856209150326; 'recall': 0.9019607843137255; 'f1-score': 0.9035065346595871; 'support': 51}}
5,1,CNF,0,460,52,28,[16; 17],122,0.759463,0.942308,3,[X0 >= 15.045000 OR X6 >= 0.119200 OR X7 >= 0.051420],{'0.0': {'precision': 0.9661654135338346; 'recall': 0.889273356401384; 'f1-score': 0.9261261261261261; 'support': 289}; '1.0': {'precision': 0.8350515463917526; 'recall': 0.9473684210526315; 'f1-score': 0.8876712328767123; 'support': 171}; 'accuracy': 0.9108695652173913; 'macro avg': {'precision': 0.9006084799627936; 'recall': 0.9183208887270078; 'f1-score': 0.9068986795014192; 'support': 460}; 'weighted avg': {'precision': 0.9174252585744954; 'recall': 0.9108695652173913; 'f1-score': 0.9118309375486265; 'support': 460}},{'0.0': {'precision': 1.0; 'recall': 0.90625; 'f1-score': 0.9508196721311475; 'support': 32}; '1.0': {'precision': 0.8695652173913043; 'recall': 1.0; 'f1-score': 0.9302325581395349; 'support': 20}; 'accuracy': 0.9423076923076923; 'macro avg': {'precision': 0.9347826086956521; 'recall': 0.953125; 'f1-score': 0.9405261151353412; 'support': 52}; 'weighted avg': {'precision': 0.9498327759197325; 'recall': 0.9423076923076923; 'f1-score': 0.9429015513651426; 'support': 52}}
