l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,58,[8; 9],158,1.548115,0.603774,3,[X2 >= 1.400000 OR X2 < 0.800000 OR X6 < 19.000000],{'0.0': {'precision': 0.3945578231292517; 'recall': 0.43283582089552236; 'f1-score': 0.4128113879003559; 'support': 134}; '1.0': {'precision': 0.7632398753894081; 'recall': 0.7335329341317365; 'f1-score': 0.7480916030534351; 'support': 334}; 'accuracy': 0.6474358974358975; 'macro avg': {'precision': 0.5788988492593299; 'recall': 0.5831843775136294; 'f1-score': 0.5804514954768956; 'support': 468}; 'weighted avg': {'precision': 0.6576770655542351; 'recall': 0.6474358974358974; 'f1-score': 0.6520925670908013; 'support': 468}},{'0.0': {'precision': 0.3125; 'recall': 0.3333333333333333; 'f1-score': 0.3225806451612903; 'support': 15}; '1.0': {'precision': 0.7297297297297297; 'recall': 0.7105263157894737; 'f1-score': 0.7200000000000001; 'support': 38}; 'accuracy': 0.6037735849056604; 'macro avg': {'precision': 0.5211148648648649; 'recall': 0.5219298245614035; 'f1-score': 0.5212903225806452; 'support': 53}; 'weighted avg': {'precision': 0.6116458439571646; 'recall': 0.6037735849056604; 'f1-score': 0.607522824102252; 'support': 53}}
l: 5,1,CNF,1,469,52,58,[8; 9],158,1.599011,0.480769,2,[X0 >= 49.000000 OR X4 < 150.000000],{'0.0': {'precision': 0.30991735537190085; 'recall': 0.5555555555555556; 'f1-score': 0.3978779840848807; 'support': 135}; '1.0': {'precision': 0.73568281938326; 'recall': 0.5; 'f1-score': 0.5953654188948306; 'support': 334}; 'accuracy': 0.5159914712153518; 'macro avg': {'precision': 0.5228000873775804; 'recall': 0.5277777777777778; 'f1-score': 0.4966217014898556; 'support': 469}; 'weighted avg': {'precision': 0.6131277284631459; 'recall': 0.5159914712153518; 'f1-score': 0.538519355570005; 'support': 469}},{'0.0': {'precision': 0.25925925925925924; 'recall': 0.5; 'f1-score': 0.3414634146341463; 'support': 14}; '1.0': {'precision': 0.72; 'recall': 0.47368421052631576; 'f1-score': 0.5714285714285714; 'support': 38}; 'accuracy': 0.4807692307692308; 'macro avg': {'precision': 0.48962962962962964; 'recall': 0.48684210526315785; 'f1-score': 0.45644599303135885; 'support': 52}; 'weighted avg': {'precision': 0.5959544159544159; 'recall': 0.4807692307692308; 'f1-score': 0.5095148753685339; 'support': 52}}
l: 5,1,CNF,2,469,52,58,[8; 9],158,1.663643,0.692308,2,[X0 >= 66.000000 OR X6 >= 54.000000],{'0.0': {'precision': 0.4280155642023346; 'recall': 0.8208955223880597; 'f1-score': 0.5626598465473146; 'support': 134}; '1.0': {'precision': 0.8867924528301887; 'recall': 0.5611940298507463; 'f1-score': 0.6873857404021938; 'support': 335}; 'accuracy': 0.6353944562899787; 'macro avg': {'precision': 0.6574040085162617; 'recall': 0.691044776119403; 'f1-score': 0.6250227934747542; 'support': 469}; 'weighted avg': {'precision': 0.755713341793659; 'recall': 0.6353944562899787; 'f1-score': 0.6517497707293712; 'support': 469}},{'0.0': {'precision': 0.4782608695652174; 'recall': 0.7333333333333333; 'f1-score': 0.5789473684210527; 'support': 15}; '1.0': {'precision': 0.8620689655172413; 'recall': 0.6756756756756757; 'f1-score': 0.7575757575757576; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6701649175412294; 'recall': 0.7045045045045044; 'f1-score': 0.6682615629984051; 'support': 52}; 'weighted avg': {'precision': 0.7513550916849266; 'recall': 0.6923076923076923; 'f1-score': 0.706048337627285; 'support': 52}}
l: 5,1,CNF,3,469,52,58,[8; 9],158,1.629724,0.711538,2,[X0 >= 40.000000 OR X2 >= 3.300000],{'0.0': {'precision': 0.41333333333333333; 'recall': 0.4626865671641791; 'f1-score': 0.43661971830985913; 'support': 134}; '1.0': {'precision': 0.774294670846395; 'recall': 0.7373134328358208; 'f1-score': 0.7553516819571865; 'support': 335}; 'accuracy': 0.6588486140724946; 'macro avg': {'precision': 0.5938140020898641; 'recall': 0.6; 'f1-score': 0.5959857001335228; 'support': 469}; 'weighted avg': {'precision': 0.6711628601283773; 'recall': 0.6588486140724946; 'f1-score': 0.6642854066293786; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.5333333333333333; 'f1-score': 0.5161290322580646; 'support': 15}; '1.0': {'precision': 0.8055555555555556; 'recall': 0.7837837837837838; 'f1-score': 0.7945205479452055; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6527777777777778; 'recall': 0.6585585585585585; 'f1-score': 0.655324790101635; 'support': 52}; 'weighted avg': {'precision': 0.7174145299145299; 'recall': 0.7115384615384616; 'f1-score': 0.7142153030354533; 'support': 52}}
l: 5,1,CNF,4,469,52,58,[8; 9],158,1.654517,0.711538,3,[X0 >= 31.000000 OR X0 < 23.000000 OR X3 >= 1.600000],{'0.0': {'precision': 0.46153846153846156; 'recall': 0.13432835820895522; 'f1-score': 0.20809248554913293; 'support': 134}; '1.0': {'precision': 0.7302325581395349; 'recall': 0.9373134328358209; 'f1-score': 0.8209150326797385; 'support': 335}; 'accuracy': 0.7078891257995735; 'macro avg': {'precision': 0.5958855098389982; 'recall': 0.5358208955223881; 'f1-score': 0.5145037591144357; 'support': 469}; 'weighted avg': {'precision': 0.6534628162535139; 'recall': 0.7078891257995735; 'f1-score': 0.6458228763567083; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.26666666666666666; 'f1-score': 0.3478260869565218; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.8918918918918919; 'f1-score': 0.8148148148148148; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.625; 'recall': 0.5792792792792792; 'f1-score': 0.5813204508856683; 'support': 52}; 'weighted avg': {'precision': 0.6778846153846154; 'recall': 0.7115384615384616; 'f1-score': 0.6801065279326148; 'support': 52}}
l: 5,1,CNF,5,469,52,58,[8; 9],158,1.586009,0.692308,3,[X0 >= 40.000000 OR X5 >= 140.200000 OR X5 < 25.000000],{'0.0': {'precision': 0.38181818181818183; 'recall': 0.31343283582089554; 'f1-score': 0.34426229508196726; 'support': 134}; '1.0': {'precision': 0.7437325905292479; 'recall': 0.7970149253731343; 'f1-score': 0.7694524495677233; 'support': 335}; 'accuracy': 0.6588486140724946; 'macro avg': {'precision': 0.5627753861737148; 'recall': 0.5552238805970149; 'f1-score': 0.5568573723248453; 'support': 469}; 'weighted avg': {'precision': 0.6403284737546576; 'recall': 0.6588486140724946; 'f1-score': 0.6479695482860787; 'support': 469}},{'0.0': {'precision': 0.46153846153846156; 'recall': 0.4; 'f1-score': 0.42857142857142855; 'support': 15}; '1.0': {'precision': 0.7692307692307693; 'recall': 0.8108108108108109; 'f1-score': 0.7894736842105263; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.6153846153846154; 'recall': 0.6054054054054054; 'f1-score': 0.6090225563909775; 'support': 52}; 'weighted avg': {'precision': 0.6804733727810651; 'recall': 0.6923076923076923; 'f1-score': 0.6853672643146328; 'support': 52}}
l: 5,1,CNF,6,469,52,58,[8; 9],158,1.667476,0.673077,3,[X0 >= 66.000000 OR X2 >= 1.400000 OR X6 < 19.000000],{'0.0': {'precision': 0.4380952380952381; 'recall': 0.6865671641791045; 'f1-score': 0.5348837209302325; 'support': 134}; '1.0': {'precision': 0.8378378378378378; 'recall': 0.6477611940298508; 'f1-score': 0.7306397306397308; 'support': 335}; 'accuracy': 0.6588486140724946; 'macro avg': {'precision': 0.637966537966538; 'recall': 0.6671641791044776; 'f1-score': 0.6327617257849816; 'support': 469}; 'weighted avg': {'precision': 0.7236256664828092; 'recall': 0.6588486140724946; 'f1-score': 0.6747094421513027; 'support': 469}},{'0.0': {'precision': 0.45; 'recall': 0.6; 'f1-score': 0.5142857142857143; 'support': 15}; '1.0': {'precision': 0.8125; 'recall': 0.7027027027027027; 'f1-score': 0.7536231884057971; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.63125; 'recall': 0.6513513513513514; 'f1-score': 0.6339544513457558; 'support': 52}; 'weighted avg': {'precision': 0.7079326923076923; 'recall': 0.6730769230769231; 'f1-score': 0.6845835324096193; 'support': 52}}
l: 5,1,CNF,7,469,52,58,[8; 9],158,1.700332,0.711538,2,[X1 OR X5 >= 30.000000],{'0.0': {'precision': 0.3870967741935484; 'recall': 0.1791044776119403; 'f1-score': 0.24489795918367346; 'support': 134}; '1.0': {'precision': 0.7297297297297297; 'recall': 0.8865671641791045; 'f1-score': 0.8005390835579514; 'support': 335}; 'accuracy': 0.6844349680170576; 'macro avg': {'precision': 0.558413251961639; 'recall': 0.5328358208955224; 'f1-score': 0.5227185213708124; 'support': 469}; 'weighted avg': {'precision': 0.631834599576535; 'recall': 0.6844349680170576; 'f1-score': 0.6417844765938719; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.26666666666666666; 'f1-score': 0.3478260869565218; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.8918918918918919; 'f1-score': 0.8148148148148148; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.625; 'recall': 0.5792792792792792; 'f1-score': 0.5813204508856683; 'support': 52}; 'weighted avg': {'precision': 0.6778846153846154; 'recall': 0.7115384615384616; 'f1-score': 0.6801065279326148; 'support': 52}}
l: 5,1,CNF,8,469,52,58,[8; 9],158,1.706310,0.673077,4,[X2 >= 2.000000 OR X4 >= 208.000000 OR X6 < 19.000000 OR X9 < 0.700000],{'0.0': {'precision': 0.49382716049382713; 'recall': 0.5970149253731343; 'f1-score': 0.5405405405405405; 'support': 134}; '1.0': {'precision': 0.8241042345276873; 'recall': 0.755223880597015; 'f1-score': 0.7881619937694704; 'support': 335}; 'accuracy': 0.7100213219616205; 'macro avg': {'precision': 0.6589656975107572; 'recall': 0.6761194029850746; 'f1-score': 0.6643512671550054; 'support': 469}; 'weighted avg': {'precision': 0.7297393562322986; 'recall': 0.7100213219616205; 'f1-score': 0.7174130071326333; 'support': 469}},{'0.0': {'precision': 0.4166666666666667; 'recall': 0.3333333333333333; 'f1-score': 0.3703703703703704; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.8108108108108109; 'f1-score': 0.7792207792207791; 'support': 37}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.5833333333333334; 'recall': 0.5720720720720721; 'f1-score': 0.5747955747955747; 'support': 52}; 'weighted avg': {'precision': 0.6538461538461539; 'recall': 0.6730769230769231; 'f1-score': 0.6612831612831612; 'support': 52}}
l: 5,1,CNF,9,469,52,58,[8; 9],158,1.761391,0.692308,4,[X0 >= 55.000000 OR (NOT X1) OR X4 >= 236.800000 OR X7 >= 6.900000],{'0.0': {'precision': 0.3614457831325301; 'recall': 0.22388059701492538; 'f1-score': 0.27649769585253453; 'support': 134}; '1.0': {'precision': 0.7305699481865285; 'recall': 0.8417910447761194; 'f1-score': 0.7822468793342581; 'support': 335}; 'accuracy': 0.6652452025586354; 'macro avg': {'precision': 0.5460078656595293; 'recall': 0.5328358208955224; 'f1-score': 0.5293722875933963; 'support': 469}; 'weighted avg': {'precision': 0.6251059010282434; 'recall': 0.6652452025586354; 'f1-score': 0.6377471126251941; 'support': 469}},{'0.0': {'precision': 0.42857142857142855; 'recall': 0.2; 'f1-score': 0.27272727272727276; 'support': 15}; '1.0': {'precision': 0.7333333333333333; 'recall': 0.8918918918918919; 'f1-score': 0.8048780487804879; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5809523809523809; 'recall': 0.5459459459459459; 'f1-score': 0.5388026607538803; 'support': 52}; 'weighted avg': {'precision': 0.6454212454212455; 'recall': 0.6923076923076923; 'f1-score': 0.6513730172266758; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 58}, (mean val acc cv) 0.664224 (+- 0.068227), (mean training time) 1.651653 (+- 0.060069)
