l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,1,[468; 468],158,1000.481194,0.716981,9,[X0 >= 45.000000 OR X2 < 0.700000 OR X3 >= 1.000000 OR X3 < 0.200000 OR X4 >= 208.000000 OR X5 >= 35.000000 OR X6 < 19.000000 OR X7 < 5.600000 OR X9 >= 1.060000],{'0.0': {'precision': 0.9047619047619048; 'recall': 0.1417910447761194; 'f1-score': 0.24516129032258063; 'support': 134}; '1.0': {'precision': 0.7427293064876958; 'recall': 0.9940119760479041; 'f1-score': 0.8501920614596671; 'support': 334}; 'accuracy': 0.75; 'macro avg': {'precision': 0.8237456056248003; 'recall': 0.5679015104120118; 'f1-score': 0.5476766758911239; 'support': 468}; 'weighted avg': {'precision': 0.7891232555662085; 'recall': 0.75; 'f1-score': 0.6769567551939201; 'support': 468}},{'0.0': {'precision': 0.5; 'recall': 0.06666666666666667; 'f1-score': 0.11764705882352941; 'support': 15}; '1.0': {'precision': 0.7254901960784313; 'recall': 0.9736842105263158; 'f1-score': 0.8314606741573034; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6127450980392157; 'recall': 0.5201754385964913; 'f1-score': 0.4745538664904164; 'support': 53}; 'weighted avg': {'precision': 0.6616722160562337; 'recall': 0.7169811320754716; 'f1-score': 0.629437952836424; 'support': 53}}
l: 5,1,CNF,1,469,52,1,[469; 469],158,1000.496498,0.730769,11,[X0 >= 66.000000 OR X0 < 40.000000 OR (NOT X1) OR X3 >= 0.600000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X4 < 167.600000 OR X5 >= 43.000000 OR X5 < 18.000000 OR X9 >= 1.308000 OR X9 < 0.800000],{'0.0': {'precision': 0.9473684210526315; 'recall': 0.13333333333333333; 'f1-score': 0.23376623376623376; 'support': 135}; '1.0': {'precision': 0.74; 'recall': 0.9970059880239521; 'f1-score': 0.8494897959183673; 'support': 334}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.8436842105263158; 'recall': 0.5651696606786427; 'f1-score': 0.5416280148423005; 'support': 469}; 'weighted avg': {'precision': 0.79969027045225; 'recall': 0.7484008528784648; 'f1-score': 0.6722559347445121; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.07142857142857142; 'f1-score': 0.125; 'support': 14}; '1.0': {'precision': 0.74; 'recall': 0.9736842105263158; 'f1-score': 0.8409090909090909; 'support': 38}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.62; 'recall': 0.5225563909774437; 'f1-score': 0.48295454545454547; 'support': 52}; 'weighted avg': {'precision': 0.6753846153846155; 'recall': 0.7307692307692307; 'f1-score': 0.6481643356643356; 'support': 52}}
l: 5,1,CNF,2,469,52,1,[469; 469],158,1000.559310,0.750000,11,[X0 >= 66.000000 OR (NOT X1) OR X2 >= 1.400000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X4 < 167.600000 OR X5 >= 74.000000 OR X5 < 18.000000 OR X7 >= 7.900000 OR X7 < 5.100000 OR X9 < 0.900000],{'0.0': {'precision': 0.9411764705882353; 'recall': 0.11940298507462686; 'f1-score': 0.21192052980132453; 'support': 134}; '1.0': {'precision': 0.7389380530973452; 'recall': 0.9970149253731343; 'f1-score': 0.8487928843710293; 'support': 335}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.8400572618427902; 'recall': 0.5582089552238806; 'f1-score': 0.5303567070861769; 'support': 469}; 'weighted avg': {'precision': 0.7967204580947423; 'recall': 0.746268656716418; 'f1-score': 0.6668293544939707; 'support': 469}},{'0.0': {'precision': 0.75; 'recall': 0.2; 'f1-score': 0.31578947368421056; 'support': 15}; '1.0': {'precision': 0.75; 'recall': 0.972972972972973; 'f1-score': 0.8470588235294119; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.75; 'recall': 0.5864864864864865; 'f1-score': 0.5814241486068112; 'support': 52}; 'weighted avg': {'precision': 0.75; 'recall': 0.75; 'f1-score': 0.6938080495356037; 'support': 52}}
l: 5,1,CNF,3,469,52,1,[469; 469],158,1000.665723,0.692308,8,[X0 >= 45.000000 OR X2 >= 1.000000 OR X2 < 0.700000 OR X4 >= 195.000000 OR X4 < 150.000000 OR X6 >= 71.600000 OR X6 < 19.000000 OR X7 < 5.100000],{'0.0': {'precision': 0.9375; 'recall': 0.11194029850746269; 'f1-score': 0.2; 'support': 134}; '1.0': {'precision': 0.7373068432671082; 'recall': 0.9970149253731343; 'f1-score': 0.847715736040609; 'support': 335}; 'accuracy': 0.744136460554371; 'macro avg': {'precision': 0.8374034216335541; 'recall': 0.5544776119402985; 'f1-score': 0.5238578680203045; 'support': 469}; 'weighted avg': {'precision': 0.7945048880479344; 'recall': 0.744136460554371; 'f1-score': 0.6626540971718636; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
l: 5,1,CNF,4,469,52,1,[469; 469],158,1000.835029,0.692308,8,[(NOT X1) OR X2 >= 0.900000 OR X2 < 0.700000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X5 >= 35.000000 OR X6 >= 28.000000 OR X9 < 0.700000],{'0.0': {'precision': 0.8947368421052632; 'recall': 0.12686567164179105; 'f1-score': 0.22222222222222224; 'support': 134}; '1.0': {'precision': 0.74; 'recall': 0.9940298507462687; 'f1-score': 0.8484076433121019; 'support': 335}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.8173684210526315; 'recall': 0.5604477611940298; 'f1-score': 0.5353149327671621; 'support': 469}; 'weighted avg': {'precision': 0.7842105263157896; 'recall': 0.746268656716418; 'f1-score': 0.6694975230007078; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
l: 5,1,CNF,5,469,52,1,[469; 469],158,1000.542088,0.653846,10,[X0 >= 66.000000 OR (NOT X1) OR X3 >= 0.600000 OR X3 < 0.200000 OR X4 >= 208.000000 OR X4 < 150.000000 OR X5 >= 30.000000 OR X5 < 18.000000 OR X7 >= 7.900000 OR X9 >= 1.308000],{'0.0': {'precision': 0.9047619047619048; 'recall': 0.1417910447761194; 'f1-score': 0.24516129032258063; 'support': 134}; '1.0': {'precision': 0.7433035714285714; 'recall': 0.9940298507462687; 'f1-score': 0.8505747126436782; 'support': 335}; 'accuracy': 0.7505330490405118; 'macro avg': {'precision': 0.8240327380952381; 'recall': 0.567910447761194; 'f1-score': 0.5478680014831294; 'support': 469}; 'weighted avg': {'precision': 0.7894345238095237; 'recall': 0.7505330490405118; 'f1-score': 0.6775994491233647; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6938775510204082; 'recall': 0.918918918918919; 'f1-score': 0.7906976744186046; 'support': 37}; 'accuracy': 0.6538461538461539; 'macro avg': {'precision': 0.3469387755102041; 'recall': 0.4594594594594595; 'f1-score': 0.3953488372093023; 'support': 52}; 'weighted avg': {'precision': 0.4937205651491366; 'recall': 0.6538461538461539; 'f1-score': 0.5626118067978533; 'support': 52}}
l: 5,1,CNF,6,469,52,1,[469; 469],158,1000.620792,0.692308,7,[X0 >= 66.000000 OR X0 < 60.000000 OR X2 >= 2.000000 OR X2 < 0.700000 OR X4 >= 328.000000 OR X5 < 18.000000 OR X6 >= 54.000000],{'0.0': {'precision': 0.9375; 'recall': 0.11194029850746269; 'f1-score': 0.2; 'support': 134}; '1.0': {'precision': 0.7373068432671082; 'recall': 0.9970149253731343; 'f1-score': 0.847715736040609; 'support': 335}; 'accuracy': 0.744136460554371; 'macro avg': {'precision': 0.8374034216335541; 'recall': 0.5544776119402985; 'f1-score': 0.5238578680203045; 'support': 469}; 'weighted avg': {'precision': 0.7945048880479344; 'recall': 0.744136460554371; 'f1-score': 0.6626540971718636; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
l: 5,1,CNF,7,469,52,1,[469; 469],158,1000.400910,0.711538,9,[X0 >= 49.000000 OR X0 < 23.000000 OR (NOT X1) OR X3 < 0.200000 OR X4 >= 195.000000 OR X4 < 150.000000 OR X6 >= 42.000000 OR X9 >= 1.308000 OR X9 < 0.800000],{'0.0': {'precision': 0.875; 'recall': 0.1044776119402985; 'f1-score': 0.18666666666666668; 'support': 134}; '1.0': {'precision': 0.7350993377483444; 'recall': 0.9940298507462687; 'f1-score': 0.8451776649746192; 'support': 335}; 'accuracy': 0.7398720682302772; 'macro avg': {'precision': 0.8050496688741722; 'recall': 0.5492537313432836; 'f1-score': 0.515922165820643; 'support': 469}; 'weighted avg': {'precision': 0.7750709555345318; 'recall': 0.7398720682302772; 'f1-score': 0.6570316654580612; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.06666666666666667; 'f1-score': 0.11764705882352941; 'support': 15}; '1.0': {'precision': 0.72; 'recall': 0.972972972972973; 'f1-score': 0.8275862068965518; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.61; 'recall': 0.5198198198198198; 'f1-score': 0.47261663286004063; 'support': 52}; 'weighted avg': {'precision': 0.6565384615384615; 'recall': 0.7115384615384616; 'f1-score': 0.6227960680293337; 'support': 52}}
l: 5,1,CNF,8,469,52,1,[469; 469],158,1001.342101,0.692308,11,[X0 >= 66.000000 OR X0 < 35.000000 OR (NOT X1) OR X2 >= 2.000000 OR X2 < 0.800000 OR X4 >= 282.000000 OR X5 >= 43.000000 OR X5 < 18.000000 OR X7 >= 6.900000 OR X7 < 5.100000 OR X9 < 0.700000],{'0.0': {'precision': 0.8823529411764706; 'recall': 0.11194029850746269; 'f1-score': 0.19867549668874174; 'support': 134}; '1.0': {'precision': 0.7367256637168141; 'recall': 0.9940298507462687; 'f1-score': 0.8462515883100381; 'support': 335}; 'accuracy': 0.7420042643923241; 'macro avg': {'precision': 0.8095393024466424; 'recall': 0.5529850746268657; 'f1-score': 0.52246354249939; 'support': 469}; 'weighted avg': {'precision': 0.7783334572767159; 'recall': 0.7420042643923241; 'f1-score': 0.6612298478468105; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
l: 5,1,CNF,9,469,52,1,[469; 469],158,1000.560449,0.750000,13,[X0 >= 66.000000 OR X0 < 35.000000 OR (NOT X1) OR X2 >= 1.400000 OR X2 < 0.700000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X5 >= 35.000000 OR X5 < 18.000000 OR X7 >= 7.100000 OR X7 < 5.100000 OR X8 >= 4.100000 OR X9 < 0.800000],{'0.0': {'precision': 0.8947368421052632; 'recall': 0.12686567164179105; 'f1-score': 0.22222222222222224; 'support': 134}; '1.0': {'precision': 0.74; 'recall': 0.9940298507462687; 'f1-score': 0.8484076433121019; 'support': 335}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.8173684210526315; 'recall': 0.5604477611940298; 'f1-score': 0.5353149327671621; 'support': 469}; 'weighted avg': {'precision': 0.7842105263157896; 'recall': 0.746268656716418; 'f1-score': 0.6694975230007078; 'support': 469}},{'0.0': {'precision': 1.0; 'recall': 0.13333333333333333; 'f1-score': 0.23529411764705882; 'support': 15}; '1.0': {'precision': 0.74; 'recall': 1.0; 'f1-score': 0.8505747126436781; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.87; 'recall': 0.5666666666666667; 'f1-score': 0.5429344151453684; 'support': 52}; 'weighted avg': {'precision': 0.815; 'recall': 0.75; 'f1-score': 0.6730899256254226; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [469, 469], 'n_partitions': 1}, (mean val acc cv) 0.708237 (+- 0.028384), (mean training time) 1000.650410 (+- 0.256190)
