l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,468,53,1,[468; 468],158,1000.292499,0.660377,9,[X0 >= 66.000000 OR X2 >= 1.000000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X5 >= 35.000000 OR X5 < 18.000000 OR X6 < 19.000000 OR X8 < 2.700000 OR X9 < 0.800000],{'0.0': {'precision': 0.7368421052631579; 'recall': 0.21052631578947367; 'f1-score': 0.32748538011695905; 'support': 133}; '1.0': {'precision': 0.7558139534883721; 'recall': 0.9701492537313433; 'f1-score': 0.8496732026143792; 'support': 335}; 'accuracy': 0.7542735042735043; 'macro avg': {'precision': 0.746328029375765; 'recall': 0.5903377847604085; 'f1-score': 0.5885792913656691; 'support': 468}; 'weighted avg': {'precision': 0.7504223812363348; 'recall': 0.7542735042735043; 'f1-score': 0.7012736718619071; 'support': 468}},{'0.0': {'precision': 0.2; 'recall': 0.06666666666666667; 'f1-score': 0.1; 'support': 15}; '1.0': {'precision': 0.7083333333333334; 'recall': 0.8947368421052632; 'f1-score': 0.7906976744186046; 'support': 38}; 'accuracy': 0.660377358490566; 'macro avg': {'precision': 0.4541666666666667; 'recall': 0.4807017543859649; 'f1-score': 0.4453488372093023; 'support': 53}; 'weighted avg': {'precision': 0.5644654088050315; 'recall': 0.660377358490566; 'f1-score': 0.5952172005265467; 'support': 53}}
l: 5,1,CNF,1,469,52,1,[469; 469],158,1000.363234,0.711538,10,[X0 >= 66.000000 OR (NOT X1) OR X2 < 0.800000 OR X3 >= 0.600000 OR X4 >= 282.000000 OR X5 < 18.000000 OR X6 >= 42.000000 OR X7 >= 7.300000 OR X7 < 6.000000 OR X9 >= 1.308000],{'0.0': {'precision': 0.7777777777777778; 'recall': 0.15671641791044777; 'f1-score': 0.26086956521739135; 'support': 134}; '1.0': {'precision': 0.744343891402715; 'recall': 0.982089552238806; 'f1-score': 0.8468468468468469; 'support': 335}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.7610608345902463; 'recall': 0.5694029850746269; 'f1-score': 0.5538582060321191; 'support': 469}; 'weighted avg': {'precision': 0.7538964303670186; 'recall': 0.746268656716418; 'f1-score': 0.6794247663812881; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.07142857142857142; 'f1-score': 0.11764705882352941; 'support': 14}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.9473684210526315; 'f1-score': 0.8275862068965517; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.5340136054421769; 'recall': 0.5093984962406015; 'f1-score': 0.4726166328600406; 'support': 52}; 'weighted avg': {'precision': 0.6266352694924124; 'recall': 0.7115384615384616; 'f1-score': 0.6364487439538149; 'support': 52}}
l: 5,1,CNF,2,469,52,1,[469; 469],158,1000.586536,0.673077,6,[X0 >= 35.000000 OR X4 >= 328.000000 OR X5 >= 30.000000 OR X5 < 18.000000 OR X6 < 19.000000 OR X7 >= 7.900000],{'0.0': {'precision': 0.9285714285714286; 'recall': 0.09701492537313433; 'f1-score': 0.17567567567567569; 'support': 134}; '1.0': {'precision': 0.734065934065934; 'recall': 0.9970149253731343; 'f1-score': 0.8455696202531645; 'support': 335}; 'accuracy': 0.7398720682302772; 'macro avg': {'precision': 0.8313186813186813; 'recall': 0.5470149253731343; 'f1-score': 0.5106226479644201; 'support': 469}; 'weighted avg': {'precision': 0.7896389324960753; 'recall': 0.7398720682302772; 'f1-score': 0.654171350373882; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 14}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9210526315789473; 'f1-score': 0.8045977011494253; 'support': 38}; 'accuracy': 0.6730769230769231; 'macro avg': {'precision': 0.35714285714285715; 'recall': 0.4605263157894737; 'f1-score': 0.40229885057471265; 'support': 52}; 'weighted avg': {'precision': 0.521978021978022; 'recall': 0.6730769230769231; 'f1-score': 0.5879752431476569; 'support': 52}}
l: 5,1,CNF,3,469,52,1,[469; 469],158,1000.459038,0.692308,12,[X0 >= 66.000000 OR X0 < 23.000000 OR (NOT X1) OR X3 >= 1.000000 OR X3 < 0.200000 OR X4 >= 208.000000 OR X4 < 150.000000 OR X5 < 18.000000 OR X6 >= 105.000000 OR X7 >= 7.100000 OR X7 < 5.100000 OR X9 < 0.800000],{'0.0': {'precision': 0.8333333333333334; 'recall': 0.15037593984962405; 'f1-score': 0.25477707006369427; 'support': 133}; '1.0': {'precision': 0.7460674157303371; 'recall': 0.9880952380952381; 'f1-score': 0.8501920614596671; 'support': 336}; 'accuracy': 0.7505330490405118; 'macro avg': {'precision': 0.7897003745318352; 'recall': 0.5692355889724311; 'f1-score': 0.5524845657616807; 'support': 469}; 'weighted avg': {'precision': 0.7708144669908883; 'recall': 0.7505330490405118; 'f1-score': 0.6813430340488689; 'support': 469}},{'0.0': {'precision': 0.4444444444444444; 'recall': 0.26666666666666666; 'f1-score': 0.33333333333333337; 'support': 15}; '1.0': {'precision': 0.7441860465116279; 'recall': 0.8648648648648649; 'f1-score': 0.8; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5943152454780362; 'recall': 0.5657657657657658; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.6577221228384018; 'recall': 0.6923076923076923; 'f1-score': 0.6653846153846155; 'support': 52}}
l: 5,1,CNF,4,469,52,1,[469; 469],158,1001.058779,0.711538,9,[X0 >= 45.000000 OR X2 < 0.700000 OR X3 >= 1.000000 OR X3 < 0.200000 OR X4 >= 208.000000 OR X4 < 150.000000 OR X5 >= 35.000000 OR X6 < 19.000000 OR X7 < 5.600000],{'0.0': {'precision': 0.8148148148148148; 'recall': 0.16541353383458646; 'f1-score': 0.275; 'support': 133}; '1.0': {'precision': 0.748868778280543; 'recall': 0.9851190476190477; 'f1-score': 0.8508997429305912; 'support': 336}; 'accuracy': 0.7526652452025586; 'macro avg': {'precision': 0.7818417965476789; 'recall': 0.5752662907268171; 'f1-score': 0.5629498714652956; 'support': 469}; 'weighted avg': {'precision': 0.7675698931186201; 'recall': 0.7526652452025586; 'f1-score': 0.687584890457737; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.13333333333333333; 'f1-score': 0.2105263157894737; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9459459459459459; 'f1-score': 0.8235294117647058; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6145833333333333; 'recall': 0.5396396396396397; 'f1-score': 0.5170278637770898; 'support': 52}; 'weighted avg': {'precision': 0.6630608974358974; 'recall': 0.7115384615384616; 'f1-score': 0.6467015956180042; 'support': 52}}
l: 5,1,CNF,5,469,52,1,[469; 469],158,1000.765417,0.692308,9,[X0 >= 45.000000 OR X2 >= 1.400000 OR X3 < 0.200000 OR X4 >= 195.000000 OR X5 < 21.000000 OR X6 >= 71.600000 OR X6 < 23.000000 OR X7 >= 7.900000 OR X7 < 6.000000],{'0.0': {'precision': 0.9411764705882353; 'recall': 0.12030075187969924; 'f1-score': 0.21333333333333332; 'support': 133}; '1.0': {'precision': 0.7411504424778761; 'recall': 0.9970238095238095; 'f1-score': 0.850253807106599; 'support': 336}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.8411634565330557; 'recall': 0.5586622807017544; 'f1-score': 0.5317935702199662; 'support': 469}; 'weighted avg': {'precision': 0.7978742414942467; 'recall': 0.7484008528784648; 'f1-score': 0.6696345682753745; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
l: 5,1,CNF,6,469,52,1,[469; 469],158,1000.554068,0.634615,8,[X0 >= 66.000000 OR X2 >= 0.900000 OR X2 < 0.700000 OR X5 >= 30.000000 OR X6 >= 34.000000 OR X6 < 19.000000 OR X7 >= 7.100000 OR X7 < 5.100000],{'0.0': {'precision': 0.8421052631578947; 'recall': 0.12030075187969924; 'f1-score': 0.21052631578947367; 'support': 133}; '1.0': {'precision': 0.74; 'recall': 0.9910714285714286; 'f1-score': 0.8473282442748092; 'support': 336}; 'accuracy': 0.744136460554371; 'macro avg': {'precision': 0.7910526315789473; 'recall': 0.5556860902255639; 'f1-score': 0.5289272800321414; 'support': 469}; 'weighted avg': {'precision': 0.768955223880597; 'recall': 0.744136460554371; 'f1-score': 0.6667426227640424; 'support': 469}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.6875; 'recall': 0.8918918918918919; 'f1-score': 0.7764705882352941; 'support': 37}; 'accuracy': 0.6346153846153846; 'macro avg': {'precision': 0.34375; 'recall': 0.44594594594594594; 'f1-score': 0.38823529411764707; 'support': 52}; 'weighted avg': {'precision': 0.4891826923076923; 'recall': 0.6346153846153846; 'f1-score': 0.5524886877828055; 'support': 52}}
l: 5,1,CNF,7,469,52,1,[469; 469],158,1000.403517,0.692308,10,[X0 >= 66.000000 OR (NOT X1) OR X3 >= 0.600000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X5 >= 43.000000 OR X6 >= 34.000000 OR X7 < 5.100000 OR X9 >= 1.308000 OR X9 < 1.000000],{'0.0': {'precision': 0.8260869565217391; 'recall': 0.14285714285714285; 'f1-score': 0.24358974358974358; 'support': 133}; '1.0': {'precision': 0.7443946188340808; 'recall': 0.9880952380952381; 'f1-score': 0.8491048593350384; 'support': 336}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.78524078767791; 'recall': 0.5654761904761905; 'f1-score': 0.546347301462391; 'support': 469}; 'weighted avg': {'precision': 0.767561102655954; 'recall': 0.7484008528784648; 'f1-score': 0.677391617556522; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
l: 5,1,CNF,8,469,52,1,[469; 469],158,1001.147883,0.692308,8,[X0 >= 66.000000 OR (NOT X1) OR X3 >= 0.600000 OR X4 >= 236.800000 OR X5 < 18.000000 OR X6 >= 28.000000 OR X9 >= 1.200000 OR X9 < 0.700000],{'0.0': {'precision': 0.8260869565217391; 'recall': 0.14285714285714285; 'f1-score': 0.24358974358974358; 'support': 133}; '1.0': {'precision': 0.7443946188340808; 'recall': 0.9880952380952381; 'f1-score': 0.8491048593350384; 'support': 336}; 'accuracy': 0.7484008528784648; 'macro avg': {'precision': 0.78524078767791; 'recall': 0.5654761904761905; 'f1-score': 0.546347301462391; 'support': 469}; 'weighted avg': {'precision': 0.767561102655954; 'recall': 0.7484008528784648; 'f1-score': 0.677391617556522; 'support': 469}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
l: 5,1,CNF,9,469,52,1,[469; 469],158,1000.544049,0.711538,10,[X0 >= 66.000000 OR (NOT X1) OR X3 >= 0.600000 OR X4 >= 236.800000 OR X5 >= 35.000000 OR X5 < 18.000000 OR X6 >= 28.000000 OR X7 < 5.600000 OR X9 >= 1.308000 OR X9 < 0.700000],{'0.0': {'precision': 0.9545454545454546; 'recall': 0.15789473684210525; 'f1-score': 0.27096774193548384; 'support': 133}; '1.0': {'precision': 0.7494407158836689; 'recall': 0.9970238095238095; 'f1-score': 0.8556832694763729; 'support': 336}; 'accuracy': 0.7590618336886994; 'macro avg': {'precision': 0.8519930852145617; 'recall': 0.5774592731829574; 'f1-score': 0.5633255057059283; 'support': 469}; 'weighted avg': {'precision': 0.807604746250444; 'recall': 0.7590618336886994; 'f1-score': 0.689868418382688; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.13333333333333333; 'f1-score': 0.2105263157894737; 'support': 15}; '1.0': {'precision': 0.7291666666666666; 'recall': 0.9459459459459459; 'f1-score': 0.8235294117647058; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6145833333333333; 'recall': 0.5396396396396397; 'f1-score': 0.5170278637770898; 'support': 52}; 'weighted avg': {'precision': 0.6630608974358974; 'recall': 0.7115384615384616; 'f1-score': 0.6467015956180042; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [469, 469], 'n_partitions': 1}, (mean val acc cv) 0.687192 (+- 0.023591), (mean training time) 1000.617502 (+- 0.273764)
