l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,26374,2931,3296,[8; 9],262,121.850796,0.725691,2,[X1 == 1 OR X1 == 6],{'0': {'precision': 0.7666977849444114; 'recall': 0.9023622833741197; 'f1-score': 0.8290164949872673; 'support': 20023}; '1': {'precision': 0.3037749287749288; 'recall': 0.13430955754999213; 'f1-score': 0.18626487607817446; 'support': 6351}; 'accuracy': 0.7174110866762721; 'macro avg': {'precision': 0.5352363568596701; 'recall': 0.5183359204620559; 'f1-score': 0.5076406855327209; 'support': 26374}; 'weighted avg': {'precision': 0.6552234898229895; 'recall': 0.7174110866762721; 'f1-score': 0.6742384737659263; 'support': 26374}},{'0': {'precision': 0.7725354813962408; 'recall': 0.9051685393258427; 'f1-score': 0.8336092715231788; 'support': 2225}; '1': {'precision': 0.3487654320987654; 'recall': 0.16005665722379603; 'f1-score': 0.21941747572815534; 'support': 706}; 'accuracy': 0.7256908904810645; 'macro avg': {'precision': 0.5606504567475031; 'recall': 0.5326125982748193; 'f1-score': 0.5265133736256671; 'support': 2931}; 'weighted avg': {'precision': 0.6704605394637886; 'recall': 0.7256908904810645; 'f1-score': 0.6856667918809793; 'support': 2931}}
l: 5,1,CNF,1,26374,2931,3296,[8; 9],262,127.233562,0.732515,3,[X1 == 1 OR X1 == 2 OR X3 == 14],{'0': {'precision': 0.7762121663615853; 'recall': 0.910652749338261; 'f1-score': 0.8380751022659374; 'support': 20023}; '1': {'precision': 0.37946583420048563; 'recall': 0.17225633758463235; 'f1-score': 0.23695040069309078; 'support': 6351}; 'accuracy': 0.732842951391522; 'macro avg': {'precision': 0.5778390002810354; 'recall': 0.5414545434614467; 'f1-score': 0.537512751479514; 'support': 26374}; 'weighted avg': {'precision': 0.6806735315107798; 'recall': 0.732842951391522; 'f1-score': 0.6933210649682521; 'support': 26374}},{'0': {'precision': 0.7736422331940752; 'recall': 0.915505617977528; 'f1-score': 0.8386167146974063; 'support': 2225}; '1': {'precision': 0.3691275167785235; 'recall': 0.1558073654390935; 'f1-score': 0.21912350597609564; 'support': 706}; 'accuracy': 0.7325145001705903; 'macro avg': {'precision': 0.5713848749862993; 'recall': 0.5356564917083108; 'f1-score': 0.528870110336751; 'support': 2931}; 'weighted avg': {'precision': 0.6762053891854162; 'recall': 0.7325145001705903; 'f1-score': 0.6893972655820035; 'support': 2931}}
l: 5,1,CNF,2,26374,2931,3296,[8; 9],262,119.953015,0.731491,3,[X1 == 5 OR X1 == 6 OR X3 == 10],{'0': {'precision': 0.781621108088267; 'recall': 0.9039604454876892; 'f1-score': 0.8383510884668828; 'support': 20023}; '1': {'precision': 0.4022381100404103; 'recall': 0.20374744134781925; 'f1-score': 0.27048494983277593; 'support': 6351}; 'accuracy': 0.7353454159399408; 'macro avg': {'precision': 0.5919296090643387; 'recall': 0.5538539434177542; 'f1-score': 0.5544180191498294; 'support': 26374}; 'weighted avg': {'precision': 0.6902636567876702; 'recall': 0.7353454159399408; 'f1-score': 0.7016058906787122; 'support': 26374}},{'0': {'precision': 0.7793317793317793; 'recall': 0.9015730337078651; 'f1-score': 0.8360075015628256; 'support': 2225}; '1': {'precision': 0.3865546218487395; 'recall': 0.1954674220963173; 'f1-score': 0.25964252116650993; 'support': 706}; 'accuracy': 0.7314909587171614; 'macro avg': {'precision': 0.5829432005902594; 'recall': 0.5485202279020912; 'f1-score': 0.5478250113646678; 'support': 2931}; 'weighted avg': {'precision': 0.6847222013095937; 'recall': 0.7314909587171614; 'f1-score': 0.697176496390598; 'support': 2931}}
l: 5,1,CNF,3,26374,2931,3296,[8; 9],262,120.449898,0.750597,3,[X3 == 10 OR X6 == 13 OR X13 == 32],{'0': {'precision': 0.7680418499583879; 'recall': 0.967886930030465; 'f1-score': 0.8564610217429732; 'support': 20023}; '1': {'precision': 0.4364592462751972; 'recall': 0.07841284837033538; 'f1-score': 0.13294180459156432; 'support': 6351}; 'accuracy': 0.7536968226283461; 'macro avg': {'precision': 0.6022505481167926; 'recall': 0.5231498892004002; 'f1-score': 0.4947014131672688; 'support': 26374}; 'weighted avg': {'precision': 0.6881949888075597; 'recall': 0.7536968226283461; 'f1-score': 0.6822337316797065; 'support': 26374}},{'0': {'precision': 0.7652698863636364; 'recall': 0.9685393258426966; 'f1-score': 0.8549890894663758; 'support': 2225}; '1': {'precision': 0.391304347826087; 'recall': 0.06373937677053824; 'f1-score': 0.10962241169305724; 'support': 706}; 'accuracy': 0.7505970658478335; 'macro avg': {'precision': 0.5782871170948617; 'recall': 0.5161393513066175; 'f1-score': 0.4823057505797165; 'support': 2931}; 'weighted avg': {'precision': 0.6751915273709684; 'recall': 0.7505970658478335; 'f1-score': 0.6754500671163373; 'support': 2931}}
l: 5,1,CNF,4,26374,2931,3296,[8; 9],262,115.711807,0.727056,4,[X1 == 2 OR X3 == 6 OR X3 == 12 OR X7 == 5],{'0': {'precision': 0.7856561822125814; 'recall': 0.868251510762623; 'f1-score': 0.8248914616497829; 'support': 20023}; '1': {'precision': 0.37870937352802636; 'recall': 0.2531884742560227; 'f1-score': 0.3034821175804473; 'support': 6351}; 'accuracy': 0.72014104800182; 'macro avg': {'precision': 0.5821827778703039; 'recall': 0.5607199925093228; 'f1-score': 0.5641867896151151; 'support': 26374}; 'weighted avg': {'precision': 0.6876612181587554; 'recall': 0.72014104800182; 'f1-score': 0.6993333080066361; 'support': 26374}},{'0': {'precision': 0.7921279212792128; 'recall': 0.868314606741573; 'f1-score': 0.8284734133790738; 'support': 2225}; '1': {'precision': 0.40447154471544716; 'recall': 0.2818696883852691; 'f1-score': 0.332220367278798; 'support': 706}; 'accuracy': 0.7270556124189697; 'macro avg': {'precision': 0.59829973299733; 'recall': 0.5750921475634211; 'f1-score': 0.5803468903289359; 'support': 2931}; 'weighted avg': {'precision': 0.6987518032805712; 'recall': 0.7270556124189697; 'f1-score': 0.7089392439669979; 'support': 2931}}
l: 5,1,CNF,5,26375,2930,3296,[8; 9],262,121.105306,0.703413,3,[X1 == 5 OR X1 == 6 OR X3 == 9],{'0': {'precision': 0.8093831185370078; 'recall': 0.7935374319532538; 'f1-score': 0.8013819539012458; 'support': 20023}; '1': {'precision': 0.38701067615658363; 'recall': 0.4108942065491184; 'f1-score': 0.39859499083689676; 'support': 6352}; 'accuracy': 0.7013838862559242; 'macro avg': {'precision': 0.5981968973467957; 'recall': 0.6022158192511861; 'f1-score': 0.5999884723690713; 'support': 26375}; 'weighted avg': {'precision': 0.7076614217028674; 'recall': 0.7013838862559242; 'f1-score': 0.7043771088060896; 'support': 26375}},{'0': {'precision': 0.8133086876155268; 'recall': 0.7910112359550562; 'f1-score': 0.8020050125313283; 'support': 2225}; '1': {'precision': 0.39295039164490864; 'recall': 0.4269503546099291; 'f1-score': 0.40924541128484027; 'support': 705}; 'accuracy': 0.7034129692832765; 'macro avg': {'precision': 0.6031295396302176; 'recall': 0.6089807952824926; 'f1-score': 0.6056252119080843; 'support': 2930}; 'weighted avg': {'precision': 0.712164455991197; 'recall': 0.7034129692832765; 'f1-score': 0.7075014224703133; 'support': 2930}}
l: 5,1,CNF,6,26375,2930,3296,[8; 9],262,128.509297,0.748123,2,[X3 == 8 OR X3 == 14],{'0': {'precision': 0.7692400823277775; 'recall': 0.95195525146082; 'f1-score': 0.8508995134145798; 'support': 20023}; '1': {'precision': 0.39724310776942356; 'recall': 0.0998110831234257; 'f1-score': 0.159536990437846; 'support': 6352}; 'accuracy': 0.7467298578199052; 'macro avg': {'precision': 0.5832415950486005; 'recall': 0.5258831672921229; 'f1-score': 0.505218251926213; 'support': 26375}; 'weighted avg': {'precision': 0.6796505171185012; 'recall': 0.7467298578199052; 'f1-score': 0.6843958263644107; 'support': 26375}},{'0': {'precision': 0.767927927927928; 'recall': 0.957752808988764; 'f1-score': 0.8524; 'support': 2225}; '1': {'precision': 0.3935483870967742; 'recall': 0.08652482269503546; 'f1-score': 0.14186046511627906; 'support': 705}; 'accuracy': 0.7481228668941979; 'macro avg': {'precision': 0.5807381575123511; 'recall': 0.5221388158418997; 'f1-score': 0.49713023255813954; 'support': 2930}; 'weighted avg': {'precision': 0.6778468438712851; 'recall': 0.7481228668941979; 'f1-score': 0.6814340026986269; 'support': 2930}}
l: 5,1,CNF,7,26375,2930,3296,[8; 9],262,174.915497,0.652218,4,[X0 >= 45.000000 OR X3 == 14 OR X6 == 11 OR X13 == 23],{'0': {'precision': 0.8204788001153736; 'recall': 0.7103331169155471; 'f1-score': 0.7614433320841587; 'support': 20023}; '1': {'precision': 0.3584070796460177; 'recall': 0.5100755667506297; 'f1-score': 0.420997920997921; 'support': 6352}; 'accuracy': 0.6621042654028436; 'macro avg': {'precision': 0.5894429398806956; 'recall': 0.6102043418330885; 'f1-score': 0.5912206265410398; 'support': 26375}; 'weighted avg': {'precision': 0.7091961624501091; 'recall': 0.6621042654028436; 'f1-score': 0.6794524599999965; 'support': 26375}},{'0': {'precision': 0.8177028451001054; 'recall': 0.6975280898876405; 'f1-score': 0.7528498666019888; 'support': 2225}; '1': {'precision': 0.3478682170542636; 'recall': 0.5092198581560283; 'f1-score': 0.41335636154289; 'support': 705}; 'accuracy': 0.6522184300341297; 'macro avg': {'precision': 0.5827855310771844; 'recall': 0.6033739740218345; 'f1-score': 0.5831031140724394; 'support': 2930}; 'weighted avg': {'precision': 0.7046538987614301; 'recall': 0.6522184300341297; 'f1-score': 0.6711628628249702; 'support': 2930}}
l: 5,1,CNF,8,26375,2930,3296,[8; 9],262,312.659124,0.662457,2,[X0 >= 45.000000 OR X1 == 1],{'0': {'precision': 0.814050531610838; 'recall': 0.7111965641230523; 'f1-score': 0.7591556053094515; 'support': 20024}; '1': {'precision': 0.3488345906992456; 'recall': 0.4877971972917651; 'f1-score': 0.4067752100840336; 'support': 6351}; 'accuracy': 0.6574028436018957; 'macro avg': {'precision': 0.5814425611550418; 'recall': 0.5994968807074087; 'f1-score': 0.5829654076967425; 'support': 26375}; 'weighted avg': {'precision': 0.7020282968912352; 'recall': 0.6574028436018957; 'f1-score': 0.674303742178584; 'support': 26375}},{'0': {'precision': 0.8095238095238095; 'recall': 0.7261690647482014; 'f1-score': 0.7655842616733823; 'support': 2224}; '1': {'precision': 0.34866310160427805; 'recall': 0.46175637393767704; 'f1-score': 0.39731870810481407; 'support': 706}; 'accuracy': 0.662457337883959; 'macro avg': {'precision': 0.5790934555640438; 'recall': 0.5939627193429392; 'f1-score': 0.5814514848890981; 'support': 2930}; 'weighted avg': {'precision': 0.6984768266599224; 'recall': 0.662457337883959; 'f1-score': 0.6768486026906487; 'support': 2930}}
l: 5,1,CNF,9,26375,2930,3296,[8; 9],262,311.426757,0.475768,3,[X1 == 7 OR X3 == 9 OR X3 == 11],{'0': {'precision': 0.766735679779158; 'recall': 0.4993507790651219; 'f1-score': 0.6048087101164373; 'support': 20024}; '1': {'precision': 0.24816259187040648; 'recall': 0.5210203117619272; 'f1-score': 0.3361950723901448; 'support': 6351}; 'accuracy': 0.5045687203791469; 'macro avg': {'precision': 0.5074491358247822; 'recall': 0.5101855454135246; 'f1-score': 0.47050189125329106; 'support': 26375}; 'weighted avg': {'precision': 0.6418652463646184; 'recall': 0.5045687203791469; 'f1-score': 0.5401275645922786; 'support': 26375}},{'0': {'precision': 0.7578710644677661; 'recall': 0.4545863309352518; 'f1-score': 0.5682967959527824; 'support': 2224}; '1': {'precision': 0.2399749373433584; 'recall': 0.5424929178470255; 'f1-score': 0.3327541268462207; 'support': 706}; 'accuracy': 0.4757679180887372; 'macro avg': {'precision': 0.49892300090556224; 'recall': 0.49853962439113864; 'f1-score': 0.45052546139950156; 'support': 2930}; 'weighted avg': {'precision': 0.6330810761572433; 'recall': 0.4757679180887372; 'f1-score': 0.5115414633967303; 'support': 2930}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [8, 9], 'n_partitions': 3296}, (mean val acc cv) 0.690933 (+- 0.078408), (mean training time) 165.381506 (+- 75.053724)
