l: lamda, n_clause, rule_type, id_cv, train_size, val_size, n_partitions, real_partition_size, n_features, training_time, val_accuracy, rule_size, rule, classification_report_train, classification_report_val
l: 5,1,CNF,0,469,53,1,[469; 469],158,1000.597467,0.716981,8,[X0 >= 60.000000 OR (NOT X1) OR X2 < 0.700000 OR X3 >= 0.600000 OR X4 >= 236.800000 OR X5 >= 30.000000 OR X6 >= 28.000000 OR X9 < 0.700000],{'0.0': {'precision': 0.9130434782608695; 'recall': 0.15671641791044777; 'f1-score': 0.26751592356687903; 'support': 134}; '1.0': {'precision': 0.7466367713004485; 'recall': 0.9940298507462687; 'f1-score': 0.852752880921895; 'support': 335}; 'accuracy': 0.7547974413646056; 'macro avg': {'precision': 0.829840124780659; 'recall': 0.5753731343283582; 'f1-score': 0.560134402244387; 'support': 469}; 'weighted avg': {'precision': 0.7941815447177116; 'recall': 0.7547974413646056; 'f1-score': 0.6855423216776048; 'support': 469}},{'0.0': {'precision': 0.5; 'recall': 0.06666666666666667; 'f1-score': 0.11764705882352941; 'support': 15}; '1.0': {'precision': 0.7254901960784313; 'recall': 0.9736842105263158; 'f1-score': 0.8314606741573034; 'support': 38}; 'accuracy': 0.7169811320754716; 'macro avg': {'precision': 0.6127450980392157; 'recall': 0.5201754385964913; 'f1-score': 0.4745538664904164; 'support': 53}; 'weighted avg': {'precision': 0.6616722160562337; 'recall': 0.7169811320754716; 'f1-score': 0.629437952836424; 'support': 53}}
l: 5,1,CNF,1,469,53,1,[469; 469],158,1000.659685,0.735849,8,[X0 >= 66.000000 OR (NOT X1) OR X3 >= 4.100000 OR X4 >= 195.000000 OR X5 >= 35.000000 OR X7 >= 6.900000 OR X7 < 5.100000 OR X9 < 0.900000],{'0.0': {'precision': 0.8260869565217391; 'recall': 0.1417910447761194; 'f1-score': 0.24203821656050956; 'support': 134}; '1.0': {'precision': 0.742152466367713; 'recall': 0.9880597014925373; 'f1-score': 0.8476312419974391; 'support': 335}; 'accuracy': 0.746268656716418; 'macro avg': {'precision': 0.784119711444726; 'recall': 0.5649253731343283; 'f1-score': 0.5448347292789744; 'support': 469}; 'weighted avg': {'precision': 0.7661337492688634; 'recall': 0.746268656716418; 'f1-score': 0.6746046633011735; 'support': 469}},{'0.0': {'precision': 1.0; 'recall': 0.06666666666666667; 'f1-score': 0.125; 'support': 15}; '1.0': {'precision': 0.7307692307692307; 'recall': 1.0; 'f1-score': 0.8444444444444443; 'support': 38}; 'accuracy': 0.7358490566037735; 'macro avg': {'precision': 0.8653846153846154; 'recall': 0.5333333333333333; 'f1-score': 0.48472222222222217; 'support': 53}; 'weighted avg': {'precision': 0.8069666182873729; 'recall': 0.7358490566037735; 'f1-score': 0.6408280922431865; 'support': 53}}
l: 5,1,CNF,2,470,52,1,[470; 470],158,1000.506861,0.711538,9,[X0 >= 45.000000 OR X2 < 0.700000 OR X3 < 0.200000 OR X4 >= 208.000000 OR X5 >= 35.000000 OR X6 >= 54.000000 OR X6 < 19.000000 OR X7 < 5.600000 OR X9 >= 1.308000],{'0.0': {'precision': 0.8235294117647058; 'recall': 0.2074074074074074; 'f1-score': 0.3313609467455621; 'support': 135}; '1.0': {'precision': 0.7545871559633027; 'recall': 0.982089552238806; 'f1-score': 0.853437094682231; 'support': 335}; 'accuracy': 0.7595744680851064; 'macro avg': {'precision': 0.7890582838640043; 'recall': 0.5947484798231067; 'f1-score': 0.5923990207138965; 'support': 470}; 'weighted avg': {'precision': 0.774389718799876; 'recall': 0.7595744680851064; 'f1-score': 0.7034790521897835; 'support': 470}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.07142857142857142; 'f1-score': 0.11764705882352941; 'support': 14}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.9473684210526315; 'f1-score': 0.8275862068965517; 'support': 38}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.5340136054421769; 'recall': 0.5093984962406015; 'f1-score': 0.4726166328600406; 'support': 52}; 'weighted avg': {'precision': 0.6266352694924124; 'recall': 0.7115384615384616; 'f1-score': 0.6364487439538149; 'support': 52}}
l: 5,1,CNF,3,470,52,1,[470; 470],158,1000.720840,0.711538,12,[X0 >= 66.000000 OR X3 >= 0.600000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X5 >= 35.000000 OR X5 < 18.000000 OR X6 < 19.000000 OR X7 < 5.100000 OR X8 >= 4.100000 OR X8 < 2.700000 OR X9 >= 1.308000 OR X9 < 0.700000],{'0.0': {'precision': 0.7631578947368421; 'recall': 0.21641791044776118; 'f1-score': 0.3372093023255814; 'support': 134}; '1.0': {'precision': 0.7569444444444444; 'recall': 0.9732142857142857; 'f1-score': 0.8515624999999999; 'support': 336}; 'accuracy': 0.7574468085106383; 'macro avg': {'precision': 0.7600511695906433; 'recall': 0.5948160980810234; 'f1-score': 0.5943859011627907; 'support': 470}; 'weighted avg': {'precision': 0.7587159387831279; 'recall': 0.7574468085106383; 'f1-score': 0.7049171202375061; 'support': 470}},{'0.0': {'precision': 0.5; 'recall': 0.2; 'f1-score': 0.28571428571428575; 'support': 15}; '1.0': {'precision': 0.7391304347826086; 'recall': 0.918918918918919; 'f1-score': 0.8192771084337348; 'support': 37}; 'accuracy': 0.7115384615384616; 'macro avg': {'precision': 0.6195652173913043; 'recall': 0.5594594594594595; 'f1-score': 0.5524956970740103; 'support': 52}; 'weighted avg': {'precision': 0.6701505016722407; 'recall': 0.7115384615384616; 'f1-score': 0.6653647557262014; 'support': 52}}
l: 5,1,CNF,4,470,52,1,[470; 470],158,1000.600646,0.692308,9,[X0 >= 45.000000 OR X0 < 23.000000 OR X2 >= 1.400000 OR X4 >= 208.000000 OR X5 >= 35.000000 OR X5 < 18.000000 OR X6 < 19.000000 OR X7 >= 7.900000 OR X7 < 6.000000],{'0.0': {'precision': 0.9; 'recall': 0.13432835820895522; 'f1-score': 0.23376623376623376; 'support': 134}; '1.0': {'precision': 0.7422222222222222; 'recall': 0.9940476190476191; 'f1-score': 0.8498727735368956; 'support': 336}; 'accuracy': 0.7489361702127659; 'macro avg': {'precision': 0.8211111111111111; 'recall': 0.5641879886282871; 'f1-score': 0.5418195036515647; 'support': 470}; 'weighted avg': {'precision': 0.7872056737588653; 'recall': 0.7489361702127659; 'f1-score': 0.6742168664533452; 'support': 470}},{'0.0': {'precision': 0.3333333333333333; 'recall': 0.06666666666666667; 'f1-score': 0.1111111111111111; 'support': 15}; '1.0': {'precision': 0.7142857142857143; 'recall': 0.9459459459459459; 'f1-score': 0.813953488372093; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.5238095238095238; 'recall': 0.5063063063063064; 'f1-score': 0.46253229974160204; 'support': 52}; 'weighted avg': {'precision': 0.6043956043956045; 'recall': 0.6923076923076923; 'f1-score': 0.6112104949314252; 'support': 52}}
l: 5,1,CNF,5,470,52,1,[470; 470],158,1000.515494,0.750000,9,[X0 >= 45.000000 OR X2 >= 1.400000 OR X2 < 0.700000 OR X4 >= 195.000000 OR X5 < 18.000000 OR X6 >= 71.600000 OR X6 < 19.000000 OR X7 >= 7.900000 OR X7 < 6.000000],{'0.0': {'precision': 0.8518518518518519; 'recall': 0.17164179104477612; 'f1-score': 0.28571428571428575; 'support': 134}; '1.0': {'precision': 0.7494356659142212; 'recall': 0.9880952380952381; 'f1-score': 0.8523748395378691; 'support': 336}; 'accuracy': 0.7553191489361702; 'macro avg': {'precision': 0.8006437588830365; 'recall': 0.5798685145700071; 'f1-score': 0.5690445626260774; 'support': 470}; 'weighted avg': {'precision': 0.7786351742453754; 'recall': 0.7553191489361702; 'f1-score': 0.690816298660507; 'support': 470}},{'0.0': {'precision': 1.0; 'recall': 0.13333333333333333; 'f1-score': 0.23529411764705882; 'support': 15}; '1.0': {'precision': 0.74; 'recall': 1.0; 'f1-score': 0.8505747126436781; 'support': 37}; 'accuracy': 0.75; 'macro avg': {'precision': 0.87; 'recall': 0.5666666666666667; 'f1-score': 0.5429344151453684; 'support': 52}; 'weighted avg': {'precision': 0.815; 'recall': 0.75; 'f1-score': 0.6730899256254226; 'support': 52}}
l: 5,1,CNF,6,470,52,1,[470; 470],158,1000.426765,0.730769,7,[(NOT X1) OR X2 >= 1.000000 OR X3 < 0.200000 OR X4 >= 236.800000 OR X5 >= 35.000000 OR X8 < 3.000000 OR X9 < 0.900000],{'0.0': {'precision': 0.7931034482758621; 'recall': 0.17164179104477612; 'f1-score': 0.2822085889570552; 'support': 134}; '1.0': {'precision': 0.7482993197278912; 'recall': 0.9821428571428571; 'f1-score': 0.8494208494208495; 'support': 336}; 'accuracy': 0.7510638297872341; 'macro avg': {'precision': 0.7707013840018766; 'recall': 0.5768923240938166; 'f1-score': 0.5658147191889523; 'support': 470}; 'weighted avg': {'precision': 0.761073262760717; 'recall': 0.7510638297872341; 'f1-score': 0.6877050134588316; 'support': 470}},{'0.0': {'precision': 0.6; 'recall': 0.2; 'f1-score': 0.3; 'support': 15}; '1.0': {'precision': 0.7446808510638298; 'recall': 0.9459459459459459; 'f1-score': 0.8333333333333334; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.6723404255319149; 'recall': 0.572972972972973; 'f1-score': 0.5666666666666667; 'support': 52}; 'weighted avg': {'precision': 0.7029459901800327; 'recall': 0.7307692307692307; 'f1-score': 0.6794871794871795; 'support': 52}}
l: 5,1,CNF,7,470,52,1,[470; 470],158,1000.329559,0.615385,7,[X0 >= 49.000000 OR (NOT X1) OR X2 >= 1.000000 OR X2 < 0.800000 OR X5 >= 43.000000 OR X7 >= 7.900000 OR X7 < 5.100000],{'0.0': {'precision': 0.85; 'recall': 0.12686567164179105; 'f1-score': 0.22077922077922077; 'support': 134}; '1.0': {'precision': 0.74; 'recall': 0.9910714285714286; 'f1-score': 0.8473282442748092; 'support': 336}; 'accuracy': 0.7446808510638298; 'macro avg': {'precision': 0.7949999999999999; 'recall': 0.5589685501066098; 'f1-score': 0.534053732527015; 'support': 470}; 'weighted avg': {'precision': 0.7713617021276595; 'recall': 0.7446808510638298; 'f1-score': 0.6686951184271308; 'support': 470}},{'0.0': {'precision': 0.14285714285714285; 'recall': 0.06666666666666667; 'f1-score': 0.09090909090909091; 'support': 15}; '1.0': {'precision': 0.6888888888888889; 'recall': 0.8378378378378378; 'f1-score': 0.7560975609756098; 'support': 37}; 'accuracy': 0.6153846153846154; 'macro avg': {'precision': 0.41587301587301584; 'recall': 0.45225225225225224; 'f1-score': 0.42350332594235035; 'support': 52}; 'weighted avg': {'precision': 0.5313797313797314; 'recall': 0.6153846153846154; 'f1-score': 0.5642162715333447; 'support': 52}}
l: 5,1,CNF,8,470,52,1,[470; 470],158,1001.258156,0.730769,10,[X0 >= 66.000000 OR (NOT X1) OR X2 < 0.700000 OR X3 >= 1.000000 OR X4 >= 208.000000 OR X5 >= 35.000000 OR X6 >= 54.000000 OR X7 < 5.100000 OR X8 >= 4.100000 OR X8 < 2.700000],{'0.0': {'precision': 0.7837837837837838; 'recall': 0.21641791044776118; 'f1-score': 0.33918128654970753; 'support': 134}; '1.0': {'precision': 0.7575057736720554; 'recall': 0.9761904761904762; 'f1-score': 0.8530559167750323; 'support': 336}; 'accuracy': 0.7595744680851064; 'macro avg': {'precision': 0.7706447787279196; 'recall': 0.5963041933191187; 'f1-score': 0.59611860166237; 'support': 470}; 'weighted avg': {'precision': 0.7649978020868886; 'recall': 0.7595744680851064; 'f1-score': 0.706546979646961; 'support': 470}},{'0.0': {'precision': 0.6666666666666666; 'recall': 0.13333333333333333; 'f1-score': 0.2222222222222222; 'support': 15}; '1.0': {'precision': 0.7346938775510204; 'recall': 0.972972972972973; 'f1-score': 0.8372093023255813; 'support': 37}; 'accuracy': 0.7307692307692307; 'macro avg': {'precision': 0.7006802721088435; 'recall': 0.5531531531531532; 'f1-score': 0.5297157622739017; 'support': 52}; 'weighted avg': {'precision': 0.7150706436420722; 'recall': 0.7307692307692307; 'f1-score': 0.659809183064997; 'support': 52}}
l: 5,1,CNF,9,470,52,1,[470; 470],158,1000.470130,0.692308,8,[X0 >= 66.000000 OR (NOT X1) OR X2 >= 2.000000 OR X2 < 0.700000 OR X4 >= 195.000000 OR X6 >= 28.000000 OR X8 < 2.500000 OR X9 < 0.700000],{'0.0': {'precision': 0.8333333333333334; 'recall': 0.1865671641791045; 'f1-score': 0.3048780487804878; 'support': 134}; '1.0': {'precision': 0.7522727272727273; 'recall': 0.9851190476190477; 'f1-score': 0.8530927835051547; 'support': 336}; 'accuracy': 0.7574468085106383; 'macro avg': {'precision': 0.7928030303030303; 'recall': 0.5858431058990761; 'f1-score': 0.5789854161428213; 'support': 470}; 'weighted avg': {'precision': 0.7753836234687299; 'recall': 0.7574468085106383; 'f1-score': 0.6967932633921646; 'support': 470}},{'0.0': {'precision': 0.0; 'recall': 0.0; 'f1-score': 0.0; 'support': 15}; '1.0': {'precision': 0.7058823529411765; 'recall': 0.972972972972973; 'f1-score': 0.8181818181818183; 'support': 37}; 'accuracy': 0.6923076923076923; 'macro avg': {'precision': 0.35294117647058826; 'recall': 0.4864864864864865; 'f1-score': 0.40909090909090917; 'support': 52}; 'weighted avg': {'precision': 0.5022624434389141; 'recall': 0.6923076923076923; 'f1-score': 0.5821678321678323; 'support': 52}}
r: ---> Params: {'lamda': 5, 'n_clause': 1, 'rule_type': 'CNF', 'real_partition_size': [470, 470], 'n_partitions': 1}, (mean val acc cv) 0.708745 (+- 0.035703), (mean training time) 1000.608560 (+- 0.242165)
